城市名称,AQI值
七台河,20
万宁,
三亚,20
三明,34
三沙,
三门峡,32
上海,33
上饶,32
东方,
东莞,
东营,22
中卫,44
中山,43
临汾,
临沂,11
临沧,28
临高,
丹东,10
丽水,41
丽江,13
乌兰察布,20
乌鲁木齐,20
乐东,
乐山,15
九江,39
云浮,26
五家渠,17
五指山,
亳州,32
仙桃,
伊春,24
伊犁,
佛山,33
佳木斯,15
保亭,
保定,28
保山,29
信阳,26
儋州,19
克孜勒苏柯尔克孜,
克拉玛依,34
六安,
六盘水,16
兰州,36
兴安盟,14
内江,32
凉山,
包头,21
北京,13
北屯,
北海,37
十堰,10
南京,36
南充,26
南宁,28
南昌,39
南通,
南阳,30
博尔塔拉,47
厦门,34
双河,
双鸭山,25
可克达拉,
台州,37
合肥,29
吉安,23
吉林市,
吐鲁番,
吕梁,35
吴忠,
周口,45
呼伦贝尔,41
呼和浩特,29
和田,
咸宁,32
咸阳,40
哈密,
哈尔滨,38
唐山,24
商丘,19
商洛,33
喀什,
嘉兴,34
嘉峪关,50
四平,27
固原,17
图木舒克,
坝上,
塔城,
大兴安岭,
大同,23
大庆,34
大理,
大连,16
天水,19
天津,19
天门,
太原,30
太湖,
威海,12
娄底,21
孝感,17
宁德,37
宁波,29
安庆,32
安康,20
安阳,31
安顺,14
定安,
定西,28
宜宾,26
宜昌,16
宜春,24
宝鸡,32
宣城,18
宿州,46
宿迁,32
屯昌,
山南,18
岳阳,17
崇左,22
巢湖,
巴中,17
巴彦淖尔,
巴音郭楞,
常州,19
常德,17
平顶山,25
广元,13
广安,20
广州,43
庆阳,26
廊坊,26
延安,22
延边,
开封,28
张家口,37
张家界,17
张掖,32
徐州,32
德宏,
德州,23
德阳,19
忻州,33
怀化,16
怒江,
恩施,
惠州,41
成都,25
扬州,15
承德,40
抚州,45
抚顺,21
拉萨,8
揭阳,47
攀枝花,37
文山,
新乡,28
新余,38
无锡,35
日喀则,6
日照,15
昆明,16
昆玉,
昌吉,
昌江,
昭通,33
晋中,37
晋城,
普洱,19
景德镇,41
曲靖,24
朔州,49
朝阳,
本溪,21
来宾,23
杭州,27
松原,22
林芝,10
枣庄,19
柳州,28
株洲,43
桂林,21
梅州,36
梧州,34
楚雄州,
榆林,30
武功山,
武威,22
武汉,29
毕节,22
永州,27
汉中,18
汕头,48
汕尾,42
江门,36
沈阳,22
沧州,24
河池,19
河源,34
泉州,30
泰安,14
泰州,37
泸州,33
洛阳,27
济南,17
济宁,23
济源,
海口,12
淄博,23
淮北,32
淮南,21
淮安,34
深圳,38
清远,32
温州,30
渭南,31
湖州,24
湘潭,28
湘西,
湛江,20
滁州,33
滨州,22
漯河,
漳州,
潍坊,11
潜江,
潮州,
澄迈,
濮阳,25
烟台,9
焦作,
牡丹江,33
玉林,30
玉溪,18
珠海,39
琼中,
琼海,
甘孜,
白城,16
白山,22
白沙,
白银,35
百色,43
益阳,34
盘锦,16
眉山,18
石嘴山,46
石家庄,35
石河子,40
神农架,
福州,45
秦皇岛,46
红河,
绍兴,37
绥化,9
绵阳,25
聊城,32
肇庆,24
自贡,23
舟山,19
芜湖,43
苏州,46
茂名,29
荆州,18
莆田,34
莱芜,
菏泽,17
萍乡,18
营口,18
葫芦岛,19
蚌埠,
衡水,37
衡阳,25
衢州,20
襄阳,28
西双版纳,
西安,39
许昌,26
贵港,24
贵阳,13
贺州,16
资阳,20
赣州,36
赤峰,22
辽源,13
辽阳,25
达州,15
运城,33
连云港,14
迪庆,
通化,11
通辽,27
遂宁,25
遵义,26
邢台,28
那曲,
邵阳,30
郑州,25
郴州,20
鄂尔多斯,15
鄂州,23
酒泉,
重庆,26
金华,
金昌,27
钦州,34
铁岭,17
铁门关,
铜仁,
铜川,
铜陵,33
银川,
锡林郭勒盟,
长沙,28
长治,
长白山,
阜新,14
阜阳,28
防城港,18
阳江,42
阳泉,33
阿克苏,
阿勒泰,
阿坝,
阿拉善盟,
阿拉尔,
阿里,
陇南,29
陵水,
随州,21
雄安新区,30
雅安,30
青岛,14
青木川,
鞍山,19
韶关,47
马鞍山,35
驻马店,31
鸡西,25
鹤壁,40
鹤岗,15
鹰潭,
黄冈,23
黄山,22
黄石,27
黑河,26
黔东南,
黔南,
黔西南,
齐齐哈尔,24
龙岩,19
