城市名称,总人口,面积,人口密度
七台河,689611,5455.6,126.4042
万宁,545992,1940.8,281.3232
三亚,1031396,1904.5,541.5574
三明,2486450,22977.0,108.2147
三门峡,2034872,9922.0,205.0869
上海,24870895,6340.5,3922.5448
上饶,6491088,22731.0,285.561
东方,444458,2271.6,195.6586
东莞,10466625,2465.0,4246.0953
东营,2193518,7602.0,288.5449
中卫,1067336,13645.0,78.2218
中山,4418060,1783.67,2476.9492
临汾,3976481,20298.0,195.9051
临沂,11018365,17204.0,640.4537
临沧,2257991,23662.0,95.4269
临高,420594,1309.2,321.2603
丹东,2188436,14782.0,148.0474
丽水,2507396,17272.0,145.1711
丽江,1253878,20558.0,60.9922
乌兰察布,1706328,54470.0,31.326
乌鲁木齐,4054369,13775.0,294.3281
乐东,464435,2758.4,168.3712
乐山,3160168,12456.0,253.7065
九江,4600276,19106.0,240.7765
云浮,2383350,7779.12,306.3778
五家渠,141065,743.8,189.6545
五指山,112269,1129.1,99.4323
亳州,4996844,8530.2,585.7827
仙桃,1268715,2520.1,503.4384
伊春,878881,32831.0,26.7699
伊犁,2778869,54690.0,50.8113
佛山,9498863,3848.49,2468.2052
佳木斯,2156505,31935.0,67.5279
保亭,156108,1167.8,133.677
保定,11544036,22368.0,516.096
保山,2431211,19063.0,127.5356
信阳,6234401,18908.0,329.7229
儋州,954259,3270.9,291.742
克孜勒苏柯尔克孜,622222,69779.0,8.917
克拉玛依,490348,7158.0,68.5035
六安,4393699,15436.0,284.6397
六盘水,3031602,9914.0,305.79
兰州,4359446,13120.0,332.2748
兴安盟,1416929,55227.0,25.6565
内江,3140678,5360.0,585.9474
凉山,4858359,58664.0,82.8167
包头,2709378,27563.0,98.2976
北京,21893095,16410.54,1334.0874
北屯,20414,985.25,20.7196
北海,1853227,3794.0,488.4626
十堰,3209004,23708.0,135.3553
南京,9314685,6590.0,1413.4575
南充,5607565,12391.0,452.5514
南宁,8741584,22108.0,395.4037
南昌,6255007,7194.0,869.4755
南通,7726635,9802.0,788.2713
南阳,9713112,26476.0,366.8648
博尔塔拉,433467,23910.0,18.1291
厦门,5163970,1590.9,3245.9425
双河,54731,974.9,56.1401
双鸭山,1208803,22612.0,53.4585
可克达拉,69524,1440.0,48.2806
台州,6622888,9663.0,685.3863
合肥,9369881,11473.0,816.6897
吉安,4469176,25283.0,176.766
吉林市,3623713,27710.0,130.7728
吐鲁番,693988,69750.0,9.9496
吕梁,3398431,21128.0,160.8496
吴忠,1382713,16742.0,82.5895
周口,9026015,11965.0,754.3682
呼伦贝尔,2242875,234545.0,9.5627
呼和浩特,3446100,17143.0,201.0208
和田,2441231,247272.0,9.8727
咸宁,2658316,9738.0,272.9838
哈密,673383,137263.0,4.9058
哈尔滨,10009854,53069.0,188.6196
唐山,7717983,13994.0,551.5209
商丘,7816831,10717.0,729.3861
喀什,4496377,100598.0,44.6965
嘉兴,5400868,4074.0,1325.6917
嘉峪关,312663,1224.1,255.4228
四平,1814733,10240.0,177.22
固原,1142142,10525.0,108.5171
图木舒克,263245,11708.0,22.4842
塔城,1108747,94531.0,11.7289
大兴安岭,331276,84205.0,3.9342
大同,180266,2337.0,77.1356
大庆,2781562,21184.0,131.3049
大理,3337559,28300.0,117.9349
大连,243283,15250.0,15.953
天水,2984659,14280.0,209.0097
天津,13866009,11609.91,1194.3253
天门,1158640,2617.7,442.6176
太原,5304061,6905.0,768.1479
太湖,430465,2039.7,211.0433
威海,2906548,5956.0,488.0034
娄底,3826996,8110.0,471.8861
孝感,4270371,8911.0,479.2247
宁德,3146789,13103.0,240.1579
宁波,9404283,9264.0,1015.1428
安庆,4165284,13486.0,308.8599
安阳,5477614,7354.0,744.8482
安顺,2470630,9246.0,267.2107
定安,284690,1187.8,239.6784
定西,2524097,19610.0,128.7148
宜宾,4588804,12408.0,369.8262
宜昌,3762407,21229.0,177.2296
宜春,5007702,18671.0,268.2075
宣城,2500063,12313.0,203.0426
宿州,5324476,9938.1,535.764
宿迁,4986192,8572.0,581.6836
屯昌,255335,1239.6,205.9818
山南,354035,46940.0,7.5423
岳阳,5051922,14864.0,339.8763
崇左,2088692,17329.0,120.5316
巢湖,727162,2073.0,350.7776
巴中,2712894,12136.0,223.541
巴彦淖尔,1538715,65143.0,23.6206
巴音郭楞,1509233,469602.0,3.2139
常州,5278121,4402.0,1199.0279
常德,5279102,18172.0,290.5075
平顶山,4987137,7910.0,630.4851
广元,2305657,16166.0,142.6238
广安,3254883,6291.0,517.3872
广州,18676605,7434.4,2512.1873
庆阳,2179716,27120.0,80.373
廊坊,5464087,6413.0,852.0329
延边,1986339,42229.0,47.0373
开封,4824016,6250.0,771.8426
张家口,4118908,36766.0,112.0304
张家界,1517027,9540.0,159.0175
张掖,1131016,38590.0,29.3085
徐州,9083790,11211.0,810.2569
德宏,1315709,11171.0,117.779
德州,5611194,10366.0,541.3075
德阳,3456161,5670.0,609.5522
忻州,2689668,25186.0,106.7922
怀化,4587594,27540.0,166.5793
怒江,552694,14597.0,37.8635
恩施,3456136,24075.0,143.5571
惠州,6042852,11342.98,532.7394
成都,20937757,12055.0,1736.8525
扬州,4559797,6626.0,688.1674
承德,3354444,39455.0,85.0195
抚州,3614866,18786.0,192.4234
抚顺,1861372,11269.0,165.1763
拉萨,867891,29680.0,29.2416
揭阳,5577814,5266.0,1059.2127
攀枝花,1212203,7193.0,168.5254
文山,3503218,31421.0,111.4929
新乡,6251929,8296.0,753.6076
