城市名称,AQI值,总人口,面积,人口密度,环境环保,人文底蕴,气候,美食,最高景点评分,公共汽车数量,出租汽车数量,平均气温
七台河,20.0,689611,5455.6,126.4042,13.0,11.0,0.0,0.0,5.0,499,1000,1.66534558358224
万宁,26.810606060606062,545992,1940.8,281.3232,56.0,53.0,0.0,20.0,5.0,1800,3082,23.8697752276605
三亚,20.0,1031396,1904.5,541.5574,51.0,66.0,4.0,14.0,5.0,1158,2543,24.5609570517788
三明,34.0,2486450,22977.0,108.2147,42.0,72.0,3.0,2.0,5.0,432,404,16.5389476551687
三沙,26.810606060606062,2333,10.0,233.3,2.0,9.0,0.0,0.0,5.0,1800,3082,25.7842814841835
三门峡,32.0,2034872,9922.0,205.0869,21.0,71.0,2.0,2.0,5.0,402,798,12.1198194099732
上海,33.0,24870895,6340.5,3922.5448,135.0,326.0,6.0,70.0,5.0,17899,39962,14.79119665125
上饶,32.0,6491088,22731.0,285.561,62.0,134.0,3.0,20.0,5.0,661,615,15.1419055782867
东方,26.810606060606062,444458,2271.6,195.6586,9.0,25.0,0.0,1.0,4.6,1800,3082,24.6630793950112
东莞,26.810606060606062,10466625,2465.0,4246.0953,41.0,61.0,0.0,7.0,5.0,1800,3082,21.4041431688168
东营,22.0,2193518,7602.0,288.5449,42.0,83.0,0.0,11.0,5.0,1387,3425,11.7241014666827
中卫,44.0,1067336,13645.0,78.2218,25.0,102.0,1.0,16.0,5.0,277,1138,9.2758549226889
中山,43.0,4418060,1783.67,2476.9492,29.0,78.0,3.0,16.0,5.0,1800,3082,21.4956320453555
临汾,26.810606060606062,3976481,20298.0,195.9051,20.0,89.0,0.0,5.0,5.0,423,1862,11.414299061978
临沂,11.0,11018365,17204.0,640.4537,63.0,95.0,4.0,14.0,5.0,2268,2750,12.6796511412057
临沧,28.0,2257991,23662.0,95.4269,13.0,49.0,0.0,2.0,5.0,93,480,17.7022399285201
临高,26.810606060606062,420594,1309.2,321.2603,6.0,12.0,0.0,1.0,5.0,1800,3082,23.5883465727972
丹东,10.0,2188436,14782.0,148.0474,48.0,23.0,1.0,9.0,5.0,975,1932,5.71270158429786
丽水,41.0,2507396,17272.0,145.1711,89.0,202.0,5.0,17.0,5.0,551,409,15.901719267864
丽江,13.0,1253878,20558.0,60.9922,33.0,225.0,1.0,8.0,5.0,418,776,13.318581869667
乌兰察布,20.0,1706328,54470.0,31.326,72.0,60.0,1.0,5.0,5.0,327,2177,4.21106027863531
乌鲁木齐,20.0,4054369,13775.0,294.3281,56.0,70.0,2.0,4.0,5.0,4411,13138,8.3512625690541
乐东,26.810606060606062,464435,2758.4,168.3712,11.0,8.0,0.0,0.0,5.0,1800,3082,24.4257476031884
乐山,15.0,3160168,12456.0,253.7065,32.0,34.0,1.0,3.0,5.0,607,1069,9.04383529577808
九江,39.0,4600276,19106.0,240.7765,59.0,53.0,2.0,6.0,5.0,641,1537,13.9211553588226
云浮,26.0,2383350,7779.12,306.3778,13.0,45.0,2.0,10.0,5.0,122,105,20.6270897371005
五家渠,17.0,141065,743.8,189.6545,3.0,1.0,0.0,2.0,5.0,1800,3082,8.00685532377563
五指山,26.810606060606062,112269,1129.1,99.4323,16.0,17.0,1.0,4.0,5.0,1800,3082,24.2054068159838
亳州,32.0,4996844,8530.2,585.7827,17.0,120.0,0.0,2.0,5.0,746,652,14.8521709007367
仙桃,26.810606060606062,1268715,2520.1,503.4384,12.0,22.0,1.0,5.0,5.0,1800,3082,15.5501948034173
伊春,24.0,878881,32831.0,26.7699,73.0,34.0,2.0,10.0,5.0,430,2734,-0.124757256840449
伊犁,26.810606060606062,2778869,54690.0,50.8113,124.0,119.0,1.0,19.0,5.0,1800,3082,7.54136800152607
佛山,33.0,9498863,3848.49,2468.2052,33.0,97.0,1.0,22.0,5.0,6831,3302,21.0878645911074
佳木斯,15.0,2156505,31935.0,67.5279,6.0,24.0,0.0,7.0,5.0,584,2559,0.989596211327526
保亭,26.810606060606062,156108,1167.8,133.677,34.0,15.0,0.0,2.0,5.0,1800,3082,24.0494754806452
保定,28.0,11544036,22368.0,516.096,49.0,127.0,0.0,7.0,5.0,1459,3728,9.88414596013322
保山,29.0,2431211,19063.0,127.5356,67.0,117.0,2.0,12.0,5.0,274,450,15.5529881750696
信阳,26.0,6234401,18908.0,329.7229,20.0,10.0,0.0,1.0,5.0,1149,3840,15.168720158669
儋州,19.0,954259,3270.9,291.742,59.0,68.0,3.0,22.0,5.0,1800,3082,23.7143741745623
克孜勒苏柯尔克孜,26.810606060606062,622222,69779.0,8.917,20.0,12.0,0.0,4.0,5.0,1800,3082,11.3805777302457
克拉玛依,34.0,490348,7158.0,68.5035,28.0,23.0,0.0,6.0,5.0,523,1519,6.95160177992562
六安,26.810606060606062,4393699,15436.0,284.6397,18.0,86.0,0.0,5.0,5.0,1160,2019,14.8928534531426
六盘水,16.0,3031602,9914.0,305.79,32.0,30.0,0.0,10.0,5.0,962,2362,13.2028054038959
兰州,36.0,4359446,13120.0,332.2748,52.0,105.0,0.0,6.0,5.0,3109,10566,5.93902696394025
兴安盟,14.0,1416929,55227.0,25.6565,73.0,45.0,0.0,10.0,5.0,1800,3082,1.07683127200834
内江,32.0,3140678,5360.0,585.9474,23.0,58.0,1.0,6.0,5.0,1800,3082,16.3090069401262
凉山,26.810606060606062,4858359,58664.0,82.8167,18.0,45.0,1.0,2.0,5.0,1800,3082,12.4337816591803
包头,21.0,2709378,27563.0,98.2976,40.0,27.0,0.0,3.0,5.0,1315,5827,4.74889731763262
北京,13.0,21893095,16410.54,1334.0874,135.0,336.0,6.0,65.0,5.0,23010,71517,9.2129740400881
北屯,26.810606060606062,20414,985.25,20.7196,0.0,0.0,0.0,0.0,4.9921,1800,3082,4.95159730287981
北海,37.0,1853227,3794.0,488.4626,41.0,112.0,2.0,17.0,5.0,602,555,21.1218545158658
十堰,10.0,3209004,23708.0,135.3553,42.0,181.0,7.0,4.0,5.0,1269,961,14.0837569860986
南京,36.0,9314685,6590.0,1413.4575,65.0,340.0,1.0,35.0,5.0,8700,12083,14.6661919452539
