城市名称,环境环保,人文底蕴,气候,美食
七台河,13,11,0,0
万宁,56,53,0,20
三亚,51,66,4,14
三明,42,72,3,2
三沙,2,9,0,0
三门峡,21,71,2,2
上海,135,326,6,70
上饶,62,134,3,20
东方,9,25,0,1
东莞,41,61,0,7
东营,42,83,0,11
中卫,25,102,1,16
中山,29,78,3,16
临汾,20,89,0,5
临沂,63,95,4,14
临沧,13,49,0,2
临高,6,12,0,1
丹东,48,23,1,9
丽水,89,202,5,17
丽江,33,225,1,8
乌兰察布,72,60,1,5
乌鲁木齐,56,70,2,4
乐东,11,8,0,0
乐山,32,34,1,3
九江,59,53,2,6
云浮,13,45,2,10
五家渠,3,1,0,2
五指山,16,17,1,4
亳州,17,120,0,2
仙桃,12,22,1,5
伊春,73,34,2,10
伊犁,124,119,1,19
佛山,33,97,1,22
佳木斯,6,24,0,7
保亭,34,15,0,2
保定,49,127,0,7
保山,67,117,2,12
信阳,20,10,0,1
儋州,59,68,3,22
克孜勒苏柯尔克孜,20,12,0,4
克拉玛依,28,23,0,6
六安,18,86,0,5
六盘水,32,30,0,10
兰州,52,105,0,6
兴安盟,73,45,0,10
内江,23,58,1,6
凉山,18,45,1,2
包头,40,27,0,3
北京,135,336,6,65
北屯,0,0,0,0
北海,41,112,2,17
十堰,42,181,7,4
南京,65,340,1,35
南充,30,47,1,3
南宁,57,94,4,9
南昌,52,172,2,21
南通,34,69,0,17
南阳,41,85,3,4
博尔塔拉,41,29,1,1
厦门,70,184,0,38
双河,0,0,0,0
双鸭山,57,23,2,0
可克达拉,1,2,0,0
台州,53,120,1,19
合肥,44,86,2,14
吉安,45,104,4,13
吉林市,29,48,2,8
吐鲁番,31,130,0,14
吕梁,53,63,2,4
吴忠,13,45,0,3
周口,8,132,0,6
呼伦贝尔,189,105,2,14
呼和浩特,50,142,3,13
和田,20,72,0,14
咸宁,26,52,5,3
咸阳,23,125,0,9
哈密,66,143,4,13
哈尔滨,88,134,2,13
唐山,28,122,4,17
商丘,7,79,1,2
商洛,30,72,0,6
喀什,40,192,0,17
嘉兴,20,217,2,22
嘉峪关,10,79,1,3
四平,15,67,0,8
固原,23,66,0,1
图木舒克,1,3,0,0
坝上,0,0,0,0
塔城,37,24,2,7
大兴安岭,61,31,0,13
大同,57,138,3,13
大庆,31,30,1,8
大理,23,209,2,28
大连,71,137,0,24
天水,24,108,1,8
天津,32,193,1,32
天门,2,29,0,2
太原,31,151,0,16
太湖,2,0,0,1
威海,66,143,0,12
娄底,24,16,2,4
孝感,20,21,0,3
宁德,22,25,3,3
宁波,50,234,2,23
安庆,38,36,1,14
安康,52,59,2,14
安阳,33,117,2,11
安顺,17,39,0,5
定安,8,24,0,0
定西,14,22,0,3
宜宾,24,85,2,12
宜昌,64,72,5,8
宜春,61,67,1,18
宝鸡,38,109,1,6
宣城,56,97,1,16
宿州,34,50,2,3
宿迁,23,71,0,5
屯昌,2,3,0,2
山南,6,43,1,1
岳阳,31,69,2,8
崇左,52,42,0,10
巢湖,14,38,0,5
巴中,13,23,0,3
巴彦淖尔,37,29,3,9
巴音郭楞,90,59,5,12
常州,29,123,2,15
常德,53,142,0,16
平顶山,22,37,2,0
广元,32,54,0,4
广安,19,38,3,4
广州,131,220,3,61
庆阳,12,39,0,2
廊坊,12,36,1,6
延安,16,71,1,3
延边,101,63,4,15
开封,3,89,0,9
张家口,118,90,6,9
张家界,63,41,2,14
张掖,37,132,1,2
徐州,40,135,0,9
德宏,22,51,1,8
德州,46,66,0,30
德阳,43,113,3,12
忻州,25,79,0,2
怀化,17,57,1,2
怒江,14,13,5,3
恩施,41,98,1,13
惠州,39,38,2,13
成都,75,306,5,28
扬州,49,218,5,21
承德,144,95,5,13
抚州,40,119,5,7
抚顺,13,28,0,2
拉萨,24,117,0,9
揭阳,14,15,1,2
攀枝花,12,17,0,3
文山,11,20,2,2
新乡,55,132,5,10
新余,60,75,0,19
无锡,63,294,8,41
日喀则,24,36,2,5
日照,18,41,0,2
昆明,79,159,2,21
昌吉,93,157,5,24
昌江,27,3,0,4
昭通,15,29,0,4
晋中,14,312,0,10
晋城,29,108,0,1
普洱,58,31,1,4
景德镇,19,178,0,4
曲靖,27,26,1,3
朔州,21,51,1,0
朝阳,40,78,2,7
本溪,43,48,0,6
来宾,32,39,0,8
杭州,75,225,5,18
松原,6,13,1,0
林芝,57,38,0,9
枣庄,30,70,0,8
柳州,65,44,5,7
株洲,34,59,0,1
桂林,40,104,0,24
梅州,49,115,0,10
梧州,27,47,2,12
楚雄州,20,116,0,9
榆林,19,87,0,3
武功山,0,0,0,0
武威,21,155,0,7
武汉,66,186,3,27
毕节,24,48,1,2
永州,17,53,1,4
汉中,35,70,0,7
汕头,24,19,0,8
汕尾,25,36,0,4
江门,27,132,1,15
沈阳,44,156,0,21
沧州,14,64,0,1
河池,48,40,4,7
河源,39,116,5,13
泉州,42,225,1,16
泰安,33,57,2,10
泸州,78,78,5,6
洛阳,49,231,5,10
济南,95,148,10,16
济宁,13,178,2,7
济源,13,31,1,4
海口,25,89,1,15
淄博,21,127,2,1
淮北,48,68,2,3
淮南,26,38,2,3
淮安,36,83,2,12
深圳,94,155,3,23
清远,65,42,2,12
温州,47,66,1,16
渭南,12,92,0,1
湖州,81,178,5,23
湘潭,12,27,0,4
湘西,28,159,2,16
湛江,59,66,1,7
滁州,16,64,0,2
滨州,31,87,1,2
漯河,19,47,0,7
漳州,63,88,1,14
潍坊,41,140,0,12
潜江,6,34,0,3
潮州,30,102,4,11
澄迈,8,40,0,4
濮阳,22,32,0,5
烟台,53,231,1,14
焦作,26,162,3,6
牡丹江,45,56,1,14
玉林,11,86,6,7
玉溪,39,50,3,10
珠海,46,107,1,14
琼中,6,5,0,1
琼海,12,57,0,9
甘孜,74,37,5,3
白城,46,14,0,4
白山,24,45,0,14
白沙,13,3,0,0
白银,21,74,0,3
百色,42,86,4,12
益阳,31,41,1,5
盘锦,104,16,3,9
眉山,20,72,2,5
石嘴山,32,42,0,3
石家庄,50,150,4,10
石河子,7,29,0,4
神农架,89,20,1,3
福州,58,148,0,26
秦皇岛,42,102,2,12
红河,31,122,0,16
绍兴,28,201,0,21
绥化,13,18,0,0
绵阳,28,48,1,2
聊城,24,142,0,20
肇庆,36,84,1,13
自贡,40,56,1,7
舟山,34,70,5,21
芜湖,30,53,0,15
苏州,92,365,5,51
茂名,32,46,1,8
荆州,38,112,0,6
莆田,10,53,0,6
莱芜,13,10,1,5
菏泽,16,44,1,2
萍乡,24,34,0,5
营口,5,20,1,1
葫芦岛,7,49,1,4
蚌埠,18,32,0,1
衡水,5,47,0,3
衡阳,41,66,4,7
衢州,35,124,0,14
襄阳,34,68,4,9
西双版纳,49,47,0,10
西安,35,336,3,15
许昌,23,116,1,7
贵港,27,22,0,7
贵阳,56,77,2,10
贺州,47,125,0,13
资阳,6,16,1,3
赣州,21,76,2,9
赤峰,38,41,1,12
辽源,40,22,0,16
辽阳,14,38,1,0
达州,17,31,1,7
运城,16,148,0,4
连云港,31,49,1,8
迪庆,51,77,4,11
通化,39,35,4,5
通辽,36,15,0,5
遂宁,10,52,3,13
遵义,74,108,4,16
邢台,19,62,1,4
那曲,37,17,1,1
邵阳,31,26,2,2
郑州,76,203,2,29
郴州,65,15,1,10
鄂尔多斯,79,62,0,7
鄂州,10,33,0,2
酒泉,32,195,1,9
重庆,82,293,3,25
金华,60,201,6,23
金昌,12,30,1,2
钦州,35,35,1,4
铁岭,19,38,1,3
铁门关,0,10,0,1
铜仁,61,82,0,15
铜川,18,61,0,0
铜陵,19,65,1,6
银川,52,206,0,12
锡林郭勒盟,58,32,2,1
长沙,54,206,2,22
长治,42,50,1,2
长白山,0,0,0,0
阜新,5,37,1,5
阜阳,54,34,0,12
防城港,53,54,0,3
阳江,31,36,0,14
阳泉,19,27,2,0
阿克苏,29,80,1,8
阿勒泰,135,61,5,19
阿坝,81,82,4,6
阿拉尔,1,3,0,1
阿里,8,36,0,0
陇南,29,46,3,4
陵水,46,26,1,26
随州,18,34,2,3
雄安新区,5,18,0,1
雅安,53,74,10,6
青岛,42,178,2,29
青木川,4,18,0,2
鞍山,32,53,6,5
韶关,40,42,3,8
马鞍山,19,25,0,3
驻马店,14,30,1,1
鸡西,17,16,0,1
鹤壁,14,21,2,6
鹤岗,26,20,0,2
鹰潭,16,6,1,3
黄冈,24,33,0,7
黄山,30,137,3,12
黄石,13,24,4,2
黑河,32,71,2,16
黔东南,58,146,2,18
黔南,70,61,3,10
黔西南,17,55,0,8
齐齐哈尔,55,50,2,7
龙岩,33,88,2,6
