名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
石龙山,http://travel.qunar.com/p-oi722435-shilongshan,"

地址:
七台河市茄子河区铁山乡境内

",国家AA级旅游区石龙山国家森林公园位于七台河市茄子河区铁山乡境内，石龙峰海拔746.8米，是七台河东部海拔最高的山峰。森林公园内森林资源丰富，生长着珍贵的参天古树和优质的黄波罗、水曲柳、山槐、紫、柞、桦、榆、柳等树种，属典型的针阔叶混交天然林，也是一片至今保留比较完整的原始森林。公园共分林海揽胜区、石龙湖景区、餐饮服务区三大区域，有百年桦苑、千年橡园、万年榆林、聚仙阁、猎户人家、观景亭、爱晚亭、观景长廊、鹏跃湾、葫芦岛山庄、龙泉寺、石龙湖等景点。独特的...国家AA级旅游区石龙山国家森林公园位于七台河市茄子河区铁山乡境内，石龙峰海拔746.8米，是七台河东部海拔最高的山峰。森林公园内森林资源丰富，生长着珍贵的参天古树和优质的黄波罗、水曲柳、山槐、紫、柞、桦、榆、柳等树种，属典型的针阔叶混交天然林，也是一片至今保留比较完整的原始森林。公园共分林海揽胜区、石龙湖景区、餐饮服务区三大区域，有百年桦苑、千年橡园、万年榆林、聚仙阁、猎户人家、观景亭、爱晚亭、观景长廊、鹏跃湾、葫芦岛山庄、龙泉寺、石龙湖等景点。独特的地形地貌和别具特色的建筑以及丰富的植被，是开展漂流、攀岩、登山、滑雪、狩猎的理想场所，是户外郊流、休闲、避署的绝佳之处。,8:00--17:00,,3.7,,,15元,,1
西大圈,http://travel.qunar.com/p-oi722436-xidaquan,,,,,,,,,,1
挠力河,http://travel.qunar.com/p-oi38035216-naolihe,,,,,--,,,具体收费情况以现场公示为主,,1
仙湖洞,http://travel.qunar.com/p-oi37167118-xianhudong,,永定县一座大型地下石灰岩溶洞，名叫“仙湖洞”。位于永定县抚市乡联中村西坑岩山腰，地处东经117°3′，北纬24°51′。有简易公路可达山脚。洞深约1500米，曲折幽深。洞内自然景观奇特，有十余个厅，洞内石钟乳、石笋、石幔等发育良好，有“乌龟顶石”、鸳鸯戏水”、“雄狮翘首”、“观音罗汉”等景点。较大的“西海龙宫”，面积约10000平方米，洞高十余米，洞内奇峰林立，石笋满地，龙宫内有地下湖，长五十米，宽二十米，湖水清澈，水深五、六米，可供划船、游泳。湖中有一擎天柱，高...永定县一座大型地下石灰岩溶洞，名叫“仙湖洞”。位于永定县抚市乡联中村西坑岩山腰，地处东经117°3′，北纬24°51′。有简易公路可达山脚。洞深约1500米，曲折幽深。洞内自然景观奇特，有十余个厅，洞内石钟乳、石笋、石幔等发育良好，有“乌龟顶石”、鸳鸯戏水”、“雄狮翘首”、“观音罗汉”等景点。较大的“西海龙宫”，面积约10000平方米，洞高十余米，洞内奇峰林立，石笋满地，龙宫内有地下湖，长五十米，宽二十米，湖水清澈，水深五、六米，可供划船、游泳。湖中有一擎天柱，高十余米，造型别致。敲之如钟鸣，湖边有石幔垂落湖中，十分壮观。西海龙宫之上，有“仙人街”，长150米，街头有连环洞，洞中泉水淙淙。,,,--,,,具体收费情况以现场公示为主,,1
七台河市博物馆,http://travel.qunar.com/p-oi36258422-qitaiheshibowuguan,,,,,4.5,,,具体收费情况以现场公示为主,,1
马鞍山林场,http://travel.qunar.com/p-oi26645384-maanshanlinchang,,,,,--,,,,,1
七彩城QiCai Cheng,http://travel.qunar.com/p-oi24441001-qicaicheng,,,,,--,,,具体收费情况以现场公示为主,,1
欣源商业街XinYuan ShangYe Jie,http://travel.qunar.com/p-oi24440983-xinyuanshangyejie,,,,,--,,,具体收费情况以现场公示为主,,1
黑龙江七台河步行街HeiLongJiang QiTaiHe BuXingJie,http://travel.qunar.com/p-oi24440973-heilongjiangqitaihebu,,,,,--,,,具体收费情况以现场公示为主,,1
七台河烈士陵园Qitaihe Martyrs Cemetery,http://travel.qunar.com/p-oi24409921-qitaihelieshilingyuan,"

地址:
黑龙江省七台河市桃山区辖区

",,全年 全天开放,,4.5,,,具体收费情况以现场公示为主,,1
