名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
加井岛Jiajing Island,http://travel.qunar.com/p-oi5808381-jiajingdao,"

地址:
海南省万宁市石梅湾艾美度假酒店南2公里


电话:
13976798047

",石梅湾加井岛位于石梅湾海域，这是一座原生态的无人小岛，海水清澈见底，能见度更是深达十余米，走入浅海，海星、海参及活体珊瑚随处可见。还吸引了电影《非诚勿扰2》来此取景。由于小岛十分原始，上岛的游客主要是通过参加旅行团的方式。岛南岸曲折险峻，岩石众多，是垂钓的好场所；岛北岸和西岸地势平坦，周边海底分布有姿态万千的珊瑚、色彩斑斓的热带鱼等，形成了蔚为壮观的海底花园，堪称潜水天堂。,8:00-18:30,https://img1.qunarzz.com/travel/d8/1610/a8/c93be2f73ba338b5.jpg_480x360x95_5a5b4b88.jpg,4.5,建议游览时间：3小时 - 5小时,春季，气候温暖、干燥，景色宜人。夏秋季节是海南台风和雷雨季节，风浪有较时候大。,"{'石梅湾加井岛单浮潜体验+摩托艇出海体验大小同价\n\n': ['¥330起'], '石梅湾加井岛双体动力帆船+DSD深潜体验+3小时水上项目畅玩体验成人票\n\n': ['¥778起'], '石梅湾加井岛加井岛浮潜套票+游艇散拼出海体验成人票\n\n': ['¥610起']}",由于加井岛是无人岛，基本呈原始状态，未开发状态，故去加井岛须做好一些必备措施，注意安全：1、患有中耳炎，心血管病，心脏病的游客不宜参与潜水活动。2、去加井岛前先查清最近几天的天气，避免台风天气出游。3、平时穿上夏季的衣服即可，1—3月的时候最好携带几件长袖外套，以备早晚或室外用；由于阳光强烈，太阳镜、帽子为必带物品，女性可别忘了带上防晒霜；最好准备一些防蚊虫的药和晕车、晕船药。,1
石梅湾Shimei Bay,http://travel.qunar.com/p-oi20960502-shimeiwan,"

地址:
万宁市兴隆镇海田路附近


电话:
13976798047

",石梅湾位于万宁市东部海滨，拥有美丽的原始风光，长约7公里的碧海银滩，被植被茂密的低缓山坡所环抱，一侧是一望无际的大海，一侧是层层叠叠的树林。海上偶尔还漂着丰收的渔船，构成了独特的南海风景。由于未被完全开发，游玩石梅湾时可体验的玩乐项目并不是很多，海湾内有一个原生态的无人海岛——加井岛，周边海底分布着种类丰富的水底植物与色彩斑斓的热带鱼等海洋生物，形成了蔚为壮观的海底花园，更是潜水天堂。这里也是电影《非诚勿扰2》的取景地。,全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/decc34e9ca444c4d74afe148d006c40c.jpg_480x360x95_f4296671.jpg,4.6,建议游览时间：2小时,春季，秋季，冬季，气候宜人，夏季是海南台风和雷雨季节，风浪有较时候大。,"{'石梅湾加井岛单浮潜体验+摩托艇出海体验大小同价\n\n': ['¥330起'], '石梅湾加井岛双体动力帆船+DSD深潜体验+3小时水上项目畅玩体验成人票\n\n': ['¥778起'], '石梅湾天鲸直升机飞行营地海景游11公里飞行体验大小同价\n\n': ['¥398起']}",1.最好从简出行，贵重物品能不带就不带了。在更衣或玩耍时注意看管好身边的物品，可以让随行的人轮流看管。2.不要擅自去无人看管的海域游泳，水深不明，很危险。,1
巴厘村Bali Village,http://travel.qunar.com/p-oi10015112-balicun,"

地址:
万宁市兴隆华侨农场工业大道合口旅游区1号


电话:
0898-62555555

",巴厘村以兴隆南洋归侨文化为背景，通过南洋“风情”、“风俗”、“风光”、“风味”将兴隆南洋归侨回国后的生活串联起来，是一个以归侨文化为主题的景区。巴厘村由五个功能区组成，南洋文化馆通过图片和文字详实记载南洋归侨回国的真实情况，展示兴隆华侨农场60多年来的建设发展史。归侨生活区通过以三个不同年代具有代表性的归侨家居为背景（50年代马来西亚归侨的茅草房、60年代印尼归侨的砖瓦房、70年代越南归侨的石头房），通过不同侨居国的手工作坊体验，再现一幅幅马来归侨炒咖啡、印尼归侨烤薄饼、越南归侨做椰糖的真实画面。南洋风情街是在在景区花梨山搭建一个有东南亚特色的舞台，以老归侨自娱自乐的歌舞弹唱表演，游客也可互动参与，听欢快的音乐、看迷人的舞姿、穿鲜艳的花衫、品尝风味小吃、体验异国风情。归侨根缘馆利用现有根艺馆，讲述南洋归侨与兴隆的情缘故事，把根艺布置与兴隆华侨农场的开发建设结合起来，唤醒人们爱护绿色、保护环境的环保意识。产品体验区内以南洋文化为底蕴、以南洋风味为基石，经营销售仅有的南国“老归侨”系列特色产品，“品尝南国风味、领略南洋风情”。,全年 07:30-17:30,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/0aa9c6785c86d7a6c57f3f507b111c14.jpg_480x360x95_9c10aff0.jpg,4.0,建议游览时间：12小时 - 3天,春季，秋季，冬季，气候宜人，夏季是海南台风和雷雨季节，风浪有较时候大。,"{'巴厘村门票成人票\n\n': ['¥25起'], '巴厘村套票（门票+椰香博饼定制）套餐成人票\n\n': ['¥54起'], '兴隆巴厘村电子导览服务大小同价\n\n': ['¥5起']}",到景区之后，一定要遵守景区的规则，看管好自己的随身物品。,1
神州半岛Shenzhou Peninsula,http://travel.qunar.com/p-oi701867-shenzhoubandao,,,,,,,,,,1
大花角Dahua Jiao,http://travel.qunar.com/p-oi707280-dahuajiao,"

地址:
海南万宁东南角的海岸上

","大花角位于万宁县东南角的海岸上，距万城镇约18公里,是海南省级自然保护区。大花角由前鞍和后鞍两个山峦构成，双峰之间，有一处宽近百米的峡谷，与双峰一起伸向浩瀚的南海，于是形成一个天然的海湾。海边全是鹅卵石,密密麻麻的鹅卵石，彪悍霸占了整片海湾。这是它独特迷人之处。 ",全年 全天开放,https://img1.qunarzz.com/travel/poi/1708/d9/03fa99e8f2098337.jpg_480x360x95_076341d3.jpg,3.8,建议游览时间：12小时,,具体收费情况以现场公示为主,,1
兴隆热带植物园Xinglong Tropical Botanical Garden,http://travel.qunar.com/p-oi716287-xinglongredaizhiwuyuan,"

地址:
万宁市兴隆镇南部223国道


电话:
0898-62554410,0898-62555900


官网:
http://www.xlrdzwy.com/

",兴隆热带植物园始建于1957年，颇有历史。它地处万宁东郊，风景秀丽，热带植物种类丰富，还可观赏到“见血封喉”等珍稀植物资源。葱葱的绿海，幽幽的果香，漫步其中非常舒服。走进兴隆热带植物园，便如同打开了一本关于热带植物的百科全书，且有许多一般植物园内见不到的奇花异木，如可可树、铁西瓜等。这里还汇集有胡椒、香草兰等热带经济作物和榴莲、山竹子等果树。园区休息接待品尝处还免费提供园区自研自产的兴隆咖啡、可可系列饮品及各式名茶，如苦丁茶、糯米香茶等。如果觉得好喝，有需要的话，可以到里面的超市购茶，买回去当特产还是不错的。,8:00-17:00,https://img1.qunarzz.com/travel/d1/1505/db/44b8bea6febb6d.jpg_480x360x95_734afe38.jpg,4.5,建议游览时间：2小时 - 3小时,春季，秋季，冬季，气候宜人，夏季是海南台风和雷雨季节，风浪有较时候大。,"{'兴隆热带植物园门票成人票\n\n': ['¥48起'], '兴隆热带植物园门票老人票\n\n': ['¥25起'], '兴隆热带植物园门票亲子票(1大1小)\n\n': ['¥72起']}",入园提示：门票当天有效，出园后再入园，需再次购票。 园内禁止活动：攀折树木、采摘花果，各种形式的狩猎，捕捉、打捞水生动物及植物。 破坏生态、污染环境、危害文物之行为。 其它妨碍游客休闲度假、违反公共秩序等行为。 ,1
南燕湾Nanyan Bay,http://travel.qunar.com/p-oi706270-nanyanwan,"

地址:
万宁市南沿海


电话:
0898-62263333

",自位于万宁市礼纪镇南沿海，与石梅湾相连。由于此处是燕窝鸟和春燕度寒栖身之地，故得名。又一说是此处海边山崖形如一巨燕浮于水，才得此名。南燕湾旅游资源丰富，山峰石崖高耸，清泉飞瀑长流，巨洞阔大，沙滩洁白，绿树葱笼，天青海碧，水产丰富。此外，还有日商投资建造的18洞高尔夫球场。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/36313394573421065f2922cb1d22da06.jpg_480x360x95_610e747b.jpg,4.4,建议游览时间：2小时,春季，秋季，冬季，气候宜人，夏季是海南台风和雷雨季节，风浪有较时候大。,具体收费情况以现场公示为主,1.自带少许食物，以备路车上用。2.钱、贵重物品等妥善放于箱包之内，身上可带少量零钱。 ,1
"万宁山钦湾Shanqin Bay, Wanning",http://travel.qunar.com/p-oi714581-wanningshanqinwan,"

地址:
万宁市龙滚镇中信大道

",万宁山钦湾位于海南省万宁市的北部，总面积约2000亩。,全天,https://img1.qunarzz.com/travel/poi/1409/11/e4d62a97491c61beffffffffc8d65eac.jpg_480x360x95_6fbadcc7.jpg,4.1,建议游览时间：2小时 - 4小时,全年皆宜。海南长夏无冬，终年湿润，无明显季节之分。,具体收费情况以现场公示为主,,1
大洲岛Dazhou Island,http://travel.qunar.com/p-oi705093-dazhoudao,"

地址:
万宁市

",大洲岛又名燕窝岛，位于万宁市东南部的海面上，周围海水清澈见底，堪称潜水天堂。这里还是我国为数不多的金丝燕保护区，意义深远。大洲岛分为北小岭和南大岭，中间由一条长700米的海滩相连，沙质细腻，在阳光的照耀下恍若泛着银光，周围海水清澈，海中能见度达5至10米远，上岛的游客只能在这片海域活动。因为岛上人烟稀少，去往大洲岛一般是在乌场码头乘坐快艇上岛，或者在当地报一个前往大洲岛的旅行团，跟团上岛。,全天开放,https://img1.qunarzz.com/travel/d5/1409/03/d4ad21ed47d64cecffffffffc8d65eac.jpg_480x360x95_bb941d9c.jpg,4.8,建议游览时间：12小时 - 3天,春季，秋季，冬季，气候宜人，夏季是海南台风和雷雨季节，风浪有较时候大。,"{'大洲岛沉船浮潜套票成人票\n\n': ['¥498起'], '大洲岛沉船浮潜套票儿童票\n\n': ['¥298起'], '万宁大洲岛游艇/渔船快艇轻奢海岛游【海岛观光/浮潜体验】\n\n': ['¥498起']}",大洲岛虽然是海南沿海线上最大一个荒岛，但是面积还是很小的，一般有半天游玩时间就非常充足了，由于淡水资源有限，处于保护小岛出发，还是呼吁大家竟可能不要在，岛上露营起灶烧烤做饭，避免产垃圾，更不要随手丢弃垃圾，小岛生态环境非常脆弱，你来不反对，但是你要注意爱护保护它，近年来全国各地也有很驴友来岛上，但是这里有一部分素质低下的驴友，露营同时往往也烧烤烟熏火燎的，走的时候在沙滩上留下一大堆垃圾，还有的下海破坏珊瑚礁，这些都是需要想上岛的朋友十分注意的问题！,1
日月湾Riyue Bay Haimen Tourism Area,http://travel.qunar.com/p-oi708452-riyuewan,"

地址:
万宁市礼纪镇日月湾南海渔村文化旅游区


电话:
0898-62585599,0898-62585235

",日月湾海门游览区是国家AAA级旅游景区。日月湾海门浏览区位于素有“海南黄金海岸”之称的日月湾海边，距离海口市168公里，三亚市87公里，从东线高速公路日月湾入口进入景区只有500米。是一处具有特色海洋景观（海门奇石）和海湾风情文化相结合的旅游景点。游览区分为海门公园和台海民俗文化游览区两部分，海门公园主要景观和配套服务项目有：海门奇观、椰林休闲广场、龙王鼎、沙滩娱乐、海边骑马等；台海民俗文化游览区内，在一条湾涎小河的主线的牵引下，将“天长地久”大拱门、清水造雾、外婆家、台海兰苑、盘古掌、人造瀑布、快活椰林、风情演艺、中华龙等景物有机地联动起来。,全年 07:30-17:30,https://img1.qunarzz.com/travel/poi/1708/e5/f3e32bcd8b8f0e37.jpg_480x360x95_cdefd869.jpg,4.7,建议游览时间：1.5小时 - 2小时,春季，秋季，冬季，气候宜人，夏季是海南台风和雷雨季节，风浪有较时候大。,"{'日月湾冲浪票成人票\n\n': ['¥288起'], '沙卡冲浪俱乐部夏日冲浪店(日月湾店)零基础1v3冲浪体验课\n\n': ['¥428起'], '沙卡冲浪俱乐部夏日冲浪店(日月湾店)零基础1v3冲浪体验课团队票\n\n': ['¥1100起']}",日月湾特产黄金椰，椰汁口感好，很甜，15元一个，有机会的话可以尝尝。,1
