名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
西岛West Island,http://travel.qunar.com/p-oi707376-xidao,"

地址:
三亚天涯区肖旗港西岛海洋文化旅游区


电话:
0898-88910888


官网:
http://www.syxidao.com/

",西岛，位于三亚湾的中心位置，是海南的原住民旅游海岛，全岛面积2.8平方公里。岛上风景秀丽，海水清澈见底，是一个集海滨风光、沙滩浴、休闲娱乐、海洋探险于一体的综合性旅游区。除了水上娱乐，也可以上牛王岛（牛王岭）游玩，牛王岛是一座与西岛几近相连的袖珍小岛，乘电瓶车经环岛西路和一条长长的海上栈道便可抵达。这里拥有最原始的海岛风光，登高远眺，可以欣赏到壮阔的海天一色、鬼斧神工的礁石景观、雄浑的日出日落，向北可一览三亚的城市风光，向南可纵观浩瀚的南中国海。潜水西岛享有“潜水圣地”的美誉，有专设的潜水海域，海水清澈湛蓝，海底生物种类繁多，在这里您可以纵身海底，盘恒于珊瑚丛中，感受被珊瑚礁簇拥，与鱼群共舞的乐趣。海上运动被三亚湾环抱着的西岛，湛蓝萦绕、水阔潮平，是开展海上运动的天堂；在这里可以尽情体验海上速度与激情的较量，将自己置身在蔚蓝的大海中，感受动感刺激的独特魅力，尽情享受纵身海洋的欢乐时光。帆船、拖曳伞、水上飞龙、摩托艇、香蕉船、飞鱼船、动感快艇等20多项海上运动任你选择~,全年 08:30-17:30,https://img1.qunarzz.com/travel/d9/1509/f7/33b75c9be31b67.jpg_480x360x95_058bc6d4.jpg,4.4,建议游览时间：3小时 - 5小时,11-3月最佳。 三亚一年中气候变化不大，四季均适合旅游。 从9月开始北方气候变冷，三亚却温暖如春，所以冬季来西岛最适宜。夏季的三亚比较热。春秋两季虽然不是最佳季节，不过舒适的海边也很适合度假。,"{'三亚西岛门票+往返船票成人票\n\n': ['¥90起'], '西岛门票+往返船票成人票\n\n': ['¥80起'], '西岛门票+往返船票优待票\n\n': ['¥48起']}",如果从西岛的官方旗舰店购买门票，可以乘坐景区免费巴士：每日8:30从大东海夏日百货始发;约9:00抵达海月广场金凤凰酒店；9:00-9:20途径三亚湾酒店区域；约9:30抵达西岛陆岛交通的门户——肖旗港；下午16:30免费班车从西岛肖旗港码头原路返程。,1
大东海Dadonghai,http://travel.qunar.com/p-oi706172-dadonghai,"

地址:
三亚市田独镇大东海旅游区


电话:
0898-88212189,0898-88212680


官网:
http://www.sydadonghai.com/

",大东海是三亚离市中心比较近的一个海湾，交通、用餐和住宿都比较便利。虽然沙质和水质略逊于亚龙湾，但是比三亚湾更胜一筹，加上地理位置和酒店价位，成了高性价比的所在。大东海三面环山，整个海湾呈优美的月牙形，椰林环抱着沙滩，环境十分宜人，可以说是国内的“小圣托里尼”，不失为拍照好地。大东海的度假酒店集中在海滩边一小片区域内，坐落着老牌的五星酒店银泰、山海天万豪大酒店，也有半山半岛洲际、文华东方酒店等品牌。此外，大东海区域也拥有许多价格实惠且环境好的酒店式公寓和客栈。大东海开发早，设施配套也齐全，常年有多种水上活动和沙滩运动，潜水多为浮潜，没有游泳基础也不用担心，因为升降都是由教练控制的，你要做的就只是愉快的游玩和享受。,全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/9a9b5d6ef2939248b89539f44d010c06.jpg_480x360x95_6268eb87.jpg,4.6,建议游览时间：12小时 - 3天,11月至次年3月是人气最旺的时候，冬季水温有18度，是避寒胜地。,"{'大东海出海观光+岛礁深潜+浮潜(含装备)+娱乐9项目+VIP餐体验成人票\n\n': ['¥92起'], '大东海SUP桨板洞穴探险+5M悬崖跳水等项目体验成人票\n\n': ['¥298起'], '大东海出海观光+岛礁深潜+浮潜(含装备)+娱乐8项目+简餐套票成人票\n\n': ['¥48起']}",公共游泳区域可以租赁救生圈、遮阳伞、躺椅等设施，冲淡水和柜子租赁单独收费。,1
三亚游艇出海,http://travel.qunar.com/p-oi35445341-sanyayoutingchuhai,,三亚游艇出海带你体验时而惊险刺激，时而悠闲舒适的航行，让久处办公室的人们，放松心情，敞开胸怀，拥抱大海！体验高大上，远离尘嚣，回应大海的召唤。 雅马哈运动艇旗舰机型242Limited S，装备新型船体和可动式龙骨，提高直线行驶稳定性的同时，大幅提升驾驶操控性与低速时的船舵性能。无动力帆船，体验原始风力推动船舶的古老魅力。 零距离亲近大海，结合了“游艇观光、户外精品潜水、海上垂钓、海上烧烤，体验游艇奢华高贵生活”等多种项目，实现真正的看海、玩海。 太阳，海风，...三亚游艇出海带你体验时而惊险刺激，时而悠闲舒适的航行，让久处办公室的人们，放松心情，敞开胸怀，拥抱大海！体验高大上，远离尘嚣，回应大海的召唤。 雅马哈运动艇旗舰机型242Limited S，装备新型船体和可动式龙骨，提高直线行驶稳定性的同时，大幅提升驾驶操控性与低速时的船舵性能。无动力帆船，体验原始风力推动船舶的古老魅力。 零距离亲近大海，结合了“游艇观光、户外精品潜水、海上垂钓、海上烧烤，体验游艇奢华高贵生活”等多种项目，实现真正的看海、玩海。 太阳，海风，船，享受漂泊的舒心和内心的荡漾。,,https://img1.qunarzz.com/piao/fusion/2201/4f/b1e472f8c58d9102.jpg_480x360x95_4ba55168.jpg,--,,,,,1
蜈支洲岛Wuzhizhou Island,http://travel.qunar.com/p-oi702619-wuzhizhoudao,"

地址:
三亚市海棠区海棠湾镇蜈支洲岛


电话:
0898-88751258,0898-88751256,400-114-6666


官网:
http://www.wuzhizhou.com/

",蜈支洲岛旅游区是5A级景区，坐落于三亚市海棠湾内，面积共有1.48平方公里，拥有丰富的海底生态资源和品类齐全、“四栖”全域玩海的水上运动产品体系。现已成为一座集海岛观光、项目游玩、蜜月度假和亲子旅游等元素于一体的国家海岸海岛旅游度假综合体，是全国知名的旅游目的地品牌。这里有“中国热带海洋牧场”，并依托海洋牧场孕育和挖掘出了国内的玩海方式。它不仅有环岛潜、进阶潜水和珊瑚礁潜水等典型潜水项目，还集合了诸如动感飞艇、海豚潜艇、海天飞舞等从国外引进的新型娱乐项目。此外，还配备着直升机环岛及体验度极高的户外风洞体验中心，满足了游客“海、陆、空、水下”四栖游玩的度假享受和追求，不论是好奇心十足的潜水探索者，还是勇敢狂热的“极限达人”，都能在这里找到自己的游玩归宿。除了丰富的娱乐项目，岛上还有情人桥、情人岛、观日岩、私人订制泳池等深受游客欢迎的网红景点，随手一拍就是一张大片。蜿蜒绵长的海岸线，清澈见底的海水，神奇的海底世界五彩斑斓，形态各异的珊瑚与马鲛鱼、石斑鱼、海胆、海参、对虾、夜光螺及五颜六色的热带鱼一起构成了国内优质的潜水胜地！目前，蜈支洲岛设有麒麟海、后花园、玻璃鱼星球、小宇宙四大潜点，每一个潜点都各具特色，吸引着全球潜水爱好者前来水下探秘。岛上海岛酒店——珊瑚酒店，是国内为数不多的海岛高端精品酒店。它由5栋相连建筑组成，以珊瑚为原型而建，按*****标准，依托海岛度假资源，成功打造了海景、园景、池畔、复式、套房、木屋等多种房型共305间客房，是集浪漫求婚、蜜月旅行和亲子度假的甜蜜之所，为住岛游客提供私密、纯粹的海岛休闲度假生活。,1/1-8/9 08:00-19:30;8/10-9/9 09:00-17:30;9/10-12/31 08:00-17:30,https://img1.qunarzz.com/travel/d8/1507/31/4f40d1414bcf34.jpg_480x360x95_9f2ba75b.jpg,4.6,建议游览时间：3天 - 6天,每年9月至次年4月，秋季和冬季，这时的三亚气候舒适，是个避寒的好去处。没有了夏季的炎热，也避开了台风季节，是最适合的旅游季节。,"{'三亚蜈支洲岛旅游区门票+往返船票成人票\n\n': ['¥140起'], '三亚蜈支洲岛旅游区门票+往返船票儿童票\n\n': ['¥72起'], '三亚蜈支洲岛旅游区门票+往返船票学生票\n\n': ['¥72起']}",若想在蜈支洲岛上体验潜水项目，一定留意游轮最后上岛和离岛时间以免耽误行程。蜈支洲岛风景秀丽建议游客们早上就上岛游览。,1
皇后湾Queen Bay,http://travel.qunar.com/p-oi712295-huanghouwan,"

地址:
三亚市海棠区海棠湾镇海棠湾南端


电话:
0898-31800565

",皇后湾是位于海棠湾南端的一处小海湾，这里有清澈的海水、洁净的沙滩以及许多奇礁怪石。这里的海滩虽然不大，却是一片宁静而原始的海湾，可以来这里海钓、烧烤、潜水，享受远离喧嚣的悠闲时光。皇后湾是三亚众多海湾中比较冷门的一处，来这里的游客大部分是找三亚当地旅行社报的一日游，而且来这里的主要活动是海钓和潜水。在这里，你可以亲手捕获美味海鲜，享受海钓带来的惊喜；也可以潜入海中与珊瑚和鱼群亲密接触，这一带海湾里有着完整未破坏的珊瑚，是开展浮潜的场所。皇后湾的海...皇后湾是位于海棠湾南端的一处小海湾，这里有清澈的海水、洁净的沙滩以及许多奇礁怪石。这里的海滩虽然不大，却是一片宁静而原始的海湾，可以来这里海钓、烧烤、潜水，享受远离喧嚣的悠闲时光。皇后湾是三亚众多海湾中比较冷门的一处，来这里的游客大部分是找三亚当地旅行社报的一日游，而且来这里的主要活动是海钓和潜水。在这里，你可以亲手捕获美味海鲜，享受海钓带来的惊喜；也可以潜入海中与珊瑚和鱼群亲密接触，这一带海湾里有着完整未破坏的珊瑚，是开展浮潜的场所。皇后湾的海产品和珊瑚礁都是富足的，也可以说相对保存的较为完好，所以如果有前去游玩的游客，在玩的开心的前提下，别打乱这一块的生态环境链，请保护环境。另外需要小心非正规的代理，潜水可能存在乱收费的现象，不要轻信那些小广告和小传单，不要贪图便宜。尤其不要信水下摄影之类的，如果要订，就提前找正规的户外俱乐部订好。,9:00-17:00,https://flight-feed.qunarzz.com/img/prod/2019/7/b3a77210-e0a4-432d-9783-cd4a728b77d9.jpeg_480x360_dc7c591d.jpeg,4.5,建议游览时间：3天,12月至来年4月。这时的三亚气候舒适，是个避寒的好去处，没有了夏季的炎热，也避开了台风季节。,具体收费情况以景区现场公示为主,,1
亚龙湾热带天堂森林公园Yalong Bay Tropical Paradise Forest Park,http://travel.qunar.com/p-oi708195-yalongwanredaitiantang,"

地址:
三亚市亚龙湾区湾路665号亚龙湾国家旅游度假区


电话:
0898-38219999,0898-38238888


官网:
http://park.ylwpark.com/

",亚龙湾热带天堂森林公园景区位于亚龙湾国家旅游度假区内，电影《非诚勿扰II》、电视剧《亲爱的，热爱的》在海南三亚的主要取景地。园区定位于国际滨海生态观光兼生态度假型森林公园，被专家美誉为第三代森林旅游产品的典范之作。园区内树木葱茏，能看那藤萝密布、溪水潺潺，可遇到那百年古藤、参天巨榕，能听闻虫唱鸟鸣，极尽野趣。景区内随处都可见《非诚勿扰II》、《亲爱的，热爱的》中的场景，舒淇、葛优、杨紫、李现走过素有情人桥之称的“过江龙索桥”，悬崖边的“峭壁天池”、见证浪漫爱情的《非诚勿扰II》里的试婚房、网红玻璃栈桥等，都是情侣们不可错过的打卡地。漫步天街，享受北纬18°天街慢生活，行走在全海景玻璃栈桥上将亚龙湾的美景尽收眼底，面朝大海，背靠青山，四季花开。【全海景玻璃栈桥】全海景玻璃栈桥位于亚龙湾热带天堂森林公园之巅，最高处海拔450米，为全海景玻璃栈桥。玻璃栈桥依山而建，全长400米，由130吨超白进口夹胶玻璃构成，包括凌空台、七彩天梯、彩莲观景台、彩虹之路、山盟海誓及心心相印等景点。栈桥路面全部使用3M*3M的超大单体透明玻璃铺设，在栈桥上行走，上可仰观天高云淡，下可俯视逾百米深的雨林山谷，前可俯视亚龙湾全景，胆战心惊之余，更可享受凌空而行的快乐。【雨林飞漂】雨林飞漂又被称为“林上飞水上漂过山车”。飞漂滑道由高强度钢化双层夹胶玻璃构成，全长3100米，落差280米，相当于从93层高的楼顶往下飞速滑落。飞漂全程有弯道28处，总长600米，其中C型弯道17处，S型弯道11处，更有多处连续S型大转弯。雨林飞漂宛如林上飞水上漂的过山车一般，时而飞掠雨林之巅，时而穿越密林深处，时而俯瞰山海美景，时而探密雨林奇观。体验者在享受惊险与刺激的同时，可近距离接触根抱石、高板根等热带生态奇观，还可与热带常见的巨型蜘蛛、眼镜蛇、大象、猕猴、鳄鱼、长颈鹿等野生动物来一次亲密互动。【兰花谷】兰花谷主要以展现原生态的热带雨林特色景观为主，在谷内长达1000多米的回形步道上藤萝密布，溪水潺潺，多种兰花争奇斗艳、竞相开放，谷内步行登山线路沿途遮天蔽日，参天巨榕、百年古藤、野生桄榔及热带雨林六大奇观随处可见，踱步雨林中，你能感受阵阵清新凉意。在这里，你能卸下繁杂的纷扰，穿越雨林栈道，呼吸清新的空气，畅享休闲的快乐时光。【过江龙索桥】电影《非诚勿扰Ⅱ》、电视剧《亲爱的，热爱的》取景地。过江龙索桥横跨两山之间，全长168米，离地近40米。走在索桥上，近看山峦起伏，远眺辽阔海洋，听鸟语争鸣，闻花香四溢，仿佛置身于海天仙境。索桥又有情人桥之称，一座情网织造的桥，如果情人在上面走过去的话，会终成眷属的。葛优、舒淇、杨紫、李现在这里演绎了浪漫的爱情故事。走过此桥，固然惊险刺激，但爱一个人何尝不是一趟冒险的旅程呢？索桥旁边的烟波亭与古榕树相伴，是欣赏索桥全貌的好场所。【《非诚勿扰II》试婚房】《非诚勿扰II》试婚房是电影情节中的试婚房，房间装饰、布置等全部未变动，为你展示笑笑和秦奋的简单而又不缺乏浪漫的点点滴滴。【雨林魔幻影院】450米山顶巨龙飞腾，林荫小道险象环生。巨蟒、飞禽随时可能出现，瀑布、山川任你穿梭翱翔，由景区投资聘请国外团队制作的以保护热带雨林为题材的影片将让我们换一种方式探索雨林，让身体的每个器官直接感受惊险刺激。【飞跃亚龙湾雨林】茂密的原始雨林，高山耸立，云雾弥漫，飞跃雨林项目将带你领略如飞鼠穿行雨林之巅的奇妙感受，滑索、攀岩、梅花桩、单车骑行等13项高空挑战项目，让你在丛林冒险间挑战自我，觅得一乐。【千里伞、峭壁天池】登上千里伞，流云在脚下飘过，碧海蓝天，八面来风，令人心旷神怡。俯瞰足下，青山碧树红花，与天池鸟巢相映成趣。依悬崖峭壁而建的泳池，与天海融合，与山林一体。犹如镶嵌在山间的一块碧蓝宝石，眼前便是辽阔海景。【北纬18度天街】沿着一条长长的青石板路，你将逛遍林立在两边的热带风情建筑。在这里，你可以品尝海南当地特色小吃、黎苗特色雨林餐，也可以购买老爸茶、泰国工艺品、海南黄花梨，还可以把你的美丽心情写在明信片上通过北纬18°邮局寄给远方的好友。【高空滑索】全长600米的高空滑索，从山顶的至高点极速滑翔，体验穿棱于海天之间的速度与激情，更像山谷中的精灵无拘无束，自由自在。脚下便是无限的苍翠，辽阔的海景犹如一幅长长的画卷在眼前展现。【雨林魔幻迷宫】雨林魔幻迷宫是一个充满家庭温情、智慧与勇气的儿童奇幻冒险乐园，家长与孩子一道体验绳索横渡、大树迷宫、时光隧道等具有运动拓展的项目的娱乐过程中，通过与孩子一道完成各项任务，给予孩子更大的勇气，提升孩子的自信力。【龙雕广场】立有由紫铜浇铸而成的大型龙雕，重达5000公斤，屹立山顶，守望南海。,1/1-8/17 07:30-18:00;8/18-9/10 08:30-18:00;9/11-12/31 07:30-18:00,https://img1.qunarzz.com/travel/d4/1512/d6/6f755d46f4ccfdf7.jpg_480x360x95_a314ca5b.jpg,4.5,建议游览时间：12小时 - 3天,11月-次年3月最佳，每年5月1日 - 9月30日 执行淡季价格，10月1日至次年4月30日执行旺季价格。,"{'亚龙湾热带天堂森林公园门票+游览车票成人票\n\n': ['¥134.5起'], '亚龙湾热带天堂森林公园门票+游览车票儿童票\n\n': ['¥104起'], '亚龙湾热带天堂森林公园门票+游览车票老人票\n\n': ['¥104起']}",黎族是海南人口最多的少数民族，主要分布在海南省中南部的琼中、白沙、昌江、东方、陵水、乐东、三亚、通什等地。黎族源于古代百越的一支，早在秦汉以前就从两广地区陆续来到海南岛定居，“黎”这一专有族称始于唐末，固定于宋代，并沿用至今。黎族有自己的语言，黎语属于汉藏语系壮侗语族黎语支，不同地区方言不同，也有不少群众兼通汉语。黎族虽然没有本民族文字，但创造了丰富多彩的口头文学。其形式活泼，题材广泛，内容丰富，世代相传。黎族是能歌善舞的民族，他们的音乐和舞蹈具有鲜明的民族风格。传统的乐器有口弓、鼻萧等。民间歌谣有两种：一种是用河南汉语作唱词，以黎族民歌韵律为唱腔，称作“汉同黎调”；一种是用黎语作唱词，称为“黎谣正调”，黎族的舞蹈来源于生产和生活。著名的舞有《打柴舞》、《舂米舞》等。黎族手工制造工艺以织锦工艺最为著名。在唐宋时期，黎族的纺织技术就比中原先进发达。他们利用各种不同的纺织工具，形成了一整套系统的生产工艺，编织的织锦制品，以其技术精巧细密，花色艳丽富于特色而驰名。元初杰出的女纺织家黄道婆在崖州居住40多年，向黎族妇女学习棉纺织技术，回到故乡后，在黎族传统纺织工艺基础上加以改进，创造出一套先进的棉纺织工具和技术，为纺织的发展作出了贡献。黎族宗教信仰以祖先崇拜为主，杂以自然崇拜，有些地区还保留着图腾崇拜的习俗。黎族的传统节日是农历的三月三节，黎族的传统住房为船形屋，黎族妇女的传统服饰为筒裙，黎族人有嚼槟榔的嗜好。公园内的飞来石、盘龙洞、千里亭、飞龙石、升官石、发财树、龙门石、仙人脚、荔枝园、穿空索桥、雨林栈道、空山亭等数十处新奇景观已开发完成。而森林公园内建的五星级鸟巢度假村热带天堂，共有独栋别墅及客房共210间套。其度假村建造的风格独具，配套设施设备完善高端，更让人称奇。,1
椰梦长廊Coconut Dream Corridor,http://travel.qunar.com/p-oi706505-yemengzhanglang,"

地址:
三亚市三亚湾滨海路


电话:
0898-66662433

",椰梦长廊是环三亚湾修建的一条海滨风景大道。置身于碧海蓝天椰子树的环境中，漫步在景观大道或海边，可以很好地感受海南的美丽与悠闲。这里的晚霞和夜景也很有名，夜晚可以在海边吃烧烤喝啤酒，看街头表演。椰梦长廊全长20公里，依湾绵延，椰树成林向西延伸至天涯湾。临海的一侧是景观优美迷人的热带植物园林，另一侧是休闲度假区，度假区里面从家庭旅馆到五星级的酒店都有。经常可以看到有人来这里拍摄婚纱照，充满了浪漫的气息。无论什么时候来，你都能感受这份悠闲。晴朗的日子，金黄色的落日晚霞将会布满整个三亚湾椰梦长廊上空。对面的凤凰岛晚上会开起激光彩灯，优美的歌声也会慢慢飘来，靠近海边会有烧烤啤酒，也有好多街头演出可以观看。悠闲地坐着，望着海边的美景，慢慢享受晚上的美好时光，真是再惬意不过了。,全年 全天开放,https://img1.qunarzz.com/travel/d4/1611/d8/0f30ba4e5b1ffbb5.jpg_480x360x95_acff0e44.jpg,4.5,建议游览时间：0.5小时,11月-次年3月。气候适宜，避寒圣地。,"{'【海陆空专线】豪华游艇出海3小时含深潜+直升机体验(多套餐)\n\n': ['¥150起'], '海南三亚凤凰岛直升机飞行体验-凤凰岛出发\n\n': ['¥98起'], '三亚凤凰岛不凡水上游乐俱乐部【水上跑车/远海潜水/摩托艇自驾多种水上项目体验】\n\n': ['¥298起']}",另一侧是魅力四射的休闲度假区，布局巧妙，风格各异的幢幢别墅、座座宾馆等园林式现代建筑处处林立。椰梦长廊营造了优美的生态环境和最佳的休闲度假环境，是三亚市旅游精品的典范。傍晚时分游览椰梦长廊是最具情调的事情。 “三亚湾日落”“滨海植物景观”“海月广场”“豪华酒店及高级别墅区”“三亚湾夜景”等都是您可以捕捉的镜头。,1
三亚亚特兰蒂斯失落的空间水族馆The Lost Chambers Aquarium (Sanya),http://travel.qunar.com/p-oi20958960-sanyayatelandisishiluo,"

地址:
三亚市海棠湾海棠北路三亚·亚特兰蒂斯


电话:
0898-88986666


官网:
https://www.atlantissanya.cn/zh

","失落的空间水族馆 在这里，30个大小各异的互动展示池汇聚着数万尾海洋精灵，带你发掘壮丽的海中奇景。除了与它们近距离接触，你还可以在大使环礁湖乘坐底部透明的“水晶船”喂食它们；或潜入水中与鲨鱼、鳐鱼伙伴们深情共舞。同时也非常欢迎各位来到白鲸池与白鲸安迪与蒂娜嬉戏，一同度过这段难忘时光。准备好开启这段神奇的海洋探秘之旅了吗？您还可顺道加入神秘的贵宾之旅，寻找亚特兰蒂斯帝国圣人，同时探索水下世界。您也可以来一次互动式幕后探秘，以此打造这个神奇海洋的科技及用心。失落的空间水族馆将带您与家人踏上一段难忘的旅程。观赏奇幻海底—大使环礁湖作为整个水族馆中绚丽的打卡点，大使环礁湖肯定有着不凡的魔力。13500吨的蓄海水量，16.5米长的观赏幕墙，足够让你透过这个完全透明的窗口，尽情观赏海洋的无限魅力和奥妙奇景！走近白鲸世界—白鲸池这里是白鲸安迪和蒂娜的家，在这里你能与白鲸近距离互动交流，进一步认识奥妙无限的海洋生物。踏入及腰深的水域，即将迎接您的是友善的白鲸和毕生难忘的互动体验。感受奇妙触感—触摸池这里生活着很多海洋伙伴们！它们是五角海星，面包海星，海苹果，条纹斑竹鲨…;;…;;在这里，你可以零距离用手触摸它们，感受被海洋精灵们簇拥的美妙。请切记按照讲解员的指示互动哦。探秘梦幻生物—水母梦幻而优雅的水母当然不能错过，出现于6亿年前的它们是比恐龙还要早的生物呢。水母的身体晶莹剔透，犹如水墨画般唯美，但你可别被它们的美貌给迷惑了。水母的触须有毒，是当之无愧的海洋温柔杀手！探访古老鱼种—巨骨舌鱼巨骨舌鱼是世界上最大的淡水鱼之一，它们不仅体型庞大，而且全身鳞片坚硬无比，凶猛善战的食人鱼都会对它们望而止步。当然啦，淡水鱼缸里还生活着很多伙伴们，比如红尾鲶、豹江魟。踏入绚丽之境—珊瑚之海踏入水族馆的二楼区域，这片颜色各异的水下“热带雨林” 是由无数珊瑚聚集而成的多样化生态系统。仔细看，里面游荡着无数隐藏其中的甲壳生物和鱼类小伙伴，它们都是生活在这片水下 “雨林”的居民。景区另收费项目探索奇妙秘境 — 亚特兰蒂斯潜水探索之旅探索海底世界，如今轻松又简单！参与者不需持有潜水执照。在专业教练将为您传授必要的技能和知识，并指导您在美丽的深海奥秘区开启潜水体验，探访86,000多尾海洋生物的家园。俯瞰海洋奇观 — 极限浮潜浮潜在大使环礁湖里，为奥妙多姿的海中奇境所震撼着迷，我们会为您提供浮潜装备及课程材料，快来征服这片迷人的“梦幻海洋”。体验难忘经历 — 水晶船之旅坐上透明底的“水晶船”，俯瞰壮丽的海洋奇观。与鱼儿分享美食，近距离看它们跳跃嬉戏，记得用相机记录和分享这一奇妙时刻！走进白鲸世界— 白鲸之泳水下互动这里是白鲸安迪和蒂娜的家，在这里，你能了解更多关于白鲸的知识，在及腰水域，与它们泼水嬉戏，共度亲密的难忘时光。",1/1-9/24 10:00-18:00;9/25-11/2 10:00-22:00;11/3-11/3 09:00-13:00;11/4-12/31 10:00-20:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/e1ff3ce3996f95c53056e3797266fcac.jpg_480x360x95_15776492.jpg,4.5,建议游览时间：1小时 - 2小时,四季均可，9月至次年2月最佳。,"{'亚特兰蒂斯失落的空间水族馆门票成人票\n\n': ['¥192起'], '亚特兰蒂斯失落的空间水族馆门票儿童票\n\n': ['¥157起'], '亚特兰蒂斯失落的空间水族馆门票老人票\n\n': ['¥157起']}",,1
亚龙湾Yalong Bay,http://travel.qunar.com/p-oi707472-yalongwan,"

地址:
三亚市亚龙湾国家旅游度假区


电话:
0898-88568899


官网:
http://www.ylb.com/

",亚龙湾的海水蔚蓝清澈，沙质洁白如玉，年平均海水温度22-25.1°C，终年可游泳。由于这里的水质从一开始就得到了较好的保护和维持，生态环境优良，从而被《国家地理》杂志评为国内八大海湾之一。亚龙湾海岸附近各类别墅、度假村云集，众多知名酒店可供挑选，比如万豪、希尔顿、喜来登、丽思卡尔顿等。此外，这里还建有海上运动中心、高尔夫球场、游艇俱乐部、spa会所等配套设施，来此可轻松享受假期。,全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/3f1b24fe4820b5f3d1153715be0ba1f4.jpg_480x360x95_88a4235d.jpg,4.7,建议游览时间：9天 - 12天,冬季，这时的三亚气候舒适，是个避寒的好去处。没有了夏季的炎热，也避开了台风季节，冬季是最适合的旅游季节。,"{'亚龙湾滨海世界深潜+摩托艇+香蕉船/帆船2选1+冲浪板+简餐票+亚龙湾滨海世界无动力项目套票（A套餐）票大小同价\n\n': ['¥208起'], '亚龙湾滨海世界深潜+飞龙+香蕉船/帆船+冲浪板+简餐+无动力项目(B套餐)票大小同价\n\n': ['¥238起'], '亚龙湾滨海世界深潜+摩托艇+飞龙+香蕉船/帆船2选1+冲浪板+简餐+无动力项目(C套餐)套票大小同价\n\n': ['¥358起']}",亚龙湾沙滩是免费，但是亚龙湾中心广场收费. 亚龙湾的锦母角、亚龙角是军事区，请勿随便拍照逗留。 亚龙湾广场有个贝壳馆，贝壳种类很多，不过价格较贵。天涯海角也很多，固定摊档卖的工艺品要比亚龙湾的便宜一半左右。 三亚天气多变，建议带伞。同时做好防晒工作，多喝水，随身携带防晒霜。在三亚买椰子喝比买水要划算。,1
后海村Houhai Village,http://travel.qunar.com/p-oi10018281-houhaicun,"

地址:
三亚市海棠区后海村


电话:
18650425596,18650427213

",后海村又称滕海渔村，位于海棠湾南端、皇后湾的北部，是一座纯朴美丽的海边渔村，蜈支洲岛游客码头也坐落在这里。在后海村可以感受到悠闲的渔村氛围以及渔民生活，还可以品尝刚捕捞上来的各种生猛海鲜。后海村坐落在海棠湾和皇后湾之间的一座小型半岛上，一直名不见经传、默默无闻，近几年随着蜈支洲岛游客码头的落成，以及海棠湾和皇后湾逐渐出名，这座小渔村也慢慢被旅行者们关注。后海村面海背山，这里拥有原生态的柔软海滩，附近海域也有着较为完整的珊瑚群。在这里，人们可以随意享受海滩，也可以下海潜水，这里还是赏日出的好地方。生活在这里的人们以捕鱼为生，常常可见辛劳而归的渔民们以及他们的“战利品”，你也可以在海南特色的渔排上品尝到刚刚捕捞上来的新鲜海产品。,全天开放,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/4454b6db53f58aed683cc9bf6d065a6d.jpg_480x360x95_e1f84db8.jpg,4.5,建议游览时间：3天,四季均可，冬季最佳。,"{'龙玺冲浪俱乐部国职1v4冲浪不限时+单反+无人机票大小同价\n\n': ['¥168起'], '后海浮潜套票成人票\n\n': ['¥268起'], '后海村后海游艇夜间出海捞鱼体验大小同价\n\n': ['¥355起']}",,1
