名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
大金湖Dajin Lake,http://travel.qunar.com/p-oi712865-dajinhu,"

地址:
福建省三明市泰宁县大金湖世界地质公园内


电话:
0598-7791820,0598-7865205

",大金湖可以说是湖山中的珍品，有着“天下第一湖山”的美誉。浩瀚幽深的湖泊与千姿百态的丹霞奇观完美结合，阳刚与阴柔相济，豪放与婉约互补，构成了景象万千的水上丹霞奇观。除此之外，这里还汇聚了众多的天然大佛，个个形态逼真，尽显灵趣。更有传说说有缘人可以在这祥之间感受到湖山的灵气，受到佛祖的庇佑。大金湖不仅地貌景观独特，而且拥有举世罕见的“岩穴文化”奇观。在历史上它曾拥有大小寺庙多达130多座，每一座都盖在千奇百怪的岩穴里，直到今天保留的还有70多座。其中，最富盛名的要数甘露寺，甘露寺是日本世界文化遗产--奈良东大佛殿的“模版”。如果说大金湖是一个文秀隽美的女子，那么这甘露寺就是她灿若明星的深邃眼眸。既然是“水上佛寺”，自然是登船前往。从水上看去，山从水出，水托山浮，似岛非岛，好一派世外仙境的清新悠然。除了众多岩寺之外，大金湖大大小小的岩穴也与对中国历史影响最深刻的儒教有着千丝万缕的关系，如将宋明理学推向高峰的朱熹就曾在丹霞岩里广教莘莘学子，而南宋状元邹应龙、尚书第的主人李春烨也都因在岩穴里苦读诗书而高中成名。  ,夏季（5月1日-10月7日）8:00-14:30；冬季（10月8日-次年4月30日）8:00-14:00；节假日景区正常开放，其中景区内各景点开放时间详见景区现场公示。,https://img1.qunarzz.com/travel/d7/1612/be/89a716b4d0cb9ab5.jpg_480x360x95_2d044d6a.jpg,4.2,建议游览时间：4小时 - 5小时,三明境内地势不同，森林和水域面积的影响等，导致各地温度和降水的差异，建宁和泰宁两个县，是三明乃至福建省降水量和相对温度最大的地区。三明一年有三个雨季，分别是3-5月的春雨季，5、6月的梅雨季和7-9月的台风雨季，而10月-次年2月则是相对的枯水期。总的来说，三明夏长冬短，气候宜人，一年四季皆可出游。,"{'大金湖门票+游船票+船上讲解服务成人票\n\n': ['¥203起'], '大金湖船票(含门票+人工讲解)门票成人票\n\n': ['¥163起'], '大金湖电子导览服务大小同价\n\n': ['¥6起']}",,1
泰宁古城Taining Ancient City,http://travel.qunar.com/p-oi7645383-taininggucheng,,,,,,,,,,1
桃源洞Taoyuan Cave,http://travel.qunar.com/p-oi704430-taoyuandong,,,,,,,,,,1
沙溪Shaxi Town,http://travel.qunar.com/p-oi32463567-shaxi,,,,,,,,,,1
侠天下景区Xiatianxia Scenic Area,http://travel.qunar.com/p-oi9200686-xiatianxiajingqu,"

地址:
三明市尤溪县汤川乡胡厝村侠天下旅游区


电话:
400-9937211


官网:
http://xtxlyq.com/

",侠天下景区是一家以“侠客文化”为主题的文化旅游度假区。景区总共由江湖、侠谷、绿林三个景区组成，是集神、奇、险、雄、古、幽为一体的主题文化旅游区。侠天下玻璃天桥是一定不能错过的体验项目。玻璃天桥悬空于险峻峡谷中，下方紧邻原始森林，边上是近300米高的老鹰寨瀑布，走在玻璃天桥，如同空中漫步，有种“万丈深渊凌空而过”的刺激感。除此之外，侠天下玻璃天桥的桥面上还彩绘着玻璃破碎、空洞等逼真、险象环生的3D图案。,全年 08:00-17:00,https://img1.qunarzz.com/travel/poi/1707/93/706a1d6c3a48ee37.jpg_480x360x95_85d49638.jpg,4.2,建议游览时间：12小时 - 3天,,"{'侠天下景区+悬崖宝剑电梯+通天福手+双层玻璃悬桥票成人票\n\n': ['¥188起'], '侠天下景区+悬崖宝剑电梯+通天福手+双层玻璃悬桥票优待票\n\n': ['¥128起'], '侠天下旅游区门票+游玩套票优待票\n\n': ['¥128起']}",,1
九龙潭Nine Dragon Pond,http://travel.qunar.com/p-oi7469617-jiulongtan,"

地址:
三明市泰宁县


电话:
0598-7869199

",        九龙潭景区由福建省旅游发展集团与泰宁政府共同投资，因其拥有无数条山泉溪涧汇聚而成的泉潭而得名。该景区位于泰宁世界自然遗产、世界地质公园核心区，景区方圆15km²内，水源充沛、生态优良，融合了泰宁“湖、溪、山、谷、岩、峰、沟”的精华，被誉为“水上丹霞的精品”、“丹霞山水微缩明珠”。景区体验感丰富，呈现“白加黑”全链条全时段拉长：日游：水上竹筏带游客体验“水天玻璃栈道”、“网红桥”、“喊泉”和世界罕见的“千米水上一线天”；夜游：作为全国少有、福建省首个“行进式”水上峡谷夜游项目，峡谷夜游带游客与世隔绝，融入自然，感受负氧离子极高的天然绿色氧吧和梦幻、幽静、空灵的别样意境，真正“夜游九龙潭，静享夜的美”。        “白天观山水，夜晚赏光影”的九龙潭，早已成为清新福建的又一张响亮名片。作为连续四年登上央视，连续两年呈现在“全国两会”开幕式前的直播景区，九龙潭景区2019年又被评为“华东十大金牌漂流景区”。面对多项荣誉，九龙潭景区坚持创新不止步，百尺竿头思更进，让游客即使身处同一个景区，也能体验到白与黑、动与静两种全然不同的世界。,8:00-16:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/a3950706d0c89434709b8dc268fb221f.jpg_480x360x95_6e222f7b.jpg,4.5,建议游览时间：1小时,,"{'九龙潭门票+水上竹筏+玻璃栈道+观光车票成人票\n\n': ['¥100起'], '九龙潭+水上竹筏+玻璃栈道+观光车票儿童票\n\n': ['¥83起'], '九龙潭+水上竹筏+玻璃栈道+观光车票学生票\n\n': ['¥90起']}",,1
寨下大峡谷Zhaixia Grand Canyon,http://travel.qunar.com/p-oi7469653-zhaixiadaxiagu,,,,,,,,,,1
玉华洞Yuhua Cave,http://travel.qunar.com/p-oi713577-yuhuadong,"

地址:
三明市将乐县梅花村


电话:
0598-2323296,0598-2323977

",玉华洞于汉初被人发现后，游踪不断。宋代杨时、李纲等曾游此洞。明徐霞客游后有此洞“弘含奇瑰，炫巧争奇，遍布幽奥”的赞语。洞进出口处岩壁上保留不少宋以来的摩崖石刻。明万历年间(1573～1619年)，廖九峰为玉华洞修志7卷，清康熙年间(1662～1722年)邑人廖云友重修《玉华洞志》。在将乐县城东南5公里的天阶山下，因洞内岩石光洁如玉，华光四射而得名，是福建省最大的石灰岩溶洞，第二批省级风景名胜区。全洞总长约6公里，有两条通道，由藏禾洞、雷公洞、果子洞、黄泥洞、溪源洞、白云洞等6个支洞和石泉、井泉、灵泉等3条宽1至3米，深不及膝的小阴河组成。洞内小径盘曲，有“琼楼玉宇”、“渴龙饮水”、“朝天曙色”、“蓬莱叠翠”、“雄鹰独立”、“风飘泪烛”等180多景，均为石灰岩溶蚀而成，其中尤以“仙人田”、“炼丹炉”、“荔枝柱”、“苍龙出海”、“童子拜观音”等形象最为逼真。进口为“一扇风”，风声不止，出口是“五更天”，可以使人体验到由昏暗转为光亮的景色。1987年以来不断整修，遇斜坡砌石阶，过溪流架桥梁，主要观景处平缓宽敞，并装有彩灯衬景照明。有水泥公路直达洞口，洞口安放着徐霞客铜像，还建有擂茶馆、动物世界标本馆、荷花池等游览设施。,全年 08:15-16:50;全年 08:15-16:30,https://img1.qunarzz.com/travel/d2/1511/ef/5fbd80e425c31ef7.jpg_480x360x95_573fd366.jpg,4.4,建议游览时间：2小时 - 3小时,,"{'玉华洞门票成人票\n\n': ['¥90起'], '玉华洞门票儿童票\n\n': ['¥47.5起'], '玉华洞门票老人票\n\n': ['¥47.5起']}",,1
明清园Mingqing Park (West Gate),http://travel.qunar.com/p-oi7469636-mingqingyuan,"

地址:
三明市泰宁县城区五里亭泰宁明清园


电话:
0598-8718333

",明清园是福建省十大重点文化产业园之一，是继福建泰宁尚书第古建筑群后又一重要的人文景观。明清园规划占地面积约300亩。该园建设的内容主要有四个：游览鉴赏区、交流交易区、修复加工区、休闲度假区。它是一家独具风韵的私家收藏文化大观园——古民居大观园、古屏风大观园、木雕文化大观园。明清园规划占地面积约260亩，总建筑面积2.4万平方米，按照项目总体规划和4A级景区建设标准，明清园建设4个功能区：一是游览鉴赏区：收藏品展示厅主要展示明清时期的古典家具、古屏风、古牌坊等古建艺术藏品和移植20幢年代、风格、材质各异的古民居，清代石雕门楼一座，花梨木书屋、书院、学堂等配套建设古典园林和景观小品，展示中国不同区域和不同年代的古建艺术文化；二是交流交易区，为中国收藏家协会提供专门的交流活动场所，促进泰宁古玩交易市场的形成；三是创意加工区，对收藏的古民居和古典家具进行修复展示，并可根据客户需要，制作系列高端的旅游产品供游客欣赏交易，；四是精品度假区，按四星级酒店标准建设绿色高端会所，为收藏文化界人士提供服务。北品故宫苑，南看明清园，明清园坐落于福建省泰宁县世界自然遗产地。是一家收藏展示古建筑和木雕艺术精品为主的民间收藏博物馆。园内展示了全国各地明清时期的各流派古建筑以及珍贵木雕艺术珍品，结构精巧的明代民居，富丽堂皇的清代原真性徽派建筑，极具震撼力的明清收藏品。清代木门楼，石碑林，书院祠堂等齐聚一园，在古典园林的映村下，成就了独具风韵的私家收藏文化大观园。明清园体现了生态美和建设美的结合，文化与收藏的结合，形成了特色，打造了亮点。,8:00-17:30,https://img1.qunarzz.com/travel/poi/1806/dd/8bf8f34593bced37.jpg_480x360x95_09a1e903.jpg,4.4,建议游览时间：2小时 - 3小时,,60元,,1
龙泉山,http://travel.qunar.com/p-oi704649-longquanshan,,,,,,,,,,1
仙人谷国家森林公园Sanming Xianrengu National Forest Park Ticket Office,http://travel.qunar.com/p-oi18716515-xianrenguguojiasenlin,,,,,,,,,,2
永安葛里栟榈山风景区Yong'an Geli Benlv Mountain Sceneic Area,http://travel.qunar.com/p-oi9208513-yongangelibinglu:shan,"

地址:
三明市永安市城北9公里二零五国道旁（桃源洞景区对面）


电话:
0598-3630797

","葛里景区是国家重点风景名胜区桃源洞的重要组成部分，全区包括葛里、修竹湾、拼榈潭三部分。位于沙溪河西岸，山峦自上而下依次为修竹湾、葛里，沙溪河自南向北经桃源洞全长6公里为拼榈潭。总面积约7平方公里。该景区历史悠久，为桃源洞风景区的起源。早在唐代就有头陀僧结草访庐居于此，现还保存头陀墓，五代后晋天福年间(公元940年)建有拼榈寺，明嘉靖三十年(公元1551年)建有拼榈书院。其自然景观“俱盘互壁立，为峰为岩、为屏为柱…;…;”引徐霞客赞叹。修竹湾静谧幽雅、古风犹存；葛里则山峰峻峭、岩壁巍峨；拼榈潭碧波浩渺，山光水色，是人们攀岩探险,追寻生态,访古问今的好去处。主要景点有:石头城、走马岩、降仙台、大峡谷、马鞍背、拼榈书院、九姑泉、太极洞、接仙桥、拼榈书院、拼榈寺、观音岩、双寿桃、睡美人等。屹立于岸边大型摩崖石刻“乾坤清气”为明代永安知县李如鸿手笔。新近推出的葛里生态游，是继桃源洞一线天、东南情侣漂之后推出的又一重头戏。这里新修的游路、高耸的亭台、清脆的鸟语、浓郁的花香，沁人心脾，赏心悦目。",景区暂时停业，详情请以景区公示为准，原开放时间8:00-17:00,https://img1.qunarzz.com/travel/poi/1605/3a/5dfe76b3e5033bf7.jpg_480x360x95_ac8ebec3.jpg,4.4,,,"{'桃源洞门票成人票\n\n': ['¥54起'], '鳞隐石林门票成人票\n\n': ['¥44起']}",,2
龙栖山自然保护区Longqishan Nature Reserve,http://travel.qunar.com/p-oi705444-longqishanziranbaohuqu,"

地址:
三明市将乐县龙栖山自然保护区

",龙栖山系武夷山脉东南延伸支脉，保护区内山高林密，古木参天，群峦耸立，流泉飞瀑，风景幽清灵秀。主峰1624米，为将乐县较高峰。侧峰5座，海拔均在1500米以上。龙栖山自然保护区有近6万亩原始森林，是独特的天然植物园。既有南方红豆杉、柳杉、龙柏树等名贵树种，也有含笑、吉祥草、海棠、山茶花等奇花异草，虎、豹、熊、猴群、羚羊、飞狸、娃娃鱼等珍奇动物和多种鸟类亦出没其中。这里既适宜游览观光，又是度假疗养的好去处。区内主要景点有仙人塘、植物园、十字坳、石牛栏、山前云海、龙潭飞瀑、圣水岩等。,全年 8:00-17:30,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/f5b1b29980d19fbdbaba1e7074326fdd.jpg_480x360x95_2eda17a4.jpg,4.0,建议游览时间：1小时,,具体收费情况以现场公示为主,,2
尚书第Shangshu Mansion,http://travel.qunar.com/p-oi712363-shangshudi,"

地址:
三明市泰宁县城内胜利二街福堂巷


电话:
0598-7863013

",泰宁尚书第面积达5400平方米（南北长87米，东西宽52米），主题建筑为五幢，辅房八栋，分五道门一字排列，除厅堂、天井、回廊外，有房120余间，均系砖、石、木结构。甬道、庭院。走廊、天井全用花岗岩石板铺设，厅堂是方砖地，天井有石柱花架和石水缸。庭院前的甬道，分南北二门进出，北端有仪仗厅、接厅。甬道设五重门楼，横匾分别有尚书第、“柱国少保”、“四世一品”、“礼门”、“义路”、“曳履星辰”、“依光日月”、“都谏”等字样，匾额的枋檩柱头雕刻着各种精巧图案。在门斗...泰宁尚书第面积达5400平方米（南北长87米，东西宽52米），主题建筑为五幢，辅房八栋，分五道门一字排列，除厅堂、天井、回廊外，有房120余间，均系砖、石、木结构。甬道、庭院。走廊、天井全用花岗岩石板铺设，厅堂是方砖地，天井有石柱花架和石水缸。庭院前的甬道，分南北二门进出，北端有仪仗厅、接厅。甬道设五重门楼，横匾分别有尚书第、“柱国少保”、“四世一品”、“礼门”、“义路”、“曳履星辰”、“依光日月”、“都谏”等字样，匾额的枋檩柱头雕刻着各种精巧图案。在门斗的石阶列一对抱鼓石，高2米，宽0.92米，鼓座雕着双狮戏球、云龙、花卉。门墩墙基刻有荷墀托、莲裙座、竹节衬柱等精美图案。紧邻泰宁尚书第东面的世德堂，为元末明初古建筑精品，占地7000多平方米，具有500多年的历史。其主房是一列六幢座西朝东的封火山墙硬山式木构架建筑群，它面阔79米，进深40多米，建筑面积3200多平方米，尤其是第五幢，其建筑风格古朴，用材粗放、年代久远。该堂完整地保存了“三厅九栋”的明代民居建筑模式，用材粗犷、风格古朴、厅堂连片、安全舒适，集中展现了明代民居的建筑艺术，具有重要的历史、科研和艺术价值。2001年6月，世德堂并入尚书第建筑群被列为第五批全国重点文物保护单位。世德堂与尚书第、李氏宗祠共同构成尚书第建筑群，总面积达12000平方米。该建筑群中含有古代部分生活场景，是江南典型、完整的古代民居精品建筑群落之一。尚书第所在的胜利二街是城里留存的古街，保存着大片明代住宅建筑群。尚书第售票口旁的李氏宗祠除了有古建筑可看以外，也可以看泰宁特有的梅林戏尚书第，体验泰宁独有的人文气息。这里现在已经改建成了演艺馆，是泰宁县梅林戏剧团的驻地。,8:30-17:30,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/449e91af927a8e03f995b5d631f92a7d.jpg_480x360x95_360f92cb.jpg,4.6,建议游览时间：2小时 - 3小时,,"{'尚书第门票成人票\n\n': ['¥16.8起'], '尚书第门票老人票\n\n': ['¥10起'], '尚书第门票双人票\n\n': ['¥31.5起']}",,2
三明九阜山Jiufu Mountain,http://travel.qunar.com/p-oi715104-sanmingjiufushan,"

地址:
福建省尤溪县西南部


电话:
0598-8765953

",九阜山省级自然保护区位于福建省尤溪县西南部，距离县城12公里，是尤溪县具有很大开发价值的森林生态旅游景区。总面积2308公顷，保护区内第一高峰光尖顶海拔1222.4米。,全年 8:00-17:00,https://img1.qunarzz.com/piao/fusion/1810/ae/7fea20091bc15002.jpg_480x360x95_64994d05.jpg,4.4,建议游览时间：12小时 - 3天,,20元,,2
上清溪Shangqing Rivulet,http://travel.qunar.com/p-oi713519-shangqingxi,"

地址:
三明市泰宁县境内东北部,金湖的上游


电话:
0598-7652678,0598-8266416

",上清溪全长50多公里，景色秀丽新奇，幽静可人。其中崇际至长兴的15公里段为深山峡谷地带，溪流被赤壁丹崖挤逼为弯折的曲线，水面宽处不过20米，窄处只容双排通过。两岸人迹罕至，森林茂密，方圆几十里内仍保持原始自然状态。主要旅游景点有“鲤鱼跳龙门”、“金钟长鸣”、“五老看仙”、“阳光三叠”、“孔雀开屏”、栖鹰崖、乌龙峡、落霞壁、金沙滩和“海市蜃楼”等。溪谷中还常见鸳鸯、野鸭嬉水，不避游人。乌龙峡：峡长130多米，两壁陡峭乌黑发亮，峡中水较深，水流平缓，两侧山崖...上清溪全长50多公里，景色秀丽新奇，幽静可人。其中崇际至长兴的15公里段为深山峡谷地带，溪流被赤壁丹崖挤逼为弯折的曲线，水面宽处不过20米，窄处只容双排通过。两岸人迹罕至，森林茂密，方圆几十里内仍保持原始自然状态。主要旅游景点有“鲤鱼跳龙门”、“金钟长鸣”、“五老看仙”、“阳光三叠”、“孔雀开屏”、栖鹰崖、乌龙峡、落霞壁、金沙滩和“海市蜃楼”等。溪谷中还常见鸳鸯、野鸭嬉水，不避游人。乌龙峡：峡长130多米，两壁陡峭乌黑发亮，峡中水较深，水流平缓，两侧山崖上长满了兰花，又名兰花谷、兰花界。落霞壁：上清溪为壮观的景点，岩壁延伸而出，长六七百米，高五六十米，漂亮的大红底色好像夕阳西下时的晚霞，因此得名。据说落霞壁是由各种图案组成的一幅巨型壁画，故此在岩壁上还可以找到十二生肖的图案。上清溪现开发有竹筏漂流游览的旅游项目，四季可行。漂流距离16.5公里，用时2小时左右，水流平缓，但两岸风光非常秀美。下雨天漂流，则两侧崖壁上山水流下如瀑布，竹排就穿行于瀑布之间；而遇到涨水，狭窄河道德水面会陡然升高，与开阔河面形成近2米的落差，行舟会格外刺激。飞禽不避人，人过谷传声，99曲、88滩、77弯、66峰、55岩、44景、33里，让游人饱尝漂流乐趣。以“妙在原始，美在自然”而享誉“华东第一漂”。丰水期还有橡皮舟漂流探险活动。,夏季（6月1日-10月31日）7:30-16:00；冬季（11月1日-次年5月31日）8:30-15:00；,https://img1.qunarzz.com/travel/d4/1612/99/3a63f785d1ee3fb5.jpg_480x360x95_7e2b8e9f.jpg,4.4,建议游览时间：2.5小时 - 3小时,,"{'上清溪门票+竹筏+环保车票成人票\n\n': ['¥130起'], '上清溪门票+寨下大峡谷门票成人票\n\n': ['¥170起'], '大金湖门票+上清溪（含景交）门票成人票\n\n': ['¥278起']}",,2
