名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
永兴岛Woody Island (Yongxing Island),http://travel.qunar.com/p-oi9553481-yongxingdao,"

地址:
三沙市

",永兴岛是西沙群岛中的岛屿，面积2平方多公里，它是西沙、南沙、东沙、中沙四个群岛的所在地。岛上有大楼、银行、邮政。永兴岛上风光旖旎，绿树成荫。,全年 全天开放,https://img1.qunarzz.com/travel/poi/1701/ae/3ebf8609b62b4437.jpg_480x360x95_e4153120.jpg,4.7,建议游览时间：3天,,具体收费情况以现场公示为主,,1
银屿岛Yinyu Island,http://travel.qunar.com/p-oi8676609-yinyudao,,,,,,,,,,1
北礁,http://travel.qunar.com/p-oi36246835-beijiao,,北礁位于西沙群岛。珊瑚礁在岛屿边缘生长，就像给海岸镶嵌上了彩色的珊瑚边，海平面上升覆盖了整个岛屿就成为了现在的北礁。北礁的珊瑚发育得比较好，海底生物多样，特别适合拍摄。,,,5.0,,,具体收费情况以现场公示为主,,1
西沙海洋博物馆Xisha Maritime Museum,http://travel.qunar.com/p-oi706995-xishahaiyangbowuguan,"

地址:
三沙市西沙群岛永兴岛上

","西沙群岛，有一座驻岛官兵自己动手创办的海洋博物馆。它既是我国南端的海洋博物馆，也是我国一个由军人们创办的海洋博物馆－西沙海洋博物馆,驻岛官兵们将部分爬上海滩的海龟和采集到的贝类制成标本，集中陈列。西沙海洋博物馆位于永兴岛，始创建上世纪的80年代。2001年元旦，海洋博物馆新馆正式开馆，扩建后的博物馆展厅面积约800平方米，分为图文厅、海石花厅、海龟龙虾厅、海鱼标本厅等8个厅，共收藏各类海洋标本、图片资料约400多种、3000多件（幅）。博物馆中陈列了许多海洋生物的标本。如底部如马蹄、形如金字塔的“马蹄螺”，花开如梅的海参“梅花参”，以及各种鱼类标本，形态各异的珊瑚花和石花，使整个陈列馆琳琅满目，趣味无穷。",免费,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/03378c0fee019dea8ebb0e1a21ac67d0.jpg_480x360x95_8c4aed3a.jpg,4.8,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
长滩,http://travel.qunar.com/p-oi38035095-changtan,,,,,5.0,,,具体收费情况以现场公示为主,,1
西沙洲,http://travel.qunar.com/p-oi38035025-xishazhou,,,,,5.0,,,具体收费情况以现场公示为主,,1
南岛,http://travel.qunar.com/p-oi38034607-nandao,,,,,--,,,具体收费情况以现场公示为主,,1
华光礁,http://travel.qunar.com/p-oi36478058-huaguangjiao,"

地址:
海南省三沙市西沙区

",华光礁位于中国西沙群岛永乐群岛中，在盘石屿北方7海里、永乐环礁南面约10海里处。退潮时，整个礁盘可以出露海面。华光礁发育较完整，只有南北两门与海相通。门两侧礁头多，不利航行。,全年 全天开放,,0.0,,,具体收费情况以现场公示为主,,1
浪花礁,http://travel.qunar.com/p-oi36478055-langhuajiao,"

地址:
海南省三沙市西沙区

",浪花礁位于中国西沙群岛中，是宣德群岛较南端的环礁，在东岛环礁以南。环礁发育完整，合围潟湖。浪花礁为东西走向的狭长礁盘，礁盘广大，并有沙洲发育。沙洲涨潮时掩没，退潮时可见。浪花礁设置有灯塔，附近有国际航道。,全年 全天开放,,0.0,,,具体收费情况以现场公示为主,,1
永暑岛,http://travel.qunar.com/p-oi36212290-yongshudao,,永暑岛是永暑礁西南礁盘上的人工岛，面积约108平方公里，1988年中国在此建立了联合国教科文组织的海洋观察站，永陆面积约2.8平方公里，建有永暑岛机场、永暑医院等。,,,5.0,建议游览时间：3天 - 6天,,具体收费情况以现场公示为主,,1
