名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
函谷关历史文化旅游区Hangu Pass Historical and Cultural Tourism Zone,http://travel.qunar.com/p-oi715559-hanguguanlishiwenhualu:,"

地址:
灵宝市函谷关历史文化旅游区


电话:
0398-6922012,0398-6923333

",函谷关历史文化旅游区主要景点有太初宫、道圣宫、道家养生园、藏经楼、瞻紫楼、鸡鸣台、碑林、蜡像馆、博物馆、关楼、函关古道等20余处。周慎靓王三年，楚怀王举六国之师伐秦，秦依函谷天险，使六国军队“伏尸百万，流血漂橹”。秦始皇六年，楚、赵、卫等五国军队犯秦，“至函谷，皆败走”。“刘邦守关拒项羽”，“安史之乱”的唐军与叛军的“桃林大战”，1944年中国军队与日本侵略军的“函谷关大战”，都是在这里进行的。函谷关不仅是一处军事重地，而且是古代中原腹地与西北地区文化、经济交流的要点。围绕着这座重关名城流传着“紫气东来”、“老子过关”、“鸡鸣狗盗”、“公孙白马”、“唐玄宗改元”等历史故事和传说，唐太宗、唐玄宗、司马迁、李白、杜甫、白居易、司马光等历史名人志士临关吟诗作赋，流传至今的有100余篇。函谷关是我国古代伟大的思想家、哲学家老子著述道家学派开山巨著《道德经》的灵谷圣地，道家文化的发祥地；是古代西去长安、东达洛阳的通衢咽喉，中原文化和秦晋文化的交汇地；是千百年烽烟际会、兵家必争的战略要塞，紫气东来、鸡鸣函关等历史故事与传说的发轫地。,全年 08:00-19:00,https://img1.qunarzz.com/piao/fusion/2109/ce/0ecc9ab079ba1602.jpg_480x360x95_01e568c7.jpg,4.3,建议游览时间：12小时 - 3天,,"{'函谷关历史文化旅游区门票成人票\n\n': ['¥70起'], '函谷关历史文化旅游区门票优待票\n\n': ['¥35起'], '函谷关电子导览服务大小同价\n\n': ['¥9起']}",,1
三门峡大坝Three Gorges Dam,http://travel.qunar.com/p-oi708651-sanmenxiadaba,"

地址:
三门峡市湖滨区王大路


电话:
0398-2992070

",黄河在三门峡市全长120公里，形成了水势浩渺的壮观景象，其中以黄河大坝景致较为壮观。大坝主坝为混凝土重力坝，坝长713.2米，坝高106米；副坝为钢筋混凝土心墙，长144米，坝高24米。电站厂房为坝后式，全长223.88米。黄河古栈道：位于三门峡大坝下游北岸紧靠黄河的陡壁悬崖上，共有两条。一条离河面较高，一条离河面较低，从遗迹上可以看出，黄河古栈道是在紧靠三门峡谷的黄河两岸徒壁的河水冲击处开凿出一条狭窄的石路，再在路断处凿上一排深深的四方洞，然后塞上木桩搭成小道，供船夫们在上面拉纤上溯。今天仍然清晰可见，这些四方洞，散布整个栈道的石壁上，大约有八、九百个。古时人们在石洞上钉进木桩，借此向石壁攀登。牛鼻可让纤夫系上绳索攀援，遇到风浪时即可就近把船栓住。中流砥柱：位于三门峡大坝下方的激流之中。黄河上的艄公又叫它“朝我来”。冬天水浅的时候，它露出水面7米左右；洪水季节，它只露出一个尖顶，看上去好像马上就被洪水吞没，惊险万分。千百年来，无论暴雨的侵袭，还是惊涛骇浪的冲刷，它一直力挽狂澜，巍然屹立于黄河之中，自古被喻为中华民族精神的象征。唐太宗李世民来到这里也写下了“仰临砥柱，北望龙门，茫茫禹迹，浩浩长春”的诗句。此外还有张公岛、梳妆台、大禹公园、迎宾阁、黄河三门峡展览馆、中日友好果园等景点。,全年 8:00-18:00,https://img1.qunarzz.com/travel/poi/1803/99/d081795510cfc137.jpg_480x360x95_3cf1172c.jpg,4.5,建议游览时间：2小时,,具体收费情况以现场公示为主,,1
中流砥柱,http://travel.qunar.com/p-oi706289-zhongliudizhu,,"中流砥柱位于三门峡大坝下方的激流之中。黄河上的艄公又叫它""朝我来""，距市区约30公里。冬天水浅的时候，它露出水面两丈多；洪水季节，它只露出一个尖顶，看上去好像马上就被洪水吞没，惊险万分。千百年来，无论狂风暴雨的侵袭，还是惊涛骇浪的冲刷，它一直力挽狂澜，巍然屹立于黄河之中，如怒狮雄踞，刚强无畏，自古被喻为中华民族精神的象征。公元638年，唐太宗李世民来到这里，写下了""仰临砥柱，北望龙门，茫茫禹迹，浩浩长春""的诗句，命大卧魏征勒于砥柱之阴。著名书法家柳公权也...中流砥柱位于三门峡大坝下方的激流之中。黄河上的艄公又叫它""朝我来""，距市区约30公里。冬天水浅的时候，它露出水面两丈多；洪水季节，它只露出一个尖顶，看上去好像马上就被洪水吞没，惊险万分。千百年来，无论狂风暴雨的侵袭，还是惊涛骇浪的冲刷，它一直力挽狂澜，巍然屹立于黄河之中，如怒狮雄踞，刚强无畏，自古被喻为中华民族精神的象征。公元638年，唐太宗李世民来到这里，写下了""仰临砥柱，北望龙门，茫茫禹迹，浩浩长春""的诗句，命大卧魏征勒于砥柱之阴。著名书法家柳公权也为它写了一首长诗，其中有""孤峰浮水面，一柱钉波心。顶住三门险，根连九曲深。柱天形突兀，逐浪素浮沉""等佳句。相传砥柱是大禹治水时留下的镇河石柱，又说是一位黄河老艄公的化身。很久以前，一位老艄公率领几条货船驶往下游，船行到神门河口，突然天气骤变，狂风不止，大雨倾盆。刹那间，峡谷里白浪滔天，雾气腾腾，看不清水势，辨不明方向。老艄公驾船穿越神门，眼看小船就要被风浪推向岩石。老艄公大喝一声：""掌好舵，朝我来""。他纵身跳进了波涛之中。船工们还弄不清是怎么回事，就听到前面有人高呼""朝我来，朝我来""，原来是老艄公站在激流当中为船导航。船工们驶到跟前正要拉他上船，一个浪头将船推向下游，离开险地。船工们在下游将船拴好，返回去找老艄公，见他已经变成了一座石岛，昂头挺立在激流中，为过往船只指引航向。因此，人们把这座石岛叫""中流砥柱""也叫""朝我来""。",,,0.0,,,,,1
豫西大峡谷风景区Grand Canyon in Western Henan,http://travel.qunar.com/p-oi704611-yuxidaxiagufengjingqu,,,,,,,,,,1
双龙湾景区Shuanglong Scenic Bay,http://travel.qunar.com/p-oi711922-shuanglongwanjingqu,"

地址:
三门峡市卢氏县崤山中路28号


电话:
400-659-3738,0398-7445360


官网:
http://www.lsslw.cn/

",双龙湾景区距离卢氏县城约40公里，总面积约50平方公里，因屹立着大龙头、小龙头两座山峰而得名。景区是按照国家5A级景区的标准设计、建造的，景区里面资源类型丰富、全面，既有灵山秀水的自然风光，又有底蕰丰厚的历史文化，自然、人文相得益彰、相映成辉，被人们称为“秦岭罗敷，北国漓江，身边九寨，彩虹世界”。日出东南隅，照我秦氏楼。秦氏有好女，自名为罗敷。行者见罗敷，下担捋髭须。少年见罗敷，脱帽著帩头。耕者忘其犁，锄者忘其锄。来归相怨怒，但坐观罗敷。这段诗歌讲的是罗敷有多美，双龙湾就是这样一个藏在深山人未识的稀世美女，它就是我们秦岭中的罗敷。罗敷有美丽的外表和高尚的品格，双龙湾也有她“十六大美丽的自然、人文秘景”等着你来发现，他们就分布在六大游览区中。,8:00-18:00,https://img1.qunarzz.com/piao/fusion/1808/c1/be4f3076c30aa402.jpg_480x360x95_d1ff786a.jpg,4.2,建议游览时间：3小时 - 5小时,,{'双龙湾景区门票成人票\n\n': ['¥65起']},,1
虢国博物馆Guo State Museum,http://travel.qunar.com/p-oi714134-guoguobowuguan,"

地址:
三门峡市湖滨区六峰北路


电话:
0398-2955760,0398-2955688


官网:
http://www.guostate.com/index.asp

",虢国墓地是我国迄今为止发现的仅有的一处规模宏大、等级齐全、排列有序、保存完好的西周、春秋时期大型邦国公墓，总面积32.45万平方米。从1956年发现至今，探明各类遗址800余处，出土文物近3万件。尤其是90年代发掘的虢季、虢仲两座国君大墓，因出土文物数量多、价值高和墓主人级别高，入选“中国20世纪100项考古大发现”。虢国博物馆占地150亩，其基本陈列《虢国墓地遗址与文物陈列》分为《虢宝撷英－虢国墓地出土文物精华展》、《梁姬风韵－虢国国君夫人墓出土文物展》、《车辚马萧－虢国地下车马军阵遗址群展》、《国君觅踪－虢季墓遗址群展》四部分。这里展示的有地下车马军阵、有上古国君第一陵墓、有“中华第一铁剑”、虢季氏缀玉面罩、七璜组玉佩等国宝重器。这里是世界郭姓的衍源地，“假途伐虢”的发生地。虢国车马坑是1956年配合黄河三门峡水利枢纽工程建设时，在上村岭发现的，由国家黄河水库考古队发掘。此坑为长方形，坑底南北长15米，东西宽3.82米，深4.1米，坑内保存有战车5辆，战马10匹，由北向南排列。车为木质结构，独辕双轮，车上施漆，由车轮、车箱、车辕等部件组成，保存完整，形象清晰。每辆车的下边压有两匹马，马头朝北，排列整齐，系杀死后埋葬的。车箱底下还发现有狗的骨架。同时出土的还有大量的铜车饰、铜马饰及其它陪葬品。虢国是西周时期—个重要的姬姓封国，开国之君为周文王的弟弟虢叔。虢回原分封在宝鸡附近地区，西周晚期，东迁到三门峡—带、建都上阳(今市区李家窑附近)，公元前655年，被晋国采用“假虞灭虢”之计所灭。,全年 09:00-17:30,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1562786270330100816000000z9hz51E2E_D_640_10000.jpg_480x360x95_84030a69.jpg,4.4,建议游览时间：2小时 - 3小时,,50元,,1
陕县温泉,http://travel.qunar.com/p-oi709680-shanxianwenquan,,陕县温泉位于三门峡市西温塘村，距市区15公里，交通便利、风景优美。温泉位于汾渭热矿水带弧形转折处和山西裂谷边缘基地，构造复杂，是一个具有优越隔热条件的迳流区。区内发育有深达300多米的深大断裂，裂谷深部有较新的岩浆活动，巨大的侵入岩体成为本区的主要热源和丰富矿物质的来源，同时也是热水通道。破碎和溶蚀程度较高的灰岩是储水层。温塘矿泉水水质极佳，清澈透明，无菌，无污染，口味甘甜，清新爽口，水温高达60℃，偏硅酸含量达54.6一55.7毫克/升，锶含量达1.2一1.25毫...陕县温泉位于三门峡市西温塘村，距市区15公里，交通便利、风景优美。温泉位于汾渭热矿水带弧形转折处和山西裂谷边缘基地，构造复杂，是一个具有优越隔热条件的迳流区。区内发育有深达300多米的深大断裂，裂谷深部有较新的岩浆活动，巨大的侵入岩体成为本区的主要热源和丰富矿物质的来源，同时也是热水通道。破碎和溶蚀程度较高的灰岩是储水层。温塘矿泉水水质极佳，清澈透明，无菌，无污染，口味甘甜，清新爽口，水温高达60℃，偏硅酸含量达54.6一55.7毫克/升，锶含量达1.2一1.25毫克/升，除此之外，还含有锂、碘、硒、铁等34种有益人体健康的微量元素和其它成份。钙和镁的含量和比值较佳，PH值7.1细菌总数和大肠肝菌均为零，达到我国饮用天然矿泉水国家标准的界限指标值。经国家经鉴定，确定为含偏硅酸和锶的重碳酸硫酸钙钠型低质矿泉水。常饮用此水，对胃病、心血管病、糖尿病等有明显的理疗保健作用，同时可增强人体免疫功能，有延年益寿之功效。陕县温泉分布面积达4.1平方公里，每日可开采水量达6000吨，其流量之大，水质之佳，动态之稳定在国内外矿泉水开发史上都是少有的。它不仅可与世界著名的法国维希温泉相媲美，同时又以自己的特点雄据国内矿泉水之林。,,,4.8,,,,,1
仰韶村文化遗址,http://travel.qunar.com/p-oi711277-yangshaocunwenhuayizhi,,"仰韶村文化遗址，位于三门峡市渑池县城北9公里处的仰韶村。1921年经中国政府批准，瑞典地质学家安特生和我国考古学家袁复礼一起进行了首次发掘。根据出土文物，确认是我国远古文化的遗存。按照考古学惯例，把首先发现地作为该文化类型的名称，故名""仰韶文化""。仰韶村文化遗址，座落在仰韶村南边的缓坡台地上，北依韶山，东、西、南三面环水，东北到西南长900余米，西北到东南宽300余米，总面积约30万平方米，文化土层堆积存度2一4米。仰韶文化遗址从发现至今七十余年间，共经过三次...仰韶村文化遗址，位于三门峡市渑池县城北9公里处的仰韶村。1921年经中国政府批准，瑞典地质学家安特生和我国考古学家袁复礼一起进行了首次发掘。根据出土文物，确认是我国远古文化的遗存。按照考古学惯例，把首先发现地作为该文化类型的名称，故名""仰韶文化""。仰韶村文化遗址，座落在仰韶村南边的缓坡台地上，北依韶山，东、西、南三面环水，东北到西南长900余米，西北到东南宽300余米，总面积约30万平方米，文化土层堆积存度2一4米。仰韶文化遗址从发现至今七十余年间，共经过三次有计划的发掘。其主要出土器物有石器、骨器、陶器、蚌器。用于农耕的石器有斧、铲、凿、锛等工具；用于狩猎的有石镞、弹丸、石饼等；用于纺织的有线坠、纺轮、骨针、骨锥等。当时人们的生活用具均为陶质，有陶鼎、罐、碗、盆、钵、杯、瓮、缸等。特别引人注目的是陶器上精美的装饰图案，其纹饰有宽带纹、网纹、花瓣纹、鱼纹、弦纹和几何图形纹等。这些纹饰充分反映了古代劳动人民的聪明智慧和对生活美的追求。精美的彩陶是仰韶文化独具的特征。仰韶文化以农耕为主，属于母系氏族向父系氏族过渡的社会阶段。它以黄河中游为中心，南达湖北，北抵内蒙，是黄河流域非常强大的一种远古文化。仰韶文化的发现，宣布了""中国无石器时代文化""论调的彻底破产，因而仰韶村文化遗址被中外考古界誉为""文化圣地""",,https://img1.qunarzz.com/piao/fusion/1502/13/fca3bd537a887d.jpg_480x360x95_8441fbf3.jpg,3.5,,,,,1
鼎湖湾Dinghu Bay,http://travel.qunar.com/p-oi704996-dinghuwan,"

地址:
灵宝市西闫乡郑西高铁灵宝西站向北300米

",鼎湖湾旅游景区位于灵宝市区溪20公里，北濒黄河，东西长约3600米，南北宽约1800米，总面积约1万亩，它南接310国道，北黄河，东北游大禹渡，永乐宫，西北游鹤鹊楼，普救寺，另外还游灵宝境内的函谷关，皇帝铸鼎原，亚武山等旅游景区与之相邻，使其具有优越的地理位置和开发价值。形成了草木丛生，芦疯长，鱼网环绕、蛙鸣鱼跃，荷花婷婷的自然景观，是游客旅游观光、垂钓、避暑、荡舟的好去处。,全年 8:00-17:00,https://img1.qunarzz.com/travel/poi/1803/51/0cbcf22a839837.jpg_480x360x95_130a8885.jpg,3.7,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
北阳平遗址Beiyangping Ruins,http://travel.qunar.com/p-oi711781-beiyangpingyizhi,,,,,--,,,具体收费情况以现场公示为主,,1
