名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
望仙谷,http://travel.qunar.com/p-oi36241306-wangxiangu,"

地址:
上饶市广信区望仙乡


电话:
0793-8467888

",望仙谷景区位于江西省上饶市广信区望仙乡，是国家AAAA级景区，属灵山山脉，就在灵山七十二峰圆顶峰的脚下。山谷悠远清幽、溪水欢腾、卵石飞瀑。有江西民居特有的夯土墙、青石板路、黄墙黛瓦、原味村屋；也有松涛竹海和独具风情的赣家街市。在望仙谷景区，可以尽情领略赣家民俗、山水人文，也可以尽情体验我国悠久的农耕文化，品尝风味美食，过几天慢生活，是休闲度假、亲子研学的好去处。,全年 08:00-20:00,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/fusion/20223/6c94090141b9d71fb20230aeb94a6f9f.jpg_480x360x95_ccc4120f.jpg,4.1,建议游览时间：12小时 - 3天,,"{'望仙谷门票成人票\n\n': ['¥98.5起'], '望仙谷门票儿童票\n\n': ['¥60起'], '望仙谷门票老人票\n\n': ['¥60起']}",,1
婺源篁岭Wuyuan Huangling,http://travel.qunar.com/p-oi7469273-wuyuanhuangling,"

地址:
上饶市婺源县江湾镇篁岭村


电话:
0793-7396003,0793-7255555


官网:
http://www.wyhl.cc/

",篁岭是婺源东线上一个典型的山居村落，当地村民自古就有用竹晒匾晾晒农作物的习俗。每到丰收时节，阳光下数百栋错落的徽派民居，和晒架上五彩缤纷的丰收成果构成绚烂的“晒秋”景观，吸引了不少摄影师来此取景创作。篁岭的旅游季节是秋天晒秋时节和三月下旬的油菜花季，整个逛下来大约需要3个多小时。上山是坐索道，当然体力好也可以自己爬上去。当然还是比较推荐坐索道，坐着缆车可以俯瞰下面篁岭层层叠叠的梯田，黄绿交织，感觉挺不错。自2019年起，为延长婺源油菜花赏花期，篁岭用迟熟品种在高岭梯田处培育出二期高海拔梯田花海。花期延长，满足更多游客四月赏婺源油菜花的愿望。二期花海与一期花海隔山相望，重叠盛放。漫山遍野的梯田油菜花海，乘梯田缆车一路向上，直观感受其中震撼的时空落差。二期油菜花海由于海拔落差大、温度低，加上晚熟油菜花品种，使得花期较晚，篁岭二期花海花期将持续至四月上旬。由索道上站出发，依次走过步道上代表春、夏、秋、冬的四个亭子和水口红豆杉林，来到1号观景台。观景台四下是层层叠叠的梯田，春季花开的时候格外好看。前方不远便是卧云悬索桥，这座桥横卧在山谷里，长200多米，十分壮观。桥下溪水潺潺，山谷的清风穿桥而过。吊桥中间有两块透明的玻璃板，不妨站在上面体会一下凌空的感觉。吊桥后面便是2号观景台，这边除了梯田和花海可以拍照，附近还新开发了溜索等体验项目，感兴趣可以去玩一玩。原路返回，步入篁岭古村游览，这里是景区的精华部分。古村的核心是天街，有类似烟袋斜街和丽江古城那种小资调调，很合适拍小清新风格的照片。天街上标志性的建筑要数天街食府，可以在此用餐。它旁边的三号观景台是村中的赏景位置，天街的商铺、茶坊、酒肆一览无余，不少“晒秋”的大片就是在这里拍出来的。你可以在村中随意转转，步入村中的官厅、绣楼和宗祠，在感受徽派老宅院的沧桑之余，别忘了留意细节之处的雕刻，从门窗到房梁，雕刻的人物、花鸟、景色皆非常精美。索道站和观光车站都在里古村不远的地方，游玩过后即可乘坐下山。,全年 周一-周五 08:30-17:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/ac992a0f7100eea32139c9fc57bcb7f8.jpg_480x360x95_b8486e58.jpg,4.6,建议游览时间：3天 - 6天,春季和秋季最佳。3月去婺源主要就是看漫山遍野的油菜花，9-10月能看到晒秋。另外，夏季和冬季也各有特色：7-8月夏季，山上气候舒适，三清山、弋阳圭峰，大茅山、还有稻源度假区（万年神农源）的溶洞都是避暑的好地方。冬季，鸟儿飞到鄱阳湖湿过冬，这时正是观鸟的好时节，三清山的雪景也是相当迷人，虽然冬天气候并不宜人，但也有不能错过的美景。,"{'婺源篁岭门票+双程索道票成人票\n\n': ['¥139起'], '婺源篁岭门票+双程索道票+温汤门票成人票\n\n': ['¥190起'], '婺源篁岭(门票+双程索道)1日套票+婺源风景区12景点5日通票成人票\n\n': ['¥320起']}",3月8日篁岭第二索道开通，景区形成旅游大环线，游客可随意乘坐两条索道进出景区，无需往返。新索道设立上中下三站，下站为新游客中心，与现在的游客中心相距500米；中站为晓鳙村岭头，游客下索道即可观赏万亩梯田花海，上站直通禾石洲、栖霞古寺。,1
婺源风景区Wuyuan Scenic Area,http://travel.qunar.com/p-oi10009793-wuyuanfengjingqu,"

地址:
上饶市婺源县婺源风景区


电话:
0793-7410999


官网:
http://www.wuyuanleyou.com/

",婺源地处安徽、江西、浙江三省交界处，素有“中国美丽乡村”之称。这里四季都有不同的景色，春季观油菜花海、品春茶，秋季赏红叶、看晒秋、拍摄晨雾；在人少的淡季，还可以来小住几天，逛逛古村，欣赏徽派民居建筑。游览路线婺源的美景分布在各乡镇村落间。通常用三天的时间可以游玩汪口-上下晓起-江岭-思溪延村-彩虹桥-大鄣山卧龙谷等主要景点，是东线加北线的常规线路。如果专程来看油菜花，可走东线的月亮湾-李坑-晓起-江岭；如果只为深秋的红叶和晨雾而来，那么去石城程村就对了。赏油菜花、品春茶——婺源看花在江岭婺源素以赏油菜花胜地而闻名，三月中下旬是油菜花盛开的季节。站在江岭村的梯田高处，或月亮湾河畔，将一望无际的金黄色尽收眼底。还有庆源、上下晓起、汪槎、官坑等村落也是观赏油菜花海的好地方。赏秋叶、观晨雾深秋的的婺源也是美不胜收，十一月中下旬是赏红叶黄叶、观晨雾的理想时节。大山深处的村落被薄雾笼罩，大片的红枫和银杏映衬着乡村的白墙黑瓦，在雾中若隐若现，煞是迷人。石城、篁岭、晓鳙、思溪延村等村落均是赏秋景的好去处。在古村篁岭还可见到民俗景观“晒秋”，家家户户的屋顶上晒着红辣椒、稻谷等农作物，登高远望一片壮美的红黄色。欣赏徽派民居婺源是徽州文化的发祥地之一，来到这里一定要去村落里逛逛，感受那种古朴宁静的生活气息。在各村落巷间随处可见牌坊、碑刻、石桥、古戏台、马头墙、盆景等徽派风格显著的建筑，还能见到不少古代名人祠堂、府第等古迹。理坑、晓起、汪口村都有不少古迹，而曾拍摄过1987年版《聊斋》的思溪延村，以及婺源的廊桥“彩虹桥”也是不容错过的景点。,整个婺源县均在风景区范围内，12通票中的景点通常于7:30-18:30开放（旺季期间，部分景点有工作人员会值班至19:00，具体以景区为准）其余乡镇及村庄均为全天开放。,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/902f6a1527477ae29584df6731808273.gif_480x360x95_51f78f8b.gif,4.5,建议游览时间：3天 - 9天,,"{'婺源风景区12景点5日通票成人票\n\n': ['¥168起'], '婺源风景区12景点5日通票\n\n': ['¥105起'], '婺源风景区11景点5日通票老人票\n\n': ['¥105起']}",,1
"月亮湾Moon Bay (Yueliang Bay, Wuyuan)",http://travel.qunar.com/p-oi5740378-yueliangwan,"

地址:
上饶市婺源县秋口镇金盘村附近


电话:
0793-7410999

",月亮湾是去李坑的路上路过的一个小岛，多是摄影爱好者前来采风。清晨五点左右来俯瞰月亮湾是美丽的，因为那时晨雾笼于水面上，白墙、黑瓦、金花、绿水在一片朦胧中更加亦幻亦真，宛如一张中国水墨山水画。,全天开放,https://img1.qunarzz.com/travel/d1/1611/d6/1bcd6e3e93cb39b5.jpg_480x360x95_df0737e0.jpg,4.4,建议游览时间：1小时 - 2小时,,"{'【精选 双岭赏花】 婺源篁岭+江岭赏花精品一日游（赏万亩花海+梯田油菜花+纯玩无购物+上门接送）\n\n': ['¥158起'], '【赏花精选线路】婺源篁岭景区精品半日游 上午8点或下午1点出发 梯田花海+悬崖古村+醉美油菜花\n\n': ['¥78起'], '婺源通票 门票  当天可定 婺源11景点成人通票 （5日有效 ）\n\n': ['¥178起']}",1、野外蚊虫较多，游客们要注意驱蚊避虫。2、当地野草较多，游客们请注意防范明火。3、请勿在自然景区吃烧烤。,1
三清山风景区Sanqingshan Scenic Area,http://travel.qunar.com/p-oi712233-sanqingshanfengjingqu,"

地址:
上饶市玉山县三清乡（近金沙服务区）


电话:
0793-96373,0793-5292373


官网:
http://sqs.sqs.gov.cn/

",三清山风景区位于上饶市东北部，有“小黄山”之称，因玉京、玉虚、玉华三座山峰挺拔屹立，神似道教玉清、上清、太清三位尊神列坐在山巅之上而得名。这里是道教名山，景色也有几分仙气，能看漂亮的云海日出，欣赏山间惟妙惟肖的奇石，还能走上高空栈道赏景。#东方女神#东方女神位于三清山风景区的南清园景区东北部，形如一位长发披肩的少女，神态祥和，千百年来都屹立不倒，十分逼真。乘坐金沙索道（东部索道）上山后便可看到，是来三清山必赏景观之一。#巨蟒出山#巨蟒出山是一座象形石柱，经大自然长期的风化与重力作用而形成，峰壁峭立，顶部稍平，颈部略细，就像一条破山而出的巨蟒，可谓是大自然的鬼斧神工。它与东方女神景观遥遥相对，从金沙索道（东部索道）上山后到南清园景区游玩途中便可欣赏到。此外，玉女开怀、猴王献宝、老道拜月、观音赏曲、葛洪献丹、神龙戏松、三龙出海、海狮吞月等奇峰怪石，也都是三清山景区的美景，游玩时可别忘了发挥想象力，感受大自然的造物奇迹。人气景区#南清园景区#这是三清山风景区中自然奇观集中的地方，三清山的几大标志性景观如巨蟒出山、东方女神都位于这里。景区内的浏霞台是欣赏晚霞、云海的好地方，玉台的日出和日落都十分迷人，五六月份的时候还能在杜鹃谷欣赏到满山杜鹃花绽放的盛景。大多数游客都会选择下午来此游玩，从浏霞台开始，至游仙谷下，途中可用下坡的方式走过一线天那299级台阶，感受崇山峻岭的险要，傍晚时分还可欣赏日落晚霞美景。#三清福地景区#三清山的道教精华就在这个景区了，以三清宫为核心，汇聚了三清山的道教人文景观，堪称道教古建筑的“露天博物馆”。其中保存完好的当属建于危岩之上的宋代小石塔，外观精致，所处位置也让人称奇。除了领略道教文化，这里的也是赏景的好地方，风雷塔是观赏日出云海的佳处，飞仙台是欣赏落日晚霞的佳处。#西海岸景区#西海岸景区是三清山观景开阔的平台，让人称奇的高空栈道也正是位于此。步行在高空栈道上，感受悬崖绝壁之上闲庭信步的乐趣，欣赏连绵群峰、幽深峡谷的壮观之景，还可远看晚霞、云海的绚丽秀美。#玉京峰景区#玉京峰景区因玉京、玉虚、玉华三峰凌立而闻名，其中玉京峰的云海、日出、日落气势磅礴，也是纵览整个三清山景区美景的好位置。不过正是由于山峰陡峭，并不建议游客登上玉京峰顶，毕竟安全重要。#万寿园景区#这是三清山风景区内一个非常有象征意义的景区，位于三清山南麓。这里以祥寿文化为主题，其中的寿星像是这里的标志性景观。漫步其中，欣赏观音台、白头偕老峰、鹤寿顶、得禄台等景观，感受这里洋溢着的健康、养生、长寿之道，可谓优哉游哉。游玩路线整个三清山主要景区可看作两个大圈，西面的阳光海岸-三清福地-西海岸是一个圈，以崖壁上的高空栈道相连。看点是三清宫的道教建筑、西海岸的云海；东面的南清园是一个圈，集合了“东方女神”、“巨蟒出山”等标志性奇石，几乎直上直下的“一线天”陡阶也在这里。两个圈在日上山庄-玉皇顶附近交汇，形成一个“8”字。远一些的还有三洞口、西华台、石鼓岭，不过去的人较少。三清山的行程安排，很大程度取决于你是否要看日出，或者想在哪儿看日出。如果想看日出，几乎只能在山上住宿了。如果你不打算在山上过夜，可根据自己的喜好选择其中一个区域游览。或者沿“8”字外围转大半圈，游览大部分精华景点。#经典1日线路#从东部金沙索道上山的游人较多，上来即是精华的南清园。大约半小时走到“巨蟒出山”，左边不远便是“东方女神”。往西过玉皇顶、“三龙出海”走上阳光海岸的高空栈道，可俯瞰下面的田园风光。阳光海岸和后面的三清福地-西海岸正好串成一个环形旅游线路，三清福地的道教古建筑群以三清宫为核心，依据“先天八卦图”的方位布局，十分精巧。其中，风雷塔是许多游客争相合影的地方。在此休整一会儿，继续往前便是西海岸的高空栈道。栈道靠近三清宫的地方，“猴王献宝”也是山中的奇石之一。下午正好在栈道上看三清山云海和晚霞。#赏日出2日线路#如果打算在山上扎营或住宿，以便欣赏日出美景，则推荐从南部（外双溪）索道上山，走西海岸-三清福地-阳光海岸-玉皇顶，而后顺时针经三龙出海、巨蟒出山、东方女神，可在这附近住宿或露营，天气好晚上能看到很美的星空。第二天一早继续前行至玉清台观日出，而后继续顺时针过“玉女开怀”，下一线天的陡阶回到南部索道。如果时间充裕，可顺便逛逛南部索道附近的万寿园景区。,全年 全天开放,https://img1.qunarzz.com/travel/d3/1611/e3/fa523017fcc5b3b5.jpg_480x360x95_265b427c.jpg,4.7,建议游览时间：3天 - 6天,三清山地处亚热带气候区，同时又具有高山气候的特征，年平均气温介于10－12℃之间，七月份平均气温21.8℃，年平均降水量在2000毫米左右。 三清山属高山气候，气温凉爽。春季（3~5月）春天的三清山正是山花烂漫好时节，盛开的杜鹃花装饰了整个山峰，映衬在奇峰怪石中，让三清山多一份色彩和美丽。夏季（6~8月）夏天上山很凉快，没有云雾缭绕，可以很清楚地看到三清山的各种石刻石雕。秋季（9~11月）秋天秋高气爽，最适合登山游玩，这时候徒步上山一点都不会觉得累，而且很少会遇到下雨天，往日难得一见的佛光也会在这个季节频频出现。冬季（12~2月）冬天的三清山神圣静谧而肃穆，山峰裹上薄薄积雪，四周云海翻腾，让人仿佛置身于仙境中，景色之美，尽收眼底。春秋最佳。春天三清山花开烂漫，这时候看云卷云舒最宜，秋天有可能看见佛光，而且秋高气爽，没有雨水干扰可以玩得尽兴。,"{'三清山风景区门票成人票\n\n': ['¥120起'], '三清山风景区门票儿童票\n\n': ['¥60起'], '三清山风景区门票老人票\n\n': ['¥60起']}",1、三清山上早晚温差很大，多备御寒衣物。2、由于三清山是高山景区，有些路段比较险峻。 因此游玩时宜慢不宜快，宜站不宜坐。走路不看景，看景不走路。3、三清山游步道现已修茸一新，老年朋友除患有高血压、心脏病外均可登临游览。4、三清山在旅游旺季时人满为患，如时间允许，最好选择在非周末出游。5、每到一地请先买份当地地图，一可作走失时应急之用；二可留为纪念。6、山上用餐条件较差，可自带干粮上山，山上食品价格较贵。7、雷雨来时不要攀登高峰等，不要扶铁栏杆和在大树底下避雨，以防雷击。8、登山宜穿防滑鞋，以防跌滑。9、高山紫外线强烈，宜戴太阳帽。上山前带足饮用水和必备药品供急用。不要只身攀高登险。10、山上蚊虫较多，上山前要准备好驱风油和蚊不叮。11、三清山山上用水紧张，宾馆只能定时提供水源。12、三清山某些景点的开发建设尚处于原始状态，不熟悉路线的人极易迷失方向。,1
李坑景区Li Valley,http://travel.qunar.com/p-oi716737-likengjingqu,"

地址:
上饶市婺源县秋口镇李坑村


电话:
0793-7410999,0793-7243560

",李坑是个四面环山的水乡小村，村前是大片的油菜花田，入春后满山遍野的金黄，村内溪河两岸多傍有徽派的古建筑，灰墙白瓦十分古朴素净，村里还保存着南宋武状元李知诚的故居。沿着村后的小路上山，能俯瞰李坑全景。村内有拱桥、栈亭、寺庙和庭院，入村后，沿街店铺林立，主要出售这里特产的徽派木雕和龙尾砚，还有众多“农家乐”可住宿、吃饭，特色美食有花菇石鸡、清焖荷包鲤、李坑蒸鸡等。临河有不少茶楼、酒店，杨梅酒、李坑糯米酒都很好喝。民居中也夹杂着不少明清古居，室内的雕刻十分精美。一条河流分段穿越整个村庄，可以坐长长的竹筏漫游其中。李坑是一个以李姓聚居为主的古村落，距婺源县城12公里。李坑自古文风鼎盛、人才辈出。自宋至清，仕官富贾达百人，村里的文人留下传世著作达29部，南宋年间出了一位武状元，名叫李知诚，村里有他的故居，可以前往参观。,全年 07:30-19:30,https://img1.qunarzz.com/travel/d4/1707/83/4bd5f43278255eb5.jpg_480x360x95_9a7c281c.jpg,4.0,建议游览时间：2小时 - 3小时,婺源是一个四季都适合旅游的地方，不同季节有不同特色的美景。春季可以赏油菜花夏季山上气候舒适，是避暑的好去处秋季可以看到婺源最出名的晒秋之景冬季鸟儿飞到鄱阳湖湿过冬，是观鸟的好时节，还可以观赏到三清山的雪景,"{'李坑景区门票成人票\n\n': ['¥55起'], '婺源风景区12景点5日通票成人票\n\n': ['¥168起'], '婺源风景区12景点5日通票\n\n': ['¥105起']}",1. 到节假日和周末就会人满为患，尤其是3、4月份油菜花开时，本来就不大的李坑人多到站脚的地方都没有，而且路上还会堵车。要赏油菜花，最好避开节假日和周末。2. 婺源另有一个景点叫“理坑”，和李坑不是同一个地方，别混淆了。3. 李坑需付费的竹筏沿河来回于村前文昌阁和村里，路程很短，一会儿就到了。,1
江岭景区Jiangling,http://travel.qunar.com/p-oi3713166-jianglingjingqu,"

地址:
上饶市婺源县江岭风景区内


电话:
0793-7410999

",江岭地处婺源县东北，南临晓起，东接溪头。这里的油菜花田不是平地上的，而是沿着山坡一层一层的梯田，到了3、4月份油菜花开，站在山顶的观景台上，可以俯瞰到婺源田园风光优美的一面，一般说的婺源油菜花就是在这里。山脚下的油菜花田里扎着许多造型有趣的稻草人，许多游客在山脚下就不亦乐乎地玩起来了。公路在江岭的山间盘旋，等到了山顶往下望去，漫山遍野的油菜花层层叠叠、一望无际从山顶铺散到山谷下，谷底的河水绕着青山，河边围拢着几个小小的村落，黑瓦白墙的徽派民居夹杂在一片金黄之间，在婺源再没有比这更壮观而令人惊喜的了。,全年 07:30-17:00,https://img1.qunarzz.com/travel/d7/1706/d6/1fbc1b1ab44804b5.jpg_480x360x95_f16c36dd.jpg,4.5,建议游览时间：4小时,3月最佳，此时可以看到漫山遍野的油菜花。,"{'江岭景区门票成人票\n\n': ['¥80起'], '婺源风景区12景点5日通票成人票\n\n': ['¥168起'], '婺源风景区12景点5日通票\n\n': ['¥105起']}",江岭油菜花田游览小技巧1.江岭的交通应该是最堵的，一到周末经常堵车，因为这个时候来看油菜花的人太多了，所以去江岭要赶早，或者错过高峰期。2.江岭油菜花开的时间一般在3月到4月，这个时候可能还会有点早春的寒冷，而且早晚温度相差较大，所以早晨去记得带好外套。3.从江岭1号观景台江岭春晓可徒步下行至2号观景台，这里是观赏油菜花的最佳位置，极富视觉冲击力，观景台之间的青石板路上有引导牌。4.拍摄油菜花的时候要想将油菜花的黄色得到最好的展现，可用顺光，逆光较适合拍摄特写或中景等，曝光准确时油菜花和叶片的质感能得到较好展现。,1
晒秋人家,http://travel.qunar.com/p-oi9787360-shaiqiurenjia,"

地址:
江西省上饶市婺源县茶乡路婺源篁岭景区内


电话:
0793-7255555


官网:
http://www.wyhl.cc/index.shtml

",祖辈起，篁岭村民用竹晒匾晾晒农作物，既不占地方，又便于收藏。每当日头升起，房前屋后成了竹晒匾的世界，长长木架托起圆圆的晒匾，饱经沧桑的徽式民居土砖外墙与晒架上的五彩缤纷组合，构成一幅闲适、安详、恬静的古村风情画。如今“婺源篁岭晒秋”已成为固定节目：每当日出东方，岭头最高处会冉冉升起红灯笼，霎时家家晒架上竹匾云集，春晒茶叶蕨菜、夏晒茄子豆角、秋晒稻谷辣椒，时令变化竹匾里所晒之物也在不断换新，您在村内不同角度都会拍到满意的“晒秋”作品。,淡季（11月-4月）7:30-17:00旺季（3月-10月）6:00-18:00旺季结束时间视游客下山情况而定。,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/91f7952cc8e0e9e0ecb67941ef27d2f3.jpg_480x360x95_370178fb.jpg,5.0,建议游览时间：0.5小时 - 1小时,,门票1、 篁岭景区门票价格：120元/人；半票60元/人2、 景区上下索道票价格：100元/人；单程60/人3、景区通票（门票+景区交通）价格：145元/人；半票120元/人4、溜索：45元/次5、 导游服务费：50元/次。优惠政策1、五折优惠人群（套票120元/人，门票60元人）：六十至六十九周岁老年人（持身份证等有效证件）、全日制在校本科（含）以下学生持有效证件者（不含成人院校）、身高1.2米至1.5米的未成年人、省级美术家协会、摄影家协会会员（不含各类报刊、摄影网站的会员或特约摄影师）、持有国家残联颁发的五至十级残疾证的残疾人。2、有条件免票人群（免门票，须支付景区交通费用）：七十周岁以上(含）老人（持身份证等有效证件）、持国家残联颁发的一至四级残疾证残疾人、现役军人（含武警部队）持有效证件者、持有新闻总署或广电总局颁发的新闻记者证（采访证）者（不含各类报刊网站颁发的记者证、采访证）、国家颁发的旅行社经理资格证者（或国家旅游局颁发的旅游行业总经理岗位职务培训证），国家级导游持有效证件者、持有效身份证的婺源县居民（五一、十一节假日及油菜花季双休日除外）、境外的冠名国家摄影家协会、中国摄影家协会、中国美术家协会、中国民俗摄影家协会、江西数字影像协会、中国作家协会会员。3、免票人群（免景区门票和景区交通费）：身高不足1.2米的未成年人、持有旅行社领队证、婺源、黄山、三清山景区导游证（讲解证）、国家级导游持有效IC卡证（国导证）者（公务）、持有A类驾照运客驾驶员（公务）,,1
万年稻源旅游度假区,http://travel.qunar.com/p-oi8456052-wanniandaoyuanlu:youdu,"

地址:
万年县大源镇盘岭乡神龙宫


官网:
http://www.jxdaoyuan.com/

",,8:00-18:00,https://img1.qunarzz.com/travel/poi/1507/31/6d1f413187c46f.jpg_480x360x95_db174804.jpg,0.0,,四季皆宜。,稻源成人通票130元，神龙宫成人票100元。,,1
花溪水街Huaxishui Street,http://travel.qunar.com/p-oi32749051-huaxishuijie,"

地址:
上饶市婺源县江湾镇篁岭村


电话:
0793-7255555

",花溪水街，顾名思义沿着潺潺叠水的溪流，以鲜花装扮一条“坡面上的街市”。是篁岭景区除古村天街外，又一条特色的商业娱乐街。水街高低错落布置有酒吧、咖啡、甜品、茶舍、香道馆等休闲业态。花溪水街与古村天街形成环线，还能充分感受篁岭的古村文化与特色业态。水街布满水雾装置，清凉避暑，坡面上的沿街布置了以农耕时代为主题的石磨、水碓等景观。水街多处景观为网红打卡点，如石磨流水、悬浮怪屋、许愿神树、流光森林等。,全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/f5939512f2a82a3c7ca07fee86c2fa61.jpg_480x360x95_9db6a96c.jpg,4.7,建议游览时间：2小时 - 3小时,,包含于婺源篁岭景区内，通用婺源篁岭景区门票。,,1
