名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
可园Keyuan,http://travel.qunar.com/p-oi711552-keyuan,"

地址:
东莞市莞城区可园路32号


电话:
0769-22233015


官网:
http://www.dgkeyuan.org/

","可园位于东莞市莞城区，为广东四大名园之一，也是岭南园林的代表作。前人赞其为“可羡人间福地，园夸天上仙宫”。它主要由可园古建筑区及可园博物馆新馆2大块组成。可园古建筑区集合了很多岭南园林的经典元素, 长廊环绕，并且亭台楼阁很多，其建筑是清一色的水磨青砖结构。园内有一楼、六阁、五亭、六台、五池、三桥、十九厅、十五间房，多以“可”字为命名，如可楼、可轩、可堂、可洲……所有的建筑中，较高的建筑为可楼,沿着楼侧石阶可登顶楼的邀石阁，凭窗眺望东莞景色。令人瞩目的建筑当属可堂，可见四条红石柱并列堂前，非常庄严大气。可园博物馆新馆就在可园后花园的可湖边，是以介绍岭南建筑风格和岭南画派艺术为主题的博物馆，共有大小六个展厅。一楼是《岭南传统园林与建筑》的基本陈列，主要包括发展历程、岭南园林与岭南建筑三部分。它以照片、线描图、模型等为主，辅以多件岭南特色的建筑构件，展示岭南园林艺术，整个展示浅显易懂。二楼的基本陈列是《居巢、居廉与可园》，介绍了居巢、居廉在可园的生活情景，进而介绍他们绘画风格的逐步形成和岭南画派的起源。","全年 周二 全天不开放 ;全年 周一,周三-周日 09:00-17:30",https://img1.qunarzz.com/travel/d2/1603/c6/a6a536496b9b1bf7.jpg_480x360x95_4cea34ab.jpg,4.6,建议游览时间：2小时,,{'东莞可园电子导览服务大小同价\n\n': ['¥4起']},,1
东清湖湿地公园,http://travel.qunar.com/p-oi38653981-dongqinghushidigongyuan,,东清湖湿地公园位于东莞市，湿地不仅为周边群众提供观光休闲好去处，还兼顾蓄水、防洪调度等功能，这里水路相间面积广阔，更有野生鸟类息栖，是一处自然又优美的地方。,,,--,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
龙湾湿地乐跑公园Longwan Wetland Park,http://travel.qunar.com/p-oi35198816-longwanshidilepaogong,,龙湾湿地公园是开放式公园，里面的欧洲建筑物很适合拍照，游乐设施也适合小朋友玩儿，是个观光娱乐的好地方。,,,4.6,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
观音山旅游风景区Guanyin Mountain National Forest Park,http://travel.qunar.com/p-oi705681-guanyinshanlu:youfeng,"

地址:
东莞市樟木头镇笔架山大道观音山国家森林公园


电话:
0769-87799666,0769-82022018


官网:
http://www.guanyinshan.com/

","广东观音山国家森林公园位于东莞市樟木头境内。东莞观音山规划面积为18平方公里，坐拥东莞市内完整的原始次生林，被誉为“南天灵秀胜境，森林康养福地”。观音山地处粤港澳大湾区的中心位置，港、深、莞、广等核心城市都在其1小时经济圈内，是集森林氧吧、文化体验、姻缘许愿于一体的AAAA级旅游风景区。曾获“国际生态安全旅游示范基地”、“广东人喜爱的旅游目的地”、“森林美景摄影地”、“粤港澳大湾区年度生态旅游企业”等殊荣。东莞观音山景色秀美，森林广袤，森林覆盖率达92%以上,空气中负氧离子含量极高，是优良的养生之所。园内繁衍着近千种野生植物和300余种野生动物，得天独厚的生态环境为健康养生创造了良好的天然条件，具有独特的森林康养的优势，是广东重要的生态屏障。观音山完备的基础设施为市民游客提供了良好的休闲环境:6.8公里的吉祥路，既可观景也可休闲健身，不仅可以静心，还能“洗肺”;景区内网红飞天威亚、高空滑索、丛林穿越、古树博物馆、揽秀台、观瀑台、许愿池、五福林、吉祥苑等景点，为游客带来森林旅游深度体验。观音山每年举办各种富有特色的文化旅游活动，通过森林徒步、森林露营、丛林登高、万人相亲会等形式，吸引广大游客走进生态自然，体验休闲自然生活。此外，观音山也努力打造鲜明特色的亲子研学旅游品牌，积极开发“旅游+文化”模式和旅行线路，为学生团体呈上旅游学习体验、激发青少年爱护自然情怀的生动教材，并有效进行科普教育和科学传播。",06/01-09/30 07:00-17:30;10/01-05/31 07:00-17:00,https://img1.qunarzz.com/travel/d2/1506/1d/6a2515f39be928.jpg_480x360x95_d6ddf593.jpg,4.5,建议游览时间：4小时 - 6小时,,"{'东莞观音山旅游风景区门票成人票\n\n': ['¥38.4起'], '东莞观音山旅游风景区门票优待票\n\n': ['¥22起'], '东莞观音山旅游风景区门票+上山车票成人票\n\n': ['¥68起']}",,1
水濂山森林公园Shuilian Mountain Forest Park,http://travel.qunar.com/p-oi706040-shuilianshansenlingong,"

地址:
东莞市水濂村水濂山路


电话:
0769-22678983

",水濂山森林公园位于东莞市南城区水濂社区，是东莞市六大森林公园之一。公园总面积约6000亩，主峰海拔高378米，森林茂盛，景色优美，气候宜人，与周边山体相比，水濂山因其亲水性而更显得山灵水秀。目前为止共修复建造了水濂洞天、天池、梦溪探胜、古庙广场、水濂山湖、园中园、小蓬莱阁等主要景点和12座亭台楼阁等配套设施。目前公园西面建设已基本完成，建成了较完整的登山路径，可通往公园各处景点。同时，南城区办事处还对公园内被破坏的山体和林相进行了修复，种植大量的乔灌木，现有一百多种树种，是市植物园的植物展览和教育基地。,全年 5:30-19:30,https://img1.qunarzz.com/travel/poi/1706/fe/1f8a08fc7d96ce37.jpg_480x360x95_e85b65bd.jpg,4.6,建议游览时间：4小时,,,,1
银瓶山森林公园Yinping Mountain(Silver Bottle Mountain),http://travel.qunar.com/p-oi705413-yinpingshansenlingong,"

地址:
东莞市谢岗镇南面村


电话:
0769-87731047

",银瓶山森林公园位于东莞市东部，谢岗镇境内，总面积为2518.3公顷。银瓶山自然保护区东南面的银瓶咀山，是东条北行主山。区内700米以上的山峰就有5座，这在以平原、台地为主的东莞市是相当难得的自然资源。银瓶山自然保护区内动植物资源丰富，林木茂密苍翠，景色迷人，四处鸟叫蝉鸣，瀑布飞泻，构成了保护区独特的自然景观，加上当地民间传说，便使她充满了色彩和魅力。从南面村进入保护区远看银瓶咀山，像是一个猩猩的头向东远望，在水库堤坝或是在进入保护区管理站的路上观望银咀山，都像是“仙猴望月”，形成了特色的“仙猴望月”景观。石鼓水库贯穿保护区的中部，水面清澈如镜。对面高山倒影其中，有“高峡出平湖”的感觉。如有微风吹过，湖中粼光闪闪，清新的山风吹在游客脸上，使人顿消城市生活带来的疲惫，心旷神怡。每年的2-3月，满山的“春来红”（红花荷）开花，显得红花翠茵，更有山苍子的金薏色花点缀其中，分外妖娆。4-5月，黎蒴树开花，美丽的白色黎蒴花点缀万绿丛中；秋季，红色的山乌桕、枫树叶使层林尽染又是另外一翻景象；冬天，云雾缭绕在银瓶咀山和白云嶂之间。除了“仙猴望月”和石鼓水库，景区内还有外星坑孔雀瀑布、双叠瀑布群、百丈瀑布、岭南佳果园等景点。,全年 06:00-17:30;全年 06:30-18:00,https://img1.qunarzz.com/travel/d8/1712/67/d46ef21523b15fb5.jpg_480x360x95_03c65c21.jpg,4.3,建议游览时间：2小时,,具体收费情况以现场公示为主,,1
东莞香市动物园Xiangshi Zoo,http://travel.qunar.com/p-oi7469179-dongguanxiangshidongwu,,,,,,,,,,1
厚街Houjie,http://travel.qunar.com/p-oi10024273-houjie,"

地址:
东莞市厚街镇


电话:
0769-85582210

",厚街是一个繁华的商业地方，尽量是晚上去，可以一睹它繁华夜色的风采。厚街汇集了全国各地和全世界各地的人，有很多不同的色彩。饮食娱乐行业相当发达，有许多好吃的，还有许多娱乐休闲店铺。,全年 全天开放,https://img1.qunarzz.com/travel/poi/1712/40/6c9307db531f8c37.jpg_480x360x95_7b90e78f.jpg,4.5,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
松山湖Songshan Lake,http://travel.qunar.com/p-oi713849-songshanhu,,,,,,,,,,1
粤晖园Yuehuiyuan,http://travel.qunar.com/p-oi713941-yuehuiyuan,"

地址:
东莞市道滘镇粤晖园1号


电话:
0769-88388888


官网:
http://goyhy.com/

",粤晖园是中国最大的古典私家园林，它重现了岭南古建筑的神韵，是岭南园林的代表之作。东西部景区以一条长二千米的东江河水道为轴线，两旁是一个个古朴自然的建筑群，有泰来楼、南韵馆、天香云外、粤晖茶庄等；南北部景区横跨河道中部，依次为东正门、百蝠晖春、蘩楼。其中，蘩楼是园中的主体建筑，气势宏伟。从东正门景区后可以看到的就是整个粤晖园最重要的景点“百蝠晖春”，它是全国最大的一幅砖雕，据说用了1600万块砖，耗时2年才得以完成。砖雕的主体乃一巨型蝠王，另有四只略小蝠王盘旋于蝠王左右，寓意着五福临门。南韵楼上有粤剧博物馆，介绍了粤剧的发展。游玩过园林后可以游船、烧烤、钓鱼，这里挺适合亲友聚会的。整体而言，粤晖园作为岭南风格的私家园林，建筑很值得一看，它的布局精妙，杨柳依依，蕴含着清雅别致的古韵遗风。当然你还可以赏荷花，流连于鲤鱼池，所谓闲逛，不过如此。,疫情防控期间景区开放时间为8:30至18: 00（17：30停止售票），此外，游乐场暂不开放。,https://img1.qunarzz.com/travel/poi/1706/bd/afc953dd756fc337.jpg_480x360x95_7baa4fb6.jpg,4.2,建议游览时间：2小时 - 3小时,,"{'粤晖园门票成人票\n\n': ['¥49.9起'], '粤晖园门票儿童票\n\n': ['¥29.9起'], '粤晖园门票老人票\n\n': ['¥29.9起']}",,1
