名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
黄河入海口Yellow River Estuaries,http://travel.qunar.com/p-oi24410819-huangheruhaikou,,黄河入海口位于山东省东营市垦利区黄河口镇境内，地处渤海与莱州湾的交汇处，就1855年黄河决口改道而成。黄河河口入海流路，是1976年人工改道后经清水沟淤积塑造的新河道，利津以下为黄河河口段，是一个弱潮陆相河口。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/028bd011da13fe2b458fa04965586393.jpg_480x360x95_6903719f.jpg,4.6,建议游览时间：1小时 - 3小时,,,,1
中国石油大学,http://travel.qunar.com/p-oi9534915-zhongguoshiyoudaxue,"

地址:
东营市东营区北一路739号


电话:
13805468864


官网:
http://www.upc.edu.cn/

",中国石油大学东营校区地处黄河三角洲的中心城市、生态之城、石油之城，山东东营。建校60多年来，学校形成了鲜明的办学特色，办学实力和办学水平不断提高。在新的历史时期，学校坚持特色发展，开放发展，和谐发展，正在向着“建设国内著名、石油学科国际一流的高水平研究型大学”的办学目标奋力迈进。而且校区内风光秀丽，浓重的文学氛围在这里环绕，让人流连忘返。,全天,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/86f1c5719e2dbd9c1970c6a6bdf36b9d.jpg_480x360x95_f63e81ed.jpg,5.0,建议游览时间：2小时 - 3小时,,免费,,1
清风湖公园Qingfenghu Park,http://travel.qunar.com/p-oi705472-qingfenghugongyuan,"

地址:
东营市东营区胜利大街中段


电话:
0546-6089181

",,全年 7:00-22:00,https://img1.qunarzz.com/travel/d6/1702/bc/544f59a37c78fb5.jpg_480x360x95_7b90389b.jpg,4.6,建议游览时间：1小时,,{'清风湖公园电子导览服务大小同价\n\n': ['¥6起']},,1
黄河口生态旅游区Yellow River Estuary Ecotourism Area,http://travel.qunar.com/p-oi714426-huanghekoushengtailu:,"

地址:
东营市垦利区黄河三角洲自然保护区大汶流管理站


电话:
400-166-2158


官网:
http://www.hhkstlyq.com/

",黄河口生态旅游区位于东营市东北部的黄河入海口，这里拥有一片广袤的滨海滩涂和河口湿地，生长着一望无际的芦苇和“红地毯”（翅碱蓬）。这里是各种候鸟栖息的天堂，你可以观赏到丹顶鹤、天鹅等鸟类的优美身姿，还能看到黄河与渤海交汇处的分明色彩。在这里，你不仅能看到动人的日出，还可以在远处油井设备的衬托下，欣赏到绝美的日落画面。黄河口生态旅游区距离东营市区约有50多公里路，景区非常大而且里面景点分布很散，可乘坐景区观光车（25元/人）轻松而完整的游览景区。景区分为南、北两个出入口，通常的游览路线是：南入口-鸟岛-天然柳林木栈道-鸟类放飞区-黄河浮桥-了望台-北入口。每年4-11月是旅游区的最佳旅游时节，其中4月中上旬和10月中下旬是候鸟的迁徙季节，最适合来观鸟。鸟岛是片广袤的芦苇湿地，是观鸟的最佳区域。这里建有超过一公里长的观鸟走廊，还有高高的观鸟台，不过要想看到候鸟的优美身姿，建议带上望远镜，而摄影爱好者则要带上长焦镜和三脚架。如果是春夏秋季来景区，通常每天的10:30、15:00在鸟类放飞区会有鸟类放飞表演（冬季无此活动），放飞的一般为大雁及鹤类，届时可以欣赏到百鸟展翅齐飞的壮观景象。黄河浮桥是目前连接景区南北两区的唯一通道，行于桥上可置身于黄河的河心，近距离观赏黄河。在浮桥旁的游船码头可以坐船（船程约40分钟）去看黄河与渤海的分界线，有机会看到“河黄海蓝”的奇特景象。但是河海分界线在天气和海况良好的情况下才看得到，而且每艘游船需满二十多人才发船，建议坐船前尽量向出航回来的游客打听一下是否能看到，以便做打算。黄河口拥有广袤的湿地植物，4-8月间来此可以看翠绿的芦苇荡，乘坐游船去湿地深处探索观光（全程50分钟、半程30分钟）。而9-11月间，则可以欣赏金色的芦苇花海和火红的“红地毯”。尤其是深秋时节，一簇簇翅碱蓬（当地人称为“黄须菜”的野生植物）开着红色的花，远远望去整个滩涂都是赤红一片，好似一望无际的红地毯，美不胜收。天然柳林也是黄河口的一大特色，这里的柽柳树呈灌丛状，在沼滩上密密匝匝地平铺开去，你可以行走在穿梭于柳林的木栈道上，深入湿地腹地近距离感受密林的环境，也可以登上三层高的观河楼，将“两条”黄河尽收眼底（一条为1996年黄河河道，另一条为现行黄河流路，两者交汇于此）。每天清晨和黄昏是黄河口景色最美的时候，这里的日出与日落美得令人窒息。由于黄河入海口一带是胜利油田的作业区，因此旅游区内能看到不少抽油机（俗称“磕头机”）高大的身影，每到天气晴朗的黄昏时分，这些油井设备就成了夕阳下的绝佳布景，是摄影爱好者们绝不容错过的美妙画面。最后提醒一下，景区内餐馆很少，而且消费较高，建议自带些水和食物。而且景区周边加油站非常少，建议自驾车游客来时尽量加足油，东营市区和垦利县有不少加油站。,8:30-17:00,https://img1.qunarzz.com/travel/poi/1803/1c/eef85fac41d6d437.jpg_480x360x95_266eb993.jpg,4.1,建议游览时间：3天,,{'黄河口生态旅游区手机导游(不含门票)服务大小同价\n\n': ['¥0.6起']},,1
天鹅湖Swan Lake,http://travel.qunar.com/p-oi709091-tianehu,"

地址:
东营市东营南二路东首


电话:
0546-8832237

",胜利天鹅湖位于东营市东城东南方向15公里天鹅湖旅游区内，是于1997年建成是一处集旅游度假、休闲娱乐为一体的大型水上游乐园，为亚洲较大的人工平原水库湖区。随着环境的不断改进，在每年冬季大批天鹅相约而至，景色美丽壮观，引得游客无数，因此人们称之谓“天鹅湖”。天鹅湖作为黄河三角洲环境保护区内的主体部分，拥有丰富的渔业资源和鸟类资源。这里鸟类品种繁多，尤以国家二级保护动物天鹅。每年11月至次年4月，大批天鹅相约而至，景色美丽壮观，引得游客无数。胜利天鹅湖风景区以“大水面、大空间”为主要特色，有“七岛、六景、五特、两鲜”的特点而闻名。其中“七岛”为：北岛、太阳岛、南岛、卧佛岛、和三个鸟岛，从空中俯视如北斗七星映射地面；“六景”为：日月山、太阳岛、天涯海角、湿地动物园、卧佛岛、爱国主义教育基地等六大景点；“五特”为：地热资源特别丰富、候鸟特别多、大水面环境特别好、湖鲜特别好和地理位置特殊等五个特点；“两鲜”为：空气特别新鲜、湖中鱼类和湖区野菜特别鲜。,全年 7:00-19:00,https://img1.qunarzz.com/travel/poi/1803/e5/006893955cc72a37.jpg_480x360x95_f238c91c.jpg,4.1,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
华八井,http://travel.qunar.com/p-oi703617-huabajing,"

地址:
山东-东营区东营村

",华八井是在燕山以南，太行山以东 ，大别山以北，渤海湾以西40万平方公里的华北平原内进行石油资源普查的第八口探井。位于东营市东营区东营村。1961年4月16日，该井首次用9毫米油嘴求产，获日产8.1吨工业油流，成为当时东部渤海湾地区第一口见原油的探井，也是胜利油田的发现井。该井是在前七口井钻探资料的基础上，结合当时地矿部航测大队提供的东营地区重磁力测量图，构造图进行设计的。1961年2月26日开钻，仅用35天就顺利完井，完钻井深1755.88米，全井共取岩芯50.2米平均收获率31.1...华八井是在燕山以南，太行山以东 ，大别山以北，渤海湾以西40万平方公里的华北平原内进行石油资源普查的第八口探井。位于东营市东营区东营村。1961年4月16日，该井首次用9毫米油嘴求产，获日产8.1吨工业油流，成为当时东部渤海湾地区第一口见原油的探井，也是胜利油田的发现井。该井是在前七口井钻探资料的基础上，结合当时地矿部航测大队提供的东营地区重磁力测量图，构造图进行设计的。1961年2月26日开钻，仅用35天就顺利完井，完钻井深1755.88米，全井共取岩芯50.2米平均收获率31.1%井壁取芯25处，成功率68%；固井质量、井深 质量均一次合格。原石油部部长余秋里同志对这口井的钻探非常重视，在转入试油时专门做了重要指示，加上技术人员精心策划和实施，以至获得圆满的成功。华八井的钻探和试油的成功，实现了华北盆地早期找油的新突破，进而引出了华北石油大会战，并相继发现了大港、华北、冀东、中原等大油田，为我国的石油工业发展树立了新的里程碑。,8:00-18:00,https://img1.qunarzz.com/travel/d7/1703/15/aba1a131965337b5.jpg_480x360x95_8e37f09b.jpg,5.0,,,,,1
东营傅家遗址Dongying Fu Clan Sites,http://travel.qunar.com/p-oi711276-dongyingfujiayizhi,,,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/4b1f49e8215c4140834e7ffb98e0b993.jpg_480x360x95_18e92091.jpg,4.8,建议游览时间：1小时,,5元,,1
东营孙武祠Sunwuci,http://travel.qunar.com/p-oi701937-dongyingsunwuci,"

地址:
东营市广饶县月河路270号


电话:
0546-6925308

",孙武祠位于山东省广饶县城西北，占地面积7000多平方米。该祠以大殿为主体，内含4个融古代与现代建筑风格为一体的仿宋式四合院。南宋大殿位于广饶县城西北隅，建于南宋建炎二年。原庙址南北长130余米，东西宽76米，有春秋阁、三义堂、戏楼及东西厢房等建筑，现仅存大殿一座，系寺庙主体部分。这座大殿保持了宋代建筑特有的风格，系研究我国中古时期木构建筑的珍贵资料。建国后此大殿维修过两次。孙武祠系典型的古典式北方院落，城府套作森严整饬。正门座北朝南，为庑殿式建筑，大门内为孙武祠的南院，院山门洞内有一壁刻，系我国历史地理学家周维衍撰写的《孙武故里考简记》，上称根据《史记》、《资治通鉴》、《太平广记》等诸多典籍的记载及专家学者的勘察考证，确定孙武故里即在齐国古乐安城，乃今日之广饶县，“兵法千载，荣光乡里”。院落正中矗立着一座汉白玉孙武雕像，高3米，身佩宝剑，手持兵书，昂首挺胸，睿目远眺。两边厢房为卷棚式仿古建筑。南院与北院由一歇山式仿宋门庭相通。2005年9月6日至9月8日在东营市广饶县成功举办了首届孙子国际文化节，海外华侨华人、企业家，中国军界、史学界、社科学界知名学者等各界人士1300多人参加了开幕式。,全年 8:00-18:00,https://img1.qunarzz.com/travel/poi/1806/31/abbaa3dd689f0537.jpg_480x360x95_ef28dbb8.jpg,4.6,建议游览时间：1小时,,{'孙武祠电子导览票大小同价\n\n': ['¥6起']},,1
营子遗址,http://travel.qunar.com/p-oi703591-yingziyizhi,"

地址:
广饶县城西北约7.5公里的石村镇营子村东南120米处

","遗址为一隆起的高地，呈椭圆形，长径是东北-西南向，为469米，短径是西北-东南向，为337米，面积约15万平方米。北贾沟从遗址东部由南向北穿过。据初步钻探调查，遗址文化堆积较厚，一般1.5—3.5米,采集到的标本既有上万年的兽骨化石，也有龙山文化和岳石文化时期的蚌刀、蚌镰、骨锥、石铲、石斧、石镰、石凿、单孔石刀、双孔石刀、方孔石器、黑陶杯、纺轮、白陶、鬶等，文化遗存极为丰富。方孔石器为本地区所仅见，地方特色浓郁。1982年，对该遗址进行局部发掘，出土的石质工具种类繁...遗址为一隆起的高地，呈椭圆形，长径是东北-西南向，为469米，短径是西北-东南向，为337米，面积约15万平方米。北贾沟从遗址东部由南向北穿过。据初步钻探调查，遗址文化堆积较厚，一般1.5—3.5米,采集到的标本既有上万年的兽骨化石，也有龙山文化和岳石文化时期的蚌刀、蚌镰、骨锥、石铲、石斧、石镰、石凿、单孔石刀、双孔石刀、方孔石器、黑陶杯、纺轮、白陶、鬶等，文化遗存极为丰富。方孔石器为本地区所仅见，地方特色浓郁。1982年，对该遗址进行局部发掘，出土的石质工具种类繁多，制作工艺精湛。陶制品分泥质陶和夹砂陶两类，以红陶为主，灰陶次之，制作方法多为轮制，亦有部分手制。另外，还出土了商周时期的红色和灰色夹砂陶鬲、灰陶豆把、粗绳纹灰陶罐以及汉代的瓮和盔形器等。该遗址现为省级重点文物保护单位。",全天,,--,,,免费,,1
东营历史博物馆Dongying City History Museum,http://travel.qunar.com/p-oi715989-dongyinglishibowuguan,"

地址:
东营市广饶县月河路270号


电话:
0546-6442936,0546-6445162


官网:
http://www.dymuseum.cn/

",东营市历史博物馆位于广饶县城，占地7799平方米。东营历史博物馆的前身是广饶县博物馆，早在1956年，广饶就组织开展了由县文化科负责、有省文物主管部门人员参加的文物普查和文物保护工作，并结合普查举办了文物展览。20世纪60年代，文物工作由县文化包兼管。1974年10月，由县相关部门发文，有关单位参加，成立了文物管理委员会。1977年初，建立了县文物管理组和文物管理收购站，并配备专职干部。到1983年12月，经省文化厅批准，广饶县文物管理组更名为广饶县博物馆，广饶县博物馆正式成立。作为兵圣孙子的故乡—广饶，为推动孙子学术研究的深入开展，根据专家学者的建议，于1992年2月成立了社会团体——“中国孙子与齐文化研究会”。馆内珍藏着东营市较珍贵的文物，既有2万年前的麋鹿角化石，有距今5000年左右的陶器、石器、骨器、玉器、青铜器等；也有王羲之行书《半截碑》拓本、《赵子昂真迹》自裱本和数件名人字画。馆内共珍藏着各类文物6000余件、其中不乏非常珍贵的藏品。迄今为止，各级文物保护单位已达123处。1995年，东营市历史博物馆被列为“全省爱国主义教育基地”和“市爱国主义教育基地”。,"全年 08:00-11:30,14:00-17:30;全年 08:30-11:30,13:30-17:00",https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/eda4a4f7-e9cf-4067-8476-9deede449d35.jpg,4.6,建议游览时间：1小时,,{'东营市历史博物馆驴迹电子导览（不含门票）服务大小同价\n\n': ['¥6起']},,1
