名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
沙坡头Shapotou,http://travel.qunar.com/p-oi716456-shapotou,"

地址:
宁夏回族自治区中卫市沙坡头区迎水桥镇


电话:
400-15-51766


官网:
http://www.spttour.com/

",沙坡头，位于中卫市区以西约20公里处，从市区前往大约需要1小时左右。沙坡头景区南靠山峦叠嶂、巍峨雄奇的祁连山余脉香山，北连腾格里大沙漠，中间被奔腾而下，一泻千里的黄河横穿而过。这种一边是浩瀚无垠的腾格里大沙漠，一边是长流不息的黄河水的景色非常壮丽，自古以来就有许多文人墨客在此留下诗词文章。唐代诗人王维的千古名句“大漠孤烟直，长河落日圆”，描写的就是此处。在这里，你可以去天然滑沙场，从百米沙坡上，顺势而下，下滑时沙中发出嗡嗡的轰鸣声，犹如金钟长鸣。还可以乘坐古老的运输工具——羊皮筏子，在黄河上畅游。如果你够胆大，那就去玩玩横跨黄河两岸的滑索，感受凌空飞跃黄河的刺激。当然，到了沙漠，骑骆驼是必须体验的活动，在骆驼背上，遥看周边金黄色的沙海，绮丽壮观。除此之外，景区内还设有沙漠摩托车、沙漠穿越、自驾越野车等游乐项目。这里还是《爸爸去哪儿》的拍摄地之一，有兴趣的游客可以去景区内的亲子互动区和拍摄基地看看。在沙坡头游玩时，还能够看到横穿沙漠的包兰铁路；在景区的南部散落着秦、战国时期的长城遗迹；这里也是国内著名的沙漠治理实验区，实验区中的“麦草方格”被誉为治沙史上的奇迹。而在景区大门附近的沙漠博物馆里，可以了解到沙漠的形成与发展等知识。沙坡头景区新建了一个3D的玻璃栈桥，横跨黄河，全长210米，宽2.6米，垂直高度10米，以透明玻璃和3D绘画相结合的模式，让人体验到惊险刺激。此景区单独收费30元。多数游客在景区游玩后，会返回中卫市区或者银川住宿。如果有兴趣，可以住在景区内的沙漠酒店，住在这里能欣赏到沙漠中的日出和日落。景区还设有餐厅供游客使用，价格要比中卫市区稍贵。,4/1-10/31 08:30-18:00;11/1-3/31 09:00-17:00,https://img1.qunarzz.com/travel/d2/1504/38/645cc68bd8c91.jpg_480x360x95_21cb9554.jpg,4.6,建议游览时间：3天 - 6天,夏、秋两季去沙坡头旅游为最佳，沙坡头气候属于干旱气候区，平均气温9.6度，最高气温38.1度，最低气温度。冬春两季多沙暴，容易迷途并危及生命。,"{'沙坡头门票成人票\n\n': ['¥80起'], '沙坡头门票优待票\n\n': ['¥40起'], '沙坡头自驾越野车大小同价\n\n': ['¥500起']}",1、做好到达目的地前的准备工作。包括当地有关的背景资料，气候、植被、河流、高山、村庄、道路等等，尊重客观事实制定沙漠旅游路线，在确保生命安全的情况下制定出力所能及的旅游方案。 2、要有良好的装备和充足的给养。沙漠旅游活动大多是在行走下完成的，因此，必须具备相当的体能和毅力，平时体弱、多病者最好不要参加，以免出现意外。 3、沙漠春夏风沙多，需穿防风沙衣服及戴纱巾；全年昼夜温差大，夜晚要准备防寒衣物；白天阳光充足紫外线强烈，脸上可擦防晒霜，戴太阳镜、遮阳帽；身上最好不要擦防晒霜，否则微风扬起的沙尘会粘到皮肤上，很难清理，故身上应穿浅色长袖吸汗衣物防晒为佳。 4、沙漠昼夜温差大，在沙漠过夜要带足衣服和饮用水，并备上眼药水、抗菌消炎药、感冒药等常用药品，要多吃水果。在沙漠行走时宜穿轻便透气的高帮运动鞋，以免沙子进入鞋内，影响走路；夏季中午不宜徒步，否则沙漠表面温度太高，容易中暑及晒伤皮肤。 5、遇到紧急或者意外情况，不要慌张，要正确地判断方向。在广阔的沙漠上行走，因为视野空旷，难以找到定向的参照物，加上起伏的沙丘、高大的沙山和洼地，人们一般不可能走直线，如果判断不了，就在原地等待救援。 6、在沙漠中迷失方向，千万要注意保持“水分”，一是节省水，二是能发现水源，三是利用水。在沙漠中，炎热、干旱对旅游探险者来说是第一大杀手，沙漠探险遇难者大都是缺水中暑所致。在沙漠中一旦迷失方向，在走出困境之前，一定要保证有足够的、干净的水喝，不然生存下来的希望很渺茫。在沙漠中，地表是没有水的，大部分地区也很难挖出水来。但沙漠大都是盆地，里面也有很多季节性河道。 7、躲避沙暴。万一在沙漠旅游中遇见沙暴，要凭目力的观察选择逃避的方向，只要避过风的正面，大都能化险为夷。同时，千万不要到沙丘的背风坡躲避，否则有被沙暴埋葬的危险。,1
腾格里沙漠Tenggeli Desert,http://travel.qunar.com/p-oi23342578-tenggelishamo,"

地址:
中卫市沙坡头区


电话:
0955-7666536

",腾格里沙漠位于内蒙古自治区阿拉善左旗西南部和甘肃省中部边境，是电影《刺陵》的取景地，也是年轻人向往的小众旅行地。在这里可以体验腾格里沙漠星空露营，也可以骑着骆驼遨游在沙海，或乘坐越野车在沙漠里驰骋感受激情。腾格里沙漠沙峰壮阔宏大，沙粒细微软滑，颜色金黄闪亮。行至大漠深处，除了金色的沙海，还有许多湖泊，远远望去，湖边堆堆盐囱恰似冰雪，湖面泛着银光，犹如沙海冰川。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/cc76079f37aab6f4da1519303cd5456b.jpeg_480x360x95_71483af0.jpeg,4.8,建议游览时间：12小时 - 3天,,"{'宁夏银川腾格里沙漠五湖穿越一日游（乌兰湖。天鹅湖，龙眼翡翠湖，骆驼湖，吉他湖））\n\n': ['¥480起'], '宁夏腾格里沙漠·通湖草原+沙坡头一日游（可选6人/12人团+酒店接送）\n\n': ['¥188起'], '宁夏腾格里沙漠+沙坡头+北长滩66号公路·6人嗨小团一日游\n\n': ['¥168起']}",,1
腾格里•金沙海Tengger Golden Sand Sea,http://travel.qunar.com/p-oi10068213-tenggelijinshahai,"

地址:
宁夏回族自治区中卫市沙坡头区沙坡头旅游景区北侧


电话:
0955-3951666

",腾格里•金沙海旅游度假区位于宁夏沙坡头区迎水桥镇迎闫公路与小湖路交汇处，景区占地1.16万亩，充分展现全生态腾格里沙漠的奇美景观。主要景点有大漠观海楼、丝路长街、狂野地带、丝路星辰帐篷酒店、大漠水上乐园、沙漠阳光浴场、拓展基地、军事营地、丝路驼队等。在这里神秘的丝路文化风情和沙漠生态观光旅游完美结合，感受金色沙海神奇的“沙漠之魅、丝路之魂、生态之秀”。淳朴热情能歌善舞的宁夏人，神秘浓郁的丝路风情，创造了腾格里•金沙海旅游度假区。,全年 08:00-18:00,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/fusion/20205/eefc6632555071299d35210669add7d0.jpg_480x360x95_597ed596.jpg,4.5,建议游览时间：12小时 - 3天,,30元,,1
中卫高庙Gaomiao Temple of Zhongwei,http://travel.qunar.com/p-oi708985-zhongweigaomiao,"

地址:
中卫市沙坡头区高庙景区


电话:
0955-7012164

",中卫高庙，位于中卫市区，原名保安寺，与其他大部分寺庙不一样，它是建在一个高台上的寺庙，所以也被成为“高庙”。因为是建在高台上，寺庙中的主要建筑也就由低到高的沿着中轴线排列，层层叠叠，在不大的面积内，集中了260多间重楼叠阁。游客在游览时，进入山门后，可以沿着南北走向的中轴线，由下往上的游览整个寺庙。当你穿过牌坊，脚踩台阶往上走，可以看到供奉着弥勒佛的“弥勒阁”，弥勒阁之后是供奉着释迦牟尼坐像的大雄宝殿。而从大雄宝殿出发，继续登阶而上，就是南天门、钟楼，还可以去高庙的地下，也就是高台的内部，这里建有我国少有的青面獠牙，面目可憎，以忠、孝、廉、正的故事以警示世人。当你在高庙游玩时，还可以多注意下寺中建筑的细部，如砖雕、石雕、墙角的柱石等，这些细部图案精美，制作精巧，体现了古建筑的建造严谨和用心。,4月1日-10月31日8:30-17:30，17:00停止入场；11月1日-次年5月31日8:00-17:00，16:50停止入场。,https://img1.qunarzz.com/travel/d6/1510/bc/e58048803aa44e.jpg_480x360x95_192a6a5f.jpg,4.5,建议游览时间：1小时 - 2小时,沙坡头气候属于干旱气候区，平均气温9.6度，最高气温38.1度，最低气温度。冬春两季多沙暴，以夏、秋季为最佳。,具体收费情况以现场公示为主,,1
天都山石窟,http://travel.qunar.com/p-oi714072-tiandoushanshiku,,,,,4.2,建议游览时间：1小时,沙坡头气候属于干旱气候区，平均气温9.6度，最高气温38.1度，最低气温度。冬春两季多沙暴，以夏、秋季为最佳。,30元,,1
保安寺,http://travel.qunar.com/p-oi711644-baoansi,"

地址:
宁夏中卫市沙坡头区鼓楼北街高庙景区

",,"旺季（4-10月）： 8:00-18:00 
 淡季（11-3月）： 8:30-17:30",https://img1.qunarzz.com/travel/poi/1707/5b/aa615f53d6bf9b37.jpg_480x360x95_116f48a4.jpg,4.0,建议游览时间：1小时,沙坡头气候属于干旱气候区，平均气温9.6度，最高气温38.1度，最低气温度。冬春两季多沙暴，以夏、秋季为最佳。,"票价 成人票：20元


优惠政策
 儿童票：10元",,1
石空寺石窟,http://travel.qunar.com/p-oi711055-shikongsishiku,"

地址:
中宁县石空镇西北的双龙山南麓


电话:
0951-6723298

",位于中宁县城北15公里处，原有大佛洞、卧佛洞、观音洞、龙王洞、灵光洞等石窟，石窟前建有寺院，寺院中还有各类神佛塑像。但是由于这里是腾格里沙漠的南缘，风沙大，加上在晚清时期社会动乱，寺院荒废，石窟逐渐被流沙埋没。到了20世纪40年代末，仅存一个俗称“九间无梁洞”的石窟和洞前的寺院了。九间无梁洞窟室宽敞宏大，进深7.3米，12.5，高20多米。里壁并列着三个佛像，东西两边各置佛坛。虽然造像已残损，但这些明代的彩塑仍然显得非常精致；壁面有彩绘的佛教故事，窟顶有彩绘图...位于中宁县城北15公里处，原有大佛洞、卧佛洞、观音洞、龙王洞、灵光洞等石窟，石窟前建有寺院，寺院中还有各类神佛塑像。但是由于这里是腾格里沙漠的南缘，风沙大，加上在晚清时期社会动乱，寺院荒废，石窟逐渐被流沙埋没。到了20世纪40年代末，仅存一个俗称“九间无梁洞”的石窟和洞前的寺院了。九间无梁洞窟室宽敞宏大，进深7.3米，12.5，高20多米。里壁并列着三个佛像，东西两边各置佛坛。虽然造像已残损，但这些明代的彩塑仍然显得非常精致；壁面有彩绘的佛教故事，窟顶有彩绘图案，描绘细腻。明代杨郁有诗赞曰：“古洞仰观北拥山，洪涛俯瞰水东流，倚遍危栏情未已，淡烟衰草夕阳中。”便是对这里自然风貌的写照。,8:00-20:00,https://img1.qunarzz.com/travel/poi/201408/13/73cafa42e7f55959c8d65eac.jpg_480x360x95_0b74e492.jpg,4.3,建议游览时间：1小时,沙坡头气候属于干旱气候区，平均气温9.6度，最高气温38.1度，最低气温度。冬春两季多沙暴，以夏、秋季为最佳。,20元,,1
寺口子Sikouzi,http://travel.qunar.com/p-oi711889-sikouzi,"

地址:
中卫市沙坡头区宣和镇南20公里处


电话:
0955-7639268

",寺口子古称北海，南依山道奇险的香山，北临塞上江南卫宁平原，东边是西夏古都银川，东靠风光甚好的沙坡头，由于地理位置优越，自古就是兵家必争之地，有着丰富的人文景观和独特的自然风光，有“历史博物馆”之称。寺口子分为东、西两个景区，东景区被称为塞上奇峡景区，以山石地貌景观为有名，是西北神奇美丽的峡谷之一，怪石连绵起伏，有的突兀耸立，有的光滑如镜，神态各异，天成妙趣。西景区则称为丹崖佛光景区。山势陡峭，人文景观丰富。留有西汉名臣苏武牧羊遗址，苏武栖身石窟、...寺口子古称北海，南依山道奇险的香山，北临塞上江南卫宁平原，东边是西夏古都银川，东靠风光甚好的沙坡头，由于地理位置优越，自古就是兵家必争之地，有着丰富的人文景观和独特的自然风光，有“历史博物馆”之称。寺口子分为东、西两个景区，东景区被称为塞上奇峡景区，以山石地貌景观为有名，是西北神奇美丽的峡谷之一，怪石连绵起伏，有的突兀耸立，有的光滑如镜，神态各异，天成妙趣。西景区则称为丹崖佛光景区。山势陡峭，人文景观丰富。留有西汉名臣苏武牧羊遗址，苏武栖身石窟、苏武圈羊石窟、苏武庙、苏武断桥、米钵寺等遗址；宋代杨家将的故事也在这里广为流传。寺口子自然风景区的山水景致带着西部人浓郁粗犷豪放性格，群峰层峦叠嶂山道雄险。漫步于山野沟壑，流连于古刹名庵，山清水秀，景色迷人。还可体验天然石壁攀岩，看勇者走中国海拔高跨度长的钢索桥云汉天度，尤为惊险刺激。,全年 09:00-16:30,https://img1.qunarzz.com/travel/poi/1707/50/d49937fdc173da37.jpg_480x360x95_cf561bea.jpg,4.5,建议游览时间：2小时 - 4小时,沙坡头气候属于干旱气候区，平均气温9.6度，最高气温38.1度，最低气温度。冬春两季多沙暴，以夏、秋季为最佳。,"{'寺口子门票成人票\n\n': ['¥74.6起'], '寺口子门票学生票\n\n': ['¥39起'], '寺口子索桥票大小同价\n\n': ['¥30起']}",,1
腾格里沙漠湿地,http://travel.qunar.com/p-oi5860339-tenggelishamoshidi,"

地址:
中卫市西立交机场路与五葡路交汇处向西2公里


官网:
http://www.tglsd.com/

",,8:30-17:30,https://img1.qunarzz.com/travel/d2/1612/52/f9435edc9af142b5.jpg_480x360x95_dbec6a0d.jpg,4.6,建议游览时间：1小时 - 2小时,沙坡头气候属于干旱气候区，平均气温9.6度，最高气温38.1度，最低气温度。冬春两季多沙暴，以夏、秋季为最佳。,"票价 成人票：60元
  优惠政策
 1、儿童身高1.2米以下免费（仅免大门票）；70岁以上老人持身份证或老年证免费（仅免大门票）。
 2、身高1.2--1.5米之间儿童购景区优惠票；60--69岁之间老人持身份证或老年证购景区优惠票。

",,1
月亮山,http://travel.qunar.com/p-oi715790-yueliangshan,,月亮山是西吉县境内最高的山脉，位于县城西北部西吉、海原两县交界处，白城乡东北。属屈吴山余脉，因其形状近似弧月而得名。主峰海拔2633米，上下山路程约七华里，西麓有宝河沟，故又名七里宝山。月亮山东南接六盘山余脉--西峰岭，西北与西华山接界，呈西北--东南走势，长约40公里，宽约20公里，山体呈窄条鱼脊状，两侧坡度较缓，一般在40-60度之间。其植被多为草本科，有无芒雀麦草、垂穗披硷草、鹅冠草、硬质早熟禾、黄花野苜蓿等世界稀有或濒临绝种的优质牧草，为西吉、海原两县...月亮山是西吉县境内最高的山脉，位于县城西北部西吉、海原两县交界处，白城乡东北。属屈吴山余脉，因其形状近似弧月而得名。主峰海拔2633米，上下山路程约七华里，西麓有宝河沟，故又名七里宝山。月亮山东南接六盘山余脉--西峰岭，西北与西华山接界，呈西北--东南走势，长约40公里，宽约20公里，山体呈窄条鱼脊状，两侧坡度较缓，一般在40-60度之间。其植被多为草本科，有无芒雀麦草、垂穗披硷草、鹅冠草、硬质早熟禾、黄花野苜蓿等世界稀有或濒临绝种的优质牧草，为西吉、海原两县主要的牧场。南麓胡家垴为葫芦河发源地。中卫--静宁公路盘山而过。月亮山西南麓有三滴水新石器时代文化遗址。遗址暴露范围东西宽500米，南北长2000米，分布在北庄东西两面山坡及三滴水小学操场内。文化层1-2米，墨、黄、红三种土层交替覆盖。大量陶片散布于地表和文化层中。陶片为夹砂、泥质，纹饰为绳纹、印纹等，出土较完整的红陶罐、瓶各一个。1984年7月在学校基建打墙时出土石斧、灰陶罐各一件，并发现长13米、厚30厘米的灰土层，夹杂大量陶片。此地已被列为县级文物保护单位。,,,0.0,,,,,1
