名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
中山詹园Zhongshan Mansion Garden,http://travel.qunar.com/p-oi711797-zhongshanzhanyuan,"

地址:
中山市南区北台村105国道旁


电话:
0760-23336288

",中山詹园又名中山大宅门，座落在中山市西南郊，是目前岭南地区至大的古典私家庭园，分为詹园祝寿、岐江廊桥、詹府种福三个区域。詹园建筑以苏杭园林为基调，结合岭南水乡的布局脉络，使湖洲山、北溪河等自然风光与詹园建筑构成一体，形成天人合一的建筑风格。詹园建筑结构简洁而凝重，风格古朴而洒脱。它的取材多为民间古旧材料，一砖一瓦、一门一窗都凝聚着历史的痕迹。同时还吸收了西式园林的风格，水体和装修多呈几何形式；庭园潇洒，层次分明，建筑重视选址，造型洗练简洁。詹园是由园主黄远新先生亲自设计为父母建造一处淡雅精致、颐养天年的静心居所。为了彰显严爱、永志慈恩，园主以父名 命桥名，以母姓冠詹园，又专辟一处设立《孝道馆》，彩绘《廿四孝》图悬挂其内。今日的詹园已逐渐形成“一山、一水、一庭园；亦诗、亦画、亦休闲”的珍贵艺术景观。,8:30-17:30,https://img1.qunarzz.com/travel/d7/1507/f7/989532947b959b.jpg_480x360x95_a25f4d47.jpg,4.5,建议游览时间：1小时 - 3小时,,"{'中山詹园门票成人票\n\n': ['¥50起'], '中山詹园门票优待票\n\n': ['¥28起'], '中山詹园门票双人票\n\n': ['¥110起']}",,1
中山影视城Zhongshan TV and Film City,http://travel.qunar.com/p-oi707619-zhongshanyingshicheng,"

地址:
中山市南朗镇翠亨镇中山影视有限公司


电话:
0760-85503618

",中山影视城位于孙中山故居旁，被优美秀丽的景色包围着，是一个集旅游观光、爱国主义教育和影视拍摄等于一体的新主题文化旅游景点。影视城沿着孙中山先生的革命足迹，分别建造了中国、日本、英国、美国和展览馆五大板块，浓缩了他在世界各地从事革命活动的纪念地，让游客深刻的了解到这位伟人为中国的革命而作出的艰苦奋斗，十分具有教育意义和纪念意义。中山影视城内有南京中山陵、总统府、广州起义指挥部、黄埔军校、陆皓东烈士陵园、上海孙中山故居、日本孙中山故居、英国伦敦警察局、大教堂、美国唐人街同乡会馆、纽约孙中山住处、北京铁狮子胡同等18个再现孙中山先生革命历程的历史场景景点和中山近代名人馆、辛亥革命历史图片展览馆等共62个参观景点，漫步其中，能真切地了解孙中山先生波澜壮阔的革命一生和感受中山市丰富的历史文化内涵。影视城又是一个具有南国特色的知名影视拍摄基地，城内四大景区荟萃了中西方建筑艺术精华。这里有旧广州的街市店铺和市井风情，还保留着电视剧《羊城风暴》、《风雨西关》的多个场景；这里有再现美国都市特色的纽约大街、美国西部乡镇街景和闻名的美国唐人街的街景风貌；还有古朴典雅的英国景区建筑群，体现了西式建筑、欧式建筑、宗教建筑等不同风格，电视剧《冼星海》就在此完成。,全年 08:30-19:30,https://img1.qunarzz.com/travel/d5/1711/94/74752f6f95fd01b5.jpg_480x360x95_1ca0d751.jpg,4.2,建议游览时间：3小时,春秋最佳。中山市春秋两季天气较为明朗，适合游玩。,"{'中山影视城门票成人票\n\n': ['¥60起'], '中山影视城手机智能导游讲解服务大小同价\n\n': ['¥7起']}",,1
五桂山Wuguishan,http://travel.qunar.com/p-oi713048-wuguishan,"

地址:
中山市五桂山自然风景区


电话:
0760-88201338

",五桂山是中山市的较高的峰，主峰海拔约531米。这里山峦起伏，一路绿树环绕，景色十分优美。沿途的登山道都是水泥公路，并不算难走，走走停停不到两小时基本上可以登顶。这里有着丰富的山林景观，奇花异草不断，生机盎然。中山广播电视台发射台所在的位置便是山顶了。,全年 8:00-18:00,https://img1.qunarzz.com/piao/fusion/1509/39/304ce6dad830e3.jpg_480x360x95_fa0cc7c0.jpg,4.4,建议游览时间：4小时 - 5小时,四季皆宜，春秋最佳。,{'【酒店套餐】中山泉眼温泉度假酒店1晚+双早+温泉+晚餐+宵夜\n\n': ['¥427起']},,1
云梯山花海Yunti Mountain Flower Sea,http://travel.qunar.com/p-oi23352389-yuntishanhuahai,"

地址:
中山市南朗镇云梯山西门合里村牌坊


电话:
18933425002,18933425001

",云梯山花海位于云梯山森林公园西门，一期占地面积约300亩，分为南北AB两个园区。整个园区由黄花风铃木林、松树林、柚木林、吊钟花林、栈道赏花区、梯田赏花区、爱情迷宫、多功能木台、休闲草坪、绿色有机采摘场等十大区域构成。园区在设计上利用周围山体的自然环境，营造气势磅礴、层次分明、姹紫嫣红的锦绣花海。内园区绿树成荫、鸟语花香、溪水潺潺，过万棵黄花风铃木逢春绽放，超万平方的梯田花卉，四季有花、季季不同，让人流连忘返。,景区暂时停业，详情请以景区公示为准。原开放时间：1月-3月9:00-18:00，4月-12月暂停营业，停业期间景区是否开放以景区公示为准。,,4.7,建议游览时间：1小时 - 2小时,,38元,,1
孙中山故居纪念馆Sun Yat-Sen Memorial Hall,http://travel.qunar.com/p-oi708266-sunzhongshangujujinian,"

地址:
中山市南郎镇翠亨大道93号


电话:
0760-28158366,0760-85501691


官网:
http://www.sunyat-sen.org/

",孙中山故居堪称中山市较为有名的揽胜景点，游人但凡行至此处，便会被景区外四个金色醒目大字“天下为公”深深震撼，这也是游人拍照留念地。场馆坐东朝西，以孙中山在翠亨村的故居为核心建筑，以博物馆展出的形式向公众开发，1866年11月12日，孙中山正是诞生于此地。这座展馆不只是学习爱国主义精神的场所，也是了解孙中山生活年代的民俗的好地方。故居市内的许多陈列至今保持着1892-1895年间，孙中山返乡居住时的场景。1934年，该故居交由当时的国民政府管理，后几经辗转，于1986年被国务院列为全国重点文物保护单位。,全年 09:00-17:30,https://img1.qunarzz.com/travel/d4/1605/c0/0a7b318e7448f8f7.jpg_480x360x95_29ca1deb.jpg,4.6,建议游览时间：2小时 - 3小时,春秋最佳。春秋两季中山天气明朗，气温舒适，是旅游的最佳季节。,"{'孙中山故居纪念馆电子导览服务成人票\n\n': ['¥0.5起'], '珠海港珠澳大桥+孙中山故居+渔女一日游/广州出发 纯玩无购物\n\n': ['¥199起'], '深圳出发-巨龙一线横江海-港珠澳大桥+孙中山故里+渔女一日游\n\n': ['¥319起']}",1.观众须在领票处排队领票，领票时间为每天9:00－16:30，16:30后停止入场。一人一票，当日有效，过期作废。每天接待参观人数限额为33000人。2.幼儿园和中小学生集体参观接待时间为周一至周五，并须提前一天预约；学龄前儿童、高龄老人、行动不便者须有正常的成年人陪护入馆参观。,1
孙文西路Sun Wenxi Road,http://travel.qunar.com/p-oi709299-sunwenxilu,"

地址:
中山市城区石岐铁城西门外，西连津渡（石岐河）南绕烟墩山，东达仁山（即现在孙中山纪念堂）


电话:
0760-88845557

",孙文西路是中山市的一条百年老街，古时称为迎恩街，1925年孙中山先生逝世后，此街才改名为孙文西路。孙文西路全长500余米，两侧建筑是19世纪末至20世纪初的欧式风格建筑与岭南骑楼建筑的结合，这种“南洋风格建筑”也是孙文西路每每引得路人驻足，合影留念的经典元素。孙文西路的建设于1997年进一步拓展，成为一条集饮食、娱乐、购物、休闲于一体的文化旅游步行街，现在的孙文西路上依然隐匿着许多名不见经传的百年老店，如孙文西路154号的、始于1862年的福寿堂药店，158号的、始于1921年的公益纸料店等。,全年 全天开放,https://img1.qunarzz.com/travel/d8/1801/23/2fd6bf86a717d6b5.jpg_480x360x95_37668a34.jpg,4.1,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
西山寺Xishan Temple,http://travel.qunar.com/p-oi716205-xishansi,"

地址:
中山市孙文中路242号


电话:
0760-88820369

",西山寺位于中山市的石岐西山，又称仁寿禅寺，始建于明朝嘉靖年间，作为书屋使用，后来改建为寺，自清朝至今历经修缮，距今已有四百多年历史，是备受中山市民推崇的佛门清静之地。西山寺建筑面积逾1300平方米，香火极旺，“文化大革命”时期，寺内文物大多遗失，僧人四散，仅存门前一副对联“红棉旧荫，福地重光”和苍劲有力的书法横额“仁寿禅寺”得以幸免。1988年10月，古寺重新修建，对外开放供游客观赏。,全年 08:30-17:00,https://img1.qunarzz.com/travel/d6/1612/51/96d294ecf6a1afb5.jpg_480x360x95_df34344e.jpg,4.3,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
月山公园Yueshan Park,http://travel.qunar.com/p-oi711981-yueshangongyuan,,中山月山公园坐落在市区孙文中路一个山丘上，在1934年建立，占地面积为2465平方米。内有凉亭、石狮、石山、牌坊和半月台等，还有一批参天古榕。根据历史记载，这一带原有8座小山峰，其中一座居中，呈弯月形，所以称为月山，即今月山公园所在。其余7座圆形小山：仁山、武山(西山)、寿山、丰山、盈山、福山和凤山分散在周围，统称为七星峰。,,https://flight-feed.qunarzz.com/as3/288/image/poi_vishnu/5d0a145a-daf7-478c-ae42-2b91256b5b81.jpg,4.0,建议游览时间：3小时,,,,1
中山岭南水乡Zhongshan Lingnan Water Township,http://travel.qunar.com/p-oi706692-zhongshanlingnanshuixiang,"

地址:
中山市民众镇新平路25号


电话:
0760-85702808

",中山岭南水乡位于中山市民众镇，紧靠珠江口，毗邻广州、珠海、港澳、深圳等地；京珠高速公路、广珠公路之干道从旁而过，交通十分便利。                     中山岭南水乡同样有小桥流水和枕水人家、鸡犬蛙鸣一片；不同的是也许受了“南蛮”之气的影响，民俗文化却迥于苏杭。中山岭南水乡的风光更带点阳刚之气。水乡有船，轻舟秀水，香蕉荔枝龙眼成行成片。三十几里水泾仅是民众水乡的一小部分，岭南水乡的水上游项目主要是指的这一段。近水而建的吊脚杉皮房，像一个远古的童话，让人温馨。                     ,由于中山岭南水乡内部政策调整变更，景区暂时停业，详情请以景区公示为准。,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/364350e636f91b98caf57f28afb91f69.jpg_480x360x95_d95a3075.jpg,3.9,建议游览时间：3天,春秋两季是到中山旅游的最佳季节。,具体收费情况以现场公示为主,,1
阜峰文塔Zhongshan Fufeng Wen Tower,http://travel.qunar.com/p-oi705322-fufengwenta,,阜峰文塔建于明代万历三十六年(1608年)九月，知县蔡善继创建，又名烟墩山塔。该塔为七层八角形楼阁式砖结构塔，塔置平座，凌角牙砖与线砖相间叠涩出檐，高24.5米，原为空心塔，1952年重修时，把上三层改为实心，宝瓶状刹为铁铸。现该塔一至三层向外开放，登塔远观，中山城区尽收眼帘。如今塔身增设了灯饰，一到夜晚更显灿烂辉煌。,,https://img1.qunarzz.com/travel/poi/1409/24/43ebac7e74286377ffffffffc8d65eac.jpg_480x360x95_a483ac3e.jpg,4.5,建议游览时间：1小时,四季皆宜，春秋最佳。,具体收费情况以现场公示为主,晚上游玩时，建议结伴前行。,1
紫马岭公园Zimaling Park,http://travel.qunar.com/p-oi705653-zimalinggongyuan,"

地址:
中山市博爱六路


电话:
0760-88321559

",紫马岭公园位于中山市的中山五路南侧，公园林荫浩淼，池莲清凉，四季鸟语花香，于1993年国庆日正式落成开放。园区以原有自然风貌为基础，融入人力因地制宜，巧妙规划，从而营造出了一处供市民休憩和户外健身的大型生态化城市公园。紫马岭原为“香山八景”之一的“天池芰荷”旧址，一直以空气清新透澈、景色怡人而闻名，相传在明清两代时，这里还曾是富家子弟跑马游乐的场所，可见它实在是一块天赐中山的风水宝地。游人若有兴致，不妨登上园中的“揽胜阁”，俯瞰全园风景，如果天气晴好，中山全市风光也可尽收眼底。公园四个入口，北门连接市区的主干道，是主入口，园内共有20多个景点和一个大型鸟区（“嘤鸣谷”就在其内，紫马岭里的嘤鸣谷是中山唯一的动物园），罗列有序。进入北门，象征中山市建设腾飞的“紫马奔腾”园雕迎面耸立，70米长的喷水池碧波荡漾，与彩灯辉映；象征中山市改革开放的巨型不锈钢荷花球高竖池中，银光闪耀。信步园内，摩崖园传神诗书，满目琳琅；百花园百花齐放，四季飘香；名园树木名人手栽立下光辉榜样；品荔园满园“妃子笑”，岭南佳果名扬；野趣园山林景色；锦鲤池溢彩流光；春园桃花怒放；水园游艇繁忙；荷花天池滴水观音，普施甘露；秋冬随时移世易，红绿有常；玫瑰园幽香远送；清芬园异卉迎人；“嘤鸣谷”鸟语花香；烧烤场频传笑语；一片祥和喜气扬，登“揽胜阁”，俯瞰满园景色，尽揽全市风光。,全年 07:00-20:00,https://img1.qunarzz.com/travel/d1/1601/bc/0b7a890317ca45f7.jpg_480x360x95_8b3ef675.jpg,4.5,建议游览时间：1小时 - 2小时,春秋最佳。春秋两季中山天气明朗，气温舒适，是旅游的最佳季节。,{'紫马岭公园电子导览服务大小同价\n\n': ['¥8起']},,2
