名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
黄河壶口瀑布风景名胜区Hukou Waterfall,http://travel.qunar.com/p-oi707083-huanghehukoupubufengjing,"

地址:
山西省临汾市吉县壶口镇延壶路


电话:
0357-7955000

",壶口瀑布是黄河上的著名瀑布，世界上少见的黄色瀑布。壶口瀑布以黄河为界，黄河以西是陕西宜川县，黄河以东是山西吉县。壶口瀑布也分为壶口瀑布（陕西处）和山西壶口瀑布（山西处），两个景区分别售票。壶口瀑布山西处，位于山西临汾市吉县城西45公里处。壶口瀑布一年四季景色各异，较佳旅游时间分为两段，一是每年的4-5月份，瀑布附近桃花盛开，岸边冻结的冰块开始融化，一派春意盎然，被称为“三月桃花汛”。二是每年的9-11月份，此时雨季刚好过去，时有阵阵秋风吹过，常伴有彩虹出现，叫做“壶口秋风”。春、秋两季水量较大，水流拍击声如雷鸣般，比平日更加震撼。,全年 08:00-17:00,https://img1.qunarzz.com/travel/d5/1611/ca/a65a7adcef3255b5.jpg_480x360x95_3101ad85.jpg,4.6,建议游览时间：2小时 - 3小时,4月~5月称为“桃花汛”，9月~10月称为“壶口秋风”，这个时期水量大而稳定，瀑布宽度可达千米左右，是去壶口瀑布旅游的最佳时间。,"{'壶口瀑布导览服务大小同价\n\n': ['¥0.5起'], '【壶口直通车】含门票+小交通·高铁站接站·1000+真实好评\n\n': ['¥90起'], '【临汾出发~纯玩无购物】黄河壶口瀑布风景名胜区一日游\n\n': ['¥98起']}",壶口瀑布景区旺季（每年4月至10月底）观光车往返收费为25元/人，淡季（每年11月至次年3月底）观光车往返收费为20元/人，壶口瀑布至克难坡观光车往返收费为30元/人。,1
洪洞大槐树寻根祭祖园Hongdong Dahuaishu Ancestor Memorial Garden,http://travel.qunar.com/p-oi706379-hongdongdahuaishuxungen,"

地址:
临汾市洪洞县古槐北路公园街002号


电话:
0357 665 8068


官网:
http://www.sxhtdhs.com/

","洪洞大槐树寻根祭祖园是国家AAAAA级旅游景区、山西省重点文物保护单位。景区位于山西省洪洞县城内，距洪洞火车站2公里，距大运高速路口3公里，距大西高铁8公里，距临汾机场22公里，交通极为便利。景区由“移民古迹区”“祭祖活动区”“民俗游览区”“汾河生态区”四大主题板块组成，共60余处风景文化景点，是全国以“寻根”和“祭祖”为主题的唯一民祭圣地。近年来，洪洞大槐树寻根祭祖园在全体员工的共同努力下取得了辉煌成绩，先后被授予“全国文明单位”“全国青年文明号”“全国中小学生研学实践教育基地”“国家级服务业标准化示范项目”“中国华侨国际文化交流基地”“中国楹联文化名园”“全国模范职工之家”“全国厂务公开民主管理示范单位”“第二届山西省质量奖提名奖”“山西省五一劳动奖状”“山西十佳品质旅游景区”“山西省民族传统节日保护示范地”“山西省文明景区”“山西省文明旅游先进单位”“山西省文化产业先进单位”“山西省文化体制改革先进单位”等百余项重大品牌荣誉。其独具特色的“大槐树祭祖习俗”，更被列为第二批“国家级非物质文化遗产”。在2018年10月29日上午，国家文化和旅游部举办新晋5A级旅游景区授牌会，洪洞大槐树寻根祭祖园正式晋升为国家5A级旅游景区。现如今，已逐步形成以景区、民俗饭店、旅行社三大经营版块为主体，旅游文创产品开发、文化传媒发展为侧翼，集吃、住、行、游、购、娱为一体的综合旅游服务区.
",9/16-10/7 07:30-18:30;10/8-12/31 08:00-18:00,https://img1.qunarzz.com/travel/d7/1710/6e/97102d3743a7d4b5.jpg_480x360x95_c22afcb3.jpg,4.5,建议游览时间：2小时 - 3小时,,"{'洪洞大槐树寻根祭祖园门票成人票\n\n': ['¥75起'], '洪洞大槐树门票成人票\n\n': ['¥78起'], '洪洞大槐树电子讲解服务大小同价\n\n': ['¥0.9起']}",,1
小西天Xiaoxitian,http://travel.qunar.com/p-oi713619-xiaoxitian,,,,,,,,,,1
尧庙Temple of Yao,http://travel.qunar.com/p-oi710779-yaomiao,"

地址:
临汾市尧都区尧庙村


电话:
0357-7185805

",尧庙，位于临汾市以南约4公里处，在华门景区的边上。相传临汾是上古贤君尧的都城，后人为祭祀尧王的功绩，于是在这里修建了尧庙等建筑。尧庙始建于晋代，后经历代重修增建，如今游客在景区内看到主要建筑，大多是近年来重建的。当你进了尧庙，首先看到的是秀丽的五凤楼。五凤楼的楼顶上有直立陶人三十余个，据说尧王常同他的四个大臣登楼远眺，而当时人们又把他和他的四位大臣喻为“五凤”，并有“一凤升天，四凤齐鸣”之说。五凤楼的后面有尧井亭，亭子为六角高檐楼阁形式，小巧玲珑，非常别致。亭中水井据说是尧王亲手所掘。尧庙中的广运殿，也成为“尧宫”，是尧召见众臣共商国是的地方，也是庙内的主体建筑。殿内四十二根立柱，柱下石基座雕刻精细，狮子、麒麟栩栩如生。在大殿龛内，有高达二米八的尧王像，两边站立着尧王的四位大臣。广运殿后是寝宫，宫殿内塑有尧王和其夫人的像。庙内处处可以见高达十几米的古柏。对于喜欢历史的游客，建议游览尧庙时聘请一位讲解人员，这样能够听到更多的专业知识和背后的故事。每年的十月份这里还会举办热闹的庙会。,8:00-18:00,https://img1.qunarzz.com/travel/d9/1710/77/8a17e1a8227ccab5.jpg_480x360x95_37636126.jpg,4.2,建议游览时间：1小时 - 2小时,,"{'尧庙门票成人票\n\n': ['¥32起'], '尧庙电子导览服务成人票\n\n': ['¥6起']}",,1
华门China's Gate,http://travel.qunar.com/p-oi715458-huamen,,,,,,,,,,1
广胜寺Guangsheng Temple,http://travel.qunar.com/p-oi706667-guangshengsi,"

地址:
临汾市洪洞县广胜寺镇


电话:
0357-6622518,0357-6624934

",位于洪洞县东北17公里处的霍山南麓，建于东汉建和年间，明代时重修，是全的一个批重点文物保护单位。广胜寺分上下两寺，上寺在霍山山顶，下寺在霍山山脚下，两寺相距500多米。,暂停营业，具体开放时间以景区公告为准或电话咨询景区。原开放时间为：夏令8:00-18:30， 冬令8:00-17:30。,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/eacaed98-8eeb-4dfe-8f86-150fba8e172b.jpg,4.5,建议游览时间：2小时,,"{'广胜寺门票成人票\n\n': ['¥38起'], '广胜寺门票儿童票\n\n': ['¥27起'], '广胜寺门票老人票\n\n': ['¥27起']}",,1
苏三监狱Susan Prison,http://travel.qunar.com/p-oi711028-susanjianyu,"

地址:
临汾市洪洞县


电话:
0357-6226127

",苏三监狱是中国仅存的明代监狱，因北京名妓苏三（玉堂春）蒙冤落难囚禁于此及戏剧《玉堂春》的流传而闻名遐迩。监狱始建于明洪武二年（1369），主要由普通牢房、死囚牢房组成。两排12间，普通牢房中间上空，铁丝网密布，铜铃高悬，稍一碰触，便铃声大作，真可谓是天罗地网，插翅难飞。每间牢房仅4平方米，阴暗潮湿，终日不见阳光。牢内现在陈列着明代律法和各种刑具实物，还陈列着苏三蒙难的实物。死囚牢俗称“虎头牢”，牢门上刻画着的“狴犴”头像，酷似“虎头”，青面獠牙，狰狞可怖。死囚牢院内有枕头窑一孔，隔为三间，西侧的一间当年囚禁过苏三。牢门共有两道，死囚牢房墙厚达1.7米，其内填满流砂，以防死囚犯挖墙逃跑。苏三监狱外院东房，是展现苏三悲欢离合故事原由与背景的蜡像馆。,旺季（4月-11月）8:00-18:30，淡季（12月-3月）8:00-17:30,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/7ae12205-c5c1-4f44-913c-3cbc6fdc5661.jpg,3.9,建议游览时间：2小时 - 3小时,,{'大门票成人票\n\n': ['¥32起']},,1
洪洞明代监狱,http://travel.qunar.com/p-oi707781-hongdongmingdaijianyu,,,,,,,,,,1
丁村民俗博物馆Ding Village Folk Museum,http://travel.qunar.com/p-oi706352-dingcunminsubowuguan,"

地址:
临汾市襄汾县丁村


电话:
0357-3868090

",这座博物馆建于1985年，是中国建立的第一座反映汉民族民俗风情的专业性博物馆，具有开创性的意义。丁村民俗博物馆位于临汾南三十五公里，北距襄汾县城约四公里。这里有明清两代的民宅二十六座，全部建筑均保存完好。较早者为明万历二十一年至四十年，较晚者为清代康熙咸丰间。明代的四合院，院小房高，端庄大方，装饰华丽，注重雕刻。雕刻内容有历史人物、花卉、走兽、古典戏曲等。每座民居，既是一件精美的艺术品，又是一件珍贵的文物。一九八五年，国家为了保护好这批古代民居建筑，...这座博物馆建于1985年，是中国建立的第一座反映汉民族民俗风情的专业性博物馆，具有开创性的意义。丁村民俗博物馆位于临汾南三十五公里，北距襄汾县城约四公里。这里有明清两代的民宅二十六座，全部建筑均保存完好。较早者为明万历二十一年至四十年，较晚者为清代康熙咸丰间。明代的四合院，院小房高，端庄大方，装饰华丽，注重雕刻。雕刻内容有历史人物、花卉、走兽、古典戏曲等。每座民居，既是一件精美的艺术品，又是一件珍贵的文物。一九八五年，国家为了保护好这批古代民居建筑，收回了院落十九座，修缮了九座院落，二座庙宇，征集了近万件文物，创办了中的一个座汉民族民俗博物馆。,全年 08:30-18:00,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/8f0cec82-011a-4b77-8df1-9a1897835d85.jpg,4.5,建议游览时间：2小时 - 3小时,,{'丁村民俗博物馆电子讲解服务大小同价\n\n': ['¥7起']},,1
平阳鼓楼Drum Tower,http://travel.qunar.com/p-oi710311-pingyanggulou,"

地址:
山西省临汾市尧都区鼓楼东大街与鼓楼北大街交叉口旁

",平阳鼓楼坐落在临汾市区中心。大约始建于北宋年间，金、元、明、清皆重修过，但楼体仍保持原建筑特点。,全年 全天开放,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/fusion/20193/376784b03ea6a194e7c258ec86b2777f.jpg_480x360x95_8aebca3d.jpg,4.5,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
姑射山Gushe Mountain,http://travel.qunar.com/p-oi706811-gusheshan,"

地址:
临汾市尧都区金殿镇姑射村

",姑射山沟壑纵横，地貌奇特，堪称晋西南第一大峡谷。景区有南北两处仙洞，两洞之间是一条深达50米的壕沟横卧其中，沟南称为南仙洞，沟北称为北仙洞，两洞间深沟隔断，无法逾越。相传姑射山是尧夫人鹿仙女的诞生地，这里山势奇险，环境幽雅。山中仙洞创建于唐武德年间，历代曾修葺扩建，现有建筑40余处，共有房屋庙堂120多间，石窟洞70多孔。亭、台、楼、阁，大小殿宇，多数依山背洞，靠崖面沟，就势构筑。入山后先见到的便是睡仙女峰，一座山峰犹如一位少女仰天而卧，苗条秀美的身躯，丰满的胸部，栩栩如生，相传睡仙女峰是由少女丑姑变成的。,全年 8:00-18:00,https://img1.qunarzz.com/p/tts3/1805/5b/a17fa7030d2f0502.jpg_480x360x95_c11028bb.jpg,4.4,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,3
董氏砖雕墓,http://travel.qunar.com/p-oi703881-dongshizhuandiaomu,,在山西侯马市西北郊基建工地发现，1959年和1969年，分别迁于山西考古研究所候马工作站院内。墓主人一名董海，一名董明，先后于金明昌七年（1196年）和大安二年（1210年）埋葬。均为仿木构砖雕墓，平面皆方形。董海墓为前后两室，系我国北方地区传统的四合院形制。结构复杂，比例适当，磨砖对缝，手法严谨，墓室内壁雕刻有翎毛花卉，八仙人物，戏剧故事以及飞马、奔鹿、走狮等动物，琳琅满目，华丽似锦，具有很高的建筑与雕刻艺术价值。董明墓的北壁，砌有一座小戏台及生、末、净、旦、...在山西侯马市西北郊基建工地发现，1959年和1969年，分别迁于山西考古研究所候马工作站院内。墓主人一名董海，一名董明，先后于金明昌七年（1196年）和大安二年（1210年）埋葬。均为仿木构砖雕墓，平面皆方形。董海墓为前后两室，系我国北方地区传统的四合院形制。结构复杂，比例适当，磨砖对缝，手法严谨，墓室内壁雕刻有翎毛花卉，八仙人物，戏剧故事以及飞马、奔鹿、走狮等动物，琳琅满目，华丽似锦，具有很高的建筑与雕刻艺术价值。董明墓的北壁，砌有一座小戏台及生、末、净、旦、丑五个戏俑，生动活泼，维妙维肖，是我国早期戏剧表演艺术的再现，为研究宋金戏剧提供了宝贵的资料。,,,5.0,,,,,3
孟门夜月,http://travel.qunar.com/p-oi716566-mengmenyeyue,,从秦晋交界的黄河大桥朝下望，河水冲出龙槽豁然开阔，水面渐宽处，一块巨礁屹立河心，俯视如门，侧看如舟，仰视如山，实则是黄河中的一个小岛，它雄踞中流，划开河水，那就是传说中“山石为禹所凿”的孟门山。相传大禹治水时，先在这里凿开了第一个阻挡洪水的“龙门”暗洞，就叫它孟门。那孟门巨石之上，至今赫然镌有金明郡守所写的“卧镇狂流”四个一米见方的朱红大字。如到河水下落时，这四个字便能露出水面，供游人观赏。,,,5.0,,,,,3
临汾晋国古城遗址,http://travel.qunar.com/p-oi707133-linfenjinguoguchengyi,,春秋时代的晋国，从晋景公十五年（前584）到晋静公二年（前376）韩赵魏三家分晋，共经历了208年。在这208年里，都城新田（今侯马一带）成为晋国政治经济文化的中心。此时正是我国奴隶制度崩溃、封建社会兴起的社会大变革时期。解放后发掘出的侯马晋国遗址，为我们研究这一历史时期的政治、经济、文化提供了重要的历史资料。一九六一年，“侯马晋国遗址”被国务院公布为第一批全国重点文物保护单位。,,,4.7,,,,,3
龙子祠泉,http://travel.qunar.com/p-oi702272-longziciquan,,为平水泉源，《水经注》载，平水出平阳西壶口山（如射山支脉）。群泉争涌，如蜂房蚁穴，四周渠道纵横，密如蛛网，流量6.25立方米，分12道官河，灌溉襄陵、临汾两县汾西地带。据传水出于西晋永嘉年间。有妇人韩氏，在野外遇一巨卵，持归育之，得婴儿名橛，八岁时遇刘渊征民夫筑平阳陶唐金城，橛儿应募，一夜城就，渊妒其能，欲诛之，农历四月十五日追至姑射山麓，橛儿显露原形，变成一条金龙，钻向山脚石隙，刘渊拔剑斩之，截断龙尾，泉水由此涌出，因称“龙子泉”，依泉筑池，名曰金龙...为平水泉源，《水经注》载，平水出平阳西壶口山（如射山支脉）。群泉争涌，如蜂房蚁穴，四周渠道纵横，密如蛛网，流量6.25立方米，分12道官河，灌溉襄陵、临汾两县汾西地带。据传水出于西晋永嘉年间。有妇人韩氏，在野外遇一巨卵，持归育之，得婴儿名橛，八岁时遇刘渊征民夫筑平阳陶唐金城，橛儿应募，一夜城就，渊妒其能，欲诛之，农历四月十五日追至姑射山麓，橛儿显露原形，变成一条金龙，钻向山脚石隙，刘渊拔剑斩之，截断龙尾，泉水由此涌出，因称“龙子泉”，依泉筑池，名曰金龙池。泉水泽润于民，后世封橛儿为康泽王，于池侧建祠祀奉，名曰康泽王庙，人称龙子祠。每年四月十五日有庙会，居民云集。,,,3.0,,,,,3
五鹿山,http://travel.qunar.com/p-oi716365-wulushan,,地处蒲县、隰县境内，属吕梁山森林经营局克城和上庄林场管理辖。位于东经111度9分－111度18分，北纬36度28分45秒－36度38分30秒。该区主要保护世界稀有动物，国家一类保护动物褐马鸡。同时保护以油松为主的次生林。区划面积215250亩，其中核心区82500亩。主峰五鹿山，海拔1946米。这里年平均温度8摄氏度，最高25摄氏度，最低－6摄氏度，年均降雨600毫米，无霜期160天。区内有天然林40000多亩，人工林14000亩，主要树种为油松、桦木、栎类。天然林主要分布于核心区，是褐马鸡栖息和活...地处蒲县、隰县境内，属吕梁山森林经营局克城和上庄林场管理辖。位于东经111度9分－111度18分，北纬36度28分45秒－36度38分30秒。该区主要保护世界稀有动物，国家一类保护动物褐马鸡。同时保护以油松为主的次生林。区划面积215250亩，其中核心区82500亩。主峰五鹿山，海拔1946米。这里年平均温度8摄氏度，最高25摄氏度，最低－6摄氏度，年均降雨600毫米，无霜期160天。区内有天然林40000多亩，人工林14000亩，主要树种为油松、桦木、栎类。天然林主要分布于核心区，是褐马鸡栖息和活动的地域，一般常30－50只成群同没于灌丛杂草中。是我省褐马鸡分布区的南界。山顶建有五鹿大夫庙，相传为祭祠春秋时期晋国五鹿大夫狐突所建，山名由此而得。五鹿山经断层和风化溶蚀等自然修饰而造就的巍峨峻拔、层峦叠嶂、峭壁陡立的山势，以及奇特的天然溶洞和千峰竞秀、浓荫蔽日的丛林风光等，构成了这里别致的景观和优美的环境。密林中栖息的飞禽走兽多达49余种，具有广阔的开发前景。,,,--,,,,,3
克难坡,http://travel.qunar.com/p-oi705506-kenanpo,,位于吉县西北30公里处，黄河中游晋陕峡谷壶口瀑布东岸垣头，西濒黄河，北通古贤沟，南达麻库掌，东连南村垣，东西长约一公里，南北宽约0．5公里，是一个三面临沟河，一面通高原的葫芦状独立山梁，确有一夫当关万夫莫开之险要。阎锡山的第二战区司令长官部、山西省政府、民族革命同志会等首脑机关于1940年至1945年曾驻扎在这里。阎锡山以南村音近“难存”，并意欲标榜克服困难，故改名克难城，通称为克难坡。,,,5.0,,,,,3
挂甲山石刻Rock Carvings of Guajia Mountain,http://travel.qunar.com/p-oi714292-guajiashanshike,,挂甲山石刻在山西吉县城南里许挂甲山。此地背依锦屏山，面临清水河，杨柳夹崖，拱桥如虹，景色优美。据县志记载，唐尉迟敬德出征寓此，曾在锦屏已挂甲，更名挂甲出。也有传说唐太宗与秦琼奔赴长安，曾挂甲山巅，故名。隋开皇三年（公元583年）在山脚石崖上雕造佛像五区，每区二至三龛，龛人火焰式，龛内内多为一佛二菩萨，龛为座为覆莲瓣束腰须弥状，菩萨胁侍两侧。其中卧佛一龛，右手托腮，左膝徽曲，造型生动，神态自如。雕造手法剔地突起与线雕相结合，与其他石窟中圆雕相较，别具一格。,,https://img1.qunarzz.com/travel/poi/1803/5e/0955f03787001637.jpg_480x360x95_1c94c07e.jpg,4.6,建议游览时间：3小时,,,,3
石窝宝镜,http://travel.qunar.com/p-oi702651-shiwobaojing,,壶口至孟门近邻的山脉默然后退了许多，苍茫的天际幻化出峰峦的剪影。龙槽两岸淡褐色的石板面上，显露出许多树叶、鸟虫等古化石图案。其间还夹杂着一个个储满清水，可把山川景色映照其间的石窟，小者如杯，大者如瓮，或斜或直直伸石底，如同一面面形态各异的镜子。,,,--,,,,,3
霍州鼓楼Huozhou Ancient Tower,http://travel.qunar.com/p-oi714664-huozhougulou,,霍州古楼在山西霍县城内中心，明万历十一年（1583年）建，清代重修。台基高峙，用青石、青砖混合砌成十字券拱形通道，四向贯通。上筑木构楼阁两层，面宽进深各五间，二层三滴水，十字歇山式屋顶。四周围廊雕刻有花卉、禽兽等图案。瓦顶安装有二十八宿琉璃造像和三彩琉璃脊兽。鼓楼总高29米，登楼眺望，山川风光，霍县城景，尽收眼帘。,,https://img1.qunarzz.com/travel/poi/1803/30/384c155055a0d937.jpg_480x360x95_34c2f87d.jpg,4.2,建议游览时间：2小时,,具体收费情况以现场公示为主,,3
