名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
竹泉村Bamboo Spring Village,http://travel.qunar.com/p-oi7469098-zhuquancun,"

地址:
临沂市沂南县铜井镇竹泉村


电话:
4001-851-777,0539-3826666

",竹泉村位于临沂市沂南县北部，元明时期叫做泉上庄，清朝乾隆年间改名竹泉村。竹泉村旅游区在竹、泉、村原生态资源的基础上，结合沂蒙山区淳朴的民俗、民风，打造成为竹乡景观与农家风情并融的度假观光旅游胜地。竹泉村旅游区包括竹泉村景区、桃花洞景区、香山湖景区和三山沟原生态森林景区，核心景区为竹泉村景区。这里泉依山出、竹因泉生，村民绕泉而居，砌石为房，农耕为业。竹林隐茅舍，家家临清泉，田园瓜果香，居者乐而寿，是中国北方难得一见的桃花源式的生活环境。游玩指南竹泉村不仅适合度假休闲，也很适合商务出行。景区内的东篱别墅区属于山间特色度假区，其中主要景点有：外婆家、映水居、星光客栈、竹篱菊舍，在这里你可以体味静谧惬意的山居乐趣。而泉上兰亭即商务会议区，主要景点有：芙蓉岛、兰亭既会议楼、餐饮楼，这里会让你顿生搏击商海的奇思妙计。三分乐土区是休闲娱乐区，包含各类游乐项目有：水上拓展基地、水上挑战者、水上娱乐区、激情蹦床、逍遥滑行龙、动感滑草、真人CS枪战、射猎场、宿营地、激情漂流、垂钓塘、采摘等，可以和亲朋好友在这泉水竹林间肆意玩耍。田园闹市区是这里的商业区，包含各类酒吧、茶肆、咂味馆子、沂蒙十八坊，水街两边，店铺林立，作坊之内，原始制作，感受淳朴的山间文化。,全年 08:00-17:00;全年 08:00-17:30,https://img1.qunarzz.com/travel/d7/1708/d4/bef6f764c70edfb5.jpg_480x360x95_23db05da.jpg,4.3,建议游览时间：4小时 - 5小时,,"{'竹泉村门票成人票\n\n': ['¥90起'], '竹泉村门票儿童票\n\n': ['¥50起'], '竹泉村门票学生票\n\n': ['¥90起']}",,1
地下大峡谷Underground Great Canyon,http://travel.qunar.com/p-oi702375-dixiadaxiagu,"

地址:
临沂市沂水县姚店子镇永富庄村


电话:
0539-2559999,400-669-8899

",地下大峡谷位于沂水县城西南的龙岗山下，是北方罕见的喀斯特地貌溶洞。洞穴由一条西北往东南走向的巨大喀斯特裂隙发育而成，形成于约0.65亿年至2.3亿年前，洞体总长六公里。现在景区发展成集休闲、娱乐、度假、溶洞漂流为一体的旅游区，是沂蒙地下地质奇观核心景区。地下大峡谷的暗河深度达到百余米，常年水源充沛，景区利用这一优势开发了漂流。在漂流洞穴中增添了多处激光影像设备，突出炫目多彩的视觉效果，同时根据水流的流速和钟乳石的特殊造型，放置多处大型仿生动植物，在灯光映衬下如梦如幻。在这里体验洞中峡谷漂流，可以让你在游玩过程中放声尖叫，感受别样的刺激。,全年 08:00-16:00,https://img1.qunarzz.com/travel/d1/1611/a5/47bbb4bae692b5.jpg_480x360x95_252ea817.jpg,4.3,建议游览时间：2小时 - 4小时,,"{'地下大峡谷门票成人票\n\n': ['¥84起'], '地下大峡谷门票优待票\n\n': ['¥49起'], '地下大峡谷门票+萤火虫水洞门票成人票\n\n': ['¥158起']}",,1
天壶峰,http://travel.qunar.com/p-oi719521-tianhufeng,,传说蒙山上有座蟠桃园，是王母娘娘领着仙女亲手栽的。王母娘娘查看了许多名山大川，觉得蒙山有一种其它地方所没有的灵气和仙气、雨水足，气候适宜，就在这里种了七棵蟠桃树。每年三月初二，王母娘娘都派仙女到云蒙山摘蟠桃，然后开蟠桃大会，请各路神仙都去尝鲜。蟠桃园，王母娘娘托鬼谷子王禅照管着。王禅在照管蟠桃园的时候，偶然发现大小云蒙山峰的悬崖峭壁上长着一种苔藓地衣似的东西，把它采来泡茶喝，味道甘美清爽无比，就把它献给王母娘娘品尝。王母娘娘发现它果然具有一种独特...传说蒙山上有座蟠桃园，是王母娘娘领着仙女亲手栽的。王母娘娘查看了许多名山大川，觉得蒙山有一种其它地方所没有的灵气和仙气、雨水足，气候适宜，就在这里种了七棵蟠桃树。每年三月初二，王母娘娘都派仙女到云蒙山摘蟠桃，然后开蟠桃大会，请各路神仙都去尝鲜。蟠桃园，王母娘娘托鬼谷子王禅照管着。王禅在照管蟠桃园的时候，偶然发现大小云蒙山峰的悬崖峭壁上长着一种苔藓地衣似的东西，把它采来泡茶喝，味道甘美清爽无比，就把它献给王母娘娘品尝。王母娘娘发现它果然具有一种独特的风味，就在每年的七月十五到这里来品茗蒙山的云芝茶，天壶峰就是王母娘娘泡茶用的壶。据说每年七月十五风清月高的夜晚，在栖凤山上还能听到天壶峰发出的哗哗的倒水声呢。 在山的东北面看，峰顶又像一个狐狸的头，下面是狐狸的身子。有月亮的夜晚，山影朦胧，像一只蹲踞在山间昂首望月的仙狐。所以这个景点又叫仙狐望月。历来的文人墨客对蒙山芝茶的讴歌赞美，更增添了它的高贵与传奇性。康熙乾隆下江南的时候，也对之赞不绝口，并把它列为贡品。 这样，那些达官贵人也都把喝上蒙山云芝茶作为身份的象征。但是云芝茶的采摘极为困难，常常要冒着生命危险。,,https://img1.qunarzz.com/travel/d5/1504/66/a8cb67b362ea4b.jpg_480x360x95_ecc37c49.jpg,4.0,,,,,1
沂州古城Yizhou Ancient Town,http://travel.qunar.com/p-oi35198575-yizhougucheng,"

地址:
临沂市河东区滨河东路东侧


电话:
0539-6899999

",沂州古城按明清沂州的城市格局修建，是集吃住行、游购娱，商养学、闲情奇为一体的大型综合文旅项目。一期情景街区现已开街，争创山东省省级特色商业步行街，是集文化旅游、休闲娱乐、购物、餐饮于一体的文化商业街区，建有餐饮街、酒吧街、文化休闲体验街、非物质文化遗产一条街及容纳3000余人的“琅琊千古情”实景演出剧场。二期核心文化游乐区，正在全面建设中。,全年 全天开放,,3.4,,,具体收费情况以现场公示为主,,1
宇大步行街YuDa BuXingJie,http://travel.qunar.com/p-oi24441415-yudabuxingjie,,,,,--,,,具体收费情况以现场公示为主,,1
天宝山,http://travel.qunar.com/p-oi9149819-tianbaoshan,,"清咸丰年间，为避匪祸，近处村民在山上构筑围寨，贼寇屡次来攻，在危急时刻，似有天公相助，其他山寨具破，惟此山寨巍然屹立，村民遂改名“天保山”现名天宝山及天保山的谐音。周围方圆20多平方公里,峰峦起伏,山清水秀，花果遍地，风光旖旎。在八十年代末，其中的九间棚村奋发图强，自力更生，把一个坐落在山顶上的小村庄建设得花团锦簇，有模有样的，引得四面八方前来参观学习，一时间名闻遐迩。然而天宝山的出名，最早却是因为它是山东黄梨集中产地之一，素有黄梨之乡的美誉。其间最...清咸丰年间，为避匪祸，近处村民在山上构筑围寨，贼寇屡次来攻，在危急时刻，似有天公相助，其他山寨具破，惟此山寨巍然屹立，村民遂改名“天保山”现名天宝山及天保山的谐音。周围方圆20多平方公里,峰峦起伏,山清水秀，花果遍地，风光旖旎。在八十年代末，其中的九间棚村奋发图强，自力更生，把一个坐落在山顶上的小村庄建设得花团锦簇，有模有样的，引得四面八方前来参观学习，一时间名闻遐迩。然而天宝山的出名，最早却是因为它是山东黄梨集中产地之一，素有黄梨之乡的美誉。其间最负盛名的，要数天宝山西麓的大峪沟，民间曾有评价说：“两个济宁州，赶不上一个大峪沟”",,https://img1.qunarzz.com/travel/poi/1512/66/89585267a2691df7.jpg_480x360x95_ebc32a51.jpg,5.0,,3月-7月最佳。 临沂气候为暖温带季风大陆型气候，四季分明，雨量充沛，气侯温和，夏季气温较高，炎热而多雷雨；冬季寒冷，最低可达零下11.1℃，晴好天气较多，雨雪天气较少，但干燥而寒冷；春季回暖快，少雨，但偶尔略有大风；秋季凉爽宜人，适合出游。,,,1
天谷·天然地下画廊Tiangu·Natural Underground Gallery,http://travel.qunar.com/p-oi713857-tiangutianrandixiahua,"

地址:
临沂市沂水县院东头镇


电话:
0539-2599999


官网:
http://www.trdxhl.com/

",天谷·天然地下画廊是国家4A级旅游区，被众多国内地质专家誉为江北第一溶洞，位于沂蒙生态第一乡、“红嫂故里”——山东省沂水县院东头乡留虎峪。景区包括百万年绘就的“天然地下画廊”、按星级标准规划建设的度假村“怡然居”、以千亩栗园为主的“沂蒙第一生态谷”，是一处集地下奇观、休闲娱乐、居住、餐饮、会议、商务、科普、健身等为一体的休闲游乐中心。尘封百万年的“天然地下画廊”位于九顶莲花山下，全长6600米，一期开发1600米。画廊内钟乳遍布，石笋林立。108处主要景观形态各异，栩栩如生。天河、天瀑、冰川、玉峰、石花、石旗、神龟、游龙等参差错落、千姿百态；数道石门将画廊自然天成“北国风光”、“宇宙奇观”、“南国风情”、“海底世界”四幅百万年从未示人的神秘画卷。“怡然居”依山而建，建筑面积8000余平方米，石房、草屋、亭台、长廊错落有致，购物中心、儿童乐园、KTV、野营帐篷等设施一应俱全；“生态谷”内崖壁石林、山风松韵、绿水长流、鸟语花香，85%的森林覆盖率，使这里常年负氧离子丰富，气候宜人，空气清新，是人们理想的“天然氧吧”。,8:00-17:00,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1559761902827100e15000000xavsc24CD_D_640_10000.jpg_480x360x95_a28e0568.jpg,4.5,建议游览时间：1.5小时 - 2小时,,"{'天谷·天然地下画廊门票成人票\n\n': ['¥35起'], '天谷·天然地下画廊门票优待票\n\n': ['¥32起'], '天谷·天然地下画廊门票双人票\n\n': ['¥130起']}",,1
孟良崮旅游区Menglianggu Tourist Area,http://travel.qunar.com/p-oi703688-menglianggulu:youqu,"

地址:
临沂市蒙阴县垛庄镇全桥村


电话:
0539-4582200,0539-4582188


官网:
http://www.zgmlg.com/

",孟良崮旅游景区地处沂蒙山区腹地，位于蒙阴县东南部的垛庄镇泉桥村北侧，这里山峻峰险、植被茂密，是全国著名的革命传统、爱国主义、国防教育基地。孟良崮主峰海拔575.2米，相传宋朝杨家军将领孟良曾屯兵于此，因此得名。1947年5月，这里曾创造了人民解放战争史上山地运动战、速决战的范例，同时扭转了华东战局，孟良崮由此名扬海内外，被誉为“英雄孟良崮”。景区分为孟良崮纪念展馆区和孟良崮战役遗址展馆区两部分。战役纪念馆宏伟壮观，馆内用高科技手段把1947年孟良崮战役战况再现在世人的面前。战役遗址风景区更是增设景点四十余处，即有飞机、大炮等战时武器供游客观赏，又有骑马、射箭、滑索、滑道、机关炮、仿古炮等军事项目供游客免费参与，刺激体验。孟良崮纪念展馆区由三部分组成；孟良崮烈士陵园内有大型雕像，碑廊，战役纪念馆和烈士墓地，英烈亭内建有烈士塔，镌刻着2859名孟良崮战役牺牲的烈士。,1/1-12/31 09:00-16:00,https://img1.qunarzz.com/piao/fusion/2004/3a/6c19c9a21322602.jpg_480x360x95_b38c3f2c.jpg,4.5,建议游览时间：1小时 - 3小时,,"{'孟良崮旅游区门票成人票\n\n': ['¥35起'], '孟良崮电子讲解票大小同价\n\n': ['¥9起']}",,1
天上王城景区Heavenly Kingdom Scenic Area,http://travel.qunar.com/p-oi714588-tianshangwangchengjing,"

地址:
临沂市沂水县沂蒙山腹地的沂水县城西北40公里处


电话:
0539-2698888


官网:
http://www.tswcly.com/

",天上王城景区坐落于山东省中部、沂水县的西北部山区，是一座以沂蒙山崮地貌风光为特色的景区。来到这里，你可以顺着山路登上宽广的崮顶，俯瞰群山风光，在崮顶上你可行走于石头院落民居间、古城墙上，或是观看场面宏大的古装马战表演，还能参观春秋墓遗址或是去地下冰宫看冰雕。“崮”又称“方山”，是一种山体四壁陡峭但顶部平坦的特殊地貌，在沂蒙山区分布很多。天上王城所在的纪王崮海拔577米，景区内的主要景点都建于崮顶，如果是步行上山，大约需半个多小时，途中可经过险峻的天梯以及建于崖壁的古栈道。你也可以坐索道上山、然后步行下山。登上崮顶可远眺连绵不绝的沂蒙山崮群风光，你还可以站上玻璃地面的空中观景台，山下美景可尽收眼底。相传纪王崮曾是西周时期纪国的王城所在地，如今崮顶的纪王宫即是复建的王城建筑，一楼是仿当年纪王生活的复原场景，在二楼可看到有关纪王历史文化的展厅和纪王崮沙盘复原图。来天上王城一定不能错过在演武场上演的大型马战节目——王城之战，百余位身着战甲的演员演绎了当年纪王演练士兵、与齐国交战的英勇壮烈场景。据说这些演员都是参与过《英雄》、《七剑下天山》、《见龙卸甲》等电影拍摄的替身演员，所以他们的马上身手十分了得。马战表演一般每天两场，时间通常为11:30和15:00（供参考，详见景区官网），表演半小时。此外，这里还有比武招亲、市井杂耍、山东琴书、鸟艺表演等精彩的节目。而崮顶还建有不少石头院落，再现了当地的民间风俗，你可以亲手体验打铁、织布、酿酒等民俗活动。山上的地下冰宫是在原纪国藏兵洞的基础上扩建而成的景点，里面有漂亮的冰雕、冰灯艺术展，你还可以体验一下坐滑冰道刺激，地下冰宫需另行收费（景区会提供羽绒服），如果你看过北方的冰雕，这里则可不必花钱。近年在崮顶发现了春秋古墓，现已开放参观，里面有巨型铜鼎、铜剑、车马坑等遗迹文物，古墓遗迹不大，对历史遗迹若有兴趣不妨去看看。另外，崮上和崮下都有餐厅，消费价格不算便宜，味道尚可接受，你也可以自备干粮。,全年 08:00-17:00;全年 08:30-16:30,https://img1.qunarzz.com/piao/fusion/2105/c0/c61312464e8fb302.jpg_480x360x95_0f460d4f.jpg,4.6,建议游览时间：4小时 - 1天,,"{'天上王城景区门票成人票\n\n': ['¥70起'], '天上王城景区门票优待票\n\n': ['¥39起'], '天上王城景区单程索道票大小同价\n\n': ['¥40起']}",,1
临沂动植物园Linyi Zoo and Botanical Garden,http://travel.qunar.com/p-oi709261-linyidongzhiwuyuan,"

地址:
临沂市经济技术开发区沭河大道与延安路交汇处西500米


电话:
0539-8878839,0539-8878686


官网:
http://www.lydzwy.cn/

",临沂动植物园园区总体规划占地面积3000亩，投资5亿元，是集动物园、植物园、游乐园、国防教育园、市青少年综合实践基地“五园一体”的高档大型公园。一期动物园投资3亿元，占地1000亩，拥有珍禽异兽各种动物180多种，2000多头(只)。在这里，你可以近距离观赏国宝大熊猫的憨态可掬，可以亲眼目睹身披“黄金斗篷”的国宝金丝猴攀爬跳跃，可以一睹“丛林之王”东北虎、白虎、孟加拉虎的威风凛凛，可以畅享海狮等动物表演带来的视觉盛宴，还可以体验惊险刺激、精彩纷呈的游乐项目。,4月1日-9月30日8:30-18:00；10月1日-次年3月31日8:30-17:00。,https://source.qunarzz.com/place/imgs/72/59172/orig.jpg,4.5,建议游览时间：1小时 - 2小时,,"{'临沂动植物园门票成人票\n\n': ['¥38.8起'], '临沂动植物园旅游区门票成人票\n\n': ['¥38.3起'], '临沂动植物园旅游区门票学生票\n\n': ['¥23起']}",,1
银雀山汉墓竹简博物馆Yinqueshan Han Bamboo Slips Museum,http://travel.qunar.com/p-oi707231-yinqueshanhanmuzhujian,"

地址:
临沂市沂蒙路中段212号


电话:
0539-8312649

",银雀山汉墓竹简博物馆位于临沂城内，是我国一座遗址性汉墓竹简博物馆。该馆以1972年在银雀山汉墓同时发掘《孙子兵法》和《孙膑兵法》竹简而驰名中外，先后被列为“新中国30年十大考古发现”和“中国20世纪100项考古大发现”。该馆总占地面积10，000平方米，1981年2月动工兴建，1989年09月建成。近几年来，随着临沂旅游业的迅速发展，银雀山汉墓竹简博物馆又新增加了不少景点，展馆内的各项配套旅游设施也有所完善和提高，是研究中国考古学的重要地点。,全年 周一-周二 全天不开放 ;全年 周三-周日 09:30-16:00,,4.6,建议游览时间：1小时,,具体收费情况以现场公示为主,,2
蒙阴地下银河,http://travel.qunar.com/p-oi7469206-mengyindixiayinhe,"

地址:
山东省临沂市蒙阴县完庄村


电话:
0539-4808718

",,8:00-17:00,https://img1.qunarzz.com/travel/poi/1408/26/59e25ee697b23e35ffffffffc8d65eac.jpg_480x360x95_83f4eb27.jpg,3.2,建议游览时间：4小时 - 1天,,50元,,2
王羲之故居Former Residence of Wang Xizhi,http://travel.qunar.com/p-oi714244-wangxizhiguju,"

地址:
临沂市兰山区洗砚池街21号


电话:
0539-8226345,0539-2028834

",王羲之故居是国家3A旅游区，位于临沂市区洗砚池街中段，交通很便利，地理位置优越，是为纪念我国历史上伟大的书法家王羲之而建。2003年，为纪念王羲之诞辰1700周年，这里曾进行了扩建，整修后的王羲之故居占地面积80亩，除了保持原有风貌，又新辟了一些景点。故居四面青墙环绕，绿树如荫，园内溪水潺潺，垂柳依依，翠竹滴翠，锦鱼游泳，目前，故居内有砚池怀古、鹅池水暖、曲水流觞、圣光普照、晒书台、五贤祠等景区、景点。各类旅游设施齐全完备，是中国书法寻根之旅的好去处。,全年 08:30-17:30,https://img1.qunarzz.com/travel/d0/1510/32/d190379543884c.jpg_480x360x95_cea5852d.jpg,4.5,建议游览时间：1小时,,具体收费情况以现场公示为主,,2
沂水雪山旅游区,http://travel.qunar.com/p-oi715996-yishuixueshanlu:youqu,"

地址:
山东省沂水县城东北隅


电话:
0539-2315766

",沂水雪山旅游区（AA级）位于沂水县城东3公里处。主要包括雪山、大山、马山，总面积200万平方米。雪山树木葱郁，奇石林立，自古就有“雪山七十二景”之说，主要有“热炕”、“凉炕”、龟驮桥、仙人桥、灯碗石、霹雳石、雄鸡石、蛤蟆石、马子24.0pt石等众多奇石景和各种形状的奇松。雪山文化内涵丰厚。有李逵杀虎、刘勰问学等许多优美传说，流传很广。现风景区内建成了梅园、翠竹园，为雪山风景区锦上添花。雪山是节假日人民休闲娱乐的好去处。,9:00-17:00,,5.0,,,旺季68元  淡季50元,,2
淄博齐长城遗址Ziboqi Changcheng Ruins,http://travel.qunar.com/p-oi703323-ziboqizhangchengyizhi,"

地址:
山东省沂水县境内

",淄博齐长城遗址横亘于齐鲁大地，初建在春秋时期，距离今天已2500多年。西起黄河，东至黄海；东西蜿蜒千余里，几乎把整个山东南北分为两半。经实地测量齐长城全长618.893公里，共翻越1518座山峰。主要有长清段、泰安段、莱芜段和五莲段等遗址，其中保存较好的齐国莱芜段57.832公里。,8：30—17：30,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/f1f1207193608a836b90daa657a655c9.jpg_480x360x95_be613b59.jpg,4.6,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,2
大小云蒙峰,http://travel.qunar.com/p-oi716917-daxiaoyunmengfeng,,"双峰插天（云蒙双峰）,明朝公鼐曾写诗赞道：""蒙山最高是双峰,上有烟云几万重。我欲峰头一伫立，却从天外数芙蓉。""作者想象着登上烟云飘渺的蒙山峰顶，恍若置身天外。伫立在峰顶上去数点周围的山峰，就象立在天外俯视朵朵晶艳的荷花。云蒙双峰尖峭高耸，直插云天。海拔分别为1028米和1008米，矗立于山脊云海之上，秀丽奇绝，有峄上峰之胜地景。双峰万仞绝壁，分别有险峻小路可达峰顶。小云蒙峰又称云蒙西峰，山势绝险，苍鹰不渡，至今无人攀登上峰顶。在大云蒙峰上，可尽览蒙山无限风光...双峰插天（云蒙双峰）,明朝公鼐曾写诗赞道：""蒙山最高是双峰,上有烟云几万重。我欲峰头一伫立，却从天外数芙蓉。""作者想象着登上烟云飘渺的蒙山峰顶，恍若置身天外。伫立在峰顶上去数点周围的山峰，就象立在天外俯视朵朵晶艳的荷花。云蒙双峰尖峭高耸，直插云天。海拔分别为1028米和1008米，矗立于山脊云海之上，秀丽奇绝，有峄上峰之胜地景。双峰万仞绝壁，分别有险峻小路可达峰顶。小云蒙峰又称云蒙西峰，山势绝险，苍鹰不渡，至今无人攀登上峰顶。在大云蒙峰上，可尽览蒙山无限风光。上面又有""神龟望月""、""夫妻石""等景点。 云蒙双峰在当地又俗称大小“挂心崛子”。它的来历是这样的，东蒙有一座山峰叫仙狐楼，传说里面住的老狐狸成了仙后，专门惩治人间不孝顺的儿女，把他们的心肝扒出来，挂在这座山峰上，所以叫“挂心崛子”。把心挂的这样高，大概是为了儆告后人：不孝之罪，罪莫大焉。也许是怕有人帮不孝儿女归心复活，谬种流传，所以高高挂在难以攀登的最高峰上。 另一种传说是，远古时代有次劫难，天塌地陷，洪水滔滔，只有云蒙双峰露出水面，挡住了漂流而至的枯木和朽枝，洪水消退后，峰上挂满了柴薪，所以又叫“挂薪崛子”。这种传说倒有些象地壳变化史上一次造山运动的真实景象。",,https://img1.qunarzz.com/travel/d3/1704/1a/8f7ddb42b7fe32b5.jpg_480x360x95_65d7df8b.jpg,--,,,,,2
省政府旧址Shengzhengfu Site,http://travel.qunar.com/p-oi701921-shengzhengfujiuzhi,"

地址:
山东省,莒南县,大店镇驻地,276612


电话:
0539-7813115

",,7：30—17：30,,4.2,建议游览时间：1小时 - 2小时,,40元,,2
新村银杏园,http://travel.qunar.com/p-oi715008-xincunyinxingyuan,"

地址:
山东临沂市郯城县新村乡政府驻地

",山东省郯城县新村乡因盛产银杏而闻名全国，是名副其实的“银杏之乡”。全乡银杏种植面积28000多亩，银杏结果大树23000多株，年产银杏干果100多万公斤，银杏采叶圃20000多亩，年产银杏干叶4000多吨，出圃银杏苗木5000多万株/年，在全国率先研究开发、培育成功了三年挂果、五年丰产的银杏优良新品种园玲9号、5号、13号等18个品种，其中有12个经国家科委、林业部鉴定为“优良品种”，改变了“桃三杏四梨五年、无儿不建白果园”的传统观念，建成了全国最大的银杏苗木种植基地和优良品种培...山东省郯城县新村乡因盛产银杏而闻名全国，是名副其实的“银杏之乡”。全乡银杏种植面积28000多亩，银杏结果大树23000多株，年产银杏干果100多万公斤，银杏采叶圃20000多亩，年产银杏干叶4000多吨，出圃银杏苗木5000多万株/年，在全国率先研究开发、培育成功了三年挂果、五年丰产的银杏优良新品种园玲9号、5号、13号等18个品种，其中有12个经国家科委、林业部鉴定为“优良品种”，改变了“桃三杏四梨五年、无儿不建白果园”的传统观念，建成了全国最大的银杏苗木种植基地和优良品种培育基地，具备了产业化、规范化、标准化的生产规模。,全天,https://img1.qunarzz.com/piao/fusion/1701/36/2b35be9f9d3f8e02.jpg_480x360x95_47f202ca.jpg,4.0,,,,,2
