名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
翁丁佤族原始群居村落Wengding Wa Nationality Gregarious Village,http://travel.qunar.com/p-oi7642196-wengdingwazuyuanshiqun,,,,,,,,,,1
凤庆滇红茶博物馆,http://travel.qunar.com/p-oi39874833-fengqingdianhongchabo,,,,,4.0,,,,,1
广允缅寺Guangyunmian Temple,http://travel.qunar.com/p-oi710033-guangyunmiansi,"

地址:
云南省临沧市沧源佤族自治县城勐董大街北侧


电话:
0883-2127788

",广允缅寺位于沧源佤族自治县城勐董大街北侧，俗称“学堂缅寺”，始建于清代，为南传上部座佛教建筑。寺庙建筑风格较多地受到汉族建筑风格的影响，保留了南传上部座佛教寺院的基本形式，是汉式建筑外形与傣族庭院内部装饰的有机结合，在建筑艺术风格上独具一格。广允缅寺的木雕，除门前两条巨龙外，殿前满堂门窗皆作透雕图案，技艺极精。大殿内壁绘10幅壁画，壁画多为墨勾轮廓，再填色，风格和技巧与明清作品相似。画中建筑多数为重檐歇山顶，属汉族建筑式样，而人物形象则有官员、仕女、兵丁、侍从等，从服饰看分属不同民族。其中武士戴顶冠，着马蹄口窄袖上衣，属典型的清代服饰。,全年 全天开放,https://img1.qunarzz.com/travel/d7/1804/4b/7be134f59cb754b5.jpg_480x360x95_47c4b806.jpg,4.3,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
沧源崖画谷Cangyuan Yahua Valley,http://travel.qunar.com/p-oi715410-cangyuanyahuagu,,,,,,,,,,1
漫湾百里长湖,http://travel.qunar.com/p-oi716212-manwanbailizhanghu,"

地址:
云南临沧地区

",澜沧江流经临沧境内二百多公里，在此段流域上建成的三座百万级千瓦大电站：漫湾、大朝山、小湾电站--亚洲最高坝电站，三大电站形成了气势磅礴，雄伟壮丽的澜沧江高峡百里长湖景观。湖面平静秀丽，胡湾半岛星罗棋布，两岸山峰秀丽，苍峻巍峨，珍稀动物繁多，风景如诗如画。沿线依次分布着澜沧江大峡谷，云海山庄，忙怀、曼志新石器遗址，朝山寺，滇缅铁路遗址，民族风情村，电站景观等众多景点。高山峡谷，江水湖湾，电站水坝，历史遗址等各类旅游资源以澜沧江为纽带联成一线，形成了集...澜沧江流经临沧境内二百多公里，在此段流域上建成的三座百万级千瓦大电站：漫湾、大朝山、小湾电站--亚洲最高坝电站，三大电站形成了气势磅礴，雄伟壮丽的澜沧江高峡百里长湖景观。湖面平静秀丽，胡湾半岛星罗棋布，两岸山峰秀丽，苍峻巍峨，珍稀动物繁多，风景如诗如画。沿线依次分布着澜沧江大峡谷，云海山庄，忙怀、曼志新石器遗址，朝山寺，滇缅铁路遗址，民族风情村，电站景观等众多景点。高山峡谷，江水湖湾，电站水坝，历史遗址等各类旅游资源以澜沧江为纽带联成一线，形成了集工业考察，历史文化考察、探险观光，水上娱乐，生态旅游，民俗旅游，休闲度假等为一体的多功能旅游带。填补了云南省水电工业旅游的空白，也因此被誉为“亚洲追具特色的水电基地”。,8:30 - 17:00,,4.0,,,10元,,1
佤山,http://travel.qunar.com/p-oi713168-washan,"

地址:
沧源佤族自治县境内

",沧源佤山风景名胜区位于沧源佤族自治县境内，与缅甸接壤，国境线 147.78公里。景区由勐来、南滚河、勐董、拉勐河、班列五个片区，勐省 ──茫卡南游览线组成，景点199个，总面积147.34平方公里。该风景区是 国内典型的佤族自然山水风情区，佤族风情浓郁独特，服饰工艺丰富多彩。 历史文化古朴丰厚，崖画文物闻名遐。自然环境优美，佤山碧绿苍翠。热 带雨林茫茫，珍稀生物荟萃。珍禽异兽出没，孔雀大象穿梭。陡岩刀砍斧劈， 溶洞迷宫成群。日出彩霞满天，云海变幻莫测。边境口岸购物，...沧源佤山风景名胜区位于沧源佤族自治县境内，与缅甸接壤，国境线 147.78公里。景区由勐来、南滚河、勐董、拉勐河、班列五个片区，勐省 ──茫卡南游览线组成，景点199个，总面积147.34平方公里。该风景区是 国内典型的佤族自然山水风情区，佤族风情浓郁独特，服饰工艺丰富多彩。 历史文化古朴丰厚，崖画文物闻名遐。自然环境优美，佤山碧绿苍翠。热 带雨林茫茫，珍稀生物荟萃。珍禽异兽出没，孔雀大象穿梭。陡岩刀砍斧劈， 溶洞迷宫成群。日出彩霞满天，云海变幻莫测。边境口岸购物，出国旅游缅甸。旅游后起之秀，科考理想之地。,7:30 - 17:00,https://img1.qunarzz.com/travel/d2/1509/4f/10a76248f1c807.jpg_480x360x95_7333d5ff.jpg,4.7,,,60元,,1
临沧西门公园Ximen Park,http://travel.qunar.com/p-oi709885-lincangximengongyuan,"

地址:
云南省临沧市临翔区凤翔镇公园路1号


电话:
0883-2126372,0883-2122713

",临沧西门公园在云南省临沧市临翔区风翔镇，公园内绿树成荫，风景如画。 临沧西门公园占地为57亩。内设动物园、花卉观赏区、人工湖和茶室及游乐场等景点，园内皆为仿古园林建筑。植物生长茂盛，绿荫如荫、鸟语花香、气候宜人，是休闲、观赏、文化娱乐和社会活动的场所。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/fd3af90425c049dd3907ebe544ee2c59.jpg_480x360x95_c544ab1c.jpg,4.2,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
南汀河,http://travel.qunar.com/p-oi704658-nantinghe,"

地址:
云南临沧耿马傣族佤族自治县

","耿马南汀河风景名胜区位于耿马傣族佤族自治县境内，由四片一线组成，即孟定片区、景戈片区、福音山片区、清水河片区、孟省――清水河旅游线,总面积约146平方公里。景观有俗称版纳、瑞丽、孟定“三姐妹”风光秀丽的孟定坝亚热带风光；有郁郁葱葱的原始热带雨林、季雨林景观；有丰富的珍稀濒危植物景观；有苍翠碧绿的大青山、火草山生物景观；有丰厚的民族文化、民族风情、民族服饰、工艺品；有众多的佛寺、白塔、岩画、古人类穴居遗址等名胜古迹；有热闹非凡的阵定边贸口岸。可供边贸购...耿马南汀河风景名胜区位于耿马傣族佤族自治县境内，由四片一线组成，即孟定片区、景戈片区、福音山片区、清水河片区、孟省――清水河旅游线,总面积约146平方公里。景观有俗称版纳、瑞丽、孟定“三姐妹”风光秀丽的孟定坝亚热带风光；有郁郁葱葱的原始热带雨林、季雨林景观；有丰富的珍稀濒危植物景观；有苍翠碧绿的大青山、火草山生物景观；有丰厚的民族文化、民族风情、民族服饰、工艺品；有众多的佛寺、白塔、岩画、古人类穴居遗址等名胜古迹；有热闹非凡的阵定边贸口岸。可供边贸购物、边境跨国旅游观光，边疆民族文化、边境商贸历史考察研究。",8：00—18：00,,--,,,免费,,1
五老山,http://travel.qunar.com/p-oi707521-wulaoshan,"

地址:
云南-临沧县城郊25公里处

",五老山森林公园位于临沧县城郊25公里处，其风光在历史上曾为缅宁十佳之一，传说因为酷似五位仙人座以论道而得名。景区内山川壮观、奇石林立、密林入海、流泉飞瀑、湖光山色、鸟语花香、天象奇景可谓美不胜收。主要景点有五老飞瀑，情人谷，鹿恋湖，金竹林大叠水，五峰亭等，集雄、险、奇、秀、幽诸美学特征为一体，是大自然赋予的极佳旅游地。,8:00 - 18:30,,--,,,10元,,1
凤山公园,http://travel.qunar.com/p-oi714290-fengshangongyuan,"

地址:
云南省临沧市凤庆县

",相传很久以前，一只金凤凰飞到这里，看到这里山青水秀，景色迷人便不顾再往前飞，落到这里变成了这只山，后人取名凤山。凤山象一只巨大的凤凰向着东方升起的太阳展翅起飞，这里森林茂密，古树参天，天高云低，烟雾迷漫，是过去顺宁十景中的“凤岫凝烟”景观，也是人们“登山观城景，入林赏凝烟”的游览好去处。清光绪33年（1970）赴顺宁任知府的琦磷在任六年间，勤政爱民，兴学校、创邮电、重农桑、办实业，与城绅陈维寅各捐银50两，开辟凤山茶园，推广种茶制茶，此后一年一度的清明...相传很久以前，一只金凤凰飞到这里，看到这里山青水秀，景色迷人便不顾再往前飞，落到这里变成了这只山，后人取名凤山。凤山象一只巨大的凤凰向着东方升起的太阳展翅起飞，这里森林茂密，古树参天，天高云低，烟雾迷漫，是过去顺宁十景中的“凤岫凝烟”景观，也是人们“登山观城景，入林赏凝烟”的游览好去处。清光绪33年（1970）赴顺宁任知府的琦磷在任六年间，勤政爱民，兴学校、创邮电、重农桑、办实业，与城绅陈维寅各捐银50两，开辟凤山茶园，推广种茶制茶，此后一年一度的清明春茶会便成为凤庆的品茶售茶的商务交流盛会，直到解放初期。1990年，凤庆县人民政府决定修建凤山公园，十年来已修建公园大门、登山石阶、凉亭、茶花女塑像和金凤凰腾飞的雕塑，公园初具规模，已成一风景名胜。,8：00-17：00,,--,,,10元,,1
