名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
临高角Lingao Jiao,http://travel.qunar.com/p-oi7648081-lingaojiao,"

地址:
临高县北端10公里处，地处海口市和洋浦经济开发区之间

",临高角位于距临高县城10公里的海边上，是突出于琼州海峡上的一个岬角，岬角顶端有250米长的拦潮礁石堤直插大海，传说这是仙人为人们指路时留下的。临高角岸上有千米长的海滩，沙白水清，是西海岸的优良泳场之一。纪念广场上矗立的“热血丰碑”是这里较瞩目的雕塑，它由两名站立着进行胜利呐喊的战士人身石像构成，展现了这里重大的历史意义。,全年 全天开放,https://img1.qunarzz.com/travel/d7/1712/d2/7be8d1a3bb297eb5.jpg_480x360x95_2e850841.jpg,4.4,建议游览时间：4小时 - 5小时,,具体收费情况以现场公示为主,,1
古银瀑布,http://travel.qunar.com/p-oi38621148-guyinpubu,,古银瀑布位于临高县皇桐镇，瀑布系平川落差而致，落差20米，幅面20米，幅宽400平方米；周围怪石林立，形状各异，千姿百态。,,,4.7,建议游览时间：0.5小时 - 1小时,,具体收费情况以现场公示为主,,1
临高角解放公园Lingao Corner Jiefang Park,http://travel.qunar.com/p-oi35214458-lingaojiaojiefanggong,, 海南临高角解放公园位于临高县北部海滨，是渡海登陆战主要登陆点之一。,,,4.8,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
临高县博物馆Lingaoxian Museum,http://travel.qunar.com/p-oi34274005-lingaoxianbowuguan,"

地址:
临高县金澜大道旁

",临高县博物馆位于海南省，馆内藏品众多，内容丰富，还会经常开展教育活动，举办展览。,全年 周二-周日 9:00-17:00,,0.0,建议游览时间：1小时 - 2小时,,免费,,1
后水湾Houshui Bay,http://travel.qunar.com/p-oi24410714-houshuiwan,"

地址:
海南省临高县新盈镇

",后水湾占地面积一百多平方公里，风景秀美，鱼类资源丰富，野生红树林等自然景观优美。,全年 全天开放,,--,建议游览时间：3小时 - 4小时,,具体收费情况以现场公示为主,,1
居仁瀑布Juren Waterfall,http://travel.qunar.com/p-oi20931408-jurenpubu,,,,,,,,,,1
金波荷花基地Jinbo Lotus Base,http://travel.qunar.com/p-oi19566432-jinbohehuajidi,"

地址:
皇桐镇金波村

",金波荷花基地是炙手可热的乡村旅游景点。游客可以在这里赏荷花，品莲子茶，欣赏田园美景。,全年 07:00-19:00,https://img1.qunarzz.com/travel/poi/1805/e1/aa2b2aaa635e7637.jpg_480x360x95_8c89e529.jpg,--,建议游览时间：2小时 - 3小时,,,,1
华中希望读书社,http://travel.qunar.com/p-oi19537611-huazhongxiwangdushushe,,,,,--,,,具体收费情况以现场公示为主,,1
邻昌礁Linchang Reef,http://travel.qunar.com/p-oi18714809-linchangjiao,"

地址:
临高县新盈港

",邻昌礁岛是由灰黑色的石灰岩错落堆积而成，故又称为邻昌礁。邻昌礁面积约0.014平方公里，位于北部湾后水湾，属于海南省儋州，一年中大部分时间被海水淹没，附近海域的渔业资源十分丰富，且地理位置比较特殊，位于儋州—临高两县海上界线上。,全年 全天开放,https://img1.qunarzz.com/travel/poi/1803/81/7a138480b3434f37.jpg_480x360x95_6343834d.jpg,4.9,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
彩桥红树林自然保护区Caiqiao Mangrove Nature Reserve,http://travel.qunar.com/p-oi10067989-caiqiaohongshulinziran,"

地址:
海南省临高县新盈镇彩桥村沿海一带

",彩桥记忆红树林湿地旅游度假区是一处以红树林湿地资源与临高哩哩美文化为依托，怀旧复古为主线，田园风光与乡村生态为特色的，集观光度假、休闲旅游为一体的综合性旅游度假区。在“原生态、健康养生、保护自然”的基础上，因地制宜建设，配套了年代记忆餐饮区、渔家文化土窑区、老盐咖啡厅、情人栈道、游船码头、观鸟台、灯塔主题观光区、瓜菜采摘区等主题休闲区域，可以品茶、游览、娱乐、美食、购物和体验采摘乐趣等。,全年 8:00-18:00,https://img1.qunarzz.com/travel/poi/1810/9e/6f7ca39e13553737.jpg_480x360x95_ea7b0234.jpg,4.4,,,具体收费情况以现场公示为主,,1
