名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
仙都景区Xiandu Scenic Area,http://travel.qunar.com/p-oi5142757-xiandoujingqu,"

地址:
丽水市缙云县仙都街道


电话:
0578-3120301


官网:
http://www.xiandu.gov.cn/

",仙都景区位于浙江省丽水地区缙云县境内，因为风光异常秀丽，众多影视剧先后在此拍摄外景，如《天龙八部》（张纪中版）、《笑傲江湖》（于正版）、《古剑奇谭》等，在游览途中，你可以寻找一下剧中场景。另外，你还可以在步虚山、朱潭山上俯瞰一柱擎天的鼎湖峰，和它映在好溪中优雅的倒影。,4月29日-10月31日（旺季） 7:30-17:30；11月1日-次年4月28日（淡季） 8:00-17:00,https://img1.qunarzz.com/travel/d4/1801/2c/274568815b83a2b5.jpg_480x360x95_b470ca66.jpg,4.5,建议游览时间：3天 - 6天,4月-6月为最佳旅游时节。夏季这里山青水秀，且是好溪漂流的最好时节，可尽享山中乐趣。此外，每年农历九月初九重阳节，仙都都将举办旅游文化节。公祭轩辕黄帝、登山竞技、攀岩比赛、飞渡表演、民间文艺表演等热闹非凡，打破山林中常有的宁静，另有一番风味。,"{'仙都景区门票成人票\n\n': ['¥93.8起'], '缙云仙都门票+景交车票儿童票\n\n': ['¥55起'], '缙云仙都门票+景交车票老人票\n\n': ['¥65起']}",,1
云和梯田景区Yunhe Rice Terraces,http://travel.qunar.com/p-oi7469557-yunhetitianjingqu,"

地址:
丽水市云和县崇头镇


电话:
0578-5156688


官网:
http://www.yhtt.com.cn/

",云和梯田是华东地区规模较大的梯田，这里除了层层叠叠的梯田和云海日出，5-6月播耕时还能看到漂亮的水景，10月稻谷成熟和冬天的雪景也分外迷人，吸引了不少摄影爱好者来此采风。整个梯田景区面积巨大，分为白银谷和九曲云环两大游览区域。过了售票点后不久有两条公路，左转为白银谷，往右是九曲云环。九曲云环比较小，有“日出云海”和“天籁云和”两个观景台，其中“日出云海”适合看日出，有不错的云海景观。不过相比之下，更受游客和摄影爱好者亲睐的还是对面的白银谷。白银谷以前是银矿，除了梯田还有些当年采矿留下的遗迹，七星墩（海拔约1100米）则有云和梯田较壮观开阔的景象，天气晴好的时候会有不少人在这里守候日出。因此，通常会在下午到九曲云环，然后前往白银谷，在景区内七星墩（梅竹村）附近的农家乐留宿一晚，方便第二天一早看日出。因为这里没有太多灯光，晚上的星空也很是好看。从七星墩左边的游步道下山，一路下来有瀑布相伴。差不多一小时可至山下的坑根石寨，寨子已经有些年头了，有一些黄色的石头砌的老房子，零星几家杂货店，并没有太多商业意味。一进村有一口老泉井，是当年开采银矿留下的，村口小河上一座银官桥，也是当年采矿修建的。,夏季8:00-17:00；冬季8:30-16:30；详情以景区公示为准。,https://img1.qunarzz.com/travel/d4/1611/e1/14b972465f599fb5.jpg_480x360x95_f758086c.jpg,4.8,建议游览时间：3天 - 6天,最佳的旅游时节是4-6月，每逢春末初夏这里的风景异常美丽，绮丽多姿的茫茫云海，时而象温驯的少女静卧山川、裸露胸怀，山峰、树木、房舍点缀其间，如同蓬莱仙境；时而象狂暴的潮，汹涌澎湃。那种宁静、那种和谐、那种天人合一的境界、变幻莫测的云雾，雾中的七彩梯田让人沉醉，美得难以形容。,"{'云和梯田门票成人票\n\n': ['¥40起'], '云和梯田门票+往返索道票成人票\n\n': ['¥195起'], '云和梯田门票+往返索道+下午茶票双人票\n\n': ['¥499起']}",,1
古堰画乡景区Guyan Huaxiang Scenic Area,http://travel.qunar.com/p-oi708608-guyanhuaxiangjingqu,"

地址:
浙江省丽水市莲都区大港头镇渡南路


电话:
0578-2863703

",古堰画乡位于丽水西南的大港头，这有里丽质天成又磅礴大气的水乡景色，拍照或写生尤其漂亮，因此许多美术院校选择这里作为写生基地，有了“画乡”的美誉。江滨古街边常能看到支着画板创作的人，颇有文艺气息，而已有千年历史的水利工程通济堰，是来到古堰画乡的游客必到的地方。瓯江将景区分为两部分，“古堰”是北岸的堰头村，“画乡”指的是南岸镇政府所在的大港头镇。二者隔河相望，没有桥，只有画舫往返两岸。游人通常会先到大港头，而后乘船去对面的堰头村。两边都有游客中心，门票可以分开买，不过买联票会略便宜一些。大港头看点最集中的是江边一条挂着红灯笼的街——江滨古街，虽然新修后看不出古意，也算得上风景如画。街道两边大多是画室或者和画有关的店铺，你可以在街边文艺的特色小店淘些特色小玩意儿，也可以在他她爱情邮局寄张明信片给亲人朋友。东面街口有棵古香樟树和以此命名的双荫亭，很有韵味。亭旁是香樟古埠，可在此乘坐去往对面堰头村的渡船，或者沿街走到摄影展览馆附近的通坪埠头乘船。瓯江的江水平静，水很干净，周围的自然风光也很是不错。江上时常有挂着白帆的小船，适合采风拍照。乘上画舫，不久就能到达江对岸的堰头村。需要注意的是，游船下午五点就没有了，要注意游玩时间。从古堰码头至村边的景观道旁有不少塑像，介绍了历代与通济堰有关的政客、水利学家和诗人。走过一段汀步，岔路口往前可沿着江边一路走到通济堰，往右则通往村北的文昌阁。由文昌阁往西走也能到通济堰，不过沿路有许多古樟树、古民居，人文景观更为丰富。其中，文昌阁是座小巧的二层建筑，被大片的古樟树围绕着，一旁是有着三个引水孔的三洞桥。往南是嘉庆年间的“孝节流芳”贞节牌坊，还有“示禁”石碑。通济堰是一段横卧在碧水之间的拱形石坝，它一面是涟漪层起的平静水面，另一面则是汹涌的注水口，和长着灌木，散布着鸥鸟的河滩互相映衬，甚是抢眼。通济堰一旁的詹南二司马庙内，有元代以来二十多个水利碑刻，可以借此了解这个千年间浙江最大的水利工程。大港头可住宿的地方不少，多是古朴风格的客栈和农家乐，标间价格在200元上下，预算充足可住更好些的江景房。另外，当地的鱼非常出名，当然价格也不菲，溪鱼一斤大约45元。,全年 08:00-17:30;全年 08:00-16:30,https://img1.qunarzz.com/travel/d5/1708/81/9b3ed8df0be850b5.jpg_480x360x95_d6a171d6.jpg,4.5,建议游览时间：12小时 - 3天,,"{'古堰画乡景区门票+双程船票成人票\n\n': ['¥45起'], '古堰画乡景区门票+双程船票儿童票\n\n': ['¥25起'], '古堰画乡景区门票+巴比松星空体验馆门票成人票\n\n': ['¥68起']}",夏天景区内蚊虫较多，游玩时务必做好防蚊虫措施。,1
南尖岩景区Nanjianyan Scenic Area,http://travel.qunar.com/p-oi701857-nanjianyanjingqu,,,,,,,,,,1
神龙谷Shenlong Valley,http://travel.qunar.com/p-oi706028-shenlonggu,"

地址:
丽水市遂昌县垵口乡桂洋林场


电话:
0578-8366000

",神龙谷是遂昌探寻森林、瀑布美景的去处之一，人们到这里主要是看它落差巨大的神龙飞瀑，山中绿色植物茂盛，空气清新，夏天更是凉爽。一条栈道沿着水流和山势修建，走在上面有种融入自然的感觉，适合休闲游玩。    由于景区的跨度较大，出口和入口并不在一处。游人从上方的入口沿着溪边步道一路下行，沿途经过遂昌怀古、游园惊梦、森林浴吧、汤公寻梦、卧虎藏龙、将军破壁、神龙出山、高山仰止等8个主题区域，大约两三小时，走到尽头便是下方的出口了。可由此离开，或乘景区的接驳车回到入口处（5元/人），整个游程并不会太累。    进入景区后，遇到的第一个瀑布便以汤显祖字号命名的“清远瀑”，以及以牡丹亭人物命名的“丽娘瀑”。这一区域以遂昌的历史人文为主，若是留意建筑上的对联，多有可咂摸之处。    后面的游园惊梦、森林浴吧里有以“牡丹亭”、“长生殿”为名的小亭子，可以休息和拍照，也有茶室可小坐。走到“汤公寻梦”，便是神龙谷精华的“神龙飞瀑”景观了。这条瀑布分为三级，整个落差300多米，谷里山势险峻，远远便能听见瀑声轰鸣。    汤公瀑落差60米，后面两级的落差依次增大。瀑布周边的观景台也是以汤显祖的作品为名，南柯台是观景的好地方，能近距离接近瀑布，感受到扑面而来的水汽，夏天很是清凉。继续往前，幻雨台是观看第二级瀑­——将军瀑，将军瀑是三级瀑布中较宽的一个。    二级瀑有路通往瀑底，可以走到下面拍照。后面的第三级瀑布落差很大，从百米高的悬崖上飞流而下，很壮观。不过这只能走到对面远观了，人站在观瀑台隔谷相望，如坠云雾间。后面的游程以红军为主题，走在栈道上往下看，能看到山间的森林与梯田，景色宜人。    溪水下游十多公里的大山村辟有神龙谷漂流，三小时2公里大约是168元。另外，从位置上看，神龙谷与南尖岩很近，但没有公交车直达，一般会自驾或包车，安排在一天内游玩。    ,8:00-16:30,https://img1.qunarzz.com/travel/poi/1703/bb/3f90454b949f7d37.jpg_480x360x95_3d42e486.jpg,4.6,建议游览时间：2小时 - 3小时,4-10月是最佳的旅游时节，温度适宜，雨季水量大，落差巨大的神龙飞瀑更加壮观。,"{'神龙谷门票成人票\n\n': ['¥47起'], '神龙谷门票儿童票\n\n': ['¥35起'], '神龙谷电子导览服务大小同价\n\n': ['¥10起']}",,1
岩下石头村Yanxia Shitou Village,http://travel.qunar.com/p-oi19589169-yanxiashitoucun,,岩下石头村位于浙江省丽水，该村庄在明建文帝三年(1402)建立，因处“百丈岩”下而得以此名。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/95beb6d97c00a852bcdb9f8f8c9b18a1.jpg_480x360x95_bfd81a8c.jpg,4.6,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,1
松阳老街Songyanglao Street,http://travel.qunar.com/p-oi10069093-songyanglaojie,"

地址:
丽水市松阳县西屏街道（近官塘路）

",松阳明清一条街坐落在县城西屏镇，古街全长300余米，临街两边都为木结构的二层楼房，属明清时代留下的老建筑，具有浓厚的历史文化气息。据说自唐以来，明清一条街就是松阳商业贸易区，号称五里长街。虽然历经沧桑和岁月磨历，古街仍然风姿依旧，向南北方敞开，环抱着这里的晨昏和人们琐碎的生活，日日年年。临街两旁一幢幢泥木结构楼房连绵逶迤而去，俨然像当代的“清明上河图”。明清古街区是松阳县历史悠久、文化积淀深厚的地区，保留了丰富的明清建筑风格和农耕文化遗存，这些民居店铺都是明清风格，那一排排被历史的风雨剥蚀的斑斑驳驳却别具神韵的街坊，是一种很独特很有吸引力的人文景观，是全省罕见的历史文化街。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/1b57637860eb90ddfeb53bc42ad07afb.jpg_480x360x95_8615dd85.jpg,4.4,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
中国青瓷小镇·披云青瓷文化园China Celadon Town · Phiyun Celadon Cultural Park,http://travel.qunar.com/p-oi10015701-zhongguoqingcixiaozhen,"

地址:
丽水市龙泉市上垟镇青瓷文化园（中国青瓷小镇）


电话:
0578-7322000

",中国青瓷小镇位于龙泉县上垟镇，这里原先是国营龙泉青瓷总厂的所在地，国营厂倒闭后，人们把它重新设计成了一个青瓷文化园。镇子很小，就一条主街，路边很容易就能看到文化园的大门。园内老厂址的两个高大的烟囱仍然耸立，颇有历史感。游人可在此了解青瓷的历史、体验青瓷的制作过程，辅以精巧的翻新设计和漂亮的瓷器展示，可以说是龙泉另一个出色的青瓷博物馆。文化园内分为游览区、体验区、休闲区三部分，游览区内以参观为主，有瓷之国、瓷之史、瓷之旅等多个展示馆，展示青瓷的文化...中国青瓷小镇位于龙泉县上垟镇，这里原先是国营龙泉青瓷总厂的所在地，国营厂倒闭后，人们把它重新设计成了一个青瓷文化园。镇子很小，就一条主街，路边很容易就能看到文化园的大门。园内老厂址的两个高大的烟囱仍然耸立，颇有历史感。游人可在此了解青瓷的历史、体验青瓷的制作过程，辅以精巧的翻新设计和漂亮的瓷器展示，可以说是龙泉另一个出色的青瓷博物馆。文化园内分为游览区、体验区、休闲区三部分，游览区内以参观为主，有瓷之国、瓷之史、瓷之旅等多个展示馆，展示青瓷的文化和制作工艺，整个参观过程大约1小时左右。体验区才是青瓷文化园有意思的地方，你可以自己亲手制作瓷器（每小时10元），旁边会有工作人员指点你如何拉胚。做好的瓷胚可以交给园内工厂烧制，他们会把成品邮寄给你（烧制、邮寄需另付费），是很特别的旅行纪念。大人小孩都不容错过。休闲区的披云山庄可以住宿，里面的装饰透着浓浓的中国味道，喜欢瓷文化的朋友不妨在此静静住上一天。旅程结束后，可在镇上找家小店，买些青瓷酒杯和茶具，价格相对比较实惠。,8:30-18:00，具体开放时间详见景区公示。,https://img1.qunarzz.com/piao/fusion/1810/8d/79b8b54e061ff502.jpg_480x360x95_343d8795.jpg,4.3,建议游览时间：3小时,,"{'中国青瓷小镇·披云青瓷文化园门票成人票\n\n': ['¥50起'], '披云青瓷文化园电子导览服务大小同价\n\n': ['¥9起']}",,1
杨家堂村Yangjiatang Village,http://travel.qunar.com/p-oi9598968-yangjiatangcun,,,,,,,,,,1
紫金大桥,http://travel.qunar.com/p-oi715036-zijindaqiao,"

地址:
丽水市莲都区 

",紫金大桥，是横跨南明湖两岸的第一座斜拉桥。工程全长736.7米，主桥宽30.5米，主塔高107.6米，为国家级特大型桥梁，是丽水市区的标志性建筑物之一。,全天,https://img1.qunarzz.com/travel/d5/1803/5f/5029d2dc506b47b5.jpg_480x360x95_6d0d8643.jpg,4.7,,,免费,,1
