名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
丽江古城Lijiang Ancient City,http://travel.qunar.com/p-oi714422-lijianggucheng,"

地址:
丽江市古城区大研古城


电话:
0888-5111118


官网:
http://www.ljgc517.com/

", 丽江古城又名大研镇，是茶马古道上有名的城镇之一，影视剧《一米阳光》、《木府风云》等都在此取过景。古城内木楼青瓦，古街石巷，小桥流水，站在古城东大街上，举头即可遥望玉龙雪山，景色十分秀丽。丽江古城依山而建，街巷依水流而设，曾经是茶马古道的交易市场。古城内从四方街延伸出光义街、七一街、五一街和新华街四条主干道，四条路又衍生出纵横交错的街巷，构成了以四方街为中心的古城。当年被徐霞客盛赞的木土司王府木府，就位于七一街关门口附近，在这里可以感受纳西民族建筑的内涵。玉河水在城中一分为三，三分成九，再分成无数条水渠，形成主街傍河、小巷临渠的局面，使得古城充满生机。古城里遍布经营各地特产的店铺，有民族饰品、茶叶、银器、披肩等。此外，这里有众多餐馆，无论是本地风味，还是西餐披萨，一切都能让你大饱口福。,全天开放；详情以景区公示为准。,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/04cae8d4a8f30246fd9e6a8d34135485.jpg_480x360x95_cee2b10f.jpg,4.6,建议游览时间：6天 - 9天,全年皆宜四季皆宜。春季和秋季最佳，温度适宜。丽江大部分地方只有温凉变换，无寒暑的变化，春秋相连，长春无夏，有明显的干、湿季，降雨集中在7月和8月。因地处高原，太阳辐射较强，昼夜温差大。春季是丽江古城最美的时候，这时的古城干净漂亮。在古城漫步，伴随着小桥流水人家，十分惬意，还能看到山花竞相开放、争奇斗艳。夏季是丽江古城的雨季，虽然路不太好走，但可以欣赏雨雾迷蒙的古镇，也是体验茶马古道的好时机。秋季的丽江天蓝水绿，金黄的枫叶飘落古城，空中还弥漫着桂花的香气。这时可以去田间欣赏丰收的景象，感受丽江秋高气爽的金秋。冬季是欣赏三角梅和玉龙雪山的好季节，不过这个时候古城风景可能会略显逊色。4月到10月是前往丽江古城游玩的好时节，此时气候适宜，风光旖旎。,"{'木府门票老人票\n\n': ['¥20起'], '万古楼门票成人票\n\n': ['¥27.8起'], '万古楼门票优待票\n\n': ['¥17.5起']}","1、丽江处于高原地区，紫外线辐射强烈，一定要做好防晒工作，避免阳光直射，否则会晒伤皮肤。雨季出行记得带伞。 
 2、丽江海拔较高，应注意休息，以免出现高原反应。若出现高原反应也不要紧张，深呼吸，稍作休息就可以减轻不适。另外，多吃水果、多喝水也能预防高原反应。 
 3、景区商业化严重，游客较多，一定要注意防盗。尽量不要在景区内购买东西，以防受骗。 
 4、 
不要乘坐黑车，以防被骗被抢；也不要盲目参与当地人的活动，如当地人利用纳西族的走婚等活动向游客索要“彩礼钱”等。 
 5、在云南不要称呼别人先生或小姐，一般男子称为“阿哥”，女子叫做“阿妹”；不过在丽江，一般称呼男子“胖金哥”，称呼女子“胖金妹”。注意称呼，以免引起不必要的麻烦。 

  1、如果在旅游旺季（春节、五一、十一长假）打算前往丽江旅行，一定要在出发前预定好房间，在旺季一些小客栈旅馆会出现以各种借口退订违约现象，建议预订时多比较查询，找到信誉好的客栈提前预订。一般丽江的客栈服务水平都比较好，可享受免费接机（连续住 2-3个晚上的话，很多客栈会提供这项服务）；免费报名俱乐部的旅游路线；免费代订纳西古乐、丽水金沙、印象丽江的演出票，一般一张可以优惠20元；免费帮忙联系包车；免费提供酒吧打折卡；免费提供旅游咨询，包括吃喝玩乐的好去 处，购物的好去处；免费代购各种机票、车票，还有古城维护费。 


  2、旅馆的房间在旺季会有一定幅度的涨价，具体的价格要按照具体的情况。来丽江一定要选择服务好点规模大点的客栈，即体验古城客栈的风情又避免不必要的麻烦。 


  3、丽江属于高海拔地区，终年太阳辐射较强。长时间在户外活动需要戴上太阳帽，涂抹防晒霜，以保护皮肤。 


  4、丽江昼夜温差大，一天内可能需要换两套衣服。不论什么季节到丽江，厚衣物都是要带的。即使是夏天，夜晚或下雨时气温也会降的较低。特别是带了老人和小孩的要注意预防感冒。 


  5、“进城时顺流而走，出城时逆流而行”，就不会在古城蛛网般的街巷中迷路。 


  6、古城入口处的古城管理局旅游服务亭有专人解答游客问题，电话：0888-5159909。 
",1
玉龙雪山Jade Dragon Snow Mountain,http://travel.qunar.com/p-oi714716-yulongxueshan,"

地址:
丽江市玉龙县丽江古城以北15公里处（玉龙雪山风景区）


电话:
0888-5137677,0888-5161501,0888-5162140,0888-5131068

","玉龙雪山是丽江知名景点之一，也是纳西族心中的神山，一共13座山峰连绵起伏，似银龙飞舞，因此得名。景区内可以直接乘坐索道上山，轻松欣赏高海拔冰川的瑰丽，是很多游客来此游玩的亮点。雪山概述玉龙雪山以""险、奇、美、秀""著称。从山脚到山顶，有亚热带、温带、寒带等多级景观逐级。山脚的甘海子，是一片辽阔的牧场，春夏之际，草甸上龙胆兰、杜鹃盛放，在这里远望，玉龙群峰历历在目。海拔3200多米的云杉坪，更是纳西青年男女心中的圣地。这里是一片幽静的草甸，四周古木参天藤萝密布，环境幽静。玉龙十三峰下有19条现代海洋性冰川，远望如一片瀑布悬挂于扇子陡下方，在阳光的照耀下，泛着银光。游人可乘坐大索道抵达4506米的高度后，沿着山间栈道近距离观赏冰川和主峰的雄姿。大索道景区受欢迎的索道，将游人从位于甘海子的索道下站运送到海拔4506米的冰川公园。下了索道，沿着冰川上铺设的木质栈道，可一直行进到海拔4680米的最高处，近距离感受雪山和冰川的魅力。如遇大风天气，可能会停运，具体请留意官方消息。云杉坪索道索道下站位于雪山脚下白水河畔，乘坐景区环保巴士可达。乘坐云杉坪索道可抵达海拔3240米的云杉坪，这里是远观玉龙雪山群峰的好位置。牦牛坪索道牦牛坪是位于玉龙雪山另一侧面的一块大草坪，距离云杉坪约15公里。登上牦牛坪，可以从另一角度观赏玉龙雪山。",全年 07:30-16:30,https://img1.qunarzz.com/travel/d9/1802/cf/328549d2f08af5b5.jpg_480x360x95_de3e38d9.jpg,4.5,建议游览时间：12小时 - 3天,登山活动的最佳季节为春季的4—5月和秋季的10一11月10月份不要去，雪会被云雾挡住；7月份，大索道基本没雪。秋季和冬季最佳。晴空万里，视野开阔。,"{'玉龙雪山冰川公园索道+园内往返环保车（不含进山费）票成人票\n\n': ['¥273起'], '玉龙雪山云杉坪索道+往返环保车票成人票\n\n': ['¥88起'], '玉龙雪山牦牛坪索道+往返环保车票成人票\n\n': ['¥98起']}","
  1、不建议游客骑马上山，骑马上雪山的几乎都是陷阱，看不到什么景点。 


  2、雪山上海拔高，如遇风大的时候一定要租羽绒服，建议不要在坐环保车的地方租，比山上还贵，要30/件/租金+ 300押金，等坐上环保车到3356M的索道站或4506M的索道站再租，纳西净地客栈免费租借羽绒服。纳西净地可代订雪山索道票，以免上山买票时排队，但是大索道仍然需要排队。 


  3、从停车场坐电瓶车到各个景点，是不再另外收费的，电瓶车费20元已经在买进山票的时候交过了。另外注意蓝月谷里面千万不要坐电瓶车，非常近，两分钟就能走到景点。 


  4、10月份不要去，雪会被云雾挡住；7月份，大索道基本没雪。 


  5、玉龙山上有《印象丽江》演出。时间：9点一场、11点一场(每场时长约70分钟，具体场次，以景区公告栏为准)。演出地点：丽江玉龙雪山景区甘海子。订票/咨询电话：0888-8888888，0888-5162299 
",1
泸沽湖女神湾Lugu Lake's Goddess Bay,http://travel.qunar.com/p-oi5808372-luguhunu:shenwan,,,,,,,,,,1
泸沽湖Lugu Lake,http://travel.qunar.com/p-oi720460-luguhu,"

地址:
云南省丽江市宁蒗县泸沽湖镇


电话:
0888-5886045

",泸沽湖位于云南与四川边界，海拔约2685米，风光旖旎，民风质朴，有“高原明珠”之称。云南一侧湖畔居住的摩梭人奉行“男不娶女不嫁”的走婚制度，所以泸沽湖又被称为“东方女儿国”。亮点概述泸沽湖四周青山环抱，湖岸曲折婀娜，沿湖共有17个沙滩、14个海湾。湖中散布5个岛、3个半岛、1个海堤连岛。其中，黑瓦吾岛、里务比岛和里格岛，是湖中具观赏和游览价值的三个景点，被称为“泸沽三岛”。每年6月-8月期间，湖里水性杨花盛开，花朵就像冰雪般净白，星星点点，有风拂过又摇摇欲坠，景色十分迷人，犹如人间仙境。沿湖还有很多村庄，其中较繁华可以提供饮食住宿的主要有大洛水村和里格村。大洛水村位于泸沽湖西南岸，是泸沽湖畔早开发的村庄，丽江往返的班车就停在这里。里格岛和里格村位于湖的西北岸，是近几年热门的旅游集散地。湖北岸有尼塞村、小洛水和大嘴村，因游客较少也更为宁静。再往东就进入四川省境内，湖东南岸的草海、王妃故居也值得驻足。玩法介绍环湖是感受泸沽湖魅力的好方式。不管是骑电瓶车、拼车环湖，沿途的湖光山色和质朴的摩梭村庄能让你频频驻足。其中租电瓶车环湖是游玩的热门方式，住宿的客栈一般都提供电瓶车租赁服务。繁华的大洛水村，有摩梭民俗博物馆，在这里你可以了解摩梭文化和民俗。大洛水村到里格村只有8公里路程。里格村北的山坡上有一处观景台，这里是俯瞰和拍摄里格岛的好位置。继续前行，不远处的尼塞村有登上格姆女神山的缆车，山上的格姆女神洞据说许愿非常灵验。泸沽湖名人——杨二车娜姆的艺术博物馆兼客栈就在尼塞村的下一站：小洛水村。这里也是云南跟四川的交界。继续往前经大嘴村、木夸、女神湾，可一直走到草海，走走横跨在草海上的走婚桥，脑补一下当年摩梭男女走婚的情景，也是一个不错的体验。之后可从博瓦湾附近乘船返回大洛水。,全年 全天开放,https://img1.qunarzz.com/travel/d7/1707/d4/dccec4dcdb2ddab5.jpg_480x360x95_5c13f383.jpg,4.7,建议游览时间：12小时 - 3天,四季皆宜。春季和夏季最佳，青山翠绿、百鸟欢歌且春意盎然。泸沽湖属高原季风气候，冬暖夏凉，四季如春，降水少，早晚温差大。在这里，一年四季可以欣赏到不同的美景：春季万物复苏，湖水湛蓝，芦苇青葱，一派欣欣向荣；夏季杜鹃和向日葵盛开，放眼望去，一望无际的草原上洒满灵动的色彩，此时正处雨季，道路湿滑需注意安全问题；秋季的草原变的高远空灵，格桑花随着季节变幻，颜色由白变红，让高原的色彩一点都不单调；冬季阳光依旧明媚，湖水也不会结冰。春、夏两季是到泸沽湖旅游的最好季节，此时鲜花遍野，万亩草海翠绿，宛若天然花园。,"{'泸沽湖门票成人票\n\n': ['¥70起'], '泸沽湖门票儿童票\n\n': ['¥35起'], '泸沽湖门票学生票\n\n': ['¥35起']}","1、进入5、6月之后泸沽湖景色宜人，杜鹃花绽放在漫山遍野，还可欣赏到翠绿的万亩草海及情人桥；7至9月是多雨季节，适合徒步原始森林；8月的草海翠绿万亩，人桥风味别异。 

  2、如果租车或自驾车，一定要选择一台性能良好、车况良好的车，最好是越野车或底盘较高的面包车。 


  3、泸沽湖内严禁捕食湖中野鸭，采集各种动植物标本。 


  4、要充分珍重当地少数民族的宗教及生活习惯。建议不要过多追问当地人有关走婚的习俗，会引起当地人反感。如果想了解摩梭文化和风俗，最好请教当地年纪大的摩梭老人。 


  5、目前泸沽湖周边只有大洛水村和泸沽湖镇有银行自动柜员机，所以请自备足够现金。 


  6、可以提前服用景天红花胶囊或者血氧康胶囊来提高缺氧耐受力，预防高原反应。 


  7、在高海拔地区需注意：避免剧烈运动，不要劳累，适量休息；注意保暖，防止感冒；刺激性的食物尽量少吃，酒尽量不喝。 
1.当地是不允许捕食湖中野鸭、采集各种动植物标本的。2.泸沽湖水温较低，哪怕在夏季游湖，长时间侵泡也足以把人冻僵。而且湖岸地形复杂，千万不要贸然到湖里游泳，以免发生意外。3.因为提倡环保，泸沽湖大部分客栈不提供一次性用品，可以自带，也可以来这里以后在附近小卖部购买。4.去泸沽湖的路途比较漫长，山区曲折，要备足各类觉病的药品，如是晕车药、肠道病药等。5.泸沽湖早晚温差大，要注意带保暖衣物，即使夏季也建议带件外套，冬季需要带防寒衣物。6.由于地处高原，泸沽湖天气变化明显，紫外线强，建议带雨具、手电筒、太阳镜、帽子、防晒用品和一些晕车药、肠道药等常用应急药品。7. 因为泸沽湖大多数供水来源于地下水，加之其容积水量庞大，所以水温比一般的浅层湖泊要高许多。如果秋冬季能遇到突然降温，在早上就能看到壮观的“湖面飘云”，湖面上热气袅袅，蔚为壮观。8. 泸沽湖是摩梭族的母亲湖，这里既是旅游爱好者的圣地，更是摩梭人的生活的土地和精神的家园。来泸沽湖旅游应该多了解一些摩梭族的文化，尊重当地宗教信仰、民俗民风。9. 泸沽湖景区景色美丽，景点比较分散，不要太过贪心。多留一点机动时间，真正的泸沽湖不是一两天就可以领悟的。10. 保护好生态环境，切勿乱扔垃圾。11. 泸沽湖平均海拔只有两千多米，基本上不会出现高原反应，但建议适当控制饮酒和剧烈的活动，如果担心高反可适当提前服用些增加血液含氧的药物，如红景天泡水等。12. 泸沽湖景区的大洛水村（摩梭情演艺中心附近），有一家农村信用社ATM可以取款。另外，四川境内的左所镇（泸沽湖镇）有农村信用社和ATM，景区内其他村落没有银行和提款机，出发前，最好带足现金。13.泸沽湖的客栈、酒店都可以上网，不用担心网络不通。泸沽湖在收费站内侧的游客接待中心和达祖纳西村的达祖小学都有宽带上网服务。",1
蓝月谷Blue Moon Valley,http://travel.qunar.com/p-oi10006335-lanyuegu,"

地址:
丽江市玉龙纳西族自治县玉龙雪山东麓甘海子以北、云杉坪南侧的山谷之中


电话:
0888-5131068,0888-5161501

",蓝月谷位于丽江玉龙雪山脚下，是玉龙雪山融水的白水河流经此地形成，池水清澈见底，而且一片奇幻的蓝色，非常震撼眼球。蓝月谷有“玉液”湖、“镜潭”湖、“蓝月”湖和“听涛”湖四个颜色各异的湖泊，还有很多小瀑布错落有致，拍照十分漂亮。,全年 08:00-16:00;中国法定节假日 08:00-16:30,https://img1.qunarzz.com/travel/d5/1806/32/d1896cf9fce113b5.jpg_480x360x95_d23dcf96.jpg,4.6,建议游览时间：3小时 - 4小时,四季皆宜，夏季最佳，夏季气温较高，湖水温度上升，游客可以游湖戏水。,"{'【官方票源/含进山费/赠雪山三宝/商务小团】丽江玉龙雪山·蓝月谷一日游\n\n': ['¥226起'], '玉龙雪山一日游（含大索道+蓝月谷+纯玩2-8人小团+官方票源+1L氧气)\n\n': ['¥558起'], '【系统票/商务小团】玉龙雪山一日游+蓝月谷+多套餐+纯玩\n\n': ['¥498起']}",,1
拉市海Lashi Lake,http://travel.qunar.com/p-oi703104-lashihai,,,,,,,,,,1
冰川公园Glacier National Park,http://travel.qunar.com/p-oi705252-bingchuangongyuan,,,,,,,,,,1
白沙古镇Baisha Ancient Town,http://travel.qunar.com/p-oi5475589-baishaguzhen,"

地址:
丽江市玉龙纳西族自治县白沙镇


电话:
0888-5142120

",白沙古镇是丽江城北约12公里的一座古老的小镇，是纳西族在丽江坝的起初聚居地，也是丽江木氏土司的发祥地。这里目前依然保留了古色古香的风貌，而且非常的安静质朴，镇上明清时期的“白沙壁画”更是珍贵无比。有人说，白沙是十年前的丽江。这里只有一条旧旧的商业街，还有许多当地人的纳西小院，保留着古镇原有的样子，而且抬头就能看见玉龙雪山。卖纪念品的小店主要就是卖两种东西，一是扎染，另外就是各种仿古董，另外有些咖啡馆小吃店。相比大研和束河的商业热闹，白沙古镇是个相对安静的地方。奇特的是，虽然这里的街道比较古旧，但街面的门窗上几乎都有洋气的英文标识，一些店家还能用英语和老外游客做买卖。这是因为以前来到白沙的大多是老外，他们更喜欢这里古朴原始的纳西民风，当地人也因此学上了外语。古镇里面有一个非常有名的看点“白沙壁画”，“白沙壁画”的绘制从明初到清初，先后延续了300多年。来到白沙古镇，不妨来此了解一下东巴文化。除了这个景点，来到白沙古镇的人大多是为了这里的清净，可以从大研古镇骑自行车过来，在街边小店闲坐喝茶，可以慢慢闲逛，还可以同当地老阿妈用彼此懂或不懂的语言聊聊天，让人觉得放松又悠闲。,全年 全天开放,https://img1.qunarzz.com/travel/d5/1704/f8/cbf1c3d40767feb5.jpg_480x360x95_a2452954.jpg,4.5,建议游览时间：12小时 - 3天,四季皆宜，5-7月春末夏初，温度适宜。,"{'白沙古镇手机导游服务成人票\n\n': ['¥7起'], '丽江玉龙雪山固定翼飞机飞行驾驶体验【赠送飞行体验视频/专业机长一带一体验驾驶】\n\n': ['¥980起'], '丽江直升机空中观光【俯瞰丽江古城/玉龙雪山/虎跳峡/拉市海】\n\n': ['¥980起']}",白沙古镇里最有名气的人是何世秀医生，最有名的店是米良，有泰国菜、甜品、咖啡等，景色很美，可以消磨一个下午的时间。,1
木府Mufu Palace,http://travel.qunar.com/p-oi704757-mufu,"

地址:
丽江市古城区大研镇关义街光院巷49号


电话:
0888-5181468,0888-5122572


官网:
http://www.ljmufu.com/

",木府位于丽江古城南部，是历代丽江木氏土司的府邸，建筑有了明代中原建筑风格和白族、纳西族的工艺，精美壮观，徐霞客曾赞“宫室之丽，拟于王者”。如今木府已是古城的一座标志，吸引无数游客来此欣赏。木府虽是土司王府，但宫室之瑰丽，不逊皇家，据说当年既是“仿紫禁城而建”，鼎盛时期，有宫舍100多间。沿着关门口的石板路走进去，首先映入眼帘的是“天雨流芳”木牌坊，“天雨流芳”是纳西语“读书去吧”的谐音，可见木氏土司还是很重视文化教育。转过木牌坊，右手边是一座雕工精美的石牌坊，上书“忠义”二字。当年的这座石牌坊结构宏伟雕工精湛，民间有“大理三塔寺，丽江石牌坊”的赞誉。迈进木府庄严的红色的大门，中轴线上依次排列着议事厅、万卷楼、护法殿、光碧楼、玉音楼、三清殿等建筑，无不精美绝伦。中轴线两侧建有配殿、阁楼、过街楼、家院、官驿、长廊等共160多间屋舍，高低错落，气势磅礴，再现了当年丽江土司府的风范。议事厅端庄大气，气势恢弘，是丽江木氏土司议政之处；万卷楼，是木氏土司推崇文化的表现，据说当年内藏千卷东巴经、百卷大藏经和六公土司诗集、众多名士书画等文化瑰宝；护法殿又称后议事厅，是木土司商议家事的地方；光碧楼较早是丽江知府衙署的藏书楼，雕梁画栋，很漂亮；玉音楼是土司歌舞宴乐之处，当年接圣旨也是位于此楼；三清殿是木氏土司推崇道家精神的产物，也是纳西民族与中原文明联系紧密的见证。游览结束出来，木府大门口外的忠义牌坊、“天雨流芳”牌坊和写有徐霞客字句的照壁，是拍照留影的好地方。木府历经几百年的辉煌，大部分毁于清末的战火中，残存的部分也在1996年的丽江大地震中损毁严重，目前所见的绝大多数是1999年重建而成。虽是重建，但不妨碍其成为丽江古城内的代表性建筑。电视连续剧《木府风云》、《钱王》都是在这里拍摄的。来丽江游玩，不看木府，几乎等同于没来丽江。,8:30-17:30；详情以景区公示为准。,https://img1.qunarzz.com/travel/d2/201407/09/ddec915f5dcfc9afddb12cfb.jpg_480x360x95_5cba90b6.jpg,4.7,建议游览时间：2小时,四季皆宜。春季和秋季最佳，温度适宜。丽江大部分地方只有温凉变换，无寒暑的变化，春秋相连，长春无夏，有明显的干、湿季，降雨集中在7月和8月。因地处高原，太阳辐射较强，昼夜温差大。春季是丽江古城最美的时候，这时的古城干净漂亮。在古城漫步，伴随着小桥流水人家，十分惬意，还能看到山花竞相开放、争奇斗艳。夏季是丽江古城的雨季，虽然路不太好走，但可以欣赏雨雾迷蒙的古镇，也是体验茶马古道的好时机。秋季的丽江天蓝水绿，金黄的枫叶飘落古城，空中还弥漫着桂花的香气。这时可以去田间欣赏丰收的景象，感受丽江秋高气爽的金秋。冬季是欣赏三角梅和玉龙雪山的好季节，不过这个时候古城风景可能会略显逊色。4月到10月是前往丽江古城游玩的好时节，此时气候适宜，风光旖旎。,"{'木府门票老人票\n\n': ['¥20起'], '木府电子导览服务大小同价\n\n': ['¥0.8起'], '丽江荒野户外越野车俱乐部【丽江古城/市区免费接送】\n\n': ['¥390起']}",1.5-10月是丽江的雨季，其中7-8月是降雨较为集中的月份，雨季天气多变，前一刻晴空万里，下一刻就乌云密布倾盆大雨。此时来游玩，须带好雨具以备不时之需；11月至次年4年为旱季，晴空万里，日照充足，紫外线很强，此时需做好防晒工作。2.景区内有免费讲解，游客到达一定数目后就会讲解一次，可在购票进入后咨询。讲解员是整个参观的亮点，建议跟着讲解员参观木府。不同讲解员也有各自的讲解风格，如果对木府历史非常感兴趣，还可以跟着另一个讲解员再游览一次哦。,1
束河古镇Shuhe Ancient Town,http://travel.qunar.com/p-oi715281-shuheguzhen,"

地址:
丽江市束河古镇茶马驿站C21-1（飞花触水旁）


电话:
0888-5174636


官网:
http://www.ljshuhe.com/

",束河古镇位于丽江古城西北部，是当年茶马古道上的重要驿站。古镇依山傍水，构造布局与大研古城相仿，屋舍错落有致，巷道间流水潺潺，环境优美。难得的是，由于旅游开发较晚，束河古镇比大研古镇要幽静古朴得多。沿街漫步从雕梁画栋的挂着“束河古镇”四个字的大牌坊走进去，沿着两边都是店铺的石板路面可以一直走到古镇中心，像大研古镇一样，这里也叫四方街。当年的四方街，是马帮交易皮毛皮货的场所，现在的四方街，四面都是各种商铺，依稀可以感觉得到当年的繁华。九鼎龙潭沿着四方街边的溪流逆流而上，走过青龙桥，一湾清澈碧绿的潭水就在路边，这就是溪流的源头：九鼎龙潭。潭里生长着大量虹鳟鱼，因为玉龙雪山刺骨的融水，使得这里成为虹鳟鱼的天然养殖场。潭边建有龙泉寺，又称三圣宫，供奉的是皮匠祖师孙膑。爬上三圣宫后的小山坡，有块相对开阔的平地，这里是俯瞰古镇全景的好地方。茶马古道博物馆位于古镇内中和路上的茶马古道博物馆是值得一去的地方。博物馆原为木土司“束河别院”的一部分，主要以介绍茶马古道的历史为主，包括茶马交易、皮货交易和束河皮匠的起源等，可以对束河的历史有个简单的了解。此外壁画展厅不容错过，展出的为六铺大觉宫壁画，绘于明代，虽说晚于白沙壁画，但也精湛卓绝。餐饮住宿古镇面积不大，镇内餐馆、酒吧众多，逛古镇不需担心餐饮问题，走累了，找家小店，吃吃当地特色的鸡豆凉粉、米灌肠、虹鳟三吃等美食。古镇因不受“世界文化遗产”等诸多条件限制，很多客栈的建筑风格都独具特色。如果纠结于大研古镇的喧嚣，不妨来这里小住几日，感受束河古镇的清闲。老四方街附近是住宿相对集中的地方，区别于古镇入口处的喧嚣，这里相对清静。周边推荐逛一圈下来，3-4小时足矣，如果还有精力和体力，可以从三圣宫后面出古镇，不远即可到达白沙古镇，这也是一个古朴幽静的小镇，闲逛之余不要忘记观赏一下同样古旧且名气颇大的白沙壁画，时间不需太久，绝不耽误返回古镇住宿。,全天开放,https://img1.qunarzz.com/travel/d1/1711/b4/2a4a1978ee190cb5.jpg_480x360x95_3ca23bd9.jpg,4.4,建议游览时间：12小时 - 3天,四季皆宜。春季鲜花盛开，酷夏乘凉避暑，秋季秋高气爽，冬季阳光充足，都不失为好选择。四季皆宜。春季鲜花盛开，酷夏乘凉避暑，秋季秋高气爽，冬季阳光充足。束河一年四季景色不同，春季鲜花盛开，夏季雨多寒凉，秋季秋高气爽，冬季阳光充足。2-5月，束河百花开放，落英缤纷，春意盎然。泸沽湖和大理都是好风光，玉龙雪山春雪多，拉市海田园风景正美。6-10月，夏季的雨天更为古镇增添了一抹风景。但遇雨成冬，注意带好雨伞和外套。夏秋是香格里拉的最佳旅游季节，可游览草甸花海，高山峡谷，牧场湖泊等。11月-2月，冬季在束河天空瓦蓝，阳光灿烂。日温差极大，早晚要穿厚羽绒服。冬季天气晴好的时候居多，不妨去梅里雪山看看日照金山，泸沽湖、洱海、拉市海天蓝水也蓝。束河的四季景色都很美，最好能避开春节、国庆等黄金周。黄金周游人较多，物价上涨，会破坏旅行的心情。,"{'束河古镇门票+马车+人工讲解套票成人票\n\n': ['¥198起'], '束河古镇门票+骑马+人工讲解服务套票成人票\n\n': ['¥298起'], '束河古镇手机智能导游讲解（不含门票）服务成人票\n\n': ['¥0.3起']}","束河古镇基本上都是客栈，更具民族特色。一般都由纳西民居改建，是带庭院的木式建筑。到丽江如果没有在古城里住是无法体会那种休闲又温馨的感觉的，由于这几年的迅猛发展及激烈竞争，古城客栈的硬件设施极大提高，且软性服务更好。古城中客栈的价格从几十元到上千元的档次都有，据08年统计，单古城中就有700多家客栈，有营业执照的有400家，但两者实质区别不太大。主力房价在70元--200元左右。1、丽江公共汽车公司市区线路运营时间：头班车7:00发车，末班车时间不定，票价1元。2、谨慎购买药材和珠宝玉石等特产。购买银器时要仔细鉴别真假，购买翡翠要求店家出具权威部门的证书。
  1、丽江公交车线路运营，跟大部分城市的不一样，有的路线分A线B线、上行下行。同一路线可能还分普通线和火车站专线等等。去程的站点，马路对面的返程站点，通常不一样（其他城市是方向相反，站点基本差不多）。游客没有不晕的，上车前请直接跟司机确认，到不到你想去的地方，而不是只看站牌。 
  2、束河古镇门票50元/人，古城维护费80元/人，凭古维费的票据买束河古镇门票。但是，不要相信拉客的当地人“五块钱带你进束河”，只要不坐外地牌照的车，可以大摇大摆地从大门进去，因为束河虽有门票，但几乎没人查散客，北门就更没人查票了。旅游团和外地自驾游的有可能会被查票。 
  3、不要搭理街上招揽生意的托儿，不要相信编彩辫的妇女推荐的吃喝玩乐。 
  4、出发前提前在手机里安装好打车应用、点评网等团购应用、手机导航、各大旅游网的APP等。丽江当地出租车口碑较差，常不打表或拒载，建议使用手机打车软件，选快车。美食可以请多看点评网的推荐。购买特产请多在旅游网站的目的地攻略里查询。预订酒店包车旅游团等，请多用旅游OTA的客户端查找……总之，不要轻易相信客栈或司机的推荐，请记住有种东西叫“返点”。虽然靠谱的客栈很多，但黑心的客栈也不少，不能盲目信任。再说，没有几家的客栈经营范围还包含了销售旅游团、门票、包车租车……更没有推荐吃喝玩乐然后拿返点这个经营项目。 
  5、不懂珠宝的请不要随意购买翡翠玉石银器等。需要购买的话尽量要求店家出具权威部门的认证书。束河的手工皮具闻名遐迩，超过一千元的，不懂皮料就不要随意买，上万元的奢侈手工皮包，不懂货就别买。 


1、根据季节带衣物：内衣裤、短袖短裤、长袖长裤、厚薄外套（一年四季都需要外套，夏带薄的，春秋冬带厚的，夏天早晚凉，遇雨成冬。厚重的呢大衣不要带）、袜子、拖鞋、平底鞋（禁高跟鞋）；2、帽子、手套（冬天御寒，其他季节可以在骑马时保护手）、太阳镜、防风沙的大围巾或披肩、蒙面的魔术头巾、雨衣或者雨伞、手电；3、高倍防晒霜、晒后修复霜、补水面膜、其他个人常用护肤品；4、背包。石头路对箱子的损伤很大；5、相机及充电器、数据线、内存卡；6、日常药品，高反药。水边环境湿热，蚊虫多，去洱海和泸沽湖等地，要带驱蚊药。7、纸巾、湿巾、毛巾、洗漱用品（部分客栈不提供或不齐全）、指甲刀、身份证、银行卡、现金、驾照、路书、 塑料袋、客栈联系电话等。束河古镇：http://www.ljshuhe.com/",1
