名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
乌兰哈达火山地质公园Wulanhada Volcano Geopark,http://travel.qunar.com/p-oi9637613-wulanhadahuoshandizhi,"

地址:
内蒙古自治区乌兰察布市察哈尔右翼后旗

",内蒙古乌兰哈达火山地质园位于内蒙古中部，集聚着草原火山群、熔岩地貌及堰塞湖景观，被誉为天然的“火山博物馆”。,全天开放,https://img1.qunarzz.com/travel/poi/1705/1b/4e386a5db0c07a37.jpg_480x360x95_b6d13dc0.jpg,4.5,,,"{'辉腾锡勒草原+乌兰哈达火山一日游【2—8人精品小团、随走随停、口碑向导、纯玩无购物】\n\n': ['¥166起'], '乌兰哈达火山✚辉腾锡勒草原一日游 可选私家小团\n\n': ['¥166起'], '辉腾锡勒草原+乌兰哈达火山地质公园一日游【独立包车 · 上门接送 · 纯玩自由行 · 多车型选择】\n\n': ['¥658起']}",,1
辉腾锡勒草原Huitengxile Grassland,http://travel.qunar.com/p-oi703190-huitengxilecaoyuan,"

地址:
乌兰察布市察哈尔右翼中旗中南部


电话:
400-047-4400

",辉腾锡勒，蒙古语意为“寒冷的高原”。草原位于乌盟察右中旗中南部，阴山北麓。草原上点缀着99个天然湖泊，素有“九十九泉”之称。这里既有牧区草原苍茫雄浑的格调，又有江南水乡明媚清秀的色彩。辉腾锡勒草原冬季寒冷，夏季凉爽，自古便是有名的避暑胜地。每到五月至九月是这里的旅游季节，鲜花遍地，是全国少有的高原湿地之一。当地人认为草原上的湖泊多形成于地泉，因此通常也把湖泊叫做泉。这里是史前火山带，火山爆发形成无数“火山坑”，若干年后长满野草，积满雨水，进而形成圆形的海子。相传一代天骄成吉思汗曾在“九十九泉”立马垂鞭，尽览山光秀色，因泉不足百，舍爱而去，大元帝国就没能在此定都。传说这99处湖泊，天旱湖水不减不降，天涝湖水不增不溢，平静得像一面镜子。九十九泉像母亲的奶汁喂养滋润着灰腾锡勒的生灵万物。这里青山秀水，瑰丽多姿，景区主要分神葱沟和黄花滩两大去处，共有15大景观。在这里，你可以骑马、骑骆驼、射箭、射击，还能看蒙古式摔跤表演、登敖包山，到牧民家中作客，品尝民族风味的奶食和奶茶、吃手扒肉、喝马奶酒……在这些丰富多样的活动中，痛快淋漓地感受粗犷自然的蒙古族风情。,6月1日-10月7日7:55-18:00。,https://img1.qunarzz.com/travel/d3/1507/a5/e6c2abe046d640.jpg_480x360x95_030f51db.jpg,4.4,建议游览时间：3天,,"{'辉腾锡勒草原九十九泉骑马祭敖包票成人票\n\n': ['¥99起'], '辉腾锡勒草原+乌兰哈达火山地质公园一日游【多套餐选择】【漫游草原/可选小团/探索火山】\n\n': ['¥148起'], '辉腾锡勒草原+乌兰哈达火山一日游【2—8人精品小团、随走随停、口碑向导、纯玩无购物】\n\n': ['¥166起']}",,1
辉腾锡勒黄花沟草原旅游区Huitengxile Huanghuagou Pasture Scenic Area,http://travel.qunar.com/p-oi715227-huitengxilehuanghuagou,"

地址:
乌兰察布市察右中旗辉腾锡勒草原


电话:
400-0474-400


官网:
http://www.htxlly.cn/

",在辉腾锡勒草原西端有一道蜿蜒的山谷，长达10多公里，沟深约300米，这就是被誉为塞外名川的黄花沟。这里环境气候独特，夏季平均气温18摄氏度，植被覆盖率达90%以上，鲜花多达几十种。由于这里盛夏凉爽宜人，历史上包括汉武帝、北魏开国皇帝拓跋珪、清康熙等多位皇帝都曾到此避暑消夏。作为亚洲的风电之都，矗立在沃野中的上千台风力发电车，是黄花沟的标志性建筑群。与高山草原上的日出日落一起，构成一幅壮丽的草原天宫图。这里不仅天象奇特，更是观赏壮美流星雨的宁谧圣地，夜空中的万般奇观让无数天文及摄影爱好者在此流连忘返。黄花沟风景区的神葱岭顶端，生长着神逢草绿花红、百鸟争翔的盛夏，神葱一片翠绿四溢。神葱沟两股清泉，一股从巨大的绝壁深处源源不断地冒出来，在巨石下面形成滴水潭。潭中圣水，清甜可口，清脑提神，故称圣母泉；另一股从石缝间泪泪流淌，千年不息。两股神泉在风景区汇合后，使奇峰怪石、花草林木相映成辉，如诗如画。风景区还有一仅能容一人钻过的洞穴，洞内充满仙气，从洞里爬出，仿佛能让人超俗成仙，故称脱凡洞。另有仙气袭人的一镜天和高达十几米的佛手山；有由驮水神驼形成的骆驼峰等景观。在欣赏黄花沟草原天然绝美的风景之余，景区还也提供住宿和餐饮服务。景区所属的爱维龙媒草原城堡酒店为典型的欧洲城堡式建筑，建有各类豪华房间、卡拉OK厅、西餐厅等配套服务设施。如果时间足够，可以在次停留一晚,4/15-10/7 08:30-17:30,https://img1.qunarzz.com/travel/d8/1707/cb/1a2cabefb4102cb5.jpg_480x360x95_0195ffa5.jpg,4.4,建议游览时间：3小时 - 4小时,,"{'辉腾锡勒（黄花沟）草原旅游区门票+草原小火车+摆渡车+观光车+索道门票成人票\n\n': ['¥88起'], '辉腾锡勒草原+黄花沟+乌兰哈达火山2日游【含骑马+下马酒+纯玩无购物】\n\n': ['¥468起'], '辉腾锡勒草原1日游 内蒙古呼和浩特旅游黄花沟骑马\n\n': ['¥358起']}",,1
凉城岱海Daihai Sea,http://travel.qunar.com/p-oi707453-liangchengdaihai,"

地址:
乌兰察布市凉城县岱海镇


电话:
0474-4208111,0474-4208222

",凉城岱海旅游区位于乌兰察布盟南部，山明水秀，风景宜人。岱海南北长10公里，东西宽35公里。盛夏时节，略呈椭圆型的岱海宛如莲叶初露。清朝时期康熙多次巡边来到岱海，并在此兴建了行宫，取名“凉城”，为岱海题名“天池”。行宫后来改名为汇祥寺，曾为内蒙古规模宏大的召庙之一，1939年毁于战火。蛮汉山的38000亩原始次生林中，有数十各野生动物，北侧山峰下有佛爷洞、金水岭、万年冰窖等景观奇特，是观光旅游的好去处。岱海旅游区名胜景点众多，站在汇祥寺遗址西望，洞金山睡佛神态安祥，形象逼真。旅游区内有距今5000年之久的塞外北国龙山早期文化，老虎山石城遗址和园子沟窑洞遗址，还有两条百公里长城——秦汉古长城和明清新长城。岱海温泉，又名马刨泉，位于岱海附近的三苏木乡中水塘村，因传说康熙皇帝巡边时，坐骑在此刨泉解渴而传名。过去这里一直是喇嘛、贵族沐浴和疗养的场所，日涌水量2732吨，水温38度。,7:00-18:30,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/4ea4d166-b10b-4f74-95f3-fb560a6cb422.jpg,3.8,建议游览时间：1小时 - 2小时,,旺季40元  淡季30元,,1
格根塔拉草原Gegentala Grassland,http://travel.qunar.com/p-oi712142-gegentalacaoyuan,"

地址:
乌兰察布市四子王旗格根塔拉草原旅游区


电话:
0474-5448088


官网:
http://www.ggtlcy.com/index.html

",格根塔拉草原旅游区，位于乌兰察布市四子王旗查干补力格苏木（苏木乡），距离呼和浩特市区约150公里。这里草原特色浓厚迷人，自古以来就是优良的天然牧场，是一个极具蒙古民族风情的旅游景点。在每年7月底，这里会举办那达慕草原旅游节，届时游客在这里可以观看到蒙古族的赛马、摔跤、射箭等传统民族活动。平日游客来到这里，可以亲身体验一下蒙古族的游牧生活，骑骑蒙古马在草原上奔驰，或者骑骑稳健的骆驼，在骆驼高大的脊背上欣赏草原的美景。在夜晚，可以参加景区的篝火晚会，欣赏民族舞蹈，还有浓厚的马奶酒和喷香的手抓肉，这些当地美食一定会让你大饱口福。,开放时间7月1日-10月7日8:00-18:00。,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/4972851905a1b0d12fd7ab7dc3e15494.jpg_480x360x95_f3ac10d4.jpg,4.5,建议游览时间：2小时 - 4小时,,具体收费情况以景区现场公示为主。,,1
阴山,http://travel.qunar.com/p-oi703249-yinshan,"

地址:
于内蒙古自治区的中部

",阴山横亘于内蒙古自治区的中部，其蒙古语名字为“达兰喀喇”，意思为“七十个黑山头”。阴山山脉是古老的断块山。它东起河北东部的桦山，西止于内蒙古巴彦倬尔盟中部的狼山，东西绵延长达1000多公里，南北宽达50-100公里不等。阴山的最大特点便是南北不对称，南坡山势陡峭，北坡则较为平缓。山脉的平均海拔高度在1500至2300米之间。仿佛一座巨大的天然屏障，同时阻挡了南下的寒流与北上的湿气，因此，阴山南麓的雨水较为充沛，适宜发展农业。,全天,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/fusion/201910/e13d81dbf8941730b3d1e693b3f10081.jpg_480x360x95_b3b01a64.jpg,--,,,免费,草原上昼夜温差较大，应适时增减衣物，注意保暖。,1
老虎山生态公园Laohu Mountain Ecology Park,http://travel.qunar.com/p-oi710691-laohushanshengtaigong,"

地址:
乌兰察布市集宁区虎山街道解放路


电话:
0471-6202642

",该公园是集宁区重要的爱国主义教育基地，面积近7平方公里，制高点海拔1447.5米。“虎山”是因几座山峰相连，情形如同卧虎而得名。其中一条宽阔平坦的大道将老虎山三座山峰与白泉山连为一体，构成连接新区、旧区的纽带。 虎山公园始建于1967年，因纪念碑和集宁战役指挥部遗址位于山上而闻名遐尔。由于集宁地处塞外要冲，历来为兵家必争之地，解放战争期间在老虎山发生的虎山战役，在当地的解放史上具有重要意义，因此这里又被乌兰察布市列为重要的爱国主义教育基地。新的老虎山公园总体共设九个区，它们分别是：大门瀑布区、纪念碑区、植物园区、虎石区、虎山游乐区、赵家大院、老潭区。冯将军林和老城遗址。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/712fb4fc7b4b91c68711ee693b6c604d.jpg_480x360x95_448ef193.jpg,4.5,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
二龙什台国家森林公园Erlongshitai Forest Park,http://travel.qunar.com/p-oi709503-erlongshentaiguojiasen,"

地址:
乌兰察布市凉城县蛮汉镇


电话:
13848159437

",二龙什台国家森林公园位于乌兰察布市凉城县境内，这里峡谷奇险，重峦叠嶂，植被茂密，动植物、矿藏、药材等资源丰富。主峰是具特色的大峡谷，河涧如练，山体陡峭。谷内万年不溶冰窖颇具神秘色彩，洞不冷且冰不化。此外还有佛爷洞、道人居、牛魔王洞、千年龟、唐僧取经，济公石床、百兽园、卧佛等景点。,全天开放,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/d8d9ae82244ea1bdc5c6e5ef8bda3bed.jpg_480x360x95_11505f53.jpg,4.7,建议游览时间：1小时,,20元,,1
苏木山森林公园,http://travel.qunar.com/p-oi709767-sumushansenlingongyuan,"

地址:
内蒙古自治区乌兰察布市兴和县大南山深处

",,全天,https://img1.qunarzz.com/travel/d8/1812/ee/45a2c00f95f69cb5.jpg_480x360x95_66d62e73.jpg,4.8,,,,,1
岱海遗址群,http://travel.qunar.com/p-oi713370-daihaiyizhiqun,"

地址:
内蒙古自治区乌兰察布盟凉城县岱海周围

",岱海遗址群是新石器时代的文化遗址。该遗址由王墓山、老虎山、园子沟等三处典型遗址组成。墓山遗址分成上、中、下三区，总面积约17万平方米。已清理出半地穴式房址21座、灰坑15个，其年代为距今6000年至5000年左右。老虎山遗址是“老虎山文化”的命名地，总面积约13万平方米，已清理出半地穴式房址68座、灰坑34个、窑址和墓葬各3座。其年代为距今4500年至4300年左右。园子沟遗址总面积约16万平方米，已清理出窑洞式或半地穴式房址87座、灰坑4个、窑址6座，出土陶、石器200余件。房...岱海遗址群是新石器时代的文化遗址。该遗址由王墓山、老虎山、园子沟等三处典型遗址组成。墓山遗址分成上、中、下三区，总面积约17万平方米。已清理出半地穴式房址21座、灰坑15个，其年代为距今6000年至5000年左右。老虎山遗址是“老虎山文化”的命名地，总面积约13万平方米，已清理出半地穴式房址68座、灰坑34个、窑址和墓葬各3座。其年代为距今4500年至4300年左右。园子沟遗址总面积约16万平方米，已清理出窑洞式或半地穴式房址87座、灰坑4个、窑址6座，出土陶、石器200余件。房址均沿等高线成排分布，居住面及墙壁上抹有白灰面，这批保存较好、布局有序、形制规范的窑洞式房屋在国内同期遗址中少见。其年代为距今4500年至4300年左右。岱海遗址群是了解内蒙古中南部地区史前考古文化序列、聚落形态及文明起源的典型资料。,8:00-18:00,https://img1.qunarzz.com/piao/fusion/1805/f1/70879cf3b1086d02.jpg_480x360x95_5f5f16a9.jpg,--,,,,,1
