名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
新疆盐湖景区Guhya Salt Lake,http://travel.qunar.com/p-oi722629-xinjiangyanhujingqu,"

地址:
乌鲁木齐市达坂城区盐湖街道（乌鲁木齐市南约70公里处）


电话:
0991-5900068

",新疆盐湖景区新建盐雕艺术群、心灵之浴、室外漂浮、盐滩、徒步道，还增加了游船、卡丁车、滑草等娱乐项目，以旅游、度假、养生为主的新盐湖景象。地理坐标为东经88°1′00″-88°13′16″，北纬43°21′14″-43°29′8″，地理位置为乌鲁木齐市达坂城区314国道盐湖化工厂内。在这里可以乘小火车深入湖中观光，可以观看现代化大型采盐船采盐时喷水吞珠的壮丽场景，可以欣赏盐湖日出和晚霞的绚丽画卷，可以透过清盈的湖水，观赏形状各异、正在生长的栩栩如生的朵朵盐花，探求湖底世界的神秘，还可以领略到涨潮后湖面上留下的滚滚盐涛奇观。,10:00-22:00，19:30停止入场。,https://img1.qunarzz.com/travel/d8/1603/6c/fabc5d3ffbbb4df7.jpg_480x360x95_b241a5a8.jpg,4.3,建议游览时间：2小时 - 4小时,最适合夏季出游，懒懒的飘在湖上，看山色青葱，绝佳的避暑体验。,"{'Guhya盐湖门票成人票\n\n': ['¥19.9起'], '【酒店套餐】遇·天目湖酒店1晚+双早+双人天目湖御水温泉/山水园/南山竹海套餐3选1\n\n': ['¥699起']}",游泳需注意：1.身体不能有任何伤口，否则会被卤水“杀”得疼痛难忍。2.盐湖的卤水浓度较高，为防止伤害身体，除了游泳衣裤外，还要必备三件东西：耳塞、鼻夹、眼镜。这是为了防止卤水对内耳、鼻腔和眼睛的刺激。,2
柴窝堡湖Ziwobao Lake,http://travel.qunar.com/p-oi704485-chaiwobaohu,"

地址:
乌鲁木齐市达坂城地区西部博格达峰脚下的柴窝堡盆地


电话:
0991-5910780

",柴窝堡湖呈圆形，似核桃状，面积约为28平方公里，湖水稍咸，由博格达峰及公格尔峰融雪汇集而成，是一个冷水性湖泊，水平如镜，清可鉴人。站在湖畔，旅游区内绿树成荫，湖边有草原，有林带，有田园，有荒漠，更有湿地沼泽，芦苇丛生。远处是茫茫雪山，近处是一潭碧水，有时微风拂面，树丛芦苇迎风摇曳，渔船穿梭，海鸥飞翔，令人乐而忘返，而有时又是大风肆虐，湖水浊浪排空，苍苍茫茫，景色壮观，天地间仿佛可见到流动的空气，这里白天天高云淡，空气清新，自然风光令您心旷神怡；夜晚繁星点点，抬头仰望，星空近得仿佛触手可及，令你分不清星光和灯光。,全年 全天开放,https://img1.qunarzz.com/travel/poi/201407/29/645d45cb26bda1adc8d65eac.jpg_480x360x95_bdf5eb7a.jpg,4.2,建议游览时间：3天,,具体收费情况以现场公示为主,交通工具最好选择越野车辆，同时由有经验的向导带领下进入，并根据行程准备携带药品等物资。,2
乌鲁木齐人民公园People's Park of Urumqi,http://travel.qunar.com/p-oi704351-wulumuqirenmingongyuan,"

地址:
乌鲁木齐沙依巴克区友好南路3号


电话:
0991-5849434

",人民公园平均海拔800米，位于“长桥饮马”雕塑西面百米处。这里原先只是乌鲁木齐河西岸的一片湖沼，四周古树蓊郁。清乾隆二十年（1755年）建造乌鲁木齐城时，将该地辟为官员休憩之地。光绪九年（1883年）开始建园。1918年主政新疆的杨增新又予以扩建，疏浚湖底，整修湖岸，仿照古代中原地区殿堂式样，建造了丹凤朝阳阁，后又建龙王庙、醉霞亭、晓春亭、鉴湖亭，还有为纪念清代大学者纪晓岚而建的“阅微草堂”等。现在园中林木参天，花草遍地。有曲径通幽的园中园，光怪陆离的“水晶宫”，亭旁庭前的雕塑，还有儿童游乐园及旱冰场等景点设施。由春及秋，时有花卉展、盆景展、书画展、摄影展。隆冬三九常举办冰雕盛会及开展滑冰运动。,全年 7:30-22:30,https://img1.qunarzz.com/travel/d7/1801/d7/cdc0cecb120400b5.jpg_480x360x95_557d92c8.jpg,4.6,建议游览时间：1小时,六月至九月,具体收费情况以现场公示为主,夏天晨练好去处，适合老年人去练剑，跳舞。,2
红光山大佛寺Hongguang Mountain Dafo Temple,http://travel.qunar.com/p-oi7481759-hongguangshandafosi,"

地址:
乌鲁木齐市水磨沟区红光山生态园内


电话:
0991-4889165

",红光山大佛寺位于乌鲁木齐北面卡子湾附近的红光山，大佛寺山门红光山大佛寺建筑群始建于2002年，于2010年完工，历时8年，是中国西北的一个汉传佛教寺庙。大佛寺的山门，宽17米，高15.6米，高大雄伟，正面是新疆书法家协会副主席张沧书题写的“觉世大慈”，背面是书法家闵荫南题写的“悯世大悲”。红光山释迦牟尼佛始建于2002年7月19日，2004年底完工，历时两年，佛像通高40.8米，直径14米，佛手高5.7米，佛的耳朵高达2.6米。释迦牟尼金身像背后，是一组建筑群，占地面积约3万平方米，寺院坐东向西，主要有大雄宝殿、五百罗汉堂、千手观音殿、地藏殿、钟鼓楼、厢房等，建筑风格跟内地汉传佛教寺庙大体一致。,全年 10:00-20:00,https://img1.qunarzz.com/travel/d6/1508/4c/a39146ce11cd54.jpg_480x360x95_e3154fa7.jpg,4.5,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,2
乌鲁木齐植物园Urumqi Botanical Garden,http://travel.qunar.com/p-oi709452-wulumuqizhiwuyuan,"

地址:
乌鲁木齐市新市区北京中路916号


电话:
0991-8640278,0991-6626679

",乌鲁木齐植物园现有月季园、宿根花卉区、种植示范区、荒漠植物区、草坪游览区、忍冬区、药用植物区、果树区、蜜源植物区、蔷薇植物区、松柏区等十一个园区，引进各类植物已达600多种，包括新疆野生濒危植物灰杨、胡杨、西伯利亚红松、中国丽豆、锦鸡儿属、鸢尾属植物等。其中宿根花卉区是较好的风景游览点，它栽植了500余株40多个名贵品种的芍药，另外多种花色的鸢尾、耧斗菜、荷包牡丹、蓝亚麻、福禄考等竟相开放，形成了繁华似锦、三季有花，令游人驻足的景观。,8:00-22:00。,https://img1.qunarzz.com/travel/poi/1707/9a/cfb36c4876316537.jpg_480x360x95_500fc0a6.jpg,4.6,建议游览时间：1小时 - 2小时,春夏秋季都可以，不同的季节来可以看到不一样的花开，都是别样的景致。,惠民活动 乌鲁木齐植物园自21年12月1日起 对市民免费开放,春季会有花展，五一前后。,2
妖魔山,http://travel.qunar.com/p-oi7646145-yaomoshan,"

地址:
新疆乌鲁木齐市沙依巴克区


电话:
0991-6297012	

",妖魔山戴帽，学徒工睡觉”。妖魔山，就是乌鲁木齐西边的雅玛里克山，每当山上云雾上升，夏则暴雨，冬则降雪；还由于妖魔山峰峦叠嶂，沟梁交错，遇风便飞沙走石易迷失方向。于是，人们给它蒙上了一层神秘的面纱，说山上有妖魔作怪，妖魔山据说也是《西游记》里牛魔王的寓所，传说青烈龙、赤龙兴风作浪被西王母压在妖魔山和红山之下，但那时乌鲁木齐河却经常泛滥成灾，百姓以为二龙作祟，就在妖魔山和红山上各造一塔镇妖，以祈丰年。,8:00-19:00,,4.2,建议游览时间：5小时,,免费,,2
乌鲁木齐革命烈士陵园,http://travel.qunar.com/p-oi710215-wulumuqigeminglieshiling,"

地址:
乌鲁木齐南郊


电话:
0991-8524910

",乌鲁木齐革命烈士陵园位于市区南郊风景区燕儿窝，故又称“燕儿窝烈士陵园”。它东依燕儿崖，西临乌鲁木齐河。陵园面积约700多亩。这里古树森森，鲜花竞艳，环境幽雅。园内祭坛并排树立着陈潭秋、毛泽民、林基路、乔国桢、吴茂林等烈士的基碑。园内还安放着其他烈士的骨灰。这座陵园已列为自治区重点文物保护单位。每年清明前后，成千上万的群众来此祭扫，凭吊革命先烈并游赏阳春美景。,9：00-17：00,https://img1.qunarzz.com/piao/fusion/1501/33/e915af621c3d4d.jpg_480x360x95_05a5c07e.jpg,4.0,,,10元,,2
新疆人民会堂People's Hall of Xinjiang,http://travel.qunar.com/p-oi711178-xinjiangrenminhuitang,,,,,,,,,,2
乌鲁木齐人民广场,http://travel.qunar.com/p-oi9149012-wulumuqirenminguangchang,"

地址:
乌鲁木齐市天山区中山路东段北侧

",乌鲁木齐人民广场形成历史较长，清朝光绪年间是荷花池，民国23年建成督办公署门前广场。1946年为庆祝新疆省政府同伊犁、塔城、阿勒泰三区革命政府和平谈判成功定名为“和平广场”。1950年定名“人民广场”。乌鲁木齐人民广场占地4万平方米，南北长220米，东西宽185米，沥青地面，周围环型人行道用瓷砖铺筑。北东、南、西三面有树木和花卉，绿化面积1.7万平方米。半个世纪以来人民广场一直是乌鲁木齐政治、文化、娱乐的中心，是自治区和乌鲁木齐市两级政府举行重大集会和庆典的主要场所...乌鲁木齐人民广场形成历史较长，清朝光绪年间是荷花池，民国23年建成督办公署门前广场。1946年为庆祝新疆省政府同伊犁、塔城、阿勒泰三区革命政府和平谈判成功定名为“和平广场”。1950年定名“人民广场”。乌鲁木齐人民广场占地4万平方米，南北长220米，东西宽185米，沥青地面，周围环型人行道用瓷砖铺筑。北东、南、西三面有树木和花卉，绿化面积1.7万平方米。半个世纪以来人民广场一直是乌鲁木齐政治、文化、娱乐的中心，是自治区和乌鲁木齐市两级政府举行重大集会和庆典的主要场所。2008年6月17日，北京2008年奥运会火炬接力乌鲁木齐站的传递从人民广场开始。,全天。,https://img1.qunarzz.com/travel/d1/1707/53/79b9ed485127f8b5.jpg_480x360x95_9d5c976a.jpg,4.3,建议游览时间：1小时 - 2小时,,免费。,,2
达坂城风力发电站Dabancheng Wind Power Station,http://travel.qunar.com/p-oi8676793-dabanchengfenglifadian,"

地址:
乌鲁木齐市达坂城区柴窝堡吐乌大高速公路

",达坂城风力发电站位于乌鲁木齐市区与达坂城区之间的公路旁，是全国较大的风能基地。发电站由数百座巨大的发电风车组成，风车脚下的则茫茫无际的戈壁滩，景色十分壮观，深受摄影爱好者们的喜爱。一般游客参观发电站都是开车从乌鲁木齐到吐鲁番等地时路过的，发电站就位于公路旁边，在车上便可以看到，若是乘坐公共交通到此一定不要睡过去，可以在车上拍拍照片，也十分不错。如果是自驾，则可以下车拍摄，在连霍高速位于柴窝堡立交桥西侧约三公里的地方有专门的停车场可供游客停车摄影。如果是走G314国道，更可以停车走下马路，步行一段时间便可置身于巨大的风车矩阵里，近距离的观察风车。达坂城风力发电站内共有约一百多座风车，连绵长约80公里，宽约20公里，风车脚下是茫茫无际的戈壁，十分壮观。而且此处降雨极少，大部分时候都是蓝天白云的明媚天气，巨大风车在晴空下摇曳，非常漂亮。而由于地平线一望无际，这里的朝阳和夕阳往往更加火红，每天日出日落时，风车背后天光似火，更是拍出摄影大片的好时机。,全年 全天开放,https://img1.qunarzz.com/piao/fusion/1807/a7/8df956cee9a6eb02.jpg_480x360x95_af9b247f.jpg,4.5,建议游览时间：1小时,6月至9月。,,由有经验的向导带领下进入，并根据行程准备携带药品等物资。,2
