名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
尖峰岭国家森林公园Jianfeng (Sharp Peak) Ridge National Forest Park,http://travel.qunar.com/p-oi709138-jianfenglingguojiasen,"

地址:
乐东黎族自治县尖峰岭


电话:
0898-85721668,0898-85721249

",尖峰岭国家森林公园拥有茂密的原始森林景观，奇特的是，远远望去，整座山体就像一个刀削般的尖尖山岭，从而得名。在这里除了享受登山的乐趣，更有美丽的天池之景，水平如镜，清澈见底，周边分布着众多度假酒店，可以让人尽情享受这里的幽静与美景。尖峰岭的自然景观都较为原始，在此游玩时有两条路线可以选择，其一是登顶之旅，其二是去往静谧的天池，也会有游客将两条线路一并游玩。登山路多为石阶，经验丰富的户外运动者约3小时便可到达峰顶。站在山顶，树木葱茏、群山连绵的美丽景色尽收眼底。天池周围群峰环绕，形成了山中有湖，湖中有岛的绝美景色，特别是清晨时分来到天池边，飘渺而平静的池面倒映着群山，十分迷人。天池周边不乏度假酒店，在这里住上一晚，尽情享受度假时光也是非常不错的。,全年 7:00-0:00,https://img1.qunarzz.com/travel/d5/1702/25/3b1c3e173c7ec1b5.jpg_480x360x95_b6eec710.jpg,4.4,建议游览时间：3天 - 6天,,"{'尖峰岭国家森林公园电子导览（不含门票）服务大小同价\n\n': ['¥5起'], '海南三亚龙栖湾滑翔伞/动力伞体验【专业教练一带一/亲子飞行】\n\n': ['¥680起'], '海南乐东莺歌海4200米海上高空跳伞\n\n': ['¥1000起']}",,1
白沙河谷本土文化园,http://travel.qunar.com/p-oi38340744-baishahegubentuwenhua,,,,,--,,,具体收费情况以现场公示为主,,1
佳西自然保护区,http://travel.qunar.com/p-oi38340355-jiaxiziranbaohuqu,,"佳西自然保护区内的动植物种类非常丰富，有红花天科木、乐东木兰、油丹、水鹿、大灵猫、孔雀和白颈长尾雉等。
",,,--,建议游览时间：3小时 - 4小时,,具体收费情况以现场公示为主,,1
乐东商业步行街,http://travel.qunar.com/p-oi38336774-ledongshangyebuxingjie,,乐东商业步行街交通便利，商铺林立，美食云集，喷泉、广场等设施完善，是休闲、放松、娱乐的好地方。,,,4.8,建议游览时间：1小时 - 3小时,,具体收费情况以现场公示为主,,1
波波利海岸,http://travel.qunar.com/p-oi38336401-bobolihaian,,,,,5.0,,,,,1
抱郎村Baolang Village,http://travel.qunar.com/p-oi35474512-baolangcun,,,,,,,,,,1
抱梅村Baomei Village,http://travel.qunar.com/p-oi35473979-baomeicun,,,,,--,,,具体收费情况以现场公示为主,,1
赤公村农场Chigong Village Farm,http://travel.qunar.com/p-oi35302778-chigongcunnongchang,,,,,--,,,具体收费情况以现场公示为主,,1
保显农场三队,http://travel.qunar.com/p-oi35287248-baoxiannongchangsandui,,,,,--,,,具体收费情况以现场公示为主,,1
保显农场十五队Baoxian Farm Team XV Village,http://travel.qunar.com/p-oi35285852-baoxiannongchangshiwu,,,,,--,,,具体收费情况以现场公示为主,,1
保显农场十四队,http://travel.qunar.com/p-oi35285546-baoxiannongchangshisi,,,,,--,,,具体收费情况以现场公示为主,,2
保显农场一队,http://travel.qunar.com/p-oi35284549-baoxiannongchangyidui,,,,,--,,,具体收费情况以现场公示为主,,2
保显农场(二十三队),http://travel.qunar.com/p-oi35282759-baoxiannongchang,,,,,0.0,,,具体收费情况以现场公示为主,,2
保显农场八队,http://travel.qunar.com/p-oi35281862-baoxiannongchangbadui,,,,,--,,,具体收费情况以现场公示为主,,2
保显农场十队Team 10 of Baoxian Farm,http://travel.qunar.com/p-oi35281055-baoxiannongchangshidui,,,,,--,,,具体收费情况以现场公示为主,,2
保显农场七队Team 7 of Baoxian Farm,http://travel.qunar.com/p-oi35276253-baoxiannongchangqidui,,,,,--,,,具体收费情况以现场公示为主,,2
海南琼脂沉香博物馆Hainan Qiongzhi Chenxiang Museum,http://travel.qunar.com/p-oi34271427-hainanqiongzhichenxiang,,海南琼脂沉香博物馆主要展示了当地的沉香珍稀标本及芳香植物标本，古代香文化等。,,,0.0,,,免费,,2
以类,http://travel.qunar.com/p-oi26958776-yilei,,,,,--,,,具体收费情况以现场公示为主,,2
尖峰岭天池Jianfengling Tianchi,http://travel.qunar.com/p-oi23343679-jianfenglingtianchi,,"尖峰岭天池位于海南省乐东市尖峰镇尖峰岭国家森林公园内，在尖峰岭海拔800米的高山盆地，与北部湾相隔约25公里。年均气温20℃，四周有18座绿浪接天的千米奇峰环抱，600亩高山湖碧波荡漾，环境一尘不染，是热带雨林里海拔高度、面积第一的高山湖。它与北部湾相隔25公里，面积40公顷，水位深度可达20米，四周雨林常青，水常蓝，生态湖—南天池群山环绕一碧万倾，是传说中的南海观音沐浴净身圣地！年平均气温在19.7'C,夏季平均气温22'C，东暖夏凉是您避暑的优选。",,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/09456e3649725d5c76d64c8fd3987188.jpg_480x360x95_a72a719f.jpg,4.4,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,2
龙沐湾Nanhai Longmu Bay,http://travel.qunar.com/p-oi23343122-longmuwan,"

地址:
海南省乐东黎族自治县佛罗镇


电话:
0898-66675999


官网:
http://www.longmuwan.cn

",龙沐湾在海南省乐东黎族自治县佛罗镇，距离尖峰岭热带原始森林自然保护区仅7公里。它的周边旅游资源十分丰富，依山傍海，环境优美。独特的气候条件、优美的自然环境、便利的交通优势，使得龙沐湾拥有很高的旅游开发价值。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/f98b17c6d0570f4bf7301864e49bf8c9.jpg_480x360x95_81d186d5.jpg,4.2,建议游览时间：2小时 - 3小时,,,,2
莺歌海湾Yingge Bay,http://travel.qunar.com/p-oi23342400-yinggehaiwan,,莺歌海湾位于海南省樂東黎族自治县莺歌海鎮旁，是一处临海海湾。这里视野辽阔，远望风景辽阔而秀美，海风吹在脸上很舒服。海湾旁就是莺歌小镇，感兴趣的游客还可以在小镇里闲逛。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/0cd21efc4255fc66d05c4fac736d78de.jpg_480x360x95_93fc300d.jpg,4.1,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,3
黄流镇Huangliuzhen,http://travel.qunar.com/p-oi22945215-huangliuzhen,"

地址:
乐东黎族自治县黄流镇

",黄流镇位于海南省乐东黎族自治县的西南临海，北依尖峰国家森林公园，东连碧绿的滨海平原，西临碧海银山的莺歌海盐场。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/a5fee88ace45583ab6c1a2054fa70f99.jpg_480x360x95_82f3daaa.jpg,3.9,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,3
乐东黎族自治县图书馆Ledong Library,http://travel.qunar.com/p-oi19466042-ledonglizuzizhixiantu,,,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/9327a299801dbac1b4404c7920655703.jpg_480x360x95_ea889508.jpg,5.0,,,具体收费情况以现场公示为主,,3
