名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
乐山大佛Leshan Giant Buddha,http://travel.qunar.com/p-oi706145-leshandafo,"

地址:
乐山市市中区凌云路2435号


电话:
0833-2355557


官网:
http://www.lsdf517.com/web/index.aspx

",乐山大佛位于乐山市，岷江、青衣江和大渡河交汇处凌云山栖霞峰的岩壁上，又名凌云大佛，被联合国教科文组织批准为“世界文化与自然遗产”。造型为弥勒佛坐像，是唐代摩崖造像艺术的精品。欣赏巨型石刻弥勒佛坐像乐山大佛开凿于唐代，经过3代工匠人历时90年得以完工。大佛为弥勒佛坐像，高约70米，一尊巨型石刻弥勒佛坐像。观赏高大雄伟的乐山大佛，惊叹于古人在没有现代大型工具的情况下，竟能打造出如此精美的大佛。拜佛求平安、健康乐山大佛一直就是佛教圣地，在巨大的佛像面前，双手合十，心平气和地祈福，为自己、为家人、为朋友求一份平安、健康。凌云寺：烧香祈福的圣地凌云寺是由大雄殿、藏经楼组成的三重四合院建筑，寺内香火很旺，来此烧香的游客络绎不绝。凌云寺的绿化也做得很好，不仅树木环绕，还摆有许多植物盆栽。在这里感受佛教文化是一个不错的选择。乐山睡佛：寻找江面上躺着的佛像在青衣江的江面上，几座山峰连在一起，仔细观看会发现它的造型像极了一个躺着的佛像，佛头、佛身、佛足俱在。睡佛仰面朝天，十分有趣。观赏“睡佛”的较佳地点是在乐山古城东迎春门码头一带。游览路线：大众的旅游路线是走楼梯到凌云寺，然后到达大佛的头部，从九曲栈道由大佛的头部往下走。走到大佛脚部时拍拍照留念，然后再走上去。还有一种游玩方式是坐船游览大佛，这样可以远处观赏到大佛的全景。步行游览：亲自感受大佛的巍峨庄严大多游客都对乐山大佛早有耳闻，也看过图片中的大佛。而当你真正走近大佛参观时，你才能真切地感受到乐山大佛的高大巍峨和自身的渺小，仅仅是大佛的脚面就可以围坐上百人。在大佛脚下可以仰视整个大佛，记得拍照留念。乘船游览：远观乐山大佛的全貌如果近距离欣赏大佛还觉得不够或者体力不太好的游客则可以选择坐船远观大佛。乘船荡漾在江面上，一览大佛的全貌，留下珍贵的照片，还可以欣赏岸边的风景。1.乐山大佛的建造原因相传在古代乐山岷江、青衣江、大渡河三江汇聚之处，水势相当凶猛，路过此处的船只经常沉没。海通禅师为减杀水势，镇住江水，便召集人力物力修凿乐山大佛。当大佛建造完工后，水势竟然真的平缓了许多，过往的船只都能安全地通过。2.乐山大佛闭眼流泪在三年自然灾害后的1962年，岷山上漂浮着众多饿莩，当时人们认为大佛不忍心看到这场人间悲剧，才痛苦地闭上眼睛，默默流泪。而科学的解释是：佛像闭眼是由酸雨造成的，或者说是酸性沉降。酸雨能够使非金属建筑材料表面硬化水泥溶解，出现破洞和裂缝，损坏建筑物。3.乐山大佛的真实名称“乐山大佛”其实是后人对这座位于四川省乐山市的大佛的通称。这座唐代大佛的真实官方名称却一直是迷。事实上，根据后来诸多专家考察证实，这座被称为“乐山大佛”的石刻雕像的真实官方名称应是：嘉州凌云寺大弥勒石像。,04/01-10/07 07:30-18:30;10/08-03/31 08:00-17:30,https://img1.qunarzz.com/travel/d8/201310/16/51efb9089af59680ddb12cfb.jpg_480x360x95_4fc78c85.jpg,4.5,建议游览时间：12小时 - 3天,春秋两季是去乐山旅游的最佳时节。,"{'乐山大佛门票成人票\n\n': ['¥80起'], '乐山大佛门票儿童票\n\n': ['¥40起'], '乐山大佛门票老人票\n\n': ['¥40起']}",,1
金口大峡谷Jin Kou Gorge,http://travel.qunar.com/p-oi710348-jinkoudaxiagu,"

地址:
乐山市金口河区滨河路三段乐山市金口大峡谷


电话:
0833-2716009

",金口河大峡谷，西起乌斯河冻至金 口河，地跨四川省的乐山市金口河区。雅安市汉源县和凉山川甘洛县。它全长26公里，谷宽不足200米，谷深却达 2600米。峡谷两岸奇峰突起，危岩耸立，构成各种象形景观，似人似兽，栩栩如生、重重叠叠的山峦上，绿树成荫，飞瀑跌宕，各种山花野草争奇斗艳，形成一道道绚丽的风景，自然情韵雅致不凡。 峡谷沿岸衍生出许多小沟壑，错落有致，其中较有名的是一线天，沟壑两边悬崖紧贴，抬头就只能看着天，沿其进入一直到沟心的老昌沟，这一段几公里的路更是堪称奇绝，沟壑悬崖峭壁，溪水潺潺，鸟兽啼叫，羊肠小道，完全是大自然“恶意的”展现。,全年 09:00-17:00,https://img1.qunarzz.com/travel/poi/201211/15/ff3653e1199261f7ddb12cfb.jpg_480x360x95_4ca98ee6.jpg,4.4,建议游览时间：2小时,,具体收费情况以现场公示为主,,1
峨眉山Emei Mountain,http://travel.qunar.com/p-oi713431-emeishan,"

地址:
乐山市峨眉山市名山南路41号峨眉山（西南门）附近


电话:
400-8196-333


官网:
http://www.ems517.com

",峨眉山是中国佛教四大名山之一，也是普贤菩萨的道场，山中有众多的寺院，让这里充满了神奇的气息。山中的景色也非常优美，四季都各有特色。也许是沾了灵气的缘故，山中的猴群是出了名的顽皮，它们不怕人，还会主动向游客讨要食物。景区随海拔不同，分为低中高三个区。清音阁以下为低山区，植被茂密，气候与平原无异；清音阁至洗象池为中山区；洗象池以上为高山区，由于地势较高，到处是参天古树，所以这里气温较低。山中主要有报国寺、伏虎寺、清音阁等庙宇，及洪椿坪、九十九道拐、金顶等景点。游玩峨眉山，主要有两种方式：徒步、乘车。全程徒步的话，约需2-3天；乘车比较轻松，不想错过经典风光，可以游玩2天。,全年 06:00-17:00;全年 07:00-16:00,https://img1.qunarzz.com/travel/d7/1706/84/e7965900194fdab5.jpg_480x360x95_7446c509.jpg,4.6,建议游览时间：3天 - 9天,春秋两季是去乐山旅游的最佳时节。 乐山位于东南季风和西南季风影响区域。东北部平原、丘陵地区属亚热带湿润季风气候，气候温和，无霜期长，雨热同季，雨量充沛，四季分明。年平均气温16.5℃。    峨眉山最佳观景时间：    日出：夏季6：00，冬季7：00    云海：早上9：00—10：00，下午3：00—4：00    佛光：早上9：00—10：00，下午3：00—4：00    赏杜鹃：雷洞坪4月—5月，万佛顶5月—6月    玩雪滑雪：11月—次年3月    赏红叶：10月    戏猴：全年峨眉山山区云雾多，日照少，雨量充沛。平原部分属亚热带湿润季风气候；因峨眉山海拔较高而坡度较大，气候带垂直分布明显，海拔1500米~2100米属暖温带气候；海拔2100米~2500米属中温带气候；海拔2500米以上属亚寒带气候。海拔2000米以上地区，约有半年为冰雪覆盖，时间为10月到次年4月，且为雨季。冬天可以去峨眉山看雪，滑雪，山上白雪皑皑，山下树木长青，可以欣赏不同风光；夏季的峨眉山虽然无雪，但是凉风习习，是避暑胜地；春季是峨眉山最明媚的时节，树木抽芽，百花齐放，美不胜收；秋高气爽，气温适中，山色层层叠叠，是来峨眉沐浴金顶佛光的好时节。峨眉山四季风景各有千秋，最佳出游时间为春秋两季。春天可以看到姹紫嫣红的杜鹃花海；秋天火红的枫叶、金黄的栌叶，辉煌的杨树，浴洒在一片金黄黛绿之中，山水云天，交相辉映，织就一幅令人心醉的金秋画卷。,"{'峨眉山门票+全山往返观光车+金顶往返索道成人票\n\n': ['¥370起'], '峨眉山门票+全山往返观光车+金顶往返索道儿童票\n\n': ['¥195起'], '峨眉山门票+全山往返观光车+金顶往返索道学生票\n\n': ['¥290起']}","1）防寒：峨眉山最高海拔3099米，相对高度达2500米以上(山下的峨眉山市海拔仅420米)，垂直差别大，气温常较山下低10℃左右，故登山者需早作御寒准备(金顶也有棉衣可供租用)。2）防雨：峨眉山云低雾浓，细雨时停时降，终日不绝，故登山者应准备相应雨具(以轻便 的塑料薄膜雨衣为佳)。3）防滑：峨眉山部分路段非常光滑、危险，游人应特别注意安全，不宜穿光底和硬底鞋。4）参加旅行团峨眉山一日游，必须问清楚旅行线路，因为当地有A线、B线之说，A线是只玩金顶，B线是游玩中山区万年寺、白龙洞、清音阁、一线天、戏猴区等景点。要比较全面的游玩峨眉山，需二至三日左右。5）当地有无证导游和有证导游，无证导游会被检查人员抓住，然后另派有证导游，这会耽阁游览时间。6）乘车上山约两个半小时，终点是“雷洞坪”而不是“金顶” ，从雷洞坪步行到金顶是15华里。特别注意：不要在雷洞坪租大衣，那样会加重你的登山负担。7）金顶上的住宿较其它区域贵，300~600元/晚都有，旺季很紧俏。雷洞坪价格便宜不少，从70~250元/晚都可预订。8）在春夏之间可选购应时新茶，山道两侧及峨嵋市区内均有一些茶叶专卖店。为防误购往年陈茶，要冲沏品饮之后购买。9）峨眉山小吃，中山区沿途都有，石笋非常好吃，建议品尝。爬山注意事项:
1、登山以穿登山鞋、布鞋、球鞋和休闲或宽松衣服为宜。 2、山高路陡，游山时可买一竹棍或手杖。为安全计，切记“走路不看景，看景不走路” 。 3、山顶与山脚温度相差较大，建议多带件衣服，以备山顶御寒，也可在山顶租衣。（武夷山除外） 4、爬山（黄山、泰山、峨眉山）是体力活，最好别带太多零食，矿泉水每人2瓶；武夷山景区内基本没有餐馆，建议带好干粮。 5、山里一般气候变化较大，容易下雨，登山时要带好雨衣，下雨风大，不宜打伞。 6、游山时应结伴同行，相互照顾，不要只身攀高登险。  

其余注意事项：
 1、烧香须知：礼佛烧香以三支小香为宜，第一柱香供养佛（觉而不迷），第二柱香供养法（正而不邪），第三柱香供养僧（净而不染）。烧香之后再叩头。烧香的话，应该是左手拿香，右手拿烛，因为常人用右手杀鸡剖鱼，如果是左撇子的话，则反之。香要点的越旺越好。点燃后左手在上，右手在下握住香，高举过头顶作揖。作揖后，把香插在香灰里，就可进门叩头了。叩头的话，要认准佛祖菩萨或罗汉。 
 2、峨眉山中山区以上比较寒冷，金顶早晚要穿毛衣。可以租用大衣，一般也不必带很多衣服。 
 3、在猴区，不可随意招惹猴子，相机、食品要注意不能向猴子炫耀。峨眉“灵猴”成群结队，非常顽皮，不可任意挑逗，以免受其伤害。 
 4、乘观光车车上山约两个半小时，终点是“雷洞坪”而不是“金顶” 从雷洞坪步行到金顶是15公里。 
 5、峨眉山部分路段非常险滑，游人应特别注意安全，不宜穿光底和硬底鞋。不要在野外生火，乱扔烟头，严防火灾。 
 6、金顶海拨3000米左右，有高血压、心脏病患者等登山不宜过高。女士宜穿平底鞋，不宜穿长裙。",1
黑竹沟Heizhugou,http://travel.qunar.com/p-oi703800-heizhugou,"

地址:
乐山市峨边彝族自治县黑竹沟镇


电话:
0833-5225111,028-85287359


官网:
http://www.zghzg.com/

",黑竹沟位于峨眉山西南的峨边彝族自治县，地处四川盆地与川西高原间山地的过渡地带。这里民族风情古朴多彩，人文景观与自然景观融为一体，是一个探索大自然的人文景点。黑竹沟的交通不便，适合自驾前往，且路况不好，需谨慎驾驶。在景区有2个主要景点：原始森林和湿地公园。游客可以去原始森林爬山，一路上空气清新，风景非常不错。湿地公园很大，运气好的话在里面可以发现天然的温泉，可以直接泡温泉，很舒服。,全天,https://img1.qunarzz.com/travel/poi/201211/15/8612fa49e021ca65ddb12cfb.jpg_480x360x95_7486bca8.jpg,4.5,建议游览时间：3小时 - 4小时,,"{'黑竹沟门票成人票\n\n': ['¥48起'], '黑竹沟门票儿童票\n\n': ['¥25起'], '黑竹沟门票学生票\n\n': ['¥25起']}",,1
大瓦山Dawa Mountain,http://travel.qunar.com/p-oi10011688-dawashan,"

地址:
乐山市金口河区

",大瓦山屹立于四川省乐山市大渡河金口大峡谷北岸，海拔3236米。古生代火山喷发堆积而成的玄武岩、白云岩布满大瓦山的顶部。四周环绕着800至1600米不等的峭壁，仅北端的滚龙岗，通过木梯连接可以通达山顶，和“自古华山一条路”相比，其险峻陡峭有过之而无不及。远望大瓦山，如突兀的空中楼阁，又如叠瓦覆于群山之巅，与国家森林公园瓦屋山、世界文化自然双遗产地峨眉山遥相呼应，成三足鼎立之势，景色奇绝，颇为壮观。大瓦山由二叠纪火山喷发的玄武岩构成，在地质结构上与峨眉山，瓦屋山相同，因而被称为“蜀中三绝”。但大瓦山与峨眉山、瓦屋山相比在地貌景观上更为奇特。象大瓦山这样高海拔的平顶高山在国内很少见，世界上也只有委内瑞拉的平顶高山罗赖马山可以相比，它是世界上罕见的自然奇观。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/4c068078449fdd9a8000912c06e1be57.jpg_480x360x95_8d067d58.jpg,4.8,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
"平羌小三峡Little Three Gorges, Pingqiang",http://travel.qunar.com/p-oi712489-pingqiangxiaosanxia,,,,,,,,,,1
乐山硝洞Leshan Nitrate,http://travel.qunar.com/p-oi20957664-leshanxiaodong,,,,,,,,,,1
白熊沟,http://travel.qunar.com/p-oi39160666-baixionggou,,,,,--,,,,,1
金顶Golden Peak Temple,http://travel.qunar.com/p-oi718496-jinding,"

地址:
乐山市峨眉山市名山南路41号


电话:
400-8196-333,0833-5090114,0833-5098091

",金顶是峨眉山的山顶，金顶上的四面十方普贤菩萨金像，是众多游客来峨眉山的必游之地。这里海拔3079米，除了高达48米的铜制十方普贤像外，金顶还有一座华严寺，可供信众祈福礼佛。金顶的四面十方普贤金像是世界上较高的金佛，也是普贤菩萨的第一个四面十方艺术造型。普贤菩萨像后边的华严寺有三座大殿，其中的第三殿是普贤殿，也叫金殿或者“金顶”，是峨眉山较高的殿堂，殿门的匾额有“金顶”、“行愿无尽”、“华藏庄严”等牌匾，殿内供奉“普贤骑象”的铜像。,全天开放,https://img1.qunarzz.com/travel/d4/1705/27/c95e6ee8053380b5.jpg_480x360x95_29952624.jpg,4.7,建议游览时间：1小时 - 3小时,夏季和冬天是最佳季节，因为在这两个季节中最有可能观赏到奇景“佛光”，云海和日出在这两个季节也是最为壮观。春秋两季气候宜人，适宜爬山。,"{'峨眉山门票成人票\n\n': ['¥160起'], '峨眉山门票儿童票\n\n': ['¥80起'], '峨眉山门票\n\n': ['¥80起']}",峨眉山金顶有几大奇观：奇观一：金佛金顶上高48米（代表阿弥陀佛的48个愿望）的十方普贤圣像，是世界上最高的金佛，也是峨眉金顶的中心。普贤的十个头像分为三层，神态各异，代表了世人的十种心态。大象背上第一层为普贤菩萨的四头像和两面身；第二层为普贤菩萨四头像；最高层为前后普贤菩萨头像。圣像内为484平方米的佛中殿，供奉阿弥陀佛铜像，四周绕汉白玉雕佛像。 金光耀眼的普贤像会毫无悬念的震慑每个游客，产生一种由心而生的敬畏。奇观二：金殿 金殿指金顶华藏寺中的一殿，屋顶鎏金，是目前全国最大的金殿。奇观三：佛光 峨眉佛光，又称峨眉宝光，是一种奇特的自然物理现象。峨眉山金顶的摄身岩是欣赏佛光的好地方，但也不是人人都能有幸看到佛光，夏天、初冬佛光出现次数最为集中，这么听上去，在峨眉山看佛光还真是件靠运气、拼人品的事。【佛光观看最佳时间 9：00到10：00，15：00到16：00】奇观四：日出 金顶是看峨眉山日出的最佳地点，尤其是冬季的日出，常和云海配合出现，异常壮美，是其他季节所不具有的。金顶看日出需要提前一晚住在金顶，第二天起大早看日出。日出观看时间：随着季节变化，日出时间也不一样，冬季多在6：50-7：00。温馨提示：冬季看日出，一定要注意保温，山上风大，有时温度低至零下10多度。相机也要注意保温。奇观五：云海 冬季是一年四季中最容易看到峨眉云海的季节，尤其是傍晚时分，漂浮的云海壮阔波澜，如同平静的白色海面，翻滚的白雾在晚霞的映衬下逐渐变为金色，虚无缥缈。远处的贡嘎山、瓦屋山以金色的剪影呈现，仿佛漂浮在水中的仙山孤岛，有着无法形容的美妙。相信所有目睹了这一景色的游客，都会有种不虚此行的感觉。【观赏云海最佳时间 9：00到10：00，15：00到17：30】,1
伏虎寺Fuhu Temple,http://travel.qunar.com/p-oi720882-fuhusi,"

地址:
乐山市峨眉山市峨眉山麓报国寺2华里


电话:
400-8196-333,0833-5592424

",伏虎寺始建于唐代，寺庙深藏在山中，周边被参天的林木包围，如今这里是一座清静的尼姑庵。前来伏虎寺的游客不多，环境十分清幽，给人一种脱离世俗的感觉，寺庙内还提供食宿。抗日战争时期，这里举办过峨眉军训团将校班，和躲避战火而迁出的四川大学文学院、法学院就曾设立在这里。寺中还有清康熙皇帝题写的匾额“离垢园”。,8:00-16:00,https://img1.qunarzz.com/travel/d9/1506/ed/c288509797e0f5.jpg_480x360x95_e038e707.jpg,4.7,建议游览时间：1小时 - 2小时,四季皆宜，春秋最佳。,"{'峨眉山门票成人票\n\n': ['¥160起'], '峨眉山门票儿童票\n\n': ['¥80起'], '峨眉山门票\n\n': ['¥80起']}",,1
