名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
云居山Yunju (Cloud Home) Mountain,http://travel.qunar.com/p-oi710733-yunjushan,,,,,,,,,,1
庐山西海巾口景区,http://travel.qunar.com/p-oi38621566-lushanxihaijinkoujing,,,,,0.0,,,具体收费情况以现场公示为主,,1
鄱阳湖,http://travel.qunar.com/p-oi38035187-poyanghu,,,,,5.0,,,具体收费情况以现场公示为主,,1
东林大佛Donglin Buddha,http://travel.qunar.com/p-oi10023933-donglindafo,"

地址:
九江市庐山市温泉镇105国道附近


电话:
0792-2603306,0792-2603310

",世界较高的阿弥陀佛铜像——48米高的东林大佛，这座金灿灿的大佛屹立在高山之巅，48米高的东林大佛整体造型吸收了龙门石窟等盛唐佛像优点，代表了当代较高水平的宗教艺术精品，中国少有的露天阿弥陀佛铜像。,周二-周日8:00-17:00，16:30停止入场；周一闭馆。,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/700cb42e04e06a7e68784e0efe7768aa.jpg_480x360x95_3aba7d6a.jpg,4.5,建议游览时间：0.5小时,,具体收费情况以现场公示为主,,1
庐山风景名胜区Mount Lu Scenic Area,http://travel.qunar.com/p-oi714772-lushanfengjingmingsheng,"

地址:
九江市庐山市牯岭镇河西路19号


电话:
0792-8296565,0792-8296666


官网:
http://www.china-lushan.com/

",,全天开放,https://img1.qunarzz.com/travel/d7/1608/f1/5ec526094fdbf5b5.jpg_480x360x95_ef83f4f5.jpg,4.5,建议游览时间：3天 - 6天,庐山属亚热带湿润季风气候区。山顶山麓气温差异大。热量适中，季节偏晚，雨量充沛，日照丰富，风大雪多。春季：气候温和，天气多变。桃花、兰花、杜鹃等相继开放，风景如画。但有时也会出现寒冷天气，需注意多带衣物，紧密关注天气状况。夏季：炎热的夏季是来庐山避暑的好时候。山中到处郁郁葱葱，繁花点点，但雷阵雨较多。注意外出带伞。秋季：气候温凉，秋高气爽。规划飘香，百菊斗艳。常有秋旱出现，显现庐真面目的机会也最多。冬季：此时是旅游淡季，机票住宿都会便宜，而且也是欣赏庐山冬日雪景的时候，但要注意避寒。四季皆可庐山最佳旅游时间是夏季，夏季炎热，山中十分凉爽，是避暑的好地方。,"{'庐山风景名胜区门票成人票\n\n': ['¥160起'], '庐山恋影院《庐山恋》电影票成人票\n\n': ['¥38起'], '庐山风景名胜区索道票成人票\n\n': ['¥60起']}",1、庐山气温比九江低7-10度之间，早晚气温比较凉请备好外衣。2、因特有的云雾气候，含有大量的水份，所以会带给入住游客阴凉潮湿之感。3、庐山山顶取水非常困难，宾馆洗澡的热水是限时供应，请注意宾馆供水洗澡的时间。4、山区公路弯多而急可能会晕车；绿化比率高故有蚊等昆虫；请游客自带常用药以备不时之需（如：晕车药、清凉油、藿香正气水等）。5、庐山在旺季为了缓解各景区之间的交通压力，实行倒车（不能一团一专车）；因车辆数量有限，旺季人多车少，等车1小时属正常现象。6、庐山交通部门为了确保安全，特别规定旅游车在22:00到早6:00之间不允许上山，在安排行程时要注意。关于旅游交通换乘的规定庐山山上景区于每年 “五一”、 “十一”假期以及七、八两个月实行旅游交通换乘。为维护旅游交通秩序，依据《江西省庐山风景名胜区管理条例》、《庐山风景名胜区总体规划（2011-2025）》等相关规定，在换乘期间，山上景区对以下车辆实施交通管理措施：1．非庐山籍车辆（不含取得营运线路资质的客运车辆）禁止上山，乘客换乘上山。2．庐山籍车辆每年7、8月的周一至周五正常通行，周六、周日及“五一”、“十一”假期禁止在庐山山上景区上路行驶（首日零时至尾日二十四时）。3．非庐山籍车辆（含拥有合法营运资质的非庐山籍客运车辆）在管制期间每日7:00—19:00，禁止在牯岭街路段、香山路、河南路、大林路、大林沟路、窑洼路、脂红路、中路、河西路的会址路段、汉口峡路、河东路、大月山路、含鄱口路段行驶。,1
五老峰Wulao Peak,http://travel.qunar.com/p-oi704029-wulaofeng,"

地址:
九江市庐山市永济市东南20公里的中条山上五老峰景区内


电话:
0792-8792558

",五老峰位于庐山风景名胜区的东南，海拔1358米，是庐山形势最为雄伟险峻的山峰。山的绝顶被垭口所断，分成并列的五座山峰，看起来就像席地而坐的五位老翁，因此得名。从不同角度看五峰姿态各异，或像诗人吟咏、武士高歌，或像鱼翁垂钓、老僧盘坐。五老峰神奇壮美，正如李白所言“庐山东南五老峰，青天削出金芙蓉”。只在山下仰望山峰的话，是无法领略到山势之险、乱石之奇的。不过五老峰东南面陡不可攀，游客要从西北面的小道开始登山。爬上第一峰坡度较大，而从第一峰顶直到第四峰就相对平缓些，且山峰之间距离较近；但从第四峰到第五峰就远很多，大概要走1个多小时。如果你体力有限，可以只爬第一峰到第四峰，然后按原路返回，这样整个游览时间差不多在2小时以内；如果你体力充沛且时间足够，不妨登上第五峰，然后不走回头路，直接从五峰亭顺台阶而下，半小时左右可到三叠泉索道入口。第一峰下有一座怪石堆砌而成的“仙人桥”，云雾迷漫时尤其引人入胜。第二峰上有“待晴亭”，意为雨过天晴时可一睹庐山真面目，亭下山谷有“五老洞”。第三峰是最险峻的，山下深不见底，在悬崖绝壁上有一棵刚劲的“五老松”，峰顶有“日近云低”、“俯视大千”等石刻。第四峰海拔最高，景色极佳，在峰顶可以远眺鄱阳湖、市镇田地、江河交错等风光。第五峰很开阔，而且离三叠泉很近，可以顺道游览。,具体开放时间请咨询景区,https://img1.qunarzz.com/travel/d6/1611/74/1093250599312bb5.jpg_480x360x95_a15e8a3f.jpg,4.6,建议游览时间：3小时 - 5小时,春夏季为佳,"{'自营小团赠云雾茶 李白瀑布+鄱阳湖+三叠泉+五老峰精品1日游\n\n': ['¥58起'], '庐山精品1日游 去哪直营全含 李白双瀑+三叠泉五老峰+鄱阳湖\n\n': ['¥99起'], '庐山2日游 上山顶+李白双瀑 观日出云海 30个核心主景赠茶\n\n': ['¥238起']}",,1
含鄱口Hanpokou,http://travel.qunar.com/p-oi703718-hanpokou,"

地址:
庐山市东谷含鄱岭中央


电话:
400-107-8888,0792-8281265

",含鄱岭和对面的汉阳峰之间形成一个巨大壑口，大有一口汲尽山麓的鄱阳湖水之势，故得名。含鄱口是庐山著名观日处之一，清晨，鄱阳湖上晨光熹微，天水一色， 一轮红日射湖而出，金光万道，霎时湖天尽赤，半壁河山成了一幅灿烂绚丽的画卷。含鄱口西侧，为著名的冰川角锋“犁头尖”活象一块犀利的犁头，耕耘着茫茫云海。含鄱口对面为庐山最高峰“汉阳峰”，北面为庐山第二高峰“大月山”，南面为庐山第三高峰“五老峰”，山麓是中的一个大淡水湖“鄱阳湖”，湖光山色，相互比美。含鄱岭上...含鄱岭和对面的汉阳峰之间形成一个巨大壑口，大有一口汲尽山麓的鄱阳湖水之势，故得名。含鄱口是庐山著名观日处之一，清晨，鄱阳湖上晨光熹微，天水一色， 一轮红日射湖而出，金光万道，霎时湖天尽赤，半壁河山成了一幅灿烂绚丽的画卷。含鄱口西侧，为著名的冰川角锋“犁头尖”活象一块犀利的犁头，耕耘着茫茫云海。含鄱口对面为庐山最高峰“汉阳峰”，北面为庐山第二高峰“大月山”，南面为庐山第三高峰“五老峰”，山麓是中的一个大淡水湖“鄱阳湖”，湖光山色，相互比美。含鄱岭上有一座方型楼台，即庐山观日出的胜地－“望鄱亭”。踏着熹微的晨光登上望鄱亭，依栏远望呈现鱼肚白的天际。一会儿，鄱阳湖上的天幕金光万道，紫霞升腾，蓦地，一轮旭日从烟波浩渺的湖面喷薄而出，染红了蓝天绿水和远山近岭，景象十分壮观。,全年 08:00-16:00,https://img1.qunarzz.com/travel/d3/1611/7a/bf4d6f76296c05b5.jpg_480x360x95_82022864.jpg,4.5,建议游览时间：1小时 - 2小时,四季皆宜,"{'含鄱口往返索道门票成人票\n\n': ['¥50起'], '含鄱口往返索道门票儿童票\n\n': ['¥30起'], '含鄱口单程索道门票成人票\n\n': ['¥30起']}",,1
牯岭街Guling Street,http://travel.qunar.com/p-oi711874-gulingjie,"

地址:
九江市庐山区庐山风景区内


电话:
0792-8296565

",庐山牯岭街是庐山景区的中心，海拔1100米高，是名副其实的天街。牯岭街三面环山，一面峡谷，东为大月山，西有大林山。南为牯牛岭，北临剪刀峡豁口，自东向西略成弧形形成半边街的特色。站在街心公园，可以眺望九江古城、长江玉带，为休闲、消遣、娱乐的理想场所，也常是庐山旅游者的首到之地。牯岭街商店鳞次栉比，有邮局、银行、电影院、大会堂等，有接待国际国内旅游者的庐山大厦、云中宾馆、芦林饭店等，共有宾馆饭店、招待所、休养所30余处，还有西式别墅1400余栋，拥有接待旅客的床位13000多张，其中高档床位380张，仅1983年就接待了中外旅游者220万人次。一般来庐山的游人都要首先到达牯岭街，旅客可在此安排住宿，以牯岭街为出发地选择游玩路线，既为即将游览作准备，又解决了食宿的后顾之忧。,全天开放,https://img1.qunarzz.com/travel/d5/1707/fb/a0d9aefbe2fa94b5.jpg_480x360x95_29303dcd.jpg,4.5,建议游览时间：1小时 - 2小时,夏秋季,"{'庐山浓缩1日游 原创迷你8人团全景览遍不留遗憾可升索道登山\n\n': ['¥499起'], '山顶主景区庐山1日游 含鄱口+锦绣谷+美庐 旅游车直达山顶\n\n': ['¥50起'], '山顶主景区庐山1日游 含鄱口锦绣谷仙人洞美庐游三叠泉源头\n\n': ['¥229起']}",,1
芦林湖Lulin Lake,http://travel.qunar.com/p-oi714013-lulinhu,"

地址:
九江市庐山东谷芦林盆地


电话:
0792-8296565

",芦林湖位于江西省九江市庐山区海拔1040米的东谷芦林盆地，故又称东湖。芦林湖四周群山环抱，苍松翠柏，湖水如镜，似发光的碧玉镶嵌在林荫秀谷之中，在缥缈的云烟衬托下，犹如天上神湖。此处原是芦草丛生、野兽出没的芦林谷地，介于玉屏、星洲两峰之间。1954年此地筑坝蓄水，于是高峡出平湖，青山绿水，山色倒影，相映成趣，为庐山添了一处胜景。从黄龙寺沿石阶曲径上行约20分钟，便到芦林大桥。一路密林蔽日，树干高耸挺拔，夏日人行其间颇感凉爽。,全天开放,https://img1.qunarzz.com/travel/d5/1611/64/7557d89100722db5.jpg_480x360x95_3202098b.jpg,4.6,建议游览时间：1小时 - 2小时,四季皆宜,"{'庐山网红1日游【12人上限团一日览尽三叠泉纯玩市区上门接】\n\n': ['¥239起'], '庐山精品1日游 上山顶23个主景点 赠云雾茶 可选16人团\n\n': ['¥52起'], '庐山山顶1日游 去哪直营赠茶 主景区23个景点 可选16人团\n\n': ['¥158起']}",,1
如琴湖Ruqin Lake,http://travel.qunar.com/p-oi706363-ruqinhu,"

地址:
九江市庐山市庐山风景区内


电话:
0792-8296565

",如琴湖浩浩荡荡又不失秀丽雅致。因湖岸曲线玲珑，湖面酷似一把媚人的小提琴，加之湖边的石上有古人刻的“如琴”二字，故得名。湖半边近靠花径园内，又叫花径湖。有曲桥通往湖心岛，园中繁花似锦，曲径通幽，湖光山色，风景如画。花径相传是唐代诗人白居易咏诗《大林寺桃花》的地方，园中建有“白居易草堂陈列室”。白居易石像立于湖畔。花径亭中一横石上刻有“花径”二字，传说系白居易手书。传说，白居易被贬任江州（九江）司马时，曾来庐山游览，当时正值暮春，白居易有感于山下桃花已落而此处桃花仍盛开，故人们也称此地为“白司马花径”，并建造了“景白亭”。,全年 全天开放,https://img1.qunarzz.com/travel/d1/1707/12/7dbae2b0279f9b5.jpg_480x360x95_43744e79.jpg,4.6,建议游览时间：1小时 - 2小时,春秋为佳,"{'庐山网红1日游【12人上限团一日览尽三叠泉纯玩市区上门接】\n\n': ['¥239起'], '庐山浓缩1日游 原创迷你8人团全景览遍不留遗憾可升索道登山\n\n': ['¥499起'], '庐山精品1日游 上山顶23个主景点 赠云雾茶 可选16人团\n\n': ['¥52起']}",,1
