名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
红星火山地质公园Red Star Volcano Geopark,http://travel.qunar.com/p-oi707217-hongxinghuoshandizhigong,"

地址:
Z302


电话:
13796486262

",红星火山地质公园是继五大连池之后又新发现的火山地质奇观。这里大片的火山溶岩、石海以及周边多样生态类型为动植物提供了良好的生存环境。丹顶鹤、驼鹿等国家1、2级保护动物达47种，植物511种，被誉为“黑龙江动植物资源保护区”。公园按照地质遗迹与自然景观，划分为四个大类，即：火山地貌景观、水体景观、构造地貌景观、森林湿地景观。按照这四个类别又进一步规划设计了八个景区，即：水上冰上游览景区、石海探险景区，火山口观光景区，地宫探奇景区、半砬山景区、二皮漂河流景区、林区风情园景区、农业观光景区。,全年 全天开放,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/fusion/20195/4bb9f9fc9364935fb5a54de8a617fd53.jpg_480x360x95_93c8538d.jpg,4.6,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
汤旺河国家公园,http://travel.qunar.com/p-oi709541-tangwangheguojiagongyuan,"

地址:
伊春市汤旺河区


电话:
0458-3574024

",,8:00-17:30,https://img1.qunarzz.com/travel/poi/1408/27/c0e6dbe9d7ed22d1ffffffffc8d65eac.jpg_480x360x95_e58a2ff7.jpg,4.4,,,{'汤旺河国家公园林海奇石风景区手机电子导览服务大小同价\n\n': ['¥0.5起']},汤旺河石林风景区旅游注意事项1、 早晚温差大，多备一些衣物；2、 适宜穿旅游鞋或平底鞋，及宽松的衣服；3、 准备一些花露水、邦迪药贴、感冒拉肚药备用；4、 按提示和标识游览，确保安全。每年3月15日-6月15日，9月15日-11月15日为森林防火期，此期间游览绝对禁止烟火。,1
小兴安岭植物园Xiaoxing'anling Botanical Garden,http://travel.qunar.com/p-oi703990-xiaoxinganlingzhiwuyuan,"

地址:
伊春市伊美区山河大道西50米


电话:
0458-3079901

", 小兴安岭植物园，建立于1978年，位于黑龙江省伊春市的市区内，这是全东北较大的植物园，在此栽植的植物数不胜数，种类达到300种之多。园内的广场上矗立着一座雕塑，雕塑高高的举着北方代表性植物红松的果实，寓意这片北国林海将会生生不息的时代相传。植物园是小兴安岭植物园中的一处重要园区，这里展示和培育着约327种小兴安岭特产的野生药植物，五味子、人参、党参、黄芪等等重要材在此都设有栽培区域。除了东北当地的植物外，植物园还引进了不少国外物种，比如日本的落叶松、美国的班克松和欧洲的赤松，这股异域林风相信会让你印象深刻。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/83bbe8cd0027a996857431b43c0d7748.jpg_480x360x95_8454032f.jpg,4.5,建议游览时间：3小时 - 4小时,,具体收费情况以现场公示为主,,1
中国林都木雕园China Lindu Mudiao Yuan,http://travel.qunar.com/p-oi722729-zhongguolindoumudiaoyuan,"

地址:
伊春市伊春区花园路


电话:
0458-3616234

",中国林都木雕园建于2002年4月，位于林都伊春市伊春区花园路畔，占地8800平方米。是伊春市彰显人文特色、艺术品位的重要景观。 整个园区设计采取了功能与景观、雕塑与设施相结合的手法，把林区的传统文化与现代造型的结合起来，突出“自然与生命”的主题思想。根据花园路西畔的地形特点，将木雕园区划分为牌坊景观区、木雕牌廊区、中心观赏区、休闲娱乐区四个部分。每一部分主题相对明确，又能相互联系，形成一个有机整体。,全年 8:00-18:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/b28a208cc8e8e8f2598c7537d6ce61ea.jpg_480x360x95_bec93d62.jpg,4.6,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
嘉荫恐龙国家地质公园Heilongjiang Jiayin Dinosaur National Geology Park,http://travel.qunar.com/p-oi709238-jiayinkonglongguojiadi,"

地址:
伊春市小兴安岭北部嘉荫县城西9公里处


电话:
0458-2626567

",北国之行，除了林海雪原的纵情游玩之外，也可以来恐龙之乡——嘉荫龙骨山逛逛，这里是中国早发现恐龙化石的地方，而嘉荫恐龙国家地质公园正是一个了解曾经生活在中国土地上的庞然大物的好去处。如果说云南和四川所出土的恐龙代表着恐龙的兴起和兴盛，那嘉荫的恐龙便是衰亡的特征。这里蕴藏着大量的化石，种类繁多，保存完好，但是出于环境保护，并没有开挖很多。嘉荫恐龙公园坐落于龙骨山附近，主要展示和收藏了白垩纪晚期的恐龙化石，鸭嘴龙是中国特有的品种，在此你可以看到它的身影...北国之行，除了林海雪原的纵情游玩之外，也可以来恐龙之乡——嘉荫龙骨山逛逛，这里是中国早发现恐龙化石的地方，而嘉荫恐龙国家地质公园正是一个了解曾经生活在中国土地上的庞然大物的好去处。如果说云南和四川所出土的恐龙代表着恐龙的兴起和兴盛，那嘉荫的恐龙便是衰亡的特征。这里蕴藏着大量的化石，种类繁多，保存完好，但是出于环境保护，并没有开挖很多。嘉荫恐龙公园坐落于龙骨山附近，主要展示和收藏了白垩纪晚期的恐龙化石，鸭嘴龙是中国特有的品种，在此你可以看到它的身影。此外，公园展示馆内还有不少珍稀的植被化石，为我国研究古代气候和地理提供了很大的帮助。,营业状态调整频繁，建议提前咨询景区。 开放时间：开放时间8:30-16:30，16:00停止入场。,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/fusion/20208/e351d226ac052081c9a94723f54da4d3.jpg_480x360x95_29bdf606.jpg,4.3,建议游览时间：2小时 - 3小时,,80元,嘉荫恐龙国家地质公园旅游小贴士市内交通伊春客运站有车可直达嘉荫，车程大约4小时，车票35元。最佳出游时间伊春地处东北小兴安岭腹地，受北温带大陆性季风气候影响，四季分明，春季多风，夏季温热、短暂，雨水较多，冬季尤为寒冷，而且干燥、漫长，年平均气温在2℃左右，是我国气温最低的城市之一。最佳出游时间在5-7月，但秋、冬季也有其特色风光。,1
茅兰沟国家森林公园Maolangou National Park,http://travel.qunar.com/p-oi708451-maolangouguojiasenlin,"

地址:
黑龙江省伊春市嘉荫县向阳乡


电话:
0458-6198322,0458-2687322

",茅兰沟国家森林公园，位于伊春市嘉荫县。茅兰沟是由亿万年板块迁移挤压而成的一处深谷，有着茂密的树林和纯净的溪流，山谷还有不少奇趣独特的嶙峋怪石，对于喜欢自然风光的游客来说非常值得一看。茅兰沟高海拔仅为400多米，非常适合登高健行的人们来此一爬。爬山的过程中也不会特别无聊，林间有不少秀丽瀑布，飞泻而下的风采虽不比尼亚加拉那么雄伟壮观，但也小家碧玉别有美感。这里虽然名气上远不如九寨沟，但是它胜在幽静。这里的大峡谷也特别让人惊艳，虽然不如塞北的荒凉，但是峡...茅兰沟国家森林公园，位于伊春市嘉荫县。茅兰沟是由亿万年板块迁移挤压而成的一处深谷，有着茂密的树林和纯净的溪流，山谷还有不少奇趣独特的嶙峋怪石，对于喜欢自然风光的游客来说非常值得一看。茅兰沟高海拔仅为400多米，非常适合登高健行的人们来此一爬。爬山的过程中也不会特别无聊，林间有不少秀丽瀑布，飞泻而下的风采虽不比尼亚加拉那么雄伟壮观，但也小家碧玉别有美感。这里虽然名气上远不如九寨沟，但是它胜在幽静。这里的大峡谷也特别让人惊艳，虽然不如塞北的荒凉，但是峡谷中却有一种遒劲之感。风景区内有几处较为有名的石头不可不去，石头人和石头老太太是其中翘楚，它们栩栩如生，在大自然鬼斧神工的刻画下，竟然有着形似人的神韵。除了奇石，山林的四季风景更是有着迷人的韵味，或是春意盎然生机勃勃，野花遍野点缀山坡；或者银装素裹，积雪纯净，造就壮丽的北国风光。,全年 06:00-18:00,https://img1.qunarzz.com/travel/d5/1610/2b/a0270d1b51bc00b5.jpg_480x360x95_92a6085b.jpg,4.4,建议游览时间：3天,,65元,,1
上甘岭溪水国家森林公园Xishui National Forest Park,http://travel.qunar.com/p-oi722700-shangganlingxishuiguo,"

地址:
伊春市上甘岭区204省道伊嘉路24公里处上甘岭林业局溪水林场施业区内


电话:
0458-3833015

","上甘岭溪水国家森林公园是国家4A级景区，距伊春仅28公里。公园东西6.5公里，南北宽4.5公里，总面积为1.684公顷。公园自然分成两个三角形，交通十分便利，已初步形成休闲渡假旅游观光的优势，也是伊春“生态旅游”绿色通道上令人瞩目的亮点。    上甘岭溪水国家森林公园以""世外桃源""般的优雅将浓浓的乡土气息和别致的异国风情融为一体,既有独特的自然景观,也有颇具特色的人文景观, 溪水国家森林公园具有得天独厚的地理位置，不但景色怡人，而且生物多样，极为丰富，是“天保工程”重点生态公益区。    上甘岭溪水国家森林公园景色迷人而壮观,是您休闲,度假.旅游,观光的好地方,也是伊春""生态旅游""通道上令人瞩目的亮点.，上甘岭溪水国家森林公园内主要景点有蘑菇亭、山峰亭、将军亭、长青亭、哨兵树、猎人屋、风倒树、猴头树、獾子洞等，游人可以过盘山道、走悬索桥、桥下山泉水溪、清澈见底，美不胜收。",全年 07:30-17:00,https://img1.qunarzz.com/piao/fusion/1810/4b/b101293b79464002.jpg_480x360x95_9b450ffc.jpg,4.5,建议游览时间：3天,,40元,,1
美溪回龙湾度假村,http://travel.qunar.com/p-oi704510-meixihuilongwandujiacun,,,,,,,,,,1
兴安塔Xin'an Tower,http://travel.qunar.com/p-oi704082-xinganta,"

地址:
黑龙江省伊春市伊美区兴安森林公园

",兴安塔是仿古式宝塔建筑，呈六角型，钢筋混凝土结构，塔身为白色，塔高约67米，共11层。塔的周围建有森林公园，林海莽莽，空气清新。塔兼有防火瞭望与旅游观光双重功能，塔身高出群山，矗立于红松林之中，在群山和丛林的映衬之下，格外雄伟壮观。塔顶架设有高倍望远镜，可瞭望方圆几十公里的森林。登上塔顶，极目远眺，可俯瞰伊春城区全貌，一览林都的秀美风光。通往兴安塔的盘山路穿过风景林带蜿蜒而上，盛夏时节，花红绿草，林木葱茏，风光秀丽，景色宜人，是伊春市重要的人文景观。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/4841f76f8b0a8b76d2da17e068dff2fa.jpg_480x360x95_a29e6255.jpg,4.0,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
丰林自然保护区Fenglin Natural Reserve,http://travel.qunar.com/p-oi707164-fenglinziranbaohuqu,,是红松，东北“林海”的大主角，茂密成长的家园。红松是北方非常有代表性的树木，挺拔苍劲，高耸入云，丰林保留着较为完整的生态环境，这里的红松基本都有百年以上的树龄了，在古木参天的林间行走，应该有种别样的情怀吧，远离尘嚣，被这片绝世安宁尽情的环抱着。此外，丰林保护区还是很多野生动物的栖居地，马鹿是这里的常客，它们轻盈谨慎的穿行其中，不愿被人们打扰，林间自由自在飞舞的是山雀，它们喜爱鸣叫，清脆悦耳，好不欢快。棕熊、猞猁、野猪也是保护区的居民，我们游玩于此，可要注意安全哦。保护区设立了一处40米高的展望台，人们可以登高纵览山景，也可以在底层的标本馆了解这里野生动植物的一些知识，非常值得一去呐。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/8de355914b88add73351999abce844d5.jpg_480x360x95_7c3edb54.jpg,4.0,建议游览时间：4小时 - 5小时,,具体收费情况以现场公示为主,,1
