名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
槟榔谷Binlang Ethnic Village,http://travel.qunar.com/p-oi722215-binlanggu,"

地址:
保亭黎族苗族自治县三道镇甘什岭槟榔谷


电话:
0898-38661116,0898-38660315


官网:
http://www.binglanggu.com/

",海南槟榔谷黎苗文化旅游区创建于1998年，地处北纬18°，位于保亭县与三亚市交界的甘什岭自然保护区境内。景区坐落在万余棵亭亭玉立、婀娜多姿的槟榔林海，并置身于古木参天、藤蔓交织的热带雨林中，规划面积5000余亩，距亚龙湾海岸26公里，距三亚市中心28公里。 槟榔谷因其两边森林层峦叠嶂，中间是一条延绵数公里的槟榔谷地而得名。景区由非遗村、甘什黎村、谷银苗家、田野黎家、《槟榔·古韵》大型实景演出、兰花小木屋、黎苗风味美食街七大文化体验区构成，风景秀丽。景区内还展示了十项国家级非物质文化遗产，其中“黎族传统纺染织绣技艺”被联合国教科文组织列入非物质文化遗产急需保护名录。槟榔谷还是海南黎、苗族传统“三月三”及“七夕嬉水节”的主要活动举办地之一，文化魅力十足，是海南民族文化的“活化石”。﻿,全年 08:30-18:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/e9ac2a7f885e3bf91fed72f7ff221451.jpg_480x360x95_36fa7a1f.jpg,4.4,建议游览时间：3小时 - 4小时,12月至来年4月。这时的三亚气候舒适，是个避寒的好去处，没有了夏季的炎热，也避开了台风季节。,"{'槟榔谷门票成人票\n\n': ['¥94起'], '槟榔谷黎苗文化区门票儿童票\n\n': ['¥48起'], '槟榔谷黎苗文化区门票学生票\n\n': ['¥48起']}",,1
保亭常青茶溪谷Baoting Evergreen Tea Valley,http://travel.qunar.com/p-oi20975392-baotingchangqingchaxi,"

地址:
保亭县响水镇毛岸片五指山茶场内


电话:
0898-83868666

",保亭常青茶溪谷密布着大面积的热带雨林，是世界仅存为数不多的热带雨林之一。保亭常青茶溪谷充分利用高山峡谷、溪流深涧、陡峭密林等天然雨林奇险景观，打造攀爬、骑马、漂流、制茶品茗、雨林探险、苗王寨等60多个旅游项目。,8:30-18:00；最晚取票入园时间：17:00；具体开放时间以景区公示为准。,https://img1.qunarzz.com/piao/fusion/2006/15/a44ae06617a96b02.jpg_480x360x95_5ab7452f.jpg,3.8,建议游览时间：2小时 - 5小时,,"{'保亭常青茶溪谷门票+观光车票成人票\n\n': ['¥58起'], '保亭常青茶溪谷门票+观光车票大小同价\n\n': ['¥58起'], '保亭常青茶溪谷门票+往返车票成人票\n\n': ['¥58起']}",,1
神玉岛Shenyu Island,http://travel.qunar.com/p-oi10092158-shenyudao,"

地址:
保亭县响水镇毛真水库神玉岛文化旅游度假区


电话:
0898-83885111

",神玉岛位于毛岸毛真水库，环湖而建，山水相依，是海南热带生态雨林的腹地，拥有山地湖泊、原始热带生态雨林、千年荔枝树、森林溪谷、亿万年活化石-桫椤丛林和桃花水母等自然奇观。依托碧玉湖和周边热带山地雨林而建，为水库型水利风景区。,8:30-17:30；具体开放时间以景区公示为准。,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/e6d88707f5c25fb980d5f7b67658260c.jpg_480x360x95_5bd575f7.jpg,4.5,建议游览时间：12小时 - 3天,,"{'神玉岛门票成人票\n\n': ['¥52起'], '神玉岛门票优待票\n\n': ['¥33起'], '神玉岛门票+观光车票+游湖票成人票\n\n': ['¥108起']}",,1
呀诺达雨林文化旅游区Yanoda Rainforest Cultural Tourism Zone,http://travel.qunar.com/p-oi5765060-yanuodayulinwenhualu:,"

地址:
保亭县保城镇三道镇三道农场（G224国道旁）


电话:
0898-83881101,0898-83883333


官网:
http://www.yanoda.com/

","海南呀诺达雨林文化旅游区位于海南省保亭黎族苗族自治县三道镇，处于大三亚旅游经济圈的黄金区位，比肩五指山，毗邻七仙岭，咫尺海棠湾，是中国地处北纬18°的热带雨林，2012年成为海南第三家“国际AAAAA级风景区”、并被认定为“国家文化产业示范基地”。景区资源优厚，钟灵毓秀，是集雨林观光、趣野探索、休闲娱乐、民俗风情、文化交流于一体的多元复合型旅游风景区。呀诺达景区雨林资源得天独厚，生态环境类型多样，孕育着丰富的原生态植被，有1400+种乔木，140+种南药，80+种热带花卉，山峦叠翠，林木葱郁，花叶纷繁，浓缩了海南本土植物生命基因库；同时地貌丰富，地势变幻，有丛山叠岭、千岩竞秀，亦有飞瀑激荡，溪泉清幽……堪称现代社会的天然雨林博物馆。【推荐游览路线】A线:游客中心出发——乘坐雨林巴士抵达哇哎噜玻璃观景平台：体验哇哎噜玻璃观景平台、魔鬼秋千、悬崖观海秋千、高空滑索项目——游览雨林谷：漫步雨林栈道，观赏雨林奇观——抵达萌宠乐园：亲近雨林萌宠，体验零距离投喂等互动——前往湿地景观区，体验雨林拓展等探险项目——乘坐雨林巴士返回大门景观区三道谷徜徉山水间，雨林“森”呼吸三道谷天然落差高达300米，地势起伏、沟谷纵横，置身于此，静享北纬18°的雨林清凉。你可以在行云流水般的意境中，享受大自然带来的无比愉悦，感受人与自然的和谐。高空滑索穿越丛林，变身空中飞人纵横热带雨林的高空滑索，滑行时速为3米/秒，单程达608米，落差可达70米。从起始站到终点站仅需3分钟。在空中鸟瞰热带雨林，自由呼吸着新鲜的空气，感受高空雨林之壮观，体验惊、奇、险的高空滑翔的惊心动魄。踏瀑戏水穿梭飞瀑流泉，打卡奇山异水踏瀑戏水共设有十个关卡，分别为人猿泰山，水中浮桥，穿越低桩网，蹒跚学步，步步高升，勇过摇晃桥，步步为营，一线天，穿越梦想，攀爬莲恩瀑布关卡。两岸岩石耸立，热带雨林遮天蔽日，在教练的带领下穿上草鞋，迎着湍急的水流，溯溪直上。悬崖观海秋千荡漾云端，感受雨林的浪漫悬崖观海秋千尖叫指数200%，垂直高度达300余米，秋千8米高，150°惊险回荡，9重安全保险。尖叫时还能感受呼呼风声在耳边回荡，徜徉在山野中拥揽秀美山海景色，感官和视觉都经历酣畅淋漓的体验，呀诺达玩的就是心跳。魔鬼秋千玩嘢雨林，开启“疯狂原始人”的奇幻之旅魔鬼秋千至高摇150度,距崖底悬空高度达180 米,时速可达每小时120千米。乘坐秋千设备从50米高空跌落下来，惊险和刺激让你肾上腺素急速飚高，挑战人体极限，开启“疯狂原始人”的奇幻之旅。哇哎噜玻璃观景平台漫步云间，近观山海哇哎噜玻璃观景平台，集108米长的360度悬空玻璃云台与257米悬崖玻璃栈道于一体，身居海拔450米高的五指山秀丽余脉，面向壮美南海，全长365米，最大落差近200米。睁开双眼即是云雾缭绕、波澜壮阔的山海风光，也可俯瞰万亩林木，一碧万顷的魅力模样，沉浸式感受山海天地间的温润交织。",全年 08:30-18:00,https://img1.qunarzz.com/travel/d2/1706/6f/f76fb114f9c8a0b5.jpg_480x360x95_84e8c783.jpg,4.6,建议游览时间：3天 - 6天,3月-5月和9月-10月最佳。此时适合去呀诺达雨林文化旅游区，可以品尝地道的养生大餐。,"{'呀诺达雨林文化旅游区门票+游览车+鹦鹉表演+萌宠乐园票成人票\n\n': ['¥168起'], '呀诺达雨林文化旅游区门票+游览车票儿童票\n\n': ['¥114起'], '呀诺达雨林文化旅游区门票+游览车票老人票\n\n': ['¥114起']}",踏瀑戏水活动设在呀诺达雨林深处，落差200米的梦幻谷中；体验者可以穿上草鞋，带上头盔，体验穿越激流险滩的惊险与刺激；在体验飞瀑戏水的同时，还可以观赏梦幻谷的瑰丽景观（为安全起见，景区配备了专业教练和防护设备）。,1
七仙岭温泉国家森林公园Qixianling (Seven Fairies Ridge) Hot Spring National Forest Park,http://travel.qunar.com/p-oi7468844-qixianlingwenquanguojia,"

地址:
保亭黎族苗族自治县七仙岭温泉旅游区1号七仙岭温泉国家森林公园


电话:
0898-31833888


官网:
http://www.mountqixian.com/

",七仙岭温泉国家森林公园位于保亭黎族苗族自治县的东北边，包括温泉区和森林区两部分，其魅力在于温泉、奇峰、民族风情和热带田园风光。七仙岭温泉国家森林公园主要分三个游览区域，七仙岭国家公园体验之旅、热带雨林猎奇之旅、探险登峰之旅。七仙岭七座山峰以似人的掌指竖立，直指苍穹，如仙女亭立，岭名由此而得。前峰高大，海拔1126米，后六峰相依而小。七仙岭地区气候温润，年平均气温23摄氏度，全山密布原始热带雨林，是天然的动植物王国。当晨雾浮盖时，远眺中的七仙岭，酷似七位姐妹披着薄纱直立，端庄窈窕；时近中午，云雾消散，此时的七仙岭又象七把利剑直指云天，气势十分雄伟。,7:00-17:00,https://img1.qunarzz.com/travel/poi/1408/26/dd749e9adbfe26ddffffffffc8d65eac.jpg_480x360x95_e7ef3c90.jpg,4.5,建议游览时间：3天,,"{'七仙岭温泉国家森林公园门票成人票\n\n': ['¥35起'], '七仙岭温泉国家森林公园门票儿童票\n\n': ['¥23起'], '七仙岭温泉国家森林公园门票学生票\n\n': ['¥23起']}",,1
保亭热带植物园Redai Botanical Garden,http://travel.qunar.com/p-oi712437-baotingredaizhiwuyuan,,热带植物园位于保亭县城南3公里的保亭热带作物研究所内，占地10公顷，种有30多个国家热带经济作物和国内珍贵的热带、亚热带植物，共有91科、420种。热带植物园园内分热带作物标本区、热带果树区、热带经济作物区、南药区、热带林木区、花卉观赏区、油料作物区，种有神秘果、人心果、面包果、红毛丹、油梨、牛油果等稀奇古怪的热带植物。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/a472f55fabeac12afc850b765ba9f029.jpg_480x360x95_e948fe8c.jpg,3.4,建议游览时间：2小时,,具体收费情况以现场公示为主,,1
七仙岭温泉,http://travel.qunar.com/p-oi7528470-qixianlingwenquan,"

地址:
海南省保亭黎族苗族自治县七仙岭温泉旅游区1号七仙岭温泉国家森林公园	

",温泉温度最高可达95℃，现有自喷泉眼7只，日出水量7000多吨，含有多种微量元素，温泉水属硅酸重碳酸钠型水，日出水量3800多L，是海南岛探明的出水量最大、温度最高的温泉，具有清净肌肤、美容、医疗保健等功效。现已建成数家温泉度假村，可供游客度假休闲，活动内容有矿泉疗养康复、观赏民族风情、参加登山观景等。,08:00-22:30,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/ca15dd0f2a4200e33c417529fd1f328d.jpg_480x360x95_127bbe0c.jpg,5.0,建议游览时间：6小时,四季皆宜。,30元,,1
琼崖古城,http://travel.qunar.com/p-oi39160662-qiongyagucheng,,,,,0.0,,,,,1
什玲影视城,http://travel.qunar.com/p-oi38674608-shenlingyingshicheng,,,,,--,,,具体收费情况以现场公示为主,,1
布隆赛萌宠乐园,http://travel.qunar.com/p-oi38335587-bulongsaimengchongleyuan,,"“布隆赛萌宠乐园”位于海南保亭三道镇布隆赛热带雨林国际旅游区，占地面积约5000平，拥有十几种可观赏可互动的萌宠动物。
感受大自然，布隆赛萌宠乐园带你嗨，领略自然美好风光！【小浣熊】小浣熊干脆面曾伴随很多人度过难忘的童年，包装袋上的小浣熊憨态可掬，形象各异，令人喜爱。鉴于小浣熊干脆面超强的“群众基础”，于是不少人又将小浣熊称之为“干脆面君”。【巴马小香猪】现在的宠物可真是越来越另类，居然有""前卫""人士牵着小猪一头上街遛达。当然，此猪 迷你香猪形态图非彼猪，乃憨态可掬、小巧玲珑的宠物""香猪""。小香猪在猪家族中属于""天资聪颖""一类，活泼好动，很通人性，会认主人，只要主人对它好，他也会以好的表现来回报主人。【荷兰猪】西班牙、荷兰和英国商人把豚鼠带到欧洲之后，这种动物迅速成为上层社会和皇室的时髦宠物，甚至伊丽莎白女王也饲养豚鼠。想知道还有哪些萌宠动物，快来探索吧，还可以互动喂食呦！！！
",,,5.0,,,,,1
