名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
白石山世界地质公园Baishishan World Geopark,http://travel.qunar.com/p-oi706175-baishishanshijiedizhi,"

地址:
保定市涞源县城南15公里处白石山景区


电话:
400-843-8433,0312-5366056


官网:
http://www.lybss.cn/

","白石山景区又称白石山世界地质公园，是国家5A级旅游景区、国家森林公园。白石山景区位于涞源县城南15公里处，因山多白色大理石而得名，拥有我国独特的大理岩峰林地貌。白石山最高峰佛光顶海拔2099米，号称“太行之首”，景区有“三顶、六台、九谷、八十一峰”，主脊线长7000 余米，最高峰海拔2096米，是华北平原西北隆起之龙首。白石山奇峰林立，绝壁横陈，险壑纵布，到处直上直下如刀削斧劈，少曲线，多棱角。白石山核心的大理岩峰林处于原始自然状态，具有很高的科学价值和观赏价值。白石山集峰林、栈道、峡谷、森林、云海、佛光、长城等景观于一体，夏季平均温度21.7摄氏度，负氧离子含量高，是登山祈福、表达爱情、健身康养、避暑纳凉的胜地，被称为京津冀和雄安新区的“后花园”。
 白石山景区因建成全国最高、最宽、最长的玻璃栈道而扬名全国及海外。海拔1600-2100米的悬崖绝壁上全长达16公里的绝壁悬空栈道、独特的地理位置和气象条件造就的奇特壮美的云海奇观、世界罕见的红桦林形成的童话世界、华北地区海拔最高设施最好的尚云间酒店、与山崖完美融合的自然角落咖啡厅等等，都使得白石山成为独一无二的存在。
",8:00-18:00,https://img1.qunarzz.com/travel/d0/1707/75/7648ac1638b02b5.jpg_480x360x95_5249b318.jpg,4.6,建议游览时间：12小时 - 3天,夏季和秋季,"{'白石山世界地质公园门票+东门祥云门往返索道门票成人票\n\n': ['¥260起'], '白石山世界地质公园+东门祥云门往返索道票学生票\n\n': ['¥132起'], '白石山世界地质公园+东门祥云门往返索道票老人票\n\n': ['¥70起']}",1、涞源早晚温差大，需带长袖衣服、旅游鞋、常用药品及雨具。2、景区路面均以硬化适合各种车辆通行3、景区自费项目如骑马、滑竿、索道、土特产、烧烤等请根据自己实际情况或参考导游建议慎重选择，注意安全和谨防上当受骗。4、景区多为山路，请按景区内的指定旅游线路游览，注意安全。,1
白洋淀风景区Baiyang Lake,http://travel.qunar.com/p-oi712933-baiyangdianfengjingqu,"

地址:
河北省保定市雄州镇白洋淀温泉城码头游客中心


电话:
0312-5356112


官网:
http://www.baiyangdian.biz/

",白洋淀位于河北省中部，距离北京市区和天津市区的车程均约140公里，是京津地区周末短途的理想去处。这里有绵延无尽的芦苇荡，水路纵横其间，环境优美。每年七月，大片的荷花开放，更是美丽异常。景区里现建设了几大景点，既有以水淀荷花为主体的自然风光，也有以抗日历史为背景的人文建筑，还有表演等项目，内容丰富。另外景区内的农家众多，可以在农家里品尝河鲜、吃莲藕、看捕鱼，体验悠闲的水乡生活。白洋淀景区面积较大，内部的纵深有几十公里，淀内有一些小岛，被开发成几大景区。小岛与陆地之间没有通路，只能通过游船前往，所以进入白洋淀景区要乘船。从白洋淀安新码头开始，这里也是景区大门的所在地，需要在此处交入淀费（相当于大门票）及租船。租船十分方便，船的大小规模多样，既有快艇也有小木船，一般包一艘4人的手划船一天约150元左右，可以不限时带领游客前往各个景点。快艇大概40-60元左右一小时。如果是住宿在当地农家的还可以不租船，让农家的老板开船来接，并带领去各个景点，船费一般都会包含在住宿费内，有时还能帮忙省掉入淀费，比单独租船实惠很多。现在景区内有荷花大观园、异国风情园、白洋淀文化苑、元妃荷园、白洋淀宝岛、渔人乐园、休闲岛、鸳鸯岛等景点，这些景点内容多有重复，无需全部参观，一般游客的时间也不允许，2到3个景点即可。荷花大观园、异国风情园和白洋淀文化苑是景区中比较有名的景点，可以根据自己兴趣选择。荷花大观园是白洋淀有名的景点，这里有几百种中外荷花，是全国规模较大、荷花数量较多的荷园，每年的7月份来此，满塘荷花开放，是观赏摄影的好地点。大观园里近几年还引进了世界上较大的荷花王莲，荷叶好像巨大的玉盘，直径可以达一米多，能够承受小孩儿站在荷叶上，十分特别。异国风情园是一个以表演为主的园区，在这里可以看到斗鳄、狮子捕食、泰国歌舞、走钢丝等表演，还有鬼屋、异国嘉年华等项目（个别会单独收费）白洋淀文化苑是以人文景观为主，这里有康熙皇帝曾来此地居住时修建的行宫，有纪念战争时期雁翎队故事的纪念馆，还有寺院等建筑，可以一一参观。另外，在白洋淀文化苑旁有一处小岛上还有《嘎子印象》的情景剧表演，表演以搞笑为主，也有很多游客前去观看。住宿餐饮游客在白洋淀时一般都会在淀子里住宿一晚，在休闲岛、渔人岛等景点里都有一些住宿的宾馆，不过这里的宾馆条件有限，价格却不便宜。推荐的住宿地点是王家寨民俗村，这里有多家农家乐，一般都干净整洁，而且价格实惠。预定好房间之后可以让老板开船来接，并带领去景点，还可以观看捕鱼，喝荷叶茶，吃地道的河鱼、河虾、河蟹等农家河鲜，还有华北有名的白洋淀咸鸭蛋，体验地道的水乡生活。一般这里的住宿价位为3-4人间每人100元（含三餐和接送船费）。,01/01-12/31 07:00-16:30,https://img1.qunarzz.com/travel/d3/1707/5f/25f9d71b1e5a5ab5.jpg_480x360x95_bbc76b61.jpg,4.3,建议游览时间：6天,夏季和秋季。每年7月23日至9月23日，是所有种类荷花开得最旺的时候，这也是白洋淀旅游最佳时间。,{'白洋淀电子讲解门票大小同价\n\n': ['¥0.6起']},私人船和白洋淀旅游码头的船价对比看来也许会更实惠，私船大部分都比码头便宜。,1
野三坡Ye Sanpo,http://travel.qunar.com/p-oi702569-yesanpo,"

地址:
保定市涞水县太行山与燕山两大山脉交汇处


电话:
0312-4565701


官网:
http://www.hbysp.cn/

",野三坡景区位于河北保定涞水县，在北京城区西侧约100公里处，是京郊欣赏自然风光、避暑游玩的胜地。野三坡是景区群的统称，有峡谷峭壁、高山草甸、溶洞奇观、河流风光等多种风景，各有特色。每年的四月到十月来此看山玩水、探洞漂流，十分惬意。野三坡景区群以三坡镇为中心，主要有百里峡、清泉山、白草畔、鱼谷洞、龙门天关和拒马河几个景区，各个景区单独售票。景区间距大约在10-30公里左右，景区间没有区间车，推荐自驾出行，也可以在三坡镇的旅馆找当地小车包车游玩，一般一日的普通线路每人往返约需几十块钱。到野三坡旅游，一般需要一至两天。比较推荐的线路之一：第一天游玩百里峡景区，晚上观看印象野三坡的演出。第二天上午游览白草畔景区，下午游玩拒马河的溶洞漂流和其他娱乐项目，晚上返程，如果不想去拒马河娱乐的话可以换成鱼谷洞景区观看溶洞。如果时间足够玩三天的话还可以在此基础上添加龙门天关景区，若一日游玩时间会比较紧张，可以只游玩百里峡景区即返程。比较推荐的线路之二：选择清泉山风景区，可提前预订野三坡清泉山酒店，出门游玩更便利，从酒店出门走一两分钟便可到达清泉山风景区，能避免在炎炎夏日赶路之艰辛，尊享清凉度假美好时光。百里峡景区是野三坡里有名且不能错过的一个，可以看到幽深的峡谷中瀑布溪流遍布，有很多陡峭的崖壁怪峰等，比较有名的有“一线天”、“观音石”等景点。峡谷内夏季很凉爽，是京郊一带的避暑胜地。每天晚上，在景区门口内（大门内侧，需要先购买景区门票再买演出票）还有印象野三坡的表演，十分精彩。清泉山风景区与潺潺的拒马河水相依，山内绿树成荫、瀑布成群，更有溶洞、山泉凉爽无比，“清泉山”因此而得名，亦被称为华北最清凉的景区。由于拒马河穿境而过，空气丝润，气候宜人，大气中负氧离子含量高，是名符其实的天然氧仓和自然空调，因兼具景观之多，景色之优美，植被之丰富，且峡谷内仍保持着原始次生林的名贵植物，又被称为北京的后花园。景区内石林、水龙洞、白云观、神女峰、青龙潭、峡谷瀑布等奇观林立，共有一泉六瀑，七十二景，同时建有观光直梯、UFO飞碟、高山无边泳池、云端玻璃吊桥、9D佛手玻璃平台、高山漂流、森林峡谷溶洞漂流、旱滑、快艇、竹排、水上秋千、喊泉、骑马、七彩吊桥、脚踏船等项目，是去野三坡避暑、度假的好地方。白草畔森林公园是另一个重点的景区，可以登上高山草甸远望山峦叠嶂，山间经常飘着云雾。五月份前来还能看到有名的“冰川杜鹃”景观。鱼谷洞是一条长三公里的溶洞，开放的区域大约有1.3公里，里面有钟乳石行程的各种奇特造型，灯光之下很是美丽，适合喜欢观赏溶岩的朋友前去参观。龙门天关与百里峡比较相似，也有很多的峭壁奇峰，比较特色的是景区内的文化长廊和摩崖石刻，充满历史古迹。拒马河不收门票，娱乐项目单独收费，比较有名的是拒马河溶洞漂流（此溶洞与鱼谷洞比较类似，若要观看溶洞选择一个游玩即可），乘竹筏、骑马等，还可以自带器材来此野餐烧烤，非常享受。住宿餐饮游玩两日以上的游客需要在野三坡住宿一晚，野三坡镇上和各个景区附近均有很多的住宿地点，度假村、宾馆、农家等各种标准和价格的住宿都可以找到。比较推荐住在野三坡镇上，小镇依山傍水，与各个景区的距离都适中比较方便，而且夏季的每个夜晚镇上都会有很多人放烟花和孔明灯，河边处还会有人举办篝火晚会，十分热闹。这些住宿地点都会提供餐饮，这一带的农家菜和河鱼比较有名，还有烤全羊等特色食物，价格一般不会太高，可以品尝一下。如果就想住在景区边上，出门就能游玩，可以选择野三坡清泉山酒店，它与清泉山景区相依而建，直线距离仅约百米，不过节假日或旺季时，酒店客房预订比较火爆，建议提前抢订。,全年 07:30-16:30,https://img1.qunarzz.com/travel/d4/1707/ea/04b717b7b0f3a8b5.jpg_480x360x95_ee03edc1.jpg,4.7,建议游览时间：3天 - 9天,夏季和秋季,"{'野三坡百里峡门票成人票\n\n': ['¥50起'], '野三坡鱼谷洞门票成人票\n\n': ['¥32.5起'], '野三坡手机智能讲解（不含门票）服务大小同价\n\n': ['¥5.3起']}",1、北京西火车站乘坐6437次火车，发车时间17:45，到达野三坡镇时间为20:29，硬座票价6.5元，到达百里峡景区时间为20:44，硬座票价7.5元。2、北京天桥公交总站每天7:30-8:30有发往百里峡景区的直通车，票价38元，车程约3小时。,1
百里峡Bailixia,http://travel.qunar.com/p-oi702973-bailixia,"

地址:
保定市涞水县野三坡镇苟各庄村


电话:
0312-4568114,0312-4563988,0312-4563138

",百里峡景区位于保定市涞水县三坡镇，十渡景区西侧，距离北京市区的车程约150公里，是野三坡风景名胜区内重要的景点。百里峡景区以狭长幽深的峡谷为主，来此可以观看壮观陡峭的峡谷山势，欣赏谷内的溪流、瀑布等。夏季时，景区里十分清凉，也是避暑游玩的好地方。百里峡内共分为海棠峪、十悬峡和蝎子沟三条峡谷，目前蝎子沟还未开发，海棠峪和十悬峡可以游玩。两条峡谷呈环形，海棠峪在右侧，十悬峡在左侧。峡谷的入口均位于距离景区大门约2公里处的牛角峰附近，从景区大门到牛角峰有区间车相通，单程10元，往返18元。两条峡谷在深处都通向天梯，天梯是一条2800多阶的石阶路，左右两侧各有一半，中间的较高处为天亭，从两侧天梯入口爬到天亭均需要1小时左右，两侧也都有上下天亭的缆车，单程50元，乘坐两侧联程或单侧的往返均是90元。游客游玩百里峡一般都是走大循环路线，即从一条峡谷进，另一条出，全程大约8.5公里，需要4-5小时，途中也可以选择乘坐单程或双程索道。若乘坐单程则推荐下山时乘坐，因为在陡峭的天梯步行，下山要比上山更费力。时间或体力不足的游客也可以走小循环，即仅游玩1条峡谷，不走天梯，在天梯脚下即原路返回，小循环的长度大约3公里，1.5小时左右即可。若走小循环，推荐选择海棠峪路线，这条峡谷的景色相对丰富一些。海棠峪峡谷是景区内景色较集中的地带，这里的峡谷幽深狭窄，峡谷内有溪水、深潭，还有悬挂在岩壁上的瀑布，环境优美。峡谷内有老虎嘴、爽心瀑、一天线、金线悬针、回首观音、虎泉等众多景点。其中的一线天幽狭深邃，非常壮观。回首观音则是自然形成的神似观音立像的石柱，也可以好好参观一下。另外，每到八月份，峡谷内还会有野生海棠花盛开，可以前来观花拍照。十悬峡是景区内另一条峡谷，因为谷内有几十处呈弧形的悬崖而得名，这条峡谷的特点在于较多的溪水瀑布和形状奇特的内弧形悬崖，行走在期间清新幽静。谷内有抻牛湖、水帘洞、不见天、怡心瀑、怪峰等景点。其中不见天即是由两侧弧形悬崖形成的奇特景观，非常特别。除两条峡谷外，从景区大门到峡谷入口的牛角峰之间也有一些景观，如华容道、落凤坡等，都是92版《三国演义》电视剧的取景地，来此可以好好参观一下。景区内也有多处《三国演义》、《赤壁》、《寻秦记》、《萧十一郎》等景点剧目的取景地，可以注意寻找一下。另外，夏季期间每天晚上，在景区门口还有印象野三坡的表演，十分精彩，表演的票价从90到280元不等，感兴趣的可以前去参观。住宿餐饮：百里峡景区附近有一些农家可以住宿，不过如果要连起来游玩野三坡内几大景点，则推荐住在三坡镇上。小镇依山傍水，与各个景区的距离都适中比较方便。这里农家乐、宾馆和度假村都可以找到。夏季的每个夜晚，镇上都会有很多人放烟花和孔明灯，河边处还会有人举办篝火晚会，十分热闹。在住宿地点内都会提供餐饮，这一带的农家菜和河鱼比较有名，还有烤全羊等特色食物，价位一般不会太高，可以品尝一下。,全年 07:30-17:00,https://img1.qunarzz.com/travel/d4/1604/58/f8cb5df3712992f7.jpg_480x360x95_32a62b20.jpg,4.6,建议游览时间：3小时 - 5小时,,{'野三坡百里峡门票成人票\n\n': ['¥50起']},,1
清西陵Western Qing Tombs,http://travel.qunar.com/p-oi710086-qingxiling,"

地址:
保定市易县西陵镇


电话:
0312-4710016


官网:
http://www.qingxiling.com/

",清西陵位于河北保定易县，距离北京约140公里，是清朝雍正、嘉庆、道光、光绪四位皇帝及多位后妃、阿哥、王公的陵寝所在地。这里的陵园建筑宏伟大气，殿宇、神道、雕塑等或壮丽或精致非常丰富，陵墓内部的装饰也多奢华富丽，可以来此参观并了解曾经的历史。另外，陵园区内种植了大量的松树，现已成为蔚然的古松林，环境清幽古朴。清西陵内陵墓很多，目前值得一看且开放参观的主要有葬有雍正皇帝的泰陵、道光皇帝的慕陵、光绪皇帝的崇陵和嘉庆皇后的昌西陵四座，另外还有崇陵旁的一座藏传佛教寺院永福寺可供参拜。在陵墓的外部观看神道、大殿等建筑并不收费，进入宫殿需要买票，各陵墓和寺院单独售票，同时又有景区销售的联票可以在一日内用来参观所有景点。清西陵的主大门位于G112国道旁的大红门处，几大陵墓和寺院散落分布在大红门北侧的山间，相互之间距离较远，最东侧的崇陵与最西侧的慕陵相距约十几公里，游玩清西陵区域时自驾最为方便，景区内也有电瓶车穿行于各墓之间，电瓶车由私人运营价格需要商量，单程乘坐一次大约10元左右。常规并且比较顺畅游览的顺序是先参观泰陵，然后步行至昌西陵，参观过后乘车前往慕陵，最后乘车至永福寺和崇陵参观。泰陵是清西陵的主陵，雍正皇帝便埋葬于此，这里也是清西陵所有陵墓中最为宏大的一座陵墓，仅神道就有2.5公里（有旅游公路通至陵寝宫门附近，所以神道不需完全步行），建筑大多高大雄伟，众多的石雕、石像生和精致的雕塑镶嵌其间，是参观拍摄宏伟建筑最适宜的地方。昌西陵位于泰陵的西侧，是嘉庆皇后的陵墓，清西陵最为著名的便是陵园内的回音壁，从回音壁的一头轻轻讲话，远在另一头的人便可以清晰的听见，十分神奇，到此可以体验一下。慕陵在清西陵的最西侧，距离泰陵约5公里，是道光皇帝的陵墓。由于道光皇帝在位时清王朝已经开始衰败，所以修建陵墓时少建了明楼、神功碑楼等很多建筑，显得规模很小。但是宫殿内却修建的非常奢华精致，尤其是由金丝楠木雕刻的上百条龙精美无比，值得参观。崇陵位于清西陵最东侧，距离慕陵十几公里，这里是光绪皇帝的陵墓，由当时的国民政府出资修建，建筑上比其他几座简单。崇陵地宫曾经被盗，现在开放出来供游客参观，也是清西陵内唯一开放参观的地宫，可以看到光绪皇帝及隆裕皇后的棺淳所在，地宫内石壁上的雕塑也非常精美，值得一看。除了以上几座陵墓外，清西陵内还有其他很多座陵园，其中有嘉庆皇帝的昌陵、甄嬛原型圣孝皇后所在的泰东陵等都比较著名，虽未开放参观，但可以在外面品味建筑，感怀历史的沧桑巨变。园区内种植了大面积的松树，如今都已古木参天，而且这里的游人不多，环境非常清幽，是摄影访古的好地方。一天时间可以走马观花参观完以上所有景点，但深度游玩或摄影爱好者则需两天或者分两次前来，在大红门和泰陵附近有多家农家乐，价格都比较实惠，一个房间大约几十块，可以在此住宿或用餐。,营业状态调整频繁，建议提前咨询景区。 开放时间：04/01-10/31 08:00-17:30;11/1-3/31 08:30-17:00,https://img1.qunarzz.com/travel/d0/1602/15/d0547138214f3ff7.jpg_480x360x95_42abe0bc.jpg,4.6,建议游览时间：3天 - 6天,夏季和秋季,"{'清西陵门票成人票\n\n': ['¥78.1起'], '清西陵门票老人票\n\n': ['¥40起'], '清西陵门票优待票\n\n': ['¥40起']}",,1
狼牙山Langya (Wolf’s Tooth) Mountain,http://travel.qunar.com/p-oi703739-langyashan,"

地址:
保定市易县狼牙山风景区


电话:
0312-8860915,0312-8861806


官网:
http://www.lysjq.com/

",狼牙山位于保定市易县西部的太行山东麓，距县城约45公里。这里山峰险峻陡峭，因为形状似尖利的狼牙而得名。在狼牙山上曾发生过八路军五位战士与日寇浴血奋战，然后舍身跳崖牺牲的悲壮故事，狼牙山也是因此为人们熟知。狼牙山高度较高，主峰莲花瓣海拔约1100米，山间有多座山峰相连，有索道可乘坐。在狼牙山下、山间和山顶各有一些景点，主要有五勇士陈列馆、五勇士纪念塔、红玛瑙溶洞、西天门和棋盘陀等景点，即可以参观五壮士的英雄事迹，纪念先烈，也可以欣赏拍摄到溶洞风光和壮观的山色，内容丰富。,夏令时  周一至周日   07:00至17:00 冬令时  周一至周日   07:30至16:00,https://img1.qunarzz.com/travel/d1/1705/f5/5e3969ad01f261b5.jpg_480x360x95_bae29837.jpg,4.6,建议游览时间：4小时 - 6小时,,"{'狼牙山门票成人票\n\n': ['¥78起'], '狼牙山门票儿童票\n\n': ['¥40起'], '狼牙山门票学生票\n\n': ['¥40起']}",,1
古莲花池Ancient Lotus Flower Pond,http://travel.qunar.com/p-oi702596-gulianhuachi,"

地址:
保定市裕华西路246号


电话:
0312-2022579,0312-5939956,0312-2032097


官网:
http://www.glhc.org.cn/

",古莲花池，是保定古城八景之一，称“涟漪夏艳”，为我国北方古代园林明珠。总面积为2.4万平方米，其中池水面积7900平方米。池水以中心岛为界分为南北两塘，蜿蜒曲折的东西二渠将两塘沟通一体。南塘呈半月形，外围峭壁环峙，松柏滴翠。北塘呈不规则矩形，四周玉石堆岸，杨柳垂丝。原为张柔居所。古莲花池始建于元朝初年（1277年），原名香雪园，是华北地区古老的园林之一，现为河北省重点文物保护单位。公元1284年被地震震毁，仅存深池清水，繁茂荷花，明代以后的志书，就把它随俗称为...古莲花池，是保定古城八景之一，称“涟漪夏艳”，为我国北方古代园林明珠。总面积为2.4万平方米，其中池水面积7900平方米。池水以中心岛为界分为南北两塘，蜿蜒曲折的东西二渠将两塘沟通一体。南塘呈半月形，外围峭壁环峙，松柏滴翠。北塘呈不规则矩形，四周玉石堆岸，杨柳垂丝。原为张柔居所。古莲花池始建于元朝初年（1277年），原名香雪园，是华北地区古老的园林之一，现为河北省重点文物保护单位。公元1284年被地震震毁，仅存深池清水，繁茂荷花，明代以后的志书，就把它随俗称为“莲花池”。明朝后期，进行了一次较大规模的整修扩建。知府查志隆把莲池作为一面“水鉴”，并令增建一门，上悬“水鉴公署”四字横匾，以激人励己：秉政应鉴之碧水苍天。从此，莲池成了达官贵人云集的场所，“水鉴公署”也成了莲池的别称。到了清代，兴建了莲池书院，一时间人才济济，扬名中外。莲池又辟为皇帝的行宫，皇帝多次出游驻跸。古莲池几经修建，达到了极盛。园内琼楼玉阁，典籍文物，珠玑珍玩，以及奇花异卉，仙禽灵兽，画舫楼船，芙蕖香荷，尽托于山山水水之间，交织成画，交织成诗。山、水、楼、台、亭、堂、庑、榭参差错落，组成了的莲池十二景，博得了“城市蓬莱”的美称。,8:00-17:30,https://img1.qunarzz.com/travel/d4/1710/d7/9dfdef3476e8bab5.jpg_480x360x95_a8a0d336.jpg,4.5,建议游览时间：1小时 - 2小时,七月中下旬八月上旬是莲花的开放时节。,{'古莲花池电子讲解票大小同价\n\n': ['¥0.3起']},,1
野三坡百草畔景区Yesanpo White Grass Scenic Area,http://travel.qunar.com/p-oi706031-yesanpobaicaopanjingqu,,,,,,,,,,1
荷花大观园Lotus Grand View Garden,http://travel.qunar.com/p-oi721385-hehuadaguanyuan,"

地址:
保定市安新县旅游路白洋淀景区内


电话:
0312-5116997,0312-5116996


官网:
http://www.byddgy.com/

",荷花大观园景区内园区翠柳环抱，碧水浩淼，湿地水生植物相映成趣，水生动物相伴而居，成为我国北方大的自然生态观赏园。被河北省政府命名为省级湿地自然生态保护区野生动植物繁育示范基地。荷花大观园名副其实，确有荷莲的洋洋大观。园中荟翠中外名贵荷莲366种。株状有巨型株南美王莲，袖珍株碗莲；花型有单瓣、重瓣、多瓣：花色有红、黄、白、粉、蓝、五种；千姿万态，同园竟媚，堪称天下奇观。精品荷园荟萃了中外名荷366种，花的颜色有红、黄、白、粉、淡绿等。花型有单层、双层、多...荷花大观园景区内园区翠柳环抱，碧水浩淼，湿地水生植物相映成趣，水生动物相伴而居，成为我国北方大的自然生态观赏园。被河北省政府命名为省级湿地自然生态保护区野生动植物繁育示范基地。荷花大观园名副其实，确有荷莲的洋洋大观。园中荟翠中外名贵荷莲366种。株状有巨型株南美王莲，袖珍株碗莲；花型有单瓣、重瓣、多瓣：花色有红、黄、白、粉、蓝、五种；千姿万态，同园竟媚，堪称天下奇观。精品荷园荟萃了中外名荷366种，花的颜色有红、黄、白、粉、淡绿等。花型有单层、双层、多层，株型有小到可置案头的碗莲，有大到能负重几十斤的南美王莲。荷花淀到花开之季，充分显现在“接天连叶无穷碧，映日荷花别样红”的美景。每年7月23日至9月23日，是所有种类荷花开得旺的时候，也是该景区的旅游佳季。,05/01-10/31 08:00-18:00,https://img1.qunarzz.com/travel/d1/201404/11/df9caa49ea469339ddb12cfb.jpg_480x360x95_5ca20995.jpg,4.4,建议游览时间：2小时 - 3小时,夏季和秋季。每年7月23日至9月23日，是所有种类荷花开得最旺的时候，这也是白洋淀旅游最佳时间。,大观园门票50元/人入淀费40元/人,,1
直隶总督署Government Department,http://travel.qunar.com/p-oi710089-zhilizongdushu,"

地址:
保定市莲池区裕华西路301号(近古莲花池)


电话:
0312-2066444


官网:
http://www.bdzlzds.cn/

",直隶总督署又称直隶总督署博物馆，位于保定市区内，毗邻保定的古莲花池。这里曾是清朝直隶总督办公的府衙，如今保存完好，也是清代省级府衙中保存为完整的一座。来到这里，可以观赏北方的历史建筑，看到原样复原的总督办公、居住地，还可以通过府内设置的展览了解清代官员的官场习俗、故事、服饰讲究等，内容较为丰富，游玩保定市区的游客可以来此一观。直隶总督署的面积不大，是一个纵深约200米，宽近100米的古老院子。院子的中轴线由外向内分布着大门、院门、大堂、二堂、三堂、四堂...直隶总督署又称直隶总督署博物馆，位于保定市区内，毗邻保定的古莲花池。这里曾是清朝直隶总督办公的府衙，如今保存完好，也是清代省级府衙中保存为完整的一座。来到这里，可以观赏北方的历史建筑，看到原样复原的总督办公、居住地，还可以通过府内设置的展览了解清代官员的官场习俗、故事、服饰讲究等，内容较为丰富，游玩保定市区的游客可以来此一观。直隶总督署的面积不大，是一个纵深约200米，宽近100米的古老院子。院子的中轴线由外向内分布着大门、院门、大堂、二堂、三堂、四堂几座建筑，两侧则对称的分布着一些小房子。整个建筑均为古式，是清朝时严格按照省级府衙的制度修建的，显得庄严工整，也十分大气。游客进入远落后从外向内一座座院落和屋子参观即可，一般约需2小时左右。正中处从大堂到四堂几座建筑为总督庆典、审案、会议、接待、办理公务、生活起居的场所。现在按照原样复原，可以进入一一观看。尤为特别的便是大堂，在很多古装剧里我们都可以看到官员审案上堂的场面，这里便是真正发生这些故事的地方。而位于正中轴建筑两侧的多个小屋子则被辟为展览馆，现在的常设展览有《直隶总督生平展》、《清代直隶总督与总督署史料陈列馆》、《清代官宦生活习俗展》、《直隶总督曾国藩专题展》、《清代帝后肖像展》、《直隶总督署廉政文化展》等，可以通过这些展览了解清朝时官员的习俗、直隶总督的生平和直隶总督署的建设、保护历史等。不过这里的展览大多是以文字和示意图片为主，文物较少，也较为简单，简单参观一下就好。馆内经常会举办一些临时展览，一般精彩程度会更高一些，赶上的话可以好好参观一下。,9:00-17:00，16:30停止入场,https://img1.qunarzz.com/travel/d8/1504/1d/0d2dd162952046.jpg_480x360x95_ff7cde98.jpg,4.5,建议游览时间：1小时 - 2小时,四季皆宜,20元次,,1
