名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
金兰山,http://travel.qunar.com/p-oi702019-jinlanshan,,金兰山国家森林公园，地处亚热带向暧温带过渡地带，是我国华东、华中、华北三大植物区系交汇处和我国动植物南迁北移的缓冲带，森林资源丰富，树木种类繁多。有森林面积3072公顷，森林覆盖率93.1%，植物种类2000多种，其中国家重点保护植物19种。有野生动物300种及1000多种昆虫，其中国家重点保护动物34种。金兰山国家森林公园，总面积33.3平方公里，由金兰山、连康山、西大山、九龙潭四大景区构成。 金兰山：为金兰山景区重要核心，海拔703米，三峰刺天、道观悬空，真武宫、玉皇阁、...金兰山国家森林公园，地处亚热带向暧温带过渡地带，是我国华东、华中、华北三大植物区系交汇处和我国动植物南迁北移的缓冲带，森林资源丰富，树木种类繁多。有森林面积3072公顷，森林覆盖率93.1%，植物种类2000多种，其中国家重点保护植物19种。有野生动物300种及1000多种昆虫，其中国家重点保护动物34种。金兰山国家森林公园，总面积33.3平方公里，由金兰山、连康山、西大山、九龙潭四大景区构成。 金兰山：为金兰山景区重要核心，海拔703米，三峰刺天、道观悬空，真武宫、玉皇阁、灵官殿、娘娘殿、三圣殿等道观群始建于宋朝端平年间，盛于明清，衰于近代，近年兴起，且一字排列在三峰之上，“金兰山的祖师应远又应近”远近闻名，每年正月十六、二月二、三月三、九月九为传统庙会，远近香客逾十多万人。进金兰山途经圣人谷，老子传道、关尹子问道、庄子解道三尊巨石自然逼真，惟妙惟肖等距排列于谷中，似道家始祖云游四海，相聚于此，玄妙莫测。连康山：原始森林遮天蔽日，人文古迹遍地可见。《光山县志》载“三国时连康在此立寨”。有莲塘七十二庵、一关、二关、三关、箱子石、连理树、笑天猴、扯旗尖、圆寂和尚塔等景点。九龙溪：长10余公里，曲折于群山茂林之中，瀑、潭遍布。瀑布有牝泉、九龙飞瀑，潭有黄龙潭、黑龙瀑、白龙潭、九龙潭、青龙潭，其中九龙潭水碧如玉，群山环绕，为公园标志性景观。溪有连康河、九溪、林壑涧等；瀑布有娃娃凼、牝泉、九龙瀑布、西山瀑布等；湖泊有银河天池、金兰湖、王沟湖、五里岗湖、白龙池等。,,https://img1.qunarzz.com/piao/fusion/1604/ee/e9e3e6f9a519dbf7.jpg_480x360x95_be95469e.jpg,5.0,,,25元,,2
连康山保护区,http://travel.qunar.com/p-oi712328-liankangshanbaohuqu,,保护区为一南北长、东西窄的起伏连绵的低山丘陵，相对高度250―300米之间，山下部陡峭，上部平缓，一般坡度为30―40度之间。气候冬季寒冷干燥，夏季炎热多雨，年均温15.1℃，1月均温――2℃，7月均温27.6℃，极端低温―17.3℃，极端高温42.5℃.大于等于10℃的年积温4822℃，无霜期大于等于225天。年降水量1248毫米，相对湿度76%。土壤为在花岗岩基岩上发育形成棕色森林土，厚度多在25―30厘米以上，肥力高，PH值5.5―6.5之间。连康河贯穿全境，将保护区分成东西两部分，流入陡山河。...保护区为一南北长、东西窄的起伏连绵的低山丘陵，相对高度250―300米之间，山下部陡峭，上部平缓，一般坡度为30―40度之间。气候冬季寒冷干燥，夏季炎热多雨，年均温15.1℃，1月均温――2℃，7月均温27.6℃，极端低温―17.3℃，极端高温42.5℃.大于等于10℃的年积温4822℃，无霜期大于等于225天。年降水量1248毫米，相对湿度76%。土壤为在花岗岩基岩上发育形成棕色森林土，厚度多在25―30厘米以上，肥力高，PH值5.5―6.5之间。连康河贯穿全境，将保护区分成东西两部分，流入陡山河。保护区维管束植物约2000种，其中木本植物75科159属300种。地带性植被属常绿，落叶阔叶混交林。现仅存黄山松和马尾松与栎类的天然次生林，覆盖率达70%，共内主要树种有麻机、桂皮烁人株、郴砾、青冈栋龙山松、马足松、油松等。混生例种有枫香、橡木、棺木、白擅、黄连木等。竹类有计竹、毛竹、水竹等。植物区系成分复杂，有旧大陆热带成分的天兰桂、紫柄。又有温带的栎类、野大豆、特有成分如黄山松、河南鼠尾草等也不少。植物区系分属 1E11(b)。属国家保护的植物二级有杏果树、银杏等，三级有金钱贼、青松、楠木、厚朴、人生桂、延龄萨、八角连、天麻、野大豆等。保护区陆栖脊椎动物300多种，其中哺乳动物30多种、鸟类有10G多种。动物地理分区属VIA。属国家保护动物一级有金钱豹、白冠长尾雉、金雕等。二级有麝、水狲、八色鸫、大鲵等。经济动物卞要有野猪、狐、狼、猪獾、果子狸、山兔、环颈雉、蛇类等。,,,--,,,,,2
西九华山风景区Xijiuhua Mountain Scenic Area,http://travel.qunar.com/p-oi7469377-xijiuhuashanfengjingqu,"

地址:
信阳市固始县陈淋子镇


电话:
0376-4183000


官网:
http://www.xijiuhua.com/

",中原竹乡——西九华山！淮水之南，觅见竹林薄雾间第一缕晨光；豫皖之界，邂逅万亩青绿中那一抹茶香；华夏之中，触摸古老禅寺留存的文化印记；隐世之处，遇见宁静清幽的世外桃源。西九华山景区位于河南省固始县南部，地处大别山北麓豫皖交界处，现为国家AAAA级景区、河南省省级旅游度假区、河南省研学旅游示范基地、河南省文明单位相传此地为地藏王菩萨卓锡安徽九华山之前中原地区第一道场，故被称为西九华山。景区是中原地区集“茶、竹、禅”为一体的生态旅游胜地，观赏面积80平方公里，森林覆盖率高达95%。拥有万亩茶园、竹海、花海、湖泊和峡谷瀑布群，负氧离子含量极高。主要景点有妙高禅寺、寻根楼、茶山滑道、中原竹寨、留梦河谷、花千谷、草原亲子乐园、白鹭湖水上乐园、龙津溪地。景区有会议中心酒店、竹韵山庄民宿、禅音怡和酒店、民俗村宾馆、白鹭湖培训中心酒店、白鹭湖民宿、龙溪山居酒店。豫南“全竹宴”和南山“八大菜”为独特的地方美食。西九华山景区是集休闲娱乐、旅游观光、养生度假、研学拓展、亲子教育、大别山红色教育为一体的复合型景区。在这里，探访千年古刹，闻茶香余韵悠长，听风动漫山竹海，沉醉于云海深处，遇见宁静，享受清幽。中原竹海--西九华山，一个属于您自己的世外桃源！,8:00-18:00,https://img1.qunarzz.com/travel/d3/1510/bd/2c79af19b4ba99f7.jpg_480x360x95_9d12b728.jpg,4.0,建议游览时间：12小时 - 3天,,"{'西九华山风景区留梦河谷门票成人票\n\n': ['¥28起'], '西九华山风景区花千谷花海门票成人票\n\n': ['¥58起'], '西九华山风景区茶山滑道票成人票\n\n': ['¥38起']}",,2
平安驿.逗街,http://travel.qunar.com/p-oi39721844-pinganyidoujie,,,,,0.0,,,具体收费情况以景区现场公示为主,,2
棒棒糖无动力游乐园,http://travel.qunar.com/p-oi39633055-bangbangtangwudongliyou,,,,,0.0,,,,,2
息县森林公园,http://travel.qunar.com/p-oi39631970-xixiansenlingongyuan,,,,,0.0,,,,,2
息州森林公园,http://travel.qunar.com/p-oi39626519-xizhousenlingongyuan,,,,,,,,,,2
温家小塆,http://travel.qunar.com/p-oi39602133-wenjiaxiaowan,,,,,0.0,,,,,2
豫见江南花海,http://travel.qunar.com/p-oi39597006-yujianjiangnanhuahai,,,,,0.0,,,,,2
固始县石佛店镇余庆村李台组,http://travel.qunar.com/p-oi39577629-gushixianshifodianzhen,,,,,0.0,,,,,2
信阳保安寨,http://travel.qunar.com/p-oi39571543-xinyangbaoanzhai,,,,,4.0,,,,,3
小沙河明月园,http://travel.qunar.com/p-oi39518786-xiaoshahemingyueyuan,,,,,0.0,,,,,3
洪山寨,http://travel.qunar.com/p-oi39518746-hongshanzhai,,,,,0.0,,,,,3
响水河水库,http://travel.qunar.com/p-oi39160323-xiangshuiheshuiku,,,,,--,,,,,3
龟山湖休闲度假区,http://travel.qunar.com/p-oi38950408-guishanhuxiuxiandujia,,,,,5.0,,,,,3
北湖大坝,http://travel.qunar.com/p-oi38948229-beihudaba,,,,,--,,,,,3
彭家湾植物园,http://travel.qunar.com/p-oi38948175-pengjiawanzhiwuyuan,,,,,--,,,,,3
公母潭,http://travel.qunar.com/p-oi38943503-gongmutan,,,,,--,,,,,3
田铺大湾,http://travel.qunar.com/p-oi38941935-tianpudawan,,,,,5.0,,,,,3
将军山风景区,http://travel.qunar.com/p-oi38936998-jiangjunshanfengjingqu,,,,,0.0,,,,,3
出山店水库,http://travel.qunar.com/p-oi38859407-chushandianshuiku,,,,,0.0,,,具体收费情况以现场公示为主,,4
金牛文化公园,http://travel.qunar.com/p-oi38859362-jinniuwenhuagongyuan,,,,,0.0,,,,,4
祝佛寺,http://travel.qunar.com/p-oi38857671-zhufosi,,,,,--,,,具体收费情况以现场公示为主,,4
羊山森林植物园,http://travel.qunar.com/p-oi38857603-yangshansenlinzhiwuyuan,,,,,--,,,具体收费情况以现场公示为主,,4
鸡公山平汉铁路老火车,http://travel.qunar.com/p-oi38817243-jigongshanpinghantielu,,,,,5.0,,,,,4
百花园,http://travel.qunar.com/p-oi38801852-baihuayuan,,,,,3.0,,,具体收费情况以现场公示为主,,4
龙山湖国家湿地公园,http://travel.qunar.com/p-oi38609517-longshanhuguojiashidi,,,,,--,,,具体收费情况以现场公示为主,,4
固始悦合欢乐世界,http://travel.qunar.com/p-oi38359369-gushiyuehehuanleshijie,,      固始悦合欢乐世界位于信阳市固始县，北接仁里路，南接凤凰大道，西接312国道、淮固高速，东接蓼城大道，由信合集团斥资5000万元秉承精益求精的工匠精神精心打造，乐园面积约7800平方米，项目紧邻信合购物广场（世纪城店），地理位置优越，交通便利。      游乐园的建成，将成为豫南游乐行业一颗璀璨的明珠，给固始周边居民带来愉悦的游乐体验及欢乐的休闲享受。       游乐园由世界名家设计，专业团队管理，所有游乐设备、设施都是量身定制并严格按照国家安全标准打造，乐园内设有适合各年龄段休闲游玩的游乐设施近20余项，项目精彩纷呈，服务贴心周到，乐园内环境优美，景观绿植搭配相得益彰，WiFi全覆盖，餐饮美食，零售玩具，休闲座椅、喷雾降温等配套设施一应俱全，吃、喝、玩、游、乐、购为您提供贴心周到的服务。     无论是家庭出游、闺蜜同行、抑或是公司团建，我们的主题乐园都是理想之选 。,,,3.0,,,,,4
西河湾古村,http://travel.qunar.com/p-oi38341103-xihewangucun,,,,,0.0,,,具体收费情况以现场公示为主,,4
森州公园,http://travel.qunar.com/p-oi38336780-senzhougongyuan,,,,,--,,,具体收费情况以现场公示为主,,4
丁李湾村,http://travel.qunar.com/p-oi38135075-dingliwancun,,,,,--,,,具体收费情况以现场公示为主,,5
中山铺村,http://travel.qunar.com/p-oi38045015-zhongshanpucun,,中山铺村位于信阳市平桥区。中山铺村历史悠久，文化厚重，有武侯府、古城墙、霸王台、铁板神桥等历史遗迹。风光秀美，气候宜人，颇具特色的民宿文化与茶文化赋予着全新的生活体验，成为了一张信阳的新名片。,,,0.0,建议游览时间：1小时 - 2小时,,,,5
英雄门,http://travel.qunar.com/p-oi38034561-yingxiongmen,,,,,--,,,具体收费情况以现场公示为主,,5
顾荆乐堂,http://travel.qunar.com/p-oi37807326-gujingletang,,,,,0.0,,,,,5
信合威尼斯水街,http://travel.qunar.com/p-oi37806960-xinheweinisishuijie,,,,,--,,,具体收费情况以现场公示为主,,5
司马光小镇,http://travel.qunar.com/p-oi37806632-simaguangxiaozhen,,,,,0.0,,,具体收费情况以现场公示为主,,5
紫水塔,http://travel.qunar.com/p-oi37806098-zishuita,,,,,0.0,,,,,5
红玺公园,http://travel.qunar.com/p-oi37532482-hongxigongyuan,,,,,,,,,,5
盛湾公园,http://travel.qunar.com/p-oi37532246-shengwangongyuan,,,,,0.0,,,具体收费情况以现场公示为主,,5
郑维山将军故里,http://travel.qunar.com/p-oi37204279-zhengweishanjiangjungu,,,,,--,,,具体收费情况以现场公示为主,,5
