名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
天堂寨Tiantangzhai,http://travel.qunar.com/p-oi714085-tiantangzhai,,,,,,,,,,1
万佛湖风景区Wanfo Lake,http://travel.qunar.com/p-oi713548-wanfohufengjingqu,"

地址:
六安市舒城县万佛湖风景区


电话:
0564-8535298,4001881616


官网:
http://www.wanfohu.com.cn/

",万佛湖风景区围绕着万佛湖，万佛湖原名龙河口水库，位于舒城县西南30公里处，距合肥约80公里，距六安约73公里。到万佛湖一是看湖景，湖水清澈，湖中有一座座小岛；二是看水利工程，万佛湖大坝建成于1960年，在三年自然灾害中完全靠百姓手工砌成土坝，非常了不起。万佛湖不小，可是交通不算方便，可以自驾，可以自由地环湖游。万佛湖大坝在湖的北岸，游客一般先经过这里，大坝以东1公里左右是松渡码头，可以坐游船。游船的船型不同，费用也不同，可详见官网：http://www.wanfohu.com.cn/DocHtml/1/76852852935.html湖中有一些岛屿可以登岛游玩，比如桃花岛、藏仙岛、燕子岛等，当然登岛需要坐船，岛上植被郁郁葱葱，若论岛上的人造景点就比较一般了。若不坐船，你也可以就在岸边散散步。环绕万佛湖，有一些带有湖景房的酒店，环湖途中有一些土菜馆，在酒店或者菜馆中建议品尝一下当地美食——有“万佛湖美味五朵花”之称的万佛湖鱼头、万佛湖鲍鱼、万佛湖蒸鱼、万佛湖醉虾、万佛湖虾胡汤，其中又以万佛湖鱼头最为出名，再点上一壶当地名茶“舒城小兰花茶”，别提有多惬意了。虽然景区内的餐饮价格会稍贵，但味道绝对让人觉得物有所值。自驾车的好处在于，若你兴致盎然，还可以开往三江码头以东约10公里处的六安市舒城县汤池镇泡温泉，因为这个汤池镇在合肥市庐江县汤池镇的西边，所以被称为“西汤池”。或者开到万佛湖西南64公里处的万佛山游玩，万佛湖的水即来源与万佛山。万佛山的位置比较偏，主峰老佛顶海拔1539米，要游玩的话可以夜里住到山脚，第二天花一整天爬山。,全年 08:00-17:00,https://img1.qunarzz.com/travel/d1/1703/e9/5f76c553f3eb61b5.jpg_480x360x95_58fe3d6d.jpg,4.3,建议游览时间：21.6小时 - 3天,,"{'万佛湖风景区门票+游船票成人票\n\n': ['¥93.5起'], '万佛湖电子导览门票大小同价\n\n': ['¥0.1起'], '皖西大裂谷、万佛湖，大别山石窟，大别山风情谷一日游\n\n': ['¥118起']}",,1
皖西大裂谷West Anhui Great Rift Valley,http://travel.qunar.com/p-oi714330-wanxidaliegu,"

地址:
六安市金安区张店镇太平桥村


电话:
0564-2610001

",皖西大裂谷位于六安市南边25公里处，原名避王岩，据说因明末清初农民起义军首领张献忠在此作战而得名。当地老百姓称这为“三道闸”，整个景区状如三节莲藕，最好玩的便是在峡谷中穿梭攀爬，峡谷两侧峭壁耸立，窄处仅容一人通过，有些地方只是简单地架着垂直铁梯，向上攀爬很有挑战性，有些地方甚至要踩在峭壁上借力，悬崖顶上时有水帘跌落，峡谷虽然不长，但攀爬的乐趣十足。三道闸的每一道闸景色都不同，一道闸南北山崖壁立，谷底难容一足，出一道闸，南面山崖上有一巨大的石洞“石窟王宫”；二道闸比一道闸更加窄长、险峻，两侧悬崖形成“一线天”，抬头只见几缕阳光射入谷底，闸内还有一高约50米的水帘；三道闸有三层楼高，需要手脚并用往上爬。此外，景区还有大王井、雄起岩（点将台）等景点。三道闸属于大裂谷，即体验区，是需要走狭窄的岩壁缝隙和攀爬的地方，经过大裂谷可到达山顶观景，然后走另一条好的山路返回。节假日来景区游玩的游客不少，比普通景点的拥挤更加令人汗颜，想象下大队人马堵在一线天里，左右前后都动弹不得的情景，所以最好挑选工作日前往。因为在大裂谷中攀爬需要一定体力，所以1.2米以下儿童、70岁以上老人禁止走大裂谷那条道（体验区），可以由好走的那条山路到山顶看看风景，然后原路返回。,全年 08:00-17:00,https://img1.qunarzz.com/travel/d3/1703/31/b704240a972aa4b5.jpg_480x360x95_70109fa8.jpg,4.4,建议游览时间：12小时,,"{'皖西大裂谷门票成人票\n\n': ['¥56起'], '皖西大裂谷门票优待票\n\n': ['¥29起'], '皖西大裂谷门票双人票\n\n': ['¥111起']}",,1
大别山Dabie Mountains,http://travel.qunar.com/p-oi9201178-dabieshan,"

地址:
六安市霍山县太阳乡金竹坪村


电话:
0564-5757777

",别山横跨鄂豫晥三省，是长江淮河的分水岭。相传李白曾到此，登上大别山主峰白马尖，放眼南北二侧的风光，感慨道：“山之南山花烂漫，山之北白雪皑皑，此山大别山于他山也！”大别山由此得名。大别山不但景色雄壮，风光无限。这里是红军第四方面军诞生的摇篮。大别山主峰白马尖在安徽省霍山和岳西县的交界处，较高的三大峰均在此处，三峰呈品字形排列，主峰白马尖和次主峰多云尖紧紧相依，南面的第三高峰天河尖遥相呼应，气势磅礴。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/64197124993748b943375e291e248a32.jpg_480x360x95_def73bc1.jpg,4.7,建议游览时间：3小时 - 4小时,,"{'大别山主峰景区白马尖门票成人票\n\n': ['¥80起'], '大别山主峰景区白马尖门票优待票\n\n': ['¥40起'], '大别山主峰白马尖电子导览服务大小同价\n\n': ['¥6起']}",,1
寿县古城Shouxian County (ancient city),http://travel.qunar.com/p-oi710946-shouxiangucheng,"

地址:
淮南市寿县古城村街道


电话:
0564-4024186

","寿县古城在春秋战国时曾是楚国的都城。古城外有一圈保存完好的宋代城墙，历代不断整修，外侧贴砖，起军事防御和防洪的双重作用，与城墙密切相关的有“舐犊情深”、“门里人”、“人心不足蛇吞象”等故事。城墙外护城河环绕，北部沿着淮河，到城墙上散散步，可以看到不错的风景。古城内古建筑鳞次栉比，当地人依然居住在此，生活气息浓郁。
寿县古城有四个城门，西门定湖门，南门通淝门，东门宾阳门，北门靖淮门，登上城墙是免费的，只有进城墙上的城楼参观才要付钱，进南门上的城楼5元，进东门上的城楼10元。西门很小，南门新修过，有三个门洞，推荐去东门和北门，两者都是老城门，都保留有瓮城，东门还立有“淝水古战场”石碑。
古城内的游览路线很随意，你可以先去看下距离南门不远的寺庙，明代时按照皇家宫殿的标准建造，大殿很宏伟。来到古城的西大街上，一定要参观下寿县博物馆，里面珍藏着许多楚国的文物，需要注意的是博物馆周一闭馆，为了午休，中午也会暂停开放一段时间。博物馆对面是孔庙，街边三层楼高的魁光阁可以当作认路用的地标。孔庙里的两棵千年银杏值得一看，如今孔庙也是寿县老人活动中心所在，常能看见在里面跳舞、在露天圆石桌上打麻将的老人。
从孔庙东行去东门的路上，可以注意一下基督教堂，也是中式建筑的模样。东门北边不远处是报恩禅寺，有一千三百多年历史，新中国成立后，一度成为寿县博物馆。寿县古城的美食首推牛肉汤，这里既有寺庙自然有回民，做出的牛肉汤名不虚传。古城北边的八公山是豆腐的发源地，在古城的餐馆里可以品尝一下豆腐宴。还有名字和宋代皇帝赵匡胤有关的“大救驾”，是一种点心，街边小摊都有卖，可以买来边逛边吃，或者带回家和朋友们分享。
 寿县古城北边受到保护，所以新的县城都往南边发展，城内城外都有住宿。晚上的古城墙会亮灯，可以去看看夜景。",全天,https://img1.qunarzz.com/travel/poi/1712/77/b113e23c201b8737.jpg_480x360x95_a57b407b.jpg,4.6,建议游览时间：3小时,,{'寿县一日游【古城墙+博物馆+报恩寺+珍珠泉】\n\n': ['¥198起']},,1
大别山主峰景区白马尖Baimajian in the Main Scenic Area of Dabie Mountain,http://travel.qunar.com/p-oi705433-dabieshanzhufengjingqu,"

地址:
六安霍山县


电话:
0564-5757777


官网:
http://www.sinodbs.com/

",大别山主峰景区白马尖位于六安霍山县境内。大别山主峰称为白马尖，次主峰叫多云尖，第三高峰是天河尖，三峰成品字型三足鼎立。白马尖山顶布满了奇松怪石，东北坡的千年都枝杜娟园，生长着上千棵姿态各异的都枝杜娟，春暧花开，其赏心悦目的程度实属罕见。大别山主峰景区白马尖的入口处，是由天然石料构成的几座建筑，尤其是用几块大石头砌成的窗户可谓巧夺天工，在我国景区建筑中独具个性。穿过检票口有一块天然落石印入眼帘，落石上刻有“白马尖”三个字，景区由此处开始攀登。沿着台阶拾级而上，迎面是一个人工瀑布——龙门瀑布。春夏秋季，来自白马尖的山泉水，汇聚水面，溢出坝体，形成了一幕水帘，悬挂在空中，飞流直下。走过瀑布，可以一路观赏卧龙岗、龟背搬家、美人靠、仙人靴、一夫当关等象形石，还可以欣赏金竹峰、长寿亭、奇松走廊、千年都枝杜鹃林等景观。到达山顶，可以感受八百里大别山的连绵之姿，远山近岭，一览无余。此外，在山顶还能看到白马尖的标志碑，它是一个由石头垒砌成的数字1777，高约3米，这个数字的含义是其地理位置海拔1777米。,7:00-17:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/853f088558b579214075facb1571d125.jpg_480x360x95_9a4fbbbf.jpg,4.2,建议游览时间：4小时 - 5小时,,"{'大别山主峰景区白马尖门票成人票\n\n': ['¥80起'], '大别山主峰景区白马尖门票优待票\n\n': ['¥40起'], '安徽大别山主峰手机导游(不含门票)手绘地图、讲解、路线门票大小同价\n\n': ['¥9起']}",,1
清真寺,http://travel.qunar.com/p-oi711078-qingzhensi,"

地址:
安徽省六安市西大街清真寺巷内

",清真寺，是伊斯兰教寺院，回民做礼拜的场所，故又称礼拜寺。不少地方都有这一建筑，但象寿县城内这座清真寺的结构、造型及其宏伟堂皇是不多见的。清真寺座落在西大街清真寺巷内，相传这座清真寺始建于唐，经考证为明代建筑。1981年维修寺院时，发现两块藏于殿顶内的志年望砖，铭文一为“明天启年建，道光年重修”，一为“光绪年重修”。清真寺坐西向东，总面积5600多平方米。寺内有三进重院，前院正门为大中门，正中是主建筑物无相宝殿，即礼拜殿，殿前有石台，两厢为阿文教学用房。...清真寺，是伊斯兰教寺院，回民做礼拜的场所，故又称礼拜寺。不少地方都有这一建筑，但象寿县城内这座清真寺的结构、造型及其宏伟堂皇是不多见的。清真寺座落在西大街清真寺巷内，相传这座清真寺始建于唐，经考证为明代建筑。1981年维修寺院时，发现两块藏于殿顶内的志年望砖，铭文一为“明天启年建，道光年重修”，一为“光绪年重修”。清真寺坐西向东，总面积5600多平方米。寺内有三进重院，前院正门为大中门，正中是主建筑物无相宝殿，即礼拜殿，殿前有石台，两厢为阿文教学用房。后院是由环绕无相宝殿围墙形成。院内有4棵绿荫蔽日的参天银杏树，寺院肃穆、庄重。,8：00—18：00,https://img1.qunarzz.com/travel/d2/1506/a5/056830388a075a.jpg_480x360x95_157978fa.jpg,4.0,,,13元,,1
梅山水库,http://travel.qunar.com/p-oi702505-meishanshuiku,"

地址:
安徽省六安市金寨县梅山镇大小梅山之间


电话:
0564-7053474

",安徽梅山水库风景区位于鄂、豫、皖三省交界处的大别山腹地，坐落于有将军县之称的安徽省金寨县县城南端。50年代建成的时称世界第一高的钢筋混凝土连拱坝巍然屹立于景区内。景区丰富的“绿色”旅游资源同县域“红色”革命传统紧密相联，形成了自己独特的旅游文化。2004年6月，被评为国家级水利风景区。2008年3月被评为国家AAA级旅游景区。,08:00-18:00,https://img1.qunarzz.com/travel/d7/1603/3d/d68a4c3cba5741f7.jpg_480x360x95_2f763f40.jpg,4.3,,,"{'梅山水库门票门票成人票\n\n': ['¥15起'], '梅山水库小型车票大小同价\n\n': ['¥10起'], '梅山水库大型车票大小同价\n\n': ['¥15起']}",,1
寿县孔庙,http://travel.qunar.com/p-oi713291-shouxiankongmiao,"

地址:
安徽省六安市城内西大街

",位于城内西大街，元代建。自元泰定元年（1324年）至清光绪六年（1880年），先后维修、扩建42次，形成一规模宏大、体系完备的建筑群体。庙宇坐北朝南，占地约2万平方米，前有大照壁、文明坊、文笔亭，东有文昌宫，西有忠义词、节孝词、节孝坊。中轴线上为五进重院：第一进院落前有“浮宫”、“快睹”、“仰高”三坊，后为“根星”、“金声”、“玉振”三门，左右“德配天地”、“道冠古今”两坊相向；二进院落中心为“伴池”、东礼门、西义路。池北中轴线上为“前门”，其耳房为名宦词...位于城内西大街，元代建。自元泰定元年（1324年）至清光绪六年（1880年），先后维修、扩建42次，形成一规模宏大、体系完备的建筑群体。庙宇坐北朝南，占地约2万平方米，前有大照壁、文明坊、文笔亭，东有文昌宫，西有忠义词、节孝词、节孝坊。中轴线上为五进重院：第一进院落前有“浮宫”、“快睹”、“仰高”三坊，后为“根星”、“金声”、“玉振”三门，左右“德配天地”、“道冠古今”两坊相向；二进院落中心为“伴池”、东礼门、西义路。池北中轴线上为“前门”，其耳房为名宦词。西为乡贤饲；三进院落主体为大成殿，两侧为东西点。大成殿后由“救救“坊”与左右“升堂”、“入室”二门组成第四重院落；明伦堂居后，其东侧为崇圣饲，左右接垣墙而形成第五进院落。近年因市政建设，部分建筑相继拆除，现存有“浮宫”、“快睹”、“仰高”三坊，以及伴池、前门、名宦词、乡贤词、大成殿、明伦堂、奎光阁等。1957年公布为县级重点文物保护单位。,6：30---17：00,https://img1.qunarzz.com/piao/fusion/1608/31/3cfe84cb17090902.jpg_480x360x95_c31f3bbb.jpg,2.5,,,免费,,1
红石谷,http://travel.qunar.com/p-oi712379-hongshigu,"

地址:
安徽省金寨县响洪甸镇

",红石谷风景区，位于大别山北麓，六安金寨县境内。景区面积60平方公里，位居皖西五大水库之首、气势恢弘的响洪甸水库就坐落在景区之内。景区由红石谷国家地质公园、将军湖水上休闲观光度假区以及六安瓜片观光茶园三部分组成。红石谷国家地质公园，深山藏秀，特有的峡谷地貌，组成了天然地质观光走廊；将军湖上水上休闲观光度假区，烟波浩然，如梦如幻，一展高峡平湖的美景；中国十大名茶之一，原汁原味的六安瓜片及原产地的观赏茶园和茶艺设施，传递着千古茶文化的悠久和韵味。新兴的...红石谷风景区，位于大别山北麓，六安金寨县境内。景区面积60平方公里，位居皖西五大水库之首、气势恢弘的响洪甸水库就坐落在景区之内。景区由红石谷国家地质公园、将军湖水上休闲观光度假区以及六安瓜片观光茶园三部分组成。红石谷国家地质公园，深山藏秀，特有的峡谷地貌，组成了天然地质观光走廊；将军湖上水上休闲观光度假区，烟波浩然，如梦如幻，一展高峡平湖的美景；中国十大名茶之一，原汁原味的六安瓜片及原产地的观赏茶园和茶艺设施，传递着千古茶文化的悠久和韵味。新兴的红石谷风景区，集生态旅游、水上休闲观光度假、茶文化为一体，是大别山旅游冉冉升起的一颗璀璨明珠。,全天,,4.0,,,40元,,1
