名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
甘肃省博物馆Gansu Provincial Museum,http://travel.qunar.com/p-oi705256-gansushengbowuguan,,,,,,,,,,1
白塔山公园Baitashan Park,http://travel.qunar.com/p-oi709285-baitashangongyuan,"

地址:
兰州市安宁区北滨河中路白塔山1号


电话:
0931-8360800,0931-8366114,0931-8371462

",白塔山公园位于兰州市中区附近的黄河北岸，入口处与中山桥连接，是兰州市内的重要景点。白塔山以山顶的古老白塔为，山间还有多座宫殿式的建筑，在建筑周围种植了很多树木，在此登山锻炼、摄影拍照都十分不错。更重要的是，登上白塔山即可看到兰州市区壮观的全景，视野十分开阔。白塔山的佳游玩时间是夏季。山顶的海拔约1700多米，不过相对与山下的兰州城高度只有200米左右，山并不高，登起来并不费力。路上有一些古建筑的院落、寺院等，还有漂亮的树木和草坪等，可以一一观赏。到达山顶区域观看白塔、拍摄兰州全景，然后前往山背后的兰州碑林后即可下山返回，一般游玩时间2-3小时左右。另外，如果体力不足的话也可以在黄河对岸乘坐黄河索道，索道穿黄河而过，后到达白塔山山腰。在白塔山的登山路上大致有三个层次的古建筑，其中有巨大的牌坊、城楼和寺院阁楼等。在这些建筑之间，有很多树木，造就了西北少见的树木成荫的环境，登山时感觉十分惬意。建筑的院落里有些还有草坪，每到春夏季节会开出野花，十分漂亮。另外，山路上还会有人售卖葫芦雕刻、黄河石雕等手工艺品，一般几十块钱一件，感兴趣的话可以选购。山顶处是一座白塔，一共七层高十七米，这座塔曾是当年忽必烈纪念在此病故的西藏佛教师萨班而建的，后来又在明朝时重建，是兰州市的标志之一，也是白塔山名字的由来。山顶还有象皮鼓、青铜钟等明清时代的文物，也是传说中的镇山之宝，可以根据介绍看看这些文物背后的故事。更重要的是，在山顶区域回头一看，便可以看到兰州城市全景。一条黄河在脚下穿城而过，河岸两侧则是鳞次栉比的楼房，非常壮观，如果是傍晚或天黑后前来，楼房和路灯亮起，更适合拍摄城市的美丽夜景。在山背后的西北一侧，有一座兰州碑林，是一座类似圆形的访古院落。在院落的墙内侧，有从远古时代一直到近代的多位知名书法家的书法石刻复制，历史上的西宁王碑、《惠安西表》、《淳化阁帖》等在此都有复制或篆刻，另外还有甲骨文、藏语、西夏文、八思巴文等特别文字的书法石碑，值得前去一看。游客游玩兰州通常是将白塔山公园和兰州水车博览园、中山桥等一并游玩，时间充足的话还会加上甘肃省博物馆。建议在安排行程时将爬白塔山放在下午，傍晚下山刚好看看黄河两岸的夜景，再去不远处的正宁路夜市品尝美味小吃，十分惬意。,全年 6:30-19:30,https://img1.qunarzz.com/travel/d2/1706/fa/3714112db53dffb5.jpg_480x360x95_ccd2a89b.jpg,4.6,建议游览时间：2小时 - 3小时,,"{'白塔山公园手机导览服务大小同价\n\n': ['¥0.6起'], '【甘肃省博深度趣讲+美食】白塔山+中山桥纯玩一日游\n\n': ['¥268起'], '甘肃省博+大众巷+白塔山公园+黄河母亲像+黄河铁桥一日游\n\n': ['¥199起']}",,1
吐鲁沟国家森林公园Tulugou National Forest Park,http://travel.qunar.com/p-oi706791-tulugouguojiasenlingong,"

地址:
兰州市永登县连城兰州吐鲁沟国家森林公园


电话:
0931-6423851,0931-6530015


官网:
http://www.tlggy.com/

",吐鲁沟在古蒙语中意为“美好的果园”，是兰州周边的一处山清水秀的自然风景区，距离兰州城区约200多公里车程，是兰州市本地居民周末郊游放松的好去处。吐鲁沟内因为受到山地气候的影响非常湿润，这里树木非常茂密，而山沟则峰峦叠嶂，有很多形状各异的陡峭石壁，还有草原风光，景色非常优美。来此游玩主要是漫步在峡谷、草原和山间，观看众多的峰峦、石崖、草原等，另外，这里春天开有野花，秋季也有红叶，摄影也非常不错。景区内共分为三岔村、大吐鲁沟、小吐鲁沟和草原游览区四处，游客进入景区后，可以乘坐区间车（车费30元），首先到达三岔村，三岔村处有两条向前的岔路。一条通向大吐鲁沟，这里是以奇特的地貌为主的一条峡谷，有很多漂亮的石崖、岩壁等，在大吐鲁沟的路继续向前，则可以看到沟掌草原，也就是景区的草原旅游区，可以观赏到开阔的草原风光。三岔村的另一条岔路则通向小吐鲁沟景区，这里以茂密的树木花草为主，环境很清幽，适合观景漫步。游玩整个景区大约需要大半天时间。,8:00-18:00,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1562872749248100816000000za355E52C_D_640_10000.jpg_480x360x95_db640de3.jpg,4.3,建议游览时间：4小时 - 6小时,兰州深居内陆，是典型的温带半干旱大陆性季风气候区，气候干燥，日照充足冬季漫长且较寒冷，雨雪少；春季转瞬即逝，冷暖变化大；夏季短促，气温较高，但无酷暑；秋季降温快。最佳旅游季节为５月--10月，天气较为舒适。,50元,吐鲁沟国家森林公园深居内陆，冬季漫长且较寒冷，雨雪少；春季转瞬即逝，冷暖变化大；秋季降温快。游客注意要备件厚外衣，以备不时之需。,1
西关清真大寺Xiguan Mosque,http://travel.qunar.com/p-oi712469-xiguanqingzhendasi,"

地址:
兰州市城关区萃英门1号


电话:
0931-8463152

",位于兰州城关区，俗称“客寺”，始建于明朝洪武或永乐年间。气势雄浑，庄严肃穆。,全年 8:00-19:00,https://img1.qunarzz.com/travel/d3/1707/a2/3693b5da882f6bb5.jpg_480x360x95_e545d64f.jpg,4.4,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
兰山公园Lanshan Park,http://travel.qunar.com/p-oi704075-lanshangongyuan,"

地址:
兰州市城关区伏直公路皋兰山上


电话:
0931-8775011,0931-8242892

",皋兰山海拔2129.6米，是兰州城南的天然屏蟑和第一高峰，兰山公园就位于山顶制高点上，高度近500米，是兰州第一座人造森林公园。山上楼台亭阁，错落有致，红柱碧瓦，相映成趣，是人们纳凉赏景的理想场所。园内三台阁是兰州市南屏障的顶端建筑。高三层，上建一亭，气势雄伟。在此俯瞰市容，黄河穿城而过，市容尽收眼底。傍晚时分，远山云蒸霞蔚，市内万家灯火，场景壮观。公园附近有四千多年前的人类活动遗址，清代军事防卫墩台，解放兰州的营盘岭战场等文物古迹。,全年 全天开放,https://img1.qunarzz.com/travel/poi/201211/15/981c6717d4816badddb12cfb.jpg_480x360x95_f4decec6.jpg,4.6,建议游览时间：2小时 - 3小时,,{'兰山公园手机导览服务大小同价\n\n': ['¥7起']},,1
黄河索道Huanghe Ropeway,http://travel.qunar.com/p-oi8668203-huanghesuodao,"

地址:
兰州市南滨河中路328号


电话:
0931-8482097

",黄河索道缆车于1994年建成运营，为单线脉动循环吊厢式索道，共有四组吊厢，每组三辆，每辆可乘坐6人。兰州被称作“黄河之都”，黄河穿城而过，坐在缆车上看滔滔的黄河水又是另外一个感觉了。,全年 09:00-18:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/18d7f002b8e46c1d9626513b56ca7801.jpg_480x360x95_90bbfba2.jpg,4.5,建议游览时间：1小时 - 2小时,气候凉爽的春秋季节比较适宜。,上行单次45元，下行单次30元；往返55元。,,1
鲁土司衙门Lutusi Yamen,http://travel.qunar.com/p-oi704415-lutusiyamen,"

地址:
兰州市永登县连城鲁土司衙门旧址(301省道北)


电话:
0931-6564468

",鲁土司衙门是甘青边境众多土司建筑中保存比较完整的一座宫殿式古建筑群，坐落在大通河畔，由鲁土司衙门、妙因寺、土司花园三部分组成。鲁土司衙门是鲁土司办理公务及其眷属居住的处所，始建于明洪武十一年（1378年）。衙门依山傍水，坐北朝南，一进数院，有建筑物226间，具有浓厚的民族风格。中轴线上主体建筑物有大照壁、牌坊、六扇门、仪门、大堂、燕喜堂和祖先堂。在各院两旁配有排列整齐的廊房、厢房和配楼。东侧有两堂，书房及内宅，西侧有大仓院及大马号。鲁土司系蒙古族，信奉喇嘛教，是西北地区权势较大的一个集军事、司法、宗教于一体的地方特殊政权，有生杀大权，拥有土军千余人。连城鲁土司统治永登及周边地区长大560多年，对当地的政治、文化、宗教信仰产生了重要影响。,9:00-18:00，17:30停止入场。,https://img1.qunarzz.com/piao/fusion/1806/a5/58f99b79b3a7f402.jpg_480x360x95_399fabf1.jpg,4.8,建议游览时间：2小时 - 3小时,,收费,,1
河口古镇Hekou Ancient Town,http://travel.qunar.com/p-oi10023063-hekouguzhen,,来到河口乡河口村的入口时，路口伫立着一座木制牌坊，上面缠绕着彩条布，在风中飘动。沿着村道行进，两侧有砖混结构的民居，也夹杂着残垣断壁。到了村中心，一幢由青砖绿瓦构建而成的崭新的钟鼓楼出现在眼前，此时，一丝古镇余韵的感觉才涌上心头。这就是河口村——一座相伴在古今风貌中的昔日古镇。多年以前，河口是黄河‘黄金水道’的重要港口，西北各地的长途运输多要途经此处，在河口古码头卸货、装货，运输各类货物。河口村古码头早已不复存在，现代化的水泥建材占据了整个河口古码头。2013年，河口村申报全国历史文化名村，可惜名落孙山，但它却成了甘肃省历史文化名村。同时，由于深厚的历史文化底蕴，河口村也与金城关一同成为兰州市申报全国历史文化名城的重要内容。如此一来，重建河口古镇，保护河口历史文化的愿望将逐渐成为现实。2014年年初，在各级政府的关注下，重建河口古镇的规划方案经过多位旅游、历史、规划专家的审议终定案。根据规划方案，重建河口古镇主要包括六个方面，即重建、保护、整治、保存、维护及修复，进而恢复河口古镇的文物古迹、体现景区文化特色和历史风貌。,,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/4bc18236-46e0-41f2-a7e5-81a2675fdd18.jpg,4.1,建议游览时间：3小时 - 4小时,,"{'兰州水墨丹霞+河口古镇1日游\n\n': ['¥88起'], '河口古镇、水墨丹霞、天斧沙宫纯玩1日游* 绚烂丹霞古镇印象 赠手套吉祥葫芦\n\n': ['¥125起']}",,1
黄河铁桥Yellow River Steel Bridge,http://travel.qunar.com/p-oi714472-huanghetieqiao,"

地址:
兰州市城关区滨河路中段北侧白塔山下

",黄河铁桥又名中山桥，位于城关区，是兰州标志性的建筑，也是游客到兰州游玩一定要去的地方。铁桥长两百多米，宽约有七八米，保持了一百多年前修建时的黑色铁架桥身，十分古朴。在百年来的修缮过程中，桥身上还架起了5座大铁拱，气势美观。铁桥南侧桥头处，有金色的“中山桥”三个大字，还有一块古老石碑，每天都有很多游客到此合影，作为来过兰州的留念。这座铁桥修建于清朝末年，是当时黄河上较早的一座常年通行桥，铁桥当年由德国人建设施工，所有的材料也都由德国运来。走上铁桥，下面便是安静流淌的黄河，而两岸的风景也很不错。铁桥南侧是兰州环境较好的街区滨河路，而北边则是有名的白塔山，山上有很多建筑和古迹，登山俯瞰拍摄铁桥和兰州全景更是非常漂亮。晚上时的铁桥则是另外一番美景，此时遍布桥身的彩灯都会亮起，整个铁桥的轮廓明亮清晰。桥的一侧是黄河外滩繁华街区的华灯，另一侧白塔山上观赏彩灯也全都亮起，非常漂亮，是拍摄兰州夜景较好的地方。,全年 全天开放,https://img1.qunarzz.com/travel/d4/1505/e6/fc2f48a07801e4.jpg_480x360x95_e7e3b9b8.jpg,4.6,建议游览时间：1小时,兰州深居内陆，地处季风气候区与非季风气候区的过渡地带，是典型的温带半干旱大陆性季风气候区，气候干燥，日照充足冬季漫长且较寒冷，雨雪少；春季转瞬即逝，冷暖变化大；夏季短促，气温较高，但无酷暑；秋季降温快。年平均气温9.3;C，年温差和日温差较大。最佳旅游季节为５月--10月。,"{'黄河铁桥人工讲解票大小同价\n\n': ['¥99起'], '【甘肃省博深度趣讲+美食】白塔山+中山桥纯玩一日游\n\n': ['¥268起'], '甘肃省博+大众巷+白塔山公园+黄河母亲像+黄河铁桥一日游\n\n': ['¥199起']}",,1
黄河母亲雕塑Yellow River Mother Sculpture,http://travel.qunar.com/p-oi705994-huanghemuqindiaosu,"

地址:
兰州市七里河区滨河路中段(小西湖公园北侧)


电话:
0371-68222181

",黄河母亲雕塑位于兰州黄河南岸的滨河路中段，是全国诸多表现中华民族的母亲河——黄河的雕塑艺术品中较漂亮的一个。雕塑由甘肃雕塑家何鄂女士创作，长6米，宽2.2米，高2.6米，由“母亲”和一“男婴”组成构图，分别象征了哺育中华民族生生不息、不屈不挠的黄河母亲，和快乐幸福、茁壮成长的华夏子孙。雕塑下基座上刻有水波纹和鱼纹图案，源自甘肃古老彩陶的原始图案。,全年 全天开放,https://img1.qunarzz.com/travel/d4/1707/af/a910b0fcf62a9bb5.jpg_480x360x95_6b79ccf9.jpg,4.5,建议游览时间：0.5小时 - 1小时,,"{'【甘肃省博深度趣讲+美食】白塔山+中山桥纯玩一日游\n\n': ['¥268起'], '甘肃省博+大众巷+白塔山公园+黄河母亲像+黄河铁桥一日游\n\n': ['¥199起'], '<甘青全景丨青海湖+茶卡+莫高窟8日游>精品26人团+门票全含+骑行+0购物+网红三湖+提前定享A票\n\n': ['¥3499起']}",,1
