名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
奥伦布坎景区Orenbukan Scenic Area,http://travel.qunar.com/p-oi10020791-aolunbukanjingqu,"

地址:
兴安盟阿尔山市白狼镇望远山（紧邻乌兰浩特-阿尔山一级公路和S203）


电话:
13801239116

",阿尔山奥伦布坎旅游景区位于内蒙古自治区兴安盟阿尔山市东南方向的白狼镇望远山，紧邻乌兰浩特-阿尔山一级公路和S203省道，距离阿尔山市区30公里。景区总面积250平方公里，核心景区28.9平方公里。奥伦布坎景区身处大兴安岭腹地，坐拥森林、火山、温泉、冰雪、湿地六大自然资源，形成独一无二的原生态自然奇观；以“通古斯部落文化、狩猎文化、冰雪文化”三大文化为依托，打造了“探秘大兴安岭、奥伦布坎部落、魔法汤泉圣地、野奢梦幻时光、自驾集结地、冰雪嘉年华、莫尔根湿地公园”七大主题产品，形成集文化体验、创意游览、科普发现、时尚休闲、特色度假、冰雪娱乐等功能于一体的大型旅游综合景区。,1/1-10/30 08:00-17:00,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/6b030575-91b0-4cc8-9c98-d9471185d83b.jpg,4.1,建议游览时间：12小时 - 3天,,120元,,1
阿尔山国家森林公园Arxan National Forest Park,http://travel.qunar.com/p-oi701818-aershanguojiasenlingong,"

地址:
内蒙古自治区兴安盟阿尔山市阿尔山国家森林公园


电话:
4000-151-757,0482-7155555


官网:
http://www.aesly.com/

",阿尔山国家森林公园镶嵌在碧波浩瀚的大兴安岭林海中，公园内有大兴安岭主高峰——特尔美山（海拔1378米）和大兴安岭较大的湖泊——达尔滨湖，更有火山爆发时熔岩流淌凝成的石塘林和天池。其矿泉资源得天独厚，被称为“天下奇泉”。进入公园内，先到的便是大峡谷，这条峡谷主体就是火山熔岩的断裂带，它也是柴河的源头。沿着林间的木头栈道向树林深处步行，林间地面上铺着厚厚的金黄色的松针，耳边听到的是潺潺的流水声。峡谷深处，到处充满了大大小小的黑色火山熔岩，像开山后弃之的岩石，零乱堆积，十分有特色。离开大峡谷，大约十分钟车程，便可到达驼峰岭天池，这是一处火山喷发后，火山口积水而形成的高位湖泊，水面海拔近1300米。景区开发较晚，较好的保存了原始风貌，浓缩了大兴安岭山水的精华，植被覆盖率达90%以上，哈拉哈河、柴河、伊敏河从中蜿蜒而过。从驼峰天池下来，向西南行驶，沿路都是原始的松林覆盖，路边有许多火山熔岩的遗迹。大约半个小时就可抵达有名的杜鹃湖。每年春季，湖边会开满鲜艳如火的杜鹃花，此湖也正是因此而得名。由于气候寒冷，杜鹃花开放的时候，往往积雪未化，或者甚至还有下雪的天气，这个时候，湖边会出现雪映青松花映雪的奇景。,全年 08:00-17:00,https://img1.qunarzz.com/travel/d1/1812/61/387c590ae267cab5.jpg_480x360x95_14eee9ad.jpg,4.3,建议游览时间：3天 - 6天,夏季和秋季最佳。夏季气候凉爽，避暑圣地；秋季，可以观赏到一片黄色的林海。,"{'阿尔山国家森林公园门票+观光车票成人票\n\n': ['¥234.5起'], '阿尔山国家森林公园手机智能讲解服务大小同价\n\n': ['¥0.5起'], '3+3净游草原·呼伦贝尔大草原阿尔山经典南北线深度3日游\n\n': ['¥1580起']}",Tips: 游玩时门票要随身携带，景区内每个景点都要检票。另外，冬季森林公园内一部分景点会关闭。,1
驼峰岭天池Tuofengling Tianchi,http://travel.qunar.com/p-oi710731-tuofenglingtianchi,"

地址:
兴安盟阿尔山市阿尔山国家森林公园内


电话:
4000-151-757,0482-7155555

",阿尔山有两个天池，一个叫阿尔山天池，离游客中心比较近；另一个即是驼峰岭天池，由于距离较远，去的游客也相对少一些。这里有着美丽的传说和安静的氛围，与阿尔山天池有着不同的味道。驼峰岭天池是火山喷发后，火山口积水而形成的高位湖泊，这里水面海拔1284米，湖面象人的左脚形状，东西宽约450 米，南北长约800 米，面积为26公顷，这个湖也属于玛珥湖，形成30万年左右。,全年 7:00-18:00,https://img1.qunarzz.com/travel/d1/1504/18/96e1a362993c71.jpg_480x360x95_219cddaa.jpg,4.6,建议游览时间：1小时 - 2小时,四季皆宜，不同的季节能够欣赏到各不相同的美景，春夏秋出游最佳。春夏之交，岸边林木葱郁，山中水气郁结，山头云雾缭绕，杜杜鹃花开时，宛如花海中镶嵌着一大块晶莹的蓝宝石，构成了天池独特的自然景观。秋天的白桦树叶片由绿变黄，金黄的树叶、雪白的树干倒映在碧蓝的湖水上，景色非常美。,"{'3+3净游草原·呼伦贝尔大草原阿尔山经典南北线深度3日游\n\n': ['¥1580起'], '纯玩草原南线/北线深度4日游\n\n': ['¥1980起'], '老司机带你越野车穿越呼伦贝尔大草原一日游\n\n': ['¥500起']}",,1
杜鹃湖Duju Lake,http://travel.qunar.com/p-oi5740663-dujuanhu,"

地址:
兴安盟阿尔山市阿尔山国家森林景区内


电话:
4000-151-757,0482-3993911

",杜鹃湖位于阿尔山市东北92公里处，在阿尔山国家森林公园内，面积128公顷，因湖畔开满杜鹃花而得名。该湖状呈“L”型，东南为进水口，西南为出水口，上游连着松叶湖，下游衔着哈拉哈河，平均水深2.5米，深处达5米以上。杜鹃湖为流动活水湖，当残雪消融春回大地之时，杜鹃花灿然怒放，湖面被映衬得如霞似火。湖中野凫成群，灰鹤、大鹅栖息，成群的柳根鱼竞相觅食；湖畔花树相间，红绿分明，煞是好看；夏季杜鹃湖，美不胜收，湖面荷叶田田，迎风摇曳，清香扑面；秋季水清如镜，游鱼梭动；...杜鹃湖位于阿尔山市东北92公里处，在阿尔山国家森林公园内，面积128公顷，因湖畔开满杜鹃花而得名。该湖状呈“L”型，东南为进水口，西南为出水口，上游连着松叶湖，下游衔着哈拉哈河，平均水深2.5米，深处达5米以上。杜鹃湖为流动活水湖，当残雪消融春回大地之时，杜鹃花灿然怒放，湖面被映衬得如霞似火。湖中野凫成群，灰鹤、大鹅栖息，成群的柳根鱼竞相觅食；湖畔花树相间，红绿分明，煞是好看；夏季杜鹃湖，美不胜收，湖面荷叶田田，迎风摇曳，清香扑面；秋季水清如镜，游鱼梭动；冬季的杜鹃湖是个天然的滑冰场。,包含于阿尔山国家森林景区，景点开放时间详见景区现场公示。,https://img1.qunarzz.com/travel/d6/1610/7b/b30c2b6d9c968b5.jpg_480x360x95_d2e65b3b.jpg,4.6,建议游览时间：1小时 - 2小时,夏季最佳，冬季较为寒冷，请注意保暖防寒。,包含于阿尔山景区内，通用于阿尔山景区门票。,,1
石塘林Sitanglin Geological Site,http://travel.qunar.com/p-oi705239-shitanglin,"

地址:
兴安盟阿尔山市阿尔山国家森林公园内


电话:
0482-7155555,4000-151-757,0482-8222968

",石塘林在阿尔山国家森林公园内，位于天池林场东，距阿尔山市温泉街84公里，是大兴安岭奇景之一。这里是第四纪火山喷发的地质遗迹，也是亚洲较大的近期死火山玄武岩地貌，地质构造、土壤、植被生物均保持原始状态，生物多样复杂。石塘林长20公里、宽10公里，是由火山喷发后岩浆流淌凝成。经过千年风化和流水冲刷，形成了石塘林很有特色的自然地貌，犹如波涛汹涌的熔岩海洋，有翻花石、熔岩洞、熔岩丘、喷气锥、熔岩龟背、地下暗河等景观。兴安落叶松枝繁叶茂，高山柏遍地延伸，偃松四季常青，金星梅、银星梅一片金黄，一片银白。石塘林内，石与林相依，花草相融，清流时隐时现，处处景色盎然。,全年 8:00-17:00,https://img1.qunarzz.com/travel/poi/1409/11/6a9815997bc4e08fffffffffc8d65eac.jpg_480x360x95_754974d1.jpg,4.6,建议游览时间：2小时 - 3小时,夏季秋季为佳,"{'3+3净游草原·呼伦贝尔大草原阿尔山经典南北线深度3日游\n\n': ['¥1580起'], '纯玩草原南线/北线深度4日游\n\n': ['¥1980起'], '老司机带你越野车穿越呼伦贝尔大草原一日游\n\n': ['¥500起']}",,1
三潭峡Santan Gorge,http://travel.qunar.com/p-oi714771-santanxia,"

地址:
安盟阿尔山市东北78公里处阿尔山国家森林公园内


电话:
4000-151-757,0482-7155555

",三潭峡位于阿尔山市东北78公里处，在天池景区内，是哈拉哈河的上游，与天池山遥相呼应。峡谷长约三公里，建有跨溪天桥。峡谷有三潭，故称三潭峡。三潭依次为卧牛潭——河水平稳，潭前大大小小的卧牛石横河摆放，如庞大的牛群静憩河中；虎石潭——平静的潭水上方，河流中密布着形态各异的巨大岩石，宛如虎群在河中玩耍嬉戏；悦心潭——是峡谷的尽头，地面豁然开朗，河面加宽，潭水透明，清澈见底。河床由大到小不等的岩石组成，两岸是针阔混交林，林间杜鹃花枝繁叶茂，景色宜人。岸上有小路随河而行，三潭之间，弯路颇多，九曲回肠。峡谷中有一段在六、七月份存在冰川，被称为“夏日冰川”。,全年 8:00-17:00,https://img1.qunarzz.com/travel/d9/1505/52/a82ee7d6b49229.jpg_480x360x95_f2e6e293.jpg,4.4,建议游览时间：2小时 - 3小时,夏季秋季为佳,包含于阿尔山国家森林公园景区门票内，通用阿尔山国家森林公园景区门票。,,1
玫瑰峰Rose Peak,http://travel.qunar.com/p-oi5740661-meiguifeng,"

地址:
兴安盟阿尔山市天池镇203省道

",玫瑰峰位于阿尔山市区北25公里、伊尔施镇西北10公里处，在阿尔山国家森林公园内，是一处由10余座石峰组成的山石景区，石峰错落有致，犬牙交错，奇伟挺拔，巍峨壮观，因石峰大部分呈红褐色，因此得名“玫瑰峰”，也叫“红石砬子”。阿尔山玫瑰峰北的阙奕坛草原是成吉思汗漠北铁骑的摇篮，是成吉思汗及其子孙南下、西征东进的力量之源。从山下仰望玫瑰峰，山石有的象被甲的战将，有的象直播云霄的宝剑，有的象嘶鸣的战马，形态各异。玫瑰峰的中间石阶向上，左侧山峰几乎呈90度直角，非常险峻。站在玫瑰峰高处俯视四野，山岭起伏连绵，哈拉哈河宛如银链绕峰而去。诗人伊德尔慨叹玫瑰峰“古今是关隘，曾有巨人来，雄伟玫瑰峰，可汗点将台。”,暂时停业，具体营业（开放）时间详见景区公示。约为每年4-11月，冬季会关闭。,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/41017c32d6032cf0c6c4f36a8013e7c4.jpg_480x360x95_c10a80e5.jpg,4.2,建议游览时间：2小时,夏天为佳，冬季十分寒冷，请注意保暖防寒。,"{'3+3净游草原·呼伦贝尔大草原阿尔山经典南北线深度3日游\n\n': ['¥1580起'], '神秘阿尔山·呼伦贝尔大草原·深度8日游\n\n': ['¥3580起']}",,1
成吉思汗庙Genghis Khan Temple,http://travel.qunar.com/p-oi712653-chengjisihanmiao,"

地址:
兴安盟乌兰浩特市兴安北大路82号


电话:
0482-8415080

",成吉思汗庙位于乌兰浩特市城区北侧罕山山顶，在罕山公园内，地址是乌兰浩特市兴安北大路82号。该庙建成于1944年，是全国一座祭祀成吉思汗的庙宇。庙宇由艺术家耐勒尔设计，融蒙、汉、藏三个民族的建筑风格于一体，采取古代汉族建筑中惯用的中轴对称布局手法，建筑主体圆顶方身，绿帽白墙，具有典型的蒙、藏建筑特色。在这里还可俯瞰乌兰浩特市全景。成吉思汗庙座北朝南，下方上圆，庙殿呈“山”字型，中间是高28米的正殿，东西两侧是高16.62米的偏殿，共有9个尖顶，用绿色琉璃镶制。正...成吉思汗庙位于乌兰浩特市城区北侧罕山山顶，在罕山公园内，地址是乌兰浩特市兴安北大路82号。该庙建成于1944年，是全国一座祭祀成吉思汗的庙宇。庙宇由艺术家耐勒尔设计，融蒙、汉、藏三个民族的建筑风格于一体，采取古代汉族建筑中惯用的中轴对称布局手法，建筑主体圆顶方身，绿帽白墙，具有典型的蒙、藏建筑特色。在这里还可俯瞰乌兰浩特市全景。成吉思汗庙座北朝南，下方上圆，庙殿呈“山”字型，中间是高28米的正殿，东西两侧是高16.62米的偏殿，共有9个尖顶，用绿色琉璃镶制。正殿圆顶中央悬挂兰色长方形匾额，上书“成吉思汗庙”（蒙、汉两种文字）。庙殿建筑面积822平方米。正殿有16根大红漆明柱，大殿正中的大理台基上座落着高2.8米、重2.6吨的成吉思汗全身铸铜座像，两旁陈列元代兵器。东西偏殿陈列元代服饰、书简、器皿。三座大殿天花板绘有蒙古古代图案，大殿和走廊墙壁有成吉思汗箴言字画与当代画家思沁绘制的大型壁画。成吉思汗庙四周有高2.8 米，周长1000余米的灰顶白色围墙，整个院落占地6.8万平方米。由庙殿向下，有81级台阶。台阶两侧皆青松、翠榆、山杏相衬。东侧设蒙古包，蒙古包前有马厩一处，里面饲养一匹象征着成吉思汗远征英姿的白色骏马，称之为“神马”。西侧建有一栋东边方型、西边圆型、面积200余平方米的房屋，恰与山顶庙宇相衬。顺台阶南下，高大的山门，由并排三个朱红色大门组成，距山门两侧30米处设有东、西便门。,全年 8:30-17:30,https://img1.qunarzz.com/travel/poi/1409/11/677476b3363251a1ffffffffc8d65eac.jpg_480x360x95_84b3d66c.jpg,4.5,建议游览时间：1小时 - 2小时,这里四季分明、雨热同期，年平均气温仅为4-6℃。最佳出游时间在夏季。,具体收费情况以现场公示为主,,1
哈拉哈河Halaha River,http://travel.qunar.com/p-oi7335859-halahahe,"

地址:
兴安盟阿尔山开发区境内

",哈拉哈河发源于阿尔山国家森林公园境内，汇集了苏呼河和古尔班河等支流，干流由东向西经伊尔施流入蒙古国，属额尔古纳河水系。河长399公里，在阿尔山开发区内的134.5公里景色非常优美，河床宽40－200米。河段山环水绕，林木茂盛，郁郁葱葱。河中多小岛、沙洲，水清流急，流量稳定，上游段与一系列火山堰塞湖连结，风光独秀。河上开展有漂流观光的活动，可一直漂到临近中蒙边境的地方，但冬季会停止。,全年 全天开放,https://img1.qunarzz.com/travel/poi/201407/07/fb610c6d9ed7672cddb12cfb.jpg_480x360x95_61690ffb.jpg,4.6,建议游览时间：1小时 - 3小时,5月——10月，夏季温差大，注意保暖和防晒。,具体收费情况以现场公示为主,,1
鹿鸣湖Luming Lake,http://travel.qunar.com/p-oi713836-luminghu,,,,,,,,,,1
龟背岩Tortoise Back Rock,http://travel.qunar.com/p-oi7523918-guibeiyan,"

地址:
阿尔山国家森林公园


电话:
0482-7155555

",龟背岩位于阿尔山国家森林公园内，为熔岩构造，因不规则形状如龟背而得名。,8:00-17:00,https://img1.qunarzz.com/travel/poi/1410/22/8e1cfe08abd289acffffffffc8d65eac.jpg_480x360x95_e0f551e3.jpg,4.2,建议游览时间：1小时,5-10月，此时气候宜人，景色非凡。其它时节，阿尔山的风景也各有特色,180元,游玩时门票要随身携带，景区内每个景点都要检票。另外，冬季森林公园内一部分景点会关闭。,2
五里泉Wuliquan,http://travel.qunar.com/p-oi5740660-wuliquan,"

地址:
203省道东20米五里泉

",五里泉位于通往伊尔施的S203公路边，因距阿尔山市北5华里处而得名。五里泉水为优质矿泉水，泉水无色无味、清澈透明、清凉爽口、沁人心脾，水温为6.3℃－6.8℃，常年不变，水位不受季节变化的影响。,全年 全天开放,https://img1.qunarzz.com/travel/poi/1409/11/9efb0b019c17194fffffffffc8d65eac.jpg_480x360x95_3856bb5b.jpg,4.5,建议游览时间：0.2小时 - 0.3小时,距阿尔山市北5华里，可驾车前往。夏季为佳，秋冬季较为寒冷。每年的5-9月和12月，不过冬季来旅游应注意防寒保暖。,具体收费情况以现场公示为主,,2
大峡谷,http://travel.qunar.com/p-oi7523921-daxiagu,"

地址:
阿尔山国家森林公园内


电话:
0482-7155555

",阿尔山大峡谷的主体为火山熔岩断裂带，长10km，平均宽度约20米，落差25米，山泉涌出后形成的河流从峡谷底流过。阿尔山大峡谷是阿尔山国家森林公园三大水系之一——柴河的源流。,8:00-17:00,https://img1.qunarzz.com/travel/d1/1608/ad/b80d5209ec1364b5.jpg_480x360x95_8d769920.jpg,4.0,建议游览时间：1小时,5-10月，此时气候宜人，景色非凡。其它时节，阿尔山的风景也各有特色。,包含在阿尔山森林公园景区门票内，旺季180元，淡季130元,游玩时门票要随身携带，景区内每个景点都要检票。另外，冬季森林公园内一部分景点会关闭。,2
乌兰毛都草原wu lan mao du cao yuan,http://travel.qunar.com/p-oi710803-wulanmaodoucaoyuan,"

地址:
兴安盟科尔沁右翼前旗(大坝沟镇)乌兰毛都努图克

",乌兰毛都草原位于兴安盟科尔沁乌兰毛都努图克。草原地处兴安岭南麓，是兴安盟草原的一个纯牧业区。这里属丘陵山地草原，地域广阔，水丰草美，草原风光独特。其间有河流小溪、山泉、灌丛，夏秋季节野花遍地，香飘原野。目前乌兰毛都努图克有为游客准备的各种服务设施，游客可观览草原风光，拜访蒙古族牧民，品尝饶有风味的民族茶点。乌兰毛都草原的那达慕大会是当地传统的群众性集会，每两年举行一次。主要活动内容有摔跤、赛马、射箭、套马、舞蹈等，此外还进行物资交流、科技展览和先进表彰等。“那达幕”一般于7、8月间举行，会址选在宽阔平坦、水草丰美、景色秀丽的地方。会址间搭起高台，周围有次序地临时搭起蒙古包、饭店、茶馆、货点等，俨然是一座风格独特的草原城市。,全天,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/72d6b143cda503b66c3ce6ec781df13d.jpg_480x360x95_4524fc6b.jpg,4.7,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,2
