名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
悬崖村Cliff village,http://travel.qunar.com/p-oi32796279-xuanyacun,,悬崖村原名叫”阿土列尔村”，位于四川省凉山彝族自治州昭觉县支尓莫乡，坐落在海拔1400-1600米山坳中，从山底小学到山顶村庄海拔高差近1000米。村民走向外面世界，需要攀爬落差800米的悬崖、越过13级218步藤（钢）梯。历史上因为非常复杂的原因，有一些部落找到悬崖上的土地，有水、有草、有土地、有生存条件，再加上爬山对他们来说，不在话下，于是举家搬迁到半山坡住下，一代代在大山里生生不息。山村看起来不高，但地势险要，村民往返村寨，要攀爬悬，其中有13处峭壁，攀爬全靠藤梯，一些惊心路段，能下脚的地方不到手掌大。村内拥有峡谷、溶洞、温泉、原始森林等旅游资源，经开发，增添游玩娱乐设施，在山顶还修建了度假山庄，不论是装修风格，还是酒店内的各项配套设施，都非常现代化，设备也很齐全。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/5c3737d958372ae25d3bdc29d708cb43.jpg_480x360x95_0238186a.jpg,4.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,1
邛海泸山风景区Qiong Hai Lu Mountain Scenic Area,http://travel.qunar.com/p-oi24412027-qionghailushanfengjing,"

地址:
凉山彝族自治州西昌市海滨中路28号


电话:
0834-3952075

",邛海泸山景区在彝族自治州四川省凉山彝族自治州首府西昌市境内，是国家AAAA级旅游景区。在2005年山体面积6509km²，湖面面积27.9km²。地理坐标为东经102°16′-102°20′，北纬27°47′-27°52′。景区和西昌城区连成一体，组成了国内少见的山、水、城相依相融的独特自然景观。,全年 全天开放,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/fusion/201911/581a3259fa8891be216fa9a493dce174.jpg_480x360x95_9ca99339.jpg,4.5,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,1
邛海国家湿地公园Qionghai National Wetland Park,http://travel.qunar.com/p-oi713307-qionghaiguojiashidigong,"

地址:
凉山彝族自治州西昌市海滨中路


电话:
0834-3952075

",邛海又名邛池，位于西昌市东南市郊，邛海盛产鱼虾，是有名的天然渔场，目前邛海被规划为国家湿地公园，分为观鸟岛、梦里水乡、烟雨鹭洲和西波鹤影等几大区域。湿地公园内环湖建有人行步道和自行车道，建议租车游玩。在邛海西北侧的观鸟岛湿地门口有租车点，租一辆自行车环湖游览比较省力。沿着环湖公路一直向南，会经过月色风情小镇，这里是一片成熟的客栈区，海边坐在月亮上的少女雕塑是小镇的标志性建筑。此外，从小镇的码头可以乘船到湖对岸的渔村，吃吃湖鲜，非常惬意。继续南行，经过邛海公园，可达观海湾区域。在这里登高远望，可俯瞰整个邛海，湛蓝的湖水和曲折的湖湾都让人心旷神怡。来邛海，建议住宿一晚。月色风情小镇、观海湾和对面的小渔村都有住宿，湖上泛舟，湖畔垂钓，小渔村里吃吃湖鲜、搓搓麻将，像西昌本地人一样度过两天的悠闲时光。,全年 06:00-22:00;全年 06:00-21:00,https://img1.qunarzz.com/travel/d1/1703/63/ec51544dd47ecdb5.jpg_480x360x95_d316d453.jpg,4.5,建议游览时间：2小时 - 1天,景色四季各异，夏日湖水盈盈，彩霞耀眼，山寺渔村，相映生辉。秋日天高气爽，落霞孤鹜，秋水天长，冬季天净水明，红枫翠柏。,免费,,1
泸沽湖女神湾Lugu Lake's Goddess Bay,http://travel.qunar.com/p-oi5808372-luguhunu:shenwan,"

地址:
凉山彝族自治州盐源县泸沽湖镇女神湾


电话:
0888-5886045

", 泸沽湖女神湾位于泸沽湖西侧湖滨，是一个安静的小港湾，对面正对着格姆女神山，因此得名。传说这里住有姓赵的汉族人，因此又称赵家湾。女神湾是拍摄湖水和神山相映的好角度，傍晚时的日落和晚霞更适合拍照。游客到泸沽湖一般都会环湖游览，在途中游玩这里，另外女神湾近些年也开了一些客栈，也有游客会选择住在这里。游玩女神湾的时间是傍晚，每当日落西山、晚霞火红，整个湖面都蒙上一层暖色，正是拍摄大片的好时机。,全天开放,https://img1.qunarzz.com/travel/d4/1609/78/8ec0a07588efceb5.jpg_480x360x95_3972c0c3.jpg,4.7,建议游览时间：0.3小时 - 0.5小时,四季皆宜。春季和夏季最佳，青山翠绿、百鸟欢歌且春意盎然。泸沽湖属高原季风气候，冬暖夏凉，四季如春，降水少，早晚温差大。在这里，一年四季可以欣赏到不同的美景：春季万物复苏，湖水湛蓝，芦苇青葱，一派欣欣向荣；夏季杜鹃和向日葵盛开，放眼望去，一望无际的草原上洒满灵动的色彩，此时正处雨季，道路湿滑需注意安全问题；秋季的草原变的高远空灵，格桑花随着季节变幻，颜色由白变红，让高原的色彩一点都不单调；冬季阳光依旧明媚，湖水也不会结冰。春、夏两季是到泸沽湖旅游的最好季节，此时鲜花遍野，万亩草海翠绿，宛若天然花园。,包含于泸沽湖景区内，通用泸沽湖景区门票。,,1
泸山Lushan,http://travel.qunar.com/p-oi705346-lushan,"

地址:
凉山州西昌市海滨中路92号（近琼海公园）


电话:
0834~3952999,0834-3780800

",感受泸山的浓荫丛中隐有汉、唐、明、清年代修建的光福寺、三教庵、蒙段祠、祖师殿、观音阁、王母殿、青羊宫、玉皇殿、五祖庵等10多座分别为儒教、道教、佛教所有的古刹。尽管教规、哲学思想等不尽相同，但却能在一座山中和睦相处上千年，各传各的教，这在全国也实属罕见。泸山又名蛙山，位于西昌城南5公里，濒临邛海、拔地而起的泸山，以“半壁撑霄汉，宁城列画屏”的气势与邛海构成川西南一大景区之一，被誉为“川南胜境”。在西昌城南5公里的邛海南岸，是四川省级风景名胜区之一。泸山海拨2317米。它东临碧波如镜的邛海，西濒蜿蜒秀丽的安宁河，北有历史古城西昌，南依巍巍耸立的螺髻山。山上古树参天，松树尢其茂盛，古人曾用“松风 水月”来描绘泸山邛海的风光，即泸山的松、安宁河的风、邛海的水、西昌的月。,9:00-18:00,https://img1.qunarzz.com/travel/d3/1703/fd/e161bdc6fba3b0b5.jpg_480x360x95_5f91cc78.jpg,4.4,建议游览时间：2小时 - 3小时,,{'泸山滑索道票成人票\n\n': ['¥65起']},,1
金鳞沙滩Golden Scale Beach,http://travel.qunar.com/p-oi22915868-jinlinshatan,,金沙滩也叫金鳞沙滩，是孩子们的游玩天堂。我在北方的寒夜里四季如春，你在西昌的金沙滩晒得黝黑。在西昌的两个地方容易晒黑，一个是小渔村，一个就是金沙滩。金沙滩的太阳大。还没出正月，孩子就会穿着游泳衣下水嬉戏，还有光脚卷着裤脚在海边捉小鱼小虾。金沙滩的水沿邛海比较干净，小海螺在浅浅的沙滩上暖暖的烤太阳。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/aea70775bfd69d97a078d268fbbddeb5.jpg_480x360x95_d4292b95.jpg,3.2,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
泸沽湖Lugu Lake,http://travel.qunar.com/p-oi720460-luguhu,"

地址:
云南省丽江市宁蒗县泸沽湖镇


电话:
0888-5886045

",泸沽湖位于云南与四川边界，海拔约2685米，风光旖旎，民风质朴，有“高原明珠”之称。云南一侧湖畔居住的摩梭人奉行“男不娶女不嫁”的走婚制度，所以泸沽湖又被称为“东方女儿国”。亮点概述泸沽湖四周青山环抱，湖岸曲折婀娜，沿湖共有17个沙滩、14个海湾。湖中散布5个岛、3个半岛、1个海堤连岛。其中，黑瓦吾岛、里务比岛和里格岛，是湖中具观赏和游览价值的三个景点，被称为“泸沽三岛”。每年6月-8月期间，湖里水性杨花盛开，花朵就像冰雪般净白，星星点点，有风拂过又摇摇欲坠，景色十分迷人，犹如人间仙境。沿湖还有很多村庄，其中较繁华可以提供饮食住宿的主要有大洛水村和里格村。大洛水村位于泸沽湖西南岸，是泸沽湖畔早开发的村庄，丽江往返的班车就停在这里。里格岛和里格村位于湖的西北岸，是近几年热门的旅游集散地。湖北岸有尼塞村、小洛水和大嘴村，因游客较少也更为宁静。再往东就进入四川省境内，湖东南岸的草海、王妃故居也值得驻足。玩法介绍环湖是感受泸沽湖魅力的好方式。不管是骑电瓶车、拼车环湖，沿途的湖光山色和质朴的摩梭村庄能让你频频驻足。其中租电瓶车环湖是游玩的热门方式，住宿的客栈一般都提供电瓶车租赁服务。繁华的大洛水村，有摩梭民俗博物馆，在这里你可以了解摩梭文化和民俗。大洛水村到里格村只有8公里路程。里格村北的山坡上有一处观景台，这里是俯瞰和拍摄里格岛的好位置。继续前行，不远处的尼塞村有登上格姆女神山的缆车，山上的格姆女神洞据说许愿非常灵验。泸沽湖名人——杨二车娜姆的艺术博物馆兼客栈就在尼塞村的下一站：小洛水村。这里也是云南跟四川的交界。继续往前经大嘴村、木夸、女神湾，可一直走到草海，走走横跨在草海上的走婚桥，脑补一下当年摩梭男女走婚的情景，也是一个不错的体验。之后可从博瓦湾附近乘船返回大洛水。,全年 全天开放,https://img1.qunarzz.com/travel/d7/1707/d4/dccec4dcdb2ddab5.jpg_480x360x95_5c13f383.jpg,4.7,建议游览时间：12小时 - 3天,四季皆宜。春季和夏季最佳，青山翠绿、百鸟欢歌且春意盎然。泸沽湖属高原季风气候，冬暖夏凉，四季如春，降水少，早晚温差大。在这里，一年四季可以欣赏到不同的美景：春季万物复苏，湖水湛蓝，芦苇青葱，一派欣欣向荣；夏季杜鹃和向日葵盛开，放眼望去，一望无际的草原上洒满灵动的色彩，此时正处雨季，道路湿滑需注意安全问题；秋季的草原变的高远空灵，格桑花随着季节变幻，颜色由白变红，让高原的色彩一点都不单调；冬季阳光依旧明媚，湖水也不会结冰。春、夏两季是到泸沽湖旅游的最好季节，此时鲜花遍野，万亩草海翠绿，宛若天然花园。,"{'泸沽湖门票成人票\n\n': ['¥70起'], '泸沽湖门票儿童票\n\n': ['¥35起'], '泸沽湖门票学生票\n\n': ['¥35起']}","1、进入5、6月之后泸沽湖景色宜人，杜鹃花绽放在漫山遍野，还可欣赏到翠绿的万亩草海及情人桥；7至9月是多雨季节，适合徒步原始森林；8月的草海翠绿万亩，人桥风味别异。 

  2、如果租车或自驾车，一定要选择一台性能良好、车况良好的车，最好是越野车或底盘较高的面包车。 


  3、泸沽湖内严禁捕食湖中野鸭，采集各种动植物标本。 


  4、要充分珍重当地少数民族的宗教及生活习惯。建议不要过多追问当地人有关走婚的习俗，会引起当地人反感。如果想了解摩梭文化和风俗，最好请教当地年纪大的摩梭老人。 


  5、目前泸沽湖周边只有大洛水村和泸沽湖镇有银行自动柜员机，所以请自备足够现金。 


  6、可以提前服用景天红花胶囊或者血氧康胶囊来提高缺氧耐受力，预防高原反应。 


  7、在高海拔地区需注意：避免剧烈运动，不要劳累，适量休息；注意保暖，防止感冒；刺激性的食物尽量少吃，酒尽量不喝。 
1.当地是不允许捕食湖中野鸭、采集各种动植物标本的。2.泸沽湖水温较低，哪怕在夏季游湖，长时间侵泡也足以把人冻僵。而且湖岸地形复杂，千万不要贸然到湖里游泳，以免发生意外。3.因为提倡环保，泸沽湖大部分客栈不提供一次性用品，可以自带，也可以来这里以后在附近小卖部购买。4.去泸沽湖的路途比较漫长，山区曲折，要备足各类觉病的药品，如是晕车药、肠道病药等。5.泸沽湖早晚温差大，要注意带保暖衣物，即使夏季也建议带件外套，冬季需要带防寒衣物。6.由于地处高原，泸沽湖天气变化明显，紫外线强，建议带雨具、手电筒、太阳镜、帽子、防晒用品和一些晕车药、肠道药等常用应急药品。7. 因为泸沽湖大多数供水来源于地下水，加之其容积水量庞大，所以水温比一般的浅层湖泊要高许多。如果秋冬季能遇到突然降温，在早上就能看到壮观的“湖面飘云”，湖面上热气袅袅，蔚为壮观。8. 泸沽湖是摩梭族的母亲湖，这里既是旅游爱好者的圣地，更是摩梭人的生活的土地和精神的家园。来泸沽湖旅游应该多了解一些摩梭族的文化，尊重当地宗教信仰、民俗民风。9. 泸沽湖景区景色美丽，景点比较分散，不要太过贪心。多留一点机动时间，真正的泸沽湖不是一两天就可以领悟的。10. 保护好生态环境，切勿乱扔垃圾。11. 泸沽湖平均海拔只有两千多米，基本上不会出现高原反应，但建议适当控制饮酒和剧烈的活动，如果担心高反可适当提前服用些增加血液含氧的药物，如红景天泡水等。12. 泸沽湖景区的大洛水村（摩梭情演艺中心附近），有一家农村信用社ATM可以取款。另外，四川境内的左所镇（泸沽湖镇）有农村信用社和ATM，景区内其他村落没有银行和提款机，出发前，最好带足现金。13.泸沽湖的客栈、酒店都可以上网，不用担心网络不通。泸沽湖在收费站内侧的游客接待中心和达祖纳西村的达祖小学都有宽带上网服务。",1
草海Seagrass,http://travel.qunar.com/p-oi5808382-caohai,"

地址:
凉山彝族自治州盐源县泸沽湖风景区内


电话:
0834-6390322

",草海位于泸沽湖靠东一侧，这里因为湖水较浅，布满了很多芦苇，使得整个湖面一片葱葱郁郁的绿色，环境清新优美，是泸沽湖边观光摄影的热门地点。到泸沽湖游玩，游客一般住在大落水村、里格半岛等村庄，可以租自行车或徒步到草海，一路欣赏风景，轻松又惬意。草海的主要景观一是清新优雅的碧绿湖面，还有一个就是横在水面上的草海桥，这座桥是曾经摩梭男孩走婚时要经过的桥，因此也被称为“走婚桥”，游客可以走在桥上，近距离的漫步在碧绿芦苇荡之间。因为草海鱼虾多，当地人经常划着猪槽船在湖中捕鱼，岸边常常停着的一排船只如今也成为草海的一景，阳光强烈的晴天，一群人站在船上拍摄剪影，非常漂亮。,全年 全天开放,https://img1.qunarzz.com/travel/d9/1707/b9/5059cef9eca133b5.jpg_480x360x95_3302a69f.jpg,4.5,建议游览时间：1小时 - 2小时,全年风景秀美，是冬春观鸟、夏秋避暑的绝佳之地。但夏秋季最佳，此时水草丰茂，观赏性极强。,"{'泸沽湖门票成人票\n\n': ['¥70起'], '泸沽湖门票儿童票\n\n': ['¥35起'], '泸沽湖门票学生票\n\n': ['¥35起']}",,1
走婚桥Zouhun Bridge (Walking Marriage Bridge),http://travel.qunar.com/p-oi5942821-zouhunqiao,"

地址:
凉山彝族自治州盐源县泸沽湖风景区草海


电话:
0834-6390302

",走婚桥位于泸沽湖东侧，横跨在芦苇飘荡的草海之上，是泸沽湖周围的一处知名景观。这里的摩梭族奉行“男不娶，女不嫁”的走婚习俗，而走婚时男子都会经过走婚桥去往女方家里，因此这座桥又称“鹊桥”。走婚桥长约300米，两侧是生长在草海水中的大片芦苇，走在桥上，满眼都是碧绿的清新风景。因为走婚桥与摩梭族的爱情相关，因此这里也被很多情侣当成了爱情之桥，情侣游客都会携手在上面走一次，感受摩梭人的古老浪漫。,全年 全天开放,https://img1.qunarzz.com/travel/d1/1611/62/009291908161d9b5.jpg_480x360x95_7a9041ec.jpg,4.5,建议游览时间：0.3小时 - 0.5小时,四季皆宜。,"{'【丽江出发14人小团】泸沽湖纯玩1日游|里格半岛+草海走婚桥+猪槽船游湖登岛\n\n': ['¥210起'], '【保证纯玩】丽江泸沽湖2日游+8人航空座椅出行+免费升级湖景房【划船+篝火晚会+接送餐】\n\n': ['¥100起'], '泸沽湖纯玩2日游/mini商务小团+深度环湖游+多房型选择\n\n': ['¥328起']}",,1
洛洼码头Luowa Dock,http://travel.qunar.com/p-oi5942844-luowamatou,"

地址:
凉山彝族自治州盐源县022乡道


电话:
0834-6390302

",洛洼码头属于四川部分，码头的所属地洛洼半岛是一个非常重要的分界线。半岛的这边是闻名的草海，半岛的那边是亮海。没有看到草的水面都叫亮海。正因如此，在这个码头看风景是很特别的，一边是青青绿草的世界，一边是清澈见底的湖水。洛洼码头也是看夕阳西下，日出东方的好地方。,全年 全天开放,https://img1.qunarzz.com/travel/d3/1710/3e/c5c6c32be05e5fb5.jpg_480x360x95_9678be04.jpg,4.5,建议游览时间：1小时 - 2小时,四季皆宜。,具体收费情况以现场公示为主,,1
