名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
万达国际电影城,http://travel.qunar.com/p-oi5236036-wandaguojidianyingcheng,,,,,4.6,,,,,3
赛汗塔拉生态园,http://travel.qunar.com/p-oi39631904-saihantalashengtaiyuan,,,,,0.0,,,,,3
正翔冰雪乐园,http://travel.qunar.com/p-oi39597032-zhengxiangbingxueleyuan,, 尽情欢闹的白雪世界 与其让孩子窝在家里与电子产品为伴 不如来正翔冰雪乐园寻一段奇幻的冰雪奇缘! Are you ready!这里项目巨多! 让你嗨翻天、玩过瘾!只有想不到，没有玩不到! 快来一起来一场欢乐，刺激的冰雪大冒险吧! 让你尽情体验光影中的速度与激情速冻模式即将开始 虽然天气冷但欢乐不能少 激活冬天的不仅有火锅 还有玩雪&戏雪呀! 不来浪一把就不叫过冬 正翔冰雪乐园，交通便捷环境优美，要多爽有多爽,,,0.0,,,,,3
圣鹿源世界鹿文化观光园,http://travel.qunar.com/p-oi39584859-shengluyuanshijieluwen,,鹿城小镇雪乡冰雪节滑雪圈、打雪仗、雪地蹦迪、冰雪表演、全家出游，亲子欢乐多多解锁冬天的n种玩法快来加入狂欢大军  古声古色的北方村落，屋舍俨俨，雪松、栅栏一夜“白头”，大红灯笼高高挂起，暖黄色的火光，给院落增添了几分艳色。,,,0.0,,,,,3
包头市奥林匹克公园,http://travel.qunar.com/p-oi39583889-baotoushiaolinpikegong,,,,,0.0,,,,,3
南海湿地景区-黄金沙滩,http://travel.qunar.com/p-oi39173803-nanhaishidijingqu_huang,,"海滩派对,儿童游乐, 海南风情,亲子休闲、遛娃圣地、周末家庭聚会好去处！海边的快乐根本停不下来！娱乐配套设施拿捏的非常到位！冲呀！大小朋友请就位！南海黄金沙滩向你发来邀请,家长和孩子可以一起参与,不管几岁，快乐万岁！",,,0.0,,,,,3
神鹿草原,http://travel.qunar.com/p-oi39036552-shenlucaoyuan,,景区环境优美，阳光洒在赛汗塔拉草原上，地势平坦而辽阔，露营 星空和美食，这里是天然的游乐园   整个大地都被绿油油的草覆盖着，像一层厚厚的地毯，露营帐篷里仓在草原夜晚的星空 呦呦鹿鸣 ，食野之苹   自然之美，触手可得，逃离城市的喧嚣，把憧憬自由的心灵放飞在这片草原,,,0.0,,,,,3
天禾农业生态庄园,http://travel.qunar.com/p-oi38927535-tianhenongyeshengtaizhuang,,天禾农业生态庄园拥有超多有趣的项目，丰富的亲子活动，块带上孩子来这里过有趣又有意义的周末，大人小孩都能一起参与哦~景区更多好玩活动等您来玩，网红桥，秋千长廊，篝火晚会，玻璃栈道，观光塔，迷宫 浑水摸鱼 沙地淘宝  充气城堡.心动？不如行动。这里不仅仅能让大家亲近自然，能得到舒缓身心的感官收货，更有寓教于乐，乐中施人的人文体验，平时对家人孩子少有的陪伴，能够让你玩一天的庄园就在我们身边哦。当然，您也可以叫上三五个朋友，来这里享受自然地纯净，一起度过...天禾农业生态庄园拥有超多有趣的项目，丰富的亲子活动，块带上孩子来这里过有趣又有意义的周末，大人小孩都能一起参与哦~景区更多好玩活动等您来玩，网红桥，秋千长廊，篝火晚会，玻璃栈道，观光塔，迷宫 浑水摸鱼 沙地淘宝  充气城堡.心动？不如行动。这里不仅仅能让大家亲近自然，能得到舒缓身心的感官收货，更有寓教于乐，乐中施人的人文体验，平时对家人孩子少有的陪伴，能够让你玩一天的庄园就在我们身边哦。当然，您也可以叫上三五个朋友，来这里享受自然地纯净，一起度过惬意的周末时光,,,0.0,,,,,3
酸得甜醋文化博物馆,http://travel.qunar.com/p-oi38915428-suandetiancuwenhuabowu,,酸得甜醋文化博物馆，在这里您可以看得的醋得制作过程，让你亲眼参观到由粮食到醋的演变过程，来到博物馆这里有专业的讲解，让你感受传统的工艺流程，您还可以亲手体验传统工艺，以及进行捞鱼游玩，捞到还可以带走，也为您提供免费的休息区，让您在劳动中体验乐趣，是您家庭娱乐的好去处,,,0.0,,,,,3
维纳度假村,http://travel.qunar.com/p-oi38907923-weinadujiacun,,这里就是你的避暑山庄七彩滑道、沙滩，多功能滑梯、双人滑索、儿童网红桥，空中探险飞渡、离心力飞人，飞跃滑梯，淘气堡，海洋球，蜘蛛塔，攀岩，粘粘墙，空中灌篮，趣味滑索，蹦床，卡丁车等众多项目带给你多种玩乐体验穿梭在五彩缤纷的滑道中眼前的景点不断变换耳边是家人尖叫欢呼声一个字“爽”新颖丰富且有趣的项目带上孩子在里面玩上半天都不会腻,,,0.0,,,,,3
大雁滩景区,http://travel.qunar.com/p-oi38905634-dayantanjingqu,,大雁滩景区位于内蒙古包头市土默特右旗沟门镇境内，北依阴山山脉，南临黄河，地处呼包鄂“金三角”腹地。主要有观景台、中草药种植基地、百花园、采摘园、音乐广场、开心农场、野营烧烤区、百鸟园、童趣乐园、垂钓戏水区、民俗部落、民俗一条街、水上乐园、山体亮化、赵长城遗址及点将台等众多景点。,,,--,,,,,4
包头乐园冰雪嘉年华,http://travel.qunar.com/p-oi38674665-baotouleyuanbingxuejia,,,,,0.0,,,具体收费情况以现场公示为主,,4
包头国际会展管理中心,http://travel.qunar.com/p-oi38341060-baotouguojihuizhanguan,,,,,0.0,,,具体收费情况以现场公示为主,,4
中冶德贤滑雪场,http://travel.qunar.com/p-oi38336331-zhongyedexianhuaxuechang,,"中冶德贤滑雪场，景区为滑雪爱好者提供了专业的滑雪场地，还提供了雪圈，雪地转转，冰车，冰上自行车等游玩项目，还为小朋友准备了儿童戏雪乐园，儿童无动力雪橇，雪地拖拉机小火车等项目，是一家集滑雪，戏雪，为一体的滑雪场。
",,,0.0,建议游览时间：2小时 - 3小时,,,,4
乌素图公园,http://travel.qunar.com/p-oi38335735-wusutugongyuan,,,,,,,,,,4
五当召珍藏瑰宝陈列,http://travel.qunar.com/p-oi38018219-wudangzhaozhenzanggui,"

地址:
包头市石拐区青五线五当沟(距离包头市区约60公里)五当召旅游区内


电话:
0472-8715022,0472-8711568

",五当召珍藏瑰宝陈列展位于包头，这里主要收藏了唐卡、清代瓷器和法器等展品，还有用满、汉、蒙、藏四种文字雕刻的牌匾。,全年 09:00-17:00,,3.9,建议游览时间：2小时 - 3小时,,位于五当召旅游区内，进入需先购买五当召旅游区门票。,,4
横竖街,http://travel.qunar.com/p-oi37807138-hengshujie,,,,,0.0,,,具体收费情况以现场公示为主,,4
柒艺美术馆,http://travel.qunar.com/p-oi37806995-qiyimeishuguan,,,,,0.0,,,具体收费情况以现场公示为主,,4
凯旋南北街,http://travel.qunar.com/p-oi37806801-kaixuannanbeijie,,,,,--,,,具体收费情况以现场公示为主,,4
九曲花街文化大世界,http://travel.qunar.com/p-oi37806439-jiuquhuajiewenhuadashi,,,,,,,,,,4
丝路梦郡,http://travel.qunar.com/p-oi37380588-silumengjun,"

地址:
包头市达尔罕茂名联合旗哈日乌苏嘎查希拉穆仁草原丝路梦郡


电话:
18647150415

",希拉穆仁丝路梦郡景区位于内蒙古包头市达茂旗东南部，是蜚声海内外的避暑胜地希拉穆仁大草原核心旅游区，距离内蒙古自治区首府呼和浩特90公里，是典型的高原草场，每当夏秋时节鲜花缀草、绿莽如茵。景区东临希拉穆仁河，西指草原天鹅湖，不远处的敖伦苏木古城是中世纪欧洲文明传入东方的大城市，更是数百年来草原丝路的重要驿站。驼道漫漫，穿越千年，拂去历史尘埃，丝路梦郡正以崭新的姿态成为希拉穆仁草原上一颗闪亮的明珠。丝路梦郡景区占地3700亩，拥有丝路艺术馆、丝路集市、丝路剧场、丝路非遗街、丝路美食街、丝路餐饮、热气球飞行营地、帐篷营地、研学中心、儿童乐园和新丝路号草原火车等全新体验场所，为游客提供多维度的草原观光及娱乐享受。巨大而洁白的毡包创下希拉穆仁草原毡包面积之最，贯穿景区的风装置景观“腾格里之河”（蒙古语：天空之河）更是随风起舞，绵延飘逸，数百万面寓意祝福和吉祥的风马旗迎风唱诵，给远方游客送来祝福。乘坐热气球空中俯视，更是蜿蜒荡漾，波光粼粼，像一条历史长河从过去流向未来，更似一条圣洁的哈达，代表着草原人民对世界游客的欢迎。,全年 08:30-17:30,,4.0,建议游览时间：3小时 - 4小时,,,,5
战国赵北长城Zhaobei Great Wall of the Warring States Period,http://travel.qunar.com/p-oi35913898-zhanguozhaobeizhangcheng,,,,,--,,,具体收费情况以现场公示为主,,5
内蒙大草原Inner Mongolia Prairie,http://travel.qunar.com/p-oi35913485-neimengdacaoyuan,"

地址:
内蒙古高原东起大兴安岭和苏克斜鲁山，西至甘肃省河西走廊西北端的马鬃山，南沿长城，北接蒙古国


电话:
0472-8313777,4001580472

",,全年 全天开放,,0.0,,,具体收费情况以现场公示为主,,5
九峰山Jiufeng Mountain,http://travel.qunar.com/p-oi35832834-jiufengshan,,九峰山位于阴山山脉中段，由东九峰、西九峰、大西梁、杆林背、羊背山等大小山峰和美岱沟、水涧沟、香桂铺沟等沟堑组成。这里不仅大小山峰峭壁屹立，雄奇伟岸，就是峡谷沟壑，溪流瀑布也很有特点。它雄居土默川平原之北，俯视黄河，悬崖丛生，瀑布飞泻，树茂林深，人们在这里可以尽享大自然之美。九峰山主峰号称“小泰山”，海拔2338米，景区内景色优美，山峰绵延，沟壑纵横，泉水潺潺，沟水常年不断。九峰山险峰众多，从一峰到九峰，山山有特色，峰峰有造型，低的小巧玲珑，高的巍峨壮观。特别是“波光潋滟”的石湖，“一夫当关，万夫莫开”的一线天，以及活灵活现、栩栩如生的卧佛峰、麒麟峰、独树峰，景景美不胜收，让人浮想联翩。,,,--,,,,,5
