名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
故宫博物院The Palace Museum,http://travel.qunar.com/p-oi710603-gugongbowuyuan,"

地址:
北京市东城区景山前街4号


电话:
4009501925


官网:
http://www.dpm.org.cn/

",故宫又称紫禁城，是明、清两代的皇宫，也是古老中国的标志和象征。当你置身于气派规整的高墙深院，能真真切切地感受到它曾经的荣耀。悠久的历史给这里留下了大规模的珍贵建筑和无数文物，也成为今天游玩故宫的主要看点。游览古建筑群故宫是中国乃至世界上保存较为完整、规模较大的木质结构古建筑群。这些金碧辉煌的建筑群可以分为“外朝”与“内廷”两大部分。以乾清门为界，乾清门以南为外朝，是皇帝处理政务的地方，乾清门以北为内廷，住着后宫嫔妃，是皇帝家庭生活之所。走过金銮殿、乾清宫、坤宁宫，在皇帝的御花园里赏弄花花草草，感觉好像穿越到了古装剧里。欣赏大量的珍贵文物故宫内珍藏有大量珍贵文物，据统计有上百万件。以文物的种类不同，分为多个展馆。其中珍宝馆和钟表馆很是引人注目，钟表馆每天11点和14点有钟表演示，可以看到清王朝珍藏的各种造型奇特的珍奇机械钟表，一定令你眼界大开。游玩路线故宫占地面积宽广，共有大大小小的宫殿70多座，游览路线繁多。想要好好地逛一圈，需要安排一天的时间。如果只是走马观花，看一看主要宫殿，约两个小时就能逛完。如果只有两个小时左右的时间，建议沿着故宫中轴线参观。故宫精华的景区基本都在这条线上，走路时间也比较少。1. 午门-太和门-弘义阁（皇朝礼乐展）-太和殿-中和殿-保和殿-乾清门-乾清宫-交泰殿-坤宁宫-御花园-神武门2. 午门-太和门-太和殿-保和殿西庑（天府永藏展）-保和殿东庑（宫阙述往展）-中和殿-保和殿-乾清门-乾清宫-交泰殿-坤宁宫-御花园-神武门如果觉得两个小时的游览不够尽兴，你还可以到东、西六宫的院落里逛逛，这里曾经住着紫禁城里备受恩宠的妃嫔们。或者到钟表馆和珍宝馆看看，欣赏珍贵文物。1. 午门-文华殿（陶瓷馆）-太和门-太和殿-中和殿-保和殿-奉先殿（钟表馆）-乾清宫-交泰殿-坤宁宫-养心殿-西六宫区-御花园-神武门2. 午门-武英殿（书画馆）-太和门-太和殿-中和殿-保和殿-乾清宫-交泰殿-坤宁宫-东六宫区-斋宫-宁寿宫区前朝（珍宝、石鼓二馆）-宁寿宫区后寝（珍宝、戏曲二馆和珍妃井）-神武门一日游规划路线几乎包括故宫博物院所有开放区域的重要宫殿和展馆，但也需要在参观时注意利用时间，并选择好自己感兴趣的展览陈列内容。若处处盘桓流连，一天的时间恐怕也不足以尽览胜景。午门-武英殿（书画馆）-文华殿（陶瓷馆）-太和门-太和殿-中和殿-保和殿-乾清宫-交泰殿-坤宁宫-养心殿-西六宫区-御花园-东六宫区-奉先殿（钟表馆）-宁寿宫区（珍宝馆、戏曲馆）-神武门经典景点太和殿，俗称“金銮殿”，是明清两代皇帝举行大典的场所。每逢大典之日，从太和殿至天安门外，设有庞大的仪仗，太和殿前檐下设中和韶乐，太和门内设丹陛大乐，王公立于丹陛之上，一品至九品文武百官齐集于丹墀内陈设“品极山”的御道两旁。养心殿是一座“工”字形的建筑，分前后两殿。自清雍正以后，皇帝寝宫移至后殿，前殿成为皇帝处理日常政务，接见臣工的地方。在太和门前广场共有五座金水桥，单孔拱券式，造型秀美，同雄伟壮观的午门城楼和金碧辉煌的太和殿相映衬，引人入胜。坤宁宫是北京故宫内廷后三宫之一。在明代，坤宁宫是皇后的寝宫，但到了清代逐渐改作祭神的场所。保和殿是中国传统宫殿建筑之精华，属于北京故宫中的一座殿宇式建筑。每年除夕，皇帝在此宴请少数民族王公大臣。自乾隆后期，这里便成为举行“殿试”的场所。珍宝馆位于宁寿宫区域，馆藏珍宝尤其丰富，涵盖佛教用品、饰品、日用器具和赏玩珍品等。其中，高约十四厘米的红珊瑚狮子、长约一百三十厘米的东珠朝珠及金“奉天之宝”玺等，都是难得一见的珍品。钟表馆位于宫中奉先殿，展出的钟表以英国产品居多，也有法国、瑞士等其它国家的钟表。这些钟表除计时功能外，上面装饰的人物、鸟兽、花卉等还会做出各种不同的动作，制作非常精巧。其中，铜镀金写字人钟、铜镀金嵌珐琅葫芦顶渔樵耕读钟、铜镀金转花跑人犀牛驮表等很是珍奇。,"全年 周一 全天不开放 ;04/01-10/31 周二-周日 08:30-17:00;11/1-3/31 周二-周日 08:30-16:30;劳动节,清明节,端午节,国庆节,中秋节 08:30-17:00",https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/8441a219c051913d1aae63e7bbc1c8bb.jpg_480x360x95_f401db5e.jpg,4.8,建议游览时间：12小时 - 3天,四季皆宜。春季气候舒适，百花争艳，浏览故宫的同时可欣赏院内盛开的鲜花；夏季气候炎热，适合室内参观；秋季的北京，红叶满地，此时的故宫别有一番滋味；冬季虽严寒，但如果能赶上雪天游览，将收获不一样的美景。,"{'故宫博物院门票+珍宝馆+钟表馆+人工讲解（可选人群）服务成人票\n\n': ['¥125起'], '故宫博物院门票+珍宝馆+钟表馆+人工讲解（可选人群）服务学生票\n\n': ['¥88起'], '故宫博物院门票+珍宝馆+钟表馆+人工讲解（可选人群）服务老人票\n\n': ['¥98起']}", 1、自2011年7月2日起，故宫博物院实行自南向北单向参观路线。午门（南门）只作为参观入口，观众一律从午门进入故宫；神武门（北门）只作为参观出口，您可在参观结束后，由神武门或东华门（东门）离开故宫。 2、尊重文化遗产，保护文物古迹，做文明观众，请勿在古建筑和古树上刻画涂写。 3、故宫博物院全院禁止吸烟。 4、自2018年6月起，故宫实行周一全年闭馆（国家法定节假日除外），即暑假期间周一也会闭馆，请有意前往的游客注意合理安排时间。 5、2015年12月，故宫启动养心殿研究性保护项目，养心殿正式闭门谢客，预计在2020年将以原状陈列的方式重新开放。 6、较完整细致地游玩故宫，需要安排出半天至一天足量的时间，以及准备好充沛的体力。 7、如果在参观途中与亲友走失，可到景运门内西南侧的广播室通知他们。广播室电话：010-85007424。 8、故宫内也在太和门和箭亭设置了观众咨询处（人工服务），咨询电话：010-85007421、010-85007422。 9、在您参观时请留意自己携带的物品，提防扒窃。请不要轻信和接受社会散杂人员派发的各种广告和兜售的商品。严防上当受骗，并欢迎举报。故宫派出所电话：010－85007494、85007495、65131882 导览帮助设施观众咨询处（人工服务）1.观众服务中心（端门）　咨询电话：850079382.太和门咨询处　咨询电话：85007420电子自助服务位置：太和门、三大殿东西两侧门道语音导游租赁租金：汉语版、粤语版每台20元。其他语种每台40元。参观完毕，请在出院前将语音讲解器交至讲解服务处。服务处位置：午门与神武门内。讲解员讲解服务5人或5人以下：全程：250元中、西路：150元中路：100元5人以上，每增加1人，加收10元。服务站位置：午门、神武门服务站电话：010－85007427（午门）、010-85007428（神武门）。志愿者免费讲解只在珍宝馆、钟表馆、书画馆等展馆内提供汉语、英语讲解。存包存包行李可在午门（南门）至神武门（北门）之间免费运送。观众也可选择接受安全检查后随身携带，我院将对入院所有箱包行李进行危险品排查。存包处工作时间为8:30-18:00，位置：午门与神武门外东侧。 ,1
八达岭长城Badaling Great Wall,http://travel.qunar.com/p-oi703478-badalingzhangcheng,"

地址:
北京市延庆区G6京藏高速58号出口


电话:
010-61118002


官网:
http://www.badaling.cn/

",八达岭长城号称天下九塞之一，风光集巍峨险峻、秀丽苍翠于一体，是明长城景色中的精华。“不到长城非好汉”，很多国人都以这里为登临长城的主要选择。八达岭长城关城为东窄西宽的梯形，有东西二门。东门额题“居庸外镇”，西门额题“北门锁钥”。关城向北延伸的长城是北长城，有敌楼12处。关城以南是南长城，有敌楼7处。南长城相比北长城的游客人数较少，如果时间充裕，可以先去走南长城，再走北长城。除了在关城可以登长城外，在南4楼、北4楼、北8楼和北11楼也有登城口，都能登上长城。其中北8楼是八达岭长城海拔最高的敌楼，又名“观日台”。这里距离关城有1500多米，是俯瞰长城的佳地。乘坐索道在南4楼和北8楼处，还建有索道。不想步行的游客，可以乘坐索道直接抵达敌楼，游玩结束再乘坐索道返回。可节省体力，轻松游玩。周边餐饮八达岭长城景区设有商业步行街，爬长城累了，下山后可以在此休息进餐。除了高端大气的八达岭饭店（涉外饭店），还有炸酱面、狗不理、饺子馆等老北京风味的餐馆和赛百味、永和豆浆等快餐，可按需选择。吃饱喝足，如果还有精力，不妨逛逛旁边的詹天佑纪念馆、中国长城博物馆。,全年 07:30-16:00,https://img1.qunarzz.com/travel/d1/1409/30/e45d423d75798532ffffffffc8d65eac.jpg_480x360x95_bea7fd9d.jpg,4.7,建议游览时间：3小时 - 4小时,春秋两季，春季，百花盛开，温度宜人，是登长城的最好季节；北京的秋季虽然较短，但也是北京一年中最美丽的季节。此时秋高气爽，温度适宜。尤其是十月下旬（霜降前后）至十一月上旬，红叶正浓，此时登长城可赏满山红叶。,"{'八达岭长城门票成人票\n\n': ['¥35起'], '八达岭长城门票（淡季）学生票\n\n': ['¥17.5起'], '八达岭长城+往返直通车票大小同价\n\n': ['¥54.9起']}","电子导游讲解服务语言种类：中文、英文、法文。出租价格及押金:中文20元/次，外文每次40元/次，需支付押金200元/台。租赁地点:关城登城口、南北缆车入口、全周影院售票处、北八楼登城入口 联系电话：010-69121189北京八达岭位于华北平原的北部边缘，依山傍海，为典型的暖温带半湿润大陆性季风气候，四季非常分明。春花、秋月、夏雨、冬雪各具特点。年平均温度为11.8℃，最冷1月份平均气温为-4.6℃,最热为7月份，月平均为26.1℃。八达岭的年平均气温比北京低3℃以上，成为“夏都”延庆的旅游龙头。北京春秋季较短、冬季稍长，年均降水量644毫米，无霜期为180天1、八达岭长城地势较高，处于风口，应多穿一些衣服。2、长城上部分地段坡度很大，最好穿旅游鞋，尤其是女士不要穿高跟鞋。3、八达岭北线索道已恢复运营，游客可选择乘坐缆车游览。",1
颐和园Summer Palace,http://travel.qunar.com/p-oi710431-yiheyuan,,,,,,,,,,1
古北水镇Gubei Water Town,http://travel.qunar.com/p-oi7469087-gubeishuizhen,"

地址:
北京市密云区古北口镇司马台村古北水镇 （京承高速24号司马台长城出口）


电话:
010-81009999,010-81008009,010-81008010


官网:
http://www.wtown.com/

",古北水镇位于密云东北侧，是一处在古村基础上改造重建的古镇景区。古镇依水而建，即有北方古镇的大气威严，也不失江南水乡的特色，可以泡温泉、品尝美食、爬司马台长城等，是京郊地区休闲度假不错的选择。古镇内不通车，非常适合步行游玩。从古镇西侧进入有不少建筑是从山西等地移来的真正古民居建筑，门楣、雕花等都十分古老且精美，可以细细品味。另外，乘船漫游也是不错的选择，坐在船头，悠闲舒适地观赏古镇美景，格外惬意。古北水镇的夜景堪称一绝，小镇在星光照耀与灯光掩映中，宛如一个梦幻的世界。其中，水舞秀是夜游古北水镇不可或缺的重要一景。古镇里望京楼前的音乐喷泉每晚定时开启，喷泉的水柱随着音乐灯光摆动，不时还冒出耀眼的火光，与背后俊美的长城交相辉映，呈现一场视觉盛宴。不可错过的景点古镇里一进门处的司马小烧酒坊里可以参观古老的酿酒工艺，还可以现场买酒。酒坊边的永顺染坊使用古代的大缸浸染的方式染布，游客来此可以看到悬挂晾干的巨幅花布，很像古装剧里的场景，也是拍摄大片的好地方。古镇东边的日月岛上有一处老戏台，经常有河北梆子等北方经典剧种演出。另外，这里的镇远镖局是古老镖局的原貌复原，可以了解押镖文化。镖局门口还有一处露天温泉池，走累的游客不妨在此泡泡脚放松一下。逛逛特色小店古镇内了景点外，还很多特色的小店。工艺品店铺一般集中在古镇西侧，有风筝店、年画店、皮影戏馆、茶叶店等很多古色古香的店面，可以随意逛逛。在古镇东边则是咖啡厅、糖水店、茶馆、烧肉馆、烧饼铺等美食店，在这些店内可以品尝古镇特色的密云烧肉等特色美食。登司马台长城古镇西端是与司马台长城景区相连的，在游玩古镇之后不妨去爬爬长城，体会司马台长城的险峻秀美。冬天来泡温泉冬天游玩这座北方的小镇时，还可以体验一下这里的特色温泉。古北水镇号称是一座温泉小镇，有采自附近地下的天然地热温泉。镇里的几家客栈大多配有环境不错的温泉池，其中段家大院、御舍温泉等比较有名。,全年 09:00-23:00,https://img1.qunarzz.com/travel/d5/1612/e5/3b9c55d7d1953b5.jpg_480x360x95_82be3a95.jpg,4.7,建议游览时间：3天 - 6天,古北水镇是个四季皆适宜游玩的休闲度假胜地。春季碧波荡漾，夏季纳凉避暑，秋季银杏落叶，冬季嬉雪赏冰雕。,"{'北京密云古北水镇门票成人票\n\n': ['¥140起'], '北京密云古北水镇门票优待票\n\n': ['¥80起'], '古北水镇(赠水镇门票)御大温泉馆票成人票\n\n': ['¥298起']}",,1
长峪城长城Changyu City Great Wall,http://travel.qunar.com/p-oi8439271-zhangyuchengzhangcheng,"

地址:
北京市昌平区黄长路


电话:
010-80192955

",长峪城长城位于北京昌平和河北怀来的交界处，全长8公里，是北京境内平均海拔较高的长城段。长峪城的烽火台被当地人称为“高楼”，海拔1439.3米，是北京界内海拔较高的烽火台。游客站在烽火台上远望，有一种一览众山小的成就感。除了海拔高度以外，这里还可以看到北京境内惟一的圆形敌楼（当地人称为“圆楼”）。明代，长峪城、镇边城、白羊城并称京北边关三城，是古时的军事要地。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/5fa569e06d7b76d1d416e47b290717a6.jpg_480x360x95_64e39ada.jpg,4.5,建议游览时间：3天,,具体收费情况以现场公示为主,,1
天安门广场Tiananmen Square,http://travel.qunar.com/p-oi711995-tiananmenguangchang,"

地址:
北京市东城区长安街（天安门和正阳门之间）


电话:
010-63095745

",天安门广场位于北京的中轴线上，是共和国的中心广场。天安门城楼、人民大会堂、国家博物馆、人民英雄纪念碑等众多国家象征都坐落于此，各种大型庆典也都在这里举办，每天清晨的升旗仪式更是吸引无数游客前来瞻仰。观看升降旗仪式天安门广场升（降）旗仪式分为节日升旗仪式和平日升旗仪式。每年元旦、春节、国际劳动节、国庆节和每月1日实施节日升旗仪式。升降旗时间升（降）旗仪式随每天日出时间而不同。具体升旗时间可以查看天安门管委会官网。天安门广场夜间执行清场制，升旗前大约半小时开放入口，降旗后开始清场，关闭入口（根据季节和实际客流情况，开放时间会进行临时调整）。游客可在升旗前半小时，到广场附近等侯。主要景点天安门广场位于天安门正南，广场中央矗立着人民英雄纪念碑和庄严肃穆的主席纪念堂，广场西侧是人民大会堂，东侧是中国国家博物馆，南侧是两座有着几百年历史的古城楼——正阳门和前门箭楼，这些雄伟的建筑与天安门一起，构成了现在的天安门广场。现在的天安门广场，是共和国举行重大庆典、盛大集会和外事迎宾的重地。从建国至今，天安门广场经历了多次大阅兵，见证了中华民族的崛起和振兴。,全年 5:00-22:00,https://img1.qunarzz.com/travel/d6/1611/4a/1e5ed390b30ed1b5.jpg_480x360x95_4d114f58.jpg,4.8,建议游览时间：1小时 - 2小时,四季皆宜，国庆前后最佳，介时广场将有大型主题花坛供人们观赏。,"{'天安门广场观升国旗套餐大小同价\n\n': ['¥103起'], '天安门广场免费预约票+人工讲解服务大小同价\n\n': ['¥48起'], '【纯玩精品团】北京故宫博物院+八达岭长城+鸟巢纯玩一日游\n\n': ['¥178起']}",1、 讲究文明礼貌。使用敬语，不口吐脏字；衣冠齐整，不袒胸露背；互谅互让，不争吵斗殴。2、 维护环境卫生。不随地吐痰及口香糖，不随地乱扔瓜果皮核，烟头纸悄，食品包装及其他包装物，不随地乱倒污水污物。3、 爱护公共设施。不踩踏垃圾桶，不蹬爬华灯基座，不损坏旗杆、护栏、灯具、电器、电信设备和公益告示牌匾。4、 爱护广场绿地。不准进入绿地休息玩耍，不损坏绿地内的喷水设施，不攀折花草树木。5、 维护广场秩序。不在广场踢足球、滑旱冰，不从事无照经营活动，不携带凳子参加广场升降旗仪式。6、 保护文物古迹。不准在石质文物上乱写、乱画、刻划、张贴宣传材料。7、 未经管理部门批准，各种机动车、自行车、人力三轮车不准进入和穿行中心广场。8、 希望广大群众自觉遵守上述规定，服从值勤人员和工作人员的指挥管理。,1
前门大街Qianmen Street,http://travel.qunar.com/p-oi713871-qianmendajie,"

地址:
北京市东城区前门大街


电话:
010-67060009,(010)65253176

",前门大街位于北京市中心南侧，自古就是北京有名的商业街。如今也有多家餐馆、店铺，还有各地的小吃汇集，适合逛街购物、享用美食。另外街上建筑都很古老，搭配牌坊、老招牌、红灯笼等，很有老北京的味道。游玩路线正常游客游玩前门大街都是在步行街部分，即北起正阳门箭楼的外面，南至珠市口东大街为止的这一部分，长约800米左右，在这里步行游玩即可。另外，步行街上还有观光小火车可以乘坐，这种古老的小火车历史悠久，名叫铛铛车，全程几百米，票价约20元，适合带着小朋友前去乘坐。除了前门步行街外，步行街旁边的如大栅栏、鲜鱼口等胡同也都算作是前门大街这一个区域，一起步行游玩。品尝烤鸭、涮羊肉等传统美食游玩前门大街，首先比较重要的事情就是享用传统美食。步行街及周边胡同里有全聚德、便宜坊、东来顺、六必居等众多的餐厅，可以吃到烤鸭、涮羊肉等多种传统美食，而且这些餐厅属于全城统一价，不会比外面贵，相反更加正宗，所以一定要选一家好好尝尝。除了大餐厅外，街边还有很多小吃和糕点店铺，如马迭尔冰棍、北京老酸奶、稻香村、都一处等，不过一般都比外面贵一点，稍微尝试一下可以，若要采购回去做礼物，推荐去其他地方的分店购买。另外，街上还有哈根达斯、星巴克、肯德基等国外的咖啡馆、快餐店品牌可以选择。老建筑里感受京城韵味除了餐馆之外，前门大街和附近的胡同里也有如瑞蚨祥、北京照相机总厂、中国冠帽文化博物馆等店铺和老建筑，可以进入参观。另有各类的茶馆，里面往往有相声、评书等传统艺术表演，可以走进胡同一一游玩。在街上拿起相机，对着眼前的老建筑、老招牌、牌坊和红灯笼拍上几张照片，也都充满了京城韵味。,全天开放,https://img1.qunarzz.com/travel/d9/1508/f8/5be372f0d9022d.jpg_480x360x95_f46ee65e.jpg,4.6,建议游览时间：1小时 - 2小时,四季皆宜。,"{'大城小像北京门票成人票\n\n': ['¥109起'], '大城小像北京门票儿童票\n\n': ['¥70起'], '大城小像北京门票学生票\n\n': ['¥80起']}",20世纪50年代初，前门地区共有私营商业基本户800余家。前门大街东侧从北往南有大北照相馆、庆林春前门大街茶叶店、通三益果品海味店、力力餐厅、天成斋饽饽铺、便宜坊烤鸭店、老正兴饭庄、普兰德洗染店、亿兆棉织百货商店、前门五金店等店铺；西侧从北往南有月盛斋酱肉铺、华孚钟表店、庆颐堂药店、一条龙羊肉馆、盛锡福帽店、公兴文化用品店、祥聚公饽饽铺、龙顺成木器门市部、前门大街麻绳店、前门自行车商店、前门信托商店等店铺。1979年以后，在原有老字号商店和传统经营特色基本保留下来的同时，又陆续开设了五金交电、服装百货、自行车、食品、钟表、化工油漆等新店。前门大街悠久的历史，造就了这里的许多中华老字号，如六必居酱园、同仁堂药店、瑞蚨祥绸布店、长春堂药店、内联升鞋店、张一元茶庄，还有月盛斋的酱肉店、都一处的烧卖店等16处老字号分列道路两侧。在鲜鱼口、打磨厂等胡同内，也是店铺、饭馆林立，不过这里已没有享有很高声誉的老字号，而是外地人在此开设的条件简陋的美容美发店、小饭馆。记者到时正值中午时分，每家饭馆都有一两个伙计站在店门口招徕过往行人，吆喝声此起彼伏。,1
三里屯Sanlitun,http://travel.qunar.com/p-oi18700109-sanlitun,"

地址:
北京市朝阳区三里屯北路东侧

",三里屯位于朝阳区中西部，因距北京内城三里而得名。作为地片名，泛指左家庄、朝外大街、呼家楼、麦子店合围地域。建国后三里屯地区开始建起使馆区，之后逐渐发展成为驻华外交人员聚居、购物和举办外事活动的重要社区。如今的三里屯已经成为北京时尚潮流生活的地标。这里的酒吧街和夜店是北京年轻人夜晚娱乐的主要目的地。逐渐兴建起来的购物中心和潮流名品店更让这里成为引领京城时尚的先锋地带。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/861b8bd23744aa2f29888aaf14a87b90.jpg_480x360x95_b3a39a6c.jpg,4.7,建议游览时间：2小时 - 4小时,,具体收费情况以现场公示为主,现酒吧街到处是拉客的托儿，你只要同意了，那“对不起”，你就等着挨宰吧！不过三里屯太古里南北区中间的小街，还是有非常多值得去的餐厅酒吧和小店。,1
中国国家博物馆National Museum of China,http://travel.qunar.com/p-oi710501-zhongguoguojiabowuguan,"

地址:
北京市东城区东长安街16号天安门广场东侧


电话:
010-65116400


官网:
http://www.chnmuseum.cn/

",中国国家博物馆是代表国家收藏、研究、展示、阐释能够充分反映中华优秀传统文化、革命文化和社会主义先进文化代表性物证的最高机构，是国家最高历史文化艺术殿堂和文化客厅。中国国家博物馆的前身可追溯至1912年成立的国立历史博物馆筹备处，2003年根据中央决定，中国历史博物馆和中国革命博物馆合并组建成为中国国家博物馆。2007年，中国国家博物馆启动改扩建工程，2011年3月新馆建成开放。新馆建筑保留了原有老建筑西、北、南建筑立面。新馆总用地面积7万平方米，建筑高度42.5米，地上5层，地下2层，展厅48个，建筑面积近20万平方米。中国国家博物馆现有藏品数量140万余件，涵盖古代文物、近现代文物、图书古籍善本、艺术品等多种门类。其中，古代文物藏品81.5万件（套），近现代文物藏品34万件（套），图书古籍善本24万余件（册），共有一级文物近6000件（套）。近年来特别是党的十九大以来，中国国家博物馆加大反映革命文化、当代先进文化代表性物证的征集力度，面向社会公开征集文物藏品，每年平均征集古代文物50件套左右，近现代文物、实物和艺术品1000余件套。中国国家博物馆展览包括基本陈列、专题展览、临时展览三大系列，构成涵盖主题展览、基本陈列、专题展览、临时展览的立体化展览体系。其中，“古代中国”、“复兴之路”和“复兴之路新时代部分”为国家博物馆的基本陈列，也是弘扬中华优秀传统文化、革命文化、社会主义先进文化，培育和践行社会主义核心价值观的重要阵地。专题展览主要以馆藏文物为基础，包括中国古代青铜器、佛造像、玉器、瓷器、现代经典美术作品、非洲木雕等十余个专题展览。临时展览包括自主策划展览和引进交流展览两大类，覆盖历史文化、精品文物、考古发现、经典美术作品、地域文化和国际交流等多个方面，年均办展40余个。2018年国家博物馆观众人数达861余万人，创造观众参观历史新高，是世界上受欢迎的博物馆之一。特别是“伟大的变革——庆祝改革开放40周年大型展览”期间，国家博物馆接待观众达423余万人次。这一集中展示中华大地40年人间奇迹与磅礴巨变的展览，不仅成为海内外媒体关注的焦点，更刷新了一项项布展、观展、反响纪录，树立了大型展览活动的新标杆。中国国家博物馆拥有丰富的研究资源、扎实的研究基础和雄厚的研究力量，是国内博物馆事业发展的行业头雁。2018年以来，按照“不求所藏、但求所展，开放合作、互利共赢”的原则，与国内外多家文博机构、院所高校等建立战略合作关系，联合开展学术研究，举办文物精品展览，召开研讨会，启动博士后科研工作站，牵头成立金砖国家博物馆联盟和丝绸之路博物馆联盟两个国际组织，努力在弘扬社会主义核心价值观、增强文化自信、促进中外文明交流互鉴、建设社会主义文化强国方面发挥更大作用，作出更大贡献。,全年 周二-周日 09:00-17:00;全年 周一 全天不开放 ;中国法定节假日 09:00-17:00,https://img1.qunarzz.com/travel/d5/1507/9e/fd875e83dd85b7.jpg_480x360x95_2f63a8f2.jpg,4.8,建议游览时间：3小时 - 4小时,四季皆宜。,"{'中国国家博物馆深度讲解一日游(含门票+网红导游深度讲解)\n\n': ['¥188起'], '【千人好评】 中国国家博物馆半日游-参观票+3小时人工讲解 中高级导游讲师\n\n': ['¥108起'], '【京状元·国博精讲团】北京中国国家博物馆一日游讲解大国重器的前世今生\n\n': ['¥168起']}",1、现场领票可能排队较久，而且有时会因限流无法领取，推荐通过网络或短信方式提前预约，现场刷身份证便可自助取票。2、基本陈列和专题展览提供定点免费讲解，按时在相关展厅等候即可。3、馆内常设展览可拍照，但不可使用闪光灯和三脚架。,1
什刹海Shichahai,http://travel.qunar.com/p-oi705983-shenchahai,"

地址:
北京市西城区东起地安门外大街北侧、南至新街口北大街、西至新街口豁口、北至钟、鼓楼的区域


电话:
010-84038677

",什刹海指前海、后海和西海三个湖泊及临近地区，这里拥有大片优美的湖面，也是北京著名的一片历史街区，众多名人故居、王府等古迹散落其中，还有贴近老百姓生活的各类美食，后海酒吧街更是京城夜生活的老牌胜地。夏天来坐游船初到什刹海，第一眼一定被大片潋艳的湖光所吸引。夏天湖边非常清凉，荷花盛开，可以坐船欣赏湖景。沿湖码头不少，有前海的好梦江南码头、荷花市场码头，后海的野鸭岛码头、柳荫争渡等码头，都有游船可以坐。脚踏船、手划船可自个儿玩个尽兴，根据不同船型，船费在每小时40-60元间不等；若是观光摇橹船会带你环湖游览，大约需1个小时左右，船夫还会讲解一下什刹海的景点，和人拼船参考价50元。冬天在湖上滑冰到了冬天湖面结了冰，游船便不开了，但可以来欣赏冬景。当冰层达到一定厚度，湖上就会开辟出什刹海滑冰场，入场参考价20元/人，另外还提供冰鞋、冰上自行车等的租借，都不贵，不过需要100-200元的押金。参观古建筑什刹海周边的古建筑使景区依然保留着老北京特色。有汇通祠、德胜门箭楼、醇亲王府、广化寺、银锭桥、钟鼓楼等景点。其中颇为有名的当属位于前海西街上和珅的宅邸——恭王府。除了一睹清朝贪官和珅的豪宅外，府中还藏着的1万多个“福”字，康熙御笔福字碑更是让游客不惜排长队也要一睹真容。若有兴趣，还可以拐到烟袋斜街寻访标志着中国近代邮政诞生的大清邮局，在邮局敲几个花纹精美的邮戳做纪念，当然盖邮戳要先购买邮局的明信片。尝尝老北京小吃喜欢随意吃些小吃，可以买一串冰糖葫芦，靠着什刹海的汉白玉栏杆，边吃边看看湖上来往的游船。若要专门寻访北京小吃，可以去九门小吃，在老式四合院中，酱牛肉、褡裢火烧、涮羊肉、豆腐脑，应有尽有；或者去梅兰芳纪念馆西边的护国寺小吃街，管式翅吧、宫廷奶酪、鞋底火烧，品尝来自胡同的美味；另外，在荷花市场里有家全聚德烤鸭店。酒吧夜生活每当夜幕降临，热闹的时候便来临了。围绕什刹海的众多酒吧传来阵阵歌声，什刹海的一些酒吧歌手真的唱得不错，酒吧背后有“北漂”一族的故事。摇滚歌手窦唯在什刹海驻唱过3年，据说现在什刹海的餐馆庆云楼就是他开的。其他比较出名的酒吧有胡同写意、甲丁坊等。去酒吧坐坐，看歌手表演，从歌声中仿佛能听到“北漂”们对音乐的热忱。周边景点什刹海东边靠着南锣鼓巷，南边临着北海公园，与再南边一点的景山公园、故宫、天安门广场离得也不远。一般白天玩故宫或者天安门，晚上到什刹海的酒吧坐坐；若不去故宫、天安门，喜欢湖景，可以北海公园和什刹海一起游玩；若只喜欢逛街吃小吃，可以逛完什刹海去旁边的南锣鼓巷接着逛。,全天开放,https://img1.qunarzz.com/travel/d1/1505/2b/cb8644b593c8e9.jpg_480x360x95_10994625.jpg,4.7,建议游览时间：2小时 - 4小时,四季皆宜，冬夏最佳，夏季可泛舟、冬季可滑冰。,"{'什刹海老北京胡同游（观光车）票大小同价\n\n': ['¥10起'], '老北京胡同游成人票\n\n': ['¥150起'], '老北京胡同游儿童票\n\n': ['¥57起']}",1. 后海酒吧街夜晚的音乐质量很高，很多明星成名前都曾在这里驻唱，挑中一家酒吧，聆听北漂一族歌声背后的故事。2. 恭王府是和珅曾经的府邸、烟袋斜街是北京著名的商业街，是什刹海周边最值得参观的地点。,1
