名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
武当山风景区Wudang Mountain,http://travel.qunar.com/p-oi706986-wudangshanfengjingqu,,,,,,,,,,1
金顶,http://travel.qunar.com/p-oi716632-jinding,"

地址:
武当旅游经济开发特区武当山风景区内

",大岳太和宫建在众峰拱拥、直插云霄的武当最高峰――天柱峰的绝顶上。天柱峰海拔1613米，被誉为“一柱擎天”，是武当山的最高胜境，无论是信士香客，还是游人墨客，只有登上顶峰，走进太和宫，才是真正意义上的到了武当山。太和宫还有一个俗称，叫金顶。太和宫整体建筑布局是依居天险、随山就势，充分利用其山形的自然起伏；在构筑上借其峻险而添其隆重，以达到肃穆庄严、大气滂溥的艺术效果，有着垂悬中的稳重和独步云天的威严。古人称之为“千层楼阁空中起，万叠云山足下环”，并说这...大岳太和宫建在众峰拱拥、直插云霄的武当最高峰――天柱峰的绝顶上。天柱峰海拔1613米，被誉为“一柱擎天”，是武当山的最高胜境，无论是信士香客，还是游人墨客，只有登上顶峰，走进太和宫，才是真正意义上的到了武当山。太和宫还有一个俗称，叫金顶。太和宫整体建筑布局是依居天险、随山就势，充分利用其山形的自然起伏；在构筑上借其峻险而添其隆重，以达到肃穆庄严、大气滂溥的艺术效果，有着垂悬中的稳重和独步云天的威严。古人称之为“千层楼阁空中起，万叠云山足下环”，并说这是“补秦始汉武之遗……，历朝罕见”。来过武当山的世界遗产专家、空间学专家、建筑专家无不惊叹大岳太和宫反映出的建筑思想及人文景观和自然景观的高度统一，认为这是旷古之杰作，前无古人，后无来者。,索道运行时间5：30--18：00,https://img1.qunarzz.com/travel/d3/1711/4f/3ecaa3fd3ddeefb5.jpg_480x360x95_d3951725.jpg,4.6,建议游览时间：1小时 - 2小时,,武当山景区门票243元已包含,,1
上津古城,http://travel.qunar.com/p-oi714352-shangjingucheng,"

地址:
湖北省十堰市郧西县城西北70公里的上津镇 

",又称柳州城，在郧西县城西北70公里的上津镇，为明代城址。周长1236米，面积约8万平方米。城墙高约7米，呈梯形．为青砖砌成。设5个城门，高3米余，门内右侧有蹬道至城楼。城外有护城河，宽35米，深6米。城中轴线偏西有一南北向主街，连接南北二门，长287米，宽3米，从西门至主街有一小街，长60米，街道正中以青石板铺面，旁为卵石馒路，街檐设下水道。房屋建筑多为砖木结构，隆脊吻檐，雕梁画栋，一进多重。据文献资料和考古分析，此城建于明嘉靖二至三年（1523-1524），清嘉庆七年（18...又称柳州城，在郧西县城西北70公里的上津镇，为明代城址。周长1236米，面积约8万平方米。城墙高约7米，呈梯形．为青砖砌成。设5个城门，高3米余，门内右侧有蹬道至城楼。城外有护城河，宽35米，深6米。城中轴线偏西有一南北向主街，连接南北二门，长287米，宽3米，从西门至主街有一小街，长60米，街道正中以青石板铺面，旁为卵石馒路，街檐设下水道。房屋建筑多为砖木结构，隆脊吻檐，雕梁画栋，一进多重。据文献资料和考古分析，此城建于明嘉靖二至三年（1523-1524），清嘉庆七年（1802年）重修。现城垣完整，城内建筑大部分为原貌。,全天,https://img1.qunarzz.com/travel/poi/201211/15/ff8868b517f3a76bddb12cfb.jpg_480x360x95_bf9ceaad.jpg,4.4,建议游览时间：2小时 - 3小时,一年四季均可。,免费,,1
南岩,http://travel.qunar.com/p-oi718096-nanyan,"

地址:
十堰丹江口市武当旅游经济开发特区永乐路14号武当山风景区

",南岩，又名“紫霄岩”，因它朝向南方，故称做南岩。它的全称是大圣南岩宫，是武当山人文景观和自然景观结合得最完美的一处。据记载，在唐朝，八仙之一的吕洞宾就曾在南岩修道，至今这里还留有他作的一首诗。史书盛赞南岩是“分列殿庭，晨钟夕灯，山鸣谷震”。在这里，把“晨钟暮鼓”用作了“晨钟夕灯”，说明了当时南岩建筑布局错落有致，到了晚上，这里的灯火成了别具特色的景观。 南岩的古建筑，在手法上打破了传统的完全对称的布局和模式，使其与环境风貌达到了高度的和谐统一。工...南岩，又名“紫霄岩”，因它朝向南方，故称做南岩。它的全称是大圣南岩宫，是武当山人文景观和自然景观结合得最完美的一处。据记载，在唐朝，八仙之一的吕洞宾就曾在南岩修道，至今这里还留有他作的一首诗。史书盛赞南岩是“分列殿庭，晨钟夕灯，山鸣谷震”。在这里，把“晨钟暮鼓”用作了“晨钟夕灯”，说明了当时南岩建筑布局错落有致，到了晚上，这里的灯火成了别具特色的景观。 南岩的古建筑，在手法上打破了传统的完全对称的布局和模式，使其与环境风貌达到了高度的和谐统一。工匠们巧借地势，依山傍岩，使个体精致小巧的建筑形成了大起大落，颇具气势的建筑群。 南岩景观多而独特，有一峰兀起，景色秀美的飞升崖；有伸出绝壁的龙头香；有建在危崖上的古石殿；游人到此，无不称绝！,7:00-17:00,https://img1.qunarzz.com/travel/poi/1409/03/a35c0f64475667fcffffffffc8d65eac.jpg_480x360x95_c83f74cd.jpg,4.7,建议游览时间：1小时 - 2小时,春秋两季。,武当山景区门票243元已包含,,1
紫霄宫Zixiao Palace,http://travel.qunar.com/p-oi717622-zixiaogong,,,,,,,,,,1
太子坡Taizipo,http://travel.qunar.com/p-oi5860383-taizipo,"

地址:
十堰市丹江口市武当路附近武当山景区内


电话:
0719-5668567,0719-5665396

",太子坡，又名复真观，位于武当山狮子峰60度的陡坡上，明永乐十年（公元1412年）修建，清康熙年间三度重修，现基本保持了当年的规模，是武当建筑群中的一个较大单元。传说中净乐国太子（真武大帝成仙前的身份）15岁时入山修道之初，就住在这山坡上。太子坡（复真观）建筑群包括复真桥、九曲黄河墙、龙虎殿、祖师殿、太子殿、五云楼等主要建筑。乘坐景区大巴到达太子坡的停车场后，迎面就是“复真桥”，过桥后的山门门楣上，砖雕的匾额刻着“太子坡”三个大字，这是明永乐十七年（1419年...太子坡，又名复真观，位于武当山狮子峰60度的陡坡上，明永乐十年（公元1412年）修建，清康熙年间三度重修，现基本保持了当年的规模，是武当建筑群中的一个较大单元。传说中净乐国太子（真武大帝成仙前的身份）15岁时入山修道之初，就住在这山坡上。太子坡（复真观）建筑群包括复真桥、九曲黄河墙、龙虎殿、祖师殿、太子殿、五云楼等主要建筑。乘坐景区大巴到达太子坡的停车场后，迎面就是“复真桥”，过桥后的山门门楣上，砖雕的匾额刻着“太子坡”三个大字，这是明永乐十七年（1419年）驸马都尉沐昕亲笔题写的。走进山门，就是的武当山“九曲黄河墙”。在古道上，依山势起伏，建有七十多米长的红色夹墙，回转起伏，曲曲弯弯，犹如波浪起伏，弯曲高大的红墙，配上绿色琉璃瓦顶，无论从什么角度欣赏，都美感十足，体现出皇家建筑的气派和豪华。这里也是山中摄影迷们驻足流连的地方。在祖师殿（复真观大殿）中，你能欣赏到供奉的真武神像和侍从金童玉女。这一组巨大的塑像是武当山全山大的彩绘木雕像，约有600年的历史。而在太子坡（复真观）建筑群的高处，是明代建造的太子殿。殿内有真武大帝少年（太子时代）读书的壁画、石案、笔墨、古籍等，所营造的刻苦读书的氛围，让人联想到当年太子生活学习的艰辛。殿内还供奉有铜铸太子读书像，这里也是武当山求学祈福之地，每年都有考生或父母来这里敬香祈福。如果你是古建迷，那么你在太子坡一定不能错过五云楼。太子坡的五云楼，也叫五层楼，高约15米，是现存武当山高的木构建筑。五云楼采用了传统的营造工艺，墙体、隔间、门窗都是木质结构。五云楼值得看的是顶层的“一柱十二梁”：在一根主体立柱上，有十二根梁枋穿凿在上，这种构架，是古代木结构建筑的杰作。在太子坡游玩，你还能看到红军时期遗留下来的痕迹，如在观内照壁上写的“实行土地革命”、“红军是工农贫民的军队”等革命标语。,7:00-18:00,https://img1.qunarzz.com/travel/d4/1807/ea/01f3939f1d553bb5.jpg_480x360x95_44b9d979.jpg,4.6,建议游览时间：1小时 - 1.5小时,春秋两季。,包含于武当山景区内，通用武当山景区门票。,,1
逍遥谷Xiaoyao Valley,http://travel.qunar.com/p-oi7588166-xiaoyaogu,"

地址:
十堰市丹江口市武当山景区内


电话:
0719-5668567,0719-5665396

",逍遥谷俗称猕猴谷，是武当山各大景区中一处自然景观。谷中动物种类繁多，时常出没丛林，出现了“金猴跳涧”、“猕猴献桃”等奇景，是武当山“动八景”中很有代表性的景点。这里也是成龙的电影《功夫梦》的外景拍摄地。逍遥谷每天10:30和15:30会上演精彩的武术表演。练武场对面即是龙泉观，由古老的剑河桥连接在一起，这是武当山古神道上的重要通道。在这里，游客若带有事物，猴子们会毫不客气的接过食物，然后有礼貌的拱手致谢；若没带吃的，有些顽皮的猴子还像小孩子似的拦住“索要”呢。游客在喂猴时，还可与猴拉手拍照，真是“人猴同乐，乐在其中”。,具体开放时间请咨询景区,https://img1.qunarzz.com/travel/d7/1504/78/dec5a6750ee31e.jpg_480x360x95_57581c8f.jpg,4.3,建议游览时间：1小时 - 2小时,春秋两季。,包含于武当山景区内，通用武当山景区门票。,,1
玉虚宫Yuxu Temple,http://travel.qunar.com/p-oi718365-yuxugong,"

地址:
十堰市丹江口市武当山镇


电话:
0719-5665396

",玉虚宫，位于武当山下的武当山镇，距离玄岳门大约4公里，目前是免费开放。玉虚宫始建于明代永乐十一年（1413年），当年这里是管理武当山的大本营，住在这里的是由皇帝钦选的“武当提点都”，官至正六品，玉虚宫是当年武当山建筑群中大的庙宇，永乐皇帝钦定为“玄天玉虚宫”。玉虚宫在明朝天启七年（1627年）发生了毁灭性火灾，后来又遭受到山洪等灾害，大片建筑被毁。现存建筑及遗址主要有两道长约千米的宫墙、两座碑亭、五座殿基和清代重建的父母殿、云堂以及东天门、西天门、北天门...玉虚宫，位于武当山下的武当山镇，距离玄岳门大约4公里，目前是免费开放。玉虚宫始建于明代永乐十一年（1413年），当年这里是管理武当山的大本营，住在这里的是由皇帝钦选的“武当提点都”，官至正六品，玉虚宫是当年武当山建筑群中大的庙宇，永乐皇帝钦定为“玄天玉虚宫”。玉虚宫在明朝天启七年（1627年）发生了毁灭性火灾，后来又遭受到山洪等灾害，大片建筑被毁。现存建筑及遗址主要有两道长约千米的宫墙、两座碑亭、五座殿基和清代重建的父母殿、云堂以及东天门、西天门、北天门遗址。近年来，采用修旧如旧的办法，逐步修复重建了龙虎殿、玉虚殿、玉带河、宫内石板地面等工程。如今，当你从山下的玄岳门来到这里，走在明代遗留下来的石板铺成的道上，眼前虽然是残破的遗址、台基和残存的建筑，但还是能够感受到玉虚宫的宏大和厚重的气氛。在这里游玩，经常能看到一些武术爱好者在这里练功，其中不乏很多外国人了，看着这些国外武术爱好者，扛着中国的大刀长矛，走在几百年历史的斑驳宫墙下，也是挺有意思的一件事。,全年 8:00-17:30,https://img1.qunarzz.com/travel/d1/1604/7d/b5d6dc019a2673f7.jpg_480x360x95_ad7f17e6.jpg,4.4,建议游览时间：1小时,春秋两季。,5元,,1
榔梅祠Langmei Temple,http://travel.qunar.com/p-oi721828-langmeici,,,,,,,,,,1
朝天宫Chaotian Palace,http://travel.qunar.com/p-oi717326-chaotiangong,"

地址:
十堰市丹江口市武当旅游经济开发特区永乐路14号武当山风景区内


电话:
0719-5689187;0719-5668567

",朝天宫建于武当神道上，上拱天柱峰，下瞰南岩宫。相传，朝天宫被视为“天界”，是天庭与人间的分界线。古时朝武当的信士到此，就相当于进入了天宫的大门，因此，他们都要在这儿先礼拜后，再继续登金顶。朝天宫主殿内供奉玉皇、真武等神像。现在，宫内设有“历代皇帝与武当山”的专题展览，荟萃了历代皇帝为武当山所下的圣旨、题字等文物。此外，朝天宫还有供奉真武神系中其它神仙的东配殿和西配殿的殿堂，以及朝天宫主要神灵区庙堂的朝天宫道院等。宫后峭壁高耸。雨时，瀑布飞泻，势若天河开闸；冬季，冰瀑高悬，如挂白绢，极为壮观。,全年 8:00-17:00,https://img1.qunarzz.com/travel/poi/1409/03/c15124c288ee8db5ffffffffc8d65eac.jpg_480x360x95_8a240ae3.jpg,4.3,建议游览时间：1小时,春秋两季最适宜。,,,1
