名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
牛首山文化旅游区Niushou Mountain Cultural Tourism Zone,http://travel.qunar.com/p-oi5475531-niushoushanwenhualu:you,"

地址:
南京市江宁区宁丹大道18号


电话:
400-165-6363


官网:
https://www.niushoushan.net

",牛首山又名天阙山，因山顶东西双峰形似牛头双角而得名。牛首山文化旅游区风光秀美，素有“春牛首”之美誉，古有牛首烟岚、祖堂振锡等金陵美景，还遗存了很多历史古迹，如岳飞抗金故垒、郑和文化园等。佛顶宫佛顶宫以佛祖顶骨舍利供奉为主题，分为大穹顶和小穹顶两个部分，寓意外供养和内供养。佛顶宫利用原有矿坑建地宫，地下六层，地上三层，很是庄严气派。近年，释迦牟尼佛顶骨舍利将在牛首山被长期供奉，游客可于特殊佛教节日前往佛顶宫瞻礼，具体瞻礼舍利的时间可致电景区咨询。千年历史牛首山文化旅游区是一个佛教圣地。梁朝天监二年（503年）司空徐度修建的佛窟寺是牛首山的首座寺庙，南唐后主李煜更名为弘觉寺；唐代宗“曾梦牛首山辟支佛来见”故有辟支塔。唐代，被誉为“东夏之达摩”的法融禅师在牛首山创立了牛头禅宗，古称“江表牛头”，牛头禅宗的创立使印度禅真正蜕变为中华禅起到了重要的桥梁作用。 桃花溪桃花溪位于牛首山东入口，总占地面积14.87公顷，约220亩，桃花品种选取了适合南京地区生长的26种桃花，是牛首山景区打造的一处新景观。一条小溪自吟龙湖蜿蜒而下，溪水潺潺，两侧种满了桃花，春季里花苞渐次盛开，一片花海令人陶醉。,全年 08:30-17:30,https://img1.qunarzz.com/travel/d2/1611/ec/03d7f6f04e11e3b5.jpg_480x360x95_2f22f1c0.jpg,4.7,建议游览时间：4小时 - 6小时,4至5月，春雨如酥，烟水朦胧，欣赏牛首烟岚的幽梦意境；6至7月，梅雨霁，暑风和，感受牛首万木葱茏的诗情画意；9至10月，金风飒飒，秋雨绵绵，尽享牛首佛禅之浓厚意趣。,"{'南京牛首山文化旅游区门票成人票\n\n': ['¥85起'], '南京牛首山文化旅游区门票老人票\n\n': ['¥48起'], '南京牛首山文化旅游区门票优待票\n\n': ['¥48起']}",1、牛首山景区提供人工讲解服务。自助语音讲解器租赁服务，游客也可以通过下载牛首山APP或关注牛首山官方微信享受免费自助讲解服务。费用:人工讲解1-30人，佛顶圣境区域中文讲解120元，英文/韩文/日文讲解180元，100分钟。东入口到佛顶宫，全程中文讲解240元，英文/韩文/日文讲解360元，190分钟。2、自助语音讲解器，租赁费用20元/次/台，押金200元3、游览车:位于景区入园游览车售票处，工作时间9:00-17:30，不限次20元/人，凭票在各站点乘坐，当日有效;单次10元/人， 购票乘车，下车作废。支持现金支付。:4.游览车线路，东线:游客从东入口入园，牛首站-→佛顶寺站- >佛顶圣境站- >天阙站-→吟龙湖站-→牛首站;西线:游客从西入口入园，三宝站-→天阙站>佛顶寺站-→牛首站-→吟龙湖站一→观景台站→宝相湖站→三宝站。5.官方微博:牛首山文化旅游区官博，官方微信:牛首山文化旅游区，可体验免费语音解说。,1
南京博物院Nanjing Museum,http://travel.qunar.com/p-oi5851531-nanjingbowuyuan,"

地址:
南京市玄武区中山东路321号


电话:
025-84807923


官网:
http://www.njmuseum.com/

",南京博物院坐落在紫金山南麓、中山门内北侧。在这里你既可以看到《盗墓笔记》中金缕衣这样的古代文物，也可欣赏书画艺术，甚至在老街道上走一走，来一场穿越之旅。博物馆历史博物院于1933年筹建，1948年建成，主殿模仿天津独乐寺山门的模样。2009年扩建，2013年11月6日对外开放后，成了仅次于中国国家博物馆的中国第二大博物馆，共设历史馆、特展馆、数字馆、艺术馆、民国馆、非遗馆六馆。博物馆布局博物院的主要建筑分左右两块，右边走一段路后是仿独乐寺的博物馆老主殿，现已不再用作陈列展品，而成了安检的地方，“独乐寺”后是历史馆，其他五馆都在左手边。你既可以从左边五馆游览到右边历史馆，也可以从历史馆游览到左边五馆。建议先去历史馆，因为有“镇院之宝”的特展馆就在历史馆左侧，可按历史馆-特展馆-数字馆-民国馆-艺术馆-非遗馆的顺序，游览完整个博物院。历史陈列馆历史馆陈列着从远古到明清按时代顺序排列的文物，行走其中，好像漫步于江苏上下五千年的文明里。值得一看的有：远古时代的恐龙骨架；金缕衣、银缕衣；南北朝时用一块块砖砌成的墙，细看上面隐隐刻着“竹林七贤”的砖雕等。特展馆特展馆“盛世华彩”区陈列清朝官窑，“钟表精品展”陈列中国古代计时器、西洋钟表，“走进佛像”有金光闪闪的精美佛像。而“镇院之宝”明正统初年（公元1436-1439年）的鎏金藏式佛塔，一件展品占了一间房间，光那排场就足够震撼了。这件镇院之宝出土于南京牛首山的弘觉寺塔地宫，方形的红色砂岩基台上，四个青花瓷瓶围绕着中间的金色佛塔，佛塔的前方有一个小小的金棺银椁，棺椁上躺着金色释迦牟尼卧像。数字馆数字馆用现代技术展现古代题材，展品诸如动画《南都繁绘景物图卷》（类似世博会中国馆里的清明上河图）。比较有意思的是，这里有很多互动游戏，你可以触摸屏幕来玩古代背景的游戏。艺术馆艺术馆陈列雕塑、书法、绘画。展出的傅抱石的画，用中国水墨画来画东欧的红顶建筑、广场和雕塑，还是很特别的。民国馆民国馆把整个室内都做成了民国时期街道的模样。街道上摆着有轨电车，街两旁民国风铺子林立并开门营业，出售的当然也是能勾起人回忆的东西。在一家南北杂货铺，你可以买到小时候吃过的“老鼠屎”（又名金桔丸）。邮政局可以盖南京博物院邮戳，邮政局楼上的先锋书店，服务员都穿着当时的服装，要寄明信片书店也有买邮票。非遗馆非遗馆展出刻板、剪纸、金箔、花灯等民间手工艺。能在此欣赏昆曲、白局、评弹等表演，表演参考时间：14:00-16:00。在小剧场则能免费看3D影片，片长约20分钟。非遗馆的小剧场在双休日与节假日晚上19:00若有传统曲艺表演，也会对外开放，需要买票。 ,全年 周二-周日 09:00-17:00;全年 周一 全天不开放 ;中国法定节假日 09:00-17:00,https://img1.qunarzz.com/travel/d4/1607/1f/0e3247a420e1a553.jpg_480x360x95_1288ec12.jpg,4.6,建议游览时间：2小时 - 4小时,四季皆宜。,"{'南京博物院人工讲解服务团队票\n\n': ['¥600起'], '南京博物院电子导览服务大小同价\n\n': ['¥0.7起'], '南京博物院私享人工讲解服务大小同价\n\n': ['¥620起']}",1. 平时门票一般无需预约，可凭有效证件，到博物院门口的服务中心人工取票窗口当场换票。2. 在官网上预约过门票的游客，可凭身份证或发到预约人手机上的预约码，到服务中心或安检处的自助领票机上取票。没有预约过，在自助领票机上刷身份证也能取票。3. 节假日游客特别多时，建议提前在官网上预约下门票，以避免因限制参观人数而导致现场领不到票的情况，而且自助取票也更加方便，不用再去人工窗口排队了。4. 历史馆、特展馆、艺术馆，10:00和14:00有免费的导游讲解，每个馆的导游只讲解本馆的内容。你想听哪个馆的讲解，就提前半小时到该馆的服务台联系导游事宜。5. 历史馆、特展馆、艺术馆的服务台，都能凭身份证、户口本、医保卡（学生证不能用）免费借讲解器，需抵押证件。不论哪个馆借的讲解器，都只讲解历史馆的内容。讲解器不是很多，博物院人多的话，不一定借得到。6. 饮料在过安检时喝一口就能带入博物院内，食物也能带入，但不要在陈列室吃，可在休息区吃，文明观展。博物院内有餐饮处，比如进博物院左手边艺术馆门口就有，不过院内吃的都偏贵。7. 在特展馆“镇院之宝”的对面还有儿童古代智慧体验馆，供1米-1.4米的儿童玩玩滑梯、沙堆、织布机，需提前到南京博物院官网预约。8. 博物院门口的服务中心和每个馆的服务台，都提供免费的寄存服务。9. 博物院内能够拍照，但是不能打闪光，不能带三脚架进入。10. 打火机不能带入院内，安检时，带打火机的话会被查出来。11. 南京博物院和南京博物馆不是同一个地方，南京博物馆又叫朝天宫，在南京市白下区王府大街上。,1
鸡鸣寺Jiming Temple,http://travel.qunar.com/p-oi707188-jimingsi,"

地址:
南京市玄武区鸡鸣寺路1号


电话:
025-83361123,025-57715595

",鸡鸣寺也叫古鸡鸣寺，北临玄武湖，始建于西晋，是南京较为古老的佛寺之一。清明时在寺前道路可观赏樱花花海，夏季登上药师佛塔可眺望玄武湖的荷花。古寺历史鸡鸣寺历史可追溯至东吴的栖玄寺，寺址所在为三国时属吴国后苑之地，300年（西晋永康元年）在此倚山造室，始创道场。东晋以后，此处被辟为廷尉署，至527年（南朝梁普通八年）梁武帝在鸡鸣埭兴建，使这里从此真正成为佛教胜地。1387年（明洪武二十年）明太祖朱元璋下令拆去旧屋，扩大规模，重建寺院。朱元璋题额为“鸡鸣寺”。后经明宣德、成化、弘治年间扩建，院落规模宏大。后来古寺毁于咸丰战火，虽同治年间重修，规模已大大缩小，但香火却一直旺盛不衰。山门鸡鸣寺山门位于鸡鸣寺路左侧石级上，山门正中是“古鸡鸣寺”四个金字。步入山门，寺中环境十分幽雅，佛殿精美，香火缭绕，左为施食台，台前为弥勒殿，其上是大雄宝殿和观音楼。此外寺内还有韦驮殿、志公墓、藏经楼、念佛堂、药师佛塔等主要建筑。大雄宝殿大雄宝殿又名毗卢宝殿，是鸡鸣寺的主殿，殿内正中供奉三身佛中的毗卢佛（法身佛像），两边为文殊、普贤两大菩萨，而东西两旁供二十四诸天。药师佛塔药师佛塔共七层八面，塔内供奉着一座药师佛铜像。这座塔还是电视剧《新白娘子传奇》中拍摄雷峰塔的地方（当时西湖雷峰塔已倒，而新的还没修好）。拜佛求签寺内可以求签，还能写许愿牌然后挂起来。每当农历二月十九、六月初九、九月十九（即观音菩萨诞生、成道、出家纪念日），众多游客来此拜佛敬香。拜佛并不是在大殿内，而是在香台前的大平台上。香台前有支巨大的红烛，外侧台上有一排莲花油灯，可供香客燃香，内侧台上则摆着一柱柱燃着的香。胭脂井寺的东北边还有一口胭脂井，相传隋灭陈时，陈后主陈叔宝与其妃张丽华、孔贵嫔曾藏入井中。因为这段往事，很多游客慕名前来。 ,全年 07:00-17:30;全年 07:30-17:00,https://img1.qunarzz.com/travel/d8/1803/17/9023afdf55610db5.jpg_480x360x95_76bc814c.jpg,4.5,建议游览时间：1小时 - 2小时,春季最为适宜。3月-4月中旬是赏樱花的最好时节。此时鸡鸣寺内樱花盛开，樱花背后是古朴的飞檐，古韵陪着樱花更引人入胜。,"{'鸡鸣寺电子导览票大小同价\n\n': ['¥4.2起'], '鸡鸣寺VIP人工讲解服务大小同价\n\n': ['¥378起'], '鸡鸣寺+玄武湖景区人工讲解服务团队票\n\n': ['¥558起']}",1、如遇药师佛塔维修则无法登塔，可以看到第一层的佛像；2、鸡鸣寺里的素面也非常有名，每碗15元左右，你不妨试试看；3、官方微信：nanjingjimingsi（南京鸡鸣寺），官方微博：南京鸡鸣寺,1
夫子庙Confucius Temple,http://travel.qunar.com/p-oi720296-fuzimiao,"

地址:
南京市秦淮区秦淮河风景区


电话:
025-52209788,025-52855667


官网:
http://www.njfzm.net/index.php

",夫子庙始建于宋代，位于秦淮河北岸的贡院街旁，原是祀奉孔子的地方，后多次遭毁并重建。它与北京孔庙、曲阜孔庙、吉林文庙并称为中国四大文庙，也是夫子庙秦淮河风光带主要的景点。民间艺术大观园夫子庙里有一个民间艺术大观园，你可以观看现场制作灯彩、剪纸、微雕等工艺品，听地方戏曲和南京白局。进夫子庙时可以留意一下演出时间表，演出时长约10分钟。春节灯会每年春节至元宵节期间夫子庙都会举行春节灯会（又称秦淮灯会、金陵灯会），尤其元宵节时万灯齐明，游人如海。此外，夫子庙也不时地举办“雨花石展”、“古代礼仪文化展”、“古代雅乐表演”等展演活动，十分热闹。夫子庙建筑布局整个夫子庙建筑群前面是文庙，后面为学宫，布局左右对称，自南向北构成一个儒学文化中轴线。迈过棂星门和大成门，就是中心庙院。石砌甬道直通大成殿，殿前立着一尊4米多高的孔子青铜像，甬道两旁有十二贤人的汉白玉塑像。大成殿大成殿是夫子庙的主殿，里面悬挂着一幅6米多高的孔子画像，被称为中国孔庙一大杰作。大殿四壁上是38幅彩石镶嵌壁画《孔子圣迹图》，反映了孔子的生平事迹。民间艺术大观园从大成殿后门走出就到了学宫，包括明德堂、尊经阁（即民间艺术大观园）等。大门上有清末状元秦大士题写的“东南第一学”门匾。学宫南侧矗立着四块石碑，其中《孔子问礼图碑》最为著名，记载了孔子从家乡去周王城洛阳考察典章制度的经历，可谓“镇庙之宝”。 秦淮河小吃参观夫子庙之余，自然还要体验一把秦淮河小吃，这一带餐饮店很多，蟹壳黄烧饼、开洋干丝、牛肉锅贴、鸡丝浇面、鸭血粉丝汤等一定要试试。另外，这里的商铺也鳞次栉比，你可以挑选一些价钱实惠又具有秦淮特色的纪念品。 ,全年 09:00-22:00,https://img1.qunarzz.com/travel/d7/1608/90/b18722bfba4f87b5.jpg_480x360x95_6c5880d3.jpg,4.5,建议游览时间：2小时,四季皆可游玩，特别是12月份的夫子庙周边有盛大食品节，传统小吃与风味食品多种多样，是热闹盛会。,夫子庙是免费的景区，内部部分景点收费,1、夫子庙里有卖香火的地方，也有游客会在学宫院内的钟鼓楼敲钟，期盼子女学业有成，需格外收费；2、到了夜晚，选择秦淮画舫夜游也是欣赏夫子庙夜景不错的选择；3、夫子庙周围景点游客众多，请注意个人财产安全.,1
南京总统府Presidential Palace of Nanjing,http://travel.qunar.com/p-oi707373-nanjingzongtongfu,"

地址:
南京市玄武区长江路292号


电话:
025-84578888,025-84578700


官网:
http://www.njztf.cn/

",南京总统府是中国近代建筑遗存中规模较大、保存较完整的建筑群，也是南京建筑的主要代表之一，中国近代历史的重要遗址，现已辟为中国近代史遗址博物馆。历史沿革南京总统府既有中国古代传统的江南园林，也有近代西风东渐时期的建筑遗存，至今已有600多年的历史。其历史可追溯到明初的归德侯府和汉王府，清代被辟为江宁织造署、两江总督署等，南巡均以此为行宫。太平天国定都天京（今南京）后，在此基础上扩建。1912年1月1日，在此宣誓就职临时大总统，辟为大总统府，后来又为南京总统府。总统府内部分布这是一座中西结合的院落，既有设计精细的西式办公楼、高耸的圆柱、深邃的回廊，又有清幽雅致的中式园林。目前总统府分为中、西、东3个参观区域，分布着一系列的史料展馆和复原陈列，还有一些再现历史场景的人物蜡像。你可以先沿着中轴线依次游览中区，再从尾端进入西区或东区。门楼及门楼的北边门楼是总统府的标志性建筑，气势雄伟，是很多游客一定会留影的地方，从此进入就是中区。大堂是一座中式建筑，横梁上是“天下为公”匾额。一直往前，有总统府文物史料展馆。 门楼的西边若从门楼进去往西走，先看到的则是煦园（即西花园），亭台楼阁、小桥流水，是典型的江南园林，里面保留着石舫、夕佳楼、忘飞阁、印心石屋、漪澜阁等遗址景点。门楼的东边门楼的东边是东苑（即东花园），有行政院、陶林二公祠、马厩等各时期的建筑。这里还有太平天国展馆，以书房、后宫、机密房等模拟景观，再现了宫殿的昔日辉煌。 ,3/1-10/14 周二-周日 08:30-18:00;10/15-2/28 周二-周日 08:30-17:00;全年 周一 全天不开放 ;中国法定节假日 08:30-18:00,https://img1.qunarzz.com/travel/d5/1608/41/66e0239d0112cdb5.jpg_480x360x95_b6cea961.jpg,4.7,建议游览时间：2小时 - 4小时,,"{'南京总统府门票成人票\n\n': ['¥35起'], '南京总统府门票学生票\n\n': ['¥17.5起'], '南京总统府门票老人票\n\n': ['¥17.5起']}",1. 门票为邮资明信片，游览结束后，可在设在景区内的邮局投寄。2. 景点内提供讲解服务，10人及以下全程100元，煦园、中轴线80元，东苑60元。11人以上全程150元，煦园、中轴线100元，东苑80元。详情可见：http://www.njztf.cn/business/daoyou.sh。3. 总统府里还出售一些特色纪念品，如宋美龄、孙中山的Q版公仔（20元），写着“天下为公”的总统府扇子（15元）等。4. 附近还有著名的南京图书馆、时尚地标1912街区等景点，你不妨一并游览。5. 总统府全面实行参观“实名制”。所有观众必须凭二代身份证或护照购票才能入馆参观。游客在网上买票时必须输入购票人身份证号，在检票口一律刷身份证入馆（取消原刷二维码入馆）；如果是在窗口买票，必须凭购票人身份证或护照购票，且一证当日限购1张。外地观众没带身份证或护照可凭本人其他有效证件，在售票处9号窗口办理购票手续，当日限购1张。6. 微信号：zgnjztf （南京总统府）  微博：南京总统府。,1
秦淮河Qinhuai River,http://travel.qunar.com/p-oi706824-qinhuaihe,,,,,,,,,,1
石臼湖Shijiu Lake,http://travel.qunar.com/p-oi711340-shijiuhu,"

地址:
南京市溧水区

",石臼湖是江苏省南京市溧水区、高淳区和安徽省马鞍山市当涂县三区县间的界湖，又名北湖。石臼湖和秦淮河有着扯不开的关系，属于一条水系内，这里盛产鱼虾河鲜以及各种水产蔬菜等等，自古以来就是沿湖村民的重要收入之源头，是金陵人家的生存倚靠。因而也有“南京小垦丁，高淳小镰仓”之称。李白畅游这里，还特意题诗一首，所谓“湖与元气运，烟波浩难止，龟游莲叶上，鱼戏芦花里。,全年 全天开放,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/ae4433f2-0797-4146-bb37-5d076f4d273e.jpg,4.6,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
老门东历史街区Laomendong Historic District,http://travel.qunar.com/p-oi7524319-laomendonglishijiequ,"

地址:
南京市秦淮区夫子庙街道剪子巷63-2号


电话:
025-58776868

","老门东历史街区是南京老城南地区的古地名，位于南京夫子庙箍桶巷南侧一带。历史上的老城南是南京商业及居住较为发达的地区，如今按照传统样式复建传统中式木质建筑、马头墙，再现老城南原貌。街头雕塑牌坊周围有4组街头雕塑，分别是黄包车夫、糖芋苗、老邮筒、学童进馆（上私塾）。雕塑人物全""穿""着明清服饰，惟妙惟肖地再现了老门东明清时的民居生活。 ",全年 全天开放,https://img1.qunarzz.com/travel/d3/1705/b2/fd3b87774e7ab1b5.jpg_480x360x95_17fdeb68.jpg,4.6,建议游览时间：1小时 - 2小时,,"{'老门东历史街区门票成人票\n\n': ['¥0.7起'], '老门东历史街区VIP人工讲解服务团队票\n\n': ['¥380起'], '南京博物院+总统府+中山陵+夫子庙等一日游 纯玩精致管家小团\n\n': ['¥118起']}",老门东历史街区地处城南，离夫子庙很近，可以游览完夫子庙到这里逛逛。,1
中山陵景区Sun Yatsen Mausoleum,http://travel.qunar.com/p-oi702846-zhongshanlingjingqu,,,,,,,,,,1
侵华日军南京大屠杀遇难同胞纪念馆The Memorial Hall of the Victims in Nanjing Massacre by Japanese Invaders,http://travel.qunar.com/p-oi703792-qinhuarijunnanjingdatu,"

地址:
南京市建邺区水西门大街418号


电话:
025-86612230


官网:
http://www.19371213.com.cn/

",侵华日军南京大屠杀遇难同胞纪念馆是建立在南京大屠杀江东门集体屠杀遗址之上的一座专题性纪念馆，于1985年8月15日正式建成开放。经过30多年的建设与发展，已经成长为具有较高国际知名度的中国国家一级博物馆。目前，纪念馆含侵华日军南京大屠杀史实展、“三个必胜”主题展、“二战中的性奴隶——日军‘慰安妇’制度及其罪行展”等三个基本陈列，展示了南京大屠杀、日军“慰安妇”制度、中国人民抗日战争伟大胜利的历史。共展出近4000幅照片，9992件各类文物，262部影像资料，智慧而严肃地表达了暴行、抗争、胜利、审判、和平五大主题。其中，美国牧师约翰·马吉牧师用于拍摄南京大屠杀历史影像的摄影机和影像资料已经被联合国教科文组织列入《世界记忆名录》。纪念馆内现存三处南京大屠杀“万人坑”遗址，分别展示了1984年、1998-1999年以及2006年发现的遇难同胞遗骸。2015年12月，“三个必胜”新展馆和分馆南京利济巷慰安所旧址陈列馆建成后，纪念馆总占地面积10.3万平方米，建筑面积5.7万平方米，展陈面积达2万平方米。分布有7处广场、23座单体雕塑和一座大型组合雕塑、8处各种形式的墙体、17座各种造型的碑体。纪念馆是关于南京大屠杀历史、日军“慰安妇”制度、世界反法西斯战争胜利的综合型博物馆，大量的文物、照片、历史证言、影像资料、档案以及遗址对历史真相做了完整的阐述，每年都会投入资金对南京大屠杀幸存者、“慰安妇”制度受害者、抗战老兵等群体进行援助。,全年 周二-周日 08:30-17:30;全年 周一 全天不开放,https://img1.qunarzz.com/travel/d7/1508/5f/e4987d8e641bbe.jpg_480x360x95_91565684.jpg,4.8,建议游览时间：2小时,,免费开放,1. 参观纪念馆请衣着得体，并将手机调至静音状态，勿大声喧哗。2. 纪念馆每年12月13日会举行悼念活动。3. 官方微博：侵华日军南京大屠杀遇难同胞纪念馆,1
