名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
青秀山Qingxiu Mountain,http://travel.qunar.com/p-oi710632-qingxiushan,"

地址:
南宁市青秀区青山路19号


电话:
0771-5828923


官网:
http://www.qxslyfjq.com/

",青秀山位于南宁市区往东南约9公里处的邕江江畔，坐落着青山、凤凰岭等十几座山峦，是南宁市知名的风景区。在这里，你可登上龙象塔远望山水风光，或漫步于园内欣赏各类花卉，享受惬意。青秀山景区有多个入口，西门为正门，从西门进入可乘坐电瓶车代步。景区很大，全程游山会比较累，建议可以坐电瓶车上山，然后再步行下山。其中观音禅寺已是山顶位置，可以上香，然后就是下山路了，整个电瓶车的路线基本是由西往东，如果想全程步行也可以根据这个路线走。一路山青水秀，沿着阶梯拾级而上，有非常多的树木，空气特别的纯净。风吹过，能听见树叶间唦唦唦的摩擦声，散步起来，心情格外放松。沿路主要的景点有明代风格的龙象塔，它是青秀山标志性建筑物，登上塔顶，可眺望邕江和远山近岭；别具异国风情的中泰友谊园；汇聚东盟各国国花、国树和国际友好城市代表性雕塑的国际友谊园。除外还有十二生肖文化园、状元泉、千年苏铁园等，春季还可以到桃花岛赏灼灼盛开的桃花。,全年 06:00-23:59,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/3b2ae73a6736d016efe9ffa9871277bd.jpg_480x360x95_ded37d98.jpg,4.7,建议游览时间：12小时 - 3天,1-4月，10-12月为佳。春分可在青秀山赏灼灼盛开的桃花。夏季较为炎热，出行防止中暑。,"{'南宁青秀山门票成人票\n\n': ['¥18起'], '南宁青秀山门票儿童票\n\n': ['¥10起'], '南宁青秀山门票学生票\n\n': ['¥10起']}",,1
扬美古镇Yangmei Ancient Town,http://travel.qunar.com/p-oi702116-yangmeiguzhen,"

地址:
南宁市江南区005县道扬美客运站南30米


电话:
0771-5555667

",扬美古镇位于南宁市西南部，是一座始建于宋代的美丽古镇。整个古镇共有两百多座古建筑和八条古街，如今保留较为完整的有清代一条街、明朝房屋、魁星楼、黄氏庄园等，是南宁市明清古建筑保存较为完好的一个古镇。清代一条街又称临江街，是整个扬美古镇的精华所在。这条三百米长的街道上布满了古建筑，古宅鳞次栉比，古街、古巷、举人屋、黄氏庄园等都充满了古朴味道。黄氏庄园是一位商人经商发迹后所建的，庄园共有三个门，大门朝南，二门、侧门正好与里面的东西向厢房客厅相望，门当户对。庄园内种有木棉、牡丹等花花草草。幽深的宅院，雕花的飞檐，无不诉说着平淡和安宁。除外，古镇上的景点还有三界庙、清朝禁碑和宋代烽火台、孔庙和魁星楼等，魁星楼拜的是钟馗。,全年 8:30-18:00,https://img1.qunarzz.com/travel/d7/1610/f8/1b393fa4231ad1b5.jpg_480x360x95_538ebdcc.jpg,3.8,建议游览时间：3天,四季皆宜,"{'扬美古镇门票大小同价\n\n': ['¥10起'], '扬美古镇手机智能导游讲解服务大小同价\n\n': ['¥5起']}",到扬美古镇游玩建议请一位当地的导游，一般是20元左右。这样既节省时间，又不会错过景点哟。,1
广西民族博物馆Guangxi Museum of Nationalities,http://travel.qunar.com/p-oi711292-guangximinzubowuguan,"

地址:
南宁市青环路11号


电话:
0771-2024322


官网:
http://www.amgx.org/

",广西民族博物馆位于青秀区，毗邻青秀山风景区，这里陈列着种类齐全的铜鼓，世界最大的铜鼓“雷纹大铜鼓”就位于其中。这里还有五彩八桂展览，可以看到各式各样的民族特色服饰和生活用品，展示了广西各个民族的特点。广西民族博物馆离市中心比较远，但如果你原有去青秀山游玩的打算，不妨放一天一起游玩，民博算是南宁较热门的博物馆了。上午游完青秀山，就可以来民族博物馆参观。这里是免费的，凭身份证进入，不可携带火机。民博总共分为三层、五个展区。而展厅实际是从二楼开始的，一楼主要是游客服务中心及寄包处以及办公区等。当你步入二楼，就可以看到民博的重点之——铜鼓文化展厅了，这里拥有世界上数量最多、种类最齐全的铜鼓陈列。展厅中最震撼的当属那面直径达165厘米的雷纹大铜鼓（馆藏101号），这面铜鼓是世界上迄今为止发现的铜鼓中面积最大的一面。另外，纪念品商店及图书馆也是在二楼的。五彩八桂展览是民博的另一个重点展示，占据了整个三楼，分别是中央的五彩八桂序厅及左右的和谐乐章展厅、匠心神韵展厅、家园展厅以及霓裳羽衣展厅。所谓“八桂”就是指广西，五彩八桂展览有广西12个民族（包括汉族）最完整的实物展示，内容覆盖了服饰、生活、节庆、手工艺等各方面。除外，场馆外还有个露天展示厅，有一些微缩的特色民族建筑，也是特有意思的，很适合拍照，南宁本地有些婚纱摄影店会专门来这边拍婚纱照。,周二-周日9:30-17:00（16:15停止入馆，16:45清场），逢周一全天闭馆整修（国家法定节假日除外）。,https://img1.qunarzz.com/travel/poi/1507/e3/cdd87d48cb8bac.jpg_480x360x95_6a994167.jpg,4.7,建议游览时间：1.5小时 - 2小时,四季皆宜,{'广西民族博物馆电子导览票大小同价\n\n': ['¥9起']},观众凭有效证件至领票处领票，凭票依次排队免费参观，未出具有效证件者一律不予入馆参观。,1
花花大世界Great Flower World,http://travel.qunar.com/p-oi5155970-huahuadashijie,"

地址:
南宁市武鸣县双桥镇伊岭工业区C—3


电话:
0771-6264661

",花花大世界位于南宁北部、武鸣城区的南部，是一座规模较大的植物园，四季来此都可以欣赏到各种花卉，是名副其实的花的世界。同时这里也饲养者黑熊、梅花鹿、鸵鸟等许多动物，可以亲手逗喂它们，非常适合亲子游。花花大世界园区依山傍水、环境优美，植有大片的植物与花卉。这里一、二月份有薰衣草、油菜花，三月有桃花，四月有洋紫荆，五月和十月有向日葵，六月有紫薇，九月有木芙蓉……几乎每个季节来都能看到大片的绚彩。景区内还有植物迷宫、科普长廊、地景园、潭王水库等景点，景观非常丰富。另外还设有果果乐园、花花超市，可让游客体验采摘，并可购买采摘的草莓、葡萄、香瓜等水果，以及小型的植物盆栽。喜欢拓展活动的游客还可结伴去户外拓展乐园体验真人CS。,9:00-17:00,https://img1.qunarzz.com/travel/d4/1709/65/889eceaf6d3242b5.jpg_480x360x95_ba983998.jpg,4.4,建议游览时间：12小时 - 3天,,"{'花花大世界门票成人票\n\n': ['¥32起'], '花花大世界门票优待票\n\n': ['¥20起'], '花花大世界门票亲子票(1大1小)\n\n': ['¥40起']}",,1
相思小镇Lovesickness Town,http://travel.qunar.com/p-oi35769293-xiangsixiaozhen,"

地址:
南宁市西乡塘区相思湖东路31号


电话:
0771-5449992

",南宁相思小镇，原名为相思湖红豆风情街，地处于南宁市西乡塘区相思湖公园旁，它是一座以南国、民族风情建筑群为主，同时兼具休闲娱乐、观光旅游、浪漫约会的新建景区。小镇内矗立着一栋栋古建筑风格的房子，随手一拍都是民族风大片。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/eca550e87cd1088be1af56bfeab1fab1.gif_480x360x95_ba70809f.gif,4.3,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,1
弄拉景区Nongla Sceneic Area,http://travel.qunar.com/p-oi35198805-nonglajingqu,"

地址:
广西壮族自治区南宁市马山县古零镇古零村

",马山弄拉景区是目前南宁市石灰岩石山植被和生态环境保存较为完整的地区。景区内山高、谷深、林茂、泉清，动植物资源种类丰富，森林覆盖率高达95%，负氧离子含量非常之高，有“天然氧吧”的美誉。景区具有石漠绿洲的优良环境，多姿竞秀的岩溶峰丛和舒适宜人的避暑气候，紧扣着亲近自然、科普游乐和休闲需求日益强烈的旅游市场发展趋势，结合了景区弄场条件，通过“见缝插针”式的植树造林和景观营造等，建设了科普游憩、体验设施，完善健身休闲、养生康体、观光游憩等配套设施，全面展...马山弄拉景区是目前南宁市石灰岩石山植被和生态环境保存较为完整的地区。景区内山高、谷深、林茂、泉清，动植物资源种类丰富，森林覆盖率高达95%，负氧离子含量非常之高，有“天然氧吧”的美誉。景区具有石漠绿洲的优良环境，多姿竞秀的岩溶峰丛和舒适宜人的避暑气候，紧扣着亲近自然、科普游乐和休闲需求日益强烈的旅游市场发展趋势，结合了景区弄场条件，通过“见缝插针”式的植树造林和景观营造等，建设了科普游憩、体验设施，完善健身休闲、养生康体、观光游憩等配套设施，全面展示“弄拉模式”的具体内涵及景区石漠化治理后产生的生态、社会、经济效益等，成为全国石漠化地区极具标志意义的科普之弄、生态之弄、养生之弄。,全年 全天开放,,4.4,建议游览时间：12小时 - 3天,,,,1
"南宁亭子码头Pavilion Pier, Nanning",http://travel.qunar.com/p-oi35188291-nanningtingzimatou,"

地址:
南宁市江南区凌铁大桥下游200米南岸


电话:
0771-5610889

",亭子码头背靠亭子滨江公园，是八十五公里邕江综合整治和开发利用工程沿岸九个文化分区之一，是南宁市政府着力打造的百里秀美邕江改造工程的点睛之笔。,景区暂时停业，详情请以景区公示为准；原开放时间15:00-21:30，20:40停止入场,,4.6,建议游览时间：1小时,,,,1
卡拉奇遇乐园Lingli Chanyeyuankala Qiyu Amusement Park,http://travel.qunar.com/p-oi34291416-kalaqiyuleyuan,"

地址:
南宁市青秀区伶俐镇民兴路10号


电话:
0771-4761650

",卡拉奇遇乐园位于伶俐镇，坐落在智能工业厂业园，是目前国内规模较大的集产学研为一体的工业旅游项目。其中共设有了五大欧洲风格园区，分别是爱丽丝梦境、云端车站、罗曼情园、魔法王国和莫奈花园。这里不仅是轻钢建筑的景观示范集群，更是集工业旅游、儿童科普、会议会展、科技剧场、餐饮娱乐、高新技术展示和欧洲风情游览等为一体的综合型智慧工业旅游产业链。,全年 10:00-19:00,,4.5,建议游览时间：2小时,,,,1
会展航洋城南广场Huizhan Hangyang Chengnan Square,http://travel.qunar.com/p-oi20896260-huizhanhangyangchengnan,,这是一个开阔的广场，里面有很多美食小吃，是一个很休闲的场所。,,,4.6,建议游览时间：2小时,,,,1
天雹水库Tianbao Reservoir,http://travel.qunar.com/p-oi10019063-tianbaoshuiku,"

地址:
南宁市区西郊心圩镇天雹江上，距市中心8公里。

",天雹水库是南宁可利江的源头，属于国家水利风景区，该库面积约73.3万平方米，水质好，能见度2米以上，以灌溉、善、养鱼为主。水库两岸山山相连、林林层叠、香花绿叶映于水中，其间百鸟争鸣戏于树梢枝头。游泳、乘艇观光、野炊烧烤、钓鱼、游乐是其主一游览项目。水库的主要景点有桃花涧、桂花园、蓬莱岛、太公湖、情人岛、飞索渡，是休憩娱乐的好去处。,全年 全天开放,,3.9,建议游览时间：4小时 - 5小时,,具体收费情况以现场公示为主,,1
