名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
南通森林野生动物园Nantong Senlin Yesheng Zoo,http://travel.qunar.com/p-oi22912367-nantongsenlinyeshengdong,"

地址:
南通市港闸区通刘路299号


电话:
0513-69883333


官网:
http://www.ntyszoo.com/

",南通森林野生动物园是一个集旅游景点，马戏演艺、特色餐饮，休闲娱乐和科普教育于一体的大型旅游综合项目，拥有车行观赏、步行观赏以及长三角地区别具一格的船行观赏模式。,全年 09:00-17:00,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/fusion/20219/c24415713158c1b979d438df14e11d7d.jpg_480x360x95_8832831b.jpg,4.7,建议游览时间：2小时 - 1天,,"{'南通森林野生动物园门票\n\n': ['¥425起'], '南通森林野生动物园门票优待票\n\n': ['¥90起'], '南通森林野生动物园门票双人票\n\n': ['¥353起']}",,1
黄金海滩Golden Beach,http://travel.qunar.com/p-oi7469842-huangjinhaitan,"

地址:
江苏省南通市启东市寅阳镇东侧


电话:
0513-68958088

",黄金海滩风景区位于江苏启东市圆陀角旅游度假区东侧，总面积2700余亩。这里东临黄海，南濒长江，拥有丰富的野生动植物资源和良好的生态环境，2017年被评为江苏省省级湿地公园。景区位于江苏省较东端，是长三角地区较早迎接日出的地方，吸引着众多游客到此海上观日出。每逢旭日东升，霞光四射，瑰丽雄浑，整个海滩犹如铺满金沙，“黄金海滩”由此得名。江海交融，湿地广袤，水美物丰，黄金海滩风景区旖旎多姿的原生态景观、丰茂多彩的动植物，构成了中国东部沿海地区一道独特的风景线。集生态湿地保护、科普教育、休闲度假于一身，黄金海滩风景区内建有鲸鱼馆、新能源科普展示馆、湿地动植物教育基地、沙滩越野基地、气垫登陆艇基地等旅游设施，可以开展文蛤采摘、生态垂钓、水上漂游、沙滩越野、科普教育等众多旅游活动。无论青少年科普教育、团队户外拓展，还是全家度假游乐、情侣浪漫表白，这里都是荡漾着鲜活气息的滨海度假之地。,全年 08:30-17:30,https://img1.qunarzz.com/travel/d8/1605/d3/bef8d8fd04d8d2f7.jpg_480x360x95_58e78e8d.jpg,4.4,建议游览时间：2小时 - 3小时,,{'黄金海滩手机智能导游讲解服务大小同价\n\n': ['¥7起']},,1
碧海银沙（恒大海上威尼斯酒店）Bihai Silver Sand (Venice Hotel on the Sea),http://travel.qunar.com/p-oi9487402-bihaiyinsha,"

地址:
南通市启东市恒大路1号恒大海上威尼斯碧海银沙景区


电话:
4008-408-006,0513-68038888

",春天的味道大概就是赤着脚走过柔软的沙滩，让春风吹拂，和心爱的人一起在海边玩耍。如果你恰好知道这片土地被长江、东海和黄海三面环绕，恐怕再也不愿意错过这般精致。春天的味道大概就是赤着脚走过柔软的沙滩，让春风吹拂，和心爱的人一起在海边玩耍。如果你恰好知道这片土地被长江、东海和黄海三面环绕，恐怕再也不愿意错过这般精致。 从海南三亚空运过来的海沙柔软细白，走在上面非常舒服。灯塔眺望着远方，沙滩草伞排开而坐。无边泳池也是碧海银沙的一大亮点，天人合一的壮观美景让人惊叹。泳池边上的躺椅设计也很独特，躺在上面欣赏晚霞，便是惬意的放松，当阳光撒过海面，一种蓄意但包含力量之美或许让你有种冲动，伸手摘下天边的彩霞，去与这无尽的大海融为一体。,全年 周一-周四 08:30-19:00;全年 周五-周日 08:30-19:30,https://img1.qunarzz.com/travel/d9/1611/64/493fba1ed5a474b5.jpg_480x360x95_8454bbc1.jpg,4.2,建议游览时间：12小时 - 3天,,"{'碧海银沙（启东恒大世纪旅游城）沙滩门票成人票\n\n': ['¥62起'], '碧海银沙（启东恒大世纪旅游城）沙滩门票儿童票\n\n': ['¥31起'], '碧海银沙（启东恒大世纪旅游城）沙滩门票优待票\n\n': ['¥31起']}",,1
狼山风景区Lang Mountains Scenic Area,http://travel.qunar.com/p-oi716397-langshanfengjingqu,"

地址:
南通市静海商贸街西侧


电话:
0513-85708306


官网:
http://www.chinalangshan.com.cn/

",狼山坐邻长江，是南通著名的景点之一。山上树木葱郁、古迹众多，主要景点有千年古刹广教寺、骆宾王墓、三仙祠、支云塔等，登上山巅可俯瞰长江，风光极佳。狼山是中国的佛教名山，这里的佛教建筑遍布全山，是礼佛祈福的胜地。狼山景区主入口位于东面的城山路上，上山有索道，但不建议乘坐，因为景区不大山也不高，步行上下山也只需约两个小时便可游完。狼山山道沿路有许多历史名人的墓葬，如唐代著名诗人骆宾王墓等等。继续前行便是广教寺，供奉着大势至菩萨像，两侧为十六尊者的佛像。山上的大观台如今是较佳的观景胜地，这里视野开阔，可以让你一览无余地欣赏长江美景。此外，狼山景区西面紧邻南通园艺博览园，游完狼山可以去看看。狼山周边另有马鞍山、黄泥山、剑山、军山，与狼山通称“五山”，同样值得一游。,东大门：08：30--16:30 南大门：08：30--16:30 北大门：07：30--16:30,https://img1.qunarzz.com/travel/d9/1512/ed/c142012cc3ee99f7.jpg_480x360x95_ddd4035c.jpg,4.5,建议游览时间：2小时,,"{'狼山门票成人票\n\n': ['¥63起'], '狼山电子导览服务大小同价\n\n': ['¥3起']}",,1
濠河风景名胜区Haohe Scenic Area,http://travel.qunar.com/p-oi715145-haohefengjingmingsheng,"

地址:
南通市崇川区濠北路508号


电话:
0513-85092901


官网:
http://www.mlhaohe.com/zhhh_web/shop/index.html

",濠河是国内保留较为完整的古代护城河。两岸有包括众多景点名胜，有唐代古刹天宁寺、南通古城墙的遗迹北极阁、明代古塔文峰塔、中国首座公共博物馆南通博物苑等很是有名，此外还有环西文化广场、文化宫、体育公园等景点，可以花上半天甚至一天时间慢慢游览。来濠河景区游览，千万别错过富有盛名的濠河夜景。夜幕下的濠河两岸，各种古建筑、现代建筑都被绚丽的灯光映射得五彩缤纷，而很美的是河面上还倒影着这些色彩，相当迷人。晚饭后在河边走走，感受河风拂面，欣赏着河边的音乐喷泉，惬意无限。如果坐船夜游，更可尽赏与白天截然不同的美景。,景区全天开放。游船时间：9:30、14:30、18:45（周六、周日及法定节假日）；每周一及除夕不开班。,https://img1.qunarzz.com/travel/d3/1512/a9/5ef026a8f9d7dcf7.jpg_480x360x95_0be07680.jpg,4.6,建议游览时间：2小时 - 4小时,,"{'濠河风景名胜区游船票成人票\n\n': ['¥54起'], '濠河风景名胜区游船票儿童票\n\n': ['¥27.5起'], '濠河26个手机合成讲解，不含景区门票服务大小同价\n\n': ['¥0.5起']}",,1
唐闸古镇,http://travel.qunar.com/p-oi25401560-tangzhaguzhen,,,,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/50df04e7a60d33d1247fc3efb7c3275a.jpg_480x360x95_703f225b.jpg,5.0,,,,,1
南通洲际绿博园Nantong Intercontinental Green Expo,http://travel.qunar.com/p-oi9194520-nantongzhoujilu:boyuan,"

地址:
南通市通州区先锋镇人民东路、通海路口向北300米


电话:
0513-86676001


官网:
http://www.ntlbykj.com/

",南通洲际绿博园是以全球珍奇植物收集展示为核心内容，由泰山石壁照，地球仪音乐喷泉，紫薇园等主要景点组合而成，里面的奇花异，名贵树种草都来自世界各地。室外有大风车和沙滩，让人感觉置身地中海浪漫的海岛。花海梯田里有侏罗纪时代的霸王龙，长颈龙等的大型仿真模型，摇头摆尾，张牙舞爪的吼叫着，尤其大门口的地球仪音乐喷泉非常好看壮观，喷泉随着音乐的节奏变幻无穷的各种各样的造型和水柱，让人印象深刻。,5月1日-9月30日 7:30-18:00；10月1日-次年4月30日 8:00-17:30；夜场时间16:30-21:30,https://img1.qunarzz.com/travel/d2/1710/96/fd978f9a34bb84b5.jpg_480x360x95_c4c7e6b8.jpg,4.6,建议游览时间：2小时 - 3小时,,"{'南通洲际绿博园门票成人票\n\n': ['¥74.1起'], '南通洲际绿博园门票优待票\n\n': ['¥38起'], '南通洲际绿博园年卡大小同价\n\n': ['¥188起']}",,1
南通五山森林公园,http://travel.qunar.com/p-oi38340868-nantongwushansenlingong,,,,,4.0,,,具体收费情况以现场公示为主,,1
南通海底世界Nantong Ocean World,http://travel.qunar.com/p-oi7646591-nantonghaidishijie,"

地址:
南通市崇川区桃园路7号体育会展中心一层


电话:
0513-81586000


官网:
http://www.ntsea.net/

",南通海底世界分为热带雨林馆、珊瑚海生物馆、海兽表演馆等场馆。游客可以观赏到千奇百怪的海底生物，也可以和海龟嬉戏，与海豹玩耍等。还可以观赏到美人鱼表演。有意思的是海豹表演推球、仰泳、接环、顶球等动作，海豹还能够看懂人类一些简单的手势和预言，在表演过程中经常运用眼神和驯养员做交流。,周一至周五 09：00—17：00 周六至周日 08：30—17：00,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/fusion/201910/798bf6a1a76633c3712bf6d98e7c02f9.jpg_480x360x95_d730377e.jpg,4.3,建议游览时间：3小时 - 4小时,,"{'南通海底世界门票成人票\n\n': ['¥108.9起'], '南通海底世界门票优待票\n\n': ['¥55起'], '南通海底世界门票家庭票(2大1小)\n\n': ['¥265起']}",,1
水绘园Shuihuiyuan Park,http://travel.qunar.com/p-oi702813-shuihuiyuan,"

地址:
南通市如皋市碧霞路299号


电话:
0513-87621560,0513-68161999


官网:
http://www.rgshy.cn/

",水绘园的模样同苏州园林，小桥流水、亭台楼阁。如今的水绘园经过扩建，不只是单纯的古典园林，还引入了游乐园、动物园。整个景区分好几块，水绘园外的古澹园是赏盆景的地方，有好几株盆景都有百年历史。水明楼是水绘园的精华，内室的红木竹罩非常精细，无数竹子上的枝叶都刻画得清清楚楚。景区里其他景点有胡瑗安定先生纪念馆等，带小孩的游客还可以去水绘园北边的动物园、游乐园游玩。,8:00-17:30,https://img1.qunarzz.com/travel/d9/1507/5e/a90ee05c29b15b.jpg_480x360x95_ee11fc1c.jpg,4.7,建议游览时间：2小时 - 3小时,,{'水绘园电子导览（不含门票）服务成人票\n\n': ['¥9起']},,1
啬园Sik Park,http://travel.qunar.com/p-oi708135-seyuan,"

地址:
南通市崇川区狼山街道南郊路150号


电话:
0513-85705980,0513-85705301,0513-55881800


官网:
http://www.ntseyuan.com/

",啬园是清末状元、近代著名的实业家张謇先生的墓园，也是狼山风景名胜区的重要组成部分。啬园现为规模很大的植物观赏园，园内古树参天，有池杉、龙柏、珙桐等珍稀树种。主要景点有百花园、鱼乐廊、环溪映山楼等，是一个以鸟语花香、田园野趣为特色的旅游胜地。,8:30-17:00,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1560193723300100815000000xj0564503_D_640_10000.jpg_480x360x95_d15ce2ac.jpg,4.8,建议游览时间：1小时 - 2小时,,"{'啬园门票成人票\n\n': ['¥18起'], '啬园电子导览服务大小同价\n\n': ['¥8起']}",,2
蛎岈山国家海洋公园Liyashan National Marine Park,http://travel.qunar.com/p-oi10015779-liyashanguojiahaiyang,"

地址:
南通市海门市海门港新区东灶港


电话:
0513-82675012

",岛上资源丰富，别有天地，尤以盛产牡蛎而闻名，故称蛎岈山，当地渔民都叫它蛎岈堆。蛎岈山是在一大片淤泥中出现的牡蛎礁，而生物礁体一般都长在石头、水闸等水工建筑物上，这种淤泥中出现的礁体见所未见，闻所未闻，在相关科技文献中也未见记载，专家们认为这一令人费解的特殊海洋奇观为测定近二万年以来中纬度古海洋变化提供了难得的观照体，给世人留下许多悬念，值得作深层次的研究，为开发普及海洋科技知识、探寻海洋地质、气候、生物变化及生态旅游提供了极其宝贵的价值。,全年 8:00-17:30,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/743305d8dfb8551ca9ee8a4f80743ead.jpg_480x360x95_b9c11786.jpg,4.5,建议游览时间：3天,,海洋公园入园门票20元，上蛎岈山岛游艇费190元。,,2
中国珠算博物馆China Abacus Calculation Museums,http://travel.qunar.com/p-oi9599562-zhongguozhusuanbowuguan,"

地址:
南通市崇川区濠北路58号


电话:
0513-85053103

",南通珠算博物馆位馆介绍了中国传统计算工具算盘的历史，陈列着各式各样的算盘。算盘精品厅陈列着从古到今的各种算盘，小的算盘仅和指甲盖一样大小，大的算盘和人一样高。紫檀算盘厅里还有造型古朴、结构独特的巨型紫檀算盘。博物馆的南边延伸到濠河畔，你可以到伸入河中的亲水平台欣赏两岸的旖旎风光，也可以过桥到河中小岛印月潭散散步。,"全年 周二-周日 09:00-11:30,14:00-16:30;全年 周一 全天不开放",https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/da559b76c092161fd4d8059adeb178a8.jpg_480x360x95_1b3aab14.jpg,4.5,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,2
小洋口风景区,http://travel.qunar.com/p-oi9524027-xiaoyangkoufengjingqu,"

地址:
江苏省南通市如东县洋口镇


电话:
0513-81903118

",南通小洋口风景区充分展现“海港、海鲜、海韵”南黄海风情，是集旅游观光、休闲度假、宗教文化、海鲜餐饮、科普教育、乡村休闲、湿地娱乐、生态野趣、拓展运动等于一体的综合旅游度假景区。海印寺位于洋口外闸东北侧，背靠大海，整个寺庙由低向高共分四个区域，主要建筑有山门、龙王殿、观音殿、宁海阁等，明清风格，小巧精致，将是佛教信徒和观光游客的好去处，海印出自佛家“海印三昧”，意思为大海水面所现诸象，隐藏着自然界一切事物的形象。,8:00-17:00,,4.0,,,{'【酒店套餐】南通林克斯君澜温泉度假酒店1晚+双人早餐+双人林克斯温泉+儿童乐园\n\n': ['¥599起']},,2
张謇文化旅游景区Zhang Jian Memorial Hall,http://travel.qunar.com/p-oi702642-zhangjianwenhualu:you,"

地址:
南通市海门市常乐镇状元街


电话:
0513-82682188


官网:
http://www.zhangjianchina.com/

",张謇是中国近代的实业家，位于海门的张謇纪念馆环境幽雅，馆前设有张謇文化广场，馆内包含张公祠堂、金鳌台、文化长廊、状元山、状元亭和古银杏等多个景点。纪念馆的主体建筑是一幢两层大楼，主要用于展示有关张謇的史实资料，分为出生成长、实业救国、教育兴国、社会事业和纪念研究等五个部分，包含多幅照片和多件珍贵实物。张謇纪念馆的古银杏树已有200多年历史，是整个海门的树王，据说也是一棵很灵验的许愿树。,周二-周日9:00-17:00（16:30停止入馆），每周一闭馆（国家法定节假日除外）。,https://img1.qunarzz.com/travel/d7/1607/c9/28bee304c93e719a.jpg_480x360x95_0859b5bf.jpg,4.5,建议游览时间：1小时 - 3小时,,{'张謇纪念馆门票+陶艺体验课票成人票\n\n': ['¥68起']},,2
南通博物苑Nantong Museum,http://travel.qunar.com/p-oi714698-nantongbowuyuan,"

地址:
南通市崇川区濠南路19号


电话:
0513-85062528,0513-85516233


官网:
http://www.ntmuseum.com

",南通博物苑是中国人独立创办的第一座公共博物馆。这里绿树成荫，环境优美，在这里随意走走很是惬意，而其中坐落着的几栋建筑，就是博物苑的展馆。博物苑分为新馆和老馆两个部分。新馆在园区的西南侧，可以参观到精品玉雕、瓷器等文物。老馆主要展示了张謇的生平介绍与一些收藏品。,园林景观：春、夏季（4月1日-10月31日）5:30-18:00（17:30停止进园）；秋、冬季（11月1日-次年3月31日）5:30-17:00（16:30停止进园）；室内陈列：周二-周日9:00-17:00（16:30停止入馆），周一闭馆（法定节假日除外）。,https://img1.qunarzz.com/travel/d0/1604/8f/2b422ff8ce75d8f7.jpg_480x360x95_4d7d9e59.jpg,4.5,建议游览时间：1小时 - 2小时,,"{'南通博物苑参观护照券大小同价\n\n': ['¥50起'], '南通博物苑电子导览服务成人票\n\n': ['¥9起']}",,2
香樟花园,http://travel.qunar.com/p-oi5377552-xiangzhanghuayuan,"

地址:
启东市海复镇糖坊村(S221东侧)


电话:
15962947888

",香樟花园位于小楠溪端口，整个景区被香樟环抱，景色优美，空气清新。香樟花园的房屋造型都很古朴，配合着周围幽静的景致，旖旎的山水和葱葱古木，更显得清幽、秀美。这里是体验三农特色的好去处，这里是放慢自己、放慢生活的好地方。香樟花园依托楠溪江之自然山水、周围风光、乡村风情，是当地的特色产业。“游楠溪碧水、赏香樟古树、吃农家饭菜、饮农家美酿、玩农家之乐、品全羊美食、住乡间木屋”为主要特色。香樟花园提供游客体验三农中特色的“体验农家生活、享受农耕文明、学习乡...香樟花园位于小楠溪端口，整个景区被香樟环抱，景色优美，空气清新。香樟花园的房屋造型都很古朴，配合着周围幽静的景致，旖旎的山水和葱葱古木，更显得清幽、秀美。这里是体验三农特色的好去处，这里是放慢自己、放慢生活的好地方。香樟花园依托楠溪江之自然山水、周围风光、乡村风情，是当地的特色产业。“游楠溪碧水、赏香樟古树、吃农家饭菜、饮农家美酿、玩农家之乐、品全羊美食、住乡间木屋”为主要特色。香樟花园提供游客体验三农中特色的“体验农家生活、享受农耕文明、学习乡村文化、感受自然风情”等项目，让人真正体会到农家乐给您带来的无比轻松和快乐。,8:00-17:00,https://img1.qunarzz.com/travel/poi/1605/c6/95874f2f14fd69f7.jpg_480x360x95_e01f0f31.jpg,--,,,住宿、吃饭、竹筏等另收费，竹筏（1-4人）188元，竹筏（5人）235元，竹筏（6人）282元。,,2
沈寿艺术馆Shenshou Art gallery,http://travel.qunar.com/p-oi719560-shenshouyishuguan,"

地址:
濠阳南路23号


电话:
0513-85529886

",沈寿艺术馆展示了我国近代刺绣大师沈寿的一组组历史照片和刺绣实物，并详细介绍了他以及其弟子的刺绣艺术精华。沈寿不仅是一位出色的刺绣艺术家，还是一位富有经验的刺绣教育家。1914年，张謇在江苏南通创办女红传习所。沈寿应聘来到南通，担任了所长兼教习。,搬迁修缮中，预计9-10月间重新开放。,https://img1.qunarzz.com/travel/poi/201301/15/bd11efd5fb3955d2ddb12cfb.jpg_480x360x95_a4cb03d4.jpg,4.6,建议游览时间：1小时,,具体收费情况以现场公示为主,,2
广福禅寺,http://travel.qunar.com/p-oi38598216-guangfushansi,,,,,0.0,,,具体收费情况以现场公示为主,,2
九号温泉休闲中心,http://travel.qunar.com/p-oi38335471-jiuhaowenquanxiuxianzhong,,九号温泉休闲中心有汗蒸房，儿童水上乐园，休息区，餐厅等，环境干净，是人们放松娱乐的好去处。,,,4.0,建议游览时间：2小时 - 5小时,,具体收费情况以现场公示为主,,2
南通老洪港湿地公园,http://travel.qunar.com/p-oi36404161-nantonglaohonggangshi,,,,,,,,,,3
1895文化创意产业园,http://travel.qunar.com/p-oi25401348-1895wenhuachuangyichan,,,,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/c6d1a8c4d44b4d8f2e459138bae25229.jpg_480x360x95_f923fd81.jpg,5.0,,,,,3
寺街Sijie Street,http://travel.qunar.com/p-oi23344730-sijie,,南通市区的一条老街，600多米长，不到3米宽，其间纵横交错着狭长旧巷，很有历史感。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/6e5e76dfe149b692b26a8c43311454c0.jpg_480x360x95_bfe929c3.jpg,3.7,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,3
金沙堂Jinsha Church,http://travel.qunar.com/p-oi20019608-jinshatang,,,,,0.0,,,具体收费情况以现场公示为主,,3
中国审计博物馆China Audit Museum,http://travel.qunar.com/p-oi10067099-zhongguoshenjibowuguan,"

地址:
南通市崇川区濠北路518


电话:
85199212

",中国审计博物馆分为古代审计、民国审计、革命根据地审计、新中国审计等几个展区，展示了我国不同历史时期的审计制度、审计管理、审计活动，展现了我国审计事业三千多年的发展脉络。,9:00-17:00（16:30停止入馆），周一闭馆。,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/6a2f68fe45064bf7bd796cd1c3a983c0.jpg_480x360x95_86cd11c0.jpg,4.4,建议游览时间：1小时,,具体收费情况以现场公示为主,,3
法宝禅寺Fabaochan Temple,http://travel.qunar.com/p-oi10005941-fabaoshansi,"

地址:
南通市如皋市白蒲镇


电话:
0513-88574066

",法宝禅寺的建筑风格独特，在一般寺庙中较为少见。全寺建筑布局似“象”形，象鼻湾的两侧为象耳。象鼻湾的正中是大雄宝殿，大殿在保持原有风貌的基础上，吸纳了苏式园林的建筑风格。东侧殿供奉着卧佛像和西方三圣像，其中西方三圣像为古檀香木雕刻而成，光耀夺目。西侧殿供奉着缅甸白玉千手观音和文昌，个个妙相庄严。侧殿前还有一个观音海岛，每到夏天，池中荷花盛开，观音端立在莲花丛中，景象十分壮观。,全年 8:00-18:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/15e0502a2de4252dd5b00bd5a6de8a49.jpg_480x360x95_c133fa64.jpg,4.6,建议游览时间：1小时,,具体收费情况以现场公示为主,,3
南通城隍庙Nantong Chenghuang Temple,http://travel.qunar.com/p-oi10004977-nantongchenghuangmiao,"

地址:
南通市崇川区濠东路199号


电话:
0513-85512159

",南通城隍庙供奉的神灵数量众多，除了城隍老爷外，还有妈祖，吕洞宾，福禄寿三星等。南通城隍庙灯会也是一大特色，举办时间为每年的正月初八到十八，总共10天。城隍庙位于濠河边，地理位置很好 ，周边交通方便，旁边也有很多饭店，周边是小吃龙虾一条街。,全年 7:00-17:00,,4.5,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,3
国清寺,http://travel.qunar.com/p-oi9196468-guoqingsi,"

地址:
通洋南路与三三四省道交汇处

",现在的国清寺是从1991年由如东县、南通市两级政府批准，准予落实宗教政策开始筹建，到现在己有15年了。国清大殿内供奉的是三世佛：释家牟尼居中，右尊为西方极乐世界的阿弥陀佛，左尊为东方琉璃世界的琉璃光佛。药师佛救死扶伤，阿弥陀佛接引众生，与其它寺院中释家牟尼两侧侍者是阿难和迦叶有所不同。国清寺最珍贵的当属念佛堂供奉的白玉千手观音。这尊缅甸国赠送的玉观音由一块整体的缅甸玉石雕刻而成，玉质细腻，高三点八米，重四吨。这样造型的玉观音在全国也是罕见的。睡下来的释...现在的国清寺是从1991年由如东县、南通市两级政府批准，准予落实宗教政策开始筹建，到现在己有15年了。国清大殿内供奉的是三世佛：释家牟尼居中，右尊为西方极乐世界的阿弥陀佛，左尊为东方琉璃世界的琉璃光佛。药师佛救死扶伤，阿弥陀佛接引众生，与其它寺院中释家牟尼两侧侍者是阿难和迦叶有所不同。国清寺最珍贵的当属念佛堂供奉的白玉千手观音。这尊缅甸国赠送的玉观音由一块整体的缅甸玉石雕刻而成，玉质细腻，高三点八米，重四吨。这样造型的玉观音在全国也是罕见的。睡下来的释家牟尼佛、卧佛那种玉佛很多，象国清寺这种千手观音玉佛，是唯独少见的，可以说在全国国清寺是第一尊。,8:00-15:00,https://img1.qunarzz.com/travel/poi/1604/e8/3a663197dd414df7.jpg_480x360x95_3b438a46.jpg,--,,,,,3
剑山The Sword Mountain,http://travel.qunar.com/p-oi9196067-jianshan,"

地址:
南通市崇川区剑山路一号


电话:
0939-8213302

",狼山五山中，其他四座山都是纵向走势，惟独剑山呈横向走势。传说秦始皇曾在此山试过宝剑，因此山被命名为剑山。剑山是文殊菩萨在南通的道场。每年都有不少临近高考、中考的学生和他们的家长来烧香许愿。如今这里的文殊院，已不限于高考、中考前后，而是一年四季都香火旺盛。,8:00-17:00,https://img1.qunarzz.com/p/tts5/1801/ba/d5d77aaa0d75ef02.jpg_480x360x95_1bee761c.jpg,4.6,建议游览时间：2小时 - 3小时,,{'剑山电子导览服务大小同价\n\n': ['¥5起']},,3
南通大学Nantong University,http://travel.qunar.com/p-oi9533244-nantongdaxue,"

地址:
南通市崇川区啬园路9号


电话:
0513-85012212

",南通大学简称为“通大”，在江苏省南通市，学校是江苏省人民政府和交通运输部共建的综合性大学，江苏省十五所重点建设大学成员，国家“卓越医生教育培养计划”、“卓越教师培养计划”试点高校，首批江苏高水平大学建设培育支持高校，国家第一批有着学士和硕士学位授予权的单位，博士学位授予单位，全国普通高等学校毕业生就业工作先进集体，江苏省第一批创新创业示范高校，江苏省首批教学工作先进高校，全国精神文明建设先进单位，全国精神文明建设典型“莫文隋”精神的发源地。在2004...南通大学简称为“通大”，在江苏省南通市，学校是江苏省人民政府和交通运输部共建的综合性大学，江苏省十五所重点建设大学成员，国家“卓越医生教育培养计划”、“卓越教师培养计划”试点高校，首批江苏高水平大学建设培育支持高校，国家第一批有着学士和硕士学位授予权的单位，博士学位授予单位，全国普通高等学校毕业生就业工作先进集体，江苏省第一批创新创业示范高校，江苏省首批教学工作先进高校，全国精神文明建设先进单位，全国精神文明建设典型“莫文隋”精神的发源地。在2004年5月经教育部批准，原南通医学院、南通工学院和南通师范学院三所省属公办本科院校合并组建新的南通大学。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/07891284b13556ec7c74e83f82999099.jpg_480x360x95_04921b95.jpg,4.8,建议游览时间：2小时 - 3小时,,免费,,3
定慧禅寺Dinghui Zen Temple,http://travel.qunar.com/p-oi708462-dinghuishansi,"

地址:
南通市如皋市如城镇泮池路2号


电话:
0513-87514717

",定慧寺四面环水，风景优雅，塔高7层，层层都是不一样的风格，比较有趣的是定慧寺的山门是朝北的，观音塔是寺庙的地标，塔高45米，远远地就能看见它。登上七层观音塔，不光能俯瞰整个寺庙，还能望见半个如皋老城。,全年 5:00-17:00,https://img1.qunarzz.com/travel/poi/1409/05/6bcbf9c5d65f1415ffffffffc8d65eac.jpg_480x360x95_8f1c1fd1.jpg,4.7,建议游览时间：1小时 - 2小时,四季皆宜,{'导览服务大小同价\n\n': ['¥7起']},,4
吕四风情区Lusi Fengqing District,http://travel.qunar.com/p-oi711026-lu:sifengqingqu,"

地址:
南通市启东市吕四港镇


电话:
13773722227

",吕四风情区，地处江苏省海洋经济开发区的千年古镇吕四港镇。吕四港镇又名鹤城，紧靠南黄海畔的吕四渔场和吕四渔港，既有众多的海洋水产资源，又有十分丰富的海滨旅游资源。风情区景点主要有望海亭楼、垂钓中心、洞宾亭、海洋生物馆等景点；开辟快艇海上观光游览、海滩踏浪觅踪、踩文蛤曼舞及海味野餐、海滨游乐等项目，可领略“海文化”、“渔文化”的浓厚底蕴。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/7127d6f8e6b1f1a9c72234eac8e7c90f.jpg_480x360x95_1146298a.jpg,4.1,建议游览时间：2小时 - 3小时,,{'吕四风情区电子导览票大小同价\n\n': ['¥7起']},,4
