名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
赛里木湖Sayram Lake,http://travel.qunar.com/p-oi5859984-sailimuhu,"

地址:
新疆维吾尔自治区博尔塔拉蒙古自治州博乐市


电话:
4000919188


官网:
http://www.slmhjq.com/

",赛里木湖位于新疆西部的博尔塔拉蒙古自治州，背靠雪山。湖边是广阔的草原，湖水清澈蔚蓝，风光美不胜收，是新疆知名的几大景点之一。每年六、七月份就到了赏花季，届时湖边草原上开遍了各色的野花，是不可错过的盛景。赛里木湖的面积很大，环湖公路约六十多公里，湖边四周景色十分秀美。来此大多是从乌鲁木齐出发，下午到达湖边，观赏日落后在湖边住宿，第二天欣赏日出和湖边白天的景致后，前往霍城、伊犁等地游玩。在环湖过程中，还会有一些人文遗迹，比如成吉思汗点将台、影视城等，这些人文建筑安静地伫立在高原的湖边，颇有悲凉沧桑之感。另外，这里还有牧民提供骑马服务，可以骑马到湖边的山丘上俯瞰湖面。,全年 10:00-20:00,https://img1.qunarzz.com/travel/d6/1804/c4/0e1ea99ff14b26b5.jpg_480x360x95_0c475b72.jpg,4.7,建议游览时间：3天 - 6天,,"{'赛里木湖湖自驾游赛湖一日票成人票\n\n': ['¥144.6起'], '赛里木湖自驾游赛湖二日票成人票\n\n': ['¥189.6起'], '赛里木湖电子导览服务大小同价\n\n': ['¥9起']}",1. 在当地骑马时，最好提前将全程价格讲好，不然有时会出现时长大幅超出马夫介绍的时间，被加收费用。2. 赛里木湖区域气温较低，即使是夏季，夜晚时也会比较冷，建议多带衣物保暖。,1
怪石峪风景区Valleys of Fantastic Rocks Scenic Area,http://travel.qunar.com/p-oi701909-guaishiyufengjingqu,"

地址:
新疆维吾尔自治区博乐市市东北38公里处


电话:
0909-2265186,0909-2326965

",怪石峪原名怪石沟，位于新疆博尔塔拉自治州的博乐市东北约48公里处，是一处以奇特的怪石地貌为主的景区，在当地十分著名。这里距离著名景点赛里木湖不远，很多游客在游玩赛里木湖景区时都会顺便来到这里一睹奇观。怪石峪景区面积很大，游客前来游玩需要先乘坐区间车，在车上观看怪石地貌。然后在一处名为“佛谷”的地方下车，可以向怪石地貌内步行游览，一般游客步行2小时左右即可，游玩整个景区大概3-4小时左右。景区内以面积广大的怪石地貌为主，景区内的石头造型奇特，耸立在茫茫草原上十分神奇。很多石头的形象都神似某种造型，也因此被命名为各个景观。游客来此可以给怪石拍照，欣赏特有的怪石奇观，感受大自然鬼斧神工的神奇。另外，这里还有一些售卖奇石的纪念品商店，可以根据个人兴趣选购。,01/01-12/31 09:00-20:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/cbf811bde069218542e1ba60b18a9139.jpg_480x360x95_2b1564eb.jpg,4.5,建议游览时间：3小时 - 4小时,,"{'怪石峪风景区门票成人票\n\n': ['¥48起'], '怪石峪风景区门票优待票\n\n': ['¥24起'], '怪石峪风景区电子导览门票大小同价\n\n': ['¥6起']}",,1
青格里度假村,http://travel.qunar.com/p-oi703053-qinggelidujiacun,"

地址:
新疆-博尔塔拉


电话:
0909-2228756

",青格里，蒙古语的意思是条美丽清澈的河流，正是这条美丽的河流才孕育出了青河这片洁净而富饶的土地。走进青格里，不难发现一个个美丽而神奇的旅游景点。青河县旅游景点分布按线路可形成草原文化旅游线路、生态旅游线路、大漠风景旅游线路。草原旅游线路：县城――白桦公园――熊猫山――陨石群――萨木特墓――查干郭勒水库岩画――老鹰咀岩画――什巴尔库勒鹿石――三道海子石堆墓――塔克什肯口岸――布尔根河狸保护区――58号界桩――地震断裂带。生态旅游线路：县城――东布哈林...青格里，蒙古语的意思是条美丽清澈的河流，正是这条美丽的河流才孕育出了青河这片洁净而富饶的土地。走进青格里，不难发现一个个美丽而神奇的旅游景点。青河县旅游景点分布按线路可形成草原文化旅游线路、生态旅游线路、大漠风景旅游线路。草原旅游线路：县城――白桦公园――熊猫山――陨石群――萨木特墓――查干郭勒水库岩画――老鹰咀岩画――什巴尔库勒鹿石――三道海子石堆墓――塔克什肯口岸――布尔根河狸保护区――58号界桩――地震断裂带。生态旅游线路：县城――东布哈林旅游渡假村――套查干郭勒湖。大漠旅游线路：古化石群――野布传说――栓马桩――哈森加米拉故事――怪石林――三个姑娘峰――北塔山古炮台――斯鲁拜。,全天,,3.0,,,免费,,1
赛里木湖国际滑雪场度假区,http://travel.qunar.com/p-oi39633073-sailimuhuguojihuaxuechang,,赛里木湖国际滑雪度假区位于国家5A级景区赛里木湖景区、连霍高速南侧出入口，总规划约40.1平方公里，计划15条高级雪道，2条初级练习道，2条中级道，单条雪道最长10km，1条雪圈道、 7条索道、4条魔毯、戏雪乐园等。度假区最高垂直落差1314米，最高海拔3539米，是全国雪场中平均海拔最高。项目分三期开发，一期规划建设5条高级雪道和初、中级雪道，单条雪道最长10KM，雪道占地面积约为108万平方米，同时拥有亚洲最长的“雪场+山地+湖景”全景观光缆车2条，长度分别为3500米和1800米，均为8人吊箱，配套建设14万方蓄水池及3万平方米生态停车场。二期及三期将完成半山城堡酒店、半山木屋、山顶湖景木屋、管理用房、山顶蓄水池及全部15条雪道及7条缆车建设。度假区建设雪具大厅、配套公寓、配套酒店、员工宿舍、设备用房、木屋等建筑约7.5万平方米等配套设施将陆续建成投入使用。山上设有雪山栈道（云端漫步）、云端咖啡屋（网红打卡点），打造新疆地区可以在夏季体验的海拔3000米以上雪山栈道和观景平台。22-23雪季赛里木湖国际滑雪度假区为专业运动员和滑雪发烧友开放高山滑雪区2号雪道赛里木湖大道，可以在畅滑的同时欣赏赛湖美景的雪道，长度4300米，平均坡度22%，平均宽度50米，最陡坡度34%。滑雪者可以乘坐2索缆车抵达中台，从赛里木湖大道开展滑雪训练和体验，可滑雪返回服务中心。未来度假区还有高级雪道3号雪道--铁木真大道长度3800米，平均坡度25%，平均宽度50，最陡坡度52%，为度假区最陡雪道；高级雪道5号雪道：丝路大道为度假区第二陡雪道，长度3500米，平均坡度27%，平均宽度50米，最陡坡度46%；高级雪道6号雪道--夏尔西里大道是度假区最长的雪道也是最适合观风景的雪道，长度4500米，平均坡度21%，平均宽度50米，最陡坡度35%；中级雪道1号雪道--1314大道，位于雪场最高处，云顶爱情打卡圣地，长度1800米，平均坡度15%，平均宽度90米，最陡坡度18%。除专业雪道外，雪场设有一个娱雪区一个教学区二个初级雪道，分别为长度380米平均坡度8%，平均宽度80米、最大坡度10%；赛里木湖国际滑雪度假区滑雪+湖景+民俗体验=滑雪度假，为雪友带来全新的滑雪新体验，度假区除了滑雪，还有冰潜、冰漂、直升机滑雪、冰捕等冬季特色旅滑项目，同时拥有滑雪培训中心、冰雪研学、冰雪青少年营地等。赛里木湖国际滑雪度假区集吃、住、行、游、购、娱、育、养的全新旅滑体验，打造新疆未来新四季旅滑度假目的地。,,,0.0,,,,,1
赛里木湖点将台,http://travel.qunar.com/p-oi38988458-sailimuhudianjiangtai,,,,,5.0,,,,,1
凤凰山游乐场,http://travel.qunar.com/p-oi38336366-fenghuangshanyoulechang,,,,,--,,,具体收费情况以现场公示为主,,1
精河人民公园,http://travel.qunar.com/p-oi37189813-jingherenmingongyuan,,,,,0.0,,,具体收费情况以现场公示为主,,1
精河县滨河风景区,http://travel.qunar.com/p-oi35446812-jinghexianbinhefengjing,,"精河滨河风景区是一个集人文景观、民俗风情、自然景观为一体的城市旅游景区,由生态园、河道景观工程、民俗风情园、人民公园等部分组成。2003年我县投入资金1000余万元，完成了主雕塑桥、丝绸古道、古生物建设，提高了景区的景观效应；2005年投资860万元启动实施了人工湖建设，完成了人工湖、防护坝、景观桥及配套景观设施建设等，种植各类乔木、灌木1200余棵。该景区与人民公园隔河相望，院内景观丰富、寓意深刻，有主雕塑“桥”、丝绸古道、古生物化石、植物长廊、宝泉山、人工湖等景...精河滨河风景区是一个集人文景观、民俗风情、自然景观为一体的城市旅游景区,由生态园、河道景观工程、民俗风情园、人民公园等部分组成。2003年我县投入资金1000余万元，完成了主雕塑桥、丝绸古道、古生物建设，提高了景区的景观效应；2005年投资860万元启动实施了人工湖建设，完成了人工湖、防护坝、景观桥及配套景观设施建设等，种植各类乔木、灌木1200余棵。该景区与人民公园隔河相望，院内景观丰富、寓意深刻，有主雕塑“桥”、丝绸古道、古生物化石、植物长廊、宝泉山、人工湖等景观，景区绿化覆盖率达75%。",,,--,,,,,1
巴音阿门旅游区,http://travel.qunar.com/p-oi35446429-bayinamenlu:youqu,,位于精河县城东南35公里，海拔1600—2000米，这里山峦叠翠，秀木成林，河水叮咚，花草繁茂，危岩险峰，秃兀峥嵘，如铁门雄关。由巴音那木风景区向南行盘山道1500米既到都拉洪草原，草原地势平坦，视野豁然开朗，杉木奇峰，怪石、清流和近在咫尺的雪山融为一体，构成一幅壮美的自然画面，山风拂过，让人思绪清明，是休闲避暑胜地。,,,--,,,,,1
博乐古代岩画,http://travel.qunar.com/p-oi35444724-bolegudaiyanhua,,这些岩画大多刻在草木繁茂，水源丰富，自然环境十分优美的山涧巨石上。岩石都是发亮的黑沙石，刻痕不深，但比较清晰，反映的都是当时的牧区生活。如一块石头上刻着形状不同的十七个大头羊和山羊等形象，高或长十一厘米至二十一厘米不等，可以看出当时的草场和放牧情形。另一块石头上刻有一个人骑着一匹马，前面还有一匹小马。从这幅岩画可以看出，这是记载当时猎人狩猎的情形。还有一块岩石上刻有一个牧人，四周有牛、羊、马等动物，另外有一个形如圈栅的房子，圈内有一条狗(或许是狼)...这些岩画大多刻在草木繁茂，水源丰富，自然环境十分优美的山涧巨石上。岩石都是发亮的黑沙石，刻痕不深，但比较清晰，反映的都是当时的牧区生活。如一块石头上刻着形状不同的十七个大头羊和山羊等形象，高或长十一厘米至二十一厘米不等，可以看出当时的草场和放牧情形。另一块石头上刻有一个人骑着一匹马，前面还有一匹小马。从这幅岩画可以看出，这是记载当时猎人狩猎的情形。还有一块岩石上刻有一个牧人，四周有牛、羊、马等动物，另外有一个形如圈栅的房子，圈内有一条狗(或许是狼)，较远处还有一个骑马的人，其余部分因自然破损已辨认不清。这幅岩画可作两种推测：可能是草原上放牧的畜群；也可能是圈内的畜群受到狼的袭击而向四处惊散。所有这些岩画都显得很粗糙，雕刻水平不高。从岩画附近一般都有石人像和石堆来看，它们可能有一定的相互关系，应是古代游牧民族石刻艺术的开端。因此，岩画对研究当时的牧民生活和社会生产有一定的意义。,,,--,,,,,1
