名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
七星河自然保护区,http://travel.qunar.com/p-oi713393-qixingheziranbaohuqu,,位于黑龙江省宝清县境内，地理座标为东经132°5′--132°26′，北纬46°40′--46°52′，总面积20000公顷。保护区于1991年经宝清县政府批准建立，1996年经双鸭山市政府批准晋升为市级，1998年晋升为省级，是一个以沼泽湿地生态系统及珍禽为主要保护对象的自然保护区。本区地处三江平原腹地，地貌类型为低河温滩，区内地势平坦低洼，泡沼星罗棋布，自然植被以芦苇沼泽和小叶章、苔草沼泽为主，是三江平原地区保存完好的原始湿地之一，尤其是大面积分布的芦苇沼泽为三江平原唯一的大面积芦...位于黑龙江省宝清县境内，地理座标为东经132°5′--132°26′，北纬46°40′--46°52′，总面积20000公顷。保护区于1991年经宝清县政府批准建立，1996年经双鸭山市政府批准晋升为市级，1998年晋升为省级，是一个以沼泽湿地生态系统及珍禽为主要保护对象的自然保护区。本区地处三江平原腹地，地貌类型为低河温滩，区内地势平坦低洼，泡沼星罗棋布，自然植被以芦苇沼泽和小叶章、苔草沼泽为主，是三江平原地区保存完好的原始湿地之一，尤其是大面积分布的芦苇沼泽为三江平原唯一的大面积芦苇沼泽、具有高度的典型性和代表性。本区湿地类型较多，生物物种丰富，高等植物有62科174属386种，脊椎动物有28种50科163种，其中哺乳类5目8科17种，鸟类16目 30科123种，爬行类1目 2科15种，本区列入国家一级重点保护的野生动物有丹顶鹤、中华秋沙鸭，白头鹤、白鹤4种，列入国家二级重点保护的野生动物有灰鹤、白枕鹤、大天鹅、小天鹅、雪兔等17种，七星河自然保护区的建立不仅在湿地生物多样性的保护方面具有非常重要的意义，同时对于当地的气候调节，洪涝灾害控制以及促进区域经济可持续发展等方面也具有十分重要的作用。,,,4.7,,,,,1
双鸭山东北黑峰保护区,http://travel.qunar.com/p-oi709576-shuangyashandongbeihei,,位于黑龙江省饶河境内，面积270000公顷，1980年经黑龙江人民政府批准建立，1997年晋升为国家级，主要保护对象为东北黑蜂及蜜源植物。东北黑蜂是20 世纪初由乌苏里江东引入的远东蜂，经长期的自然选择和人工选择，形成的适应黑龙江气候和蜜源特点，具有世界上四大著名蜂种的主要优良性状的地方良种。具体表现为耐低温、维持大群、采集力强、配合力好。具有较高的经济的科研价值。本区地处完达山区，是东北黑蜂发源地，现有东北黑蜂原种6000余群。同时保护区具有得天独厚的自然屏障和良...位于黑龙江省饶河境内，面积270000公顷，1980年经黑龙江人民政府批准建立，1997年晋升为国家级，主要保护对象为东北黑蜂及蜜源植物。东北黑蜂是20 世纪初由乌苏里江东引入的远东蜂，经长期的自然选择和人工选择，形成的适应黑龙江气候和蜜源特点，具有世界上四大著名蜂种的主要优良性状的地方良种。具体表现为耐低温、维持大群、采集力强、配合力好。具有较高的经济的科研价值。本区地处完达山区，是东北黑蜂发源地，现有东北黑蜂原种6000余群。同时保护区具有得天独厚的自然屏障和良好的山地隔离条件，野生植物种类繁多，达1074种，其中以椴树，毛水苏等为主要蜜源的蜜源植物200多种，是保护东北黑蜂基因库的最佳环境。此外，保护区还拥有东北虎及数量较多的马鹿、黑熊等野生动物，具有较高的保护价值。,,,--,,,,冬季到黑龙江是内外温差很大，需要带厚实耐旱的衣物，同时带上一些药品预防感冒。注意在使用照相机时注意机器的保暖。,1
太保镇,http://travel.qunar.com/p-oi39577584-taibaozhen,,,,,0.0,,,,,1
寒葱沟水库,http://travel.qunar.com/p-oi39451203-hanconggoushuiku,,,,,0.0,,,,,1
双鸭山市承平湖公园,http://travel.qunar.com/p-oi39413660-shuangyashanshichengping,,,,,,,,,,1
挹娄文化风情园,http://travel.qunar.com/p-oi39317747-yilouwenhuafengqingyuan,,,,,0.0,,,,,1
双鸭山市图书馆,http://travel.qunar.com/p-oi38910300-shuangyashanshitushuguan,,,,,4.7,,,具体收费情况以景区现场公示为主,,1
湿地公园,http://travel.qunar.com/p-oi38341143-shidigongyuan,,,,,,,,,,1
翠峰山公园,http://travel.qunar.com/p-oi38337345-cuifengshangongyuan,,,,,--,,,具体收费情况以现场公示为主,,1
四排赫哲风景区,http://travel.qunar.com/p-oi38336312-sipaihezhefengjingqu,,,,,--,,,具体收费情况以现场公示为主,,1
喀尔喀山,http://travel.qunar.com/p-oi38034993-kaerkashan,,,,,--,,,具体收费情况以现场公示为主,,2
东湖水上乐园,http://travel.qunar.com/p-oi37548402-donghushuishangleyuan,"

地址:
黑龙江省双鸭市岭东区北山街道307省道东湖公园内

","东湖水上乐园位于黑龙江省双鸭市岭东区北山街道307省道东湖公园内，拥有多项游乐设施，可以体验到惊声尖叫,畅快玩水,全方位体验动感魅力，清凉一夏。",全年 08:00-17:00,,--,建议游览时间：12小时 - 3天,,,,2
大顶子森林公园,http://travel.qunar.com/p-oi36555117-dadingzisenlingongyuan,,大顶子山风景区位于饶河县。景区内地貌类型多样，山水清秀、林草茂密，山上有一清虚亭，是观看日出的好处去。,,,0.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,2
孔雀岭,http://travel.qunar.com/p-oi35559210-kongqueling,,,,,--,,,具体收费情况以现场公示为主,,2
氓流屯Mengliutun Village,http://travel.qunar.com/p-oi35474525-mangliutun,,,,,--,,,具体收费情况以现场公示为主,,2
龙头农场九队Longtou Farm Team IX Village,http://travel.qunar.com/p-oi35474348-longtounongchangjiudui,,,,,--,,,具体收费情况以现场公示为主,,2
七星河九队Team 9 of Qixinghe Village,http://travel.qunar.com/p-oi35474049-qixinghejiudui,,,,,--,,,,,2
南沟屯Nangoutun Village,http://travel.qunar.com/p-oi35473958-nangoutun,,,,,--,,,具体收费情况以现场公示为主,,2
三班沟Sanbangou Peak,http://travel.qunar.com/p-oi35306207-sanbangou,,,,,,,,,,2
宝清县石器博物馆Baoqingxian Shiqi Museum,http://travel.qunar.com/p-oi34274557-baoqingxianshiqibowuguan,,,,,,,,,,2
宝清县博物馆Baoqingxian Museum,http://travel.qunar.com/p-oi34272847-baoqingxianbowuguan,,,,,,,,,,3
