名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
神仙居Shenxianju,http://travel.qunar.com/p-oi707912-shenxianju,"

地址:
台州市仙居县白塔镇神仙居收费站南侧200米


电话:
0576-87038686,0576-87778119


官网:
http://www.zjshenxianju.com/

",神仙居位于仙居县白塔镇境内，景区兼有“天台之幽深、雁荡之奇崛”，几乎囊括了仙居的全部精髓。这里的一山一水、一崖一洞、一石一峰都能自成一格，仿佛神仙为自己的住宅亲自设计的盆景。神仙居是世界上规模较大的火山流纹岩地貌典型，景观丰富而集中，奇峰环列，有观音岩、如来像、迎客山神、将军岩、睡美人、十一泄飞瀑等百余个景点。以西罨幽谷为中心，形成峰、崖、溪、瀑景观。景区有东、西、南、北四大天门，天门均由相对而立的两座险峰组成，仿佛在那里替主人虚位迎客。从景区北入口（西罨）和南入口（淡竹）都可进入景区。但凡看山景，必须是要爬山的，景区设置有索道，可以省去爬山的苦恼。若不愿爬山登岭，也可以沿着曲曲弯弯的幽谷，踩着平坦如砥的山径缓步而入，一路上便可饱览十里幽谷千重峭壁、万丈悬崖的险峻，咀嚼到雾绕云低、鸟唱蛙和的清幽。游玩神仙居景区约需3-4小时，适宜的季节是6-8月雨季期间。雨后的瀑布水流极大，颇为壮观，空气也十分凉爽，适合夏季避暑。此外，寒冷的冬季也是不错的选择，漫山的瀑布结成厚厚的冰瀑，仿佛玉柱一般悬挂于山前，瑰丽壮观。,8:00-17:00；详情以景区公示为准。,https://img1.qunarzz.com/travel/d8/1612/11/34714445429367b5.jpg_480x360x95_1e8f9f31.jpg,4.5,建议游览时间：3小时 - 4小时,,"{'神仙居门票成人票\n\n': ['¥99起'], '神仙居门票老人票\n\n': ['¥55起'], '神仙居门票优待票\n\n': ['¥55起']}",1、北门上南门下，有1路公交车免费送回北门，时间约20分钟左右。2、 仙居出租车起步价5元。3、 山上的物价偏高，尽量自备干粮和水。,1
大陈岛Dachen Island,http://travel.qunar.com/p-oi714824-dachendao,"

地址:
台州市椒江区


电话:
0576-88501580,0576-88900899

",大陈岛位于台州湾口外，由上、下大陈岛及洋旗岛、蛇山岛、鸟岛等20个鸟礁组成，面积为14.6平方公里，距台州椒江区52公里。大陈岛山海—体，绿树成荫，由于亿万年的地质构造变化和海流潮汐冲击，环岛的岩层、礁石颇奇特以奇礁兀立、高山阔海的海岛自然风光著称，系省级海岛森林公园。上大陈岛上以优美的海港自然风光、像形肖物的海蚀景观、丰富多样的森林景观，传奇的历史遗迹和优良的海滨浴场为特色，有名气的是乌沙头海滩，依山傍海，纵横开阔，沙黑水清，让人心旷神怡。下大陈岛以渔港风情、峻峭雄奇的海蚀地貌、神秘的海神宗教寺庙和海岛植物景观为特色。建有大陈岛青少年宫、垦荒创业陈列馆、风力发电机群等。有“东海盆景”之誉的甲午岩，堪称一绝，可见两片30余米高的巨形礁石形如大海中的风帆，直指苍穹，两礁相隔不过数尺，耸峙危立，气势雄伟。岩下急涛汹涌，白沫滔天。,全年 8:00-17:30,https://img1.qunarzz.com/travel/d0/1706/97/3d22b0fac7e582b5.jpg_480x360x95_03717bea.jpg,4.3,建议游览时间：3小时 - 4小时,,上岛需购买船票，详情以景区公示为准。,,1
七彩小箬村Colorful Xiaoruo Village,http://travel.qunar.com/p-oi23344416-qicaixiaoruocun,"

地址:
台州市温岭市石塘镇小箬村

",七彩小箬村位于温岭市石塘镇，是一个建筑风格很有特色的小乡村。在这个村子里，每间房屋都被刷成了不同的颜色，颜色让人看起来十分舒服，房屋错落有致，走在这里就仿佛置身于童话世界。渔民的渔船都停靠在岸边，每到傍晚的时候，晚霞映着海水，岸边一排排整齐的小渔船，给人一种宁静舒适的感觉。,全年 全天开放,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/cbda1893-d1d3-4fca-a723-02f2b744c33e.jpg,3.8,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
天台山风景区Tiantai Mountain Scenic Spot,http://travel.qunar.com/p-oi711871-tiantaishanfengjingqu,"

地址:
台州市天台县和合街1号


电话:
0576-83958610

",天台山国家重点风景名胜区的核心景区之一，景区距天台县城2公里。岩奇、峰异、水秀、谷幽，诠释着天湖之自然奇趣。一条幽谷，奇岩耸峙，三湖层叠，瀑布成群，青山倒映，苍翠如染，天台山山水精华尽集于此。“碧湖幽潭、飞瀑流泉”是天湖之水最好的写照。上天湖之浩瀚、开阔，中天湖之别致清澈，下天湖之玲珑、妩媚，使三湖各具风姿，耐人寻味；而贯穿三湖之间的“一衣带水”，分别形成富有动感与旋律的多重瀑布；天湖景区自上而下，或湖、或瀑、或潭、或泉，凑响了天湖别致、细腻、妩媚和充满动感的水之乐章，真有“又疑瑶台境，飞行青云端”之意境。,"全年 周一,周三-周四,周日 10:00-17:00;全年 周二 12:00-19:00",https://img1.qunarzz.com/travel/d2/1708/26/95707dba3349f4b5.jpg_480x360x95_867c5a83.jpg,4.6,建议游览时间：12小时 - 3天,,"{'石梁飞瀑门票成人票\n\n': ['¥50起'], '石梁飞瀑门票优待票\n\n': ['¥30起'], '石梁飞瀑门票双人票\n\n': ['¥110起']}",去天台山各大景区均有大小公共汽车通达，不走回头路。天台山进山门票10元，景区内步行游览。,1
紫阳街Ziyang Street,http://travel.qunar.com/p-oi5156896-ziyangjie,"

地址:
台州市临海市古城家园(临海中学东南)


电话:
0576-85158296

",紫阳街，全长1080米，街上古迹，数不胜数。有纪念宋代南宗道教始祖张伯端（紫阳真人）的石碑、紫阳桥和紫阳坊。有紫阳故里和紫阳宫遗址，原紫阳宫南大门牌坊基石保存完好。还有明历十九年（1591）由举人吴执御、彭世焕、王如春、章应科、徐子瑜五人立的“五凤坊”。紫阳街两旁的水井是紫阳街古迹的又一大特色。除此之外，紫阳街北端北固山的郑广文祠，始建于唐广德二年(764年)，是为纪念唐代郑虔在台州开创了文教之先河而立。紫阳街南端，位于巾子山麓、古城墙边的龙兴寺。,全年 全天开放,https://img1.qunarzz.com/travel/poi/1409/01/b7f0455cda222a08ffffffffc8d65eac.jpg_480x360x95_9cca890b.jpg,4.5,建议游览时间：2小时 - 4小时,,具体收费情况以现场公示为主,,1
国清景区Guoqing Scenic Area,http://travel.qunar.com/p-oi702416-guoqingjingqu,"

地址:
台州市天台县国清寺村国赤路


电话:
0576-83958197,0576-83958610

",国清景区位于天台县城北3公里处，这里的国清寺是依据天台宗创始人智者大师亲手所画的样式而建，寺中古树参天，是中国天台宗祖庭，也是到天台的游客必到的景点。虽然每天来此的游人络绎不绝，国清寺仍保存着佛门的清静味道，这里没有叫卖香火的小贩，却尚能看到隋塔、唐樟、宋藤等历史遗迹，漫步其中，给人从容自在的感觉。走到“国清景区”大门口，沿着主干道前行，走过一小片稻田，大约五六百米后才是寺院。若不愿步行，也可乘电动车代步。过牌坊右侧有7座石塔，附近有小路可通向山上的隋塔。拾级而上，不用多久便能来到塔前。驻足仰望塔身斑驳的色彩，让人心中充满宁静。欣赏过隋塔，可原路下山继续前去游览国清寺。若是想要拍国清寺全景，不妨从隋塔边走霞客古道上山，视野开阔。过寒拾亭，看过唐樟，经丰干桥便是国清寺山门。寺外照壁上“隋代古刹”四个大字是寺院值得称道的标志，许多游人在此留影。在旁边的售票处购香花券后即可入寺游览。整个寺院依山而建，自下而上大致可分为三部分。寺门很小，横匾上书“国清讲寺”，常因游人太多显得拥挤。入寺后见到的一座殿为弥勒殿，往后是雨花殿（天王殿）、大雄宝殿，是游人香客较为集中的地方。大雄宝殿内供奉着释迦牟尼佛和十八罗汉，是寺院的主体建筑。大雄宝殿右侧有一条小路通向隋梅，古梅树粗壮虬劲的枝干亦是寺院历史的见证。过梅亭往高处走，便是寺院药师殿，殿旁有锡杖泉，再往上走即是较高层的观音殿，里面供奉着千手观音像。附近的中韩天台宗祖师纪念堂内，供奉着智者大师等中韩三位开山祖师的塑像，石身铜顶的法华经幢上面的题刻也是名家手笔。这里是寺院的高处，在此透过殿宇的层层飞檐回望山下的隋塔，别有一番滋味。从左侧下山，经过三贤殿回到大雄宝殿，顺着通道往西不远便是王羲之的独笔鹅字碑，一笔写就的“鹅”字浑然天成。继续往前还有妙法堂、伽蓝殿、罗汉堂等建筑，可简单浏览。往出口方向走，过鱼乐国的喷水池不远便能回到出口附近的弥勒殿。沿路虽无更多建筑可观，但路边盘根错节的宋藤、横着生长的古树也是少见的自然景观。若想体验佛门生活，可在寺内吃吃素斋，午餐大约在10:30-11:00。,7:30-16:00,https://img1.qunarzz.com/travel/d1/1708/41/7c9338016b9c11b5.jpg_480x360x95_9684ce83.jpg,4.7,建议游览时间：1小时 - 2小时,全年皆宜,{'天台山国清寺手机导游(不含门票)门票成人票\n\n': ['¥12起']},,1
石塘Shitang Town,http://travel.qunar.com/p-oi704643-shitang,"

地址:
台州温岭市石塘曙光园


电话:
0576-86208077

",素有“画中镇”之称的千年阳光镇石塘，位于温岭市松门镇东南。这里碧海怀抱，风光秀丽。其景观以融合天工之巧和人工之妙的特色闻名遐迩，被人们誉为“东方的巴黎圣母院”和“画家的摇篮”。石砌建筑：石塘镇的楼房皆依山傍海，以块石垒筑，高低错落有致，石屋、石街、石巷、石级，独具风采，很有特色和美感。石塘方圆四五平方公里的山岙里，全是“屋咬山，山抱屋”的石砌建筑，三五成群，高低有序，构成石雕群体。代表性的是三层或四层的石堡楼，用长方形石料，极工整地拼叠而成，造型犹如一座座欧洲中世纪的城堡。这些“古堡”、石窗和渔家妇女头上插着鲜花的发髻，深蕴着历史的凝重、岁月的沧桑和古朴的民情。千年曙光碑：2000年1月1日6时46分，新千年的第一道曙光在中国大陆首先照到温岭石塘。为了让这千年一刻变成永恒的纪念，按照“中国千年曙光节”活动组委会的安排，温岭石塘兴建了具有划时代意义的“千年曙光碑”及观景台。永志纪念的曙光碑巍然矗立于观曙光园中心，两支相对的碑柱高高耸立，如同两扇竖起的门板，象征着新世纪的大门已打开。此外，石塘更有古老的渔村风俗大奏鼓、扛台阁、七月七日小人节待风格独特的节日，可感受古老的闽南风俗生活的活力。,夏季（4月1日-10月31日）7:30-17:00；冬季（11月1日-次年3月31日）8:00-16:30。,https://tr-osdcp.qunarzz.com/tr-osd-tr-touch/img/0eae706579f56fbbf34e19490b2e08d3.jpeg_480x360x95_cbeac326.jpeg,4.5,建议游览时间：3天 - 9天,,3元,,1
括苍山Kuocang Mountain,http://travel.qunar.com/p-oi703260-kuocangshan,"

地址:
台州市临海市括苍山路2号


电话:
+1 415-673-3530

",括苍山位于临海西南部，主峰米筛浪海拔1382米，是浙东南第一高峰。它没有天目山、雁荡山那么出名，是浙江难得还没怎么被旅游开发的地方。山上没有太多人工痕迹，云海、日出和风车的景色组合是每个来到括苍山的人都难以忘怀的景观。山顶的一块新世纪第一缕曙光纪念碑（曙光碑），标志它是21世纪中国大陆第一缕曙光首照地。可能也正因为没有旅游开发，上括苍山的路并不好走。而当你站在山顶，放眼望去是开阔而绵延的山岭，山岭上风力发电厂的风车日复一日地旋转着。常有大朵的云环绕在山间，日出时阳光把云海和天空染成渐变的橙色，让你觉得一路的辛苦都是值得的。在曙光碑看一次日出，也不失为一件颇有仪式感的事儿。,全天开放,https://img1.qunarzz.com/travel/d1/1511/62/23097c37f7d59ff7.jpg_480x360x95_e2c065da.jpg,4.6,建议游览时间：3天 - 36小时,,具体收费情况以现场公示为主,,1
车关金沙滩Golden Beach,http://travel.qunar.com/p-oi10094825-cheguanjinshatan,"

地址:
温岭石塘镇车关村


电话:
0576-81698298

",金沙滩位于石塘镇车关村，因沙质金黄细腻，故名金沙滩，并具有坡度平缓、危险系数低的特点。金沙滩对面就是沿海步行绿道，串起依山而建、保存完好的斑斓石屋，编织成一幅绚丽的滨海风景。,全年 08:00-20:00;全年 08:00-17:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/4ddd63eb8e20efeaa36a25bee61584d8.jpg_480x360x95_baa4b640.jpg,3.5,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
洞下沙滩Dongxia Sand Beach,http://travel.qunar.com/p-oi10034753-dongxiashatan,"

地址:
台州市温岭市松门镇东侧

",洞下沙滩在松门镇洞下村的元宝山麓，这里有一山洞，洞口有水帘，据老一辈的人说，可以通过那个洞到几公里外的其他村，洞口有小水帘，有水顺着岩壁流下或向下滴水，但安全起见还是不要独自进入洞中，洞内外岩石上长满淡菜、观音手、藤壶、牡蛎等贝类。洞外是一片沙滩，称洞下沙滩。该海滨沙滩周边有许多石屋民宿，例如缘舍、在水一方、隐星苑、玉海阁、海不眠。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/f320f0c7ee37cd9d1c533c0a46c2c7b2.jpg_480x360x95_8cbad527.jpg,3.9,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
