名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
三河古镇Sanhe Ancient Town,http://travel.qunar.com/p-oi705878-sanheguzhen,"

地址:
合肥市肥西县南端肥西、舒城、庐江三县交界处


电话:
0551-68757113,0551-8757113


官网:
http://www.shgzlyjq.com/

",三河古镇位于合肥市区南部约40公里处，因有丰乐河、杭埠河、小南河三河流经而得名。古镇由三河上的古码头发展而成，距今已有2500多年历史，春秋时名鹊岸，明代始称三河镇，1858年太平天国陈玉成、李秀成在此大败清军，称“三河大捷”。古镇的老街上铺着青石板，被千百年来的人行车压打磨得光滑，两侧的徽派建筑别具一格，有不少是青砖直接砌成墙，马头墙上挑出的飞檐上翘得比宏村、西递马头墙上的夸张得多。游览指南一般从镇中心开始游览古镇，坐长途汽车到三河汽车客运站后，右手转弯步行10分钟，穿过为纪念“三河大捷”而建的大捷门牌坊，便来到镇中心的三拱石桥三县桥，因此处是合肥市的肥西县、庐江县，六安市的舒城县，三县交汇处而得名，桥下流淌着南北走向的小南河。三县桥的西北有国粹楼，高七层，登楼可俯看三河古镇全景，楼内陈列着轿子、牌匾、雕花床、石雕等精美的徽派特色文物。国粹楼附近的大夫第（三河民俗博物馆）里展出的文物同样精美，有官员私宅的厅堂布置，漂亮的木雕，1.5米长的大算盘等。三县桥的东北有仙姑楼（中和祥旧址），徽派民居式的寺庙，为当时的大商人所建。由仙姑楼沿着小南河东岸北行，是青石板铺就的古西街，长500米，曾是古镇历史较繁华的街道，多老字号，比如先前仙姑楼旁边有还在营业的中和祥糕点店。而在这些老字号中，较大的是刘同兴隆庄，内部依旧按商铺的模样布置。此外，在古西街上还可以看看宗贤根雕馆。从三县桥沿着小南河的西岸南行，首先看下河上有1500多年历史的鹊渚廊桥，然后在古南街、万年街两条街上，主要看民居，有杨振宁旧居、孙立人故居、古娱坊、鹤庐（刘秉璋故居）等，名人旧居里都有屋子主人的图文介绍。其中有名的当属曾获诺贝尔物理学奖的杨振宁的旧居，当时杨振宁为避日军战乱而客居此处，旧居附近有一条有意思的巷子一人巷，真的狭窄到只容一人通过。万年街上还可以参观下万年禅寺、城隍庙等。走到小南河的东岸古东街（与古西街相连，在古镇南部），可以参观下土地庙，太平天国军当时筑的古城墙，在戏台万年台处，每逢节假日有庐剧表演可看。餐饮住宿三河古镇的小吃集中在三县桥一带，古镇南部的饭店要比北部多。特色美食有三河米饺，三河虾糊，酥鸭，河蚌、螺丝等河鲜。茶干，就是一种豆腐干，可以买来边走边吃，米酒带回家送送人也不错。要说特色纪念品的话，可以购买羽毛扇。古镇上和古镇周边都有住宿，不贵，100-200元左右，但是几乎没有游客会在古镇留宿，游完当天可以返回合肥市区，住宿不是很有必要。,全天开放，内部小景点大致营业时间8:00-17:00,https://img1.qunarzz.com/travel/d2/1701/35/41308e5bcb81ffb5.jpg_480x360x95_79bb24ec.jpg,4.7,建议游览时间：12小时,,"{'三河古镇电子导览服务大小同价\n\n': ['¥0.1起'], '三河古镇摇橹船票成人票\n\n': ['¥40起'], '【周末特惠】三河古镇+李鸿章故居+包公祠+清风阁一日游\n\n': ['¥278起']}",,1
鼓山Gu Mountain,http://travel.qunar.com/p-oi7645622-gushan,"

地址:
巢湖市居巢区长江东路鼓山风景区管理处


电话:
0551-82359598

",鼓山又名亚父山，是谋略家范增的故里，亦因状似一面巨鼓而得名。鼓山占地2200多亩，森林覆盖面积约1700多亩，山中林禅并重，遍山苍翠，古柏参天，郁郁葱葱，成为江淮游览进香胜地之一。山腰有范增汉白玉雕像及范增亭。山顶建有一座明七层暗八层鼓山塔。沿亚父街往山上大约300米，就到了鼓山大门。鼓山大门是一座气势恢宏，层次错落的仿古建筑。上面有上下两层的琉璃瓦飞檐门楼，下面是四根红色廊柱。门楼上书“鼓山寺”三个金字，是赵朴初先生亲笔题写。下面廊柱上刻有张凯帆题写、方克逸撰写的对联：“绝顶摩天，慈怀纳地”。,全年 周一-周五 09:00-17:00;全年 周六 09:00-16:00,https://img1.qunarzz.com/piao/fusion/1501/fe/344783680bec96.jpg_480x360x95_d60d813d.jpg,4.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,优惠政策：身高1.2米—1.5米购优惠票；60岁—69岁老年凭证购买优惠票。,1
徽园Hui Garden,http://travel.qunar.com/p-oi712167-huiyuan,"

地址:
合肥市蜀山区繁华大道276号


电话:
0551-63822866


官网:
http://www.anhuihuiyuan.cn/

",该园是一处将安徽各地代表风景的微缩景观集中展示的园林，让你能在短时间内了解安徽，触摸历史。尽管均为仿古建筑，也稍显陈旧，但也适合避开嘈杂都市，休闲放松。,8:30-17:00,https://img1.qunarzz.com/travel/poi/201211/19/43d1142c65596750ddb12cfb.jpg_480x360x95_5fedd4dd.jpg,4.2,建议游览时间：3小时 - 4小时,,具体收费情况以景区现场公示为主。,,1
安徽博物院（新馆）Anhui Museum,http://travel.qunar.com/p-oi7615620-anhuibowuyuan,"

地址:
合肥市蜀山区怀宁路87号


电话:
0551-63736658,0551-63736655


官网:
http://www.ahm.cn/

",2007年1月16日，安徽省博物馆新馆奠基，新馆建筑面积4.1万平方米，展览面积1万平方米，建筑造型体现了五方相连、四水归堂的徽派建筑独特风格。2011年9月29日建成开放。推出1个基本陈列——《安徽文明史陈列》，4个特色专题陈列－－《徽州古建筑》、《新安画派》、《安徽文房四宝》和《江淮撷珍》。“徽州古建筑”展出精美的建筑构件，还拉风地搬入了一整栋徽派古民居，按原状陈列。“安徽文房四宝”展出古徽州特产宣纸、徽墨、宣笔、歙砚。“新安画派”是看书画作品的展厅。“江淮撷珍...2007年1月16日，安徽省博物馆新馆奠基，新馆建筑面积4.1万平方米，展览面积1万平方米，建筑造型体现了五方相连、四水归堂的徽派建筑独特风格。2011年9月29日建成开放。推出1个基本陈列——《安徽文明史陈列》，4个特色专题陈列－－《徽州古建筑》、《新安画派》、《安徽文房四宝》和《江淮撷珍》。“徽州古建筑”展出精美的建筑构件，还拉风地搬入了一整栋徽派古民居，按原状陈列。“安徽文房四宝”展出古徽州特产宣纸、徽墨、宣笔、歙砚。“新安画派”是看书画作品的展厅。“江淮撷珍”展出的那些金灿灿、雕刻细腻的文物也许更受普通游客的青睐，即使不懂历史价值也能玩味一二，后两件镇馆之宝南宋的镶金边玛瑙碗、元代的“张成造”剔犀云纹漆盒便在这里，都相当华丽。新馆东北边是安徽省地质博物馆，可与新馆一并游览。馆内采用高科技多媒体与游客互动，陈列的岩石标本、古生物化石令人感到震撼。,周二-周日9:00-17:00（16:00停止取票、入场），周一闭馆，节假日正常开放，期间逢周一顺延一天闭馆。,https://img1.qunarzz.com/travel/d5/1608/b6/4a757d9338a672b5.jpg_480x360x95_f9ba1cc0.jpg,4.6,建议游览时间：3小时 - 4小时,,凭个人有效证件领票入场。,,1
海棠花海Crabapple Flower Sea,http://travel.qunar.com/p-oi20975171-haitanghuahai,"

地址:
合肥市新站区梅冲湖路与卧龙路交口


电话:
4001583858

",千亩海棠花全城闻名，海棠神魁傲春绽放，约40年的垂丝皇后美艳绝伦。项目着力打造以“海棠”为主题的特色休闲旅游，在传承海棠文化和渲染海棠花魅力的同时，又从周总理喜爱和赞美海棠花的故事中提炼出“初心文化”，既把游玩与文化相结合，又注重寓教于乐。景区内既有姿态妖娆的“垂丝皇后”，又有祈福许愿的百年“海棠神魁”；既有尊师爱师的“桃李春风”“一亩桃园”，又有执着信念的“初心广场”；既有浪漫悠然的“樱花溪谷”，又有如痴如醉的“醉美海棠”；既有底蕴深厚的“海棠文化馆”，又有现代气息的“花艺馆”；既有丰富多彩的“海棠品种园”，又有趣味十足的“野钓码头”。,9:00-18:00,https://img1.qunarzz.com/piao/fusion/2004/a5/bf4fe8eaa1cf4202.jpg_480x360x95_ae1482f6.jpg,3.3,建议游览时间：2小时 - 3小时,,"{'海棠花海门票成人票\n\n': ['¥26.9起'], '海棠花海门票儿童票\n\n': ['¥14.5起'], '海棠花海北区门票成人票\n\n': ['¥26.8起']}",,1
蜀山森林公园Shushan Forest Park,http://travel.qunar.com/p-oi710957-shushansenlingongyuan,,,,,,,,,,1
李鸿章故居Li Hongzhang Memorial Residence,http://travel.qunar.com/p-oi705186-lihongzhangguju,"

地址:
合肥市庐阳区淮河路步行街中段208号


电话:
0551-62626949

",李鸿章故居位于合肥市繁华的淮河路步行街中段，是典型的晚清江淮地区民居建筑。李鸿章出生于合肥，是晚清军机重臣，他的五个兄弟也身居高位，当时李家住宅有“李府半条街”之称，可惜现在仅存寥寥几间屋子，面积不到原来的十二分之一。故居中精美的木头雕花令人赞叹，而各厅堂中关于李鸿章的展览，令人对其毁誉参半的人生唏嘘感叹。故居的建筑由南到北依次为大门、前厅、中厅、走马楼（小姐楼）。前厅有“李鸿章生平展”，用图文介绍加实物陈列的方式介绍了李鸿章“少年科举，壮年戎马，中年封疆，晚年洋务”的一生。中厅名福寿堂，是接待客人的地方，按客厅模样布置，屋中的木头家具和每一扇窗户上都有漂亮的图案，中厅的东西两厢是书房。中厅和走马楼之间的过厅有“李鸿章墨宝展”，可以欣赏李鸿章苍劲有力的书法。走马楼是整个故居的精华，为“回”字型木楼，一楼有“李鸿章与招商局”展览，二楼是小姐们的闺房。走马楼后一进楼上的绣床、梳妆台、圆凳都用红木制成，绣床尤其名贵，据说是用整棵树雕成的。故居木头雕花精美，门罩、床、台、凳上面全部都有精细的花纹。二楼东首据说是李鸿章幼女即张爱玲祖母菊耦的住所。在故居主体建筑的东侧是陈列馆，布置了“淮系集团与中国近代化”展览，介绍李鸿章领导的淮军，陈列着当时淮军的铠甲、武器，还有用满汉两种文字书写的五色圣旨等。,全年 周日 07:00-14:00;全年 周一-周五 10:00-17:00;全年 周六 10:00-19:00,https://img1.qunarzz.com/travel/poi/201408/04/23df15d5ee4cea25c8d65eac.jpg_480x360x95_f731743e.jpg,4.6,建议游览时间：1小时 - 2小时,,"{'李鸿章故居地图定位自动中文语音讲解服务成人票\n\n': ['¥0.3起'], '【周末特惠】三河古镇+李鸿章故居+包公祠+清风阁一日游\n\n': ['¥278起'], '【酒店套餐】合肥永乐半山酒店一晚+合肥融创乐园门票2张\n\n': ['¥539起']}",,1
"科学岛Hefei Institute of Physical Science, Chinese Academy of Sciences",http://travel.qunar.com/p-oi35216660-kexuedao,"

地址:
蜀山湖路350号

",合肥科学岛，位于董铺水库西岸，静卧在嫩绿的湖水中，岛上花木葱笼，清新幽静，五座科研楼一字排开，三幢雅致大方的幅湖别墅与其他附属设施，组成了具有雄厚科技实力的“科学城”。,全年 全天开放,,--,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,1
逍遥津公园Xiaoyaojin Park,http://travel.qunar.com/p-oi707992-xiaoyaojingongyuan,"

地址:
合肥市庐阳区寿春路16号


电话:
0551-62614651,0551-62652163

",逍遥津公园位于合肥老城区东北角，古为洲水渡口，有桥津可渡，明清时期该园曾是官僚地主的私家花园，先后为窦、王、龚几家霸占，后经近代精心修葺经营，逍遥津成为合肥市内一所环境优美、景色宜人的综合性公园。全园以水系自然地分为东西两园。园内景点密集，东园为青少年活动区和儿童乐园，丰富多样的娱乐设施，特别适合亲子旅游。东南角是动物园，有珍禽异兽和千姿百态的水族，不过现在大多动物现已迁入合肥市野生动物园。东北角还有供游人品茗小憩的蘧庄和摇桨荡舟的游船码头。西园则以植物造景为主，有梅花山、牡丹园、杜鹃园、藏幽园、盆景园、独秀峰等胜景，结合各种奇花异草、假山怪石、水榭回廊、楼台亭阁等，让人在园中漫步，感到无比舒心放松。在逍遥津公园西边，靠近张辽墓附近，常常有些许庐剧爱好者聚在一起演唱庐剧。他们的声音很有穿透力，当你离他们尚有一段距离时，就可以听见咿咿呀呀唱戏的声音，寻着这戏曲而声前进。就能发现也许在树下、也许在路边、也许在小亭子里拉请唱戏的爱好者们。你也可以上前与他们攀谈一番，或许还能有机会学上两句。,全年 10:00-18:00,https://img1.qunarzz.com/travel/d2/1709/2b/fd3a2399c607adb5.jpg_480x360x95_64090ece.jpg,4.4,建议游览时间：2小时 - 3小时,4至10月最佳,"{'逍遥津公园电子讲解票成人票\n\n': ['¥6起'], '【酒店套餐】合肥美居酒店一晚+合肥融创乐园门票2张\n\n': ['¥369起']}",,1
岱山湖Daishan Lake,http://travel.qunar.com/p-oi703946-daishanhu,"

地址:
合肥市肥东县古城镇


电话:
0551-64253850,0551-64253851,0551-7512903


官网:
http://www.dslake.com/

",岱山湖位于肥东县与全椒县交界处，距合肥市区57km，距江苏省城南京市只有96km。岱山湖地属亚热带气候，温暖湿润，年平均气温15.7摄氏度，冬暖夏凉，四面青山环绕，山水交融。水面有宽有窄，湖边有湾有港，自成体系，具有开展各类水上项目的理想环境，湖边山区森林覆盖率90％以上，有400多种植物。岱山湖以其独特的湖光山色闻名遐尔，“山不高而层峦叠嶂，水不大而气象万千”，勾画处了岱山湖的景色特征。岱山湖原为解放后当地乡民修建的一座水库，因离城较远，四周全为乡村田野，未遭任何污染，给人以清纯自然的亲切感。立于岸边，放眼望去，只见万亩湖面清波荡漾，四周群峰丘坡叠翠。湖面东部开阔，西部曲折蜿蜒，并天然形成众多的港汊。,8:00-17:30,https://img1.qunarzz.com/travel/poi/1806/68/39e1c2ea7fda8c37.jpg_480x360x95_545fae56.jpg,4.2,建议游览时间：2小时 - 3小时,,"{'岱山湖门票成人票\n\n': ['¥35起'], '岱山湖门票优待票\n\n': ['¥11起'], '岱山湖+游船套餐成人票\n\n': ['¥75起']}",,1
