名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
黄河水库,http://travel.qunar.com/p-oi707099-huangheshuiku,"

地址:
吉林市磐石市烟筒山镇黄河水库

",黄河水库位于磐石市烟筒山镇李塘坊屯西1公里处，距烟筒山火车站约9公里，距莲花山景区约15公里。地处吉沈线和烟白线之间的三角地带。黄河水库于1973年建成，是目前我市境内规模最大且集灌溉、防洪、发电、旅游等功能于一体，各项设施基本配套的中型水库。水库依山傍水，库区景色秀丽，库中游鱼成群，野生鸟儿成群戏水。春天，水中的冰雪融化了，碧水中可现肥鱼，山上的杏花开了，薄绿中衬着粉红；夏天，满山油翠， 山水相映，鸟语鹰啼：秋天，山披五彩，水清如镜；冬季，一片银白……...黄河水库位于磐石市烟筒山镇李塘坊屯西1公里处，距烟筒山火车站约9公里，距莲花山景区约15公里。地处吉沈线和烟白线之间的三角地带。黄河水库于1973年建成，是目前我市境内规模最大且集灌溉、防洪、发电、旅游等功能于一体，各项设施基本配套的中型水库。水库依山傍水，库区景色秀丽，库中游鱼成群，野生鸟儿成群戏水。春天，水中的冰雪融化了，碧水中可现肥鱼，山上的杏花开了，薄绿中衬着粉红；夏天，满山油翠， 山水相映，鸟语鹰啼：秋天，山披五彩，水清如镜；冬季，一片银白……这里空气新纯，环境优美，水产资源极其丰富，鱼类品种有鲈、鳜、鲢、鲤、鲫、鲶、鲂和其它野杂鱼，特产有蟹、蚌、螺等。经过几年的开发建设，黄河水库的旅游设施建有回音亭、喷水池、休闲别墅、高级篮球、排球场，配备了电瓶船、快艇……,8:00至17:00,https://img1.qunarzz.com/travel/d4/1810/5f/59f48d09f34490b5.jpg_480x360x95_403776a2.jpg,4.0,,,成人票：15元 儿童票：7.5元,,1
雾凇岛Wusong (Rime) Island,http://travel.qunar.com/p-oi5860341-wusongdao,,,,,,,,,,1
吉林松花湖风景名胜区Songhua Lake Scenic Spot (Jilin),http://travel.qunar.com/p-oi703874-jilinsonghuahufengjing,"

地址:
丰满桥东侧松柏路1号


电话:
0432-66666666

",松花湖位于吉林市东南约14公里处，是1937年拦截松花江水建设丰满水电站叠坝成湖形成的，这里山明水秀、景色宜人。松花湖的春夏时节，林木叠翠、适合避暑；秋冬季节，这里漫山红叶、雪盖山湖，一派北国美景。松花湖名胜风景区目前共有11处景区，从松花湖丰满码头向湖区走，有五虎岛、卧龙潭、骆驼峰、凤舞池、石龙壁、摩天岭、额赫岛等旅游区。有个别景区正在开发，有的景区还保留着原始风貌。丰满大坝位于松花湖西北端，是丰满水电站的大坝。大坝始建于1937年日伪时期，是侵华日军为了...松花湖位于吉林市东南约14公里处，是1937年拦截松花江水建设丰满水电站叠坝成湖形成的，这里山明水秀、景色宜人。松花湖的春夏时节，林木叠翠、适合避暑；秋冬季节，这里漫山红叶、雪盖山湖，一派北国美景。松花湖名胜风景区目前共有11处景区，从松花湖丰满码头向湖区走，有五虎岛、卧龙潭、骆驼峰、凤舞池、石龙壁、摩天岭、额赫岛等旅游区。有个别景区正在开发，有的景区还保留着原始风貌。丰满大坝位于松花湖西北端，是丰满水电站的大坝。大坝始建于1937年日伪时期，是侵华日军为了将东三省打造成军事物资供应基地而实施的工程之一，是当时乃亚洲第一高坝。当年建坝过程中，有上万中国劳工被饿死累死或被打死，十分凄惨。五虎岛是松花湖中的一座岛屿，位于距离电站大坝西南17公里的湖叉处。岛上林木葱茏，建有省内大的游乐园，还建有连水桥、望湖台、造型别致的五虎亭廊，以及古朴典雅的鱼味餐馆。金龟岛是离大坝不远的一个湖中岛屿，因其形状似一只大龟凫于水上、有头有尾、神态酷肖而得名。岛上绿树满崖，岛中建有一座金山亭，红柱黄瓦，气派不凡。游客可乘船登岛，登上山亭可眺望湖山美景和大坝。,6:00-17:30,https://img1.qunarzz.com/travel/d5/1809/35/f56de013a39902b5.jpg_480x360x95_0e9e210b.jpg,4.5,建议游览时间：3小时 - 5小时,四季皆可。春季，湖岸山崖，野花竟放，充满生机。夏季，乘船上行，凉风习习，暑气全消。秋季，层林尽染，火红的枫树，桔红的橡树，金黄的落叶松，米黄的白桦树，使你视线所及，处处彩色斑斓。 冬季，四周群山银装素裹，湖水结冰，面平如镜，在这个时节，可以上山打猎或凿冰捕鱼。,10元,游船无儿童票，老年票等优惠。登船地点为庆岭码头。庆岭码头满20人开船如，人员不满请稍等待，无法开船。,1
官马溶洞Guanma Cave,http://travel.qunar.com/p-oi704683-guanmarongdong,"

地址:
吉林市磐石市官马镇粗榆村北


电话:
0432-65935108,0432-65935588

",景区位于吉林磐石烟筒山镇境内，为AA级旅游风景区，是吉林省的溶洞，大约形成于三亿年前，地处古生代石碳系地层区，地貌起伏，山势陡峭，形成地表溶岩洞，有发育良好的石钟乳、石笋、奶石花、石鹅管、石葡萄、石瀑布。官马溶洞景物奇特，巧夺天工。洞中有洞也是官马溶洞的一大特点。洞内有支地托天的钟乳石柱，有7米宽、15米高的石岩瀑布，蔚为壮观。由于火山喷发的大量酸性物质长期侵蚀，地球内部的造山运动，形成了一个雄奇瑰丽 回曲折的地下溶洞。洞外酷热难耐，洞里凉气宜人。景区由“唐诗宋词”书法碑林、奇石广场、奇石馆、粗榆山庄组成。“唐诗宋词”书法碑林由百名中国著名书法家于千禧年书写，由众多能工巧匠费时半年镌刻的艺术珍品，是历史文化瑰宝，是书法艺术和雕刻的完美结合，被称为“中国的千古绝唱” ,4/1-11/30 周一-周五 08:00-16:30;4/1-11/30 周六-周日 08:00-17:00,https://img1.qunarzz.com/travel/poi/1803/bc/c7e69801b5d3fc37.jpg_480x360x95_abbaa9b6.jpg,4.2,建议游览时间：1小时 - 2小时,洞内空气畅通，常年恒温，四季凉爽宜人，一年四季都可以作为人们旅游的选择之地。,"{'官马溶洞门票成人票\n\n': ['¥60起'], '官马溶洞电子导览服务大小同价\n\n': ['¥6起']}",洞内不要拥挤，小心慢行，以免发生危险,1
北山公园North Hill Park,http://travel.qunar.com/p-oi708517-beishangongyuan,"

地址:
吉林市船营区德胜路51号


电话:
0432-69980110

",北山公园位于吉林省吉林市船营区，是一座久负盛名的寺庙、风景城市园林。园内峰峦叠翠，主要有玉皇阁、药王庙、坎离宫等建筑，一座卧波桥把一池湖水分为东西两部分，夏季湖中荷花盛开，微风起时，花香四溢。几百年来已成为人们踏春、消夏、赏荷、观雪的旅游胜地，更是远近香客朝山进香，拜庙祈神的福地。每到庙会，游人香客云集，马戏、杂技、歌舞、秧歌等各种表演热闹非凡，风味小吃琳琅满目，盛况冠绝东北。自清朝年间便有“千山庙会甲东北，吉林庙会胜千山”之誉。,全年 全天开放,https://img1.qunarzz.com/travel/d1/1711/81/e0dbfbdc7d8e42b5.jpg_480x360x95_89c1dd5e.jpg,4.6,建议游览时间：1小时 - 2小时,四季皆可，踏春、消夏、赏荷、观雪，各有妙处,{'北山公园驴迹电子导览（不含门票）服务大小同价\n\n': ['¥6起']},吉林市的冬季，平均气温零下十几度，气候寒冷。因此，应做好保暖措施。,1
世纪广场Shiji Square,http://travel.qunar.com/p-oi709034-shijiguangchang,"

地址:
吉林市丰满区吉林大街98-18号


电话:
0432-66406411

",世纪广场位于吉林市博物馆和松花江南岸之间，南北长900余米，东西长200余米。由博物馆建筑群、旱喷泉、国旗平台、“世纪之舟”巨塔、音乐喷泉、望江平台等部分组成。是吉林市一座反映城市特色的风景园林。博物馆建筑群是广场南部观赏性很强的背景装饰景观。音乐喷泉广场由每座长50米、宽18米的三座大型音乐喷泉组成。国旗平台由东西排列的12面彩旗作为衬托，形成一个7000多平方米的场地，是进行爱国主义教育和举行大型活动的理想去处。“世纪之舟”巨塔高50米，顶端设有观礼平台，可鸟瞰“江城”秀色。望江平台临江而建，是观赏松花江和两岸风光的好去处。,全年 全天开放,https://img1.qunarzz.com/travel/poi/201408/11/46c02ad17ff9f0bfc8d65eac.jpg_480x360x95_afceda4a.jpg,4.5,建议游览时间：2小时 - 3小时,吉林市是四季皆宜的旅游胜地，尤以冬季风光最佳。隆冬时节，松花江上雾气蒸腾，玉树琼花，银雕玉砌，已成为吉林市旅游产品的王牌项目。,具体收费情况以现场公示为主,吉林市的冬季，平均气温零下十几度，气候寒冷。因此，应做好保暖措施。,1
蛟河红叶谷Hongye Valley,http://travel.qunar.com/p-oi707253-jiaohehongyegu,"

地址:
蛟河市庆岭解放村旁


电话:
0432-67160198,0432-81920112

",红叶谷是长白山余脉老爷岭的一条山谷。位于拉法山国家森林公园内，春夏秋冬四季如画。红叶谷从庆岭镇的解放村，一直到松江镇的沿江村，全长50多公里。每年的金秋季节，这里红叶满山，如同落霞，非常壮观。红叶谷除规模宏大以外，景色也和一般的红叶生长区不同。它具有其他地区不可比拟的特色。主要是颜色比较丰富。比如说在红叶形成的时间，同时还有绿色的叶子，黄色的叶子。所以当地老百姓习惯的把它叫做五花山。红叶谷其实是一条通往爱林林场的土石路，两侧山岭间呈现出一派宁静的乡村景象——零星分布的农舍，整齐的稻田，一条清澈的小溪蜿蜒流淌。当然，总少不了一片又一片高大的树木。,4/1-10/31 08:00-16:00;11/1-3/31 全天不开放,https://img1.qunarzz.com/travel/d7/1701/14/40277e15c2b40db5.jpg_480x360x95_de25a55e.jpg,4.1,建议游览时间：2小时,"9月末——10月中旬 
",具体收费情况以现场公示为主,10月天已转凉，应带好保暖衣服,1
龙潭山Longtan Mountain,http://travel.qunar.com/p-oi717200-longtanshan,,,,,,,,,,1
乌拉街满族镇Wulajiezhen Town,http://travel.qunar.com/p-oi7526860-wulajiemanzuzhen,"

地址:
吉林市龙潭区松花江东岸,距吉林市区大约30公里


电话:
0432-66666666

",乌拉街满族镇位于松花江东岸，距吉林市区大约30公里，是一处以满族民俗为主的景点。吉林市有34个满族乡镇，满族人口占全市总人口的百分之四，以乌拉街较为集中。在乌拉街满族镇上还留有不少历史悠久的古迹，如乌拉总管衙门、侯府、魁府、古城墙等。在乌拉街满族镇，许多建筑都带有满族特色，生活习俗也带有浓郁的民族色彩。在这里可以品尝地道的满族风味饮食，若时机凑巧的话，还可以亲眼目睹独特的满族婚俗和萨满教仪式。,全年 全天开放,https://img1.qunarzz.com/travel/d2/1501/d6/2bea6ddbad7cf8.jpg_480x360x95_1f1ae4d8.jpg,4.1,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
舒兰亮甲山旅游风景区,http://travel.qunar.com/p-oi722640-shulanliangjiashanlu:,"

地址:
吉林省舒兰市亮甲山乡、庆丰乡、莲花乡交界处，距舒兰市22公里

",亮甲山生态旅游风景区暨舒兰市青少年教育活动基地是集森林公园、生态观光旅游、娱乐、度假、爱国主义教育为一体的大型生态旅游风景区，位于舒兰市庆丰乡西部，舒九公路北侧，距离舒兰市22公里，距离吉林省省会长春市150公里，距离吉林省第二大城市吉林市70公里，是远郊；距离黑龙江省省会哈尔滨市160公里，是近邻，交通便利，地理位置十分优越，系二省共邻的旅游宝地。亮甲山人文景观十分丰富：相传北宋名将岳飞将军北伐追击金兵于此，经历一场苦战后大获全胜！趁兵马休整之际...亮甲山生态旅游风景区暨舒兰市青少年教育活动基地是集森林公园、生态观光旅游、娱乐、度假、爱国主义教育为一体的大型生态旅游风景区，位于舒兰市庆丰乡西部，舒九公路北侧，距离舒兰市22公里，距离吉林省省会长春市150公里，距离吉林省第二大城市吉林市70公里，是远郊；距离黑龙江省省会哈尔滨市160公里，是近邻，交通便利，地理位置十分优越，系二省共邻的旅游宝地。亮甲山人文景观十分丰富：相传北宋名将岳飞将军北伐追击金兵于此，经历一场苦战后大获全胜！趁兵马休整之际，岳王登至山顶，举目眺望，报国之心，大胜之悦，岳王被山骊的美丽景色而倾倒，命兵马扎营驻寨，将自已浸湿的盔甲晾于山顶，自已则立于山颠久久不肯离去。亮甲山位于舒兰市西南，山势雄奇险峻，毗邻的亮甲山水库是省内大型水库之一，现已列为国家水利风景区，山水相依，风景格外秀丽迷人。亮甲山处于古大金国区域。此山的得名让这里具有了一分传奇的色彩。相传南宋年间，岳飞北征金兀术，夜渡松花江，全军将士不顾江水寒冷奋力搏杀，金兵闻风丧胆。岳飞率兵追至今亮甲山附近，下令暂时休息，并在此晾晒衣甲。亮甲山因此得名。,8:00-18:00,,5.0,,,20元/人,,1
