名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
吐鲁番博物馆Turpan Museum,http://travel.qunar.com/p-oi717578-tulufanbowuguan,"

地址:
吐鲁番市高昌区木纳尔路1268号


电话:
0995-7619650,0995-7619644

",吐鲁番博物馆是新疆第二大博物馆，收藏着吐鲁番地区出土的上至旧石器时代下至近现代的5000多件文物精品，是了解吐鲁番历代社会、政治、军事、经济、文化生活的一部微缩的百科全书。博物馆设计风格独特，厚朴凝重，突出了西域地方民族特色和历史沧桑感。整个展厅分为出土文物陈列厅、古尸陈列厅和巨犀化石厅三部分。其中吐鲁番地区出土古尸陈列厅是具神秘性和吸引力的展厅。这里展出的11具干尸，从春秋战国时期至清代时期的古尸，主要出自阿斯塔那—哈拉和卓墓葬群和苏巴什古墓群、洋海...吐鲁番博物馆是新疆第二大博物馆，收藏着吐鲁番地区出土的上至旧石器时代下至近现代的5000多件文物精品，是了解吐鲁番历代社会、政治、军事、经济、文化生活的一部微缩的百科全书。博物馆设计风格独特，厚朴凝重，突出了西域地方民族特色和历史沧桑感。整个展厅分为出土文物陈列厅、古尸陈列厅和巨犀化石厅三部分。其中吐鲁番地区出土古尸陈列厅是具神秘性和吸引力的展厅。这里展出的11具干尸，从春秋战国时期至清代时期的古尸，主要出自阿斯塔那—哈拉和卓墓葬群和苏巴什古墓群、洋海古墓群等。巨犀化石陈列厅内的巨犀化石是吐鲁番博物馆的镇馆之宝。据考证，这是目前世界上出土完整的一具巨犀骨架化石。出土文物陈列厅分石器时代和姑师（车师）时期，高昌郡、高昌王国、唐代西州、回鹘高昌等5个文化单元，集中反映吐鲁番地区的社会历史发展过程和文明成果。,全年 10:00-19:00,https://img1.qunarzz.com/piao/fusion/1701/62/caf3ece5efec702.jpg_480x360x95_fccdcdab.jpg,4.6,建议游览时间：2小时 - 3小时,,"{'吐鲁番博物馆(含门票)人工讲解服务大小同价\n\n': ['¥108起'], '吐鲁番博物馆(含门票)人工讲解服务团队票\n\n': ['¥458起']}",,2
维吾尔古村,http://travel.qunar.com/p-oi721151-weiwuergucun,"

地址:
吐鲁番市亚尔乡亚尔果勒村

",美丽的吐鲁番维吾尔古村景区位于吐鲁番市亚尔乡亚尔果勒村，交河故城脚下，占地二万余平方米。 她有数百年的历史，内部设有多功能生态广场，维吾尔民俗陈列馆和传统民居，她们交相辉映， 全方位立体地展示了维吾尔人的历史变迁、生产劳动、民居建筑、风土人情、宗教信仰等风貌，其中不少是正在消失和已经消失的后生态文化展示，让人身临其境地感受原汁原味的维吾尔民俗风情！,全天,https://img1.qunarzz.com/travel/d6/1806/53/e614449dc5f7c0b5.jpg_480x360x95_980ff802.jpg,3.6,建议游览时间：2小时 - 3小时,,35元,,2
高昌故城Ancient City of Gaochang,http://travel.qunar.com/p-oi717445-gaochanggucheng,"

地址:
吐鲁番市火焰山南麓木头沟河三角洲三堡乡


电话:
0995-8687885,0995-8687666

",,旺季（4月21日-10月20日）8:00-21:00，淡季（10月21日-次年4月20日） 10:00-18:30。,https://img1.qunarzz.com/travel/poi/201408/07/c62c982090820150c8d65eac.jpg_480x360x95_62a3b80c.jpg,4.3,建议游览时间：3小时,四季皆宜。,"{'高昌故城门票成人票\n\n': ['¥66.5起'], '高昌故城门票学生票\n\n': ['¥35起'], '高昌故城门票（含区间车）票成人票\n\n': ['¥95起']}",,2
柏孜克里克千佛洞Bezeklik Thousand Buddha Caves,http://travel.qunar.com/p-oi706893-bozikelikeqianfodong,"

地址:
吐鲁番地区吐鲁番市东45公里火焰山下


电话:
0995-8687885,0995-8687666

",柏孜克里克千佛洞始凿于南北朝后期，历经唐、五代、宋、元朝，始终是西域地区的佛教中心之一。原共有洞窟83个，现存的57个中，有壁画的为40个，其中第20号窟壁画绘制有回鹘高昌王和王后的图象。第33窟后壁有一幅表现佛涅磐后众弟子默立举哀的致意图，而第38窟是反映古代摩尼教生活情景的洞窟。第82、83号窟，是公元10-11世纪高昌回鹘王国强大时期，专为佛寺高僧修建的小型纪念窟。回鹘高昌是该石窟群繁华的时期。公元13世纪末，高昌王室东迁甘肃永昌，加之伊斯兰教传入吐鲁番后，佛教...柏孜克里克千佛洞始凿于南北朝后期，历经唐、五代、宋、元朝，始终是西域地区的佛教中心之一。原共有洞窟83个，现存的57个中，有壁画的为40个，其中第20号窟壁画绘制有回鹘高昌王和王后的图象。第33窟后壁有一幅表现佛涅磐后众弟子默立举哀的致意图，而第38窟是反映古代摩尼教生活情景的洞窟。第82、83号窟，是公元10-11世纪高昌回鹘王国强大时期，专为佛寺高僧修建的小型纪念窟。回鹘高昌是该石窟群繁华的时期。公元13世纪末，高昌王室东迁甘肃永昌，加之伊斯兰教传入吐鲁番后，佛教渐衰，柏孜克里克千佛洞随之衰落，在异教冲突中遭到毁坏，壁画人物的眼睛全部被挖掉。本世纪初又屡遭洋人盗劫破坏，雪上加霜，面目全非。尽管如此，劫余的佛座华丽精致，残余的壁画内容丰富，多采多姿，仍不失为一座规模宏大的文化艺术宝库。如果你想欣赏这座石窟的壁画精华，恐怕只能去德国柏林印度艺术博物馆了。为纪念唐僧师徒取经经过这里，景区不远处建有师徒四人的雕塑，造型来源于1986年版电视剧《西游记》，雕塑背后就是火焰山了。,旺季（4月21日-10月20日）8:00-20:00，淡季（10月21日-次年4月20日）10:00-18:30。,https://img1.qunarzz.com/travel/poi/201408/07/67c3015a8762d001c8d65eac.jpg_480x360x95_400fce4e.jpg,4.2,建议游览时间：2小时 - 3小时,六月至九月是来这里游玩的最佳季节。,"{'柏孜克里克千佛洞门票成人票\n\n': ['¥38起'], '柏孜克里克千佛洞门票学生票\n\n': ['¥20起'], '柏孜克里克千佛洞门票老人票\n\n': ['¥20起']}",1、由于千佛洞地处悬崖山腰，在参观中请不要到未开放地区参观，以免发生危险；2、在千佛洞洞窟内是不允许拍照和摄像的，请在游览时注意，否则会面临曝光和罚款的处罚；3、请不要触摸壁画、在洞窟内吸烟等；4、其他参观事项，请您在游览时注意景点的具体参观说明；5、参观完千佛洞后，您可在附近游览以下景点：阿斯塔那古墓群，距千佛洞12公里；高昌故城，距千佛洞15公里；火焰山，距千佛洞13公里。,2
库木塔格沙漠Kumtag Desert,http://travel.qunar.com/p-oi7644115-kumutageshamo,"

地址:
吐鲁番市鄯善县公园路999号


电话:
0995-8389389

",库木塔格沙漠位于新疆吐鲁番盘地的东缘，距离吐鲁番市区90公里。库木塔格是一座流动型沙漠，有众多的沙窝、沙山等，景色多样壮观，维吾尔语“库木塔格”也是“沙山”的意思。对于一般游客而言，游玩库木塔格沙漠即是指吐鲁番鄯善县县城南侧的沙山公园（库木塔格沙漠公园），这里是接近沙漠，在沙漠中游玩较为方便。公园内有滑沙、沙漠越野车等众多的娱乐项目，都可以付费体验，在这里游玩3-4小时为宜。不过需要注意的是，要准备好防晒防尘装备，并带足饮用水。另外，库木塔格沙漠内也有两条徒步路线。一条是从沙漠公园处到栏杆乡，大约10公里路程，可以一天走完。另一条是从沙漠公园处穿越到沙漠西南侧的迪坎尔村，这条路线全程四十多公里，也被称为南北大穿越，由于沙路难走，大约需要3天时间走完，且强度较大。需要注意的是，在沙漠内徒步风险较大，不适合没有户外经验的普通游客，更不适合独自出行。建议户外爱好者跟随专业团队一起行动，并备足沙漠穿越的装备。,景区维护暂停营业，具体开放时间另行公告,https://img1.qunarzz.com/travel/d9/1504/10/7afb21eaf53235.jpg_480x360x95_0fe41b28.jpg,4.6,建议游览时间：3小时 - 4小时,每年的春季和秋季是合适的徒步季节。夏季库姆塔格沙漠中温度会在40。C以上。冬季沙漠的夜晚很冷，也不适合徒步。,"{'库木塔格沙漠门票成人票\n\n': ['¥30起'], '库木塔格沙漠门票老人票\n\n': ['¥15起'], '库木塔格沙漠景区门票学生票\n\n': ['¥15起']}",必备装备：徒步库姆塔格，需要标准的徒步露营装备，包括帐篷、睡袋、防潮垫、徒步鞋、炉头、套锅、GPS、指南针、对讲机、徒步衣服等；此外，还有一些特殊的装备，这些装备在一般的徒步活动中可以没有，但沙漠徒步是必须的。防雪套：用来防止沙子进人鞋里；徒步手杖：沙漠很松软，手杖是必不可少的，最好带两根；塑料袋：用来保护各种装备和衣物不至于粘土大量的沙子：摄影器材尤其要保护好！GPS和指南针，用来辨别方向：沙漠中昼夜温差大，夜间使用的睡袋必须足够保暖。沙漠中几乎没有任何植物和动物，也没有人居住，更没有水源，所以全程必须携带足够的食物和饮水，每人大约8-10瓶水。偶尔会碰到人类活动留下的痕迹，例如纸箱子、玻璃瓶等。,2
阿斯塔那古墓群Astana Ancient Tombs,http://travel.qunar.com/p-oi716665-asitaneigumuqun,"

地址:
吐鲁番市三堡乡向北2.5公里


电话:
0995-8687666,0995-8687885

",阿斯塔那墓形制为斜坡墓道洞室墓。古墓平面形状如“甲”字。墓室前方，是一条10多米的长的斜坡墓道，墓道尽头连着墓室，是死者安息的地方。墓室一般高为2米以上，4米见方大小，平顶或穹窿形顶。死者多安放在洞室后部的土炕或简易木床上，他们头枕鸡鸣枕，面部掩巾，眼上盖瞑目，双手握木，身着棉麻或绢锦织品制作的衣服。死者四周，或陈放模拟的亭台楼阁、车马仪仗、琴棋笔墨，或陈放葡萄、瓜果、饺子、面饼等食品，供死者阴间驱使或享用。有的墓室后壁，绘有人物、鸟禽、花卉、山水壁画，形象逼真，线条流畅。古墓中出土有文书、墓志、绘画、泥俑、陶、木、金、石等器物以及古代钱币和丝、棉毛织物等珍贵文物上万件。这里出土的木乃伊（即干尸），足可与埃及木乃伊相媲美。阿斯塔那古墓以葬汉人为主，同时葬有车师、突厥、匈奴、高车以及昭武九姓等少数民族居民，这说明当时高昌王国的主体民族是汉族，各民族之间是平等的。,淡季：10:00-18:30；旺季：8:00-21:00,https://img1.qunarzz.com/p/tts4/1805/18/b497d53f669b8b02.jpg_480x360x95_76167287.jpg,4.2,建议游览时间：2小时 - 3小时,,"{'阿斯塔那古墓群门票成人票\n\n': ['¥38起'], '阿斯塔那古墓群门票学生票\n\n': ['¥20起'], '高昌故城门票+阿斯塔那古墓+柏孜克里克千佛洞门票成人票\n\n': ['¥104.5起']}",,2
车师古道,http://travel.qunar.com/p-oi707233-cheshigudao,"

地址:
新疆吉木萨尔县泉子街乡大龙口南越

",,全天,https://img1.qunarzz.com/travel/poi/201211/15/201d21e93a9fe049ddb12cfb.jpg_480x360x95_2bc681ef.jpg,--,建议游览时间：2小时,,60元,,2
沙疗所,http://travel.qunar.com/p-oi707207-shaliaosuo,"

地址:
吐鲁番市胜亚乡，东距吐鲁番市约9公里。

",,全天,https://img1.qunarzz.com/travel/poi/201408/07/44960d6b74bafb33c8d65eac.jpg_480x360x95_0fe9776a.jpg,--,建议游览时间：2小时,六月至九月。,40元,,2
沙山公园Sha Mountain Park,http://travel.qunar.com/p-oi708187-shashangongyuan,"

地址:
吐鲁番市鄯善县公园路999号


电话:
0995-8389389

",沙山公园是世界上少有的可与城市近距离接触的沙漠，也是与天池、博斯腾湖并列的风景名胜区。面积2500平方公里的库木塔格沙漠位于新疆鄯善老城南端，站在城中就能看见金色大漠雄浑壮观的无限风光。驱车而行，10多分钟便可到达景区。面对茫茫沙漠，只见沙黄天蓝、云淡风清，令来自城市中的游客们视野为之开阔，心情也顿时舒畅起来。走进库木塔格，来到旅游者和探险家的乐园！看库木塔格沙漠，拍壮阔的沙海景观。到大沙漠深处去探险，还有新鲜的沙漠冲浪在等你玩！驾乘沙漠探险车驰骋沙海，在沙谷滑行和穿梭往来。随风走进库木塔格，让您在感受惊险的同时尽情饱览大漠风光。从沙坡滑下，与沙共舞，倾听响沙的天籁之音。在驼背上给感受沙漠金色波涛来的视觉冲击和心灵震撼。,全年 10:00-19:00,https://img1.qunarzz.com/travel/poi/201408/08/ccc372bbd69d4a15c8d65eac.jpg_480x360x95_8a7cb5d6.jpg,4.8,建议游览时间：2小时 - 3小时,六月至九月。,区间车65元,,2
胜金口千佛洞,http://travel.qunar.com/p-oi714929-shengjinkouqianfodong,"

地址:
吐鲁番市胜金

",胜金口千佛洞位于吐鲁番市以东40公里的胜金口。千佛洞属高昌故城系列的佛教建筑之一，始于唐代，建筑规模庞大，到20世纪初时，仍有12座寺院。经斯坦因等劫掠后，损坏严重。现残存洞窟10个，发现有回鹘文壁画及回鹘文题记，山下附属建筑中还出土有婆罗迷文、回鹘文、梵文佛经及佛像。因发现有罕见的摩尼教壁画而具有异常价值。,9：00—18：00,,--,,,20元,,2
