名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
碛口古镇Qikou Ancient Town,http://travel.qunar.com/p-oi710286-qikouguzhen,"

地址:
吕梁市临县碛口国家级风景名胜区内


电话:
0358-4467001

",碛口古镇，位于山西省临县城南50公里处，依吕梁山襟黄河水，是中国历史文化名镇，镇内的西湾村是中国历史文化名村。碛（音qi）口位于黄河晋陕峡谷中部，临县城南48公里处，南临孟门古镇，因黄河大同碛而得名。黄河由北而来，湫水从东而至，卧虎山横亘镇北，黑龙庙雄峙河东，山环水抱，阴阳交会，山的气势，河的雄浑，凝成了“虎啸黄河，龙吟碛口”的壮丽图景。,全年 全天开放,https://img1.qunarzz.com/travel/d0/1710/5f/f31c801f6c8077b5.jpg_480x360x95_af033a11.jpg,4.4,建议游览时间：3天,,{'碛口古镇手机智能讲解门票大小同价\n\n': ['¥10起']},,1
庞泉沟Pangquan Groove,http://travel.qunar.com/p-oi702750-pangquangou,"

地址:
吕梁市交城县庞泉沟镇方山县城以北30公里处


电话:
0358-3084508

",庞泉沟，位于交城县境内，县城西北方约80公里处，是以保护国家一类野生动物褐马鸡为主的森林自然保护区，现有国家一类野生保护动物褐马鸡两千多只。区内山高林密，沟谷交错，有“孝文古碑”、“云顶日出”、“雄师夕照”、“天门瑞气”、“笔架生辉”、“文源晚翠”、“龙泉瀑布”、“古树宝塔”等景观。区内海拔2000米以上的山峰10座，上有北魏孝文帝古碑的吕梁山脉主峰孝文山，就耸立在保护区北沿。庞泉沟还是华北落叶松的原生地，也是以华北落叶松、油松为主的针阔叶混交林带。除落叶外，还有白榆、白桦、白杨等树种。,全年 8:00-16:30,https://img1.qunarzz.com/travel/d1/1506/68/87278b75a810f5.jpg_480x360x95_1e8dc386.jpg,4.5,建议游览时间：3小时,,具体收费情况以现场公示为主,,1
刘胡兰纪念馆Liu Hulan Memorial Hall,http://travel.qunar.com/p-oi709578-liuhulanjinianguan,"

地址:
吕梁市文水县刘胡兰村村南


电话:
0358-3081102

",刘胡兰纪念馆坐落在山西省文水县刘胡兰村南，东濒汾河，西接太汾公路。纪念馆始建于1956年，1957年刘胡兰烈士就义10周年时落成并对外开放，成为向全国青少年进行革命传统教育的好课堂。纪念馆以纪念碑和陵墓为中轴对称分布。走进大门，首先映入眼帘的是宽敞的广场，花坛中央耸立着高大的汉白玉纪念碑，镌刻着《中共中央晋绥分局关于追认刘胡兰同志为中国正式党员的决定》。碑后是近3000平方米的槽形建筑，周围的火炬象征着中华儿女“发扬胡兰精神，献身四化大业”的信心和决心。纪念馆大厅内陈列着烈士的74件遗物和反映刘胡兰生平事迹的绘画、雕塑、照片文献资料等。石雕花圈为烈士就义处。,全年 周二-周日 09:00-17:00;全年 周一 全天不开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/b76e53cd85a214447cb694dfa450186e.jpg_480x360x95_02d89653.jpg,4.4,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
北武当山North Wudang Mountain,http://travel.qunar.com/p-oi711069-beiwudangshan,"

地址:
吕梁市方山县北武当镇武当线


电话:
0358-6071199

",北武当山古称龙王山，集雄奇险秀于一身，是我国的道教圣地，景区植被繁茂，森林覆盖率达70%以上。北武当山兼有泰山之雄、黄山之奇、华山之险以及峨嵋之秀和青城山之幽。主峰四周几乎都是悬崖峭壁，只有一条人造天梯可攀登，天梯约有1450多阶，险峻之处有栏杆铁索，游客每蹬一步都可听到悠扬顿挫的“石音”。山间奇石林立，万斤“龟石”峭立崖畔，用力一推或经风一吹，便摇摇欲坠，令人心惊胆战，所以又称风动石，为我国罕见的景观之一。许多专家以为，北武当山上的“龟蛇石”应该堪称为我国近千处名山自然肖形石中的一流珍品。登北武当山不容易，但下北武当山更难，有游客叹道华山泰山都难不倒他，应该不会栽在这儿吧北武当山道观现有道人十多个，观内存有泥塑、壁画、石碑等文物，具有珍贵的历史研究价值。峰顶建有真武庙，据古碑记载，创建于唐时，重修于明季。每逢农历三月初一至初三，是古庙会期，届时香烟缭绕，游人云集。,6:00-18:00,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1562526644046100e16000000yzj516407_D_640_10000.jpg_480x360x95_06664144.jpg,4.4,建议游览时间：3小时 - 5小时,,"{'北武当山真武山地图定位自动中文讲解不含景区门票成人票\n\n': ['¥0.5起'], '北武当山电子讲解服务大小同价\n\n': ['¥1.4起']}",,1
汾酒工业园林,http://travel.qunar.com/p-oi706241-fenjiugongyeyuanlin,,山西杏花村汾酒集团是我国最大的名白酒生产基地之一，他们生产的中国驰名商品“杏花村”汾酒、竹叶青远销50多个国家和地区，年销售收入近10个亿，年出口创汇2000万美元。进入新世纪，面对WTO带来的机遇和挑战，杏花村汾酒集团公司在把握中国白酒业市场和发展趋势的基础上，审时度势，科学论证，制定出了弘扬中国酒文化应该广泛利用我国旅游观光资源的优势。发展酒文化旅游，建设酒文化旅游基地，他们在原杏花园、酒史博物馆、厂史展览馆、档案馆、酒都碑廊、竹叶青公园、大型牌坊的基...山西杏花村汾酒集团是我国最大的名白酒生产基地之一，他们生产的中国驰名商品“杏花村”汾酒、竹叶青远销50多个国家和地区，年销售收入近10个亿，年出口创汇2000万美元。进入新世纪，面对WTO带来的机遇和挑战，杏花村汾酒集团公司在把握中国白酒业市场和发展趋势的基础上，审时度势，科学论证，制定出了弘扬中国酒文化应该广泛利用我国旅游观光资源的优势。发展酒文化旅游，建设酒文化旅游基地，他们在原杏花园、酒史博物馆、厂史展览馆、档案馆、酒都碑廊、竹叶青公园、大型牌坊的基础上，建立汾酒文化广场、生态工业园、休闲园林、多功能文体娱乐中心、图书馆、仿古酿酒生产旅游线等景点，实现吃、住、行、游、购、娱一条龙服务，成为三晋旅游业中的一颗璀璨明珠。,,https://img1.qunarzz.com/travel/d2/1611/85/07eb0d916298b8b5.jpg_480x360x95_d37fd855.jpg,4.2,,,50元,,1
关帝山,http://travel.qunar.com/p-oi702475-guandishan,,在山西省吕梁山中段地跨交城、方山两县之间，有一个蕴藏着丰富动植物资源的天然宝库，这就是距太原市150公里的关帝山（又称宫帝山、南阳山、三层崖）国家森林公园。该公园设在庞泉沟国家级自然保护区内，1992年9月经林业部批准建立，面积78万亩。,,,--,,,,,1
安国寺An'guo Temple,http://travel.qunar.com/p-oi712211-anguosi,"

地址:
吕梁市离石区王家塔安国寺支线


电话:
0358-8231149

",安国寺，位于离石市西10公里的乌崖山麓的一个石洼之中。原名安吉寺，据碑记创建于唐贞观十一年（637）。寺主院分上下两层，偏院分内外两进，共四处院落。主要建筑有大雄宝殿、铜塔楼、钟鼓楼、万佛阁、关帝阁、观音楼、十王殿、洞宾楼，又有于清端公祠、于莱公祠、于成龙读书楼，还有莱公别墅、石牌坊、砖塔等，是省级重点文物保护单位。大雄宝殿为元代建筑，多处留有唐代遗风。面阔五间，进深三间，单檐悬山式木结构建筑。殿内供奉着三尊高大精美的三身佛，高达4.8米。殿左右有60平方米的明代佛传壁画，采用传统的工笔重彩画法。铜塔楼为重檐歇山顶，二层木构建筑，上下层四周有围栏设木梯可攀登上楼，下又有暗室三间。钟鼓楼为单檐歇山式建筑。砖塔为宋式须弥座密檐塔，平面呈八角形，共八层，束腰部分有砖雕图案，塔身全部采用磨砖对缝仿木构筑。偏院又称清静处，有于清端公祠，楼上是关帝阁。后院古刹禅院，环境幽雅，建有于成龙读书楼，还建有洞宾楼、万佛阁等。寺后百米石崖下是莱公别墅，是于成龙之孙于准在雍正丙午年（1725），就半山石壁天然形成的庞大石崖下修筑而成。绝壁半腰有20平方米人工凿成的石室，石壁上有“龙”、“虎”、“山林”、“野趣”等石刻大字及道光年间永宁州知州王继贤亲笔书写的山寺石室文。石室内有三十二景可供游人观赏，若逢夏季，气候清爽，实乃避暑胜地。,全年 8:30-18:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/e0b49b36ff3f8b0d63ba4bf802506097.jpg_480x360x95_74b7ae8f.jpg,4.5,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
白马仙洞Baima Fairy Hole,http://travel.qunar.com/p-oi716524-baimaxiandong,"

地址:
吕梁市离石区吴城镇洞沟村


电话:
0358-2299777

",白马仙洞位于离石市王营庄乡，风景秀丽、环境优美。该洞属柳林泉域，地质绝对年龄约1.4亿年。现已探明洞中有八洞，具有深而险、险而奇的特点，洞中险境遍布，宽处可跑马阅兵、窄处难容一人，布袋岭高低不平，三仙洞如入仙境，骆驼石如猛虎挡道，珍珠山琳琅满目，凤凰山白云缭绕，朽木桥古树老根，通天柱巧夺天工，悬空石心惊肉跳，水帘洞由高泻下，三仙池清静悠闲，翻身涧脱胎换骨，屿心石横卧道中，石钟击之有声，仙骨洞心有余悸，青龙头腾云驾雾，葫芦洞鬼斧神工，棋盘山赏心悦目，跑马滩宽阔奇险，一线天如峭壁中羊肠小道，蜗牛顶维妙维肖，变形石看啥像啥，洞内灰华及钏乳遍地，各种天然形成造形不一，栩栩如生、琳琅满目，使人如置身仙境。,8:00-18:00，具体营业时间请以景区公示为准。,https://img1.qunarzz.com/piao/fusion/1808/72/456a3fa0d7a19c02.jpg_480x360x95_3782b19d.jpg,3.4,建议游览时间：1小时,,50元,,1
苍儿会生态旅游区,http://travel.qunar.com/p-oi709156-cangerhuishengtailu:you,,山西·吕梁山·苍儿会生态旅游经济区为国家级森林公园，总面积360平方公里，地处女皇武则天故里山西省吕梁市文水县。距山西省省会太原仅80公里，全程1小时。经济园区有着丰富的森林植被资源和独特的自然景观，还有历史悠久的人文景观，这里森林葱郁，溪水潺潺，鸟语花香，空气清新。空气达到国家空气质量等级一级水平，水质达到矿泉水标准，绿色植被覆盖率达到92%，森林植被覆盖率达到83%。野生动物70余种，野生药材100余种，野生食用菜20余种，以羊肚菌、野生木耳为代表的绿色食品20余...山西·吕梁山·苍儿会生态旅游经济区为国家级森林公园，总面积360平方公里，地处女皇武则天故里山西省吕梁市文水县。距山西省省会太原仅80公里，全程1小时。经济园区有着丰富的森林植被资源和独特的自然景观，还有历史悠久的人文景观，这里森林葱郁，溪水潺潺，鸟语花香，空气清新。空气达到国家空气质量等级一级水平，水质达到矿泉水标准，绿色植被覆盖率达到92%，森林植被覆盖率达到83%。野生动物70余种，野生药材100余种，野生食用菜20余种，以羊肚菌、野生木耳为代表的绿色食品20余种，野生沙棘、杏、桃、核桃、葡萄等30余种树木满山遍野，四季飘香，因上述诸多植物种类而享有“北方植物园”之美誉。特别是具有一处始建于东汉永平10年的佛寺—东岩寺，是佛教传入中国最早的寺庙之一，比洛阳白马寺还早1年，被誉为“民间第一寺”，具有很高的艺术价值与旅游价值。,,,5.0,,,,,1
山西黄河第一湾,http://travel.qunar.com/p-oi703344-shanxihuanghediyiwan,,“天下黄河第一湾”位于山西省石楼县辛关镇，最佳观景点为马家畔。晋西高原，峰峦如涛，绵延不绝。黄河巨浪，呼啸而过，逝者如斯，亘古不息。黄河自唐古拉山始，流经四川、甘肃、宁夏，一路向东，经晋蒙交界的老牛湾垂直向南，在晋陕大峡谷中下部，出现一个大转弯，也就是“天下黄河第一湾”。黄河在晋陕峡谷段，总体流向由北向南，在此处陡然向东，转出一道奇特的大湾，俯视该湾，西窄东宽、尾部圆满、南北相称，恰似葫芦状。此湾全长八公里，入湾处与出湾处相距七百米，登高远眺，...“天下黄河第一湾”位于山西省石楼县辛关镇，最佳观景点为马家畔。晋西高原，峰峦如涛，绵延不绝。黄河巨浪，呼啸而过，逝者如斯，亘古不息。黄河自唐古拉山始，流经四川、甘肃、宁夏，一路向东，经晋蒙交界的老牛湾垂直向南，在晋陕大峡谷中下部，出现一个大转弯，也就是“天下黄河第一湾”。黄河在晋陕峡谷段，总体流向由北向南，在此处陡然向东，转出一道奇特的大湾，俯视该湾，西窄东宽、尾部圆满、南北相称，恰似葫芦状。此湾全长八公里，入湾处与出湾处相距七百米，登高远眺，大湾直欲首尾相连，不知究竟。大湾东岸，壁立千仞，形式险峻。大湾之内，山体如神龟，浮游于浊水之上。,,https://img1.qunarzz.com/travel/d8/1710/66/9c6b7bf967bdbcb5.jpg_480x360x95_48d1cac2.jpg,4.7,,,,,1
