名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
青铜峡黄河大峡谷Qingtongxia Yellow River Canyon,http://travel.qunar.com/p-oi7628125-qingtongxiahuanghedaxia,"

地址:
吴忠市青铜峡市青铜峡镇（距银川市区65公里）


电话:
400-996-0953


官网:
http://www.qtxhhdxg.com/

",青铜峡黄河大峡谷旅游区位于宁夏吴忠青铜峡市青铜峡镇，距吴忠市区20公里，为石灰岩和砂页岩构成的黄河峡谷类风景区，是国家AAAA级景区。“天下黄河富宁夏，塞上明珠青铜峡”。青铜峡黄河大峡谷旅游区位于宁夏回族自治区青铜峡市，景区面积126平方公里，国家4A级旅游景区、世界灌溉工程遗产核心区，全国重点文物保护单位、全国科普教育基地，地处贺兰山下，黄河岸边，是宁夏黄河金岸旅游带的核心区，旅游区资源富集，历史文化源远流长，自然景观更是秀美奇绝。“十里长峡·黄河之魂”，青铜峡黄河大峡谷是黄河上游最后一道峡谷，贺兰峻岭与牛首奇峰，构成了山的画卷，高峡平湖与深谷湍流，汇成了水的交响。雄伟壮观的拦河大坝、古老神秘的一百零八塔、汉风古韵的大禹文化园、风光旖旎的十里长峡等众多景点分布两岸，使这里成为黄河文化精品景观最靓丽的风景线。为了打造黄河流域生态保护和高质量发展先行区，旅游区特推出了十里长峡观光游，皮筏漂流体验游、健身徒步康养游、引黄灌溉研学游、千年古塔探秘游、大禹精神寻访游、拦河大坝水工游等特色体验项目，全方位展现了黄河文明的博大精深，在国内乃至国际上具有较高的知名度和美誉度，吸引了来自五湖四海的朋友徜徉其中，流连忘返。青铜峡黄河大峡谷，一个天造地设的人间胜景，一个交织着自然雄浑和人文底蕴的地方。让我们纵览黄河文化润养的山水、人文，在黄河流淌的峡谷里静静感受青铜峡的水韵传奇。,全年 08:00-18:30,https://img1.qunarzz.com/travel/poi/1501/35/7cfe7dc4c33a09.jpg_480x360x95_7eae8918.jpg,4.1,建议游览时间：12小时 - 3天,,"{'青铜峡黄河大峡谷旅游区门票成人票\n\n': ['¥40起'], '青铜峡黄河大峡谷探秘古塔套票（A线）票成人票\n\n': ['¥95起'], '青铜峡黄河大峡谷探秘古塔套票（A线）票学生票\n\n': ['¥80起']}",,1
青铜峡旅游区,http://travel.qunar.com/p-oi722347-qingtongxialu:youqu,"

地址:
宁夏回族自治区吴忠青铜峡市青铜峡镇

",,8:00-18:00,https://img1.qunarzz.com/travel/d9/1607/9f/0af69fba3731e19a.jpg_480x360x95_c11814e4.jpg,4.8,,,进入景区免费，参观景点需另外购买门票。,,1
青铜峡108塔108 Tower s of Qingtongxia,http://travel.qunar.com/p-oi717655-qingtongxia108ta,"

地址:
青铜峡市青铜峡镇大坝下游西岸


电话:
400-996-0953

",青铜峡108塔，是大型喇嘛塔群之一，位于青铜峡水库的西岸，距离首府银川市约60公里。在塔群的台基下出土过西夏文题记的文物，据此判断塔群可能建于西夏时期（1038-1227年）。塔群依山而建，面对着滔滔的黄河水。整个塔群由108座喇嘛佛塔组成，自上而下按 1、3、5、7......19奇数错落排列成12层，每层塔前用砖砌护墙一道，地面用砖铺墁，构成一个等边三角形塔群，位于最高一层的佛塔体积最大，方形塔基，塔的东面有一个小佛龛。有意思的是，除了最高一层的佛塔外，其余各层的佛塔形状各有不同：2-4层是鼓腹尖锥状，5-6层的佛塔是葫芦状，7-12层的佛塔是宝瓶状。当你站在最高一层的佛塔旁，俯视四方，这里视野开阔，眼前有佛塔、黄河和峡谷，还有远方连绵不断的山脉。此时，或许会有豪迈之情油然而生。佛教认为人有108种烦恼，为了去掉人生众多的烦恼，要戴108颗贯珠，念108遍经。当地人相信只要拜了108塔，就可以消除人生的烦恼，获得吉祥和好运。如果有兴趣，你也可以沿着顺时针的方向绕塔几圈。如今，青铜峡市计划以黄河为核心进行新的旅游开发规划，包括108塔在内的黄河楼、青铜峡大坝、中华黄河坛等景点会被统一规划入新的旅游区。但旅游区内不少景点都是新建的人工景点。,9:00– 17:00,https://img1.qunarzz.com/travel/d9/1606/19/2b1b7726042feb9a.jpg_480x360x95_6d3383fa.jpg,4.4,建议游览时间：1小时 - 2小时,,30元,,1
牛首山寺庙群Mt. Niushou Temples,http://travel.qunar.com/p-oi712830-niushoushansimiaoqun,"

地址:
吴忠青铜峡市牛首山


电话:
0951-6723298

",牛首山的古寺庙群，初建于唐代以前，分“西寺”和“东寺”两部分。“可与四方九华、普陀、峨眉、五台名山胜地，同其高深，灵感利济群生于无穷也”，为朔方名刹，是宁夏境内建筑规模较大的古寺庙群。宁夏牛首山东寺庙群，庙宇分布在山崖和幽谷之中，从东向西，有保安寺、舍身崖、睡佛洞等19座庙宇；西寺庙群，枕山面河，依山势而建，以万佛阁、净土寺、观音殿等26座庙宇组成。每年农历三月十五庙会，大小庙宇，香烟缭绕，众僧云集，游人香客，熙熙攘攘，热闹非凡。这里山峦重迭，草木葱茏，云海茫茫，变幻无穷，古有“秀丽如芙蓉出水”的赞誉。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/28a9a79dea1c84744c791bc68e0c45d3.jpg_480x360x95_aef92554.jpg,3.9,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
同心清真大寺Tongxin Muslim Dasi,http://travel.qunar.com/p-oi710965-tongxinqingzhendasi,"

地址:
吴忠市同心县城以南豫海镇101省道

",该寺位于吴忠市同心县城城南，始建于明朝万历年间（1573-1619年），在清朝进行过修缮，历史悠久，规模较大。全寺分为内外两院，外院较为宽敞。当你进入寺庙大门时，可以看到一副《月藏松柏》的精美砖砌照壁，画面的线条简洁，画中的山水幽远，据说此画的灵感来源于王维的诗词。,全年 8:00-18:00,https://img1.qunarzz.com/travel/poi/1609/65/9f528a31af3e4737.jpg_480x360x95_f6fa5363.jpg,4.8,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
吴忠灵应山石窟寺Mt. Lingyingshan Grottoes Temple,http://travel.qunar.com/p-oi706202-wuzhonglingyingshanshi,,灵应山石窟寺距盐池县城37公里，是佛道合一的寺庙，因该寺甚灵，“凡有求必应”，故名灵应寺。灵应寺依山而凿，13孔石窟呈半圆形排列，各有庙号，窟内塑像，造型逼真，各具情态；壁画图案大方，色调和谐，绘制精美。传说系唐朝敬德将军修筑，现为县级文物保护单位。灵应山石窟寺不仅历史悠久，而且地势奇峻，既有博大精深的宗教文化，又有奇山之野韵，每逢庙会善男信女络绎不绝，香火不断，是盐池颇为有名的宗教文化旅游景点。,,https://img1.qunarzz.com/travel/poi/1803/75/2433e9c484176f37.jpg_480x360x95_407d48e4.jpg,3.6,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
吴忠康乐温泉水世界,http://travel.qunar.com/p-oi38940226-wuzhongkanglewenquanshui,,"公司位于青铜峡市陈元滩镇黄河公园核心区，是主要核心旅游产业之一，占地面积30000平方米.斥巨资打造吴忠的水上乐园。15000㎡造浪池让您体验大海冲浪的快乐,惊险刺激的高空彩虹螺旋滑梯,8000㎡的大型儿童水屋乐园、休闲沙滩浴场 、大型美食广场、一流的硬件和安全应急设施让您体验一把夏威夷的快乐，自然风景区内集旅游、度假、休闲、游乐、观赏为一体的规模化的综合性游乐园。水上乐园地貌独特、风景宜人，水上乐园山清水秀，花木争艳，文化氛围浓厚，成为游人的好去处",,,5.0,,,,,1
青秀园,http://travel.qunar.com/p-oi38337606-qingxiuyuan,,,,,--,,,具体收费情况以现场公示为主,,1
长城公园,http://travel.qunar.com/p-oi38035243-zhangchenggongyuan,,,,,0.0,,,具体收费情况以现场公示为主,,1
青铜古镇,http://travel.qunar.com/p-oi37386550-qingtongguzhen,"

地址:
吴忠市青铜峡市峡谷路与Z208交叉口东南200米


电话:
0953-3661000

",青铜古镇位于青铜峡黄河大峡谷景区对面，占地238亩，总建筑面积约3 万㎡，以“塞上驿站·青铜古镇”为定位，拥有古渠市集、徕·汤泉、阿宝的萌宠乐园、圈子艺术酒店四大商业组团，以“生态保护+主题提炼+活动空间”的模式，打造全域旅游示范区休闲度假旅游目的地。  ,全年 全天开放,,5.0,建议游览时间：12小时 - 3天,,,,1
