名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
平粮台Pingliangtai,http://travel.qunar.com/p-oi710083-pingliangtai,"

地址:
周口市淮阳县206省道

",平粮台是一座龙山文化古城，位于河南淮阳县城东南4公里处。场址高约5米，面积100亩，呈正方形。 平粮台古城址即是宛丘之地，距今已有4600多年的历史，是我国目前发掘出土进代较早的一座古城址。这里出土了大量的珍贵文物，包括原始人使用过的生产工具、生活用品、 装饰品，古城墟上有许多原始人住过的土房痕迹并残留有原始人烧制陶器 的窑址等。考古工作者对大量的出土文物结合历史文献进行分析考证，一致认定，平粮台古城址和太昊故墟宛丘是一个地方，至此，“陈为太昊之墟”、“炎帝神农初都陈”等历史文献的记载得到了初步的证实。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/cccbb9635cd2742c8be1d3df9aa219a4.jpg_480x360x95_2a5de530.jpg,4.9,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
伏曦太昊陵,http://travel.qunar.com/p-oi709927-fuxitaihaoling,"

地址:
河南周口市淮阳县


电话:
0394-2693610

",太昊伏羲是我国远古神话传说中的一个圣明帝王，他“为百王先”，居三皇之一，列五帝之首。他在人类社会从母系向父系，由野蛮向文明进化时期，以自已的聪明和智慧，立下了齐天功绩。后人因此称他为“始祖”、“斯文鼻祖”。“太昊”即是人们对伏羲的赞词，意为伏羲功德无量，向日月那样光明。为纪念祖先功德，春秋时这里已建伏羲陵墓。当年孔子周游列国来陈国，陈灵公曾陪同孔子观瞻陵墓；三国魏曹植曾<封思王于陈，拜谒伏羲祠后作《伏羲赞》。唐宋以来，太昊伏羲的陵墓不断扩建，包括...太昊伏羲是我国远古神话传说中的一个圣明帝王，他“为百王先”，居三皇之一，列五帝之首。他在人类社会从母系向父系，由野蛮向文明进化时期，以自已的聪明和智慧，立下了齐天功绩。后人因此称他为“始祖”、“斯文鼻祖”。“太昊”即是人们对伏羲的赞词，意为伏羲功德无量，向日月那样光明。为纪念祖先功德，春秋时这里已建伏羲陵墓。当年孔子周游列国来陈国，陈灵公曾陪同孔子观瞻陵墓；三国魏曹植曾<封思王于陈，拜谒伏羲祠后作《伏羲赞》。唐宋以来，太昊伏羲的陵墓不断扩建，包括陵地和祭祀的庙宇，占地广875亩。 今存陵园内建筑为明代建筑，结构与明代皇宫相仿。它分内外二城，内城叫紫禁城，外城叫皇城。城内古柏夹道、碑刻林立、晨钟墓鼓、声闻数里。统天殿又叫大殿、前殿，是整个陵园中最大建筑，殿高米，面积390平方米；殿内有高大的神龛，内塑伏羲坐像，左右配有神农、黄帝、少昊、颛项塑像。太昊伏羲的陵墓高20多米，周长150多米；上呈圆形、下有方座，象征“天圆地方”，陵前有宋代青石碑一座，宽3尺，高15尺，上镛“太昊伏羲氏之墓”个大字，据传此碑为苏小妹用巾作笔写成。,全天,https://img1.qunarzz.com/travel/d6/1703/e8/5d95cb428fd6f0b5.jpg_480x360x95_e0133e54.jpg,4.8,,,旺季60元 淡季20元,,1
老子故里旅游区Hometown of Laotze,http://travel.qunar.com/p-oi716123-laozigulilu:youqu,"

地址:
周口市鹿邑县太清宫镇


电话:
0394-7681989,0394-7201188

",老子故里旅游区，位于周口市鹿邑县境内，旅游区内包含鹿邑县境内的多个景点。其中县城以东的太清宫镇，据说是老子诞生地，通常这里也被认为是狭义的“老子故里”。几千年来一直有“老子故里”的争论，鹿邑县获得了当代很多机构的支持与认可；而在历史上，曾经有八位皇帝亲临鹿邑祭拜老子。老子（公元前600年左右-前470年左右），是中国重要的古代思想家、哲学家，是道家学派创始人，后来被道教尊为本教的创始人。如今的老子故里旅游区（广义上的旅游区），保存有古建筑太清宫和明道宫，以及鹿邑县境内的道德经注碑、金“续修太清宫碑记”碑等遗迹，向游客展示一个真实、丰满的老子故里形象，其中两座古建筑是游玩的重点。太清宫位于鹿邑县城以东约5公里的太清宫镇，明道宫位于鹿邑县城东北部，两大景点相距并不远，两个景点都是单独售票。太清宫是老子的诞生地，游客在这里会看到一个与寻常人一样的凡人老子，了解老子的一生。太清宫原名老子庙，自东汉桓帝延熹八年（公元165年），开始在此地建庙祀老子，先后有唐高宗、唐玄宗、武则天、宋真宗、宋徽宗等几位帝王亲自来此祭祀老子，对这里大兴土木。唐天宝二年（公元743年）改名太清宫。明道宫始建于唐天宝二年（公元743年），是老子讲授道学之所。景区内的老君台（又名升仙台），相传老子修道成仙的地方；景区内的迎禧殿是宋真宗朝拜老子驻跸（皇帝小住几天）的地方；近年来景区内有重修了众多仿古建筑。此外，每年的农历二月十五期间，在老子旅游区内还会举办“国际老子文化旅游节”，旅游节期间，会有旅游推介等活动，还会邀请一些明星前来表演等。,全年 08:00-18:00,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/fusion/202010/4311100110fcb16b9679ac644acf7cd9.jpg_480x360x95_02fff46c.jpg,4.5,建议游览时间：2小时 - 4小时,,"{'太清宫门票成人票\n\n': ['¥10起'], '明道宫门票成人票\n\n': ['¥10起'], '老子故里电子导览票大小同价\n\n': ['¥9起']}",,1
老君台Laojuntai,http://travel.qunar.com/p-oi714751-laojuntai,,,,,,,,,,1
五谷台村Terrace of Five Grains,http://travel.qunar.com/p-oi715426-wugutaicun,,五谷台位于淮阳县城东北5公里处，土台高丈余，传说是炎帝神农教民稼穑，播种五谷的地方。附近有神农井，为神农教民浇灌五谷而掘。神农时代，炎帝就教人种植五谷，以充腹饥，炎帝把谷粒分为五种，分别起名为稻、黍、稷、麦、菽、炎帝在这里兴农事，知耕稼，种五谷，故为神农，成为我国传统农业的创始人。神农还曾亲尝百草，发明草药，为人治病，被尊为祖国医药的创始者。传说炎帝神农在位140年，在巡视到长沙茶乡时无疾而逝，终年168岁。炎帝神农“都于陈”，完成了从游猎至农业的伟大转变，以淮阳为中心的黄淮大平地原当是中国农业的发源地，后人尊炎帝为“五帝”之首，当之无愧。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/06a378ede06c963316f38115fb985e42.jpg_480x360x95_5fb5d085.jpg,3.3,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
太清宫Taiqing Palace,http://travel.qunar.com/p-oi713425-taiqinggong,"

地址:
周口市鹿邑县城东5公里


电话:
0394-7681989

",位于周口市鹿邑县城东5公里的太清宫镇的东北隅，是老子的诞生地，也是祭祀老子的祠庙。1997年考古专家在太清宫发掘出一处含龙山文化遗址、西周墓葬、东周夯土基址和大型马坑、唐宋建筑基址、碑刻及明清建筑的大型文物古迹群。该遗址时代早，跨度大，保存完好，文化内涵丰富，具有很高的价值。主要有景点九步井、太极殿、三圣母殿、望月井、日月池等。太极殿：拥有汉、唐、宋、明、清不同时期的建筑材料构筑成的混合性建筑。后宫三圣母殿：常年烟火不断，十分兴盛。据说鼎盛时期，是唐...位于周口市鹿邑县城东5公里的太清宫镇的东北隅，是老子的诞生地，也是祭祀老子的祠庙。1997年考古专家在太清宫发掘出一处含龙山文化遗址、西周墓葬、东周夯土基址和大型马坑、唐宋建筑基址、碑刻及明清建筑的大型文物古迹群。该遗址时代早，跨度大，保存完好，文化内涵丰富，具有很高的价值。主要有景点九步井、太极殿、三圣母殿、望月井、日月池等。太极殿：拥有汉、唐、宋、明、清不同时期的建筑材料构筑成的混合性建筑。后宫三圣母殿：常年烟火不断，十分兴盛。据说鼎盛时期，是唐武则天称帝之时，被封为天后殿。望月井：每年的农历八月十五，风清月圆之时，天上的明月正好投影在水井中央，正应了“天上月是水中月”的古诗意境。这口井还有一个与众不同的地方就是，用古钱币投落井中，钱币在落水的瞬间，会发出一种类似青蛙的鸣叫声，所以人们闲来无事，就投钱币听蛙鸣取乐。后人在清淘此井时，挖出很多生锈了的古钱币。但是现今的硬币是不会有声音的。日月池：进入太清宫，沿神道而行不远，就可以看到日月池。传说，在老子降生、成仙时，漫天霞光，日月同时同现。更巧合的是，在2006年9月24日飞雁洞为老子故里捐建太极殿奠基仪式上，又一次出现日月同辉、三云祥集奇观。唐宋石碑：有一宋朝的石碑：高三点多米，露出地面的仅仅只有石碑上面的一截。再向后走，又见到一通唐碑，几乎全在地下面。这唐朝皇帝亲笔撰写序文，碑文正面是隶书道德经，虽然风雨剥蚀严重，依然有唐全碑之风韵，有极高的艺术价值。元碑：这圣旨碑由青石刻成，碑文为元朝楷书：“令旨使臣军马宫观内不得安下，所有栽种树木诸人不得采伐”。,全年 08:00-18:00,https://img1.qunarzz.com/piao/fusion/2108/3e/08f2bed134235a02.jpg_480x360x95_64408b42.jpg,4.3,建议游览时间：1小时,,"{'太清宫门票成人票\n\n': ['¥10起'], '鹿邑太清宫电子导览服务大小同价\n\n': ['¥9起']}",,1
画卦台Huaguatai,http://travel.qunar.com/p-oi705690-huaguatai,"

地址:
河南周口市淮阳县


电话:
0394-8278673

",淮阳城四面环水，万亩城湖烟波浩淼。在城东北一里处的湖面上突兀着一座土丘，上面亭栏溢彩，古柏苍翠。这里就是太昊伏羲氏始画八卦的地方，故名画卦台，亦称八卦坛。淮阳古称宛丘，是太昊伏羲氏建都之地，画卦台则是“伏羲于蔡水得白龟八卦之坛”。台高六七尺，台基大约10亩，环台皆水，惟西南边有一条小道可行人。台上庙宇建于何时已失考，经过历史风雨的剥蚀，如今，作为古陈州七台八景之一的画卦台上的庙宇已不存在，只有那棵传为伏羲栽的八卦柏依然挺立如故，伏羲封其为八卦柏。画卦台所以有名，是因为伏羲用一条长横线代表“阳”，两条短线代表“阴”，进而组合图画出的乾、坤、兑、巽、震、坎、离、艮八卦图，一转一动，阴阳消长，变化无穷。八卦之外又可组成六十四卦，再加上六爻的变化，自然界诸多事物的变化规律即可推测出来。八卦中确实蕴含着朴素的唯物主义思想。八卦这部“无 字天书”，正在自然科学的各个探索领域中发挥着巨大的作用。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/60173864dbaacbdfc6d8bd0697574b16.jpg_480x360x95_6a5ca2f4.jpg,4.1,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
弦歌台Xuangetai,http://travel.qunar.com/p-oi715048-xiangetai,"

地址:
河南省周口市淮阳县南坛湖中


电话:
0394-8278673

",位于淮阳县城西南隅水静如练的南坛湖中，这里红连映日，碧荷接天，风景优美，景色宜人。弦歌台，又名厄台、绝粮祠，是纪念孔子当年厄于陈蔡绝日弦歌不止而建造的。《史记.孔子世家》、《韩诗外传》、《孔子家语》、《孔子集注》、《搜神记》等书都有关于孔子在陈绝粮的记载。主体建筑叫大成殿，始建明代，面阔七间，进深五间，单檐歇山式，绿色琉璃瓦覆顶，周围有回廊，廊下24根青石方柱。大殿内正位坐像是孔子的塑像。,全年 全天开放,,4.2,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
女娲城址,http://travel.qunar.com/p-oi704888-nu:wachengzhi,,女娲，是我国古代神话传说中的人类始祖，她抟泥为人、化育万物、炼石补天并发明了笙簧乐器，对此《世本作篇》留有记载。《说文》曰：“娲，古之神圣女，化万物者也”。中国考古学者认为，古代传说中的女娲氏是部落首领，属仰韶文化，当在六七年之前。文物部门根据民间传说和史书记载，经过长期勘探，发掘了该古城址。该城址呈正方形，分内外两层，城墙多为分层夯筑而成，今残存城墙最高点3米，宽8米，挖掘出大量釜、罐、鬲、瓮、瓦等春秋时期遗物，可见当时城池壮伟，居民殷盛。这一...女娲，是我国古代神话传说中的人类始祖，她抟泥为人、化育万物、炼石补天并发明了笙簧乐器，对此《世本作篇》留有记载。《说文》曰：“娲，古之神圣女，化万物者也”。中国考古学者认为，古代传说中的女娲氏是部落首领，属仰韶文化，当在六七年之前。文物部门根据民间传说和史书记载，经过长期勘探，发掘了该古城址。该城址呈正方形，分内外两层，城墙多为分层夯筑而成，今残存城墙最高点3米，宽8米，挖掘出大量釜、罐、鬲、瓮、瓦等春秋时期遗物，可见当时城池壮伟，居民殷盛。这一珍贵的古文化遗址，被列为省级重点文物保护单位。,,,0.0,,,,,1
周口关帝庙Zhoukou Guanyu Temple,http://travel.qunar.com/p-oi707037-zhoukouguandimiao,"

地址:
周口市川汇区富强街111号


电话:
0394-8592826

",清康熙年间由山西、陕西旅周的商人集资兴建，整个建筑群布局严谨精巧，殿堂宏伟壮观，雕刻精湛瑰丽，装饰富丽华美，素以其巧夺天工的艺术雕刻著称于世。它犹如一本深沉而厚重的书卷，记载着昔日周家口商业的繁荣和经济的鼎盛。该庙本名“山陕会馆”。始建于康熙三十三年（1693年），乾隆、嘉庆时多次扩修，至道光十六年（1832年）全部建成，前后历时145年。东西宽105米，南北长158米，面积达12590平方米，占地20余亩。整座建筑群沿南北中轴线，分三进院落纵深布局，结构严谨，极富神韵。,全年 8:30-17:00,https://img1.qunarzz.com/piao/fusion/1506/75/ef08bfdd122eb0.jpg_480x360x95_6636c68c.jpg,4.2,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
