名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
哈素海Hasuhai,http://travel.qunar.com/p-oi714963-hasuhai,"

地址:
呼和浩特市土默特左旗西70公里


电话:
0471-8156000,0471-8148475

",哈素海是蒙古语哈拉乌素海的简称，意为黑水湖。它是由于黄河变迁而留下的牛轭湖，属大黑河水系的外流淡水湖泊。湖北为大青山，东、南、西三面被农田和牧场所包围，有“塞外西湖”之称。水深2米左右，湖底杂草丛生，水质肥沃，盛产草、鲢、鲤、鲫、团头鲂、武昌鱼等鱼类及河虾蟹。湖面芦苇荡内繁衍着各种鸟类，凌空起飞时盘旋在烟波浩渺的湖面上，组成一幅十分壮观的图景。每到春夏时节，湖水清澈见底，品类各异的小鱼悠游往来，各种各样的鸟儿盘旋在烟波浩渺的湖面上，在芦苇荡内忽隐忽现，让人遐思不已。湖内有一座水库和一个渔场，设置游船供游客饱览湖光山色，并可在船上品尝鲜鱼。,全年 全天开放,https://img1.qunarzz.com/travel/d0/1801/ca/1cbfbe5fe386f5b5.jpg_480x360x95_cc4bcd6e.jpg,4.0,建议游览时间：1小时 - 2小时,最佳的旅游时节是夏秋季节。这两个季节温度适宜，气候凉爽，周围景致正是最好的时候。,具体收费情况以现场公示为主,这里天气不热，但是紫外线很强，要注意防晒,1
内蒙古博物院Inner Mongolia Museum,http://travel.qunar.com/p-oi706103-neimenggubowuyuan,"

地址:
呼和浩特市新城区新华东街27号


电话:
0471-4614333,0471-4614000,0471-6918772


官网:
http://www.nmgbwy.com/

",内蒙古博物院，位于呼和浩市中心，博物院的展厅大楼造型别致，极具民族特色。楼顶塑有凌空奔驰的骏马，象征着内蒙古的吉祥与腾飞，是自治区标志性建筑之一。博物院的展厅大楼有四层，其中二、三、四层用于展览服务。院内目前有四个基本陈列，分别是《内蒙古古生物化石陈列》、《内蒙古历史文物陈列》、《内蒙古民族文物陈列》、《内蒙古革命文物陈列》。游客在展厅大楼的二楼，能够了解到内蒙古远古时期的生态环境。这里陈列了不少动植物的标本和内蒙古地质矿产标本，其中的查干诺尔龙、猛犸象和披毛犀这些史前动物的巨大化石骨架一定会令你叹为观止。三楼的陈列是整个博物院的亮点，具有鲜明的草原民族气息。你能够观赏到战国时期的匈奴王鹰型金冠，这是目前国内发现唯一的匈奴贵族金冠饰；同样是战国时期匈奴的咬牛纹金饰牌；元代的黄金马鞍“卧鹿缠枝牡丹纹金马鞍”；辽代的“錾花银盏托”等等。这里的展出文物都出自匈奴、鲜卑、突厥、契丹、蒙古等少数民族。你可以在三楼的蒙古族通史陈列中，了解到蒙古族从起源到蒙元时代再到明清时期近千年的完整脉络。在这里还能通过文物陈列，感受到生活在内蒙古地区的蒙古、达斡尔、鄂温克、鄂伦春、满、回、朝鲜、汉等八个民族的生产生活、风尚礼仪、宗教信仰等风俗。当你来到博物院的四楼，这里的陈列会让你清晰的了解蒙古族的服饰、蒙古族歌舞和蒙古族的马鞍文化。博物院的四个基本陈列被分割为15个展厅，可以根据自己喜好，选择性的挑选展厅聘请讲解员。,周二-周日9:00-17:00（16:00停止入馆）；周一闭馆。,https://img1.qunarzz.com/travel/poi/1707/50/01fb41b60f37f437.jpg_480x360x95_c2f8629d.jpg,4.7,建议游览时间：2小时 - 3小时,四季皆宜,"{'内蒙古博物馆内蒙古博物院驴迹电子导览（不含门票）票大小同价\n\n': ['¥6起'], '希拉穆仁草原✚库布其沙漠✚魅力青城3日游（含骑马+沙漠套票）\n\n': ['¥880起'], '希拉穆仁草原✚响沙湾✚魅力青城纯玩3日游（含骑马+沙漠套票）\n\n': ['¥1280起']}",1.老、幼、病、残、孕、儿童、高血压者、癫痫病人及行动不便者乘梯需有成年人监护陪同，选择电梯时最好乘坐升降直梯。2.严禁在扶梯上挤闹、逆向行走、攀爬、玩耍、奔跑。3.请勿依靠扶梯侧壁和扶手，不要将脚和衣物贴近梯级和扶梯边缘。4.禁止穿拖鞋、凉拖的乘客乘坐扶梯。穿长裙、长裤的乘客乘坐自动扶梯时请提高裙摆，勿贴近踏板，防止长裙、长裤卷入自动扶梯发生意外。5.乘扶梯时请站立在履带板两侧、黄色安全线以内。6.如遇紧急情况，请按动扶梯两侧红色急停按钮。,1
塞上老街Saishang Old Street,http://travel.qunar.com/p-oi5219796-saishanglaojie,"

地址:
呼和浩特市玉泉区大召西夹道与通顺街交口东10米


电话:
0471-2942506

",塞上老街位于呼和浩特市大南街大召寺附近，是条具有明清建筑风格的古街。其兴建于明万历年间的大召，门前西侧有一条横街，立了牌楼，名为塞上老街。老街其实不老，塞上老街是市政府花两年时间重新修缮，体现历史文化名城亮点的一条街道。,全年 全天开放,https://img1.qunarzz.com/travel/d6/1707/4d/1fcb21f5ab68abb5.jpg_480x360x95_8d9a5965.jpg,4.4,建议游览时间：1小时 - 2小时,塞上老街四季前往皆可，最佳的旅游时节是每年4至10月，这时温度适宜，适合出行。,具体收费情况以现场公示为主,,1
老牛湾国家地质公园,http://travel.qunar.com/p-oi9600423-laoniuwanguojiadizhigong,,内蒙古清水河老牛湾地质公园位于内蒙古呼和浩特市清水河县境内，内蒙古自治区中部，呼和浩特市最南端，总面积25.34平方千米。公园地质遗迹类型丰富，自然景观独特，人文历史悠久，生态环境优美。滔滔黄河、幽幽峡谷、铮铮长城在这里汇聚，形成了特色明显、极具观赏性和科普性的地质公园。内蒙古清水河老牛湾地质公园地处晋蒙边界黄河流域，是黄河、长城的唯一的交汇处，具有典型的黄土高原风貌。地质构造属山西台背斜与内蒙古地轴相接之过渡带。特殊的地理位置、漫长的地质作用...内蒙古清水河老牛湾地质公园位于内蒙古呼和浩特市清水河县境内，内蒙古自治区中部，呼和浩特市最南端，总面积25.34平方千米。公园地质遗迹类型丰富，自然景观独特，人文历史悠久，生态环境优美。滔滔黄河、幽幽峡谷、铮铮长城在这里汇聚，形成了特色明显、极具观赏性和科普性的地质公园。内蒙古清水河老牛湾地质公园地处晋蒙边界黄河流域，是黄河、长城的唯一的交汇处，具有典型的黄土高原风貌。地质构造属山西台背斜与内蒙古地轴相接之过渡带。特殊的地理位置、漫长的地质作用造就了清水河规模宏大、纵横交错的峡谷，丰沛灵动的瀑布景观，典型的地质构造和黄土地貌景观。公园内发育了华北北缘最完整的一套古生代地层系统，真实地记录 了地球十几亿年的海陆变迁历史。公园又处于黄河“几”字形第一拐弯处，公园内丰富的地质遗迹对研究黄河的形成与演化，以及人类活动和环境变迁都有着重要的意义。漫长的历史，在这里留下了人类生息繁衍的足迹；悠悠的岁月，在这里孕育了清水河灿烂辉煌的文化。清水河地处我 国北部边陲，铮铮明长城绵延于山峦叠嶂的清水河，构成了古代边陲的重要军事防线。萧萧秋风吹过，古长城仿佛依然狼烟升腾。若说长城是清水河文化的瑰宝，那窑洞则是清水河历史的馈赠。清水河窑洞所用的石材，多就地取材，石质坚硬，色彩明快，窑面砌石雕刻精美，石刻花纹造型讲究，足可以与延安窑洞媲美。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/53520bc22f69547874785c1491d20384.jpg_480x360x95_1aee8610.jpg,4.5,建议游览时间：1小时,5-10月是最佳的旅行时节，温度适宜，气候凉爽，万物生长，一河秀水与古长城挽臂徜徉于莽莽黄土高原上，自然景色美不胜收，鬼斧神工削劈的百里黄河峡谷，上苍精凿的阎王鼻子，深不可测的水门洞神泉，明代护水楼的雄姿，清代优龙寺的袅袅香火，一起来感受清水河老牛湾地质公园的雄浑奇特之美。,"门票：40元/人  游览车10元/次，套票63元（门票+往返车票+保险）。 
船票：60元/人、120元/人，小孩也是需要购买船票。 具体信息请以老牛湾国家地质公园当天披露为准。",7月下旬-9月中旬，万家寨水库汛期泄洪排沙，内蒙古清水河老牛湾国家地质公园内游船停止运营。可选择其他时间段去划船游玩。,1
大召寺Ih Juu Temple,http://travel.qunar.com/p-oi704776-dazhaosi,,,,,,,,,,1
五塔寺Five Pagoda Temple,http://travel.qunar.com/p-oi711485-wutasi,"

地址:
呼和浩特市玉泉区五塔寺后街48号


电话:
0471-5972640

",五塔寺原名慈灯寺，位于呼和浩特旧城东南，五塔只是慈灯寺内的一座佛塔。曾经寺院建筑全都坍塌只剩下这座佛塔，因此才有后人得知此处有寺院，重建时便名为五塔寺。五塔寺是一座藏传佛教寺院，也是蒙古地区藏传佛教的发源地。五塔寺的南面面对五塔寺广场，入口也在此处。五塔寺布局是典型的汉族的中轴线特色，中轴线南北走向，两边严格对称。寺内共分为三个院落，分别是南边的三世佛殿院，中间的文化展院和北边的慈灯寺院。五塔寺的面积不大，纵深仅有150米左右。从五塔寺南门进入寺院，园内靠南处两边各有一座白色小塔，具有藏传佛教特色。正对面是三世佛殿，三世佛殿在建筑上既有汉族宫殿的特色，又有少数民族和藏传风范，这也是整个寺院建筑的大体风格。穿过三世佛殿后来到中间的院子，对面的建筑上清晰大字写有“呼市召庙文化展”。在召庙文化展建筑内部，左侧的墙上挂有历史上的宗喀巴等人像，右侧列有我国现存金刚座舍利宝塔召庙图，体现了呼和浩特召庙文化的渊源流长。然后来到北边的院子，院子中间是慈灯寺的大殿，大殿背后便是舍利宝塔。这座舍利塔始建于清雍正年间，高约16米，塔身均以琉璃砖砌成。参观五塔寺时不光可以在外面观看，还可以上到塔座顶上，俯视全寺，视野不错。在舍利塔背后的北墙处有一座蒙文天文图石刻，天文图直径144.5厘米，画有二十八宿赤经位置的经线，还有五个同心圆。,全年 周二-周日 09:00-17:00;全年 周一 全天不开放,https://img1.qunarzz.com/travel/d9/1802/7a/59e6b99941be6bb5.jpg_480x360x95_7d0b6d55.jpg,4.5,建议游览时间：1小时 - 2小时,最佳的旅行时节是5-8月，温度适宜，气候凉爽，也很适合避暑,具体收费情况以现场公示为主,,1
大青山野生动物园Daqingshan Wildlife Park,http://travel.qunar.com/p-oi5239665-daqingshanyeshengdong,"

地址:
呼和浩特市回民区呼武公路向北1.5公里处


电话:
0471-6491221

",大青山野生动物园位于呼和浩特市北郊，北靠大青山，地形独特，交通便捷。园区分为四大景区：门前景区、青葱雨晨景区、人与自然景区、狂野之旅景区。其中人与自然、狂野之旅两大景区以动物的驯养、繁殖、游展为主，这两大景区的绝大部分动物都是山体散养；两大景区功能既相同又互补，狂野之旅主要体现草原文化的自然灵魂的主宰——狼，并辅以其它猛兽让游客感受到不同的、具有草原风格的狂野旅程；人与自然以动物表演及小型动物的散养为主，游客可以在狂野旅程结束后，立即放松心情，接触并爱抚动物。门前景区、青葱雨晨景区同样以动物饲养为主，但同时结合了科普教育、素质训练教育及具有民族特点的餐饮、娱乐内容，加大了游园的乐趣。,全年 08:30-16:30;全年 09:00-15:30,https://img1.qunarzz.com/travel/poi/1803/58/ddf7d114101ae537.jpg_480x360x95_c32acb2a.jpg,3.9,建议游览时间：1小时 - 2小时,最佳旅游时间为夏秋。温度适宜，适合参观，动物在园内活动也较为活跃。,具体收费情况以现场公示为主,,1
敕勒川草原,http://travel.qunar.com/p-oi38633098-chilechuancaoyuan,,,,,4.0,,,具体收费情况以现场公示为主,,1
昭君博物院Zhaojun Museum,http://travel.qunar.com/p-oi10010958-zhaojunbowuyuan,"

地址:
呼和浩特市玉泉区南郊6公里处


电话:
0471-5150201,0471-5150061,0471-5150203

",博物院位于呼和浩特市区以南约9公里处，是以墓冢为核心、以及匈奴文化博物馆、单于大帐、和亲宫、纪念馆等部分组成。游客在这里游玩，可以详细了解历史故事。墓冢是景区中的核心景点，始建于公元前的西汉时期，距今已有2000余年的悠久历史，这里也是中国较大的汉墓之一，墓冢因为常年被青草覆盖，当地也有“青冢”的称呼，历史上被文人誉为“青冢拥黛”，成为呼和浩特市的重要景点。当你走进景区，首先看到的是大型铜铸雕像，在往北走，有一块高大的石碑，石碑上用蒙汉两种文字镌刻着诗作《谒昭君墓》：“昭君自有千秋在，胡汉和亲识见高”。石碑后方两侧，七块各代石碑历历在目。你可以沿着石阶上到墓冢的顶部，在这里可以可看到连绵不断的阴山横贯东西，也可以欣赏到呼和浩特市全景。景区中的匈奴文化博物馆，是首座综合展示匈奴历史文化的博物馆，一楼是出塞展览，二楼为匈奴历史文化陈列和艺术品展示，但馆中展出的物品数量并不十分丰富。在每年的4-10月份，景区内的单于大帐内将上演大型实景舞蹈诗，每天上午和下午各一场，节目长约45分钟。景区内还提供了讲解服务，参考价格：30元/批。,全年 周二-周日 09:00-17:00;全年 周一 全天不开放,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1560021628170100i15000000xgvv48DA2_D_640_10000.jpg_480x360x95_84d90776.jpg,4.2,建议游览时间：1小时 - 2小时,最佳的旅行时节是5-10月，温度适宜，气候凉爽，也很适合避暑,"{'昭君博物院人工讲解服务+专车接送大小同价\n\n': ['¥499起'], '库布齐神泉沙漠景区一日游6人团纯玩 骑骆驼冲浪车黄河索道\n\n': ['¥288起']}",,1
伊斯兰商街Islamic Customs Street,http://travel.qunar.com/p-oi5740443-yisilanshangjie,"

地址:
呼和浩特市回民区中山西路与通道南路交汇处

",该街位于呼和浩特市，全长大约1150米，这里群众聚居、商业繁荣，特别是因有着千百年浓厚的宗教文化积淀，使这里形成了浓郁的宗教氛围。,全年 全天开放,https://img1.qunarzz.com/travel/d1/1512/bf/a8fd2c1c2fb880f7.jpg_480x360x95_b14ed49c.jpg,4.2,建议游览时间：1小时,风情街四季前往皆可，最佳的旅游时节是每年4至10月，这时温度适宜，适合出行。如果去草原，最好在7月中旬至9月初前往，这时的草原景致迷人，一望无际，而且此时正好有一年一度的“那达慕”大会举行，届时，逛古召，登古塔，观赛马，骑马驰骋草原，其乐无比。,具体收费情况以现场公示为主,这里是穆斯林聚集区，建筑都很有伊斯兰风情，在这里观光要注意尊重当地习俗。,1
