名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
塔克拉玛干沙漠（和田）,http://travel.qunar.com/p-oi36121374-takelamaganshamo,,塔克拉玛干沙漠分布在巴音郭楞、阿克苏、喀什、和田四个区域，在和田与叶尔羌河谷之间，呈弧形向西南绵延而去，沙质细软，一望无际，浩翰辽阔。,,,4.5,建议游览时间：3小时 - 5小时,,具体收费情况以现场公示为主,,1
墨玉河,http://travel.qunar.com/p-oi709234-moyuhe,"

地址:
新疆和田地区

",墨玉河亦称喀拉喀什河，因出产墨玉而得名，生产的墨玉是雕琢玉器的上等玉米。墨玉河发源于喀喇昆仑山，全长808公里，墨玉河自西南向北流经墨玉绿洲，在阔什塔什与白玉河汇流成和田河。墨玉河年径流量21.9亿立米，灌区有6.7万公顷耕地，53万人受益。墨玉河与白玉河都是和田最大的河流。为更好地利用水资源，80年代分别在墨玉河和白玉汀上游修建了渠首。该渠首是一卒拦河悬板分层式引水枢纽工程，具有引水、泄洪、排沙等综合效果。渠首采取正面泄洪，底层排沙，上层侧向引水形式。该工...墨玉河亦称喀拉喀什河，因出产墨玉而得名，生产的墨玉是雕琢玉器的上等玉米。墨玉河发源于喀喇昆仑山，全长808公里，墨玉河自西南向北流经墨玉绿洲，在阔什塔什与白玉河汇流成和田河。墨玉河年径流量21.9亿立米，灌区有6.7万公顷耕地，53万人受益。墨玉河与白玉河都是和田最大的河流。为更好地利用水资源，80年代分别在墨玉河和白玉汀上游修建了渠首。该渠首是一卒拦河悬板分层式引水枢纽工程，具有引水、泄洪、排沙等综合效果。渠首采取正面泄洪，底层排沙，上层侧向引水形式。该工程在规划、设计方面，借鉴和田分层式引水渠首的成功经验，并因地制宜，不拘一格，大胆创新，有所突破。十二年来，运行效果良好，受到中央、自治区领导和专家们的一致好评。墨玉河渠首担负着两岸6万公顷耕地的灌溉和数十万人畜用水的引水任务，渠首建成前，墨玉河两岸人民，为了堵坝引水、每年投入劳力40万工天和大量物力、财力。年复一年，堵了冲、冲了堵，给两岸人民造成了学生的负担。如今一座雄伟、壮观、新颖别致，运行灵活的现代化渠首巍然屹立在墨玉河上。奔腾咆哮的河水，按照人们的意愿，温顺地流进了渠道，流入了田间。在这里以渠首工程为主体形成了错落有致的建筑群。水池、曲桥、享阁、楼台交相辉映，渠边、路旁绿树成阴，乌语花香。每年春、夏、秋季到此观光、注旅游者络绎不绝，昔日的河滩荒野如今已成为人们休闲度假的好去处。,全天,https://img1.qunarzz.com/travel/d9/1809/d6/c77743ac2b230bb5.jpg_480x360x95_5e7f7f6f.jpg,1.0,,,30元,,1
和田大巴扎Hotan Grand Bazaar,http://travel.qunar.com/p-oi709806-hetiandabazha,"

地址:
和田市东北面，在315国道旁

",和田大巴扎汇集了具有地方特色的菜系佳肴、名点饮品、干鲜果品、药材补品、金石雕镂、陶瓷漆器和各地的名优百货、名烟名茶等。和田地区旅游产品种类多、名气高，特别是和田玉、和田丝绸、和田地毯、玫瑰洒、和田小花帽、民族医药、民族小刀、手工木制品等旅游产品，其中很多是全疆王牌的旅游产品，为自治区出口创汇的主要出口产品之一。,全天,https://img1.qunarzz.com/piao/fusion/1701/b6/8ebc3939dab9202.jpg_480x360x95_710658a8.jpg,4.1,建议游览时间：1小时 - 3小时,,具体收费情况以现场公示为主,,1
和田胡杨林Hetian Populus Euphratica,http://travel.qunar.com/p-oi713128-hetianhuyanglin,"

地址:
新疆维吾尔自治区于田县塔里木河畔

",胡杨林公园位于新疆轮台县境内的塔里木河畔。这里生长着大量的原始胡杨林。秋季，一片片金黄色的胡杨陪伴着沙漠，自然景色美极了。主要以胡杨林为依托、沙漠公路穿其而过之优势，开发出面积500余公顷的旅游带。公园里胡杨林、沙滩、湖泊，惹来无数中外旅客前来玩赏。,全天,https://img1.qunarzz.com/travel/d5/1510/fb/ad4495b260966.jpg_480x360x95_78b65692.jpg,5.0,建议游览时间：3天,,免费,,1
尼雅遗址Niya Ruins,http://travel.qunar.com/p-oi716184-niyayizhi,"

地址:
和田地区民丰县喀巴阿斯卡村以北20公里的沙漠中


电话:
0903--2515806

",尼雅遗址是汉晋时期精绝国故址，散布于南北长25公里，东西宽5-7公里的区域内。在这片狭长的古城遗址中，残存的佛寺、房舍、墓地散落其间，当年的农田、林带、渠系和冶炼遗址依稀可见。可以看出，当年精绝国的居民们以穿城而过的尼雅河为界，分居南北两区，南为豪门，北住平民。但是，家家皆有果园、畜圈和池塘。遗址中有一土筑佛塔，虽然破败，但古风犹存。精绝国处于塔克拉玛干大沙漠，居弱水一方，是个小国。据《汉书·西域传》记载：这里仅“户四百八十、口三千三百六十、胜兵五百人”，并在东汉年间“被鄯善并吞，国遂绝”，但是，丝路南道“往来者莫不由此城焉”。奔走穿梭于尼雅河桥头的丝路商人给小国寡民带来了西亚的玻璃器皿、希腊风格的艺术品、印度的棉织物、黄河流域的锦绢、漆器、铜镜和纸这些当世珍宝。汉晋夫妻合葬墓中出土的蓝底蜡染棉布残片和棉布裤，是我国迄今所见的较早棉织物，尤其是“五星出东方利中国”文字织锦堪称锦中绝品、丝路遗珍。佉卢文书是尼雅考古中的发现，800件出土于尼雅遗址的佉卢文书木简，有文告、信函、指示，内容几乎涉及当时生活的每一个侧面。尼雅的废弃是个谜。古城遗址周围不见河流改道或战乱兵燹的迹象，房屋院落之中没有人迹；大量公文简牍刚刚整理好，还来不及运走；甚至连忠实的狗儿都忘了带走，还拴在家门口的柱子上。尼雅人就这样匆匆忙忙地消失了，只留下沙埋废墟，更留下瀚海荒漠中难解之谜。,全年 全天开放,https://img1.qunarzz.com/travel/d9/1702/47/58cc025fdb8960b5.jpg_480x360x95_83139e9b.jpg,4.5,建议游览时间：3天,,具体收费情况以现场公示为主,,1
麻扎塔格山,http://travel.qunar.com/p-oi708282-mazhatageshan,"

地址:
和田地区墨玉县


电话:
0903--2511335

",麻扎塔格山位于墨玉县境内的和田河下游西岸，呈东西向横卧在塔克拉玛干沙漠的南部，被和田河拦头截断。山体呈长条形，东西向分布，山体东临和田河冲积平原绿色长廊，西侧被沙漠环绕，处于极端干旱的沙漠区，它是受新构造运动的单面山，对研究塔里木盆地古环境演化过程具有重要意义，也是研究历史时期人类活动对环境影响的好材料。由下第三系的红色泥岩、石膏和灰岩组成为白山，由上第三系的棕红色砂岩、泥岩构成为红山，两山形似卧龙饮水。山体延伸至和田河而断陷地下，翘首挺立于河边...麻扎塔格山位于墨玉县境内的和田河下游西岸，呈东西向横卧在塔克拉玛干沙漠的南部，被和田河拦头截断。山体呈长条形，东西向分布，山体东临和田河冲积平原绿色长廊，西侧被沙漠环绕，处于极端干旱的沙漠区，它是受新构造运动的单面山，对研究塔里木盆地古环境演化过程具有重要意义，也是研究历史时期人类活动对环境影响的好材料。由下第三系的红色泥岩、石膏和灰岩组成为白山，由上第三系的棕红色砂岩、泥岩构成为红山，两山形似卧龙饮水。山体延伸至和田河而断陷地下，翘首挺立于河边；平均坡度30°，海拔1300-1570米，主峰海拔1570米，西高东低。山体受干燥剥蚀与风蚀作用，基岩裸露，多残坡积物。麻扎塔格目前处于自然保存状态，山顶古戍堡由墨玉县文管所管理。近年来由于受丝绸之路研究热潮的影响，经常有国内外游客来探险考古及重温古代的驼铃、马队运输的场景，南部山峰由于山势高峻，道路崎岖，一般游客很难到达，只限于登山爱好者开发利用。,全天,,--,,,免费,,1
约特干遗址Yuetegan Ruins,http://travel.qunar.com/p-oi709002-yueteganyizhi,,,,,,,,,,1
昆仑湖公园Kunlunhu Park,http://travel.qunar.com/p-oi705086-kunlunhugongyuan,"

地址:
北京东路197号


电话:
0903-2023553

",昆仑公园是和田地区较大的公园，占地88000平方米。  园内昆仑湖水面面积28000平方米。它是和田市区市民休闲娱乐的好去处。昆仑湖东部、南部岸线平直，东北角狭长。湖中有一湖心岛，湖的西北角为荷花池；东部有三个鱼池，其中靠北的两个较大，兼有水上划船等娱乐功能。昆化湖公园还有果园53334平方米，塑料大棚700平方料，可培育各类苗木，园内绿化覆盖率达百分之60以上。公园内设有“金和儿童乐园”、动物园、游泳池、茶楼等各种餐饮服务。,9：00－18：00,https://img1.qunarzz.com/travel/poi/1803/a6/127a7525312ac737.jpg_480x360x95_9b67ed37.jpg,4.7,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
核桃树王公园Hetao Wangshu,http://travel.qunar.com/p-oi701908-hetaoshuwanggongyuan,,,,,,,,,,1
买力克阿瓦提古城,http://travel.qunar.com/p-oi706037-mailikeawatigucheng,"

地址:
和田城玉龙喀什河


电话:
0903--2511335

",位于和田城东南25公里的玉龙喀什河西岸，当地人称“什斯比尔”。1962年定为自治区重点文物保护单位。遗址南北长十公里，东西宽两公里。该城建于1500至1600年以前。遗址西侧沙山环立，冈峦起伏，南面昆仑山脉影影绰绰，高入云端，东面玉龙喀什河蜿蜒曲折，夏季洪水奔腾怒吼，北面不远，村舍点点，绿树环合。遗址内有古墓葬地、古建筑群、西侧沙山背后有气氛神秘的洞窟三个。出土文物有铜佛像、玉器、泥塑佛像残件、回纹图案墙饰、壁画残片、陶器、及大量 古钱币。钱中有汉代五侏钱、...位于和田城东南25公里的玉龙喀什河西岸，当地人称“什斯比尔”。1962年定为自治区重点文物保护单位。遗址南北长十公里，东西宽两公里。该城建于1500至1600年以前。遗址西侧沙山环立，冈峦起伏，南面昆仑山脉影影绰绰，高入云端，东面玉龙喀什河蜿蜒曲折，夏季洪水奔腾怒吼，北面不远，村舍点点，绿树环合。遗址内有古墓葬地、古建筑群、西侧沙山背后有气氛神秘的洞窟三个。出土文物有铜佛像、玉器、泥塑佛像残件、回纹图案墙饰、壁画残片、陶器、及大量 古钱币。钱中有汉代五侏钱、魏晋南北时代的剪轮钱和唐代“开元通宝”。遗址上散布许多高大的土堆和建筑用的柱础，还有陶窖堆积等。地面散布有许多红、灰色陶器残片。城南2里许，有土堆一圈。附近有一土台，方形，高约3米，周约百余步，似为古代建筑遗迹。附近红色陶片甚多。往南10余里，有石塔，周约60米，高6米许，系以石垒砌而成，已倾圮。四周散布有不少泥塑残件。附近有房舍遗址，为沙所掩，在此曾发现泥塑佛头，上有金叶，制作精美，据认为即《法显传》中所述之翟摩帝大寺。1978年冬，在一处寺院遗址里发现汉代钱窖一处，出土大量五株钱。,全天,,--,,,30元,,1
