名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
乾陵Qinling Mausoleum,http://travel.qunar.com/p-oi705880-qianling,"

地址:
咸阳市乾县城北6公里梁山上


电话:
029-35510222,029-35510353

",乾陵，位于咸阳市乾县城北6公里的梁山上。乾陵修建于公元684年，经过23年的时间，工程才基本完工，陵区仿京师长安城建制，四面有城墙，南有朱雀门，北有玄武门，东有青龙门，西有白虎门，但如今陵园的地面建筑，已经基本荡然无存了。独一无二的夫妻皇帝合葬陵乾陵，是中国乃至世界上独一无二的一座两朝帝王、一对夫妻皇帝合葬陵，里面埋葬着唐高宗李治和他的妻子——中国唯一的女皇帝武则天。乾陵也是中国古代帝王陵墓中少数没有被盗掘的陵墓，乾陵至今也没有被挖掘过，所谓乾陵出土文物都来自乾陵的陪葬墓，如永泰公主墓、懿德太子墓等。乾陵景区面积较大，除了乾陵外，还有多个陪葬墓，分别埋葬着多位皇亲（太子与公主们）和大臣，目前挖掘的主要有章怀太子墓，懿德太子墓和永泰公主墓。乾陵博物馆就是建在永泰公主墓的遗址上，博物馆中展出的文物以唐三彩、彩绘俑和壁画等为主，其中《宫女图》是壁画中的精品。懿德太子墓旁也有文物陈列室，但规模不大，章怀太子墓的墓道中有精美的壁画，但基本都是复制品，真品保藏在陕西历史博物馆内。博物馆和陈列室都无需另外付费。游览景区方式游览乾陵景区可以全程步行，景区还提供了观光车（车费不包含在景区门票内，30元/人），观光车来往于乾陵与其余的三个陪葬墓之间。游客在景区大门售票处可以购买观光车的车票，持车票的游客，在景区内的各观光车站台可以多次上下车。售票处靠近乾陵，三个陪葬墓位于售票的南部，从乾陵到懿德太子墓步行约15分钟，从懿德太子墓到永泰公主墓步行也需要约15分钟，游客可以根据自身情况决定是否乘坐观光车。六十一蕃臣像，很赞乾陵虽然没有被发掘，但也是有很多看点。在朱雀门外的神道东西两侧，分布着两组石人群像，整齐恭敬地排列于陵前。西侧32尊，东侧29尊，共61尊。这些石人残像的大小和真人差不多，但都是没有头的石像（都被敲掉了），人们习惯上把这些石像称之为“蕃像”，也称“六十一蕃臣像”。这些与真人大小相仿的石人，穿着打扮各不相同，但他们都双双并立，两手前拱，姿态极为谦恭。至于为什么六十一尊石像都没有“头”，至今没有个准确的说法。著名的无字碑无字碑，也是乾陵的另一个看点。在朱雀门外的司马道东侧，耸立着闻名于世的“武则天无字碑”。在整个乾陵陵园的石雕中，无字碑不仅位置醒目，而且雕刻艺术精湛，这块无字碑后，充满了种种富于传奇色彩的传说故事。无字碑上为何无字，民间出现了三种说法。第一种说法认为，武则天立无字碑是用以夸耀自己，表示功高德大非文字所能表达；第二种说法认为，武则天立无字碑是因为自知罪孽重大，感到还是不写碑文为好。第三种说法认为，武则天是一个有自知之明的人，立无字碑是聪明之举，功过是非让后人去评论。此外，你也可以漫步在朱雀门内宽阔笔直的神道上，神道两边是巨大的石人、石马和石鸵鸟等石像，看着远方高耸的山峰，山峰的内部就是埋葬着唐高宗和武则天的合葬墓。此时此刻，距离那个辉煌的年代已经千年，一种浓厚的历史沧桑感油然而生。,3月1日-11月30日（旺季）8:00-18:00；12月1日-次年2月29日（淡季）8:30-17:30。,https://img1.qunarzz.com/travel/d5/1612/a4/1d74eaadf77bb8b5.jpg_480x360x95_e719bc6e.jpg,4.5,建议游览时间：2小时 - 3小时,,"{'乾陵门票成人票\n\n': ['¥50起'], '法门寺门票+乾陵门票成人票\n\n': ['¥148起'], '乾陵电子讲解（不含门票）服务大小同价\n\n': ['¥0.6起']}",,1
懿德太子墓Tomb of Prince Yide,http://travel.qunar.com/p-oi710109-yidetaizimu,"

地址:
咸阳市乾县东南隅的韩家堡北，乾陵东南2公里处


电话:
029-35510100

",懿德太子墓是唐高宗李治及武则天之孙，唐中宗李显和韦皇后长子李重润之墓。它是距乾陵较近的一座土陪葬墓，也是迄今为止所发掘唐代墓葬中规模大、规格高、属帝王级的陵墓。懿德太子李重润因与妹妹永泰公主、妹夫武延基窃议武则天晚年私生活，被“杖杀”于洛阳。公元705年，唐中宗李显即位，追封为皇太子，谥曰“懿德”。公元706年将其灵柩由洛阳迁至陕西“号墓为陵”，以帝王礼陪葬乾陵。墓道全长100.8米，宽3.9米。由墓道、六个过洞、七个天井、八个便房、前后甬道、前后墓室组成。墓内较为宝贵的是壁画。这些壁画内容丰富，色彩绚丽，生活气息浓郁，充分展现出盛唐的气势和环境，对研究唐代的历史和文化提供了很重要的实物资料，也向人们展示了唐朝画师高超的艺术造诣和将近一千三百年前中国已高度发展的绘画水平。,全年 8:00-18:00,https://img1.qunarzz.com/travel/poi/201408/12/f10aff3bfba049c9c8d65eac.jpg_480x360x95_1f4352cc.jpg,4.4,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
乾陵黄土民俗村Qianling loess Folk Village,http://travel.qunar.com/p-oi705007-qianlinghuangtuminsucun,"

地址:
咸阳市乾陵镇乾陵脚下的西兰公路旁


电话:
029-35510223

",民俗村依地热修建一级大型窑洞民居群，每处窑洞既是民居，又是不同内容的民俗陈列室。里面的黄土“龙洞”蜿蜒曲折，犹如地下长廊，间隔有序地陈列着关中地区炎黄子孙繁衍生息、婚丧嫁娶、寿诞庆典、传统礼节、节令活动、文化娱乐、集市贸易、农耕狩猎和衣、食、住、行等民俗实物或塑像，并在“龙洞”长廊中设有地下餐厅，内容十分丰 富，集中展示了黄河流域关中地区的民俗文化和黄土风情。,周一至周日08:00-18:00,https://img1.qunarzz.com/travel/poi/201408/12/3fc9907dd09be978c8d65eac.jpg_480x360x95_8a591ed6.jpg,4.3,建议游览时间：1小时 - 3小时,,门票：25元，无优待政策。,,1
汉阳陵国家考古遗址公园Hanyang Mausoleum Museum,http://travel.qunar.com/p-oi713317-hanyanglingguojiakaogu,"

地址:
西安市咸阳国际机场专用公路东段


电话:
029-62657530,029-62657588,029-86031470


官网:
http://www.hylae.com/

",汉阳陵国家考古遗址公园位于西安市北部的咸阳市渭城区，是汉景帝刘启和皇后王氏同茔异穴的合葬陵园。汉景帝刘启（公元前188-141年）是西汉第四位皇帝。执政期间，他和亲匈奴，与民休息， 与其父汉文帝刘恒共同开创“文景之治”，为其子汉武帝刘彻开疆拓土奠定了雄厚的基础。汉阳陵目前开放的区域分为北区和南区，游客从位于北区的售票处购票入内。两区之间有观光车相连（车费包含在门票内），约20分钟一班，如果你步行往来，约需10分钟。进入景区后，首先看到的是一个高耸的封土堆，这就是汉景帝的陵墓，需要注意的是，景帝陵墓并没有被发掘（或许被盗过），在景区内参观的“地宫”（地下博物馆）并不是封土堆下的真正的地宫，而是周边的一些陪葬坑；在景区内看到的文物，也是从陪葬坑中发掘的。封土堆不对外开放，游客不能攀登。在陵园的北区设有地下博物馆（帝陵外藏坑遗址保护展示厅）和南阙门遗址保护展示厅，前者是参观的重点。地下博物馆使用玻璃幕墙和玻璃通道，将游客和文物完全分隔在两个不同的温湿度环境中。当你走入墓道进入博物馆后，会发现一个个陶俑和瓦罐就陈列在你的面前，你还可以低头向下望去，你的脚下是数以万计的文物，各种造型的陶俑，有士兵俑、歌舞俑、宫女俑、动物俑等，这些陶俑只有真人的1/3大小，还有当时的生活器皿、车撵马具等，加上四周的昏黄灯光，会产生一种不真实的穿越感。你在这里还能观看到滚动播放的“幻影成像”节目，节目中演绎了当年丰富多彩的宫廷生活，节目长约20分钟。距离地下博物馆不远处矗立着高大的“南阙门遗址”保护厅，这座保护厅内就是“阙门遗址”，这里有两千多年前的柱础石，黄土墙上保留着当时的楼梯、砖瓦。而保护厅本身是一座仿汉式阙门建筑，展示了汉代帝王才可享用的“三出阙”高台的雄伟高大。陵园的南区有考古陈列馆和宗庙遗址等景点。陈列馆中主要陈列了从陪葬坑、墓中发掘出土的文物。你能看到青铜兵器，如矛、剑、箭等，钱币、陶制罐、铜镜等生活用品。除此之外，最吸引的是大量的陶俑，有骑兵、武士、侍从等，最有特色的是一部分女性骑兵俑，其中有些女兵五官比较独特，颧骨突出，眼角上翘，有人认为这是汉朝军队中的少数民族女士兵。陈列馆以西是宗庙遗址，也就是“德阳宫”遗址，规模很大，但没有地面建筑，只能看到整理过的挖掘现场。,旺季（3月1日-11月30日）8:30-18:30，17:00停止入馆。淡季（12月1日-次年2月29日）8:30-18:00。,https://img1.qunarzz.com/travel/poi/1502/3e/8baa11b96434a7.jpg_480x360x95_31cff96a.jpg,4.5,建议游览时间：2小时 - 3小时,,"{'汉阳陵博物馆门票成人票\n\n': ['¥65起'], '汉阳陵博物馆门票学生票\n\n': ['¥35起'], '汉阳陵国家考古遗址公园手机智能语音讲解服务大小同价\n\n': ['¥1.9起']}",,1
永泰公主墓Tomb of Princess Yongtai,http://travel.qunar.com/p-oi710325-yongtaigongzhumu,"

地址:
咸阳市乾县城关镇乾陵东南2.5公里处


电话:
029-35510222,029-35510458

",永泰公主墓是乾陵十七座陪葬墓之一，位于乾陵东南2.5公里处。墓的主人李仙惠是唐高宗李治和武则天的孙女，唐中宗李显的第七个女儿。她死时年仅17岁，与丈夫武延基合葬在一起，陪葬乾陵。永泰公主墓是建国后陕西省发掘较大、保存较为完好的一座唐代女性陪葬墓。墓南北走向，由墓道、5个过洞、6个天井、8个便房、前后甬道、前后墓室组成。此墓虽然早年被盗，但仍出土各类珍贵文物高达一千多件，尤其是墓室壁画，内容丰富，生活气息浓厚。,全年 08:00-18:00,https://img1.qunarzz.com/travel/d2/1508/d0/fc9804299a964c.jpg_480x360x95_01fc469e.jpg,4.6,建议游览时间：1小时,,包含于乾陵景区内，通用乾陵景区门票。,,1
茂陵Maoling,http://travel.qunar.com/p-oi714919-maoling,"

地址:
咸阳市兴平市茂陵博物馆


电话:
029-38456140


官网:
http://www.maoling.com/

",茂陵，是西汉时期的汉武帝刘彻的陵墓，公元前139年-前87年历时53年建成，是西汉帝陵中规模最大、修建时间最长、陪葬品最多的一座。陵体高大宏伟，形为方锥，有“东方金字塔”之称。至今东、西、北三面的土阙犹存，茂陵周边有李夫人、卫青、霍去病、霍光、金日磾等陪葬墓20多座，星罗棋布，蔚为壮观。茂陵在历史上曾经多次被盗，如今在这里出土的文物多是来自陵园中各个陪葬墓。当年的陵园分为内、外两城，四周环以围墙（如今早已不存在了）。茂陵的四周遍布嫔妃、宫女、功臣贵戚的陪葬墓。在这一带发现有众多的文物，如精美的青玉兽面纹铺首、错金银的云纹钢犀尊，以及朱雀纹、龙纹、几何纹等大型的空心砖和文字瓦当。1981年在茂陵东陪葬墓中发掘出鎏金铜马、鎏金鎏银竹节熏炉、提链铜暖炉等珍贵文物。如今，游客在茂陵的博物馆中都能观赏到这些文物。在博物馆中还能观赏到国宝级的石刻，尤其是其中“马踏匈奴”和“跃马”最为珍贵。“马踏匈奴”像，马昂首威然，四蹄稳稳踩在一个匈奴人身上；匈奴人长怒目圆睁，手握弓弩，垂死挣扎。“跃马”，马的后身伏地，前向上伸展，马颈下的石料并没有精细的凿去，整体的石块，更加承托出跃马灵动之美。,全年 08:00-18:00,https://img1.qunarzz.com/travel/d4/1508/eb/f3f4b723c0247b.jpg_480x360x95_8eb93459.jpg,4.3,建议游览时间：2小时 - 3小时,,"{'茂陵门票成人票\n\n': ['¥37起'], '茂陵博物馆电子讲解票大小同价\n\n': ['¥0.7起'], '茂陵博物馆人工讲解服务大小同价\n\n': ['¥800起']}",1、文物是国家的宝贵财富。保护文物，人人有责。石刻国宝禁止抚摸涂写、拓印、攀登，展室文物谢绝担照。2、游览区内请勿随地吐痰，乱扔果皮、纸屑、异物等。大人要看管好自己的小孩，不得任其随地便溺。3、为了您和他人的健康，请勿在无烟游览区内吸烟，需吸烟时请进入馆内西苑吸烟区。4、爱护花草树木，请勿进入花园内摄影，更不允许在翠竹、树林和建筑物上刻字留言。5、严禁携带易燃易爆、剧毒物品入馆。6、为了保证参观效果，使您和他人得到满意的收获，游览区内请勿大声喧哗，弹秦乐器或进行各种球类活动。,1
无字碑,http://travel.qunar.com/p-oi717663-wuzibei,"
",自秦汉以来，帝王将相无不希望死后能树碑立传，中国历史上唯一一个女皇帝的石碑却没有刻一个字。无字碑上为何无字，民间出现了三种说法。第一种说法认为，武则天立无字碑是用以夸耀自己，表示功高德大非文字所能表达。第二种说法认为，武则天立无字碑是因为自知罪孽重大，感到还是不写碑文为好。第三种说法认为，武则天是一个有自知之明的人，立无字碑是聪明之举，功过是非让后人去评论，这是最好的办法。,"3月至11月：8:00~18:00
 12月至2月：9:00~17:00",https://img1.qunarzz.com/travel/poi/201408/12/a3c39c647e0ef8ecc8d65eac.jpg_480x360x95_cdbd34b0.jpg,5.0,,除了较寒冷的冬季外，其它时间都比较适合旅游。,"包含在乾陵门票中
 淡季票价 全票:82元 半票:42元
 旺季票价 全票:122元 半票:62元
",,1
咸阳博物馆Xianyang Museum,http://travel.qunar.com/p-oi706896-xianyangbowuguan,"

地址:
咸阳市渭城区中山街53号


电话:
029-33213015,029-33231998,0910-3213015

",,全年 08:00-18:00,https://img1.qunarzz.com/travel/d6/1505/b8/240a39f489c46.jpg_480x360x95_35c63628.jpg,4.6,建议游览时间：1小时 - 2小时,,免费开放,,1
霍去病墓Tomb of Huo Qubing,http://travel.qunar.com/p-oi712454-huoqubingmu,"

地址:
咸阳市兴平市茂陵茂陵博物馆内


电话:
029-38456140

",霍去病墓位于兴平市东北约15公里处，汉武帝茂陵东北1公里左右的地方。霍去病去世时年仅23岁，汉武帝为纪念他的战功，将他的陵墓修建在了茂陵东北作为陪葬墓。据记载，霍去病墓“为冢像祁连山”，意在表彰他在河西走廊、祁连山一带立下的赫赫战功。在中国，只有立下巨大战功的将军才能建这样的墓冢。据说他去世之后，汉武帝非常悲伤，调来玄甲军，列成阵沿长安一直排到茂陵霍去病墓地。霍去病墓墓冢上下，墓地周围，乱石嶙峋，苍松翠柏，荫蔽墓身，一派山林幽深景象。墓南东西两角，各...霍去病墓位于兴平市东北约15公里处，汉武帝茂陵东北1公里左右的地方。霍去病去世时年仅23岁，汉武帝为纪念他的战功，将他的陵墓修建在了茂陵东北作为陪葬墓。据记载，霍去病墓“为冢像祁连山”，意在表彰他在河西走廊、祁连山一带立下的赫赫战功。在中国，只有立下巨大战功的将军才能建这样的墓冢。据说他去世之后，汉武帝非常悲伤，调来玄甲军，列成阵沿长安一直排到茂陵霍去病墓地。霍去病墓墓冢上下，墓地周围，乱石嶙峋，苍松翠柏，荫蔽墓身，一派山林幽深景象。墓南东西两角，各有回栏曲经，通向墓顶。其封土上堆放着巨石，墓前置石人、石兽等。其中“马踏匈奴”为墓前石刻的主像，长1.9米，高1.68米，为灰白细砂石雕凿而成，石马昂首站立，尾长拖地，腹下雕手持弓箭匕首长须仰面跼蹙挣扎的匈奴人形象，是具代表性的纪念碑式的作品。也因为这件雕塑，使霍去病墓相较他舅舅卫青的墓而言，更具有人气。,9:00-17:00（16:30停止进入景区）,https://img1.qunarzz.com/travel/poi/201408/12/7389596d5d3a7b86c8d65eac.jpg_480x360x95_41dea14b.jpg,4.7,建议游览时间：0.3小时 - 0.5小时,除了较寒冷的冬季外，其它时间都比较适合旅游。,包含在茂陵博物馆门票内，通用茂陵博物馆门票。,文物是国家的宝贵财富。保护文物，人人有责。石刻国宝不摇抚摸涂写、拓印、攀登，展室文物谢绝担照。,1
袁家村Yuanjia Village,http://travel.qunar.com/p-oi5857896-yuanjiacun,"

地址:
咸阳市礼泉县


电话:
029-35767888,029-35970111

",袁家村位于陕西关中平原地，距村子一公里便是唐太宗昭陵，周边还有关中地区帝王诸陵中数量多、保存完整的石雕石刻群唐肃宗建陵石刻。袁家村主要分为两个区，一个是关中民俗，另一个则是农家乐，被称为“关中印象体验地”。走进古朴典雅的小巷，两边店铺林立，作坊鳞次栉比。仿古的油坊、豆腐坊、面坊、茶坊、醋坊等，应有尽有。踩着青石板，欣赏颇具关中风味的明清式建筑，看着布坊中的老人细心的织布，面坊中的工人认真的推着石磨，别有一番风味。,全年 07:30-20:00,https://img1.qunarzz.com/travel/d8/1704/e4/fdfb129826d064b5.jpg_480x360x95_8bec204b.jpg,4.5,建议游览时间：3小时 - 4小时,,"{'袁家村关中大观园门票成人票\n\n': ['¥68起'], '旅者营地通票门票儿童票\n\n': ['¥78起'], '旅者营地【冲浪体验】门票大小同价\n\n': ['¥90起']}",1、节假日期间，游客量较大，在游览时请照顾好老人、小孩，保管好随身物品；进出景区的车辆请按照交通指示牌以及工作人员引导停入景区正规停车场内，关闭好车窗，不要将贵重物品放置车内。2、袁家村各茶楼每天有不定时演出，皮影戏、弦板腔、风箱音乐等表演；酒吧、咖啡一条街有激情演唱和丰富夜生活，欢迎您前去感受。3、袁家村大剧院每天两场大型关中民俗怀旧情景剧--《再现袁家村》。该剧再现了袁家村的发展历程，剧情跌宕起伏，欢迎您前往观看。4、袁家村冰雪大世界内有冰雕艺术，冰上儿童乐园等，为您呈现美轮美奂的冰雪世界。5、袁家村各茶楼、咖啡馆、游客接待中心均有空调开放，欢迎您的光临。,1
