名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
哈密魔鬼城Hami Monster City,http://travel.qunar.com/p-oi715359-hamimoguicheng,,,,,,,,,,1
阿勒屯古街,http://travel.qunar.com/p-oi38341164-aletungujie,,,,,4.0,,,具体收费情况以现场公示为主,,1
天山风景名胜区Tianshan Scenery Attractions,http://travel.qunar.com/p-oi705669-tianshanfengjingmingsheng,"

地址:
新疆维吾尔自治区哈密市伊州区天山国家森林公园寒气沟景区


电话:
0902-6858111

",天山风景名胜区分为白石头、鸣沙山、松树塘、天山庙和寒气沟五个景点。“一日游四季、十里不同天”，从市区沿哈巴公路到天山风景区的70多公里路程中，可以领略到绿洲、大漠戈壁、草原、森林和雪峰五大自然景观，沿途的海市蜃楼、烽燧驿站、汉碑唐庙、牧场毡房、鹿群，可谓融丝路风情于一线、集西域特色于一体。哈密天山风景名胜区自1995年开始开发建设，1997年被自治区人民政府评定为自治区级风景名胜区，2001年晋升为国家AAA级景区。,全年 8:00-17:00,https://img1.qunarzz.com/travel/d9/1707/f8/05a70a6151d880b5.jpg_480x360x95_97a92594.jpg,4.5,建议游览时间：1小时,,{'【小团纯玩】川藏10日|成都色达稻城理塘芒康进藏然乌冰川羊湖林芝赏花！三环接送+氧气!车配单反或飞机\n\n': ['¥3180起']},,1
盖斯墓Gaisimu,http://travel.qunar.com/p-oi704385-gaisimu,"

地址:
哈密市伊州区人民路55号(哈密博物馆对面)


电话:
(0902)2350575

",盖斯墓高约10米，下部方形，上部为拱式圆顶，顶部用绿色琉璃瓦镶砌，四周有廊檐，是一座融阿拉伯与汉族建筑风格于一体的建筑物。墓地四周筑围墙，墙内栽植各种树木花草，环境尤为典雅幽静。,全年 9:30-19:00,https://img1.qunarzz.com/travel/poi/1409/16/4c4e42dfc5045739ffffffffc8d65eac.jpg_480x360x95_39cf896b.jpg,3.7,建议游览时间：1小时,最佳季节是春秋季节，此时的哈密气候较为舒适，秋季则是哈密瓜果上市的季节。,10元,,1
哈密回王墓Hami Emperors Cemetery of Hui Nationality,http://travel.qunar.com/p-oi709498-hamihuiwangmu,"

地址:
哈密市回城乡阿勒屯村环城路7号


电话:
0902-2384067

",哈密回王陵位于哈密市区南郊，是历史上曾在哈密统治过的九代哈密王的陵园。陵园历经三百多年历史，到现在大部分建筑及陵墓都保存完好。景区内可以看到历代哈密王的陵墓原貌，参观哈密王历史陈列馆，了解有关哈密王家族的历史故事，还可以参观陵园内的哈密清真寺-艾提尕尔清真寺，感受古建筑的精美和壮观。回王陵园的面积不大，长宽都有100米左右，步行游览参观约1-2小时即可。园内中间是一片广场，在广场东侧是哈密较大的清真寺-艾提尕尔清真寺，西侧散布着一些建筑，是历代回王的陵墓，都是保存下来的古老建筑，园内还有一座回王历史陈列馆可以参观。艾提尕尔清真寺可以进入参观，这座清真寺建于清朝康熙年间，规模壮观，东西长60米，南北宽38米，可以容纳五千人同时做礼拜。寺内不供奉任何的人和动物的雕像，而是由一些几何图形和花草图案装饰了墙壁，图案间还写着一些符号，非常有当地特色。寺内还有108根刷着红色漆的木柱，这些木柱已经有三百多年，依旧完好无损。在七八世王拱拜旁边还有很多墓地，是其他历代哈密王及他们的家族还有当时的宰相的墓地，可以一一参观。景区内还有一座哈密王历史陈列馆，有哈密王宝座等物品陈列，可以进去了解哈密王家族的历史和故事。,全年 09:30-18:30,https://img1.qunarzz.com/travel/d0/1710/64/c57a2bf0532585b5.jpg_480x360x95_6111d27a.jpg,4.4,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
白石头baishitou,http://travel.qunar.com/p-oi714913-baishitou,"

地址:
白石头乡政府东3.2公里


电话:
0902-6595888

",白石头风景区不仅以其得天独厚的高山草原，展现出富有特色的自然景观，而且有她悠久的历史和美丽的传说，三者结合使优美的自然景色蒙上了一层神秘的色彩，富有魅力。白石风景区由寒气沟、松树塘、鸣沙山、白石头、天山庙五个游览区组成，方园100平方公里。因此，在白石头可同时观赏雪山、流水、森林、草地和繁花、晴雨、晨夕，四季的景色变化无穷，环境幽静，气候宜人。一望无际的大草原，绿草如菌，野花竞放，羊群象飘动着的朵朵白云，松林里点缀着座座毡房，好客的哈萨克牧人捧来一碗碗奶茶、酥油，悠扬悦耳的冬不拉声，组成了幽静的避暑消夏胜地。白石头风景区还分布着许多古寺庙和古文化的遗址。古寺庙的遗址有天山庙（关帝庙），古文化遗存有天山唐碑，位于天山庙东三十余步。松树塘汉代任尚碑、烧陶遗址。大型冶炼遗址与天山唐碑相映照，“饱千秋冰雪，此中有汉石唐碑”。,全年 8:00-17:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/197750479ac7b314bd63781779be782d.jpg_480x360x95_e676b8e9.jpg,3.8,建议游览时间：2小时,,具体收费情况以现场公示为主,,1
巴里坤湖Barkol Lake,http://travel.qunar.com/p-oi711985-balikunhu,"

地址:
哈密市巴里坤哈萨克自治县西18公里海子沿乡


电话:
0902-6826677（巴里坤县旅游局）

",巴里坤湖由四周自然泉水汇流注入而成，东西宽约12公里，南北长约20公里，湖水面积112.15平方公里。湖也是储量丰富的芒硝矿和盐田，湖水中含有水生物卤虫。巴里坤湖古称蒲类海，婆悉海，元代称巴尔库勒淖尔，清代的蒙古沙、巴尔库尔对音称巴里坤湖。关于巴里坤湖有许多美丽的传说，流传较多的一则传说是：一位汉族姑娘和一位名叫蒲类海的哈萨克青年合力同破坏湖泊的山魔搏斗，姑娘被压在尖山下石化了，哈萨克青年扭住山魔同沉湖底。他们用生命为后人换来安宁幸福的生活。为了纪念他们，人们就把尖山下的数股清泉叫“汉姑泉”，把湖泊称作“蒲类海”。,全年 08:30-18:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/51324848b305e075ac73873c5777bea5.jpg_480x360x95_6cfda0c6.jpg,4.5,建议游览时间：2小时,,具体收费情况以现场公示为主,,1
鸣沙山Mingsha Mountain,http://travel.qunar.com/p-oi710558-mingshashan,"

地址:
哈密市伊吾县S302


电话:
18119031936

",在辽阔的草原上，奇妙地出现了一座长约五公里，以石英长石堆积而成的沙山，山呈东北-西南走向，西缓东陡。脚下有条小河蜿蜓流过。当人们从沙山顶往下滑时能听到从山的内部发出的声音，犹如万马奔腾，海潮汹涌，故名鸣沙山。哈密鸣沙山沙鸣声之大，冠盖全国三大沙鸣（甘肃敦煌鸣沙山、宁夏中卫县沙坡头和内蒙古包头响沙湾）。当地民间有一个传说：唐朝女将樊梨花带兵征西时，有一营女兵与敌人遭遇，战斗激烈，因众寡悬殊，全部阵亡，樊梨花率师赶到，大败敌兵，将女兵尸体全部葬在沙山上，阴魂不屈，常常从沙山底传出厮杀呐喊声。人们根据这一传说，给这一景点取名“沙山藏营”。多年前，考古工作者从沙底发掘出古代兵器、马鞍、尸骨等。据说，这里是古代兵戎相见之地，曾有一将率壮士五百，与匈奴血战，全军战死于此。,全年 全天开放,https://img1.qunarzz.com/travel/d3/1801/b1/8b07bffd6e366cb5.jpg_480x360x95_fd373f78.jpg,4.4,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
松树塘Pine Tree Pond,http://travel.qunar.com/p-oi711008-songshutang,"

地址:
天山风景名胜区旁


电话:
0902-6598618

",清人洪亮吉游览该地后作《松树塘万松歌》：“千峰万峰同一峰，峰尽削立无蒙茸。千松万松同一松，千悉直上无回容。好奇狂客忽至此，大笑一呼忘九死。看峰前行马蹄驶，欲到青松尽头止。”古代这里设驿站，建烽火台。汉司马任尚，唐代姜行本曾在这里立下赫赫战功，附近有碑为证。现在松树塘每到旅游旺季，彩旗飘扬，游人如织，草坪上“骑士”们纵马狂奔，山林中攒动着无数登山红男绿女的身影，彩色的哈萨克毡房中传出阵阵悠扬的歌声。松树塘现为伊吾军马场所在地，该场饲养的黄臀赤鹿，极富经济价值和旅游观赏价值。近年国家体委利用这里优越的冰雪气候资源和理想的坡度条件，在松树塘西北侧修建了高山滑雪和滑冰场。冬季的松树塘又成了冰雪健儿们的乐园。,全天,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/ad16776184fa7ef14ea95067dd4228ea.jpg_480x360x95_2f1de29e.jpg,4.2,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
丝路烽燧Bongsudae on Silk Road,http://travel.qunar.com/p-oi703772-silufengsui,"

地址:
哈密地区

",新疆的烽燧遍布天山南北，它们与丝绸之路中道与北道走向一致，起到了护卫丝路畅通的重要作用。目前哈密地区尚保留各时代的烽燧共51座，是新疆保存烽燧较多和较好的地区。其中尤数巴里坤县保存的烽燧数量较多，共有29座，哈密市和伊吾县则分别有19座和3座。哈密地区较早的烽燧建于唐代，现境内尚遗存唐烽燧4座，这就是哈密二堡的拉克苏木烽燧、柳树泉的下马不拉克烽燧、巴里昆三塘湖烽燧、伊吾前山阔吐尔肖纳烽燧。它们距今已有1200多年的历史。而现今保存的绝大部分烽燧则都是清代建筑的。前烽燧分布密度较高的是巴里坤县城往西至萨尔乔克一线，这里每隔2～3千米就有一座，连绵相望有13座之多。萨尔乔克烽隧和巴里坤南湖滨的两个烽燧形状基本相同，基座成正方形，隧体为向上收缩的棱柱形，均为夯土建筑，夯土中夹有红柳枝，并多用圆木构架。萨尔乔克烽隧长宽各8米，高7米多，隧体上下穿架着四层直径8厘米左右的木棍。巴里坤湖滨烽隧离公路400米，隧题高大完整，长宽均达10米以上，高9米多，隧体中穿凿的圆木直径粗达25厘米，烽隧东南还有积新薪院落遗址。在落日余晖下串联一线的巴里坤烽隧显得格外的古朴、严整，它再现了古丝路昔日的辉煌。,8：00——17：00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/07c39ab10c519b843f88bb87bd703ada.jpg_480x360x95_8f7ec34f.jpg,0.0,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
