名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
中央大街Zhongyang Street,http://travel.qunar.com/p-oi703920-zhongyangdajie,,,,,,,,,,1
太阳岛风景区Sun Island Scenic Area,http://travel.qunar.com/p-oi711040-taiyangdaofengjingqu,"

地址:
哈尔滨市松北区警备路3号


电话:
0451-88192966,0451-88190230

",历史起源太阳岛风景区是位于哈尔滨市区松花江北岸的江心小岛，早年满族在此渔猎，松花江盛产鳊花鱼，在满语中这种鱼的叫法和汉语“太阳”的发音极为相似，久传至今，就被称为太阳岛了。清代康熙年间，太阳岛就被作为水师营被开发利用，后来被清朝政府作为水师查兵和训练的基地。随着中东铁路的修建和前苏联十月革命的成功，大量的俄国和欧洲的侨民涌入哈尔滨。他们被太阳岛上的自然景色，美丽风光所吸引，在岛上修建房屋，建造度假的别墅餐厅，游玩娱乐的各种设施，并在这里狩猎、钓鱼、野餐、野浴，这些充满异国情调的建筑也成为了太阳岛上独特的人文景观。景区亮点#纯粹的郊野风光#太阳岛自然风景异常秀美。全岛碧水环抱，水光潋滟，原野风光粗犷中带着质朴。公园内的天鹅湖、太阳瀑、水阁云天、松鼠岛等景观，更是将人与自然和谐演绎的淋漓尽致。#精美的俄式建筑#在岛上存有大量欧式别墅建筑，是俄国人夏季避暑的场所，这些建筑小品掩映在满眼绿色的林木之中，唯美而极富情调。园内还有体验俄式民俗的俄罗斯风情小镇，是遗存在岛上的上十栋俄式木楞房子修缮的。#梦幻的冰雪世界#每年12月至次年1月的太阳岛风景区，是国际雪雕艺术博览会的主会场。此时的景区银装素裹，能欣赏到各种用白雪雕砌而成的人物形象、动物群雕、西洋建筑等艺术作品，全都惟妙惟肖。#有趣的活动体验#在园内不但可以野餐、骑自行车、划船，也可以去松鼠岛近距离地观察松鼠们的有趣生活，或欣赏天鹅湖中天鹅、鸳鸯、鸿雁等鸟类的美妙身姿。如果带着孩子来玩，别忘了去笨熊乐园，这里有旋转木马、碰碰车等游乐项目，一定会让孩子玩得尽兴。特色景点#太阳石#景区大门口的太阳石是这里的第一景，它并不是岛上的石头，而是来自于金朝故地阿什河畔，据说这块石头非常有灵性，在它没有被运到这里之前，当地的老百姓甚至可以用它来观察天气。抗日战争时期，李兆麟将军也曾在这块石头上休息过。太阳石上“太阳岛”三个字是由著名书法家赵朴初先生所书，字迹苍劲有力，空灵传神。#冰雪艺术馆#冰雪艺术馆是景区内较有名的场馆，打破了时间的限制，让游客们即使在夏季也能在里面欣赏精美绝伦的冰雕作品，馆内还可以玩冰滑梯、走冰迷宫。不过馆内门票不包括在大门票中，需要另行付费。#俄罗斯风情小镇#俄罗斯风情小镇的门票很特别，是护照造型的，还可以在老房子中卡戳留念。走进俄罗斯风情小镇，各种纯朴的俄式乡间别墅、民宅，让你无时无刻不被这种浓郁的俄式风情环绕。晚上则可以在景区内的俄罗斯皇家金色剧院欣赏俄罗斯歌舞表演，品尝俄式大餐。如何游玩从市区去太阳岛很方便，在松花江边坐轮渡、过江索道、公交都可以到。冬季还可坐上马车从冰上前往太阳岛，不过记得讲价。景区面积颇大，步行游览完要将近一天的时间，推荐乘景区交通和步行相结合的游览方式。景区交通为电瓶车，在各大景点定点上车，比较方便。,全年 07:30-17:30,https://img1.qunarzz.com/travel/d0/1609/83/7d97bc2e73cb88b5.jpg_480x360x95_36a7dabd.jpg,4.4,建议游览时间：3天,夏季和冬季最佳。夏季可看美丽的自然风光，冬季可体会冰雪活动的乐趣。,太阳岛风景区免费进入，雪博会需另付费。,"1、可在当地购买羽绒衣裤、羊毛衣裤，价格实惠，而且厚实耐寒，此外，还需要带上一套帽子、围巾加手套。 
 2、东北地区室内外温差很大，冷热交替，极易感冒，所以最好带上感冒药之类的药品。 
 3、在气候严寒、干燥的地方，手容易起刺，嘴唇易干裂，建议您带上润唇膏或润肤品。 
 4、在零下几十度的哈尔滨，专业相机的快门会冻得开不了，所以，如果带上专业相机，一定要注意机器的保暖。 
 5、有幸到当地人家中做客，可以试着在炕上用餐，非常有意思，如果睡在炕上的话，很容易“上火”，起床后应多喝开水，多吃水果。",1
龙塔Dragon Tower,http://travel.qunar.com/p-oi715095-longta,"

地址:
哈尔滨市南岗区长江路178号


电话:
4006137137

",龙是中华文明的图腾象征，龙塔又座落于黑龙江省，故此得名龙塔，也称为黑龙江省广播电视塔，是哈尔滨市的标志性建筑之一。龙塔设有丰富多采的项目展馆，塔楼设有181米云中漫步惊险环；186米云尚西餐厅——中国十大俄式西餐品牌、高空错落式景观旋转餐厅；190米户外观光平台和206米高空祈福馆。白天的龙塔雄姿英发，笑迎八方。站在龙塔190米的云端，可以细数冰城夏都昨天的沧桑变迁和今天的时尚活力。夜晚的龙塔通体七彩，璀璨生辉。光影流动中，龙塔如同巨龙腾飞之灵动，又如莲花盛开之静美，使哈尔滨这颗天鹅项下的明珠更加光彩夺目，让人流连忘返。,全年 09:00-17:00,https://img1.qunarzz.com/travel/d8/1701/49/e59a5d40e92dd3b5.jpg_480x360x95_cbf5cb94.jpg,4.4,建议游览时间：2小时 - 3小时,四季皆宜。,"{'哈尔滨龙塔观光门票成人票\n\n': ['¥140起'], '哈尔滨龙塔观光门票儿童票\n\n': ['¥99起'], '哈尔滨龙塔观光门票学生票\n\n': ['¥70起']}","节假日门票价格可能会有浮动，需提前留意。

",1
圣索菲亚大教堂St. Sophia Cathedral,http://travel.qunar.com/p-oi706805-shengsuofeiyadajiaotang,"

地址:
哈尔滨市道里区透笼街88号


电话:
0451-84684170,0451-84686904

",圣索菲亚大教堂始建于1907年，是目前中国保存较为完整的拜占庭式建筑，在1997年就更名为“哈尔滨市建筑艺术馆”，但无论是当地人，还是外地游客，更愿意称它为“圣索菲亚大教堂”。这座教堂较为引人注目的部分是那饱满而巨大的洋葱头式大穹顶，这种典型俄罗斯建筑风格的屋顶形式，宏伟壮观，可以同莫斯科的瓦西里升天大教堂相媲美。教堂的墙体采用清水红砖，大穹顶周围是四个大小不同的帐蓬顶，四个顶下的楼层之间有楼梯相连，整个教堂前后左右有四个门出入。教堂改建成艺术馆后，进行了内部改建，通过展示近千幅图片和城市规划沙盘，反映了名城哈尔滨的历史、现状与未来。不过改建后，原有的格局被改变，作为教堂的功能也已经消失了。教堂前的广场有“广场鸽”，还设有大型音乐喷泉，有很多人喜欢在这里拍婚纱照。与白天相比，教堂的夜景更美丽，每当夜幕降临时，在灯光的衬托下，教堂越发显得雄伟神秘，充满异国情调。而在冬季，漫天飘雪时，雪中的圣索菲亚大教堂宛如童话里的城堡，十分梦幻。,每周一闭馆 上午参观时间9:00-1130 下午音乐会13:00/15:30/18:30 三场每场30分钟左右,https://img1.qunarzz.com/travel/d4/1705/b7/cf8eaaae7ba135b5.jpg_480x360x95_0c51a4c6.jpg,4.6,建议游览时间：1小时 - 3小时,四季皆宜。,"{'圣索菲亚教堂电子导览票大小同价\n\n': ['¥1起'], '【手作列巴】哈尔滨东方小巴黎+历史文艺2-6人纯玩一单一团游\n\n': ['¥329起'], '哈尔滨+中央大街+索菲亚教堂+太阳岛一日游\n\n': ['¥118起']}",两个个时段去圣索菲亚教堂比较好：1、下午2:00-3:30，太阳会正面照在教堂，拍照效果最好。2、晚间7点以后会开灯，效果非常好，气氛非常浪漫。,1
哈尔滨极地公园·海洋馆Harbin Polar Museum,http://travel.qunar.com/p-oi705352-haerbinjidigongyuanhai,"

地址:
黑龙江省哈尔滨市松北区太阳大道3号


电话:
400-870-0909


官网:
http://www.hrbpolarland.com/

",哈尔滨极地公园位于太阳岛风景区，是中国以极地主题表演秀为核心产品特色的极地公园，是中国极地海洋馆业品牌，是黑龙江打造的一张旅游名片，是国内的极地旅游度假区。哈尔滨极地公园是由多名日本、美国、俄罗斯设计大师及哈尔滨极地公园自身团队联袂创意、设计。项目规划外观是一只游弋在冰海上的白鲸造型，与哈尔滨大剧院动静各异、相得益彰，成为哈尔滨城市的两大现代地标建筑，经常现身在中央电视台等各种重要媒体上。,全年 周一-周五 09:30-16:00;全年 周六-周日 09:30-16:30,https://img1.qunarzz.com/travel/d4/1702/83/68f77b7ce0b9f3b5.jpg_480x360x95_0a4275f8.jpg,4.6,建议游览时间：2小时 - 4小时,四季皆宜。,"{'哈尔滨极地公园·海洋馆门票成人票\n\n': ['¥123起'], '哈尔滨极地公园·海洋馆门票学生票\n\n': ['¥65起'], '哈尔滨极地公园·海洋馆门票优待票\n\n': ['¥90起']}",1、购买标准票的成人仅能免费带领一名1.2米以下儿童入馆。2、未满14周岁的儿童需要在成年人的陪同下入馆参观。,1
东北虎林园Northeast Tiger Forest Park,http://travel.qunar.com/p-oi710607-dongbeihulinyuan,"

地址:
哈尔滨市松北区松北街88号


电话:
0451-88080098,0451-88080680,0451-8008108114


官网:
http://www.dongbeihulinyuan.com/

",因野生东北虎的生存环境不断恶化，1986年我国政府为保护濒危物种东北虎，在黑龙江省海林市横道河子镇成立了中国横道河子猫科动物饲养繁育中心（以下称“中心”），这是我国一家以异地保护东北虎为主的人工饲养繁育东北虎基地，从此开始了长达三十多年的人工饲养繁育和科研保护东北虎之路。1996年，为了更好的保护这些东北虎，“中心”在哈尔滨市成立了黑龙江东北虎林园，通过开发利用东北虎的旅游观赏价值，用“以虎养虎”的方式，支持东北虎的保护、科研和野化训练工作。黑龙江东北虎林园坐落于松花江北岸，占地面积约144万平方米，国家4A级旅游景区，目前，该园是全国大的人工饲养和繁育东北虎基地，有纯种东北虎近千只，是一家集东北虎饲养繁育、科研保护、科普教育和旅游观光为一体的综合性企业。东北虎又称西伯利亚虎，是现存体重大的猫科动物，成年东北虎体长为1.2米-2米，尾长约1米，体重100-200公斤，最重可达320公斤左右。东北虎主要分布于中国的东北地区及俄罗斯的西伯利亚地区。东北虎的头大而圆，前额上有数条黑色横纹，中间常被串通，形似“王”字，故有“百兽-之-王”之美称。其夏毛短而色深，呈棕黄色，冬毛长而色淡，呈黄色或淡黄色，背部和体侧有许多横列黑色条纹，常两条靠拢成柳叶状。耳短圆，背面黑色，中央带有一块白斑。下颏、腹部及四肢内侧近白色，尾上具有黑色环纹，尾尖黑色。它厚厚的皮毛，能抵御-45℃的低温。东北虎栖居于森林、灌木和野草丛生地带。独居，无固定巢穴，具领域行为，多在傍晚或黄昏活动。感官敏锐，生性凶猛，行动迅捷，善游泳。捕食大中型哺乳动物，偶食小型哺乳动物和鸟。  东北虎是生态系统中的旗舰物种，国家保护动物，以它特有的雄姿和风采给人们带来快乐和回归自然的享受，保护好东北虎是人类与自然和谐共处持续发展的需要，也是践行生态文明建设理念的具体体现。,全年 08:00-16:30,https://img1.qunarzz.com/travel/d1/1607/6c/a927b456a980fba7.jpg_480x360x95_1b6f07e3.jpg,4.6,建议游览时间：2小时 - 3小时,园区具有良好的生态旅游基础，尤以冬夏两季最具观赏魅力。夏季（6至8月），景区内生机盎然，随处可见东北虎的矫健身影；冬季（12月至第二年2月），色彩斑斓的东北虎在白雪的映衬下，显得分外的耀眼。如果天公作美，可见罕有的“霜虎奇观”。,"{'东北虎林园门票+惊险观光车票成人票\n\n': ['¥114起'], '东北虎林园门票+惊险观光车票优待票\n\n': ['¥85起'], '东北虎林园门票+电瓶车票成人票\n\n': ['¥97起']}",,1
老道外Laodaowai,http://travel.qunar.com/p-oi5851756-laodaowai,"

地址:
哈尔滨市道外区南二道街32号-96号


电话:
4008528881

",老道外是哈尔滨的历史老街区，行走在这里的数十条老弄堂里，随处可见建于20世纪初的巴洛克风格建筑。这里的老建筑、各种有趣的建筑装饰，以及街头的民俗雕塑，勾勒成一道怀旧岁月的场景，值得人们用镜头去捕捉。经过全面维护和改造后的老道外，被称为中华巴洛克历史文化保护街区，它位于哈市道外区中部核心区域，南起南勋街、北至靖宇街、西起景阳街、东至南四道街，西侧比邻中央大街商圈，南侧临近秋林、果戈里商圈。与中央大街一带欧洲人所建的老建筑不同，老道外的建筑多为20世纪初的华商所建。老道外的巴洛克建筑风格，具有浓郁的浪漫主义色彩，雕刻细腻、色彩浓烈。而细心的游客也会发现，这里的建筑同时也掺杂着不少中国元素。现在的老道外，不仅众多老建筑保护完好，在街区的各个角落还能看到许多后来放置的民俗雕塑，很容易让人置身于老电影的片段里。此外，这一带还有不少美食餐厅，比如张包铺、张飞扒肉等，逛累了可以坐下品尝哈尔滨美食。,全年 全天开放,https://img1.qunarzz.com/travel/d6/1705/9f/af942bcf1c46e7b5.jpg_480x360x95_88aca1b4.jpg,4.4,建议游览时间：2小时 - 4小时,,{'哈尔滨+中央大街+索菲亚教堂+太阳岛一日游\n\n': ['¥118起']},,1
哈尔滨冰雪大世界Harbin Ice and Snow World,http://travel.qunar.com/p-oi712267-haerbinbingxuedashijie,"

地址:
哈尔滨市松北区太阳岛西区冰雪大世界园区


电话:
0451-84884263,0451-84884363,0451-58561401


官网:
http://www.hrbicesnow.com/

",哈尔滨冰雪大世界是一年一度的冰雪主题嘉年华，从每年的圣诞节至次年三月初期间开放。在这里可欣赏漂亮的冰雕、雪雕以及冰雪城堡，夜间在各色灯光渲染下的冰灯盛宴更是迷人，还可尽享各种雪地娱乐项目。冰雪大世界的娱乐项目众多，你可以登上冰雪城堡，玩一玩极速大滑梯，感受一溜到底的刺激，或是坐坐森林小火车、冰上自行车、雪地卡丁车、雪地摩托车，也可以滑雪滑冰、玩雪圈、冰迷宫、攀冰岩等各种活动，甚至还有冰雪CS、雪地足球、冰面拔河等竞技活动。园中还会看到由工作人员扮成各种卡通人物的大巡游，以及王子公主的冰晶婚礼秀等活动。如果玩累了，还可以去欣赏高难度的冰上杂技舞蹈、大型实景演出《林海•雪原》，以及由外国演员演出的精彩歌舞盛会。而且每届的冰雪大世界都会有不同的游园主题，每年都会有令人耳目一新的表演和冰雕场景。此外，爱滑冰、爱滑雪的你，在这里同样能让你嗨翻天。冰雪大世界的滑冰场提供冰鞋、冰爬犁等，你可以在冰面上尽情驰骋。而滑雪场则可同时容纳上百人，提供有滑雪板、立体雪圈等，你可以根据自己的时间选择时段进行滑冰、滑雪体验，尽情感受冰雪娱乐的奇趣与刺激。通常下午三四点钟去冰雪大世界玩，玩到晚上看冰灯，非常漂亮。但是尽可能避开春节和周末，那时人山人海很可能导致有些项目排队要很久。在冰天雪地中待久了会非常冷，所以一定要穿得很保暖、带个装满热开水的保温杯，冻得厉害了可以去暖屋中暖暖身。除了冬季的冰雪大世界主题嘉年华，景区还在原址旁建造了夏季馆——冰雪大世界主题乐园，每到夏天，游客可以在室内体验冰雪天地，同样乐趣十足。,12月23日-2月28日 11:00-22:00停止售票：21:00停止入园：​​​​​​​ 21:30,https://img1.qunarzz.com/travel/d7/1606/f8/cc6815a59e0ddf9a.jpg_480x360x95_941859e8.jpg,4.7,建议游览时间：4小时 - 5小时,11月至明年3月，冰雪大世界是哈尔滨冬季特色旅游景点。,330元,1、从冰雪大世界回市内很难坐到公交车，最好选择出租车。2、园内温度低，注意保暖。,1
伏尔加庄园Volga Manor,http://travel.qunar.com/p-oi703306-fuerjiazhuangyuan,"

地址:
哈尔滨市香坊区成高子镇民强村


电话:
0451-55156801,400-6677-188,86-451-55156801


官网:
http://www.volgamanor.com/

",伏尔加庄园位于哈尔滨近郊阿什河畔，占地60多万平方米。是以哈尔滨历史为依托，俄罗斯文化为主题的国家AAAA级文化旅游景区。庄园始终倡导“有文化才能长远，有品位才有价值”的经营理念，为游客打造文化的胜地、度假的庄园。庄园可同时容纳1000人用餐、800人住宿，为游览观光、休闲度假、展览展示、商务会议、研学旅行、婚礼庆典、户外运动等项目提供优质的服务。,全年 08:00-16:30,https://img1.qunarzz.com/travel/d2/1703/22/a33e144000914fb5.jpg_480x360x95_8309f18a.jpg,4.6,建议游览时间：12小时 - 3天,冬夏两季。,"{'伏尔加庄园门票成人票\n\n': ['¥90起'], '伏尔加庄园门票儿童票\n\n': ['¥50起'], '伏尔加庄园门票学生票\n\n': ['¥70起']}",1、庄园禁止带宠物入园。（如携带小型宠物，请到游客中心办理相关手续）；2、园区内禁止车辆行驶，可以乘坐电瓶车游园（费用自理），如入住酒店有行李、行动不便的老人及儿童，酒店将提供服务电瓶车接送出园。,1
731部队罪证遗址Unit 731 Museum,http://travel.qunar.com/p-oi7523992-731buduizuizhengyizhi,"

地址:
哈尔滨市平房区新疆大街47号(近青年大街)


电话:
0451-87108731,0451-51747773,0451-51685222


官网:
http://www.731museum.org.cn/

",位于哈尔滨南郊的731部队罪证遗址，陈列着日本侵略者当年用活人做实验的大量罪证，这里的各种实验用具、人物场景塑像、图片和证言资料，以及细菌实验室、冻伤实验室、焚尸炉等遗址都是山一般的铁证。731部队始建于1933年，在长达二十多年间，731部队用俘虏的中国军人和大量无辜的中国百姓实施人体试验，包括冻伤实验、解剖活人、毒气实验、细菌实验、压力实验等等。而如今还有很多放射性器具埋藏在中国东三省的土地上。遗址陈列馆分为室内展馆和室外遗址，室内展馆即731部队的本部大楼，大楼的中心走廊两侧墙上记录着近三千名人员名单，他们都是在细菌实验和细菌战中的受害者，这些名单都是有据可查的，包括中国人、苏联人、蒙古人和朝鲜人。其中以“特别移送”手段通过这条长廊运送到“特设监狱”而惨遭杀害的有1467人，余下的1000多人多是南方细菌战的受害者。1945年日本投降前夕，731部队败逃时还不忘继续残害中国人民，他们将染有鼠疫菌的老鼠放出，致使1946年平房地区发生了鼠疫，大批当地居民死于这场灾难。为了掩盖731部队的罪行，在他们败逃之际炸毁了这里的大部分建筑，形成了现在所看到的遗址格局。731部队是世界战争史上规模较大的细菌战部队，这里同奥斯维辛集中营并称为世界两大灭绝人寰的杀人魔窟。这里展示的不只是日本侵略者的滔天罪行，更是警示着中国人勿忘国耻。,全年 周二-周日 09:00-16:30;全年 周一 全天不开放,https://img1.qunarzz.com/travel/poi/1706/39/76e7ff78b1a4b937.jpg_480x360x95_68255a63.jpg,4.7,建议游览时间：1小时 - 2小时,,免费,,1
