名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
唐山地震遗址纪念公园Tangshan Earthquake Ruins Memorial Park,http://travel.qunar.com/p-oi706887-tangshandizhenyizhiji,"

地址:
唐山市岳各庄路19号


电话:
0315-5939728

",唐山地震遗址纪念公园于2008年4月开始兴建，2008年7月初步建成开放，总占地面积40万平方米，总投资6亿元，是一个以“纪念”为主题的地震遗址公园。公园设计充分体现“敬畏自然、关爱生命、探索科学、追忆历史”的理念，以原唐山机车车辆厂铁轨为纵轴，以纪念大道为横轴，分为地震遗址区、纪念水区、纪念林区、纪念广场等区域。其中的地震博物馆于2009年10月落成。公园内纪念广场占地3万平方米，地面由黑白相间的大理石铺成，可供上万人举行重大集会活动，是公园内供人们纪念亲人、凭吊逝者的一个重要场所。,全年 全天开放,https://img1.qunarzz.com/travel/d8/1712/fc/69503ea268ec19b5.jpg_480x360x95_accd8bb7.jpg,4.8,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
揽月湾旅游景区,http://travel.qunar.com/p-oi39640382-lanyuewanlu:youjingqu,,曹妃甸揽月湾旅游景区海滩面积不算大，但整体环境非常干净又舒服、有秋千、草棚、热气理求、椰子树、氛围感到位，旁边还有适合小孩子玩的小乐园，超级适合周末和朋友或家人来野餐。园区内还有星空餐厅，主要是汉堡，薯条这些小食，面朝大海，环境超级棒。,,,0.0,,,,,1
月岛Yuetuo Island,http://travel.qunar.com/p-oi701695-yuedao,"

地址:
唐山市乐亭县三贝明珠码头


电话:
0315-7119022

",月坨岛位于唐山市乐亭县西南侧的渤海湾中，是一处沙质的海岛，因为形状像一弯月亮而得名。岛上沙丘松软，滩缓潮平，海鸥在蓝天飞翔，景色优美，堪称北京周边的小马尔代夫。月坨岛的环境比较原始，灌木丛生，有可以游泳的海岸线。每到春夏有野花开放，在岛上悠闲漫步，观赏海景，十分惬意。岛上还修建了许多荷兰风情的小木屋和彩色的别墅，小木屋都建在水上，是一道亮丽的景观，游客在岛上住宿也都是住在小木屋和别墅中。月坨岛上还有租自行车游玩、电瓶车等，可以环岛骑行，欣赏蓝天大海。,9:00-16:30,https://img1.qunarzz.com/travel/d7/1612/aa/96357958ea8b29b5.jpg_480x360x95_370c7f90.jpg,4.2,建议游览时间：3天 - 6天,"9-11月。秋季最佳。受季风气候影响，冬季南北温差很大，夏季普遍高温，这里的秋季最宜人。唐山金石旅游，月坨岛海景别墅和木屋预订推出全国免费订房、导服和投诉电话400-000-4620,也可人工预订0315-4626543！欢迎游客和同行社来电咨询游览！认准官方网站www.jinshilvyou.com避免不必要的损失！月坨岛上目前仅有海景别墅和海上木屋两种，别墅有天然地热温泉做自来水有空调套间，木屋有暖气，旺季会满员请提前预定，如有无法预定的可以住在海边岸上宾馆客房，咨询热线13933388992 13785558997唐山金石旅游，金石旅行社。四季皆宜。",168元,月坨岛内的海上小木屋为国内独有，有兴趣者不妨一试，旺季价格在周一至周五每晚180-240元，周末每晚400元。屋内条件较为简陋，只有榻榻米和照明灯，夏秋季蚊虫较多。,1
菩提岛Puti Island,http://travel.qunar.com/p-oi702643-putidao,"

地址:
唐山市乐亭县西南渤海湾


电话:
0315-7119022

",菩提岛位于乐亭县渤海之滨，全岛面积2.1平方公里（3133亩），是华北“第一”大岛，也是距离北京近的大型生态海岛。菩提岛几近封闭的自然环境，从未遭到人为的干扰与破坏，生态景观与海岛风情相应成趣，塑造出渤海湾品味独特的旅游胜地，菩提岛上自然景观奇美，人文景观秀丽，是省级生态旅游示范区，素有“古、幽、奇、野、闲”之称。,8:30-17:00,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1562439716573100215000000ylh9mB684_D_640_10000.jpg_480x360x95_3c0f1896.jpg,4.2,建议游览时间：4小时,春秋季节和夏季是游玩的最佳时机。,100元,,1
金沙岛Jinsha Island,http://travel.qunar.com/p-oi712318-jinshadao,"

地址:
唐山市乐亭县浅水湾浴场西

",金沙岛原名打网岗，位于乐亭县西南渤海中，是一座由11个断续相接的沙坝组成的弧形沙岛。全长13.5公里，宽处250米，面积3.25平方公里，好像一艘巨轮抛锚在波涛之中，又似一头巨鲸俯在水面。传说八仙过海时隔不韩汀子撒汛花篮，天壤化为打网岗，并引出凤凰飞来观潮的故事。凤凰不落无宝之地，于是有人在落凤坡窟宝不止踞的是至今，也没人能把宝挖走。,8:00-18:00。,https://img1.qunarzz.com/travel/d7/1801/7f/c8c02a69182458b5.jpg_480x360x95_bf95a350.jpg,4.3,建议游览时间：12小时 - 3天,春秋季和夏季都是游玩的最佳时机。,60元,,1
滦州古城Luanzhou Ancient City,http://travel.qunar.com/p-oi7475095-luanzhougucheng,"

地址:
唐山市滦县滦州古城东城门


电话:
0315-7386204

",滦州古城位于唐山市滦县滦州镇，是华北一带有名的古城景区。如今的滦州古城是在原址上重建而来，古色古香，景色优雅，是拍照观景的好去处。古城内店铺和活动都很多，非常热闹，游客来此可以漫步古香街巷、逛特色小店、品尝美食、观看表演，游玩内容丰富。滦州古城面积不大，从入口的东城门到西侧的大牌坊，长约1公里，宽约几百米。来到古城后步行即可，大约半天时间为宜。游玩古城可以绕着城内的水道-青龙河漫步，可以遍览古城美景，古城内有电瓶车可以代步，电瓶车为私人运营，价格需要提前问好。也可以乘船环游，上船的地点位于古城东门旁的紫金塔处。来到滦州古城游玩，首先便是品味古城内漂亮的访古建筑。古城重建时建筑都是按照北方的古民居形式，又有水路相通，风光雅致，在古城内漫步拍照非常合适。古城正门处雄伟的东大门、别致院落关帝庙、高耸的标志紫金塔、较高规格的“夷齐故里”大牌坊，都是游人拍照的热门地带。除了欣赏建筑外，漫游古城内的小店铺也是游人的乐趣之一。在古城内有很多特色的店铺，其中包括韩国一条街、泰国商品店、藏族商品店、大理风情店、木艺陶艺店等多个种类，大多文艺有特色，都可以一一漫游。另外，在城内还有皮影博物馆等，可以了解古老艺术，观看皮影戏。在古城内的水道青龙河旁，则是很多民族风情特色酒吧、茶吧、咖啡厅等，适合在此放松观景，度过悠闲惬意的时光。古城内的众多美食也是吸引很多游客的原因，滦州古城内既有美味的当地特色食品，也汇聚来自全国各地的小吃和饭店。本地特色的有东路花生、滦州蜜瓜、滦河红鲤、郝家火烧等，古城内都有店铺可以吃到。外地风格的餐饮也非常丰富，其中有海鲜街、小吃烧烤一条街等食品街，还有北京特色的东来顺、安徽风味的风波庄、东北菜色的金圣仙酒楼等等各地特色的饭店，可以根据个人口味进行选择。需要注意的是，这里的用餐价格会比其他地方稍微贵一些，不过餐厅环境大多古朴优雅，值得前去体验。另外，古城内的众多特色表演活动也是景区的一大亮点。滦州古城自古就是评剧之乡、皮影之乡等，还有契丹、鲜卑等很多民族的影响，文化丰富。古今的古城内经常举办各种活动，每到节假日、旺季期间，都会有评剧、祭火大典、太极拳、东北二人转、冀北传统秧歌等众多节目的表演，都可以前去观看。古城内还经常会举办长时期的灯会等节日，每到旺季的夜晚时几乎都会亮灯，把古城装点的红火热闹，古塔灯火通明，也是拍摄夜景的好地方。很多从唐山、北京等地出发的游客到古城游玩都会当天返回，不过若深度游玩或喜欢摄影、休闲的游客也会在古城住宿一晚。城内有半日闲居、云之南、邂逅等几家古色古香的客栈，环境优雅，可以预定。,全天开放；景区内各景点开放时间不一，详情可电话咨询。,https://img1.qunarzz.com/travel/d5/1507/18/e1bf3a84c85d8d.jpg_480x360x95_d6a43151.jpg,4.2,建议游览时间：3小时 - 4小时,秋季最佳。受季风气候影响，冬季南北温差很大，夏季普遍高温，春天气温回升慢。,{'滦州古城皮影艺术坊票成人票\n\n': ['¥40起']},,1
运河唐人街不夜城Canal Chinatown Ever Bright City,http://travel.qunar.com/p-oi10007015-yunhetangrenjiebuyecheng,"

地址:
唐山市丰南区胥各庄镇运河唐人街

",唐人街不夜城位于唐山市丰南区惠丰湖南侧、唐津运河两岸，全长近1000米。建筑外形仿明清古建筑，结合现代功能，将唐山传统的戏曲文化、茶文化和饮食文化融入其中，是休闲娱乐、购物为主的大型原始复古商业街，吸引着全国各地的人流，聚集人气，以景繁商。,全年 全天开放,https://img1.qunarzz.com/travel/poi/1712/67/fbb68891c0a07737.jpg_480x360x95_c81282f6.jpg,4.6,建议游览时间：2小时,,具体收费情况以现场公示为主,,1
清东陵Eastern Qing Tombs,http://travel.qunar.com/p-oi712119-qingdongling,"

地址:
唐山市遵化市六盘营村清东陵支线


电话:
0315-6940888


官网:
http://www.qingdongling.com/

",清东陵是清朝的帝王后妃陵墓群，位于遵化市西北部的昌瑞山下，离遵化市区约30公里，是中国现存规模较大、体系较为完整的皇陵建筑群，被列入了世界文化遗产名录。这里埋葬着顺治、康熙、乾隆、咸丰、同治皇帝及慈禧太后、香妃等共161人。传闻当年顺治皇帝到这一带打猎被其灵山秀水所震撼，后来在这块宝地建成了气势恢宏的清东陵。但清朝灭亡后曾发生过盗宝案，清东陵内的大量珍宝已经不知去向，因此能看到的文物并不多。整个清东陵以孝陵为中心，各陵园由宫墙、隆恩殿、配殿、方城明楼及宝顶（大坟头）等建筑构成，其中方城明楼是这里较高的建筑物，里面有用汉、满、蒙三种文字刻着墓主谧号的石碑。参观清东陵，可以欣赏到大量的建筑精品，各陵墓的装饰、雕刻风格不同，都代表了当时较高的建筑水准。在景区内可乘坐观光车参观游览，观光车沿着主神道行驶，车上有导游讲解，在石牌坊、大碑楼、石像生、七孔桥等站点会停靠，你可以下车参观，待游客再上车后继续前行。车子开到二车场中转站后，讲解就结束了，然后下车步行参观慈禧陵、裕妃园寝、裕陵、展览馆等景点。参观好再回到中转站坐车前往孝陵、景陵、二郎庙等景点，游玩结束后观光车会送你返回大门口的游客服务中心。进入景区后先看到的是建在大红门外东侧的昭西陵，然后就是6000多米长的孝陵主神道，随着山势起伏，极其壮阔，两旁是雕刻精致的人物、动物石像。神道的起点有一座很宽的石牌坊，仿木的结构巧夺天工。来到慈禧陵、慈安陵，看起来是并排的两座外形相同的陵寝，但慈禧陵却富丽堂皇得多，并有着清代后陵中罕见的地宫，不过贴金的内壁、石柱遭到了极大的破坏。你可以留意一下殿前台阶上“凤在上龙在下”的浮雕，惟妙惟肖十分精美。再到裕妃园寝，是葬乾隆妃子的地方，有名的香妃（即容妃）和死后被贬的乌喇那拉皇后就葬于此。这位香妃就是电视剧《还珠格格》中香妃的原型，在此你可以看到她的复原画像。继续往东就是乾隆的裕陵，是清东陵中规模较大、较为华美精致的陵园。尤其地宫不得不看，从首道石门往里走，会看到墙上布满了精致的佛教题材雕刻，如八大菩萨、藏文、梵文佛经等，非常震撼，一定要好好欣赏一番。之后坐观光车去看孝陵，这是清东陵中少有的没被盗的陵墓，不过地宫是不开放的。这里有穿古装表演祭祀大典的节目，但不看表演的话不能进孝陵正门。再往东去还可以参观康熙的景陵、二郎神庙。,4/1-10/31 08:30-17:30,https://img1.qunarzz.com/travel/d2/1604/c0/9b573ccfcdfbb4f7.jpg_480x360x95_712ff095.jpg,4.6,建议游览时间：3小时 - 5小时,,"{'清东陵门票+电瓶车门票优待票\n\n': ['¥82起'], '清东陵门票+观光车票成人票\n\n': ['¥105.2起'], '清东陵门票+观光车票优待票\n\n': ['¥82起']}","1. 由于清东陵离市区较远，最好结伴出游，并携带食物和水。2. 景区提供讲解服务，参考价：1-10人150元，11-15人180元，16-20人200元。注意事项1、最好不要单独旅游,有不同年龄层次结伴较好,以便互相照 应。老年人参加配备有保健医生的团队旅游更为合适。2、衣着要轻便,同时注意保暖,气温变化要及时更换,避免着 凉、感冒等。旅游鞋要适足、轻软、透气、不易打滑。3、进食要注意清洁卫生,容易消化,不吃生冷不洁所谓土特产和 可有引起中毒的动植物,如河豚鱼、野蘑菇等。不要过饱过饥,饮酒要适度。4、睡眠要充足,避免过度劳累。5、选择旅游景点要适合自己的健康状况。老人宜舍远求近,不 宜长途跋涉和爬较陡的高山,途中也宜多歇息。天气宜风和日丽,不要顶烈日和淋雨,不要因景点过多而疲于奔命,而要宽松、悠闲一些。6、注意自己的疾病,并带足常用的药物并按时服用。冠心病者 应备急救盒。可随带防晕车船药、抗感冒药、腹泻药、伤筋膏和酒精棉球等。",1
潘家口水下长城Panjiakou Underwater Great Wall,http://travel.qunar.com/p-oi701950-panjiakoushuixiazhang,,,,,,,,,,1
唐山抗震纪念馆Earthquake Memorial Hall,http://travel.qunar.com/p-oi710821-tangshankangzhenjinian,"

地址:
唐山市路南区新华东道102号


电话:
0315-5265530,0315-2815873

",唐山抗震纪念馆位于河北省唐山市中心的抗震纪念碑广场，始建于1986年，原名“唐山地震资料陈列馆”，1996年进行了改扩建，更名为“唐山抗震纪念馆”，2006年纪念唐山地震三十周年之际又进行了大规模的调展改造，现有固定陈列为《唐山成就展览》。三组巨幅铜制浮雕展示了唐山的过去、现在、未来；大型地台模型直观地展示了唐山的地形、地貌及行政区划；地震科普电影给观众身临其境感觉的同时又了解了地震科普知识；展览共由序及9个部分组成，一方面以突出重点、体现特点、展现亮点为原则，充分展示了震后34年，特别是近10年来，唐山人民弘扬抗震精神，建设繁荣美好新唐山所取得的辉煌成就。另一方面以实事求是、尊重历史、相信科学为原则，充分挖掘历史资料，加大了历史沿革、抗震救灾、防震减灾的展出内容。展览充分体现了回顾创业历程，告慰罹难同胞，追忆八方恩情，教育后世子孙，激励全市人民为建设经济发展、社会和谐的新唐山而努力奋斗的主题思想。                                                     ,全年 周二-周日 09:00-17:00;全年 周一 全天不开放,https://img1.qunarzz.com/travel/d7/1610/2a/51a31ed2b73514b5.jpg_480x360x95_cdeabd1c.jpg,4.6,建议游览时间：2小时,,具体收费情况以现场公示为主,,1
