名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
商丘古城景区Shangqiu Ancient City Scenic Area,http://travel.qunar.com/p-oi10005576-shangqiuguchengjingqu,,,,,,,,,,1
张巡祠Zhang Xun Ancestral Hall,http://travel.qunar.com/p-oi705520-zhangxunci,"

地址:
商丘市睢阳区中心大街


电话:
0370-6099989

",座落在商丘古城南门外，是为了纪念“安史之乱”中为保卫睢阳而殉难的英雄张巡所建。这座大殿建于1990年，占地4.07万平方米，南北长370米，东西宽100米，自南向北依次为广场区、建筑区和墓葬园林区三部分，整个建筑气势恢宏，大气磅礴，是中原地区大的仿唐式建筑。背景：张巡（709——757年），河南人，玄宗开元末年中进士第三名，唐至德二年（公元757年）正月，安史叛军13万由尹子奇率领攻打睢阳城，当时的睢阳城是南北交通要塞，军事咽喉之地，叛军企图踏平睢阳，夺取江淮富庶之地，...座落在商丘古城南门外，是为了纪念“安史之乱”中为保卫睢阳而殉难的英雄张巡所建。这座大殿建于1990年，占地4.07万平方米，南北长370米，东西宽100米，自南向北依次为广场区、建筑区和墓葬园林区三部分，整个建筑气势恢宏，大气磅礴，是中原地区大的仿唐式建筑。背景：张巡（709——757年），河南人，玄宗开元末年中进士第三名，唐至德二年（公元757年）正月，安史叛军13万由尹子奇率领攻打睢阳城，当时的睢阳城是南北交通要塞，军事咽喉之地，叛军企图踏平睢阳，夺取江淮富庶之地，在这危急存亡关键时刻，张巡挺力而出，率领仅有的6800名将士抵抗13万叛军，展开了一场惊天地泣鬼神的睢阳保卫城。后虽然由于众寡悬殊，粮尽援绝而失败，但它却有力地遏止了叛军南下，保住了大唐半壁江山和江淮丰厚的财源，为大唐王朝反攻赢得了宝贵的时间和物质保障。唐朝大诗人韩愈在评价睢阳保卫战时就说“无睢阳即无江淮，无睢阳即无大唐”，可见其重要性，文天祥的一句“骂贼张巡，爱君许远，留取声名万古香”的诗句更是留传千古。由于张巡坚守睢阳有功，他死后，朝廷诏赠他为杨州大都督。宋朝大观（1107——1110年）年间，赐爵侯，谥忠烈。张巡、许远历来受人崇敬，自唐代以来，睢阳人民多次建庙、祠纪念二人的功绩。江浙及台湾就有张巡的崇拜者700多万人，张巡庙1千多座。,全年 全天开放,https://img1.qunarzz.com/travel/d8/1702/57/0c3cfff74ea2adb5.jpg_480x360x95_1500f890.jpg,3.9,建议游览时间：1小时,,景区联票100元,,1
壮悔堂Zhuanghui Hall,http://travel.qunar.com/p-oi713002-zhuanghuitang,"

地址:
商丘市睢阳区商丘古城北门内


电话:
0370-3310695,0370-3313605

",位于商丘古城北门内，为明末清初才子侯方域壮年著书处，是一明三暗、前出后包、上下两层的硬山式建筑。这里制作有三组共12个蜡像，有侯方域和常氏夫人、香君拂琴、雪苑论事等场景。并有从民间收藏的近百余件古式家具、陶瓷器具陈列其间。另重修侯方域父亲、明代户部尚书侯恂的故居，从民间征集了大批珍贵古物。背景：侯方域（1618--1655年），字朝宗，号雪苑，商丘人。出身于官宦世家，祖父侯执蒲为明朝太常侍卿，父侯恂为明未户部尚书，叔父侯恪为明南京国子监祭酒。候执蒲、侯恂、侯恪都是当时进步的东林党首领，与魏忠贤的阉党势不两立。侯方域受其先辈的教育和影响，参加了进步的爱国团体复社，与魏志贤的余党又展开了积极的斗争。秦淮名伎李香君对侯方域倾心相爱，并支持他揭露和抨击阉党。侯方域与李香君的爱情故事，被清代戏剧家孔尚任编成名剧《桃花扇》，该剧除被多种剧种上演外，还搬上了银幕和荧屏，影响颇大，成为中国戏剧史上的一块丰碑。明朝灭亡后，三十五岁的侯方城回到归德老家。回想起自己遭遇坎坷，事业一无所成，悔恨不已，遂急构一室，命名为壮悔堂，意为壮年悔恨，并发誓终生不仕。他在壮悔堂致力于研究学问，创作诗文。在这里完成了他的《壮悔堂文集》和《四忆堂书集》两部文著。三十七岁时，因悲愤国事和思念香君，不幸染病于清顺治十一年十二月十三日身亡。,全年 8:00-18:00,https://img1.qunarzz.com/piao/fusion/1902/a3/9a57034cd1484e02.jpg_480x360x95_528e9b79.jpg,3.7,建议游览时间：1小时,,20元,,1
八关斋Baguanzhai,http://travel.qunar.com/p-oi710787-baguanzhai,"

地址:
商丘市睢阳区207省道旁，商丘古城南门外500米处


电话:
0370-3310912

",八关斋位于商丘古城南门外的古宋河畔，“月下老人”、“千里姻缘一线牵”的故事就发生在这里。“八关斋”是佛教用语，是指男女信徒在这一昼夜中所遵守的不杀生、不偷盗，不邪淫，不妄语，不饮酒，不眠座高广华丽床座，不涂施香曼及歌舞观听，不吃荤。这八条戒律，实际上就是“八戒”。八关斋内有一座八棱石幢，高3.2米，每面宽0.5米，上面有著名书法家颜真卿晚年撰写的《唐宋州八关斋会报德记》以报河南节度使田神功两解宋州之围，整个石碑上共983字；结构谨严，体方笔圆，端庄雄伟，行笔兼篆隶笔意，被誉为颜书中的精品和神品。,夏令8:00-17:30，冬令8:00-17:00,https://img1.qunarzz.com/piao/fusion/1710/cf/0d5161a686c6202.jpg_480x360x95_52259739.jpg,3.9,建议游览时间：1小时 - 2小时,,10元,,1
阏伯台Yanbotai,http://travel.qunar.com/p-oi713756-yanbotai,"

地址:
商丘市睢阳区平原路与华商大道西段交叉口东北角


电话:
0370-3283807,0370-3283806

",阏伯台又叫火星台、火神台，位于商丘古城西南1.5公里处。现存阏伯台如墓状，高35米，周长270米，夯土筑成。层层夯土中夹杂不少汉代的瓦片与陶片，可能是汉代所筑。原来的阏伯台因黄河泥沙多次淤积，隐于现存台下。阏伯台是我国现存较早的观星台，距今4000多年历史。阏伯台下的土丘即阏伯始封之商丘。商丘地名即由此而来。阏伯台在一望无际的大平原上，更显得高大突兀。此台为古代商丘都城一带的高点，再加之古人认为阏伯台的精气上应商星，所以，自古以来，人们都把阏伯台看作是商丘的象征。景区现有燧人氏陵、阏伯台、开元寺、花戏楼、植物园、玉皇宫、酆都城、商祖殿、月老宫等主要景点。据史书载和民间传说，上古时，帝喾之子契在此为火正，一是管理火种，以便人们可以随时取到火（因此后人又称他为火神）。二是祭祀火星并观察火星的运行，以便及时地告知人们防灾避祸并适时地播种收割。久而久之，观察火星与太岁星之间的关系、位置的火正契就被称为“阏伯”。契死后，人们就在他生前观察火星的高地上葬之，后人称之为阏伯台或火星台或火神台。每年阴历正月初一至二月初二的古朝物交大会，吸引豫、鲁、苏、皖、冀等省上百万人来此朝台；“五一”黄金周举办中国商丘燧皇圣火节；“十一”黄金周举办“商文化”节，火星台为商业的发源地，阏伯为商人的祖先。,全年 08:30-17:30,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/06fa239c-39ca-4413-a64d-85dc025e87d0.jpg,4.3,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
归德府文庙Should's ancestral hall,http://travel.qunar.com/p-oi7527492-guidefuwenmiao,,归德府文庙位于商丘市睢阳区，坐落在商丘古城内，是河南省现存规模最大的文庙建筑，始建于明嘉靖三十四年至三十八年（公元1555年至1559年），距今已有近500年的历史。孔子周游列国时，曾在此讲学，后人为纪念孔子，就在此修建了文庙。归德府文庙位于商丘市第二高级中学老校区院内，前有畔池，并立有范仲淹的塑像。与全国其他各地文庙前殿后学（堂）布局不同的是，归德府文庙是唯一一座学堂建在大殿右侧的文庙，形成了左殿右学的独特建筑格局。归德府文庙大成殿不仅具有豫东建筑的特点...归德府文庙位于商丘市睢阳区，坐落在商丘古城内，是河南省现存规模最大的文庙建筑，始建于明嘉靖三十四年至三十八年（公元1555年至1559年），距今已有近500年的历史。孔子周游列国时，曾在此讲学，后人为纪念孔子，就在此修建了文庙。归德府文庙位于商丘市第二高级中学老校区院内，前有畔池，并立有范仲淹的塑像。与全国其他各地文庙前殿后学（堂）布局不同的是，归德府文庙是唯一一座学堂建在大殿右侧的文庙，形成了左殿右学的独特建筑格局。归德府文庙大成殿不仅具有豫东建筑的特点，同时也吸收了徽派建筑的精华，独具特色。,,https://img1.qunarzz.com/travel/d7/1505/29/ab56cb6490e922.jpg_480x360x95_f5ade2c7.jpg,4.0,建议游览时间：0.5小时,,,,1
应天书院Yingtian Academy,http://travel.qunar.com/p-oi7527488-yingtianshuyuan,"

地址:
商丘市睢阳区商丘古城南湖畔


电话:
0370-6099989,


官网:
http://www.yingtianshuyuan.com/

",商丘市的应天书院，与嵩阳书院、岳麓书院、白鹿洞书院并称为中国古代四大书院。应天书院为五代后晋时的商丘人杨悫所开办。范仲淹来应天书院求学、后娶妻生子，在商丘落户，并担任应天书院掌学主教。宋仁宗时，又于1043年将应天书院这一府学改为南京国子监，使之成为北宋的高学府之一，相当于现在的社会科学院。应天书院屡遭拆毁，明正德六年迁城，应天书院也迁往今地——城内中山东二街路北。现存有大成殿、明伦堂、月芽池等建筑。原大成殿内立有孔子和其弟子的牌位，明伦堂为学堂，这...商丘市的应天书院，与嵩阳书院、岳麓书院、白鹿洞书院并称为中国古代四大书院。应天书院为五代后晋时的商丘人杨悫所开办。范仲淹来应天书院求学、后娶妻生子，在商丘落户，并担任应天书院掌学主教。宋仁宗时，又于1043年将应天书院这一府学改为南京国子监，使之成为北宋的高学府之一，相当于现在的社会科学院。应天书院屡遭拆毁，明正德六年迁城，应天书院也迁往今地——城内中山东二街路北。现存有大成殿、明伦堂、月芽池等建筑。原大成殿内立有孔子和其弟子的牌位，明伦堂为学堂，这两座建筑均为歇山式建筑。大成殿为祭孔之地，明伦堂为应试地。,全年 9:00-17:30,https://img1.qunarzz.com/travel/d2/1505/a1/5b4fecb79140e5.jpg_480x360x95_3f8c09a1.jpg,3.8,建议游览时间：1小时,,免费,,1
芒砀山Mount Mangdang,http://travel.qunar.com/p-oi715640-mangdangshan,"

地址:
河南省商丘市永城市芒山镇芒砀山景区


电话:
0370-5970777,0370-5970222


官网:
http://www.mangshan.net/

","芒砀山旅游区，是国家AAAAA级旅游景区、中国汉文化研究基地、国家港澳青少年内地游学基地、全国重点文物保护单位、国家级服务业标准化试点单位、河南省研学旅游示范基地、五钻级智慧景区。位于豫、鲁、苏、皖四省结合部的河南省商丘市永城市芒山镇，芒砀山旅游区交通便捷，地理位置优越，连霍高速与德上高速穿境而过，高速出入口距离景区1.5公里,郑徐高铁永城北站距离景区仅10分钟车程。芒砀山旅游区是集山水观光、文化观赏、生态休闲于一体的综合性旅游景区，面积为14平方公里，群峰争秀，风光旖旎，历史厚重，文化神秘。这里有世界上规模最大的地下西汉梁王陵墓群——汉梁王陵景区、汉高祖刘邦斩蛇处、大汉雄风景区、芒砀山地质公园、陈胜园景区、夫子山景区、僖山地质公园等主要景点。西汉梁王陵内出土的国宝级文物“四神云气图彩绘壁画”、“金缕玉衣”等中华瑰宝交相生辉。芒砀山旅游区文化内涵厚重，人文景观遍布，作为大汉王朝的起始地，芒砀山曾是西汉三百里梁园最精华的部分。十三连峰的地表景致与地下宫殿的人文遗存，共同构成了芒砀旅游由自然风光到人文历史的立体图样。放眼可赏，碰触怀思。2000多年的光阴凝结于此，几代王者的故事化为史册中的传奇。在一砖一瓦，一石一当之间一个鲜活的时代跃然其上，每次走近，都会有新的发现和新的感悟，值得每一个生长于斯的人们反复揣摩，持久打问。那山、那水、那流岚、那暮色，那朝晖像一出出天地大剧，与时幻变，四季不同，时而是一幅水墨，时而是一幅水粉，又时而是一幅油画和木版画。时光研磨出的风光之美如此美轮美奂，令人流连，值得每一个人用365日去赏析，去发现。春秋时期孔子周游列国在此避雨晒书的夫子崖是全国唯一以“孔夫子”之名命名的山峰：中国历史上第一位农民起义领袖陈胜王陵坐落旅游区内；为纪念高祖刘邦斩蛇起义而立的石碑夜晚用灯光直射即可看到高祖的灵光幻影，被誉为“天下第一奇观”；令人叹为观止和具有极高考古与观览价值的汉梁孝王王后陵被誉为“天下第一石室王陵”；二十余座西汉梁国王室地宫群，数量之多，规模之大、价值之高、分布之集中，可谓世界罕见，全国独一无二。被誉为“天下第一石室王陵”的梁孝王王后陵，是西汉梁国梁孝王刘武夫人李王后的地宫，总面积1600多平方米，由东宫、西宫及34间贮藏室组成，犹如庞大的地下宫殿，其年代早于北京十三陵1300年之久，规模大于定陵近两倍。地宫内的汉代坐便、冰窖、壁柜、排水等设备构筑精妙，设置超前，极为罕见。游客观游至此往往会引发一片惊呼，并深为古人非凡的智慧和民族深厚的文化所折服。梁共王刘买陵内遗存的《四神云气图》，早于敦煌壁画630余年，被国内外考古专家赞誉为“敦煌前之敦煌、敦煌外之敦煌”。僖山汉墓出土的金缕玉衣，作为“国之瑰宝”先后赴美国、日本、新加坡各国巡回展出，为古老悠久的中原文化增光添彩。汉高祖刘邦于芒砀山斩蛇起义，不仅成就了大汉江山，也开创了大汉民族的灿烂文明，经过他的开创以及其后世的进一步开拓发展，汉族逐渐成为了中华民族主体的族名，汉人成为中国人的代称，汉语成为中国语言的代称，汉字成为中国文字的代称、汉学也成为研究中国文化的代称。汉族、汉语、汉人、汉学自此而兴，芒砀山被专家论证为“汉兴之地”。 ",3/11-10/31 08:30-18:00;11/1-3/10 08:30-17:00,https://img1.qunarzz.com/travel/d3/1411/f9/f932f58bdd4a8f89213a9cdb.jpg_480x360x95_bcd9b8a1.jpg,4.4,建议游览时间：12小时 - 3天,商丘位于河南山东江苏安徽四省交界处，属于暖温带大陆性季风型气候，四季分明，光照充足，气候温和，雨量适中。    主要特点是春季温暖大风多，夏季炎热雨集中，秋季凉爽日照长，冬季寒冷少雨雪，年平均气温在13．9℃-14．3℃之间，年平均日照时数为2204．4-2427．6小时，无霜期平均为207-214天之间。    夏冬两季温度不适宜外出，最佳旅游时间当是春秋两季。,"{'芒砀山刘邦斩蛇处门票优待票\n\n': ['¥15起'], '芒砀山刘邦斩蛇处门票成人票\n\n': ['¥30起'], '芒砀山旅游区电子讲解票大小同价\n\n': ['¥0.5起']}",,1
燧皇陵Suihuangling,http://travel.qunar.com/p-oi7527494-suihuangling,"

地址:
商丘市睢阳区


电话:
3283806

",燧皇陵又名燧人氏陵园，是上古时期发明钻木取火的燧人氏的墓园，位于商丘古城西南三里处。据《归德府志》、《韩非子》、《左传》、《三皇五帝时代》等典籍记载：“燧皇陵在阏伯台西北”。据专家考证，燧人氏为天下第一人，是中华民族的始祖。燧人氏立方牙、观天象，确立了中华第一姓——“风姓”，研究制定了中国第一部历法，确立了商丘为天地之中，在商丘建立了中华第一都。由于他贡献巨大，被后人尊为“天皇”，位列“三皇”之首。商丘是火的诞生地，历史上多次在此取火，值得骄傲的是我们与北京、南京并列为全国十运会三个取火点之一。,全年 8:00-18:30,https://img1.qunarzz.com/piao/fusion/1710/8c/ffb06145af1ffb02.jpg_480x360x95_fb35c691.jpg,3.8,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
睢县北湖,http://travel.qunar.com/p-oi707708-suixianbeihu,"

地址:
河南省商丘市睢县城北，北距连霍高速民权、睢县出口12公里

",,全天,https://img1.qunarzz.com/travel/poi/1610/d1/6c7e4bd7ae7e8b37.jpg_480x360x95_de21ed94.jpg,4.8,,,免费,,1
