名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
金丝峡景区Jinsi Canyon Scenic Area,http://travel.qunar.com/p-oi714743-jinsixiajingqu,"

地址:
商洛市商南县太吉河镇金丝峡景区


电话:
0914-6566888,0914-8037333,0914-6324666


官网:
http://www.sxjsx.cn/

",金丝大峡谷国家森林公园，位于商洛市商南县境内，地处秦岭南麓连接巴山北坡。大峡谷由白龙峡、青龙峡、黑龙峡和石燕寨四部分组成，景区内河流密布、森林茂密、野生动物、植物繁多，原始生态保存的非常好，是一个天然的大氧吧，都市人放松休闲的好地方。,全年 07:30-16:30;全年 07:00-16:00,https://img1.qunarzz.com/travel/d1/1608/e4/cea13f2dae3ca6b5.jpg_480x360x95_f860dd70.jpg,4.5,建议游览时间：3天,春夏秋三季,"{'金丝峡景区门票成人票\n\n': ['¥95起'], '金丝峡景区门票优待票\n\n': ['¥48起'], '金丝峡景区门票+金丝峡景区单程索道票成人票\n\n': ['¥150起']}",TIPS：1、 从西安过去，纺织城、火车站都有直达的大巴，到金丝峡镇大概需要3个小时，全程高速。2、 景区有两个门，北门和南门。想下山就从北门开始玩，想上山就从南门开始玩。3、有两个地方可以坐竹筏，下面的5块钱一个人，上面10块，不限时，可以划到小瀑布附近去照相。,1
凤凰镇Phoenix Town,http://travel.qunar.com/p-oi9555788-fenghuangzhen,"

地址:
商洛市柞水县东南部凤凰镇


电话:
0914-4261955

",凤凰镇地处秦岭南坡，依山傍水，社川河、皂河、水滴沟河三水交汇于此，形成三角洲。唐宋时名“三岔河口”，元代称“社川河乡都”，明成化十五年后（公元1479年）称“社川里”、“上孟里”，清嘉庆年间改名为“凤凰嘴”，1941年更名为“凤凰镇”至今。凤凰镇老街弯曲的街道和两边遍布的明清老房是这里的显著特点，在这里传统的手工造纸和锻造依旧沿袭着往日的格局。在这条东西两千多米长的古镇上至今仍完好保留着60多座明清时期的民居。沿主街有一条石板覆盖的小溪，另有一条与之垂直的小溪穿镇而过，形成十字形水系。老街两旁靠街全是铺面，铺面后面是住宅。临街大门一般用结实耐磨的核桃木或漆木板做成，用土漆油染，明净光亮；门墩为石雕花卉。凤凰镇的木构民居比较小巧，设计精致合理，防雨防潮防火性能良好，比起北方传统民居多了不少南方民居的特色。走在凤凰镇老街上，你会明显感受老街上的建筑与关中民居的不同。从外观上看，它更像徽州民居，粉墙青瓦，屋脊两旁均有装饰，正中为莲花或梅花，两边有兽脊或龙头。房屋很多都是三进三开，三个院子逐层升高。这样的设计更适合多余的陕南，方便排水。凤凰镇有多家榨蚕丝作坊，这里的丝织品是用当地的榨蚕丝做成的。铁匠铺这一古老的行业也依然保留着。,全年 全天开放,https://img1.qunarzz.com/travel/poi/1701/6b/1c1cdb10b6475437.jpg_480x360x95_b2575893.jpg,3.3,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
漫川关Manchuanguan,http://travel.qunar.com/p-oi710568-manchuanguan,"

地址:
商洛市山阳县


电话:
0914-8564559

",古镇漫川关位于商洛山阳县东南边睡70公里的漫川镇，地处金钱河与靳家河之汇合处，以地貌广大水域宽阔而得名。漫川关昔为秦楚之边界，历代均于此设防，现在为陕鄂之边。漫川关历史悠久。春秋时为蛮子国；战国时，楚至方城经此通过，秦楚分界碑今还尚在；南宋时，这里是宋金双方反复争夺的迂回战场；明清两代，这里水运发达，当时兴建的船帮会馆、湖北会馆、武昌会馆、骡帮会馆，武圣宫等建筑物今被列为保护文物。在漫川镇前店子村的土地岭下，山中有“千佛洞”，建于武周永昌年间，现存222尊佛像。漫川关依山傍水，群山环绕，东有崔嵬的龙山，北有巍峨的鹘岭，西南有磅礴的郧岭，金钱河、靳家河穿境而过。这里气候温湿，盛产柑桔、稻米、芝麻、桐油。陇海铁路通车前，漫川为水旱码头，成为陕鄂豫蜀物资交流重要集散地之一。漫川街道长而狭窄，均用石条石块石子铺成。两旁民宅，多以木板为墙，房屋小巧玲珑，上有一层阁楼，绘画山墙，翘龙凤角，明镜悬顶，古色古香。街道日日有集，商铺颇多，一直延续着“男人下田，女人摆摊”的习俗。,全年 全天开放,https://img1.qunarzz.com/travel/d7/1610/4e/93e1d212f569deb5.jpg_480x360x95_dd758a8e.jpg,4.0,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
棣花古镇Di Flower Town,http://travel.qunar.com/p-oi9637135-dihuaguzhen,"

地址:
商洛市丹凤县


电话:
0914-3265555

",棣花古镇是贾平凹小说《秦腔》的原型实景地，清风老街就在于此，早年因盛产棣棠花而得名。,全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/80dca82ae2d0958ac5e70e5dfd344fab.jpg_480x360x95_d73f53d6.jpg,4.7,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,1
牛背梁国家森林公园Niubeiliang National Forest Park,http://travel.qunar.com/p-oi7482310-niubeiliangguojiasenlin,"

地址:
商洛市柞水县营盘镇朱家湾村


电话:
0914-4283666

",牛背梁国家森林公园，位于秦岭南坡的商洛市柞水县营盘镇，102省道直达公园门口。公园内有茂密的原始森林，清幽的潭溪瀑布，独特的峡谷风光，罕见的石林景观，以及秦岭冷杉、杜鹃林带、高山草甸和第四纪冰川遗迹所构成的特有的高山景观造。这里距离西安市区约1个多小时的车程。当游客进入幽静的森林，欣赏具有南方特色的青山绿水和自然风光，体验秦风楚韵交汇处所形成的有别与北方的语言、饮食、民居等民俗文化，感受踏上黄河、长江分水岭，站在“中华脊梁”一览华夏风光的美妙。牛背梁森林公园面积非常大，计划分为四大景区三大功能区。目前建成并对外开放的有：入口综合服务区和羚牛谷山水游憩区、六尺岭峰林景观区、牛背梁高山风光区三个景区。众多的景区中，羚牛谷景区道路平坦，适合各类人群游览，这里也是大部分游客到达游玩的区域；六尺岭景区海拔抬升较大，台阶较多，比较适合中青年人及登山爱好者。游览羚牛谷景区的线路：从售票处步行约500米到检票口，检票进入景区后，沿着步道步行，约4公里（1.5-2小时）路程，可以到达竖井服务区，沿途处处都是古树古藤、清澈的溪水和瀑布等。到达竖井服务区后，休息用餐。然后乘坐景区内交通车（需要另外购买车票），返回综合服务区（售票处），车程半个多小时。如果想玩遍森林公园内的大部分区域，大概需要两天的时间，可以住宿在红华林服务区。,3月15日——11月30 ，8:00-18:00，下午16:30停止入园。景区每年11月至次年3月份，进入森林防火期，保护森林资源与游客安全，届时将闭园停止对外开放，具体时间请以景区公告为准。,https://img1.qunarzz.com/travel/d2/1610/c7/6042c45b9ccfb8b5.jpg_480x360x95_a1d08a41.jpg,4.2,建议游览时间：3天,春夏秋三季,"{'牛背梁国家森林公园门票成人票\n\n': ['¥101起'], '牛背梁国家森林公园门票双人票\n\n': ['¥204起'], '牛背梁国家森林公园门票+上行索道票成人票\n\n': ['¥182起']}",,1
塔云山,http://travel.qunar.com/p-oi5251386-tayunshan,"

地址:
镇安县柴坪镇(近西康高速公路东坪出口)

",登塔云观奇景，绝妙处在金顶。金顶就是观音殿。这座不足6平方米的小庙，建筑十分险厄。它居于塔云山顶，三面悬于万丈深渊，是用4根石柱插入石缝，用石条铺垫立基，庙顶用黄铜铸尖。黄铜顶经阳光照耀，闪烁出万道金光，故有金顶之说。这座观音庙有4根翘角飞檐，每根翘檐各挂21斤重的铜铃一颗。铜铃随风舞动，发出有节奏的音韵，在万丈悬崖之上，听到这叮叮当当的铃声，更增添了空中楼阁的雅静。庙门首是一条石雕青龙，青龙活灵活现形欲腾飞起舞，其工艺精湛堪称一绝。庙门额横匾石刻“...登塔云观奇景，绝妙处在金顶。金顶就是观音殿。这座不足6平方米的小庙，建筑十分险厄。它居于塔云山顶，三面悬于万丈深渊，是用4根石柱插入石缝，用石条铺垫立基，庙顶用黄铜铸尖。黄铜顶经阳光照耀，闪烁出万道金光，故有金顶之说。这座观音庙有4根翘角飞檐，每根翘檐各挂21斤重的铜铃一颗。铜铃随风舞动，发出有节奏的音韵，在万丈悬崖之上，听到这叮叮当当的铃声，更增添了空中楼阁的雅静。庙门首是一条石雕青龙，青龙活灵活现形欲腾飞起舞，其工艺精湛堪称一绝。庙门额横匾石刻“塔云山”3字；石雕楹联是“树长菩提荫庇人天百岁；花开覆钵香荡世界三千”。,06：00~21：00,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/f90ebc7a72782e57cecdceed8da086db.jpg_480x360x95_0df21602.jpg,4.3,建议游览时间：4小时,,80元,,1
木王国家森林公园Muwang National Forest Park,http://travel.qunar.com/p-oi3864148-muwangguojiasenlingong,"

地址:
商洛市镇安县杨泗镇桂林村七组


电话:
0914-5289678


官网:
http://www.xn--dkr57sjlidva966b.cn/

",木王国家森林公园位于商洛市镇安县，总面积3616公顷。这里属北亚热带季风性半湿润气候区，气候温和，园内原始森林茂密，草场千亩，珍稀动植物品种繁多。木王国家森林公园以林海杜鹃和奇峰怪石景观为主，分为四海坪、双头马、茨沟三大景区和鹰嘴峰特别保护区。双头马景区以地貌奇观和林相景观为主，其中千米石瀑属奇特地质景观。四海坪景区以峡谷瀑布和植物景观为主。茨沟景区茨沟景区主要以自然景观和游憩休闲为主，十里杜鹃画廊颇负盛名。鹰嘴峰特别保护区以植物景观和自然景观为主，也是森林探险的主要区域。鹰嘴峰为木王森林公园景区之主峰，山型一如大鹏展翅，孤峰突兀亦如鹰嘴，雄伟孤傲。,全年 08:00-18:00,https://img1.qunarzz.com/p/tts6/1811/2b/31604f89db27d102.jpg_480x360x95_c7dd22ea.jpg,4.3,建议游览时间：5小时 - 6小时,,"{'木王国家森林公园门票成人票\n\n': ['¥19.9起'], '木王国家森林公园门票+观光车成人票\n\n': ['¥138起'], '木王国家森林公园电子导览服务大小同价\n\n': ['¥9起']}",,1
龙台观,http://travel.qunar.com/p-oi705719-longtaiguan,"

地址:
丹凤县铁峪铺镇花子沟村

",龙台观位于丹凤县城东30公里处的铁峪铺镇花子沟村，观的对面有一天然溶洞名为黄龙洞。洞高数丈，洞深无底，洞内钟乳奇观，如龙腾虎跃，似玉树琼阁，造型精美。山腰一股龙泉喷泻成瀑布披岩而下，为天然浴泉，游人可沐。与洞相对的峻岩峰顶有龙台观，建于清治年间，前后古建三楹，拔峰而起，高耸云天。龙台观自然景观和隽秀古刹宜人，交通方便，一直是闻者神往，游者陶醉，往者了愿的游览胜地。现为县级重点文物保护单位。,全天,,--,,,3元,,1
花石浪遗址,http://travel.qunar.com/p-oi712508-huashilangyizhi,,花石浪遗址位于陕西省洛南县城关镇东河村后花石浪山上，是两个相距约30米的旧石器时代洞穴，时代距今约50万年。这里发现早期人类牙齿化石，被命名为“洛南人牙齿化石”。南洞的发现尤为丰富，在20余平方米的洞室内及洞口附近，有多达3万件以上的石制品发现。石制品以石英和石英岩砾石为原料，主要是石核、石片与废片。石器有刮削器、尖状器与雕刻器及少量大型砍砸器。还有灰烬等早期人类生活遗迹的发现。北洞也发现少量石制品及加工石器的遗迹。哺乳动物化石包括大熊猫、犀牛、貘等20...花石浪遗址位于陕西省洛南县城关镇东河村后花石浪山上，是两个相距约30米的旧石器时代洞穴，时代距今约50万年。这里发现早期人类牙齿化石，被命名为“洛南人牙齿化石”。南洞的发现尤为丰富，在20余平方米的洞室内及洞口附近，有多达3万件以上的石制品发现。石制品以石英和石英岩砾石为原料，主要是石核、石片与废片。石器有刮削器、尖状器与雕刻器及少量大型砍砸器。还有灰烬等早期人类生活遗迹的发现。北洞也发现少量石制品及加工石器的遗迹。哺乳动物化石包括大熊猫、犀牛、貘等20多个种类。在遗址周围30公里范围内，还有70余处旧石器地点发现。花石浪遗址集中反映了早期人类在该地区的频繁活动，也为研究中国旧石器时代文化发展，特别是南北方的文化交流带来重要信息。,,,--,,,,,1
秦岭洞天福地景区Qinling Dongtian Fudi Scenic Area,http://travel.qunar.com/p-oi704618-qinlingdongtianfudijing,"

地址:
商洛市柞水县石瓮镇


电话:
0914-4329208


官网:
http://www.qldtfd.com/

",秦岭洞天福地景区位于商洛柞水县石瓮镇，地处秦岭南麓，有大小溶洞108个，是我国北方最大的溶洞群落，目前已开发出了以三洞一台为主景的风景游览区，即佛爷洞、天洞、风洞和对峰台。佛爷洞洞内有两尊高大的佛像，洞内全长900余米，分上、中、下三层。天洞因洞口直入云霄而得名，洞内钟乳玲珑剔透。风洞进出皆有奇风迎送，全长约4公里，山泉穿洞长流不息，石柱、石笋、石帷遍布；令人惊叹的是洞内常年有百鸟栖息。秦岭洞天福地景区不仅景观神奇、幽美，而且是北方少见的溶洞群，被列为陕西省十大风景名胜区之一。秦岭洞天福地景区外围山清水秀，风光秀丽，气候温润。而前往秦岭洞天福地景区所经的秦岭隧道可称亚洲第一，隧道内布置了不少景观，可顺路参观。,全年 09:00-17:00,https://img1.qunarzz.com/travel/d5/1508/86/3c51665460b349.jpg_480x360x95_71709372.jpg,4.4,建议游览时间：1小时,春夏秋。,"{'秦岭洞天福地景区门票成人票\n\n': ['¥90起'], '秦岭洞天福地景区柞水溶洞景区+古道岭景区票成人票\n\n': ['¥90起']}",,1
