名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
喀什老城Kashgar Old Town,http://travel.qunar.com/p-oi5740400-kashilaocheng,"

地址:
喀什地区喀什市亚瓦格路10号


电话:
0998-2831196

",喀什老城位于新疆，拥有几百年历史，是喀什乃至新疆有名的旅游景点之一。老城内的建筑大多充满了特色风情，街道内纵横交错，风格统一，非常适合拍照。游客漫步其中，仿佛走进了中亚的异域，感觉十分壮观。另外，喀什老城还是电影《追风筝的人》的重要取景地，来此可以寻找电影中熟悉的场景。喀什老城大致以艾提尕尔寺为主，是一片不规则形状的城区，城区的长、宽大约都有近2公里。老城内有众多街巷，可以随意漫步，沿途观光拍照，大约半天时间即可。推荐的路线是首先参观艾提尕尔寺，然后沿着恰萨路向东游览，一直到达东侧的高台民居和喀什东巴扎结束游玩。另外，很多游客来到喀什也都会住在老城内，用几天时间慢慢品味这里的历史韵味。游玩喀什老城，便是品味这里特色风情的建筑和街道。目前的老城建筑大多经过改造，房屋相对崭新完好，不过在改造时也保留了丰富的当地风情。在这里可以看到带有颜色的土墙和砖墙，有圆拱、彩色门窗等特色的装饰，十分漂亮，可以沿途拍摄。另外，如果想要体会更加原始的特色风情建筑，也可以将老城东侧河边的高台民居一并游玩。除了品味建筑外，老城街道上很多特色的店铺也是很多游客会参观的内容。老城内几乎每一条街道都有自己的主题，名叫一个个巴扎（“巴扎”指集市，维语）。其中有坎土曼巴扎（铁匠街）、朵帕巴扎（花帽街）、花盆巴扎、手工艺品巴扎、陶器巴扎等，各有特色，可以沿途观看。街上还有特色风情的茶馆，卖葡萄、馕、羊奶冰淇淋等特色小吃的摊贩，逛街时也可以吃吃逛逛，非常惬意。另外，城区内也有一些民居可以进入家访，一般这类的民居都在门口挂有说明，进入后可以参观典型的当地民居内部，不过一般也需要购买一点家里的商品。在老城的街道上，还可以看到悠闲晒太阳的大爷，嬉闹的小孩，生活气息浓厚。游玩老城时，还有几处重要的景点。如老城的艾提尕尔寺，是全国规模较大的寺庙之一。寺内建筑恢宏，每天五次礼拜的场面更是规模盛大，可以见证浓厚的宗教氛围。老城东侧的高台民居是保留下来的古老的城区，泥土房子、跨街楼等都非常独特。而东侧河对面的喀什东巴扎（即喀什中西亚国际贸易市场）则是喀什有名的商场，这里汇集了干果、丝绸制品、精油、英吉沙小刀等众多的新疆特产和手工艺品。,全年 全天开放,https://img1.qunarzz.com/travel/d9/1606/5d/9c4269b5135151f7.jpg_480x360x95_ef34a219.jpg,4.7,建议游览时间：4小时,到喀什游玩的最佳出游时间是八九月份，此时的喀什天气舒爽，也是瓜果飘香的时节。,"{'喀什老城游览区纪念馆门票成人票\n\n': ['¥29起'], '喀什老城游览区纪念馆门票老人票\n\n': ['¥25起'], '喀什老城游览区巴依老爷家门票成人票\n\n': ['¥29起']}",1、老城有售门票的地方，但不要门票的出入口却有八九个之多（比如在清真寺对面，或者毛主席塑像背后等等），有时间可以流连大半天。2、老城里的民居是允许游客进去游览的，而一般民居若家门前的两扇门都打开，则代表男主人在家；若看到只有单独的一扇门打开，则表示只有女主人在家；而要是看到大门前挂了布帘，则代表现在家中正有客人来访。3、在老城区里如果迷路，就看脚下的砖，它就是行路的方向标，可以带领你走出老城。其中只要沿着6角的砖走，便可走出老城；而另外一种4角的砖向前走是死胡同。,1
香妃园Tomb of the Fragrant Concubine,http://travel.qunar.com/p-oi3864424-xiangfeiyuan,"

地址:
喀什地区喀什市艾孜热特路


电话:
0998-2950196

",香妃园（香妃墓）位于喀什市东郊5公里处的浩罕村，原名为阿帕克霍加麻扎，后来因传说乾隆皇帝的香妃埋葬于此，于是香妃墓的名字被渐渐传开，取代了原名。事实上这里是一大家族五代72人的陵墓群，香妃墓只是其中之一。香妃园是一座大院，院内修建了门楼、小礼拜寺、大礼拜寺、教经堂和主墓室等建筑，建筑恢宏漂亮。这种绿色瓷砖、圆拱门窗的房屋非常特别，可以好好参观一下。主墓室是景区内的重点建筑，也是全疆较大的穹顶式建筑，穹顶旁还有漂亮的邦克楼。四楼一拱搭配上面铁柱高擎的五弯新月，造型和谐，使整个建筑物显得格外庄严峻拔。四周墙壁从上到下全都用深绿色琉璃砖贴面，上面绘有彩色图饰等。这些琉璃砖是300多年以前烧制的，时至今日依然光洁精美，可以好好参观一下。,全年 09:30-20:30,https://img1.qunarzz.com/travel/d0/1611/b0/518fdddd454d16b5.jpg_480x360x95_df3c955b.jpg,4.3,建议游览时间：2小时 - 3小时,,"{'香妃墓香妃园门票成人票\n\n': ['¥29起'], '香妃墓香妃园门票学生票\n\n': ['¥15起'], '香妃墓香妃园门票老人票\n\n': ['¥15起']}",,1
艾提尕尔清真寺Id Kah Mosque,http://travel.qunar.com/p-oi3864420-aitigaerqingzhensi,"

地址:
喀什地区喀什市解放北路


电话:
0998-2827113,0998-12596

",艾提尕尔清真寺位于喀什老城区中心，是规模大的清真寺之一。寺内有很多气势壮观又富伊斯兰特色的建筑，可以一一参观。而每天五次礼拜场面时在寺外见证，更是可以看到规模盛大的礼拜场面，感受浓厚的宗教氛围。艾提尕尔清真寺是一座庭院式的寺院，寺院东侧正门口便是巨大的艾提尕尔广场，是喀什市的标志。平时在大广场上有很多人在此休闲游戏，长胡须的老爷爷和小孩一起在广场边闲坐晒太阳，非常的休闲，场面也很安然。广场的西侧是清真寺的东门，即艾提尕尔清真寺正门门楼。正门是鹅黄...艾提尕尔清真寺位于喀什老城区中心，是规模大的清真寺之一。寺内有很多气势壮观又富伊斯兰特色的建筑，可以一一参观。而每天五次礼拜场面时在寺外见证，更是可以看到规模盛大的礼拜场面，感受浓厚的宗教氛围。艾提尕尔清真寺是一座庭院式的寺院，寺院东侧正门口便是巨大的艾提尕尔广场，是喀什市的标志。平时在大广场上有很多人在此休闲游戏，长胡须的老爷爷和小孩一起在广场边闲坐晒太阳，非常的休闲，场面也很安然。广场的西侧是清真寺的东门，即艾提尕尔清真寺正门门楼。正门是鹅黄色的建筑，旁边是两座宣礼塔，弧形的造型柔和静美，寺门上挂着巨大的写有阿拉伯文清真言的牌匾。很多游客会在此拍照。从东门处购票进入清真寺之后便可观赏清真寺的院内，院内面积很大，横竖都有一百多米，种植了众多的树木，使得整个清真寺都在绿荫之下，在干燥的喀什是难得的清新舒服的地方。院内有礼拜堂、讲经堂、拱北孜等十几座建筑，以绿色为主色，每一座都很有伊斯兰风情。中间还有水池花木等。为主参观的建筑便是礼拜堂，位于寺内深处，礼拜堂长有一百多米，以绿色为主色，有一百多根七米高的绿色大柱支撑，里面一排排的坐垫便是礼拜的场所了。走进内殿可以看到里面没有任何的人像等。在院内走一圈参观完寺院建筑后便可回到东门离开。到艾提尕尔寺观光，除了观看寺内的建筑，重要的其实是见证盛大的礼拜场面。每天艾提尕尔寺都会进行5次礼拜，礼拜时寺院不开放，但是可以在寺外见证。每次礼拜之前，寺院的广播会播放宣礼的唱经声音，悠远空灵。之后便会有两三千人在此礼拜，寺内无法容纳便有很多人在寺旁和广场上进行仪式。场面盛大而又安静，给人心灵的震撼。每周五是伊斯兰教的主麻日，这里的礼拜人数更是会达到六七千甚至上万，场面非常壮观。另外，每年伊斯兰的古尔邦节、开斋节等传统节日时，会有远近数万名人在这里欢歌跳舞庆祝节日，如果正好赶上一定要见证一下。,"10:30-19:00,14:00-16:30礼拜时间不对外参观",https://flight-feed.qunarzz.com/as3/419/image/poi_vishnu/cf1b7101-d19c-4aa6-a01c-12d51bad2a95.jpg,4.1,建议游览时间：2小时,去喀什最佳出游时间为夏秋季节，此时的喀什气候凉爽，秋季也正是喀什瓜果上市的季节。,"{' 艾提尕尔清真寺门票成人票\n\n': ['¥44起'], ' 艾提尕尔清真寺门票老人票\n\n': ['¥22.5起'], ' 艾提尕尔清真寺门票学生票\n\n': ['¥22.5起']}",1、在穆斯林做礼拜的时候，不要站在他们的前面或者侧面，因为他们面向的方向是正西方圣城麦加的方向。2、不要在艾提尕尔寺中喧哗或指指点点；周五的礼拜则非穆斯林不能入内；在任何时候，进入寺内拍照都必须取得同意，不可随意拍照。,1
喀什大巴扎Kashgar Grand Bazaar,http://travel.qunar.com/p-oi3864426-kashidabazha,"

地址:
喀什地区喀什市喀什希望医院(艾孜热特路南)


电话:
0998-15940

",巴扎，维语的意思是集市。喀什是古丝绸之路上的重要城市，也是当时主要的商品集散地之一。喀什大巴扎的全称是“喀什中西亚国际贸易市场”，当地人称东门大巴扎，迄今已有2000多年的历史，当年有“亚洲较大集市”之称，是西北地区较大的国际贸易市场。喀什有很多巴扎，分布在城乡各处，但较为出名的就是东门大巴扎。1992年以前，喀什大巴扎只在星期天营业，所以至今外国游客及国外旅游资料仍将这个巴扎称为“星期天大巴扎”，如今已改为每日营业。东门大巴扎内设21个市场，有4000多个固定售货摊位和一条食品街，每天人流量达十万以上。巴扎内商品种类齐全，品种繁多，商品种类达9000多种。喀什及新疆的各种土特产、手工艺品、日用百货、瓜果蔬菜、生产资料以及大小牲畜等应有尽有，可以说这里是体现当地民俗风情较为集中、较为浓郁的地方。,全年 11:00-20:00,https://img1.qunarzz.com/travel/d3/1709/48/f3a92f7af056a3b5.jpg_480x360x95_a11e9b8c.jpg,4.3,建议游览时间：3小时 - 4小时,去喀什的最佳出游时间是八九月份，此时的喀什气候清爽，也是瓜果飘香的时节。,{'梦幻帕米尔丨探秘南疆5天4晚私家团丨一单一团，盘龙古道+塔沙古道+帕米尔高原杏花村丨2-5人私家甄选\n\n': ['¥2999起']},,1
高台民居Gaotai Ancient Homes,http://travel.qunar.com/p-oi3864423-gaotaiminju,"

地址:
喀什地区喀什市吐曼路


电话:
0998-2825785

",高台民居位于喀什噶尔老城东北端， 是一处建于高40多米、长800多米黄土高崖上的维吾尔民族聚居区，距今已有600年历史，是喀什展示维吾尔古代民居建筑和民俗风情的一大景观。该区建在悬崖上，共有近六百户人家。房屋是用泥巴和杨木搭建而成的，看上去松松垮垮，实际却很牢固，许多房子都已有数百年的历史。从颇具现代化的喀什新城隔河相望，老城的地势明显高出一截。高崖两千年前就已存在，一千多年前有维吾尔先民在此建房安家。相传东汉名将班超、耿恭曾在此留下足迹。公元九世纪中期喀什拉汗王朝时，就把王宫建在这个高崖的北面。高台民居这里的维吾尔族人世代聚居，房屋依崖而建，家族人口增多一代，便在祖辈的房上加盖一层楼，这样一代一代，房连房，楼连楼，层层叠叠，这些房屋大多是土房，也有不少新建的砖房。在这些随意建造的楼上楼、楼外楼之间，形成了四通八达、纵横交错、曲曲弯弯、忽上忽下的50多条小巷，没有本地人带路，外来人一定会迷路。这里保留了多处已有数百年历史的老宅和清真寺。高台民居被中外游客誉为“维吾尔族活的民俗博物馆”，是喀什这座中国历史文化名城的内涵所在。高台民居既是维吾尔族传统手工艺制作的佳场所，也是维吾尔族美化环境、雕刻与绘画艺术的殿堂。,9:30-20:30，20:00停止入场。,https://img1.qunarzz.com/travel/d6/1704/77/a2525e1efa4b9eb5.jpg_480x360x95_76d378fe.jpg,4.3,建议游览时间：2小时 - 3小时,8-9月，此时的喀什天气舒爽，正好是瓜果飘香的时节。,具体收费情况以现场公示为主,古城里的小巷布局就像巨大的迷宫，一不小心就会迷路，游客可以借助铺设地面所用的砖来区分，六角砖代表前方有路，方砖则代表前面是死胡同。,1
喀什古石头城The Ancient Stone Town of Kashgar,http://travel.qunar.com/p-oi3864411-kashigushitoucheng,"

地址:
喀什地区塔什库尔干塔吉克自治县塔什库尔干路


电话:
0998-2570281

",喀什古石头城位于喀什地区塔什库尔干县的县城东北侧，曾经是古代“西域三十六国”中蒲犁国的王城，也是古丝绸之路上的重要一站。石头城在朅盘陀时期（大约公元1世纪）就已存在，是新疆珍贵的历史古迹，如今城堡仅剩断壁残垣，游客来此只能参观残破的遗址，另外，修建在山丘之上的落寞古堡也十分适合摄影，可以排除苍凉悲壮的古堡照片。古石头城建在县城东北侧的山丘上，地势较高，从远处即可拍到。如果想要登上城堡则需要付门票，古城不大，长宽大约300-400米左右，大约1小时左右就可...喀什古石头城位于喀什地区塔什库尔干县的县城东北侧，曾经是古代“西域三十六国”中蒲犁国的王城，也是古丝绸之路上的重要一站。石头城在朅盘陀时期（大约公元1世纪）就已存在，是新疆珍贵的历史古迹，如今城堡仅剩断壁残垣，游客来此只能参观残破的遗址，另外，修建在山丘之上的落寞古堡也十分适合摄影，可以排除苍凉悲壮的古堡照片。古石头城建在县城东北侧的山丘上，地势较高，从远处即可拍到。如果想要登上城堡则需要付门票，古城不大，长宽大约300-400米左右，大约1小时左右就可以参观完毕。在古城内可以看到曾经的城郭、屋舍遗址，不过已经残破不堪，只能看着寂静的土墙想象当年繁华的样子。另外，古石头城旁边的金草滩是观看拍摄石头城好的地方，当地已在这里修建了木制栈道方便拍摄。日落时分，夕阳下泛黄的古城显得格外悲壮，是拍照好的时机。,10:30-19:30；详情以景区公示为准。,https://img1.qunarzz.com/travel/d5/1707/9c/f2f9c6db14989ab5.jpg_480x360x95_52315197.jpg,4.4,建议游览时间：1小时 - 2小时,去石头城最好选在八九月份，此时的喀什气候较为舒适，瓜果飘香；每天傍晚时分，落日映衬下的石头城格外迷人。,"{'喀什石头城电子导览服务大小同价\n\n': ['¥7起'], '喀什+塔县2日游（慕士塔格、石头城、喀拉库勒湖、盘龙古道）\n\n': ['¥1359起'], '塔县帕米尔旅游区+卡拉库里湖+白沙山二日游丨无购物店·无自费景点丨\n\n': ['¥460起']}",1、居住在这里的塔吉克人十分友好，你可以在居民家中住宿，他们会善待客人，为客人提供吃喝，走的时候你适当付些钱就可以。一般来说，20～30元钱是比较合适的。2、去塔什库尔干要在喀什边防支队办理边境通行证（周六、日休息），10块钱押金，携带身份证即可办理。,1
帕米尔高原Pamirs Plateau,http://travel.qunar.com/p-oi7527182-pamiergaoyuan,"

地址:
喀什地区塔什库尔干塔吉克自治县提孜那甫乡


电话:
0998-3493328


官网:
http://www.pmrjq.com/

",帕米尔高原位干中亚东南部、中国的西端，地跨塔吉克斯坦、中国和阿富汗。“帕米尔”是塔吉克语“世界屋脊”之意，高原海拔4000米-7700米，拥有许多高峰。帕米尔高原早在中国汉代就以“葱岭”相称，因多野葱或山崖葱翠而得名。又叫不周山，古代丝绸之路的南道、中道都从这里越过，而后向西通往西亚、南亚及欧洲各地。帕米尔高原分为东西两部分：东帕米尔地形较开阔坦荡，由两条西北—东南方向的山脉和一组河谷湖盆构成。西帕米尔则由若干条大致平行的东北—西南方向的山脉谷地构成，地形相对高差大，以高山深谷为特征。到帕米尔高原游玩，主要是前往位于其东北部的塔什库尔干塔吉克自治县，及境内的慕士塔格峰、石头城、红其拉甫口岸等。石头城位于塔什库尔干塔吉克自治县城北侧，海拔3100米，地势极为险峻，是新疆境内古古丝绸之路上一个有名的古城遗址。慕士塔格峰雄伟壮观，终年积雪覆盖，为一座高原雪山，被称为“冰山之父”，是中巴友谊路（314国道）上美丽的风景线，也是登山爱好者想要征服的山峰之一。红其拉甫口岸是中国通往巴基斯坦仅有的陆路进出境通道，也是通往南亚次大陆乃至欧洲的重要门户。这里有中巴7号界碑以及壮观的国门。,全年 全天开放,https://img1.qunarzz.com/travel/d9/1707/2c/4712906391a0f1b5.jpg_480x360x95_3d68478a.jpg,4.8,建议游览时间：6天 - 9天,,具体收费情况以景区现场公示为主。,1. 上帕米尔高原必须在喀什边防支队办理好边境通行证，抵达塔什库尔干塔吉克县之后，再前往当地的边防处办理特殊通行证。2. 喀什到塔县路况较差，建议自驾前检查好车况，并带好补给（路上常见加油站拒给加油，出发前最好加满油另再备一桶救急）。3. 如果要攀登慕士塔格峰，必须在新疆维吾尔自治区体委、登山协会办理登山许可证。4. 高原上紫外线强烈，防晒霜、太阳眼镜、保湿水等必不可少。,1
奥依塔克风景区,http://travel.qunar.com/p-oi3864425-aoyitakefengjingqu,"

地址:
新疆喀什地区克孜勒苏柯尔克孜自治州阿克陶县境内

","奥依塔克风景区位于奥依塔克镇西部丛山之中，海拔在2800米左右，距离阿克陶县城100多公里，距中巴公路20多公里，出阿克陶县城，从奥依塔克山口沿河谷逆流而上，便到了白云深处被称作""人间仙境""的奥依塔克风景区。""奥依塔克""是古突厥语，意思是""群山之中的一片洼地""。这里高山险峻，冰峰林立，大河滔滔，古木森森，莺飞蝶舞，芳草萎萎，风景十分优美。四周风物迥异，是一处景色迷人的自然风景旅游区。奥依塔克风景区将雪山、冰川、瀑布、河流、雪崩、草地揉为一体，加上山坡上成...奥依塔克风景区位于奥依塔克镇西部丛山之中，海拔在2800米左右，距离阿克陶县城100多公里，距中巴公路20多公里，出阿克陶县城，从奥依塔克山口沿河谷逆流而上，便到了白云深处被称作""人间仙境""的奥依塔克风景区。""奥依塔克""是古突厥语，意思是""群山之中的一片洼地""。这里高山险峻，冰峰林立，大河滔滔，古木森森，莺飞蝶舞，芳草萎萎，风景十分优美。四周风物迥异，是一处景色迷人的自然风景旅游区。奥依塔克风景区将雪山、冰川、瀑布、河流、雪崩、草地揉为一体，加上山坡上成群的牛羊和柯尔克孜牧民的圆形毡房，使这块伟大圣洁的处女地充满了自然美，没有一丝半缕的人工雕琢，一切仿佛都是纯自然的。",周一至周日 全天开放,https://img1.qunarzz.com/travel/poi/1408/20/214f83ce2388d639ffffffffc8d65eac.jpg_480x360x95_f4a1d5f8.jpg,4.0,建议游览时间：1小时 - 3小时,8-10月深秋季节，此时沙棘林一片金红“霜叶红于二月花”，如火如荼的沙棘林成为奥依塔克河谷一道亮丽的风景线。,"{'克州冰川公园门票成人票\n\n': ['¥44起'], '克州冰川公园门票＋区间车票成人票\n\n': ['¥50起'], '克州冰川公园门票＋区间车票优待票\n\n': ['¥28起']}",,1
叶尔羌汗王宫,http://travel.qunar.com/p-oi38950788-yeerqianghanwanggong,,,,,,,,,,1
喀什古城,http://travel.qunar.com/p-oi38034825-kashigucheng,,,,,4.7,,,具体收费情况以现场公示为主,,1
