名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
乌镇Wuzhen Water Town,http://travel.qunar.com/p-oi713020-wuzhen,"

地址:
嘉兴桐乡市乌镇石佛南路18号


电话:
0573-88731088


官网:
http://www.wuzhen.com.cn/

",乌镇是桐乡北郊一座历史悠久的江南古镇，主景区分为西栅、东栅，赏西栅夜景、坐摇橹船、看民俗表演，是游人不会错过的体验。这里也是黄磊和刘若英主演的《似水年华》的取景地。东栅和西栅相距约1.5公里，如果1天内既要玩东栅又要玩西栅，那么上午就要早点到乌镇，可先去东栅游览（2-3小时），午饭后开始在西栅游览，一直玩到晚上在西栅看夜景。如果有两天时间更宽裕，可以考虑西栅、东栅各一天。西栅、东栅看点：你可以在西栅的石板路上闲逛一天，尝尝臭豆腐、定胜糕、姑嫂饼等当地小吃，或是参观昭明书院、老邮局等人文旧址，当然更少不了坐上摇橹船细细品味水乡小镇。若是时间允许，一定不要错过西栅夜游。水巷、古桥和白墙被灯火映照着，美不胜收，乘摇橹游览更有意境。赏完夜景，去酒吧喝两杯，或看一场露天老电影、听一场花鼓戏，非常惬意。与西栅相比，东栅虽小，但生活气息更浓。这里还有当地人居住，也有皮影戏馆、三白酒作坊、修真观，以及茅盾故居等景点，还能看拳船（船上耍拳脚）、高杆船（船上爬竹竿）等表演，让你可找到更丰富的民俗和历史内涵。东栅和西栅之间有接送班车。美食及特产：红烧羊肉、白水鱼、酱鸭来乌镇必吃的美味，羊肉尤其出名。东栅的翰林府第酒店、逢源酒楼，西栅的裕生餐馆、三珍斋酱鸭店等都是颇具人气的饭店。大街小巷中的炸臭豆腐、定胜糕、姑嫂饼等特色小吃，也不妨尝尝。如果要带点什么特产回去，纯手工酿成的“三白酒”、陶叙昌牌豆瓣酱、精美的木雕竹刻，还有“蓝印花布”制成的头巾、茶杯垫、雨伞、钱包以及各式象形挂件等都是不错选择，街上特产店很多。景区住宿：西栅景区内有不少酒店、客栈，都是由官方统一管理，费用由低到高不等，住在景区内可以方便游玩，而且能更好得体验西栅的夜景。景区外也有很多酒店、客栈可以选择，价格相对景区内要便宜一些。,"东栅：夏令时：7:00-18:00，冬令时：7:00-17:30； 西栅：夏令时：9:00-22:30，冬令时：9:00-22:00； 茅盾故居：夏令时：8:00~17:00,冬令时：8:00~16:30",https://img1.qunarzz.com/travel/d4/1703/41/729a971832f020b5.jpg_480x360x95_a295d044.jpg,4.6,建议游览时间：3天 - 6天,春季和秋季是乌镇一年中最美的时节，特别是清明节的时候乌镇最美也最热闹。清晨和傍晚时乌镇一天中最美的时候，清晨雾气蒙蒙、傍晚夕阳晚霞映照，景色最为迷人。 ,"{'乌镇西栅门票成人票\n\n': ['¥150起'], '乌镇西栅门票儿童票\n\n': ['¥75起'], '乌镇西栅门票学生票\n\n': ['¥75起']}",1、虽然每天有很多车次发往乌镇，仍要注意时间，不要错过末班车2、最好不要赶在节假日去乌镇，因为这种江南小镇最讲究的就是悠闲，如果人太多就看不到景致啦！不过，如果只能节假日有时间，最好在乌镇住一晚，早上早点起来，早上的古镇最美。3、每天上午8点到下午16点半，东、西栅两景区之间有免费巴士，在游客中心处乘坐。4、西栅的内容比东栅丰富，可在东栅多留些时间。5、在多雨季节去乌镇时记得随身携带雨具，以防下雨。6、夏季中午避免在乌镇行走，因为没有遮阳的地方，这时候会比较炎热。7、坐摇橹船是乌镇人气很高的体验，东栅、西栅均有。拼船需等人满发船，也可包船游览。8、去老邮局给亲友或自己寄一张明信片，收到后会看到别致的邮戳。9、节假日或者乌镇戏剧节期间，乌镇人气很旺，西栅景区内住宿需要提早预订。,1
西塘风景区Xitang Scenic Area,http://travel.qunar.com/p-oi702670-xitangfengjingqu,"

地址:
嘉兴市嘉善县西塘镇南苑路258号


电话:
0573-84567890

",西塘位于嘉善县北，地处江浙沪交汇处，是有名的千年古镇。在西塘，你可以细细品味这里的慢生活，可在茶楼里品茶听曲，或等夜晚的西塘披上惊艳外衣后，乘上摇橹船看水中的各色倒影，也可以去酒吧坐下来找一点儿古朴中的现代感。即使是站在桥上俯视川流的木船、远眺整片屋檐，或在廊棚下漫无目的地闲逛也是一种乐趣。古镇内住着不少本地居民，你会看到常有阿婆在河边洗衣、阿公在廊棚下下棋，生活气息相当浓郁。数不清的古桥和弄堂是西塘的特色，而且走到哪儿都有廊棚（有屋顶的街道，也称为“雨廊”），很多廊棚一侧是卖特产、饰品、小吃的铺子和民居，另一边则是河道。有的廊棚一侧还有靠背长凳，走累了可以坐下歇息，从送子来凤桥到北栅街这段廊棚尤为经典。西塘的廊棚有“烟雨长廊”之美名，如果是雨季，可坐在廊棚下欣赏烟雨中的西塘，感受江南水乡的柔情多姿。西塘有一百多条长短各异的老弄堂，弄堂多为石板铺路，有的两侧墙头高耸，有的宽有的窄。其中宽度仅为1米的石皮弄非常有名，你可以进去体验与对面游人侧身而过的拥挤感，还可感受弄堂中与世隔绝般的宁静。西塘的河道水巷上横卧着各种石桥近百座，其中永宁桥为西塘的较好观景点，可纵观河道交汇处的美景，清晨可来此拍摄到静谧纯朴的水乡风情。此外还有造型独特的送子来凤桥、站在桥头可远眺层层青瓦的环秀桥、曾出现在电影《碟中谍3》场景中的万安桥等。古镇内的古迹景点众多，有西园、醉园、种福堂等别致的园林及民居，还有护国随粮王庙、圣堂等香火甚旺的庙祠，你还能在江南民间瓦当陈列馆、中国酒文化博物馆、纽扣博物馆中了解到当地的民风民俗。塘东街一带有很多酒吧，晚上音乐声、歌声此起彼伏。西塘也是许多影视剧的取景之地，电影《碟中谍3》中阿汤哥飞奔于廊棚中的那一段场景也许很多影迷都历历在目，此外还有许多酒楼、客栈、弄堂、老宅也都留下了各大剧组的足迹。来西塘一定要坐一回摇橹船，体验从水上欣赏古镇，尤其是晚上坐在船上品味西塘夜景，赏心悦目，景区主入口内和送子来凤桥前各有一个游船码头。西塘满街都能看到臭豆腐、豆腐花、粉蒸肉、扎肉、芡实糕、酒酿园子等美食，北栅街一带还有很多老饭馆，可以尝到各色江南菜肴，价位也大多不贵。古镇内遍布古色古香的临水客栈和明清古宅，不少人会选择住一晚，如果偏爱清静，可以住在一些远离酒吧街的巷子里。,全天开放。,https://img1.qunarzz.com/travel/d9/1801/58/c213de77268771b5.jpg_480x360x95_51c8cb47.jpg,4.5,建议游览时间：3天 - 6天,西塘的最佳出行时间为4月，此时杜鹃花开，温度适宜。在农历四月初三这一天还有西塘的传统节庆七老爷庙会可供游人参与，体验原汁原味的西塘生活。,"{'西塘风景区门票成人票\n\n': ['¥85起'], '西塘风景区+挚爱建盏杯套餐成人票\n\n': ['¥85起'], '西塘风景区-（杭州-西塘景区）直通车票大小同价\n\n': ['¥128起']}",,1
西栅West Gate,http://travel.qunar.com/p-oi5261044-xizha,"

地址:
嘉兴市桐乡市石佛南路18号


电话:
0573-88731088


官网:
http://www.wuzhen.com.cn/

",西栅是乌镇的精华所在，虽与东栅同为主要景区，但这里没有东栅的繁闹市井，一切都经过重新整修和设计，街头巷尾的咖啡馆、酒吧，充满了文艺情怀。乘摇橹夜游西栅是非常值得推荐的体验，灯影桨声里的江南水乡分外迷人。西市河贯穿西栅东西，纵横交错的小河道将西栅分为许多小岛，各部分又有数十座各异的古石桥相连接。老建筑依水而建，典型的江南水乡小桥流水景致。除了可以入内参观的景点，景区内还有不少精致的小店、咖啡馆和酒吧，适合静下心来慢慢逛。游玩西栅可以步行，也可以坐景区的交通车或游船代步。如果是白天，顺着河北岸的西栅大街走走，昭明书院是昭明太子萧统读书的地方，现在是个图书馆，可以来这儿读会儿书，或者在入口处的留言墙上贴张小纸条，留下自己的心情；三寸金莲馆可以看到几百双缠足鞋，了解缠足文化。南岸东面的叙昌酱园老远就能闻到酱油的味道，可以看到院子里做酱油用的露天的大缸，或者买点酱油做纪念；迁善桥附近的女红街有许多特色商铺卖些刺绣、围巾之类的手工制品，女孩子不妨来这里淘点小玩意，然后去对岸的老邮局给亲友寄上一张带着乌镇老邮局邮戳的明信片，文艺又浪漫。西栅的夜景是许多人钟情这里的理由，晚上古镇里的桥梁和房屋都亮起灯光，乘着小船驶在倒影里，感觉非常好，拍出的照片也别有一番风情。此外，还有一些体验项目可以参加，天气晴好的晚上，在大戏院广场用老式胶片放映《三毛流浪记》、《地道战》等黑白老电影，坐在长条椅上看电影的感觉很特别。如果对传统艺术感兴趣，不妨去水上集市听花鼓戏，大戏院书场听评弹。,5/1-10/7(夏令时) 09:00-22:30;10/8-4/30(冬令时) 09:00-22:00,https://img1.qunarzz.com/travel/d7/1410/04/7edf70a223d03987ffffffffc8d65eac.jpg_480x360x95_7ff2e078.jpg,4.6,建议游览时间：12小时 - 3天,最佳旅游时间为春天与秋天。一天中最美的时候是清晨与傍晚。清晨，河道上会漫起薄薄的雾气，仿佛梦境。傍晚，夕阳西照，游人散尽，一个活色生香的乌镇出现在眼前。,"{'乌镇西栅门票成人票\n\n': ['¥150起'], '乌镇西栅门票儿童票\n\n': ['¥75起'], '乌镇西栅门票学生票\n\n': ['¥75起']}",,1
月河历史街区Yuehe Historic District,http://travel.qunar.com/p-oi5852828-yuehelishijiequ,"

地址:
嘉兴市南湖区建国北路22号


电话:
0573-82205588

",月河历史街区总占地面积为9万平方米，位于嘉兴南湖区中基路附近，旧时是嘉兴工业、商贸繁盛之地。街区内，传统的民居依水造势，古街深巷迂回曲折、纵横交错；小河、古桥、狭弄、旧民居、廊棚等还原并展现了浓厚的水乡古城风情，透射出旧时嘉兴“江南府城”的繁华。,全年 全天开放,https://img1.qunarzz.com/travel/d9/1705/86/40e769e01372f2b5.jpg_480x360x95_34a54f5f.jpg,4.5,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
十里水乡,http://travel.qunar.com/p-oi9523449-shilishuixiang,"

地址:
浙江嘉兴嘉善县大云镇

",十里水乡景区主要特点是自然、原始和生态，蓉溪两岸保存了良好的原始风貌，植被茂盛，自然环境优良，极富乡村野趣，是不可多得的自然原生态河道景观，有“东方的密西西比河”之称。目前开放区段总长2.9公里，丰钱桥、双庙桥横跨其上，“蓉溪拱绿”、“秋庐飞雪”、“云溪迟暮”等自然景点极富江南水乡特色，两岸绿树掩映，芦苇灌木丛生，白鹭嬉戏其间，水中鱼虾成群，古树盘根错节，枝叶向河面倾斜，风姿绰约如天然盆景。清晨，小桥流水，薄雾似纱，两岸粉墙黛瓦，竹枝倒映；傍晚，夕...十里水乡景区主要特点是自然、原始和生态，蓉溪两岸保存了良好的原始风貌，植被茂盛，自然环境优良，极富乡村野趣，是不可多得的自然原生态河道景观，有“东方的密西西比河”之称。目前开放区段总长2.9公里，丰钱桥、双庙桥横跨其上，“蓉溪拱绿”、“秋庐飞雪”、“云溪迟暮”等自然景点极富江南水乡特色，两岸绿树掩映，芦苇灌木丛生，白鹭嬉戏其间，水中鱼虾成群，古树盘根错节，枝叶向河面倾斜，风姿绰约如天然盆景。清晨，小桥流水，薄雾似纱，两岸粉墙黛瓦，竹枝倒映；傍晚，夕阳斜照，水如凝脂，水草顺流俯伏，心事摇曳水中，触目所及，如诗如画，分不清是人在景中游，还是景在心中移。,8:30-15:30,,--,,,30元,,1
南湖景区South Lake Scenic Spot,http://travel.qunar.com/p-oi703332-nanhujingqu,,,,,,,,,,1
盐官古镇Yanguan Ancient Town,http://travel.qunar.com/p-oi708537-yanguanguzhen,"

地址:
嘉兴市海宁市盐官镇


电话:
0573-87617200

",盐官镇位于嘉兴市海宁市，地处钱塘江大潮观潮胜地，它也是中国历史文化名镇，在2200年前的西汉，吴王刘濞设司盐之官于此，地以官名，为历代海宁州(县)治所在。盐官古镇集自然风光与历史人文景观于一体，吸引着游客的到来。,8:00-16:30,https://img1.qunarzz.com/travel/d9/1601/b8/e4aa6730a7ba88f7.jpg_480x360x95_0d54836c.jpg,4.3,建议游览时间：5小时 - 6小时,,"{'海宁盐官旅游度假区门票成人票\n\n': ['¥15起'], '海宁盐官旅游度假区门票儿童票\n\n': ['¥25起'], '海宁盐官旅游度假区门票学生票\n\n': ['¥25起']}",,1
天凝古镇Tianning Ancient Town,http://travel.qunar.com/p-oi10023190-tianningguzhen,"

地址:
天凝镇

",水乡古镇天凝位于浙江省嘉善县西北部，地处杭嘉湖平原。红旗塘横穿境内，东连黄浦江、西接京杭大运河，南濒东方大港乍浦港，交通便捷，环境优美。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/e272e4353dd5563aef7c2a7cc8b6c588.jpg_480x360x95_ad85a960.jpg,4.4,建议游览时间：1小时 - 2小时,,,,1
梅花洲Meihuazhou Scenic Area,http://travel.qunar.com/p-oi7116281-meihuazhou,"

地址:
嘉兴市南湖区凤桥镇三星路10号


电话:
0573-83188333,0573-83182008


官网:
http://www.mhzty.com/

",梅花洲位于嘉兴市南湖区的凤桥镇，是一处以明清建筑为主的仿古景区。这里新开发不久，街道设施都经过了不错的规划，整洁干净，游人相对也较少，是个挺容易让人产生好感的地方。像许多古镇一样，梅花洲的建筑全都枕河而建，五瓣陆地藉桥梁通行往来，很有江南特色。可以沿街走走，逛逛路边的宅子，悠闲惬意。最值得一看的是石佛寺， 常能遇到在此禅修的信徒，平添了几分佛门禅意。寺院附近的两棵千年银杏树枝繁叶茂，也是景区内的一大看点。采摘园内可以体验采摘草莓等当季蔬果（另付费），如果是许多朋友一起来，还有真人CS、烧烤和一些拓展项目可以参加（另付费，电话：0573-83853553）。梅花洲也是个适合带小朋友来周末一日游的地方，景区地方不大，走起来不会太累。这里有适合小朋友的游戏区，也可以乘游船在水上观赏梅花洲景色，20元/人，可乘20分钟左右，很实惠。,全年 08:00-17:00,https://img1.qunarzz.com/travel/d4/1705/28/70a045e88c9f61b5.jpg_480x360x95_bd7d819c.jpg,4.4,建议游览时间：3小时 - 5小时,,"{'梅花洲门票成人票\n\n': ['¥42起'], '梅花洲门票儿童票\n\n': ['¥20起'], '梅花洲门票学生票\n\n': ['¥30起']}",,1
南北湖North and South Lake,http://travel.qunar.com/p-oi702668-nanbeihu,"

地址:
嘉兴市南北湖杭州湾北岸海盐县境内


电话:
0573-86513123


官网:
http://www.nanbeihu.com.cn/

",南北湖位于嘉兴海盐县，三面环山，一面临江，风光独特。湖中一道鲍公堤将湖分为北湖和南湖两部分。由于离上海和杭州都不远，南北湖很适合周末休闲自驾游玩。景区内的景点比较分散，湖边可步行，景区内也有中巴和电瓶车可以代步，如果只打算随意逛逛，一般会去湖中的白鹭洲和蝴蝶岛，或者沿登山古道上鹰窠顶、白云阁，俯瞰南北湖景色。如果有两天时间，则不仅可以游玩这些景点，还可以去湖上划船、驾车环湖欣赏风景，更加惬意。景区里有度假酒店，也有不少一百块左右的农家乐，吃饭住宿价格还算公道。来到南北湖的游客几乎都要来走走这条江湖水一分为二的鲍公堤，堤的两侧分别有桥通往白鹭洲和蝴蝶岛。上岛的木桥曲曲折折，十分雅致，岛上有茶室，品茗赏景是不错的体验。如果时间充裕，不妨去到长堤东面的码头划船（每人30-40元半小时），别有一番滋味。九曲径登山口在景区南面，这段登山道是石头砌的台阶路，不算难走，但整个走下来还是要出身汗的。半山腰会路过云岫庵，东院为游览区，西院为生活区，东院有一戏台，古色古香的。进入云岫庵需另购票10元，感兴趣可进去看看。继续顺古道上山，登上鹰窠顶，天气晴好时这里视野开阔，可以俯瞰整个南北湖的山湖景色，远处就是大海，但看不真切。出了鹰窠顶，往白云阁的路就是一马平川的水泥路了。白云阁是座新建的亭子，一楼是茶室，不过消费才可以坐，因此许多人来此只是上到二楼再看一眼南北湖全景，然后继续往西去谈仙石城，这里曾是抗倭的攻势，如今看到的建筑是近年重修的，也挺有气势。这里还有一座道观，可一并游览。,全年 08:00-17:00,https://img1.qunarzz.com/travel/d4/1609/4f/e23b1656d1357bb5.jpg_480x360x95_00e74084.jpg,4.4,建议游览时间：2小时 - 3小时,,"{'南北湖门票成人票\n\n': ['¥50起'], '南北湖滑翔伞体验大小同价\n\n': ['¥680起'], '南北湖门票+白鹭洲+蝴蝶岛+谈仙石城+白云阁+名人文化区票成人票\n\n': ['¥50起']}",,1
