名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
嘉峪关关城Jiayuguan Pass,http://travel.qunar.com/p-oi3728703-jiayuguanguancheng,"

地址:
嘉峪关市西6公里处


电话:
0937-6396110

",嘉峪关关城位于嘉峪关市西5公里处，这里是明长城的西段。关城始建于明朝。嘉峪关关城位于嘉峪关文物风景区内，门票为通票，需游玩整个景区。景区不算太大，全景区周长约4公里，里面步行即可。若体力不好可在门口租用自行车进行游玩。入口在东侧，进入后首先可以看到黑山石雕群，是现代石匠仿刻的石刻群，展示嘉峪关的历史文化。黑山石雕群共有七个园区可供参观。分别是名人题词园、古诗词园、纪事园、故事园、游击将军石刻园、魏晋墓砖壁画石刻园，黑山石刻园。继续向前可以看到嘉峪关长城博物馆，这是以长城历史文化为专题的博物馆。内部设备先进，展示了长城和嘉峪关的历史、文化、文物风光等。再向前即到达了西边的核心区，在进入关城前可以先到左手边的九眼泉湖游玩。 “九眼泉”旁水草丰美，景色宜人，是一个古代屯军养马、戍边防患的好地方。现在的九眼泉碧波荡漾，清澈见底。“九眼泉”之美，在于它的安静，波澜不惊。关城分为内城、外城，有三个主要的大城楼，城墙上还建有箭楼、敌楼、角楼、阁楼、闸门楼等等建筑。关城内建有游击将军府、井亭、文昌阁，东门外建有关帝庙、牌楼、戏楼等，各自都有历史和特色，值得一一参观。登上城墙远眺，祁连山麓在远方连绵，脚下的戈壁草原壮阔，顿生历史的悲壮之感。景区内还有很多小摊，多为民俗历史特色，有古装合影，卖书法卖字画等，可以一一参观，遇到心仪物品便可消费。景点内还有多种娱乐项目可供选择，有骑马、骑骆驼、沙地跑车和滑翔机等等。,4/1-4/30 08:30-18:00;5/1-6/30 08:00-18:00;7/1-10/10 08:00-18:00;10/11-11/29 08:00-18:00;11/30-4/30 09:00-17:00,https://img1.qunarzz.com/travel/d8/1707/3e/d567b878b69a25b5.jpg_480x360x95_8b1b0d1e.jpg,4.4,建议游览时间：2小时 - 3小时,5—10月最佳。每年5～10月是关城的最佳旅游时间。嘉峪关属温带干旱气候，年温差较大，年平均气温6℃左右，年降水量80多毫米。冬季1月最冷，最低气温-28.6℃，夏季7月最热，最高气温38℃。7月中旬将举办嘉峪关国际滑翔节，届时会有精彩的演出和赛事，一定不要错过。10月是攀登七一冰川的好时节，带上墨镜、涂好防晒霜、踏上登山鞋，好好体验一番征服冰川的乐趣。建议游玩,"{'嘉峪关关城门票成人票\n\n': ['¥88起'], '嘉峪关关城门票老人票\n\n': ['¥45起'], '嘉峪关关城门票优待票\n\n': ['¥45起']}",,1
长城第一墩First Pier of the Great Wall,http://travel.qunar.com/p-oi702426-zhangchengdiyidun,"

地址:
嘉峪关市西6公里处


电话:
0937-6396110

",明代，嘉峪关管辖着“腹里、沿边、境外墩台三十九座”。关内墩台林立，纵横交织，相互了望，互通情报。长城第一墩，是关南主要的一座墩台，担负着传递关南及祁连山诸口军事信息的任务。设有坞、驿马、驿驼、食宿、积薪等物，配备有一定数量的守兵。长城第一墩景区自然景致壮观，东临酒泉，西连荒漠，北依嘉峪，南望祁连，讨赖河水滔滔东去。极目南眺，山峰终年洁白，衬映着蓝色天空，更觉清新如画。正所谓“余收远岫和云湿，风度疏林带舞飘”。景区面积约3.22平方公里。景区包括长城第...明代，嘉峪关管辖着“腹里、沿边、境外墩台三十九座”。关内墩台林立，纵横交织，相互了望，互通情报。长城第一墩，是关南主要的一座墩台，担负着传递关南及祁连山诸口军事信息的任务。设有坞、驿马、驿驼、食宿、积薪等物，配备有一定数量的守兵。长城第一墩景区自然景致壮观，东临酒泉，西连荒漠，北依嘉峪，南望祁连，讨赖河水滔滔东去。极目南眺，山峰终年洁白，衬映着蓝色天空，更觉清新如画。正所谓“余收远岫和云湿，风度疏林带舞飘”。景区面积约3.22平方公里。景区包括长城第一墩、综合服务区、讨赖河滑索、讨赖客栈、天险吊桥、“醉卧沙场”雕塑群、“中华龙林”等内容。,全年 8:30-17:30,https://img1.qunarzz.com/travel/d7/1612/4d/2df7427945d01eb5.jpg_480x360x95_450d6cf5.jpg,4.3,建议游览时间：1小时 - 2小时,每年5月至10月，是嘉峪关市最佳旅游时节。,"{'【1人GO/4人小团/上门接送】嘉峪关一日游（纯玩直达）\n\n': ['¥50起'], '【私家团/上门接送/纯玩直达】嘉峪关一日游\n\n': ['¥180起'], '嘉峪关+关城+悬壁长城一日包车（火车站 市区内上门接送 ）\n\n': ['¥185起']}",,1
悬壁长城The Great Wall in Suspension,http://travel.qunar.com/p-oi3728700-xuanbizhangcheng,"

地址:
嘉峪关市峪泉镇黄草营村


电话:
0937-6396110,0937-6395099

",石关峡悬壁长城的主题是古丝绸之路文化和长城文化。景区内参观的主要内容有悬壁长城、“丝绸古道”雕塑群、嘉峪关古代兵器展览等。景区分为四大功能区，即石关峡古丝路文化长廊区、悬壁长城军事防御体系区、休闲度假区、管理区。石关峡古丝路文化长廊区贯穿整个景区，有“丝绸古道”雕塑群。悬壁长城军事防御体系区有悬壁长城、水门和古代兵器展览等内容。休闲度假区就是长城北侧绿化区域和景区入口小广场，这里向游客提供烧烤、茶饮、棋牌娱乐和出售旅游纪念品等休闲服务。管理区主要指长城南侧的旅游服务设施，包括管理中心、公共卫生间、广场、停车场等。“丝绸古道”雕塑群雕刻了中国古代在嘉峪关地区有过记载的张骞、霍去病、班超、玄奘、马可波罗、林则徐、左宗棠七位主要历史人物造像及五名随从、二匹马、二峰骆驼和一架马车塑像组成，借以展示石关峡悠久的历史和厚重的人文内涵。,8:30-18:30，17:30停止售票。,https://img1.qunarzz.com/travel/d4/1611/f9/26f7727fb1310bb5.jpg_480x360x95_58e87409.jpg,4.4,建议游览时间：1小时 - 2小时,嘉峪关市属温带干旱气候，年温差较大，年平均气温6℃左右，年降水量80多毫米。冬季1月最冷，绝对最低气温－28．6℃，夏季7月最热，绝对最高气温38℃。每年5月至10月，是嘉峪关市最佳旅游时节。,"{'【1人GO/4人小团/上门接送】嘉峪关一日游（纯玩直达）\n\n': ['¥50起'], '【私家团/上门接送/纯玩直达】嘉峪关一日游\n\n': ['¥180起']}",,1
嘉峪关文物景区,http://travel.qunar.com/p-oi711146-jiayuguanwenwujingqu,"

地址:
甘肃省嘉峪关市峪泉镇关城南路


电话:
0937-6396110


官网:
http://www.jygtour.com.cn/index.php

",嘉峪关地处古“丝绸之路”的交通要冲，又是明代万里长城的西端起点。在这里丝路文化和长城文化融为一体、交相辉映，素有“河西重镇”、“边陲锁钥”之称，旅游资源非常丰富。这里有雄伟壮观的汉代和明代万里长城、嘉峪关关城、长城第一墩、悬壁长城心脏，以及展现古代游牧民族社会生活的黑山岩画、魏晋墓地下画廊等人文古迹； 有亚洲距城市最近的七一冰川及祁连积雪、瀚海蜃楼等独具特色的西部风光，有博大精深的中国第一座“长城博物馆”和被誉为世界三大滑翔基地之一的嘉峪关...嘉峪关地处古“丝绸之路”的交通要冲，又是明代万里长城的西端起点。在这里丝路文化和长城文化融为一体、交相辉映，素有“河西重镇”、“边陲锁钥”之称，旅游资源非常丰富。这里有雄伟壮观的汉代和明代万里长城、嘉峪关关城、长城第一墩、悬壁长城心脏，以及展现古代游牧民族社会生活的黑山岩画、魏晋墓地下画廊等人文古迹； 有亚洲距城市最近的七一冰川及祁连积雪、瀚海蜃楼等独具特色的西部风光，有博大精深的中国第一座“长城博物馆”和被誉为世界三大滑翔基地之一的嘉峪关国际滑翔基地；有西北民俗风情旅游和讨赖河大峡谷探险、沙漠探险、花海魔鬼城探险等具有西部情调的探险旅游胜地；有乾圆山庄、新城草湖等休闲度假的好去处；此外还有石关峡、黑山湖等多处正在开发的旅游资源，形成了以嘉峪关关城为龙头的四大资源（空中气流资源、山地冰川资源、陆地资源和地下资源）、八大景点（嘉峪关关城、嘉峪关国际滑翔基地、 长城第一墩、悬壁长城、黑山浅石刻岩画、长城博物馆、魏晋墓地下画廊、七一冰川），为旅游业的发展奠定了资源基础。,8:30-18:00,https://img1.qunarzz.com/travel/d7/1601/c1/d1dae24de604c9f7.jpg_480x360x95_291bd985.jpg,4.4,建议游览时间：1小时 - 2小时,嘉峪关市属温带干旱气候，年温差较大，年平均气温6℃左右，年降水量80多毫米。冬季1月最冷，绝对最低气温－28．6℃，夏季7月最热，绝对最高气温38℃。每年5月至10月，是嘉峪关市最佳旅游时节。,票价成人票：120元注：该票包含嘉峪关文物景区门票；嘉峪关悬壁长城门票；长城第一墩门票；优惠政策1. 身高1.2米以下儿童免票；身高1.2~1.4米儿童，门票半价优惠；2. 甘肃省老年人凭有效证件免票，外省老年人个人参观实行门票半价优惠；3. 大、中、小学学生（不含成人教育学生）凭学生证，门票半价优惠；4. 残疾人集体、现役军人、记者、中小学学生集体参观凭有效证件免票；Tips导游服务费由10.00元/人次，由游客自愿选择。,,1
长城博物馆Great Wall at Jiayuguan Pass,http://travel.qunar.com/p-oi713828-zhangchengbowuguan,"

地址:
嘉峪关市兰新西路嘉峪关景区内


电话:
0937-6215162,0335-5051313,0937—6214609

","嘉峪关长城博物馆的文物陈展充分应用了声、光、电等现代科技手法，配置了语音同声翻译系统、自动监控系统、自动恒温系统、自动消防报警系统、游客查询系统等国内较为先进的设施，在省内博物馆中属领先水平。
 其中“中华之魂”长城历史文化陈列包括： “金戈铁马－边塞烽烟－古代长城战争”；“长河落日－丝路花雨－河西长城与丝绸之路”；“北漠尘清－山河形胜－嘉峪关”四个单元。陈展总面积2700平方米。
  油画以写意和写实相结合的表现手法将中国长城的主要景观浓缩于画卷之中，油画面积为220.5平方米。超写实雕塑场景“西出阳关、春风玉门”以河西长城的阳关和玉门关为背景，运用现代高分子材料为手法，生动逼真地再现了盛唐时期丝绸之路上中西文化交流的盛况。“醉卧沙场”场景的背景油画描绘了“大漠孤烟、长河落日”恢弘壮阔的边塞风光，雕塑则表现了“醉卧沙场君莫笑，古来征战几人回”征战场面的残酷、悲怆和豪壮。
 ",全年 09:00-17:00,https://img1.qunarzz.com/travel/d9/1611/8d/654304b07cb2bcb5.jpg_480x360x95_6d0c6df7.jpg,4.5,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
明长城遗址,http://travel.qunar.com/p-oi701707-mingzhangchengyizhi,"

地址:
甘肃嘉峪关市

",明长城遗址西起嘉峪关市嘉峪关，经酒泉，高台，临泽，张掖，山丹，永昌，民勤，武威，古浪，景泰等县，从五佛寺过黄河，在靖远县内沿黄河南岸延伸，高低起伏，一直东至山海关。甘肃境内长度约为1000公里，全用黄土夯筑，夯层厚13--20厘米。有的地段夯土层间夹藏木桩，杂草或沙夯实。高10米，上有1米高的女墙，设有垛口。底厚5--6米，顶宽2米，烽火台紧靠长城内侧，高10米以上因黄土夯筑，俗称烽火墩。墩间距约为5公里，连瞩相望，十分壮观。迂隘口，山口，河口均在长城外筑有了望台。...明长城遗址西起嘉峪关市嘉峪关，经酒泉，高台，临泽，张掖，山丹，永昌，民勤，武威，古浪，景泰等县，从五佛寺过黄河，在靖远县内沿黄河南岸延伸，高低起伏，一直东至山海关。甘肃境内长度约为1000公里，全用黄土夯筑，夯层厚13--20厘米。有的地段夯土层间夹藏木桩，杂草或沙夯实。高10米，上有1米高的女墙，设有垛口。底厚5--6米，顶宽2米，烽火台紧靠长城内侧，高10米以上因黄土夯筑，俗称烽火墩。墩间距约为5公里，连瞩相望，十分壮观。迂隘口，山口，河口均在长城外筑有了望台。嘉峪关，山丹，永昌，古浪等市县境内保存完整，矗立在戈壁沙漠中，气势雄伟。,全天,https://img1.qunarzz.com/travel/d6/1702/82/bde6e6d960d9e2b5.jpg_480x360x95_0446ca3e.jpg,4.3,建议游览时间：1.5小时,每年5月至10月，是嘉峪关市最佳旅游时节。,免费,,1
天下雄关碑Tianxia Xiongguan Monument,http://travel.qunar.com/p-oi714543-tianxiaxiongguanbei,,,,,,,,,,1
东湖生态旅游景区Donghu Ecology Tourism Area,http://travel.qunar.com/p-oi710886-donghushengtailu:youjing,"

地址:
嘉峪关市镜铁区和诚东路与新华南路交叉处向东200米路南


电话:
13309478992

",西北难得的大湖自然景观，在干旱地带显得格外清新优美。湖水来自祁连山的雪水，经人工导流，形成三个贯通的湖区。这里同时还是国家队铁人三项的专用训练场，国内较高的气象站也在公园里，如果爬到顶上能同时看见雪山和荒漠。,全年 全天开放,https://img1.qunarzz.com/travel/d2/1706/b8/565f9070e05a4db5.jpg_480x360x95_a2bba121.jpg,4.6,建议游览时间：2小时 - 3小时,嘉峪关气候：嘉峪关气候属于温带干旱气候，年平均气温6摄氏度左右，昼夜温差较大，年降水量80多毫米，1月份最 冷，7月份最热 最佳旅游时间：每年5月－10月是最佳旅游时间,具体收费情况以现场公示为主,,1
左公柳,http://travel.qunar.com/p-oi702447-zuogongliu,"

地址:
嘉峪关关城闸门附近

",,全天,https://img1.qunarzz.com/travel/poi/201408/12/dcdd9e30342aa15cc8d65eac.jpg_480x360x95_a907624f.jpg,5.0,建议游览时间：0.5小时,嘉峪关气候：嘉峪关气候属于温带干旱气候，年平均气温6摄氏度左右，昼夜温差较大，年降水量80多毫米，1月份最 冷，7月份最热 最佳旅游时间：每年5月－10月是最佳旅游时间,免费,,1
嘉峪关城市博物馆Jiayuguan City Museum,http://travel.qunar.com/p-oi5740413-jiayuguanchengshibowu,"

地址:
嘉峪关市镜铁区钢城街道五一南路1377-1379号


电话:
0937-6330550

",嘉峪关城市博物馆是一座集宣传、教育、观光、休闲等功能于一体的现代化博物馆，通过大量的珍贵图片、实物陈列、场景复原、多媒体演示、影视互动等表现形式，充分体现了“城市、人文、环境、发展”的展览主题。,全年 周二-周日 09:00-17:00;全年 周一 全天不开放,https://img1.qunarzz.com/travel/poi/201408/12/ef0374100bd0a33ac8d65eac.jpg_480x360x95_858b275d.jpg,4.6,建议游览时间：1小时 - 2小时,嘉峪关气候：嘉峪关气候属于温带干旱气候，年平均气温6摄氏度左右，昼夜温差较大，年降水量80多毫米，1月份最 冷，7月份最热 最佳旅游时间：每年5月－10月是最佳旅游时间,具体收费情况以现场公示为主,,1
