名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
新村,http://travel.qunar.com/p-oi39366361-xincun,,,,,0.0,,,,,1
孟家岭小天池,http://travel.qunar.com/p-oi38336693-mengjialingxiaotianchi,,,,,5.0,,,具体收费情况以现场公示为主,,1
梨树啤酒广场Lishu Beer Square,http://travel.qunar.com/p-oi19967413-lishupijiuguangchang,,梨树啤酒广场是当地知名度较高的广场之一。到了夏天广场到处都是喝酒吃串的地方。很是热闹。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/7023db450de710c1bd91574dbf5abb25.jpg_480x360x95_2a3d3edb.jpg,4.9,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
叶赫那拉古城Historic Yehe Nara Hala City,http://travel.qunar.com/p-oi714372-yeheneilagucheng,"

地址:
四平市梨树县东南部


电话:
0434-3560666

",叶赫那拉古城，位于四平市梨树县东南部，是出名的民俗风景旅游点，以富有女真族特色的古建筑闻名。古城的建筑都很有特点，每城有木、土、石三道城墙，城外有护城河环绕，登台而远眺，更觉朔风猎猎四野茫茫；内有八角时楼，古朴肃穆，巍峨雄俊，是我国北方少见的古建筑群体，具有很大的考古及观赏价值。堡体及内部楼台等保存完整，散落着多处清朝历史的遗迹，其中点将台、烽火台尤为引人注目。如今的叶赫那拉景区一分为二，分“古城文化区”和“转山湖风景游艺渡假区”，古城文化区内，有东西二城遗址、古驿站、伽蓝寺、娘娘庙、虫王庙等文化古迹可供游客参观游览；转山湖景区风光迤俪曼妙，湖面约5000亩的水域，再现了“山水共天一色”的诗意境界。,全年 08:00-18:00,https://img1.qunarzz.com/travel/d0/1711/f8/8d1e52a79f126b5.jpg_480x360x95_c292a916.jpg,4.1,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
四平战役纪念馆Sipingzhanyi Memorial Hall,http://travel.qunar.com/p-oi713822-sipingzhanyijinianguan,"

地址:
四平市铁西区南新华大街英雄大街60号


电话:
0434-5011518,0434-5016927


官网:
http://www.spzyjng.cn/

",纪念馆主体建筑座北朝南，建筑外形呈弧形，似在热情环抱八方而来的广大观众。新馆建筑面积5158平方米。新馆划分为陈列区、综合服务区、办公区。其中陈列区面积达3000平方米。陈列区内设有半景画馆、战史陈列厅、临时展厅、电影厅等。四战四平历史陈列共展出图片、历史文献、文物1000多件，结合声、光、电等多种陈展艺术形式，以强烈的视觉冲击力和艺术感染力，回到50多年前四战四平那血火交织的历史情景中。新馆的落成，使四平战役纪念馆的社会影响力和文化辐射力正在迅速扩大。做为全国百家爱国主义教育示范基地之一，全国百个红色旅游经典景区之一的四平战役纪念馆迎着辉煌的未来又将踏上一个新的发展阶梯。,"全年 周二-周日 09:00-11:00,13:30-16:00;全年 周一 全天不开放",https://img1.qunarzz.com/travel/d4/1510/51/0316661f2b35fb.jpg_480x360x95_a4a8c79e.jpg,4.7,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
伊通满族自治县博物馆Museum of Yitong Manchu Autonomous County,http://travel.qunar.com/p-oi705656-yitongmanzuzizhixianbo,"

地址:
中国吉林省伊通满族自治县伊通镇人民大路1129号


电话:
0434-4236949,0434-4375050

",伊通满族博物馆是展示满族民间习俗传世文物的博物馆。其前身为1987年创建的伊通满族民俗馆。博物馆座落在伊通满族自治县伊通镇人民大路1129号，占地10000平方米，建筑面积5800平方米，主楼五层，仿古建筑。伊通满族博物馆，是一座展示满族历史、文化和满族风情的专业性博物馆。自建馆26年来，接待国内社会各界观众和美、日、韩、德、意大利、加拿大及港、澳、台等国家和地区友人近60万人次。博物馆多年来相继被省、市、县命名为爱国主义教育基地和被吉林省社会科学院确定为学术研究基地；2007年被国家民委命名为民族团结进步教育基地；同年被国家旅游局确定为四A级旅游景区。2008年被中国民族博物馆确定为“中国民族博物馆·伊通满族分馆”。,全年 08:00-17:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/caf416f330eb10607e61e4e76be2320e.jpg_480x360x95_a4b83ca7.jpg,4.8,建议游览时间：2小时,,具体收费情况以现场公示为主,,1
偏脸城遗址,http://travel.qunar.com/p-oi705459-pianlianchengyizhi,"

地址:
中国吉林省四平市

",从四平市梨树县城向北望去，天边有一道山岗，东西走向，绵延十余公里。在城北田间穿行三四公里。过招苏太河，一座古城遗址即在目前。古城顺山坡横下，四面高墙清晰可辨。全城地势不平，西北高而东南低，方向东斜，有如偏歪的人面。故人称偏脸城。偏脸城的城墙为土墙，东墙与西墙，南墙与北墙，大体平行。每面长约千米，宽一米，高五六米左右。四墙有门，门外有瓮城，南北门与东西门，皆成对应。城墙四角，都有突出墙外，高于墙顶的圆形高台。这是角楼，站在上面可以嘹望全城。西墙与北...从四平市梨树县城向北望去，天边有一道山岗，东西走向，绵延十余公里。在城北田间穿行三四公里。过招苏太河，一座古城遗址即在目前。古城顺山坡横下，四面高墙清晰可辨。全城地势不平，西北高而东南低，方向东斜，有如偏歪的人面。故人称偏脸城。偏脸城的城墙为土墙，东墙与西墙，南墙与北墙，大体平行。每面长约千米，宽一米，高五六米左右。四墙有门，门外有瓮城，南北门与东西门，皆成对应。城墙四角，都有突出墙外，高于墙顶的圆形高台。这是角楼，站在上面可以嘹望全城。西墙与北墙外，都有护城壕遗址。偏脸古城在辽金时代最早叫九百奚营，归临津县管辖。统归于韩州统邻。因九百奚营地处交通要道，为南北往来的必经之地。故在辽金时代，九百奚营是相当重要的城镇。在此，曾幽囚过大宋的两朝君主：徽宗，钦宗两年之久。在历史上留下重要一笔。,8：00-18：00,https://img1.qunarzz.com/travel/d0/1802/3a/e622633cce3666b5.jpg_480x360x95_0893bfab.jpg,3.0,,,免费,,1
二龙湖风景区Erlong Lake Scenic Area,http://travel.qunar.com/p-oi705790-erlonghufengjingqu,"

地址:
四平市公主岭市二龙湖风景区


电话:
0434-5619235

",二龙山环抱的二龙湖，诗画般的景色，非常迷人。站在二龙湖大坝的泄水闸旁，俯瞰湖畔两侧的二龙山，如同龙身蜿蜒起伏，守护着茫茫的碧波轻浪。二龙湖水面八千多公顷，盛产青、草、鲢、鲈、池沼虾等二十几个品种的鱼虾。群山环抱，绿树成荫，风光秀丽。春有各种候鸟水禽来这里繁衍栖息，夏天漫山野花竞相开放，秋天各种野果、菌、菇信手可采，冬至白雪皑皑，银装素裹。,全年 8:00-18:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/a0a558c146c6bbc20411a5576e23d217.jpg_480x360x95_8f1767dd.jpg,4.2,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
二十家子旅游度假区,http://travel.qunar.com/p-oi706504-ershijiazilu:youdujia,"

地址:
四平市公主岭市二十家子水库

",二十家子满族镇隶属公主岭市管辖，位于公主岭市西南部13公里处，距省城长春60公里，距四平市50公里，全镇有9个行政村，1个街道居民委员会；总人口21086人，其中满族人口占总人口的30.5%；幅员113平方公里，山地占50%，耕地面积4429公顷，是一个“五山一水四分田”的半山区。 这里山清水秀，鸟语花香，资源丰富，物华天宝。温暖的春季姹紫嫣红，浪漫的夏季绿草如茵，金色的秋天色彩斑谰，朔风的隆重冬绿色常在。,全天,https://img1.qunarzz.com/piao/fusion/1604/2e/0f8b178e94a6e1f7.jpg_480x360x95_e7e308ed.jpg,--,,,免费,,1
山门水库,http://travel.qunar.com/p-oi703309-shanmenshuiku,"

地址:
四平市铁东区山门镇内

",从山门水库大堤南侧登杏花山，要攀登山脚下的“登天门”和山顶上的“揽月门”之间的3个样式各异的凉亭连接起来的148阶水泥石阶，石阶两旁，绿树成荫。繁花竟放。游人曾写下“曲曲云山路，巍巍揽月门，春风似有意，故醉旅游人”的语句。登上山顶，远望四野：脚下杏花山松林常翠；东面的石门山，绿树葱葱；北部的半拉山，石光闪烁；西边的长达山，薄雾升腾.......一条数百米长堤横卧南北，和揽月门联成一线，四面青山环抱一湾碧水，一叶轻舟摇碎湖光波影，确是一个令人舒心惬意的所在。,8：00-17：00,,--,,,30元,,1
