名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
六盘山国家森林公园Liupanshan National Forest Park,http://travel.qunar.com/p-oi706032-liupanshanguojiasenlin,"

地址:
固原市泾源县泾河源镇六盘山


电话:
0954-5648319

",六盘山国家森林公园，位于固原市泾源县泾河源镇境内，六盘山是中原农耕文化和北方游牧文化的结合部，是古丝绸之路东段北道必经之地，也是历代兵家必争的军事要塞，这里还是《清平乐·六盘山》的诞生地。六盘山国家森林公园内主要景点有小南川、凉殿峡、二龙河等景点。游客进入景区大门，北面是凉殿峡，南面是二龙河，中间是小南川，还有生态博物馆和植物园。凉殿峡是条长达10公里的峡谷，自古就是避暑胜地，这里三面环山，谷底有清澈的溪水。走出凉殿峡峡谷，沿着二龙河步行一段路，就可以到小南川峡谷的入口，穿过这里的天然森林，再步行约1小时后，就可以到达小南山瀑布，瀑布就是森林公园的最深处。,4/1-10/31 08:00-18:00,https://img1.qunarzz.com/piao/fusion/2110/e4/da8b8cc8f94e8702.jpg_480x360x95_2b7351df.jpg,4.3,建议游览时间：3小时 - 4小时,,"{'六盘山国家森林公园门票+景区内摆渡车票学生票\n\n': ['¥65起'], '六盘山国家森林公园电子导览服务成人票\n\n': ['¥2.6起']}",,1
野荷谷Yehe Valley,http://travel.qunar.com/p-oi706669-yehegu,"

地址:
固原市泾源县城西8公里处


电话:
0954-5648319

",野荷谷位于泾源县城西北5千米处，是泾河的另外一个源头，峡长15千米，又叫香水峡。因峡内长满“大黄橐吾”(只是叶子的形状酷似荷叶，人们俗称野荷)，又被人称为荷花苑。,4/1-10/31 08:00-18:00,https://img1.qunarzz.com/piao/fusion/1808/56/e37d7dc1ae978d02.jpg_480x360x95_51789ba2.jpg,4.3,建议游览时间：12小时 - 3天,,40元,,1
璎珞宝塔,http://travel.qunar.com/p-oi711639-yingluobaota,,璎珞宝塔位于彭阳县城东北60公里的冯庄乡小湾村，塔通高15米，平面呈八形，为七层楼阁式砖塔。宝塔前临深涧，背倚山高。东与有名的七个宛若馒头的小山隔河相望，七个山就是因七个奇特的小山而得名。这些山皆状若馒头，自然天成，钟灵奇秀，自西向东，等距离依次排列，让人感到大自然的造化真可谓鬼斧神工，实为与璎珞宝塔相媲美的又一奇特自然景观。奇山宝塔，相互映衬，夏日阳光下，远眺处在苍翠山峦中的宝塔熠熠生辉，七座奇山，葱笼翠郁。璎珞宝塔是宁夏南部山区现存的唯一一座明...璎珞宝塔位于彭阳县城东北60公里的冯庄乡小湾村，塔通高15米，平面呈八形，为七层楼阁式砖塔。宝塔前临深涧，背倚山高。东与有名的七个宛若馒头的小山隔河相望，七个山就是因七个奇特的小山而得名。这些山皆状若馒头，自然天成，钟灵奇秀，自西向东，等距离依次排列，让人感到大自然的造化真可谓鬼斧神工，实为与璎珞宝塔相媲美的又一奇特自然景观。奇山宝塔，相互映衬，夏日阳光下，远眺处在苍翠山峦中的宝塔熠熠生辉，七座奇山，葱笼翠郁。璎珞宝塔是宁夏南部山区现存的唯一一座明代古塔，具有较高的历史、科研和艺术价值，现被列为省级重点文物保护单位。,,,--,,,,,1
老龙潭Laolongtan,http://travel.qunar.com/p-oi703092-laolongtan,"

地址:
固原市泾源县境内


电话:
0954-5013660


官网:
http://www.jyxllt.com/

",老龙潭有四个潭组成，现水库大坝下游为一、二潭，是一段深峡危崖急流深潭，神奇莫测。三潭现被水库淹没，蓄水40多万立方米，潭水平静出奇，阳光投射在深幽的水面，薄薄雾气在潭面上飘逸，恰似一面宝镜，瑰丽迷人，有“高霞平湖”之美称，水库上游四潭为龙潭的门户，幽谷危壁挟飞潭。清澈蜿蜒似游龙。山水相依，群峰倒影，美景如画，颇为壮观。,8:00-19:00；10月20日-次年4月10防火封山，暂时接待游客。,https://img1.qunarzz.com/piao/fusion/1706/88/d82453fb0cdd7702.jpg_480x360x95_25639cc0.jpg,4.2,建议游览时间：1小时,,45元,,1
无量山石窟Wuliangshan Grottoes,http://travel.qunar.com/p-oi714322-wuliangshanshiku,,无量山石窟位于彭阳县城西北25公里的川口乡田庄村，背靠无量山，面向石峡河，傍山依水，风景秀丽。石窟开凿于半山腰石崖上，共有两窟，中间相隔约50米，坐南面北，沿石峡河东西排列。此窟建于1032年（宋天圣十年）。1985年，无量山石窟被列为县级文物保护单位。1988年又被列为自治区级文物保护单位。1991年，彭阳县人民在石窟周围植400株“文物古迹纪念树”。,,https://img1.qunarzz.com/travel/poi/1803/37/edce821038967137.jpg_480x360x95_f64819bb.jpg,5.0,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
固原博物馆The Guyuan Museum of Ningxia,http://travel.qunar.com/p-oi708650-guyuanbowuguan,"

地址:
固原市原州区西城路133号


电话:
0954-2032564,0954-7282331


官网:
http://www.nxgybwg.com

",该博物馆中藏品以春秋战国时期北方系青铜器和北魏、北周、隋唐时期丝路文物为主。博物馆的建筑并不复杂，有陈列大楼、钟亭、古墓复原馆、石刻四部分组成，陈列大楼是游客参观的主要区域。陈列大楼的展览分为：基本陈列《固原历史文物展》和专题陈列《丝绸之路在固原》两部分。基本陈列中有三件文物是固原博物馆的镇馆之宝：北周鎏金银瓶、凸钉玻璃碗、北魏漆棺画就收藏在这里。国宝鎏金银瓶非常珍贵，具有典型的波斯萨珊金银器风格，具有典型的异域风格。它是由鸭嘴形的流、细长的颈、上立胡人之弧形的把、玉壶春瓶似的腹和喇叭形的座结合而成的稳健、奇特的造型。瓶体腹部的三组人物图案叙述的是一个古希腊的神话故事。凸钉玻璃碗，碗高约8厘米，腹深约7厘米，通体呈现出透明的碧绿色，碗体内还含有小气泡并且分布均匀。碗的外壁以两圈凸起的14个圆形装饰，上下错位排列。北魏漆棺画出土于固原南郊的一座夫妻合葬墓，男棺上绘制有精美的漆画，棺盖、前档及左右侧板上绘有天河图、墓主人身前饮宴图、孝子故事画。根据墓主服饰、棺木形制及漆画内容推测，年代约在北魏太和十年(486年)前后，墓主人可能是鲜卑人。三件镇馆之宝，有时会被送到其他博物馆进行巡展，而北周鎏金银瓶过于珍贵，博物馆有时会把它收入库房保存，游客不是每天都可以看到这些藏品。此外，博物馆的专题陈列《丝绸之路在固原》，展示了春秋战国时期北方少数民族青铜器、北周文物、隋唐墓葬壁画，也非常值得一看。,全年 周二-周日 09:00-17:00,https://img1.qunarzz.com/travel/d5/1510/26/99881f0349cee9.jpg_480x360x95_823f2120.jpg,4.6,建议游览时间：1小时,,20元,,1
安西王府Anxi Palace Ruins of Kaicheng,http://travel.qunar.com/p-oi704447-anxiwangfu,"

地址:
宁夏回族自治区固原市泾源县六盘山东麓开城

",六盘山东麓的开城，是成吉思汗、宪宗蒙哥、世祖忽必烈共同苦心经营的一块黄土地，也是安西王府的所在地。安西王府的建筑规模十分宏大。近年，考古工作者在考察开城遗址时，地表层还有露出的黄、绿、白三种琉璃建筑碎片，尤以绿釉、黄釉琉璃瓦为数众多，还有黄釉龙纹圆瓦。在中国封建社会里，龙是皇帝的象征，只有皇帝的宫殿才能用黄釉琉璃瓦并饰以龙的图形。这说明这里曾经有行宫建筑。西安王府的宫殿府库豪华壮丽，又有养鱼池等供安西王及其王妃游玩的场所。,待定,https://img1.qunarzz.com/travel/poi/1803/39/996e14fff3c2e337.jpg_480x360x95_e0e47cb1.jpg,4.6,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
东岳山Dongyueshan,http://travel.qunar.com/p-oi703663-dongyueshan,"

地址:
固原市原州区官厅镇文化东路东尽头


电话:
0954-2039333

",东岳山距固原城东三里之遥有一座巍峨耸峙的东山，自从修造东岳大帝的神祠后，此山就改名为东岳山，成为固原的一座文化名山。根据历史记载和老年人的回忆，到清代末，这里已是“九台十八院，七十二座大殿”的宏大建筑群，闻名西北。,全年 全天开放,,4.4,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
须弥山石窟Xumishan Grottoes,http://travel.qunar.com/p-oi712697-xumishanshiku,,,,,,,,,,1
火石寨国家地质（森林）公园Huoshizhaiguojiadizhi (senlin)  Park,http://travel.qunar.com/p-oi701547-huoshizhaiguojiadizhi,"

地址:
固原市西吉县城北15公里处


电话:
0954-3906999,400-679-1996


官网:
http://www.huoshizhai.com.cn/

",每当春夏时节，满山遍野花草丛生，色彩斑斓，蜂恋蝶舞，生机盎然。在稀疏的林木间，还生长着一簇簇箭竹，为北方山水增添几分南国姿色。在火石寨方圆百里之内，分布着许多大大小小的兀立山峰，其中著名的有扫竹岭、石寺山、照壁山等，尤以天然石城最为奇特。火石寨不但有令人神迷的自然景观，还有十多处石窟建筑，它是和须弥山石窟一脉相承的。禅佛寺石窟与须弥山相连，又称“须弥山禅佛寺”，为唐朝佛教禅宗派流传圣地。石窟凿造在一座尖顶宝塔式的石峰上，石峰高约120米，犹如长矛刺天，四壁悬空，奇特异常。若攀上峰顶，云雾飘然脚下。石峰东西现存石窟10孔，残存壁画、石雕须弥座等。其中最大石窟在距峰顶15米处，呈长方平顶式，当地居民供泥塑神像三尊。在石峰下半部有一石窟，深15米，宽4米，高5米，洞内能容纳百余人。石窟主峰四周奇峰怪石或崛起凌空，或沉落幽谷，形态各异。扫帚岭石窟位于火石寨乡南5公里的石峰群中，因山岭上生长做扫帚的毛竹而得名，亦称“云台山”、“西武当”。这里林木葱茏，流水清澈，特别是奇特高耸的石山给人以“桂林山水”的感觉。山峰神态仙姿，颇具风彩。扫帚岭主峰四面绝壁，惟东北角有人凿石阶可攀，神奇的自然景观和山上人文建筑融为一体。玉皇阁、大佛殿、菩萨殿、牛王殿、万寿宫等洞窟30多孔分布在东西长约330米的石壁上，窟室多为长方形平顶式，为圆形穹窿顶。长方形大佛殿深9米，宽6.1米，高5.45米。石窟内造像多数已毁，残存石雕须弥座、佛龛、壁画。较完整的石雕像4尊，最大的是身高4.8米，腹围4.4米的立佛。石窟内还有3尊铜佛像，其一为北魏太武帝拓跋焘时（424年-452年）所造；其二是宋代释迦牟尼鎏金铜像，高46厘米，重18公斤。,7:00~19:00,https://flight-feed.qunarzz.com/as3/288/image/poi_vishnu/d1353385-a8c8-41be-91bb-9eb295b2a863.jpg,4.4,建议游览时间：1小时,,48元,,1
