名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
鹿角湾旅游风景区Antler Bay Ranch,http://travel.qunar.com/p-oi10004398-lujiaowanlu:youfengjing,"

地址:
新疆维吾尔自治区塔城地区沙湾市博尔通古牧场

",鹿角湾因盛产鹿角而得名，地属沙湾县博尔通古牧场，位于沙湾县城以南65公里的依连哈比尔尕山北麓的低谷丘陵地区，海拔1500～1700米。此地冬季平均气温零下14℃，夏季平均气温20℃，年降雨量600毫米以上。主要植物有云杉、雪莲、杨树、柳树及牧草，野生动物有鹿、雪鸡、野羊、雪豹。鹿角湾牧场东至大南沟，北至博尔通古乡，南靠依连哈比尔尕山海拔4000米以上的高峰。纵横50多平方公里内，雪峰云杉，挺拔俊秀，清泉流水，绿草茵茵，杨柳轻拂，景色秀丽，交通方便，是夏季避暑游览的胜地。每年伊犁哈萨克自治州、塔城地区都会在此联合举办阿肯弹唱会，万人相聚，甘肃、青海两省的哈萨克族也派代表前来参加。,全年 10:00-19:00,,4.4,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
安集海大峡谷Anjihai Grand Canyon,http://travel.qunar.com/p-oi9762582-anjihaidaxiagu,"

地址:
新疆维吾尔自治区塔城地区X829

",安集海大峡谷位于沙湾县安集海镇西部，发源于天山山脉，特殊的地质地貌曾上过国家地理杂志。这里峡谷惊险，悬崖耸立，谷底深达百米，站在悬崖边上，寒风由沟底直往上涌，让人心底发抖、腿软脚麻，值得八方游客来此身临其境。大峡谷拥有红山、黛崖、青峰、绿岛、碧水等景观，一年四季有着不同的景色，就像一条彩带飞舞在天山北坡脚下，成为中国峡谷群中色彩较为丰富的大峡谷，也被誉为“中国科罗拉多大峡谷”。这里两岸地貌各异，西岸是戈壁，较平坦，东岸则是绵延起伏的山峦，形成鲜明的对比，给人一种别致的感觉。,全年 全天开放,https://flight-feed.qunarzz.com/as3/002/image/2020/1/68c2b0e9-0674-4235-ac29-986d1d46d64c.jpeg_480x360_e4f72752.jpeg,4.3,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
巴克图口岸Baketu Port,http://travel.qunar.com/p-oi9722047-baketukouan,,出塔城市区，沿着笔直宽阔的口岸公路西行12公里，就到了中国、哈萨克斯坦的边境口岸巴克图。这里是新疆距离城市非常近的一个口岸。东与塔城市区相连，西距哈萨克斯坦的马坎赤镇60公里。开阔平坦的草地上繁花点缀，远处青山逶迤，两岸村舍影影绰绰，宁静悠远。因为近在城郊，巴克图口岸的建筑显得少而精当。现代化的联检大厅宽敞明亮，五个过货通道上的车辆排成长队，一切都显得繁忙而有序。,,https://img1.qunarzz.com/travel/poi/1806/15/7030944c36a13437.jpg_480x360x95_470f1b57.jpg,4.6,建议游览时间：1小时,四季皆宜。,具体收费情况以现场公示为主,,1
沙湾县森林公园,http://travel.qunar.com/p-oi3864498-shawanxiansenlingongyuan,"

地址:
新疆塔城地区沙湾县城西2公里


电话:
0901-2323

",三道河子森林公园，位于沙湾县城西2公里处，占地面积800亩，公园周围被3800多亩水果基地环绕。优美的环境，旖旎的风光，使这里成为沙湾县各旅游景点中最具特色的生态型城市园林景区。景区内树木参天，绿荫簇拥，清流环绕，花草繁盛。沿着婉蜒的林间小道进入公园深处，只见路边白杨参天，桦林森森，各种树木参差相间，郁郁苍苍，满目苍翠，微风吹来，树影婆娑起舞，树声阵阵如涛。森林公园中遍生疣枝桦、银灰杨、山杨等高大乔木，树下灌木丛生，水渠、溪流穿梭其中，潺潺流水声不绝于...三道河子森林公园，位于沙湾县城西2公里处，占地面积800亩，公园周围被3800多亩水果基地环绕。优美的环境，旖旎的风光，使这里成为沙湾县各旅游景点中最具特色的生态型城市园林景区。景区内树木参天，绿荫簇拥，清流环绕，花草繁盛。沿着婉蜒的林间小道进入公园深处，只见路边白杨参天，桦林森森，各种树木参差相间，郁郁苍苍，满目苍翠，微风吹来，树影婆娑起舞，树声阵阵如涛。森林公园中遍生疣枝桦、银灰杨、山杨等高大乔木，树下灌木丛生，水渠、溪流穿梭其中，潺潺流水声不绝于耳。桃树、李树、苹果树、梨树、红枣树、枸杞、无花果树等300多亩果林，使公园变成果树世界。林间铺设了平坦的水泥路，建有各种造型的石桥，曲径通幽；各类亭台楼阁，掩映在绿荫深处，红墙楼阁点缀于翠绿之中，令人赏心悦目。近2公里长的葡萄长廊，犹如绿色隧道，但见葡萄藤枝蔓缠绕，上面挂满一串串翡翠般晶莹透亮的葡萄，浓荫蔽日，铺绿叠翠，泉流溪涌，令人陶醉。景区内专设的“民俗村”，内设别具风情和民俗的蒙古包，供游人留宿、就餐、小憩。在这里，游人不仅有机会品尝哈萨克人的奶茶、手抓肉，更能欣赏到地道的哈萨克族舞蹈和冬不拉弹唱。,全天,,4.0,,,15元,,1
白杨沟泥火山群,http://travel.qunar.com/p-oi3864497-baiyanggounihuoshanqun,,新疆乌苏泥火山群位于乌苏市南约40公里，距白杨沟镇约2.5公里，属天山北坡山前丘陵地带，海拔1281米，分布在长约200米，宽约100米的范围内，约有40个泥喷发口。泥火山并非真正火山，爆发原因是地下的天然气（瓦斯）向地面喷射，将地面的泥土冲出，形成天然气与泥浆同时呈泥涡状涌出的奇观，涌出的泥浆即慢慢堆积成锥状小丘泥火山，即俗称“泥火山”。乌苏泥火山群是在大约100万年以前，在压力的作用下，泥浆冲透了第三纪沉积物而沿着断层裂隙间歇喷出地面的。这些泥火山口最大的直径达...新疆乌苏泥火山群位于乌苏市南约40公里，距白杨沟镇约2.5公里，属天山北坡山前丘陵地带，海拔1281米，分布在长约200米，宽约100米的范围内，约有40个泥喷发口。泥火山并非真正火山，爆发原因是地下的天然气（瓦斯）向地面喷射，将地面的泥土冲出，形成天然气与泥浆同时呈泥涡状涌出的奇观，涌出的泥浆即慢慢堆积成锥状小丘泥火山，即俗称“泥火山”。乌苏泥火山群是在大约100万年以前，在压力的作用下，泥浆冲透了第三纪沉积物而沿着断层裂隙间歇喷出地面的。这些泥火山口最大的直径达1.6米，小的仅有蚕豆大小。喷口内是粘稠的泥浆，喷发口呈圆形和椭圆形等不同形状，地下喷出的天然气和泥浆在喷口不停地翻腾，喷发剧烈的山口每分钟喷发超过60次，喷发物有青灰色、褐红色、灰绿色等。各泥火山喷发的泥浆稀稠不一样，有一股硫磺味和石油味，汇集的泥浆沿泥火山的开口外溢，涌出的泥流在地表形成锥形丘、泥浆盾或小泥河。站在泥火山旁，似乎能感受到火山气的微微震撼，体会到大地跳动的脉搏。来到泥火山喷发口周围环望，可见眼前的山峰似掀起的大地，笔直的竖立，峰连峰。附近的沟或红如朱砂，或紫如佩玉，还伴有绿、青、黄、蓝等多种颜色。,,https://img1.qunarzz.com/travel/d7/201407/08/5d99ce7aca900f9addb12cfb.jpg_480x360x95_1660fbb0.jpg,3.0,,,,,1
东大塘,http://travel.qunar.com/p-oi3864501-dongdatang,"

地址:
新疆维吾尔自治区塔城地区沙湾县


电话:
0901-31826

",东大塘风景区 是国家A级旅游景区，位于天山深处，依连哈比尔尕山北麓，东临设合资，据沙湾县城80余公里。奇特的天山草原风光，壮观的石山大佛，纯朴的哈萨克牧民，古老的游牧生活，浓郁的草原文化气息和源远流长的佛教文化是这里的主要特色。　　东大塘历史上就有佛教文化较为发达的记载，近年来景区借助这一优势，积极开展佛教文化旅游，在悬崖上人工雕刻了一座大佛，成为吸引游客的一个重要人文景观。,8：00-18：00,,5.0,,,15元,,1
垂钓公园Tacheng Fishing Park,http://travel.qunar.com/p-oi3864500-chuidiaogongyuan,"

地址:
塔城地区塔城市三水巷


电话:
0901-5603

",垂钓公园位于塔城市西北角，伟人山下，占地100多公顷，园内有人工湖4处，建钓鱼台108处，垂钓公园因此而得名。公园始建于1996年，分门区、垂钓区、嬉水区、儿童游乐区、野营区、体育活动区等六区域，是塔城市首座集垂钓、观赏、休憩、娱乐、游泳为一体的综合性园式公园。,全天,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/dd005b0a92da5a0c1e671553244440b5.jpg_480x360x95_9f28e4d4.jpg,4.5,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
乌苏泥火山景区Wusuni Volcano Scenic Area,http://travel.qunar.com/p-oi3761653-wusunihuoshanjingqu,,这里是典型的丹霞地貌，具有独特的自然景观。高山大川，连绵不绝。见之忘俗，让人流连忘返。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/471b02a97792734d449c51780ffba3ab.jpg_480x360x95_d1214f82.jpg,5.0,,,具体收费情况以现场公示为主,,1
龙脊谷景区,http://travel.qunar.com/p-oi39849115-longjigujingqu,,,,,0.0,,,,,1
沙湾鹿角湾旅游区,http://travel.qunar.com/p-oi39599481-shawanlujiaowanlu:you,,,,,0.0,,,具体收费情况以景区现场公示为主,,1
