名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
北极村Beijicun (“North Pole Village”),http://travel.qunar.com/p-oi707821-beijicun,"

地址:
大兴安岭地区漠河市


电话:
0457-2858049,0457-8966999,0457-2884546


官网:
http://www.beijicunlvyou.com/

","北极村是我国大陆最北端的临江小村，地处黑龙江上游南岸，七星山脚下，北与俄罗斯阿穆尔州的伊格娜恩依诺村隔黑龙江相望。地理坐标为：东经122°21′05″至122°21′30″，北纬53°27′00″至53°33′30″，北极村原名漠河村，是现今北极乡政府所在地，距漠河县址西林吉镇87公里。1860年开始有人居住，1886年被清政府开辟为通往胭脂沟的江上驿站——三十站，解放后撤县并入呼玛。1981年西林吉镇建县址后，北极乡归属漠河县。行政区划面积16平方公里，共有住户723户，1861人。
这里以北著称、借北扬名，有中国最北的村落、最北的哨所、最北的人家等一系列以北为主题的旅游产品，素有“金鸡之冠”、“天鹅之首”和“不夜城”之美誉，是中国最北的旅游景区，是全国观赏北极光和极昼极夜的最佳观测点之一，形成了独具特色的“神州北极”品牌。
北极村旅游景区旅游资源丰富而独特，乡土气息浓郁，植被和生态环境保存完好。具有发展生态旅游、森林旅游、冰雪旅游的突出优势，有神州北极、神奇天象、龙江之源、圣诞世界等垄断性的旅游资源，拥有圣诞村、北极沙洲、最北邮局、最北哨所、最北的村落、最北人家、最北的滑雪场等特色旅游景点。可满足旅游者观光科考、休闲度假、避暑养生、冬季雪上项目等需求，是旅游、科考、探险、度假胜地。北极村旅游景区自1997年正式对外营业，先后被批准为国家5A级旅游景区、国家森林公园、全国首批特色景观旅游名镇等殊荣。",全年 全天开放,https://img1.qunarzz.com/travel/d7/1606/63/15ee39ebd34440f7.jpg_480x360x95_606f4ac1.jpg,4.5,建议游览时间：3天 - 6天,6月-8月和10月-次年2月适宜游览。冬季可以进行雪上活动，仅有半个月的夏季则有机会欣赏到难得一见的北极光。,"{'北极村门票成人票\n\n': ['¥68起'], '北极村门票儿童票\n\n': ['¥34起'], '北极村门票老人票\n\n': ['¥34起']}",漠河是我国最冷的地方，冬季温度常在零下30℃~40℃。冬季去漠河建议穿暖棉内衣、皮衣、老棉裤，帽子要过耳，两层手套，三层袜子，鞋子要穿比原来大2~3码的，这些衣物务必在哈尔滨、齐齐哈尔等大城市事先买好。,1
北红村Beihong Village,http://travel.qunar.com/p-oi5851492-beihongcun,"

地址:
大兴安岭漠河县北红村

",北红村位于中国黑龙江省漠河县，是中国没有被开发过的原始村庄。其南北面环山，黑龙江由西向东穿村边而过。北红村是远离城市喧嚣的净土。其四周均为未开发的原始森林，林木浓密，野果遍地，小动物如野猪、袍子、雪兔、飞龙等随处可见。需要有当地人作为向导。丛林中鸟叫虫鸣，在夏末，可以采摘野果，蘑菇木耳也可以寻找野生灵芝等名贵药材。沿着鹅卵石的江岸，随着自己的感觉踱步，听着风声、流水声，你会觉得你是在世外桃源。如果你对奇石有兴趣，你可以慢慢的前行，弯下腰你会发现很多让你感到惊奇的石头，玛瑙石。相信每个人都可以找到让自己中意的石头。,全年 全天开放,https://img1.qunarzz.com/travel/d1/1701/7f/9cd5b99d5c9c64b5.jpg_480x360x95_4817bc5d.jpg,4.4,建议游览时间：3小时 - 6小时,四季皆宜。,具体收费情况以现场公示为主,,1
松苑原始森林公园Songyuan Forest Park,http://travel.qunar.com/p-oi714573-songyuanyuanshisenlin,"

地址:
大兴安岭地区漠河县16区

",松苑原始森林公园位于黑龙江省漠河县，是东北少有的坐落在城市里的原始森林，它的存在，让人们感受到了一份亲近的自然之美，也是净化城镇空气的理想场所。1987年的一场大火让大兴安岭100多顷的森林树木毁于一旦，然而松苑却幸存下来，没有受到任何损害，因此，这片树林从此便得到了人们的重视。春季是松苑非常美的时候，届时各种花儿开满山野，公园成为了花的海洋，游人纷纷来此欣赏这迷人的风景，公园里生机勃勃，营造着一种愉悦欢乐的气氛。,全年 9:00-18:00,https://img1.qunarzz.com/travel/poi/201407/07/b680fae7c699ad9bddb12cfb.jpg_480x360x95_83f393c3.jpg,4.5,建议游览时间：1小时 - 2小时,,"{'漠河中国醉北点+北极村小众纯玩+大环线2-6人小团三日游\n\n': ['¥650起'], '甄选漠河+北红村+北极村3日经典环线游 品质团 解锁网红玩法\n\n': ['¥680起'], '甄选漠河+北红村+北极村3日游（3日经典环线游2-10人品质团+追逐神秘极光-解锁各种网红玩法）\n\n': ['¥680起']}",,1
乌苏里浅滩Wusulli Shoal,http://travel.qunar.com/p-oi7475651-wusuliqiantan,"

地址:
大兴安岭地区漠河市安岭地区北端图强林业局施业区内


电话:
0457-2827799

",乌苏里浅滩，紧挨着中俄界河黑龙江，标志的两旁还有两块巨石，分别写着：“北国擎天石”和“恭喜您找到北了！”浅滩北岸是中俄大界江——黑龙江，这里江水雄浑壮丽，滩岸一马平川。冬季更是雪卧原野，一片银白世界，是大自然鬼斧神工，造就了北国这一天下奇景。如今这里已被图强林业局开辟为自然风光旅游景区。因这里在清朝时设有卡伦（相当于边防站）叫乌苏里，故景区名称确定为“ 乌苏里浅滩风景区”。,全年 6:00-18:00,https://img1.qunarzz.com/travel/d3/1609/29/09ed20c6198697b5.jpg_480x360x95_3c3cde55.jpg,4.3,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
九曲十八弯Nine Curves and Eighteen Turns,http://travel.qunar.com/p-oi5851305-jiuqushibawan,"

地址:
大兴安岭地区漠河县加漠公路485段上


电话:
0457-2851633

",九曲十八弯有着独特的自然风景，是一片保存完好的湿地景区。额尔木河从这里蜿蜒而过，形成曲折迂回的河湾。据说每年的春末到夏末，湿地被郁郁葱葱的绿草所覆盖，秀丽清新的小野花点缀着草原，河水从中流淌，犹如一条洁白的色带，轻舞飞扬，若是在清晨观景，那更是如同仙境，早上的雾气缭绕，景致典雅中带着一份矜持，九曲十八弯像是一位少女，不施粉黛，青春美好。站在观景台上举目远眺，山上的苍松茂密，层层叠叠、黛绿如墨，峰峦跌宕如风起云涌，松涛阵阵似万马奔腾。蜿蜒曲折的额木尔河水，如蛟龙过境迂回向前，浓绿泛青的岸柳、挺拔俊秀的钻天杨等植被缀满其间，林雀和鸣，野鸭嬉戏。在6-9月份100多天里，清晨雨后，云雾缭绕、晨雾弥漫，使你顿生脚踏祥云之感。,全天开放,https://img1.qunarzz.com/travel/d5/1701/4b/c71dff7d977c22b5.jpg_480x360x95_d3b348a0.jpg,4.2,建议游览时间：2小时 - 3小时,春夏美景最佳。,具体收费情况以现场公示为主,,1
黑龙江第一湾Heilongjiang First Bay,http://travel.qunar.com/p-oi7336955-heilongjiangdiyiwan,"

地址:
大兴安岭地区漠河县图强林业局施业区红旗岭段


电话:
13904572165

",中俄界河额尔古纳河在漠河县洛古河村西北15公里处与俄罗斯方向流过来的石勒喀河汇合后就成为黑龙江源头，滚滚黑龙江水从这里为起点沿着内外兴安岭交界处的低谷一路东流150公里后在一个叫红旗岭的地方突然拆成一个Ω形江湾，这个长度达30公里的神奇大湾就是黑龙江第一湾。,全年 全天开放,https://img1.qunarzz.com/travel/d5/1707/54/6176ed152861ecb5.jpg_480x360x95_c1f56d71.jpg,4.5,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
胭脂沟Rouge Groove,http://travel.qunar.com/p-oi708033-yanzhigou,"

地址:
西吉林镇


电话:
028-83837888

",胭脂沟位于黑龙江省的漠河县，距离北极村不远，是额尔木河的支流，原名“老金沟”，意为出产金子的沟渠。清末时期，一个鄂伦春老人在埋葬马匹的时候意外发现了这河沙中有着大量金沫子，俄罗斯人闻讯而来，跨过黑龙江，在此肆无忌惮的开挖金子。随后，李鸿章派遣李金镛前来治理漠河，李金镛带领工人们建设金矿厂，这里兴盛起来，漠河金矿声名远播。这里的人气旺了，不少女子便决意搬来此地接生意，据说每天这河水上漂浮的都是她们卸妆后的胭脂水粉，胭脂沟的名字也就叫开了。又有说老金沟是慈禧御用的金厂，这里出产的金子是供她买胭脂的。这传说纷纭，真假难辨了。不过，胭脂沟的淘金热潮却从未退却，即使到了现在，据说沟渠里依然能挖出金子呢。,全年 全天开放,https://img1.qunarzz.com/travel/poi/201211/19/4553acf82b103739ddb12cfb.jpg_480x360x95_820cab3c.jpg,4.2,建议游览时间：3小时,,具体收费情况以现场公示为主,,1
大兴安岭五·六火灾纪念馆Da Hinggan Ling Five Six Fire Memorial Hall,http://travel.qunar.com/p-oi705048-daxinganlingwuliuhuozai,"

地址:
大兴安岭地区漠河市中华路25号

",1987年5月6日的一场大火让大兴安岭100多万顷的树木被烧毁，国家财产损失之大无法估计。大兴安岭五·六纪念馆正是出于反思这场重大灾难的目的而特别设立的，它坐落于大兴安岭漠河县的西林吉镇上，每天都有大量的参观者来此了解20多年前的那场惨烈。纪念馆的展厅分为12个，还内设了一处环幕电影厅，采用了图片、文字、场景再现的模型、雕塑以及纪录片、电影等手段生动的向大家介绍了1987年大兴安岭火灾的前前后后。通过这些多媒体多方位的展示，希望让众人对于森林防火、森林资源、生态保护的方方面面起到积极的警示作用，森林的存在让人类生活的更好，是地球上不可或缺的重要资源。,8:00-17:00，节假日闭馆,https://img1.qunarzz.com/travel/poi/1409/09/d315714ba23ac214ffffffffc8d65eac.jpg_480x360x95_1094c6d6.jpg,4.7,建议游览时间：1小时,,"{'漠河中国醉北点+北极村小众纯玩+大环线2-6人小团三日游\n\n': ['¥650起'], '甄选漠河+北红村+北极村3日经典环线游 品质团 解锁网红玩法\n\n': ['¥680起'], '漠河-北极村2日包车游（多种车型可选 纯玩自由行）\n\n': ['¥450起']}",,1
大兴安岭资源馆Daxing'anling Natural Resource Exhibition,http://travel.qunar.com/p-oi710265-daxinganlingziyuanguan,"

地址:
大兴安岭地区加格达奇区加格达齐世纪广场南侧


电话:
0457-2111991

",大兴安岭资源馆位于黑龙江省大兴安岭地区的加格达奇市中心，是了解大兴安岭的生态资源的理想平台。在资源馆内，你可以看到很多资源标本，这里收藏了近30种的动物标本，都是大兴安岭地区的代表性野生动物，例如马鹿、猞猁、紫貂、猞猁、野猪等，还有140种左右的植物标本，例如红松和黄菠萝。展馆的主题围绕人和森林展开，采用多媒体的形式展现了美丽富饶的大兴安岭风景，希望能让大家明白森林对于人类生存的重要意义，激发人们持有关爱自然的积极态度。,全年 8:30-17:00,https://img1.qunarzz.com/travel/poi/201211/19/8de11069a5667d0dddb12cfb.jpg_480x360x95_4a3bf583.jpg,4.5,建议游览时间：2小时 - 3小时,,免费开放,,1
中国最北邮政局Chinese Northernmost Post Office,http://travel.qunar.com/p-oi7475641-zhongguozuibeiyouzheng,"

地址:
大兴安岭地区漠河县北极村


电话:
0457-2858049,0457-8966999

",该景点位于黑龙江省漠河县，在中国偏北部的村落内。这里随着村落的旅游开发，成为了一块金字招牌，每位来此的游客都会买纪念品和明信片，写上祝福的话语，再让工作人员盖上邮戳，从这里寄回家，给自己的旅途添上一抹独特的意义。到了12月，这里会举办圣诞主题的活动，这里摆满了各种圣诞纪念物，圣诞树被布置的光彩夺目，你可以在此感受浓厚的北国圣诞气氛，十分有趣特别。,全年 8:00-17:00,https://img1.qunarzz.com/travel/d9/1705/4c/1022f6fc46b299b5.jpg_480x360x95_a127793d.jpg,4.3,建议游览时间：1小时,四季皆可。,具体收费情况以现场公示为主,,1
